key	datasetKey	publishingOrgKey	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	individualCount	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	elevation	elevationAccuracy	continent	stateProvince	gadm	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	modified	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	isInCluster	recordedBy	identifiedBy	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	identifier	catalogNumber	institutionCode	fieldNotes	county	gbifID	collectionCode	occurrenceID	dateIdentified	references	datasetName	rightsHolder	http://unknown.org/nick	verbatimEventDate	verbatimLocality	taxonID	eventTime	occurrenceRemarks	http://unknown.org/captive	identificationID	institutionKey	vernacularName	locality	lifeStage	organismQuantity	datasetID	samplingProtocol	eventID	municipality	identificationVerificationStatus	nomenclaturalStatus	verbatimSRS	parentNameUsageID	locationID	acceptedNameUsageID	ownerInstitutionCode	accessRights	higherClassification	http://unknown.org/language	footprintWKT	originalNameUsage	nameAccordingTo	networkKeys	depth	collectionKey	fieldNumber	collectionID	depthAccuracy	projectId	waterBody	otherCatalogNumbers	preparations	scientificNameID	institutionID	verbatimIdentification	disposition	locationRemarks	behavior	habitat	verbatimCoordinateSystem	taxonConceptID	http://unknown.org/rightsHolder	http://unknown.org/license	previousIdentifications	identificationQualifier	language	parentEventID	type	verbatimDepth	georeferenceVerificationStatus	recordNumber	informationWithheld	acceptedNameUsage	georeferenceProtocol	namePublishedInYear	originalNameUsageID	taxonRemarks	namePublishedIn	bibliographicCitation	organismQuantityType	identificationRemarks	http://unknown.org/modified	establishmentMeans	degreeOfEstablishment	geologicalContextID	islandGroup	island	georeferenceRemarks	distanceFromCentroidInMeters	higherGeography	dynamicProperties	eventRemarks	nomenclaturalCode	parentNameUsage	materialEntityID	sex	georeferencedBy	georeferencedDate	georeferenceSources	verbatimTaxonRank	typeStatus	associatedReferences	associatedSequences	coordinatePrecision
4501014467	492d63a8-4978-4bc7-acd8-7d0e3ac0e744	d3978a37-635a-4ae3-bb85-7b4d41bc0b88	7bdf9f6d-317a-45ec-8bb7-7ff61345d6a6	d3978a37-635a-4ae3-bb85-7b4d41bc0b88	NO	EML	2024-07-23T12:10:21.290+00:00	2024-07-23T12:35:49.314+00:00	537	{}	HUMAN_OBSERVATION	1.0	PRESENT	2118434	1	54	354	9477065	6313	2118396	2118434	2118434	Achelia echinata Hodge, 1864	Achelia echinata Hodge, 1864	Animalia	Arthropoda	Pantopoda	Ammotheidae	Achelia	Achelia echinata	Achelia	echinata	SPECIES	ACCEPTED	NE	59.866529	5.229631	1000.0	0.0	0.0	EUROPE	Bømlo	{}	2023.0	1.0	5.0	2023-01-05	5.0	5.0	['COORDINATE_ROUNDED', 'GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2023-01-05T00:00:00.000+00:00	2024-07-23T12:35:49.314+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'miljodir:vannmiljo:245301734'}]	[]	[]	[]	False	Rådgivende Biologer AS	Rådgivende Biologer AS	WGS84	Pycnogonida	NO	[]	[]	EUROPE	Norway	EUROPE	miljodir:vannmiljo:245301734	245301734	miljodir	C3	Vestland	4501014467	vannmiljo	miljodir:vannmiljo:245301734																																																																																																
4438204314	492d63a8-4978-4bc7-acd8-7d0e3ac0e744	d3978a37-635a-4ae3-bb85-7b4d41bc0b88	7bdf9f6d-317a-45ec-8bb7-7ff61345d6a6	d3978a37-635a-4ae3-bb85-7b4d41bc0b88	NO	EML	2024-07-23T12:10:21.290+00:00	2024-07-23T12:35:48.741+00:00	537	{}	HUMAN_OBSERVATION	1.0	PRESENT	2118434	1	54	354	9477065	6313	2118396	2118434	2118434	Achelia echinata Hodge, 1864	Achelia echinata Hodge, 1864	Animalia	Arthropoda	Pantopoda	Ammotheidae	Achelia	Achelia echinata	Achelia	echinata	SPECIES	ACCEPTED	NE	70.8733	24.40655	1000.0	0.0	0.0	EUROPE	Måsøy	{}	2023.0	4.0	13.0	2023-04-13	103.0	103.0	['COORDINATE_ROUNDED', 'GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2023-04-13T00:00:00.000+00:00	2024-07-23T12:35:48.741+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'miljodir:vannmiljo:238825098'}]	[]	[]	[]	False	Åkerblå AS	Åkerblå AS	WGS84	Pycnogonida	NO	[]	[]	EUROPE	Norway	EUROPE	miljodir:vannmiljo:238825098	238825098	miljodir		Finnmark	4438204314	vannmiljo	miljodir:vannmiljo:238825098																																																																																																
4424180770	50c9509d-22c7-4a22-a47d-8c48425ef4a7	28eb1a3f-1c15-4a95-931a-4af90ecb574d	997448a8-f762-11e1-a439-00145eb45e9a	28eb1a3f-1c15-4a95-931a-4af90ecb574d	CA	DWC_ARCHIVE	2024-07-23T16:16:17.354+00:00	2024-07-24T06:11:14.665+00:00	474	{'http://rs.gbif.org/terms/1.0/Multimedia': [{'http://purl.org/dc/terms/creator': 'Leïla Brunner', 'http://rs.tdwg.org/dwc/terms/catalogNumber': '322588360', 'http://purl.org/dc/terms/publisher': 'iNaturalist', 'http://purl.org/dc/terms/type': 'StillImage', 'http://purl.org/dc/terms/format': 'image/jpeg', 'http://purl.org/dc/terms/created': '2023-09-24T16:19:24-07:00', 'http://purl.org/dc/terms/license': 'http://creativecommons.org/licenses/by/4.0/', 'http://purl.org/dc/terms/rightsHolder': 'Leïla Brunner', 'http://purl.org/dc/terms/identifier': 'https://inaturalist-open-data.s3.amazonaws.com/photos/322588360/original.jpeg', 'http://purl.org/dc/terms/references': 'https://www.inaturalist.org/photos/322588360'}, {'http://purl.org/dc/terms/creator': 'Leïla Brunner', 'http://rs.tdwg.org/dwc/terms/catalogNumber': '322588413', 'http://purl.org/dc/terms/publisher': 'iNaturalist', 'http://purl.org/dc/terms/type': 'StillImage', 'http://purl.org/dc/terms/format': 'image/jpeg', 'http://purl.org/dc/terms/created': '2023-09-24T16:20:15-07:00', 'http://purl.org/dc/terms/license': 'http://creativecommons.org/licenses/by/4.0/', 'http://purl.org/dc/terms/rightsHolder': 'Leïla Brunner', 'http://purl.org/dc/terms/identifier': 'https://inaturalist-open-data.s3.amazonaws.com/photos/322588413/original.jpeg', 'http://purl.org/dc/terms/references': 'https://www.inaturalist.org/photos/322588413'}]}	HUMAN_OBSERVATION		PRESENT	2118434	1	54	354	9477065	6313	2118396	2118434	2118434	Achelia echinata Hodge, 1864	Achelia echinata Hodge, 1864	Animalia	Arthropoda	Pantopoda	Ammotheidae	Achelia	Achelia echinata	Achelia	echinata	SPECIES	ACCEPTED	NE	76.520555	-78.720039	9064.0					{}	2023.0	9.0	24.0	2023-09-24T16:19:24	267.0	267.0	['COORDINATE_ROUNDED', 'COUNTRY_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_ID_IGNORED']	2023-10-11T13:59:07.000+00:00	2024-07-24T06:11:14.665+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '184776474'}]	[{'type': 'StillImage', 'format': 'image/jpeg', 'references': 'https://www.inaturalist.org/photos/322588360', 'created': '2023-09-24T23:19:24.000+00:00', 'creator': 'Leïla Brunner', 'publisher': 'iNaturalist', 'license': 'http://creativecommons.org/licenses/by/4.0/', 'rightsHolder': 'Leïla Brunner', 'identifier': 'https://inaturalist-open-data.s3.amazonaws.com/photos/322588360/original.jpeg'}, {'type': 'StillImage', 'format': 'image/jpeg', 'references': 'https://www.inaturalist.org/photos/322588413', 'created': '2023-09-24T23:20:15.000+00:00', 'creator': 'Leïla Brunner', 'publisher': 'iNaturalist', 'license': 'http://creativecommons.org/licenses/by/4.0/', 'rightsHolder': 'Leïla Brunner', 'identifier': 'https://inaturalist-open-data.s3.amazonaws.com/photos/322588413/original.jpeg'}]	[]	[]	False	Leïla Brunner	Claude Nozères	WGS84	Pycnogonida	CA	[]	[]	NORTH_AMERICA	Canada	NORTH_AMERICA	184776474	184776474	iNaturalist			4424180770	Observations	https://www.inaturalist.org/observations/184776474	2023-09-25T22:09:56	https://www.inaturalist.org/observations/184776474	iNaturalist research-grade observations	Leïla Brunner	leila_brunner	2023-09-24 16:19:24	Qikiqtaaluk, NU, Canada	812722	16:19:24-04:00	Tentative Amundsen 2023, leg 3, site 1.2 with Beam trawl	wild	411720234																																																																																				
3970758337	bef19e99-90a7-4b3d-a113-bdf4ea6c88f2	2b4e561b-0b1a-4c1b-b564-819bcfe006b8	9afa1395-6e93-4848-a42d-bce896f5195e	657b7bf0-766b-11d9-9f77-b8a03c50a862	KR	EML	2024-04-10T15:17:39.393+00:00	2024-04-10T15:19:20.350+00:00	116	{}	PRESERVED_SPECIMEN		PRESENT	2118434	1	54	354	9477065	6313	2118396	2118434	2118434	Achelia echinata Hodge, 1864	Achelia echinata Hodge, 1864	Animalia	Arthropoda	Pantopoda	Ammotheidae	Achelia	Achelia echinata	Achelia	echinata	SPECIES	ACCEPTED	NE	36.726072	129.732408					Gyeongsangbuk-do	{}	2022.0	6.0	2.0	2022-06-02	153.0	153.0	['COORDINATE_ROUNDED', 'GEODETIC_DATUM_ASSUMED_WGS84', 'IDENTIFIED_DATE_INVALID', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']		2024-04-10T15:19:20.350+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': 'MABIK CR00252780'}]	[]	[]	[]	False		Lee Damin	WGS84	Pycnogonida	KR	[]	[]	ASIA	Korea, Republic of	ASIA	MABIK CR00252780	MABIK CR00252780	MABIK		Uljin-gun	3970758337	CR	MABIK CR00252780													a8264021-9b25-41bb-88b5-eaba3fc66193	가시애기손바다거미	Pyeonghae-eup																																																																																	
3970754134	bef19e99-90a7-4b3d-a113-bdf4ea6c88f2	2b4e561b-0b1a-4c1b-b564-819bcfe006b8	9afa1395-6e93-4848-a42d-bce896f5195e	657b7bf0-766b-11d9-9f77-b8a03c50a862	KR	EML	2024-04-10T15:17:39.393+00:00	2024-04-10T15:19:20.325+00:00	116	{}	PRESERVED_SPECIMEN		PRESENT	2118434	1	54	354	9477065	6313	2118396	2118434	2118434	Achelia echinata Hodge, 1864	Achelia echinata Hodge, 1864	Animalia	Arthropoda	Pantopoda	Ammotheidae	Achelia	Achelia echinata	Achelia	echinata	SPECIES	ACCEPTED	NE	36.726072	129.732408					Gyeongsangbuk-do	{}	2022.0	6.0	2.0	2022-06-02	153.0	153.0	['COORDINATE_ROUNDED', 'GEODETIC_DATUM_ASSUMED_WGS84', 'IDENTIFIED_DATE_INVALID', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']		2024-04-10T15:19:20.325+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': 'MABIK CR00252782'}]	[]	[]	[]	False		Lee Damin	WGS84	Pycnogonida	KR	[]	[]	ASIA	Korea, Republic of	ASIA	MABIK CR00252782	MABIK CR00252782	MABIK		Uljin-gun	3970754134	CR	MABIK CR00252782													a8264021-9b25-41bb-88b5-eaba3fc66193	가시애기손바다거미	Pyeonghae-eup																																																																																	
3970754119	bef19e99-90a7-4b3d-a113-bdf4ea6c88f2	2b4e561b-0b1a-4c1b-b564-819bcfe006b8	9afa1395-6e93-4848-a42d-bce896f5195e	657b7bf0-766b-11d9-9f77-b8a03c50a862	KR	EML	2024-04-10T15:17:39.393+00:00	2024-04-10T15:19:20.324+00:00	116	{}	PRESERVED_SPECIMEN		PRESENT	2118434	1	54	354	9477065	6313	2118396	2118434	2118434	Achelia echinata Hodge, 1864	Achelia echinata Hodge, 1864	Animalia	Arthropoda	Pantopoda	Ammotheidae	Achelia	Achelia echinata	Achelia	echinata	SPECIES	ACCEPTED	NE	37.540939	130.847061				ASIA	Gyeongsangbuk-do	{}	2022.0	7.0	25.0	2022-07-25	206.0	206.0	['COORDINATE_ROUNDED', 'GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_DERIVED_FROM_COORDINATES', 'IDENTIFIED_DATE_INVALID', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']		2024-04-10T15:19:20.324+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': 'MABIK CR00252785'}]	[]	[]	[]	False		Lee Damin	WGS84	Pycnogonida	KR	[]	[]	ASIA	Korea, Republic of	ASIA	MABIK CR00252785	MABIK CR00252785	MABIK		Ulleung-gun	3970754119	CR	MABIK CR00252785													a8264021-9b25-41bb-88b5-eaba3fc66193	가시애기손바다거미	Buk-myeon																																																																																	
4459279207	bef19e99-90a7-4b3d-a113-bdf4ea6c88f2	2b4e561b-0b1a-4c1b-b564-819bcfe006b8	9afa1395-6e93-4848-a42d-bce896f5195e	657b7bf0-766b-11d9-9f77-b8a03c50a862	KR	EML	2024-04-10T15:17:39.393+00:00	2024-04-10T15:19:36.270+00:00	116	{}	PRESERVED_SPECIMEN		PRESENT	2118434	1	54	354	9477065	6313	2118396	2118434	2118434	Achelia echinata Hodge, 1864	Achelia echinata Hodge, 1864	Animalia	Arthropoda	Pantopoda	Ammotheidae	Achelia	Achelia echinata	Achelia	echinata	SPECIES	ACCEPTED	NE	37.541444	130.919611				ASIA	Gyeongsangbuk-do	{}	2022.0	7.0	2.0	2022-07-02	183.0	183.0	['COORDINATE_ROUNDED', 'GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_DERIVED_FROM_COORDINATES', 'IDENTIFIED_DATE_INVALID', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']		2024-04-10T15:19:36.270+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': 'MABIK CR00253043'}]	[]	[]	[]	False		Lee Damin	WGS84	Pycnogonida	KR	[]	[]	ASIA	Korea, Republic of	ASIA	MABIK CR00253043	MABIK CR00253043	MABIK		Ulleung-gun	4459279207	CR	MABIK CR00253043													a8264021-9b25-41bb-88b5-eaba3fc66193	가시애기손바다거미	Buk-myeon																																																																																	
4459279206	bef19e99-90a7-4b3d-a113-bdf4ea6c88f2	2b4e561b-0b1a-4c1b-b564-819bcfe006b8	9afa1395-6e93-4848-a42d-bce896f5195e	657b7bf0-766b-11d9-9f77-b8a03c50a862	KR	EML	2024-04-10T15:17:39.393+00:00	2024-04-10T15:19:36.269+00:00	116	{}	PRESERVED_SPECIMEN		PRESENT	2118434	1	54	354	9477065	6313	2118396	2118434	2118434	Achelia echinata Hodge, 1864	Achelia echinata Hodge, 1864	Animalia	Arthropoda	Pantopoda	Ammotheidae	Achelia	Achelia echinata	Achelia	echinata	SPECIES	ACCEPTED	NE	37.541444	130.919611				ASIA	Gyeongsangbuk-do	{}	2022.0	7.0	2.0	2022-07-02	183.0	183.0	['COORDINATE_ROUNDED', 'GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_DERIVED_FROM_COORDINATES', 'IDENTIFIED_DATE_INVALID', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']		2024-04-10T15:19:36.269+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': 'MABIK CR00253044'}]	[]	[]	[]	False		Lee Damin	WGS84	Pycnogonida	KR	[]	[]	ASIA	Korea, Republic of	ASIA	MABIK CR00253044	MABIK CR00253044	MABIK		Ulleung-gun	4459279206	CR	MABIK CR00253044													a8264021-9b25-41bb-88b5-eaba3fc66193	가시애기손바다거미	Buk-myeon																																																																																	
4459279234	bef19e99-90a7-4b3d-a113-bdf4ea6c88f2	2b4e561b-0b1a-4c1b-b564-819bcfe006b8	9afa1395-6e93-4848-a42d-bce896f5195e	657b7bf0-766b-11d9-9f77-b8a03c50a862	KR	EML	2024-04-10T15:17:39.393+00:00	2024-04-10T15:19:36.282+00:00	116	{}	PRESERVED_SPECIMEN		PRESENT	2118434	1	54	354	9477065	6313	2118396	2118434	2118434	Achelia echinata Hodge, 1864	Achelia echinata Hodge, 1864	Animalia	Arthropoda	Pantopoda	Ammotheidae	Achelia	Achelia echinata	Achelia	echinata	SPECIES	ACCEPTED	NE	37.541444	130.919611				ASIA	Gyeongsangbuk-do	{}	2022.0	7.0	2.0	2022-07-02	183.0	183.0	['COORDINATE_ROUNDED', 'GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_DERIVED_FROM_COORDINATES', 'IDENTIFIED_DATE_INVALID', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']		2024-04-10T15:19:36.282+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': 'MABIK CR00253045'}]	[]	[]	[]	False		Lee Damin	WGS84	Pycnogonida	KR	[]	[]	ASIA	Korea, Republic of	ASIA	MABIK CR00253045	MABIK CR00253045	MABIK		Ulleung-gun	4459279234	CR	MABIK CR00253045													a8264021-9b25-41bb-88b5-eaba3fc66193	가시애기손바다거미	Buk-myeon																																																																																	
3879984377	38b4c89f-584c-41bb-bd8f-cd1def33e92f	b8323864-602a-4a7d-9127-bb903054e97d	4346b227-ca68-4d54-8a77-909148492e0b	4c415e40-1e21-11de-9e40-a0d6ecebb8bf	SE	EML	2024-07-20T06:31:23.779+00:00	2024-07-20T19:32:21.268+00:00	471	{'http://rs.gbif.org/terms/1.0/Multimedia': [{'http://purl.org/dc/terms/type': 'image', 'http://purl.org/dc/terms/format': '.jpg', 'http://purl.org/dc/terms/created': '2022-07-09', 'http://purl.org/dc/terms/license': '© all rights reserved', 'http://purl.org/dc/terms/rightsHolder': 'Jonas Roth', 'http://purl.org/dc/terms/references': 'https://www.artportalen.se/Image/4043946'}, {'http://purl.org/dc/terms/type': 'image', 'http://purl.org/dc/terms/format': '.jpg', 'http://purl.org/dc/terms/created': '2022-07-09', 'http://purl.org/dc/terms/license': '© all rights reserved', 'http://purl.org/dc/terms/rightsHolder': 'Jonas Roth', 'http://purl.org/dc/terms/references': 'https://www.artportalen.se/Image/4043947'}, {'http://purl.org/dc/terms/type': 'image', 'http://purl.org/dc/terms/format': '.jpg', 'http://purl.org/dc/terms/created': '2022-07-09', 'http://purl.org/dc/terms/license': '© all rights reserved', 'http://purl.org/dc/terms/rightsHolder': 'Jonas Roth', 'http://purl.org/dc/terms/references': 'https://www.artportalen.se/Image/4043948'}]}	HUMAN_OBSERVATION	3.0	PRESENT	2118434	1	54	354	9477065	6313	2118396	2118434	2118434	Achelia echinata Hodge, 1864	Achelia echinata Hodge, 1864	Animalia	Arthropoda	Pantopoda	Ammotheidae	Achelia	Achelia echinata	Achelia	echinata	SPECIES	ACCEPTED	NE	58.54089	11.08724	50.0			EUROPE	Bohuslän	{}	2022.0	7.0	7.0	2022-07-07T11:00	188.0	188.0	['TAXON_MATCH_TAXON_ID_IGNORED']	2022-07-09T12:52:01.000+00:00	2024-07-20T19:32:21.268+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'urn:lsid:artportalen.se:sighting:102147908'}]	[{'type': 'StillImage', 'references': 'https://www.artportalen.se/Image/4043946', 'created': '2022-07-09T00:00:00.000+00:00', 'license': '© all rights reserved', 'rightsHolder': 'Jonas Roth'}, {'type': 'StillImage', 'references': 'https://www.artportalen.se/Image/4043948', 'created': '2022-07-09T00:00:00.000+00:00', 'license': '© all rights reserved', 'rightsHolder': 'Jonas Roth'}, {'type': 'StillImage', 'references': 'https://www.artportalen.se/Image/4043947', 'created': '2022-07-09T00:00:00.000+00:00', 'license': '© all rights reserved', 'rightsHolder': 'Jonas Roth'}]	[]	[]	False	Jonas Roth		WGS84	Pycnogonida	SE	[]	[]	EUROPE	Sweden	EUROPE	urn:lsid:artportalen.se:sighting:102147908	102147908	SLU Artdatabanken		Västra Götaland	3879984377	Artportalen	urn:lsid:artportalen.se:sighting:102147908			Artportalen	Jonas Roth		2022-07-07T11:00:00+02:00	Lyngöskäret S, Väderöarna, Boh	urn:lsid:dyntaxa.se:Taxon:245267	11:00:00+02:00	Bland alger					Lyngöskäret S, Väderöarna, Boh	Imago	3.0	urn:lsid:swedishlifewatch.se:dataprovider:Artportalen	diving	urn:lsid:swedishlifewatch.se:dataprovider:Artportalen:event:3157758860265792353	Tanum	Unvalidated	valid	EPSG:3857	urn:lsid:dyntaxa.se:Taxon:1012324	urn:lsid:artportalen.se:site:6674941	urn:lsid:dyntaxa.se:Taxon:245267	SLU Artdatabanken	Free usage	Biota | Animalia | Arthropoda | Chelicerata | Pycnogonida | Pantopoda | Acheliidae | Achelia																																																																		
