key	datasetKey	publishingOrgKey	networkKeys	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	individualCount	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	continent	gadm	waterBody	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	institutionKey	collectionKey	isInCluster	identifiedBy	preparations	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	identifier	catalogNumber	institutionID	institutionCode	islandGroup	ownerInstitutionCode	locality	fieldNumber	gbifID	collectionCode	occurrenceID	collectionID	verbatimDepth	recordedBy	eventID	samplingProtocol	parentEventID	sex	stateProvince	higherGeography	modified	datasetName	verbatimEventDate	higherClassification	references	rightsHolder	nomenclaturalCode	verbatimLocality	higherGeographyID	disposition	identificationRemarks	locationID	georeferenceProtocol	verbatimCoordinateSystem	depth	depthAccuracy	typeStatus	occurrenceRemarks	lifeStage	dateIdentified	coordinateUncertaintyInMeters	organismQuantity	organismQuantityType	datasetID	otherCatalogNumbers	language	type	taxonID	parentNameUsage	recordNumber	materialEntityID	georeferenceRemarks
4399690808	97169dfa-325b-4c1e-af91-3ef023f8a498	9abe4949-29aa-450e-b767-b2788f66e04d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	da87027f-12b5-442f-b132-0f6f25acfd53	9abe4949-29aa-450e-b767-b2788f66e04d	RU	EML	2024-06-18T12:44:43.404+00:00	2024-06-18T12:44:58.840+00:00	69	{}	PRESERVED_SPECIMEN	5.0	PRESENT	2118424	1	54	354	9477065	6313	2118396	2118424	2118424	Achelia pribilofensis (Cole, 1904)	Achelia pribilofensis (Cole, 1904)	Animalia	Arthropoda	Pantopoda	Ammotheidae	Achelia	Achelia pribilofensis	Achelia	pribilofensis	SPECIES	ACCEPTED	NE	54.6664294	167.8356596	ASIA	{'level0': {'gid': 'RUS', 'name': 'Russia'}, 'level1': {'gid': 'RUS.24_1', 'name': 'Kamchatka'}, 'level2': {'gid': 'RUS.24.1_1', 'name': 'Aleutskiy rayon'}, 'level3': {'gid': 'RUS.24.1.1_1', 'name': ''}}	Bering Sea	1993.0	7.0	3.0	1993-07-03	184.0	184.0	['COORDINATE_ROUNDED', 'COORDINATE_REPROJECTED', 'CONTINENT_DERIVED_FROM_COORDINATES']	2024-06-18T12:44:58.840+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': '6ce1f71c-8e1a-4a84-b3ea-f827a7c5c34d'}]	[]	[]	[]	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	fd699988-ab5d-4737-9443-9085cea191d2	False	Turpaeva, Elena	EtOH 75%	WGS84	Pycnogonida	RU	[]	[]	EUROPE	Russian Federation	EUROPE	6ce1f71c-8e1a-4a84-b3ea-f827a7c5c34d	INV0000916	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	IORAS	Commander Islands	IORAS	Medny Island	NA	4399690808	OBFc	6ce1f71c-8e1a-4a84-b3ea-f827a7c5c34d	fd699988-ab5d-4737-9443-9085cea191d2																																								
4399691311	97169dfa-325b-4c1e-af91-3ef023f8a498	9abe4949-29aa-450e-b767-b2788f66e04d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	da87027f-12b5-442f-b132-0f6f25acfd53	9abe4949-29aa-450e-b767-b2788f66e04d	RU	EML	2024-06-18T12:44:43.404+00:00	2024-06-18T12:44:58.947+00:00	69	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2118424	1	54	354	9477065	6313	2118396	2118424	2118424	Achelia pribilofensis (Cole, 1904)	Achelia pribilofensis (Cole, 1904)	Animalia	Arthropoda	Pantopoda	Ammotheidae	Achelia	Achelia pribilofensis	Achelia	pribilofensis	SPECIES	ACCEPTED	NE	47.5148827	152.816719	ASIA	{}	Pacific Ocean	1993.0	7.0	7.0	1993-07-07	188.0	188.0	['COORDINATE_REPROJECTED', 'CONTINENT_DERIVED_FROM_COORDINATES']	2024-06-18T12:44:58.947+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': '9289b1d8-b363-49b7-aa84-fd4262bc61df'}]	[]	[]	[]	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	fd699988-ab5d-4737-9443-9085cea191d2	False	Turpaeva, Elena	EtOH 75%	WGS84	Pycnogonida	RU	[]	[]	EUROPE	Russian Federation	EUROPE	9289b1d8-b363-49b7-aa84-fd4262bc61df	INV0000983	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	IORAS	Kuril Islands	IORAS	Crater Bay west, Yankicha island, Ushishir Islands	NA	4399691311	OBFc	9289b1d8-b363-49b7-aa84-fd4262bc61df	fd699988-ab5d-4737-9443-9085cea191d2																																								
4399691451	97169dfa-325b-4c1e-af91-3ef023f8a498	9abe4949-29aa-450e-b767-b2788f66e04d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	da87027f-12b5-442f-b132-0f6f25acfd53	9abe4949-29aa-450e-b767-b2788f66e04d	RU	EML	2024-06-18T12:44:43.404+00:00	2024-06-18T12:44:58.973+00:00	69	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2118424	1	54	354	9477065	6313	2118396	2118424	2118424	Achelia pribilofensis (Cole, 1904)	Achelia pribilofensis (Cole, 1904)	Animalia	Arthropoda	Pantopoda	Ammotheidae	Achelia	Achelia pribilofensis	Achelia	pribilofensis	SPECIES	ACCEPTED	NE				{}		1992.0	8.0	23.0	1992-08-23	236.0	236.0	[]	2024-06-18T12:44:58.973+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': '4a886eef-403d-4539-8e0b-562c11ee1700'}]	[]	[]	[]	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	fd699988-ab5d-4737-9443-9085cea191d2	False	Turpaeva, Elena	EtOH 75%		Pycnogonida		[]	[]			EUROPE	4a886eef-403d-4539-8e0b-562c11ee1700	INV0000982	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	IORAS		IORAS		NA	4399691451	OBFc	4a886eef-403d-4539-8e0b-562c11ee1700	fd699988-ab5d-4737-9443-9085cea191d2																																								
4399690539	97169dfa-325b-4c1e-af91-3ef023f8a498	9abe4949-29aa-450e-b767-b2788f66e04d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	da87027f-12b5-442f-b132-0f6f25acfd53	9abe4949-29aa-450e-b767-b2788f66e04d	RU	EML	2024-06-18T12:44:43.404+00:00	2024-06-18T12:44:58.774+00:00	69	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2118424	1	54	354	9477065	6313	2118396	2118424	2118424	Achelia pribilofensis (Cole, 1904)	Achelia pribilofensis (Cole, 1904)	Animalia	Arthropoda	Pantopoda	Ammotheidae	Achelia	Achelia pribilofensis	Achelia	pribilofensis	SPECIES	ACCEPTED	NE	47.51655	152.8017188	ASIA	"{'level0': {'gid': 'RUS', 'name': 'Russia'}, 'level1': {'gid': 'RUS.61_1', 'name': 'Sakhalin'}, 'level2': {'gid': 'RUS.61.9_1', 'name': ""Kuril'skiy rayon""}, 'level3': {'gid': 'RUS.61.9.1_1', 'name': ''}}"	Pacific Ocean	1992.0	8.0	28.0	1992-08-28	241.0	241.0	['COORDINATE_ROUNDED', 'COORDINATE_REPROJECTED', 'CONTINENT_DERIVED_FROM_COORDINATES']	2024-06-18T12:44:58.774+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': '83c0bf75-d364-4720-a993-d8b744abd8cc'}]	[]	[]	[]	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	fd699988-ab5d-4737-9443-9085cea191d2	False	Turpaeva, Elena	dried:EtOH 75%	WGS84	Pycnogonida	RU	[]	[]	EUROPE	Russian Federation	EUROPE	83c0bf75-d364-4720-a993-d8b744abd8cc	INV0000989	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	IORAS	Kuril Islands	IORAS	Crater Bay east, Yankicha island, Ushishir Islands	NA	4399690539	OBFc	83c0bf75-d364-4720-a993-d8b744abd8cc	fd699988-ab5d-4737-9443-9085cea191d2	0 - 63.0 m																																							
4399690328	97169dfa-325b-4c1e-af91-3ef023f8a498	9abe4949-29aa-450e-b767-b2788f66e04d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	da87027f-12b5-442f-b132-0f6f25acfd53	9abe4949-29aa-450e-b767-b2788f66e04d	RU	EML	2024-06-18T12:44:43.404+00:00	2024-06-18T12:44:59.032+00:00	69	{}	PRESERVED_SPECIMEN	2.0	PRESENT	2118424	1	54	354	9477065	6313	2118396	2118424	2118424	Achelia pribilofensis (Cole, 1904)	Achelia pribilofensis (Cole, 1904)	Animalia	Arthropoda	Pantopoda	Ammotheidae	Achelia	Achelia pribilofensis	Achelia	pribilofensis	SPECIES	ACCEPTED	NE	47.5148827	152.816719	ASIA	{}	Pacific Ocean	1992.0	9.0	6.0	1992-09-06	250.0	250.0	['COORDINATE_REPROJECTED', 'CONTINENT_DERIVED_FROM_COORDINATES']	2024-06-18T12:44:59.032+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': '50aa0d56-2b36-40c9-859b-131d2831b443'}]	[]	[]	[]	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	fd699988-ab5d-4737-9443-9085cea191d2	False	Turpaeva, Elena	EtOH 75%	WGS84	Pycnogonida	RU	[]	[]	EUROPE	Russian Federation	EUROPE	50aa0d56-2b36-40c9-859b-131d2831b443	INV0000981	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	IORAS	Kuril Islands	IORAS	Crater Bay west, Yankicha island, Ushishir Islands	NA	4399690328	OBFc	50aa0d56-2b36-40c9-859b-131d2831b443	fd699988-ab5d-4737-9443-9085cea191d2																																								
4399691033	97169dfa-325b-4c1e-af91-3ef023f8a498	9abe4949-29aa-450e-b767-b2788f66e04d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	da87027f-12b5-442f-b132-0f6f25acfd53	9abe4949-29aa-450e-b767-b2788f66e04d	RU	EML	2024-06-18T12:44:43.404+00:00	2024-06-18T12:44:58.891+00:00	69	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2118424	1	54	354	9477065	6313	2118396	2118424	2118424	Achelia pribilofensis (Cole, 1904)	Achelia pribilofensis (Cole, 1904)	Animalia	Arthropoda	Pantopoda	Ammotheidae	Achelia	Achelia pribilofensis	Achelia	pribilofensis	SPECIES	ACCEPTED	NE	48.8998906	154.2284678	ASIA	{}	Sea of Okhotsk	1987.0	8.0	29.0	1987-08-29	241.0	241.0	['COORDINATE_ROUNDED', 'COORDINATE_REPROJECTED', 'CONTINENT_DERIVED_FROM_COORDINATES']	2024-06-18T12:44:58.891+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': '18dcd375-846b-4e43-8d54-9e820a618a1d'}]	[]	[]	[]	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	fd699988-ab5d-4737-9443-9085cea191d2	False	Turpaeva, Elena	dried:EtOH 75%	WGS84	Pycnogonida	RU	[]	[]	EUROPE	Russian Federation	EUROPE	18dcd375-846b-4e43-8d54-9e820a618a1d	INV0001746	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	IORAS	Kuril Islands	IORAS	Severgin Strait, Kharimkotan - Shiashkotan Isls, Kuriles	NA	4399691033	OBFc	18dcd375-846b-4e43-8d54-9e820a618a1d	fd699988-ab5d-4737-9443-9085cea191d2	100.0 m	RV Tihookeanskii	RV Tihookeanskii__st.NA																																					
4399690707	97169dfa-325b-4c1e-af91-3ef023f8a498	9abe4949-29aa-450e-b767-b2788f66e04d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	da87027f-12b5-442f-b132-0f6f25acfd53	9abe4949-29aa-450e-b767-b2788f66e04d	RU	EML	2024-06-18T12:44:43.404+00:00	2024-06-18T12:44:58.811+00:00	69	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2118424	1	54	354	9477065	6313	2118396	2118424	2118424	Achelia pribilofensis (Cole, 1904)	Achelia pribilofensis (Cole, 1904)	Animalia	Arthropoda	Pantopoda	Ammotheidae	Achelia	Achelia pribilofensis	Achelia	pribilofensis	SPECIES	ACCEPTED	NE	49.1998919	154.5518194	ASIA	{}	Sea of Okhotsk	1987.0	8.0	27.0	1987-08-27	239.0	239.0	['COORDINATE_REPROJECTED', 'CONTINENT_DERIVED_FROM_COORDINATES']	2024-06-18T12:44:58.811+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': '579d6cb9-6580-4bc9-97d3-4d2b65a27cb1'}]	[]	[]	[]	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	fd699988-ab5d-4737-9443-9085cea191d2	False	Turpaeva, Elena	dried:EtOH 75%	WGS84	Pycnogonida	RU	[]	[]	EUROPE	Russian Federation	EUROPE	579d6cb9-6580-4bc9-97d3-4d2b65a27cb1	INV0001740	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	IORAS	Kuril Islands	IORAS	Krenitsyn Strait, Kurile Isls	372	4399690707	OBFc	579d6cb9-6580-4bc9-97d3-4d2b65a27cb1	fd699988-ab5d-4737-9443-9085cea191d2	50.0 m	RV Tihookeanskii	RV Tihookeanskii__st.372																																					
4399690797	97169dfa-325b-4c1e-af91-3ef023f8a498	9abe4949-29aa-450e-b767-b2788f66e04d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	da87027f-12b5-442f-b132-0f6f25acfd53	9abe4949-29aa-450e-b767-b2788f66e04d	RU	EML	2024-06-18T12:44:43.404+00:00	2024-06-18T12:44:59.123+00:00	69	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2118424	1	54	354	9477065	6313	2118396	2118424	2118424	Achelia pribilofensis (Cole, 1904)	Achelia pribilofensis (Cole, 1904)	Animalia	Arthropoda	Pantopoda	Ammotheidae	Achelia	Achelia pribilofensis	Achelia	pribilofensis	SPECIES	ACCEPTED	NE	48.516555	153.8684454		{}	Sea of Okhotsk	1987.0	8.0	21.0	1987-08-21	233.0	233.0	['COORDINATE_ROUNDED', 'COORDINATE_REPROJECTED']	2024-06-18T12:44:59.123+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': '73915c5c-8411-4187-b77d-eb6b7f85ee4a'}]	[]	[]	[]	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	fd699988-ab5d-4737-9443-9085cea191d2	False	Turpaeva, Elena	dried:EtOH 75%	WGS84	Pycnogonida	RU	[]	[]	EUROPE	Russian Federation	EUROPE	73915c5c-8411-4187-b77d-eb6b7f85ee4a	INV0001739	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	IORAS	Kuril Islands	IORAS	Lovushki Rocks south	316	4399690797	OBFc	73915c5c-8411-4187-b77d-eb6b7f85ee4a	fd699988-ab5d-4737-9443-9085cea191d2	60.0 m	RV Tihookeanskii	RV Tihookeanskii__st.316	Dredge																																				
4399691369	97169dfa-325b-4c1e-af91-3ef023f8a498	9abe4949-29aa-450e-b767-b2788f66e04d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	da87027f-12b5-442f-b132-0f6f25acfd53	9abe4949-29aa-450e-b767-b2788f66e04d	RU	EML	2024-06-18T12:44:43.404+00:00	2024-06-18T12:44:58.955+00:00	69	{}	PRESERVED_SPECIMEN	2.0	PRESENT	2118424	1	54	354	9477065	6313	2118396	2118424	2118424	Achelia pribilofensis (Cole, 1904)	Achelia pribilofensis (Cole, 1904)	Animalia	Arthropoda	Pantopoda	Ammotheidae	Achelia	Achelia pribilofensis	Achelia	pribilofensis	SPECIES	ACCEPTED	NE	48.6882229	153.9851204	ASIA	{}	Sea of Okhotsk	1987.0	8.0	22.0	1987-08-22	234.0	234.0	['COORDINATE_ROUNDED', 'COORDINATE_REPROJECTED', 'CONTINENT_DERIVED_FROM_COORDINATES']	2024-06-18T12:44:58.955+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': 'bd199168-50ab-4131-ab6e-d6dc2b17966d'}]	[]	[]	[]	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	fd699988-ab5d-4737-9443-9085cea191d2	False	Turpaeva, Elena	dried:EtOH 75%	WGS84	Pycnogonida	RU	[]	[]	EUROPE	Russian Federation	EUROPE	bd199168-50ab-4131-ab6e-d6dc2b17966d	INV0001743	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	IORAS	Kuril Islands	IORAS	Lovushki rocks, Krusenstern Strait	331	4399691369	OBFc	bd199168-50ab-4131-ab6e-d6dc2b17966d	fd699988-ab5d-4737-9443-9085cea191d2	100.0 m	RV Tihookeanskii	RV Tihookeanskii__st.331	Dredge																																				
4399691097	97169dfa-325b-4c1e-af91-3ef023f8a498	9abe4949-29aa-450e-b767-b2788f66e04d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	da87027f-12b5-442f-b132-0f6f25acfd53	9abe4949-29aa-450e-b767-b2788f66e04d	RU	EML	2024-06-18T12:44:43.404+00:00	2024-06-18T12:44:58.903+00:00	69	{}	PRESERVED_SPECIMEN	3.0	PRESENT	2118424	1	54	354	9477065	6313	2118396	2118424	2118424	Achelia pribilofensis (Cole, 1904)	Achelia pribilofensis (Cole, 1904)	Animalia	Arthropoda	Pantopoda	Ammotheidae	Achelia	Achelia pribilofensis	Achelia	pribilofensis	SPECIES	ACCEPTED	NE	64.4162182	-173.3966652	ASIA	{'level0': {'gid': 'RUS', 'name': 'Russia'}, 'level1': {'gid': 'RUS.12_1', 'name': 'Chukot'}, 'level2': {'gid': 'RUS.12.7_1', 'name': 'Providenskiy rayon'}, 'level3': {'gid': 'RUS.12.7.1_1', 'name': ''}}	Bering Sea	1976.0	9.0	10.0	1976-09-10	254.0	254.0	['COORDINATE_ROUNDED', 'COORDINATE_REPROJECTED', 'CONTINENT_DERIVED_FROM_COORDINATES']	2024-06-18T12:44:58.903+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': 'f6db01b5-07dc-4dcf-a5a8-0b67e0c176e0'}]	[]	[]	[]	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	fd699988-ab5d-4737-9443-9085cea191d2	False	Turpaeva, Elena	EtOH 75%	WGS84	Pycnogonida	RU	[]	[]	EUROPE	Russian Federation	EUROPE	f6db01b5-07dc-4dcf-a5a8-0b67e0c176e0	INV0000915	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	IORAS		IORAS	Providence Bay	NA	4399691097	OBFc	f6db01b5-07dc-4dcf-a5a8-0b67e0c176e0	fd699988-ab5d-4737-9443-9085cea191d2																																								
