key	datasetKey	publishingOrgKey	networkKeys	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	projectId	extensions	basisOfRecord	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	depth	depthAccuracy	gadm	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	lastInterpreted	license	organismQuantity	organismQuantityType	isSequenced	identifiers	media	facts	relations	institutionKey	isInCluster	identifiedBy	preparations	samplingProtocol	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	eventID	identifier	scientificNameID	institutionID	verbatimEventDate	footprintWKT	fieldNumber	language	gbifID	occurrenceID	type	catalogNumber	institutionCode	sex	occurrenceRemarks	individualCount	dateIdentified	continent	modified	datasetName	otherCatalogNumbers	recordNumber	islandGroup	island	associatedReferences	collectionCode	lifeStage	stateProvince	typeStatus	references	datasetID	locality	bibliographicCitation
3386517437	1e7b6980-0842-4c4a-8b14-541b95d2ed3c	104e9c96-791b-4f14-978c-f581cb214912	['8534dd20-c368-4a1f-bdaf-e6b390710f89', '2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	27c24cba-13c5-47d1-96a1-16abd8f11437	fb10a11f-4417-41c8-be6a-13a5c8535122	GB	EML	2024-01-23T14:13:17.412+00:00	2024-01-26T10:52:24.985+00:00	97	GOIPG/2019/4020	{}	PRESERVED_SPECIMEN	PRESENT	5166767	1	54	354	9477065	6313	2118547	5166767	5166767	Ammothea bicorniculata Stiboy-Risch, 1992	Ammothea bicorniculata Stiboy-Risch, 1992	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothea	Ammothea bicorniculata	Ammothea	bicorniculata	SPECIES	ACCEPTED	NE	-64.021	-55.9186	378.0	402.5	0.5	{}	2019.0	3.0	12.0	2019-03-12	71.0	71.0	['COLLECTION_MATCH_NONE']	2024-01-26T10:52:24.985+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	1.0	individuals	False	[{'identifier': 'PS118_0041_01'}]	[]	[]	[]	da671615-9a15-4844-9d5e-ef66382192fb	False	Jamie Maxwell	Whole animal in 96% ethanol	Agassiz trawl|https://epic.awi.de/id/eprint/48988/1/Expeditionsprogramm_PS118_Dorschel.pdf	WGS84	Pycnogonida	AQ	[]	[{'type': 'ORCID', 'value': 'https://orcid.org/0000-0001-5705-2811'}]	ANTARCTICA	Antarctica	EUROPE	PS118	PS118_0041_01	urn:lsid:marinespecies.org:taxname:172897	https://ror.org/01rhff309	12/3/2019	LINESTRING (-55.911008 -64.02164, -55.92614 -64.02027)	PS118_9_7	en	3386517437	PS118_0041_01	PhysicalObject	PS118_0041_01	BAS																				
3386517504	1e7b6980-0842-4c4a-8b14-541b95d2ed3c	104e9c96-791b-4f14-978c-f581cb214912	['8534dd20-c368-4a1f-bdaf-e6b390710f89', '2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	27c24cba-13c5-47d1-96a1-16abd8f11437	fb10a11f-4417-41c8-be6a-13a5c8535122	GB	EML	2024-01-23T14:13:17.412+00:00	2024-01-26T10:52:25.232+00:00	97	GOIPG/2019/4020	{}	PRESERVED_SPECIMEN	PRESENT	5166767	1	54	354	9477065	6313	2118547	5166767	5166767	Ammothea bicorniculata Stiboy-Risch, 1992	Ammothea bicorniculata Stiboy-Risch, 1992	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothea	Ammothea bicorniculata	Ammothea	bicorniculata	SPECIES	ACCEPTED	NE	-63.8366	-55.5772	443.0	408.5	3.5	{}	2019.0	3.0	14.0	2019-03-14	73.0	73.0	['COLLECTION_MATCH_NONE']	2024-01-26T10:52:25.232+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	1.0	individuals	False	[{'identifier': 'PS118_0119_04'}]	[]	[]	[]	da671615-9a15-4844-9d5e-ef66382192fb	False	Jamie Maxwell	Whole animal in 96% ethanol	Agassiz trawl|https://epic.awi.de/id/eprint/48988/1/Expeditionsprogramm_PS118_Dorschel.pdf	WGS84	Pycnogonida	AQ	[]	[{'type': 'ORCID', 'value': 'https://orcid.org/0000-0001-5705-2811'}]	ANTARCTICA	Antarctica	EUROPE	PS118	PS118_0119_04	urn:lsid:marinespecies.org:taxname:172897	https://ror.org/01rhff309	14/03/2019	LINESTRING (-55.586023 -63.83744, -55.56843 -63.83575)	PS118_12_10	en	3386517504	PS118_0119_04	PhysicalObject	PS118_0119_04	BAS																				
3386517507	1e7b6980-0842-4c4a-8b14-541b95d2ed3c	104e9c96-791b-4f14-978c-f581cb214912	['8534dd20-c368-4a1f-bdaf-e6b390710f89', '2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	27c24cba-13c5-47d1-96a1-16abd8f11437	fb10a11f-4417-41c8-be6a-13a5c8535122	GB	EML	2024-01-23T14:13:17.412+00:00	2024-01-26T10:52:25.008+00:00	97	GOIPG/2019/4020	{}	PRESERVED_SPECIMEN	PRESENT	5166767	1	54	354	9477065	6313	2118547	5166767	5166767	Ammothea bicorniculata Stiboy-Risch, 1992	Ammothea bicorniculata Stiboy-Risch, 1992	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothea	Ammothea bicorniculata	Ammothea	bicorniculata	SPECIES	ACCEPTED	NE	-63.0541	-54.3203	240.0	443.5	1.5	{}	2019.0	3.0	23.0	2019-03-23	82.0	82.0	['COLLECTION_MATCH_NONE']	2024-01-26T10:52:25.008+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	1.0	individuals	False	[{'identifier': 'PS118_0178_01'}]	[]	[]	[]	da671615-9a15-4844-9d5e-ef66382192fb	False	Jamie Maxwell	Whole animal in 96% ethanol	Agassiz trawl|https://epic.awi.de/id/eprint/48988/1/Expeditionsprogramm_PS118_Dorschel.pdf	WGS84	Pycnogonida	AQ	[]	[{'type': 'ORCID', 'value': 'https://orcid.org/0000-0001-5705-2811'}]	ANTARCTICA	Antarctica	EUROPE	PS118	PS118_0178_01	urn:lsid:marinespecies.org:taxname:172897	https://ror.org/01rhff309	23/03/2019	LINESTRING (-54.316673 -63.05552, -54.32385 -63.0527)	PS118_38_10	en	3386517507	PS118_0178_01	PhysicalObject	PS118_0178_01	BAS	MALE	Larvae present																		
3386517468	1e7b6980-0842-4c4a-8b14-541b95d2ed3c	104e9c96-791b-4f14-978c-f581cb214912	['8534dd20-c368-4a1f-bdaf-e6b390710f89', '2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	27c24cba-13c5-47d1-96a1-16abd8f11437	fb10a11f-4417-41c8-be6a-13a5c8535122	GB	EML	2024-01-23T14:13:17.412+00:00	2024-01-26T10:52:25.230+00:00	97	GOIPG/2019/4020	{}	PRESERVED_SPECIMEN	PRESENT	5166767	1	54	354	9477065	6313	2118547	5166767	5166767	Ammothea bicorniculata Stiboy-Risch, 1992	Ammothea bicorniculata Stiboy-Risch, 1992	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothea	Ammothea bicorniculata	Ammothea	bicorniculata	SPECIES	ACCEPTED	NE	-70.8352	-10.5806	766.0	257.6	26.400000000000006	{}	2011.0	3.0	31.0	2011-03-31	90.0	90.0	['COLLECTION_MATCH_NONE']	2024-01-26T10:52:25.230+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	1.0	individuals	False	[{'identifier': 'ANTXXVII/3_PS77_1291_1.3'}]	[]	[]	[]	da671615-9a15-4844-9d5e-ef66382192fb	False	Jamie Maxwell	Whole animal in 96% ethanol	bottom trawl|https://epic.awi.de/id/eprint/30175/1/644-2012%20ANT27-3%20RKnust.pdf	WGS84	Pycnogonida	AQ	[]	[{'type': 'ORCID', 'value': 'https://orcid.org/0000-0001-5705-2811'}]	ANTARCTICA	Antarctica	EUROPE	PS77	ANTXXVII/3_PS77_1291_1.3	urn:lsid:marinespecies.org:taxname:172897	https://ror.org/01rhff309	31/03/2011	LINESTRING (-10.587333 -70.84167, -10.57383333 -70.82866667)	PS77_PS77/291-1	en	3386517468	ANTXXVII/3_PS77_1291_1.3	PhysicalObject	ANTXXVII/3_PS77_1291_1.3	BAS																				
3386517018	1e7b6980-0842-4c4a-8b14-541b95d2ed3c	104e9c96-791b-4f14-978c-f581cb214912	['8534dd20-c368-4a1f-bdaf-e6b390710f89', '2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	27c24cba-13c5-47d1-96a1-16abd8f11437	fb10a11f-4417-41c8-be6a-13a5c8535122	GB	EML	2024-01-23T14:13:17.412+00:00	2024-01-26T10:52:24.935+00:00	97	GOIPG/2019/4020	{}	PRESERVED_SPECIMEN	PRESENT	5166767	1	54	354	9477065	6313	2118547	5166767	5166767	Ammothea bicorniculata Stiboy-Risch, 1992	Ammothea bicorniculata Stiboy-Risch, 1992	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothea	Ammothea bicorniculata	Ammothea	bicorniculata	SPECIES	ACCEPTED	NE	-67.163	-69.45	1000.0	460.37	0.0	{}	2009.0	12.0	4.0	2009-12-04	338.0	338.0	['COLLECTION_MATCH_NONE']	2024-01-26T10:52:24.935+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	1.0	individuals	False	[{'identifier': 'JR230_09_0221'}]	[]	[]	[]	da671615-9a15-4844-9d5e-ef66382192fb	False	Claudia Arango	Whole animal in 96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr230.pdf	WGS84	Pycnogonida	AQ	[]	[{'type': 'ORCID', 'value': 'https://orcid.org/0000-0003-1098-830X'}]	ANTARCTICA	Antarctica	EUROPE	JR230	JR230_09_0221	urn:lsid:marinespecies.org:taxname:172897	https://ror.org/01rhff309	4/12/2009		JR230_BASWAP3-AGT-7c	en	3386517018	JR230_09_0221	PhysicalObject	JR230_09_0221	BAS	MALE																			
3326687455	7a498826-f762-11e1-a439-00145eb45e9a	e8eada63-4a33-44aa-b2fd-4f71efb222a0		2a3f6a56-7591-4f05-8c4c-a1bb77aa4ea6	6c4a0bb0-2a4d-11d8-aa2d-b8a03c50a862	ES	EML	2024-05-28T13:54:27.401+00:00	2024-05-28T13:55:24.659+00:00	360		{}	PRESERVED_SPECIMEN	PRESENT	5166767	1	54	354	9477065	6313	2118547	5166767	5166767	Ammothea bicorniculata Stiboy-Risch, 1992	Ammothea bicorniculata Stiboy-Risch, 1992	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothea	Ammothea bicorniculata	Ammothea	bicorniculata	SPECIES	ACCEPTED	NE				260.15	2.8499999999999943	{}	2007.0	1.0	4.0	2007-01-04	4.0	4.0	['COORDINATE_INVALID', 'CONTINENT_INVALID', 'CONTINENT_DERIVED_FROM_COUNTRY', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2024-05-28T13:55:24.659+00:00	http://creativecommons.org/licenses/by/4.0/legalcode			False	[{'identifier': 'MCNB:MCNB-Art:MZB 2013-1873'}]	[]	[]	[]	e3d4dcc4-81e2-444c-8a5c-41d1044b5381	False	López González, Pablo José|Cano-Sánchez, Esperanza	animal sencer (alcohol etílic 70º)	draga BT		Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	EUROPE		MCNB:MCNB-Art:MZB 2013-1873					ANT XXIII/8, campanya	ca	3326687455	MCNB:MCNB-Art:MZB 2013-1873	Collection	MZB 2013-1873	MCNB			50.0	2004-01-01T00:00:00	ANTARCTICA	2023-01-01T00:00:00.000+00:00	Museu de Ciències Naturals de Barcelona: MCNB-Art	P. 313	ANT XXIII/8, stn. 687-1	Joinville, arxipèlag de	Joinville, illa	Cano-Sánchez, Esperanza; López González, Pablo José. New findings and a new species of the genus Ammothea (Pycnogonida, Ammotheidae), with an updated identification key to all Antarctic and sub-Antarctic species. Helgoland Marine Research, 2014, vol. 68, p. 155-168.	MCNB-Art							
3326687320	7a498826-f762-11e1-a439-00145eb45e9a	e8eada63-4a33-44aa-b2fd-4f71efb222a0		2a3f6a56-7591-4f05-8c4c-a1bb77aa4ea6	6c4a0bb0-2a4d-11d8-aa2d-b8a03c50a862	ES	EML	2024-05-28T13:54:27.401+00:00	2024-05-28T13:55:05.343+00:00	360		{}	PRESERVED_SPECIMEN	PRESENT	5166767	1	54	354	9477065	6313	2118547	5166767	5166767	Ammothea bicorniculata Stiboy-Risch, 1992	Ammothea bicorniculata Stiboy-Risch, 1992	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothea	Ammothea bicorniculata	Ammothea	bicorniculata	SPECIES	ACCEPTED	NE				188.125	154.075	{}	2006.0	12.0	29.0	2006-12-29	363.0	363.0	['COORDINATE_INVALID', 'CONTINENT_INVALID', 'CONTINENT_DERIVED_FROM_COUNTRY', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2024-05-28T13:55:05.343+00:00	http://creativecommons.org/licenses/by/4.0/legalcode			False	[{'identifier': 'MCNB:MCNB-Art:MZB 2013-3692'}]	[]	[]	[]	e3d4dcc4-81e2-444c-8a5c-41d1044b5381	False	López González, Pablo José|Cano-Sánchez, Esperanza	animal sencer (alcohol etílic 70º)	Agassiz|draga d'		Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	EUROPE		MCNB:MCNB-Art:MZB 2013-3692					ANT XXIII/8, campanya	ca	3326687320	MCNB:MCNB-Art:MZB 2013-3692	Collection	MZB 2013-3692	MCNB	FEMALE		1.0	2004-01-01T00:00:00	ANTARCTICA	2023-01-01T00:00:00.000+00:00	Museu de Ciències Naturals de Barcelona: MCNB-Art		61º 22.80'S 56º 03.84'W			Cano-Sánchez, Esperanza; López González, Pablo José. New findings and a new species of the genus Ammothea (Pycnogonida, Ammotheidae), with an updated identification key to all Antarctic and sub-Antarctic species. Helgoland Marine Research, 2014, vol. 68, p. 155-168.	MCNB-Art	Adult	Elefant, illa					
4055769196	2f7c33b3-ea7a-40ac-a3b7-bace96f978f7	2089ce96-4fb5-4a20-999c-3ccf45a27a4d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f9df6cff-21d4-4d4b-8da4-eda454f5a086	2089ce96-4fb5-4a20-999c-3ccf45a27a4d	BE	EML	2024-07-02T17:06:09.698+00:00	2024-07-02T17:12:10.786+00:00	81		{}	PRESERVED_SPECIMEN	PRESENT	5166767	1	54	354	9477065	6313	2118547	5166767	5166767	Ammothea bicorniculata Stiboy-Risch, 1992	Ammothea bicorniculata Stiboy-Risch, 1992	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothea	Ammothea bicorniculata	Ammothea	bicorniculata	SPECIES	ACCEPTED	NE	-73.38	-21.5		473.0		{}	1985.0	2.0	18.0	1985-02-18	49.0	49.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'INSTITUTION_MATCH_NONE']	2024-07-02T17:12:10.786+00:00	http://creativecommons.org/licenses/by/4.0/legalcode			False	[{'identifier': 'WoRMS Editorial Board:WoRMS type localities:sm_id_654'}]	[]	[]	[]		True				WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	EUROPE		WoRMS Editorial Board:WoRMS type localities:sm_id_654	urn:lsid:marinespecies.org:taxname:172897						4055769196	WoRMS Editorial Board:WoRMS type localities:sm_id_654		sm_id_654	WoRMS Editorial Board						2007-06-20T15:52:33.000+00:00							WoRMS type localities			HOLOTYPE	http://www.marinespecies.org/aphia.php?p=specdetails&id=654	https://marineinfo.org/id/dataset/5184	Weddell Sea	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Ammothea bicorniculata</i> Stiboy-Risch, 1992. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=172897
3774616302	3bd5570d-2a82-4e6b-9493-9381b5a37516	6e1cad80-bdf5-11d8-84ea-b8a03c50a862		603065ae-f762-11e1-a439-00145eb45e9a	6e1cad80-bdf5-11d8-84ea-b8a03c50a862	DE	BIOCASE	2024-01-22T20:38:14.137+00:00	2024-01-26T14:32:40.025+00:00	44		{}	PRESERVED_SPECIMEN	PRESENT	5166767	1	54	354	9477065	6313	2118547	5166767	5166767	Ammothea bicorniculata Stiboy-Risch, 1992	Ammothea bicorniculata Stiboy-Risch, 1992	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothea	Ammothea bicorniculata	Ammothea	bicorniculata	SPECIES	ACCEPTED	NE						{}							['COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2024-01-26T14:32:40.025+00:00	http://creativecommons.org/licenses/by/4.0/legalcode			False	[{'identifier': 'http://id.zfmk.de/collection_ZFMK/223852244/874273/147230'}]	[]	[]	[]	07d2dd65-80b8-4402-bf51-b55809c85f87	True	C. Stiboy-Risch				Pycnogonida		[]	[]			EUROPE		http://id.zfmk.de/collection_ZFMK/223852244/874273/147230							3774616302	http://id.zfmk.de/collection_ZFMK/223852244/874273/147230		ZFMK-Pa-00083	ZFMK													Pa			PARATYPE				
318004159	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862		6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:21.350+00:00	124		{}	OCCURRENCE	PRESENT	5166767	1	54	354	9477065	6313	2118547	5166767	5166767	Ammothea bicorniculata Stiboy-Risch, 1992	Ammothea bicorniculata Stiboy-Risch, 1992	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothea	Ammothea bicorniculata	Ammothea	bicorniculata	SPECIES	ACCEPTED	NE	-63.5	-54.25		220.0	0.0	{}							['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:21.350+00:00	http://creativecommons.org/licenses/by/4.0/legalcode			False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:39599'}]	[]	[]	[]		False				WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	EUROPE									318004159			39599	BAS													SOMBASE Pycnogonids							
