key	datasetKey	publishingOrgKey	networkKeys	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	individualCount	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	gadm	waterBody	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	institutionKey	collectionKey	isInCluster	recordedBy	identifiedBy	preparations	samplingProtocol	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	eventID	identifier	institutionID	locality	fieldNumber	collectionCode	gbifID	occurrenceID	verbatimDepth	catalogNumber	institutionCode	ownerInstitutionCode	parentEventID	collectionID	projectId	coordinateUncertaintyInMeters	depth	depthAccuracy	continent	organismQuantity	organismQuantityType	scientificNameID	verbatimEventDate	footprintWKT	language	type	lifeStage	identificationRemarks	sex	modified	datasetName	recordNumber	associatedReferences	verbatimLocality	datasetID	http://unknown.org/taxonRankID	taxonConceptID	identificationQualifier	http://unknown.org/species	taxonID	dateIdentified	stateProvince	otherCatalogNumbers	establishmentMeans	higherGeography	references	dynamicProperties	georeferenceVerificationStatus	eventTime	accessRights	higherClassification	bibliographicCitation	habitat	verbatimCoordinateSystem	island	coordinatePrecision	acceptedNameUsage	locationRemarks	nameAccordingTo	georeferenceProtocol	locationID	occurrenceRemarks	county	typeStatus	http://unknown.org/language	originalNameUsage	identificationVerificationStatus	http://unknown.org/orders	associatedSequences	verbatimIdentification	rightsHolder	nomenclaturalCode	disposition
4851017402	97169dfa-325b-4c1e-af91-3ef023f8a498	9abe4949-29aa-450e-b767-b2788f66e04d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	da87027f-12b5-442f-b132-0f6f25acfd53	9abe4949-29aa-450e-b767-b2788f66e04d	RU	EML	2024-06-18T12:44:43.404+00:00	2024-06-18T12:44:58.860+00:00	69	{}	PRESERVED_SPECIMEN	1.0	PRESENT	5166782	1	54	354	9477065	6313	2118547	5166782	5166782	Ammothea clausi Pfeffer, 1889	Ammothea clausi Pfeffer, 1889	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothea	Ammothea clausi	Ammothea	clausi	SPECIES	ACCEPTED	NE	-63.742664	-55.2064123	{}	Weddell Sea	2022.0	1.0	29.0	2022-01-29	29.0	29.0	['COORDINATE_REPROJECTED', 'COUNTRY_DERIVED_FROM_COORDINATES']	2024-06-18T12:44:58.860+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': 'c14f7eda-6e14-4937-9f8a-e129dfc23650'}]	[{'type': 'StillImage', 'format': 'image/png', 'identifier': 'https://gbif.ocean.ru/attachments/inv0003668_1.png'}, {'type': 'StillImage', 'format': 'image/png', 'identifier': 'https://gbif.ocean.ru/attachments/inv0003668_2.png'}]	[]	[]	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	fd699988-ab5d-4737-9443-9085cea191d2	False	RV Akademik Mstislav Keldysh	Dudnik, Zoya	EtOH 96%	Sigsbee Trawl	WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	EUROPE	RV Akademik Mstislav Keldysh_cruise_87_st.7337	c14f7eda-6e14-4937-9f8a-e129dfc23650	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	Weddell Sea	7337	OBFc	4851017402	c14f7eda-6e14-4937-9f8a-e129dfc23650	510.0 - 511.0 m	INV0003668	IORAS	IORAS	cruise 87	fd699988-ab5d-4737-9443-9085cea191d2																																																											
3386516755	1e7b6980-0842-4c4a-8b14-541b95d2ed3c	104e9c96-791b-4f14-978c-f581cb214912	['8534dd20-c368-4a1f-bdaf-e6b390710f89', '2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	27c24cba-13c5-47d1-96a1-16abd8f11437	fb10a11f-4417-41c8-be6a-13a5c8535122	GB	EML	2024-01-23T14:13:17.412+00:00	2024-01-26T10:52:24.709+00:00	97	{}	PRESERVED_SPECIMEN		PRESENT	5166782	1	54	354	9477065	6313	2118547	5166782	5166782	Ammothea clausi Pfeffer, 1889	Ammothea clausi Pfeffer, 1889	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothea	Ammothea clausi	Ammothea	clausi	SPECIES	ACCEPTED	NE	-64.0483	-58.4648	{}		2018.0	3.0	5.0	2018-03-05	64.0	64.0	['CONTINENT_DERIVED_FROM_COORDINATES', 'COLLECTION_MATCH_NONE']	2024-01-26T10:52:24.709+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'JR17003a_0086_EBS_E_1'}]	[]	[]	[]	da671615-9a15-4844-9d5e-ef66382192fb		False		Jamie Maxwell	Whole animal in 96% ethanol	epibenthic sledge|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr17003a.pdf	WGS84	Pycnogonida	AQ	[]	[{'type': 'ORCID', 'value': 'https://orcid.org/0000-0001-5705-2811'}]	ANTARCTICA	Antarctica	EUROPE	JR17003a	JR17003a_0086_EBS_E_1	https://ror.org/01rhff309		JR17003a_035		3386516755	JR17003a_0086_EBS_E_1		JR17003a_0086_EBS_E_1	BAS				GOIPG/2019/4020	305.0	757.0	30.0	ANTARCTICA	1.0	individuals	urn:lsid:marinespecies.org:taxname:172907	5/3/2018	LINESTRING (-58.4599 -64.0466, -58.4697 -64.05)	en	PhysicalObject																																															
3386517420	1e7b6980-0842-4c4a-8b14-541b95d2ed3c	104e9c96-791b-4f14-978c-f581cb214912	['8534dd20-c368-4a1f-bdaf-e6b390710f89', '2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	27c24cba-13c5-47d1-96a1-16abd8f11437	fb10a11f-4417-41c8-be6a-13a5c8535122	GB	EML	2024-01-23T14:13:17.412+00:00	2024-01-26T10:52:24.979+00:00	97	{}	PRESERVED_SPECIMEN		PRESENT	5166782	1	54	354	9477065	6313	2118547	5166782	5166782	Ammothea clausi Pfeffer, 1889	Ammothea clausi Pfeffer, 1889	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothea	Ammothea clausi	Ammothea	clausi	SPECIES	ACCEPTED	NE	-63.8083	-58.0679	{}		2018.0	3.0	6.0	2018-03-06	65.0	65.0	['CONTINENT_DERIVED_FROM_COORDINATES', 'COLLECTION_MATCH_NONE']	2024-01-26T10:52:24.979+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'JR17003a_0332-2'}]	[]	[]	[]	da671615-9a15-4844-9d5e-ef66382192fb		False		Jamie Maxwell	Whole animal in 96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr17003a.pdf	WGS84	Pycnogonida	AQ	[]	[{'type': 'ORCID', 'value': 'https://orcid.org/0000-0001-5705-2811'}]	ANTARCTICA	Antarctica	EUROPE	JR17003a	JR17003a_0332-2	https://ror.org/01rhff309		JR17003a_046		3386517420	JR17003a_0332-2		JR17003a_0332-2	BAS				GOIPG/2019/4020	286.0	857.0	13.0	ANTARCTICA	1.0	individuals	urn:lsid:marinespecies.org:taxname:172907	6/3/2018	LINESTRING (-58.06523 -63.80603, -58.07064 -63.81058)	en	PhysicalObject																																															
3386517424	1e7b6980-0842-4c4a-8b14-541b95d2ed3c	104e9c96-791b-4f14-978c-f581cb214912	['8534dd20-c368-4a1f-bdaf-e6b390710f89', '2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	27c24cba-13c5-47d1-96a1-16abd8f11437	fb10a11f-4417-41c8-be6a-13a5c8535122	GB	EML	2024-01-23T14:13:17.412+00:00	2024-01-26T10:52:24.980+00:00	97	{}	PRESERVED_SPECIMEN		PRESENT	5166782	1	54	354	9477065	6313	2118547	5166782	5166782	Ammothea clausi Pfeffer, 1889	Ammothea clausi Pfeffer, 1889	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothea	Ammothea clausi	Ammothea	clausi	SPECIES	ACCEPTED	NE	-63.8083	-58.0679	{}		2018.0	3.0	6.0	2018-03-06	65.0	65.0	['CONTINENT_DERIVED_FROM_COORDINATES', 'COLLECTION_MATCH_NONE']	2024-01-26T10:52:24.980+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'JR17003a_0332-7'}]	[]	[]	[]	da671615-9a15-4844-9d5e-ef66382192fb		False		Jamie Maxwell	Whole animal in 96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr17003a.pdf	WGS84	Pycnogonida	AQ	[]	[{'type': 'ORCID', 'value': 'https://orcid.org/0000-0001-5705-2811'}]	ANTARCTICA	Antarctica	EUROPE	JR17003a	JR17003a_0332-7	https://ror.org/01rhff309		JR17003a_046		3386517424	JR17003a_0332-7		JR17003a_0332-7	BAS				GOIPG/2019/4020	286.0	857.0	13.0	ANTARCTICA	2.0	individuals	urn:lsid:marinespecies.org:taxname:172907	6/3/2018	LINESTRING (-58.06523 -63.80603, -58.07064 -63.81058)	en	PhysicalObject	Juvenile																																														
3386516699	1e7b6980-0842-4c4a-8b14-541b95d2ed3c	104e9c96-791b-4f14-978c-f581cb214912	['8534dd20-c368-4a1f-bdaf-e6b390710f89', '2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	27c24cba-13c5-47d1-96a1-16abd8f11437	fb10a11f-4417-41c8-be6a-13a5c8535122	GB	EML	2024-01-23T14:13:17.412+00:00	2024-01-26T10:52:24.709+00:00	97	{}	PRESERVED_SPECIMEN		PRESENT	5166782	1	54	354	9477065	6313	2118547	5166782	5166782	Ammothea clausi Pfeffer, 1889	Ammothea clausi Pfeffer, 1889	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothea	Ammothea clausi	Ammothea	clausi	SPECIES	ACCEPTED	NE	-63.8083	-58.0679	{}		2018.0	3.0	6.0	2018-03-06	65.0	65.0	['CONTINENT_DERIVED_FROM_COORDINATES', 'COLLECTION_MATCH_NONE']	2024-01-26T10:52:24.709+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'JR17003a_0333-5'}]	[]	[]	[]	da671615-9a15-4844-9d5e-ef66382192fb		False		Jamie Maxwell	Whole animal in 96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr17003a.pdf	WGS84	Pycnogonida	AQ	[]	[{'type': 'ORCID', 'value': 'https://orcid.org/0000-0001-5705-2811'}]	ANTARCTICA	Antarctica	EUROPE	JR17003a	JR17003a_0333-5	https://ror.org/01rhff309		JR17003a_046		3386516699	JR17003a_0333-5		JR17003a_0333-5	BAS				GOIPG/2019/4020	286.0	857.0	13.0	ANTARCTICA	1.0	individuals	urn:lsid:marinespecies.org:taxname:172907	6/3/2018	LINESTRING (-58.06523 -63.80603, -58.07064 -63.81058)	en	PhysicalObject	Juvenile																																														
3386516668	1e7b6980-0842-4c4a-8b14-541b95d2ed3c	104e9c96-791b-4f14-978c-f581cb214912	['8534dd20-c368-4a1f-bdaf-e6b390710f89', '2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	27c24cba-13c5-47d1-96a1-16abd8f11437	fb10a11f-4417-41c8-be6a-13a5c8535122	GB	EML	2024-01-23T14:13:17.412+00:00	2024-01-26T10:52:24.708+00:00	97	{}	PRESERVED_SPECIMEN		PRESENT	5166782	1	54	354	9477065	6313	2118547	5166782	5166782	Ammothea clausi Pfeffer, 1889	Ammothea clausi Pfeffer, 1889	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothea	Ammothea clausi	Ammothea	clausi	SPECIES	ACCEPTED	NE	-63.6163	-57.505	{}		2018.0	3.0	7.0	2018-03-07	66.0	66.0	['CONTINENT_DERIVED_FROM_COORDINATES', 'COLLECTION_MATCH_NONE']	2024-01-26T10:52:24.708+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'JR17003a_0477-3'}]	[]	[]	[]	da671615-9a15-4844-9d5e-ef66382192fb		False		Jamie Maxwell	Whole animal in 96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr17003a.pdf	WGS84	Pycnogonida	AQ	[]	[{'type': 'ORCID', 'value': 'https://orcid.org/0000-0001-5705-2811'}]	ANTARCTICA	Antarctica	EUROPE	JR17003a	JR17003a_0477-3	https://ror.org/01rhff309		JR17003a_052		3386516668	JR17003a_0477-3		JR17003a_0477-3	BAS				GOIPG/2019/4020	181.0	466.0	24.0	ANTARCTICA	1.0	individuals	urn:lsid:marinespecies.org:taxname:172907	7/3/2018	LINESTRING (-57.50143 -63.61586, -57.50847 -63.6167)	en	PhysicalObject		magellanii form, adult																																													
3386517479	1e7b6980-0842-4c4a-8b14-541b95d2ed3c	104e9c96-791b-4f14-978c-f581cb214912	['8534dd20-c368-4a1f-bdaf-e6b390710f89', '2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	27c24cba-13c5-47d1-96a1-16abd8f11437	fb10a11f-4417-41c8-be6a-13a5c8535122	GB	EML	2024-01-23T14:13:17.412+00:00	2024-01-26T10:52:24.999+00:00	97	{}	PRESERVED_SPECIMEN		PRESENT	5166782	1	54	354	9477065	6313	2118547	5166782	5166782	Ammothea clausi Pfeffer, 1889	Ammothea clausi Pfeffer, 1889	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothea	Ammothea clausi	Ammothea	clausi	SPECIES	ACCEPTED	NE	-63.6163	-57.505	{}		2018.0	3.0	7.0	2018-03-07	66.0	66.0	['CONTINENT_DERIVED_FROM_COORDINATES', 'COLLECTION_MATCH_NONE']	2024-01-26T10:52:24.999+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'JR17003a_0478-5'}]	[]	[]	[]	da671615-9a15-4844-9d5e-ef66382192fb		False		Jamie Maxwell	Whole animal in 96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr17003a.pdf	WGS84	Pycnogonida	AQ	[]	[{'type': 'ORCID', 'value': 'https://orcid.org/0000-0001-5705-2811'}]	ANTARCTICA	Antarctica	EUROPE	JR17003a	JR17003a_0478-5	https://ror.org/01rhff309		JR17003a_052		3386517479	JR17003a_0478-5		JR17003a_0478-5	BAS				GOIPG/2019/4020	181.0	466.0	24.0	ANTARCTICA	1.0	individuals	urn:lsid:marinespecies.org:taxname:172907	7/3/2018	LINESTRING (-57.50143 -63.61586, -57.50847 -63.6167)	en	PhysicalObject		magellanii form																																													
3326687473	7a498826-f762-11e1-a439-00145eb45e9a	e8eada63-4a33-44aa-b2fd-4f71efb222a0		2a3f6a56-7591-4f05-8c4c-a1bb77aa4ea6	6c4a0bb0-2a4d-11d8-aa2d-b8a03c50a862	ES	EML	2024-05-28T13:54:27.401+00:00	2024-05-28T13:55:27.572+00:00	360	{}	PRESERVED_SPECIMEN	1.0	PRESENT	5166782	1	54	354	9477065	6313	2118547	5166782	5166782	Ammothea clausi Pfeffer, 1889	Ammothea clausi Pfeffer, 1889	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothea	Ammothea clausi	Ammothea	clausi	SPECIES	ACCEPTED	NE	-62.563167	-56.4635	{}		2013.0	1.0	26.0	2013-01-26	26.0	26.0	['COORDINATE_ROUNDED', 'CONTINENT_INVALID', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2024-05-28T13:55:27.572+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'MCNB:MCNB-Art:MZB 2018-0386'}]	[]	[]	[]	e3d4dcc4-81e2-444c-8a5c-41d1044b5381		False		López González, Pablo José|Cano-Sánchez, Esperanza	animal sencer (alcohol etílic 70º)	Agassiz|draga d'	WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	EUROPE		MCNB:MCNB-Art:MZB 2018-0386			ANT-XXIX/3, campanya	MCNB-Art	3326687473	MCNB:MCNB-Art:MZB 2018-0386		MZB 2018-0386	MCNB						248.4								ca	Collection	Adult		FEMALE	2023-01-01T00:00:00.000+00:00	Museu de Ciències Naturals de Barcelona: MCNB-Art	Polarstern cruise ANT-XXIX/3 / stn. 116-9	Cano-Sánchez, Esperanza & López-González, Pablo J.. Ammothea species (Pycnogonida: Ammotheidae) collected during the Polastern cruise ANT-XXIX/3 to Antartic waters, with a description of a new species. Vol. 14 (2018), p. 769-777. | Cano-Sánchez, Esperanza; López González, Pablo José. Ammothea species (Pycnogonida: Ammotheidae) collected during the Polarstern cruise ANT-XXIX/3 to Antarctic waters, with a description of a new species. Marine Biology Research, 2018, vol. 14, núm. 8, p. 769-777.	stn. 116-9																																							
3466772364	149e44e7-fb0b-4db0-a40a-86e64eb8baf3	3693ff90-4c16-11d8-b290-b8a03c50a862		1cbabffe-9073-4007-ba1e-40ebcda6e302	3693ff90-4c16-11d8-b290-b8a03c50a862	AU	DWC_ARCHIVE	2024-06-23T06:50:21.823+00:00	2024-06-23T06:51:13.993+00:00	273	{}	HUMAN_OBSERVATION		PRESENT	5166782	1	54	354	9477065	6313	2118547	5166782	5166782	Ammothea clausi Pfeffer, 1889	Ammothea clausi Pfeffer, 1889	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothea	Ammothea clausi	Ammothea	clausi	SPECIES	ACCEPTED	NE			{}		2008.0	1.0	14.0	2008-01-14	14.0	14.0	['TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'TAXON_MATCH_TAXON_ID_IGNORED']	2024-06-23T06:51:13.993+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'b11a0a51-fb79-4cfb-8316-cf09de3d4067'}]	[]	[]	[]			False						Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	OCEANIA	SampleStation_ 71	b11a0a51-fb79-4cfb-8316-cf09de3d4067					3466772364	b11a0a51-fb79-4cfb-8316-cf09de3d4067									791.48		ANTARCTICA	1.0	Individuals	urn:lsid:marinespecies.org:taxname:172907	1/14/2008									IU-2007-40			ASAC_3010_0611	7000	https://biodiversity.org.au/afd/taxa/e5e27838-f1d7-4a0b-a37e-b6697a03c7b7	Species	Ammothea clausi	172907																																	
3326687459	7a498826-f762-11e1-a439-00145eb45e9a	e8eada63-4a33-44aa-b2fd-4f71efb222a0		2a3f6a56-7591-4f05-8c4c-a1bb77aa4ea6	6c4a0bb0-2a4d-11d8-aa2d-b8a03c50a862	ES	EML	2024-05-28T13:54:27.401+00:00	2024-05-28T13:55:24.659+00:00	360	{}	PRESERVED_SPECIMEN	50.0	PRESENT	5166782	1	54	354	9477065	6313	2118547	5166782	5166782	Ammothea clausi Pfeffer, 1889	Ammothea clausi Pfeffer, 1889	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothea	Ammothea clausi	Ammothea	clausi	SPECIES	ACCEPTED	NE			{}		2007.0	1.0	1.0	2007-01-01	1.0	1.0	['COORDINATE_INVALID', 'CONTINENT_INVALID', 'CONTINENT_DERIVED_FROM_COUNTRY', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2024-05-28T13:55:24.659+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'MCNB:MCNB-Art:MZB 2013-1871'}]	[]	[]	[]	e3d4dcc4-81e2-444c-8a5c-41d1044b5381		False		López González, Pablo José|Cano-Sánchez, Esperanza	animal sencer (alcohol etílic 70º)	draga BT		Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	EUROPE		MCNB:MCNB-Art:MZB 2013-1871			ANT XXIII/8, campanya	MCNB-Art	3326687459	MCNB:MCNB-Art:MZB 2013-1871		MZB 2013-1871	MCNB						302.20000000000005	15.900000000000006	ANTARCTICA						ca	Collection				2023-01-01T00:00:00.000+00:00	Museu de Ciències Naturals de Barcelona: MCNB-Art	ANT XXIII/8, stn. 674-1	Cano-Sánchez, Esperanza; López González, Pablo José. New findings and a new species of the genus Ammothea (Pycnogonida, Ammotheidae), with an updated identification key to all Antarctic and sub-Antarctic species. Helgoland Marine Research, 2014, vol. 68, p. 155-168.								2004-01-01T00:00:00	Illes Shetland del Sud	P. 315																														
