key	datasetKey	publishingOrgKey	networkKeys	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	depth	gadm	waterBody	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	lastInterpreted	license	isSequenced	associatedSequences	identifiers	media	facts	relations	institutionKey	collectionKey	isInCluster	datasetID	datasetName	recordedBy	identifiedBy	samplingProtocol	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	recordNumber	eventID	identifier	scientificNameID	institutionID	island	locality	eventRemarks	collectionCode	gbifID	occurrenceID	taxonID	parentNameUsageID	catalogNumber	locationRemarks	organismID	institutionCode	locationID	collectionID	islandGroup	coordinateUncertaintyInMeters	preparations	footprintWKT	fieldNumber	language	depthAccuracy	continent	dateIdentified	coordinatePrecision	stateProvince	otherCatalogNumbers	acceptedNameUsage	http://unknown.org/taxonRankID	dynamicProperties	verbatimLocality	taxonConceptID	http://unknown.org/species	nameAccordingTo	sex	verbatimTaxonRank	individualCount	modified	occurrenceRemarks	bibliographicCitation	higherGeography	rightsHolder	nomenclaturalCode	type	ownerInstitutionCode	higherClassification	lifeStage	habitat	verbatimEventDate	verbatimDepth
2382900210	968dfa3e-3614-4bab-a3b5-e9209bdd6078	c3ad790a-d426-4ac1-8e32-da61f81f0117	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	a9c3f3b6-1f98-49c3-ba50-7e6aa1c9de59	c3ad790a-d426-4ac1-8e32-da61f81f0117	US	EML	2023-06-03T13:09:42.774+00:00	2024-01-24T22:36:49.555+00:00	159	{}	PRESERVED_SPECIMEN	PRESENT	5166775	1	54	354	9477065	6313	2118547	5166775	5166775	Ammothea magniceps Thompson, 1884	Ammothea magniceps Thompson, 1884	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothea	Ammothea magniceps	Ammothea	magniceps	SPECIES	ACCEPTED	NE	-57.676998	-26.424	301.0	{}	Scotia Sea	2002.0	4.0	15.0	2002-04-15	105.0	105.0	['COORDINATE_ROUNDED', 'GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_ID_IGNORED']	2024-01-24T22:36:49.555+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	True	BOLD ID: 02-651-1	[{'identifier': 'OGL_MSC_NortheasternUniversity_S09408'}]	[]	[]	[]	8c116cac-9394-4c4e-be14-06184bdc62bd	0f00dede-1a1f-49e5-ae69-2bc40db635c5	False	OGL_MSC_NortheasternUniversity	Ocean Genome Legacy Collection	Katrin Linse	Katrin Linse	ND	WGS84	Pycnogonida	GS	[]	[]	ANTARCTICA	South Georgia and the South Sandwich Islands	NORTH_AMERICA	02-651-1	CE01996	OGL_MSC_NortheasternUniversity_S09408	urn:lsid:marinespecies.org:taxname:239425	8c116cac-9394-4c4e-be14-06184bdc62bd	Scotia Island	Montagu Island	Contact Person: Linse, Katrin	OGL	2382900210	OGL_MSC_NortheasternUniversity_S09408	T02130	134569	S09408	FAO-48	S09408	OGL	CL01677	0f00dede-1a1f-49e5-ae69-2bc40db635c5																																			
2382899135	968dfa3e-3614-4bab-a3b5-e9209bdd6078	c3ad790a-d426-4ac1-8e32-da61f81f0117	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	a9c3f3b6-1f98-49c3-ba50-7e6aa1c9de59	c3ad790a-d426-4ac1-8e32-da61f81f0117	US	EML	2023-06-03T13:09:42.774+00:00	2024-01-24T22:36:49.555+00:00	159	{}	PRESERVED_SPECIMEN	PRESENT	5166775	1	54	354	9477065	6313	2118547	5166775	5166775	Ammothea magniceps Thompson, 1884	Ammothea magniceps Thompson, 1884	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothea	Ammothea magniceps	Ammothea	magniceps	SPECIES	ACCEPTED	NE	-57.675999	-26.252001	305.0	{}	Scotia Sea	2002.0	4.0	15.0	2002-04-15	105.0	105.0	['COORDINATE_ROUNDED', 'GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_COORDINATE_MISMATCH', 'CONTINENT_COORDINATE_MISMATCH', 'TAXON_MATCH_TAXON_ID_IGNORED']	2024-01-24T22:36:49.555+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	True	BOLD ID: 02-656-1	[{'identifier': 'OGL_MSC_NortheasternUniversity_S09469'}]	[]	[]	[]	8c116cac-9394-4c4e-be14-06184bdc62bd	0f00dede-1a1f-49e5-ae69-2bc40db635c5	False	OGL_MSC_NortheasternUniversity	Ocean Genome Legacy Collection	Katrin Linse	Katrin Linse	ND	WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	NORTH_AMERICA	02-656-1	CE01996	OGL_MSC_NortheasternUniversity_S09469	urn:lsid:marinespecies.org:taxname:239425	8c116cac-9394-4c4e-be14-06184bdc62bd		PS61-194-1	Contact Person: Linse, Katrin	OGL	2382899135	OGL_MSC_NortheasternUniversity_S09469	T02130	134569	S09469	Saunders Island	S09469	OGL	CL01675	0f00dede-1a1f-49e5-ae69-2bc40db635c5	South Sandwich Islands																																		
2382899402	968dfa3e-3614-4bab-a3b5-e9209bdd6078	c3ad790a-d426-4ac1-8e32-da61f81f0117	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	a9c3f3b6-1f98-49c3-ba50-7e6aa1c9de59	c3ad790a-d426-4ac1-8e32-da61f81f0117	US	EML	2023-06-03T13:09:42.774+00:00	2024-01-24T22:36:49.555+00:00	159	{}	PRESERVED_SPECIMEN	PRESENT	5166775	1	54	354	9477065	6313	2118547	5166775	5166775	Ammothea magniceps Thompson, 1884	Ammothea magniceps Thompson, 1884	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothea	Ammothea magniceps	Ammothea	magniceps	SPECIES	ACCEPTED	NE	-57.675999	-26.252001	305.0	{}	Scotia Sea	2002.0	4.0	15.0	2002-04-15	105.0	105.0	['COORDINATE_ROUNDED', 'GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_COORDINATE_MISMATCH', 'CONTINENT_COORDINATE_MISMATCH', 'TAXON_MATCH_TAXON_ID_IGNORED']	2024-01-24T22:36:49.555+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	True	BOLD ID: 02-656-2	[{'identifier': 'OGL_MSC_NortheasternUniversity_S09470'}]	[]	[]	[]	8c116cac-9394-4c4e-be14-06184bdc62bd	0f00dede-1a1f-49e5-ae69-2bc40db635c5	False	OGL_MSC_NortheasternUniversity	Ocean Genome Legacy Collection	Katrin Linse	Katrin Linse	ND	WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	NORTH_AMERICA	02-656-2	CE01996	OGL_MSC_NortheasternUniversity_S09470	urn:lsid:marinespecies.org:taxname:239425	8c116cac-9394-4c4e-be14-06184bdc62bd		PS61-194-1	Contact Person: Linse, Katrin	OGL	2382899402	OGL_MSC_NortheasternUniversity_S09470	T02130	134569	S09470	Saunders Island	S09470	OGL	CL01675	0f00dede-1a1f-49e5-ae69-2bc40db635c5	South Sandwich Islands																																		
4081182932	4d0b1b2a-3209-49ce-bb93-7503e4868019	c58ac019-b413-4613-8772-39e57acbeb8e	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f0d34585-ddcb-4915-9332-6043585e831a	c58ac019-b413-4613-8772-39e57acbeb8e	NZ	EML	2023-06-07T18:53:24.650+00:00	2024-01-25T07:20:23.464+00:00	166	{}	PRESERVED_SPECIMEN	PRESENT	5166775	1	54	354	9477065	6313	2118547	5166775	5166775	Ammothea magniceps Thompson, 1884	Ammothea magniceps Thompson, 1884	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothea	Ammothea magniceps	Ammothea	magniceps	SPECIES	ACCEPTED	NE	-66.76867	163.3688	304.0	{}		2001.0	3.0	4.0	2001-03-04	63.0	63.0	['CONTINENT_COORDINATE_MISMATCH', 'RECORDED_DATE_INVALID', 'MODIFIED_DATE_INVALID', 'INSTITUTION_MATCH_NONE']	2024-01-25T07:20:23.464+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False		[{'identifier': '6058215c-fa36-11e2-96b3-aa6f927c92a3'}]	[]	[]	[]			False		NIWA Invertebrate Collection	Page, Mike; MFish			WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	OCEANIA			6058215c-fa36-11e2-96b3-aa6f927c92a3	urn:lsid:marinespecies.org:taxname:239425			Balleny Islands - Buckle Island		NIWA	4081182932	6058215c-fa36-11e2-96b3-aa6f927c92a3			70252			NIWA Invertebrate Collection	Z10654			500.0	Specimen(s), Ethanol - no formalin = 1	POINT (163.3688 -66.76867)	Tan0102/K0810	en																													
4081093796	4d0b1b2a-3209-49ce-bb93-7503e4868019	c58ac019-b413-4613-8772-39e57acbeb8e	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f0d34585-ddcb-4915-9332-6043585e831a	c58ac019-b413-4613-8772-39e57acbeb8e	NZ	EML	2023-06-07T18:53:24.650+00:00	2024-01-25T07:20:22.214+00:00	166	{}	PRESERVED_SPECIMEN	PRESENT	5166775	1	54	354	9477065	6313	2118547	5166775	5166775	Ammothea magniceps Thompson, 1884	Ammothea magniceps Thompson, 1884	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothea	Ammothea magniceps	Ammothea	magniceps	SPECIES	ACCEPTED	NE	-34.39	172.8633	49.0	{}		1997.0	2.0	27.0	1997-02-27	58.0	58.0	['MODIFIED_DATE_INVALID', 'INSTITUTION_MATCH_NONE']	2024-01-25T07:20:22.214+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False		[{'identifier': '5c5d7908-fa36-11e2-96b3-aa6f927c92a3'}]	[]	[]	[]			False		NIWA Invertebrate Collection	F/V Ben Gunn			WGS84	Pycnogonida	NZ	[]	[]	OCEANIA	New Zealand	OCEANIA			5c5d7908-fa36-11e2-96b3-aa6f927c92a3	urn:lsid:marinespecies.org:taxname:239425					NIWA	4081093796	5c5d7908-fa36-11e2-96b3-aa6f927c92a3			4859			NIWA Invertebrate Collection	Z8641			500.0	Specimen(s), Unknown = 3	POINT (172.8633 -34.39)	BG9701/36	en	0.0	OCEANIA																											
1100764338	dce8feb0-6c89-11de-8225-b8a03c50a862	770c30d2-c2a8-4bb2-8056-6167297cddae	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:20:52.620+00:00	2024-07-02T07:18:58.781+00:00	384	{}	PRESERVED_SPECIMEN	PRESENT	5166775	1	54	354	9477065	6313	2118547	5166775	5166775	Ammothea magniceps Thompson, 1884	Ammothea magniceps Thompson, 1884	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothea	Ammothea magniceps	Ammothea	magniceps	SPECIES	ACCEPTED	NE	-29.95333	159.01999		{}	Tasman Sea	1987.0	12.0	10.0	1987-12-10	344.0	344.0	['TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2024-07-02T07:18:58.781+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False		[{'identifier': '0ebef575-318f-487d-9318-af470fca1124'}]	[]	[]	[]	9cfe8cbf-35ff-4d93-b932-cb05d91b7922		False			Elizabeth & Middleton Reefs Expedition, 1987	Krapp, Dr Franz - Zoologisches Forschungsinstitut und Museum Alexander Koenig		WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA		urn:australianmuseum.net.au:Events:1068842	0ebef575-318f-487d-9318-af470fca1124						Invertebrates - Marine & Other	1100764338	0ebef575-318f-487d-9318-af470fca1124			P.44785	ecatalogue.LocCollectionEventLocal: [Site 30] Tasman Sea, Australia, Coral Sea Islands, Elizabeth Reef, outer slope, west of Yoshin Maru Iwaki wreck (29° 57' 12 S, 159° 01' 12 E) 10/12/1987 - 10/12/1987;		AM				1000.0							2008-01-01T00:00:00	1e-05	Coral Sea Islands	ecatalogue.irn:1136961|urn:catalog:AM:Invertebrates - Marine & Other:P.44785	Ammothea magniceps Thomson, 1884	7000	{dcterms:type:PhysicalObject,dcterms:modified:2019/11/19,verbatimUncertainty:100m-1km}	Elizabeth Reef, outer slope, west of Yoshin Maru Iwaki wreck	https://biodiversity.org.au/afd/taxa/c24dfbf5-c979-4510-83d2-1d6331e5590c	Ammothea magniceps	Thomson, 1884																
1100787727	dce8feb0-6c89-11de-8225-b8a03c50a862	770c30d2-c2a8-4bb2-8056-6167297cddae	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:20:52.620+00:00	2024-07-02T07:19:53.279+00:00	384	{}	PRESERVED_SPECIMEN	PRESENT	5166775	1	54	354	9477065	6313	2118547	5166775	5166775	Ammothea magniceps Thompson, 1884	Ammothea magniceps Thompson, 1884	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothea	Ammothea magniceps	Ammothea	magniceps	SPECIES	ACCEPTED	NE	-29.966	159.08499		{}	Tasman Sea	1987.0	12.0	11.0	1987-12-11	345.0	345.0	['TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2024-07-02T07:19:53.279+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False		[{'identifier': 'de100af3-d9c2-4878-88a4-b323081ffd80'}]	[]	[]	[]	9cfe8cbf-35ff-4d93-b932-cb05d91b7922		False			Elizabeth & Middleton Reefs Expedition, 1987	Krapp, Dr Franz - Zoologisches Forschungsinstitut und Museum Alexander Koenig		WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA		urn:australianmuseum.net.au:Events:1068883	de100af3-d9c2-4878-88a4-b323081ffd80						Invertebrates - Marine & Other	1100787727	de100af3-d9c2-4878-88a4-b323081ffd80			P.77975	ecatalogue.LocCollectionEventLocal: [Site 37] Tasman Sea, south east face, outer reef slope, Elizabeth Reef, Tasman Sea (29° 58' S, 159° 05' 06 E) 11/12/1987 - 11/12/1987;		AM				1000.0							2008-01-01T00:00:00	1e-05		ecatalogue.irn:1253637|urn:catalog:AM:Invertebrates - Marine & Other:P.77975	Ammothea magniceps Thomson, 1884	7000	{dcterms:type:PhysicalObject,dcterms:modified:2011/11/23,verbatimUncertainty:100m-1km}	south east face, outer reef slope, Elizabeth Reef, Tasman Sea	https://biodiversity.org.au/afd/taxa/c24dfbf5-c979-4510-83d2-1d6331e5590c	Ammothea magniceps	Thomson, 1884	FEMALE															
1100759845	dce8feb0-6c89-11de-8225-b8a03c50a862	770c30d2-c2a8-4bb2-8056-6167297cddae	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:20:52.620+00:00	2024-07-02T07:19:18.512+00:00	384	{}	PRESERVED_SPECIMEN	PRESENT	5166775	1	54	354	9477065	6313	2118547	5166775	5166775	Ammothea magniceps Thompson, 1884	Ammothea magniceps Thompson, 1884	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothea	Ammothea magniceps	Ammothea	magniceps	SPECIES	ACCEPTED	NE	-37.10333	149.92832		{'level0': {'gid': 'AUS', 'name': 'Australia'}, 'level1': {'gid': 'AUS.5_1', 'name': 'New South Wales'}, 'level2': {'gid': 'AUS.5.9_1', 'name': 'Bega Valley'}}		1985.0	12.0	19.0	1985-12-19	353.0	353.0	['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2024-07-02T07:19:18.512+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False		[{'identifier': '50ca2ff8-1ccd-4488-9dd1-4a8745558cac'}]	[]	[]	[]	9cfe8cbf-35ff-4d93-b932-cb05d91b7922		False			Keable, S.J.|Perry, S.J.	Krapp, Dr Franz - Zoologisches Forschungsinstitut und Museum Alexander Koenig		WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA		urn:australianmuseum.net.au:Events:1059817	50ca2ff8-1ccd-4488-9dd1-4a8745558cac						Invertebrates - Marine & Other	1100759845	50ca2ff8-1ccd-4488-9dd1-4a8745558cac			P.36559	ecatalogue.LocCollectionEventLocal: [M7] Australia, New South Wales, Twofold Bay, Munganno Point (37° 06' 12 S, 149° 55' 42 E) 19/12/1985 - 19/12/1985;		AM				1000.0						OCEANIA	2008-01-01T00:00:00	1e-05	New South Wales	ecatalogue.irn:1152852|urn:catalog:AM:Invertebrates - Marine & Other:P.36559	Ammothea magniceps Thomson, 1884	7000	{dcterms:type:PhysicalObject,dcterms:modified:2018/7/4,verbatimUncertainty:100m-1km}	Twofold Bay, Munganno Point	https://biodiversity.org.au/afd/taxa/c24dfbf5-c979-4510-83d2-1d6331e5590c	Ammothea magniceps	Thomson, 1884	MALE															
1100759834	dce8feb0-6c89-11de-8225-b8a03c50a862	770c30d2-c2a8-4bb2-8056-6167297cddae	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:20:52.620+00:00	2024-07-02T07:19:44.649+00:00	384	{}	PRESERVED_SPECIMEN	PRESENT	5166775	1	54	354	9477065	6313	2118547	5166775	5166775	Ammothea magniceps Thompson, 1884	Ammothea magniceps Thompson, 1884	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothea	Ammothea magniceps	Ammothea	magniceps	SPECIES	ACCEPTED	NE	-37.10333	149.92832		{'level0': {'gid': 'AUS', 'name': 'Australia'}, 'level1': {'gid': 'AUS.5_1', 'name': 'New South Wales'}, 'level2': {'gid': 'AUS.5.9_1', 'name': 'Bega Valley'}}		1985.0	12.0	19.0	1985-12-19	353.0	353.0	['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2024-07-02T07:19:44.649+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False		[{'identifier': 'a0d34f33-fb73-4c6e-b869-2dfac490d857'}]	[]	[]	[]	9cfe8cbf-35ff-4d93-b932-cb05d91b7922		False			Keable, S.J.|Perry, S.J.	Krapp, Dr Franz - Zoologisches Forschungsinstitut und Museum Alexander Koenig		WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA		urn:australianmuseum.net.au:Events:1059850	a0d34f33-fb73-4c6e-b869-2dfac490d857						Invertebrates - Marine & Other	1100759834	a0d34f33-fb73-4c6e-b869-2dfac490d857			P.36561	ecatalogue.LocCollectionEventLocal: [site M9] Australia, New South Wales, Twofold Bay, Munganno Point (37° 06' 12 S, 149° 55' 42 E) 19/12/1985 - 19/12/1985;		AM				1000.0						OCEANIA	2008-01-01T00:00:00	1e-05	New South Wales	ecatalogue.irn:1141456|urn:catalog:AM:Invertebrates - Marine & Other:P.36561	Ammothea magniceps Thomson, 1884	7000	{dcterms:type:PhysicalObject,dcterms:modified:2018/7/4,verbatimUncertainty:100m-1km}	Twofold Bay, Munganno Point	https://biodiversity.org.au/afd/taxa/c24dfbf5-c979-4510-83d2-1d6331e5590c	Ammothea magniceps	Thomson, 1884	MALE															
1100788156	dce8feb0-6c89-11de-8225-b8a03c50a862	770c30d2-c2a8-4bb2-8056-6167297cddae	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:20:52.620+00:00	2024-07-02T07:18:50.800+00:00	384	{}	PRESERVED_SPECIMEN	PRESENT	5166775	1	54	354	9477065	6313	2118547	5166775	5166775	Ammothea magniceps Thompson, 1884	Ammothea magniceps Thompson, 1884	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothea	Ammothea magniceps	Ammothea	magniceps	SPECIES	ACCEPTED	NE	-52.533	169.2		{'level0': {'gid': 'NZL', 'name': 'New Zealand'}, 'level1': {'gid': 'NZL.13_1', 'name': 'Southern Islands'}, 'level2': {'gid': 'NZL.13.4_1', 'name': 'Campbell Islands'}}	Southern Ocean	1980.0	1.0	12.0	1980-01-12	12.0	12.0	['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2024-07-02T07:18:50.800+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False		[{'identifier': '048def44-6ed3-4f08-a68c-5e6d3e922c1a'}]	[]	[]	[]	9cfe8cbf-35ff-4d93-b932-cb05d91b7922		False			Lowry, J.K.|Terrill, P.C.	Krapp, Dr Franz - Zoologisches Forschungsinstitut und Museum Alexander Koenig		WGS84	Pycnogonida	NZ	[]	[]	OCEANIA	New Zealand	OCEANIA		urn:australianmuseum.net.au:Events:1052563	048def44-6ed3-4f08-a68c-5e6d3e922c1a						Invertebrates - Marine & Other	1100788156	048def44-6ed3-4f08-a68c-5e6d3e922c1a			P.78462	ecatalogue.LocCollectionEventLocal: [CA-147] Southern Ocean, New Zealand, Campbell Island, Smoothwater Bay, cliffs on north-west side of first bay north-w... (52° 32' S, 169° 12' E) 12/01/1980 - 12/01/1980;		AM				10000.0						OCEANIA	2008-01-01T00:00:00	0.001		ecatalogue.irn:1265770|urn:catalog:AM:Invertebrates - Marine & Other:P.78462	Ammothea cf. magniceps Thomson, 1884	7000	{dcterms:type:PhysicalObject,dcterms:modified:2012/3/28,verbatimUncertainty:1km-10km}	Campbell Island, Smoothwater Bay, cliffs on north-west side of first bay north-west of Boulder Beach	https://biodiversity.org.au/afd/taxa/c24dfbf5-c979-4510-83d2-1d6331e5590c	Ammothea magniceps	Thomson, 1884		species														
