key	datasetKey	publishingOrgKey	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	depth	continent	gadm	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	lastInterpreted	license	organismQuantity	organismQuantityType	isSequenced	identifiers	media	facts	relations	isInCluster	datasetID	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	eventID	recordNumber	identifier	scientificNameID	verbatimEventDate	http://unknown.org/taxonRankID	taxonConceptID	identificationQualifier	http://unknown.org/species	gbifID	occurrenceID	taxonID	networkKeys	individualCount	decimalLatitude	decimalLongitude	waterBody	institutionKey	collectionKey	recordedBy	identifiedBy	preparations	samplingProtocol	geodeticDatum	institutionID	locality	fieldNumber	collectionCode	verbatimDepth	catalogNumber	institutionCode	ownerInstitutionCode	parentEventID	collectionID	depthAccuracy	modified	sex	higherGeography	datasetName	georeferenceProtocol	verbatimCoordinateSystem	locationID	higherClassification
3466772874	149e44e7-fb0b-4db0-a40a-86e64eb8baf3	3693ff90-4c16-11d8-b290-b8a03c50a862	1cbabffe-9073-4007-ba1e-40ebcda6e302	3693ff90-4c16-11d8-b290-b8a03c50a862	AU	DWC_ARCHIVE	2024-06-23T06:50:21.823+00:00	2024-06-23T06:51:21.187+00:00	273	{}	HUMAN_OBSERVATION	PRESENT	5166768	1	54	354	9477065	6313	2118547	5166768	5166768	Ammothea sextarticulata Munilla, 1991	Ammothea sextarticulata Munilla, 1991	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothea	Ammothea sextarticulata	Ammothea	sextarticulata	SPECIES	ACCEPTED	NE	212.96	ANTARCTICA	{}	2008.0	1.0	14.0	2008-01-14	14.0	14.0	['TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'TAXON_MATCH_TAXON_ID_IGNORED']	2024-06-23T06:51:21.187+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	1.0	Individuals	False	[{'identifier': '633e832b-4258-40c5-bc3c-59a7a97ccdc8'}]	[]	[]	[]	False	ASAC_3010_0412	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	OCEANIA	SampleStation_ 13	IU-2007-218	633e832b-4258-40c5-bc3c-59a7a97ccdc8	urn:lsid:marinespecies.org:taxname:172935	1/14/2008	7000	https://biodiversity.org.au/afd/taxa/9c58c34f-dec2-4e30-b5d9-464c3877fccb	Species	Ammothea sextarticulata	3466772874	633e832b-4258-40c5-bc3c-59a7a97ccdc8	172935																															
4399691336	97169dfa-325b-4c1e-af91-3ef023f8a498	9abe4949-29aa-450e-b767-b2788f66e04d	da87027f-12b5-442f-b132-0f6f25acfd53	9abe4949-29aa-450e-b767-b2788f66e04d	RU	EML	2024-06-18T12:44:43.404+00:00	2024-06-18T12:44:58.951+00:00	69	{}	PRESERVED_SPECIMEN	PRESENT	2118236	1	54	354	9477065	6313	2118547	5166768	5166768	Biammothea brevipalpa Pushkin, 1993	Ammothea sextarticulata Munilla, 1991	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothea	Ammothea sextarticulata	Biammothea	brevipalpa	SPECIES	SYNONYM	NE			{}	1996.0	2.0	28.0	1996-02-28	59.0	59.0	[]	2024-06-18T12:44:58.951+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode			False	[{'identifier': '6329fc53-9bcd-47e4-bc02-bdf819cf8be5'}]	[]	[]	[]	True		Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	EUROPE	RV Polarstern_cruise ANT-XIII/3_st.39/29		6329fc53-9bcd-47e4-bc02-bdf819cf8be5							4399691336	6329fc53-9bcd-47e4-bc02-bdf819cf8be5		['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	1.0	-71.525	-12.425	Weddell Sea	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	fd699988-ab5d-4737-9443-9085cea191d2	RV Polarstern	Turpaeva, Elena	EtOH 75%	Benthopelagic Trawl	WGS84	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	Antarctica	39/29	OBFc	504.0 - 529.0 m	INV0001899	IORAS	IORAS	cruise ANT-XIII/3	fd699988-ab5d-4737-9443-9085cea191d2									
240910052	7b52e794-f762-11e1-a439-00145eb45e9a	104e9c96-791b-4f14-978c-f581cb214912	27c24cba-13c5-47d1-96a1-16abd8f11437	fb10a11f-4417-41c8-be6a-13a5c8535122	GB	EML	2023-01-08T06:21:55.654+00:00	2024-01-24T20:21:01.056+00:00	242	{}	HUMAN_OBSERVATION	PRESENT	2118236	1	54	354	9477065	6313	2118547	5166768	5166768	Biammothea brevipalpa Pushkin, 1993	Ammothea sextarticulata Munilla, 1991	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothea	Ammothea sextarticulata	Biammothea	brevipalpa	SPECIES	SYNONYM	NE	504.0		{}	1996.0	2.0	28.0	1996-02-28	59.0	59.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES']	2024-01-24T20:21:01.056+00:00	http://creativecommons.org/licenses/by/4.0/legalcode			False	[{'identifier': 'urn:catalog:AWI:Weddell Sea macrozoobenthos EASIZ I:565'}]	[]	[]	[]	True	IMIS:dasid:2432	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	EUROPE			urn:catalog:AWI:Weddell Sea macrozoobenthos EASIZ I:565	urn:lsid:marinespecies.org:taxname:240185						240910052	urn:catalog:AWI:Weddell Sea macrozoobenthos EASIZ I:565		['8534dd20-c368-4a1f-bdaf-e6b390710f89', '2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']		-71.525	-12.425								WGS84		Kapp Norvegia area		Weddell Sea macrozoobenthos EASIZ I		565	AWI				0.0	2010-05-11T18:09:00.000+00:00							
240910053	7b52e794-f762-11e1-a439-00145eb45e9a	104e9c96-791b-4f14-978c-f581cb214912	27c24cba-13c5-47d1-96a1-16abd8f11437	fb10a11f-4417-41c8-be6a-13a5c8535122	GB	EML	2023-01-08T06:21:55.654+00:00	2024-01-24T20:21:01.056+00:00	242	{}	HUMAN_OBSERVATION	PRESENT	2118236	1	54	354	9477065	6313	2118547	5166768	5166768	Biammothea brevipalpa Pushkin, 1993	Ammothea sextarticulata Munilla, 1991	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothea	Ammothea sextarticulata	Biammothea	brevipalpa	SPECIES	SYNONYM	NE	462.0		{}	1996.0	2.0	5.0	1996-02-05	36.0	36.0	['COORDINATE_ROUNDED', 'GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES']	2024-01-24T20:21:01.056+00:00	http://creativecommons.org/licenses/by/4.0/legalcode			False	[{'identifier': 'urn:catalog:AWI:Weddell Sea macrozoobenthos EASIZ I:566'}]	[]	[]	[]	False	IMIS:dasid:2432	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	EUROPE			urn:catalog:AWI:Weddell Sea macrozoobenthos EASIZ I:566	urn:lsid:marinespecies.org:taxname:240185						240910053	urn:catalog:AWI:Weddell Sea macrozoobenthos EASIZ I:566		['8534dd20-c368-4a1f-bdaf-e6b390710f89', '2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']		-71.051667	-11.425								WGS84		Kapp Norvegia area		Weddell Sea macrozoobenthos EASIZ I		566	AWI				0.0	2010-05-11T18:09:00.000+00:00							
1322644712	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:38:58.877+00:00	395	{}	PRESERVED_SPECIMEN	PRESENT	5166768	1	54	354	9477065	6313	2118547	5166768	5166768	Ammothea sextarticulata Munilla, 1991	Ammothea sextarticulata Munilla, 1991	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothea	Ammothea sextarticulata	Ammothea	sextarticulata	SPECIES	ACCEPTED	NE	268.5		{}	1986.0	12.0	11.0	1986-12-11	345.0	345.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'CONTINENT_INVALID', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-02T12:38:58.877+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode			False	[{'identifier': 'http://n2t.net/ark:/65665/3f0c0f8c6-f706-474b-99f9-450c59a0ad1f'}]	[]	[]	[]	False		Pycnogonida	GS	[]	[]	ANTARCTICA	South Georgia and the South Sandwich Islands	NORTH_AMERICA			http://n2t.net/ark:/65665/3f0c0f8c6-f706-474b-99f9-450c59a0ad1f		11 DEC 1986					1322644712	http://n2t.net/ark:/65665/3f0c0f8c6-f706-474b-99f9-450c59a0ad1f		['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	1.0	-54.2	-35.42	South Atlantic Ocean, Scotia Sea	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	Smithsonian Oceanographic Sorting Center & T. Walter	Child, C. Allan, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)	Alcohol (Ethanol)		WGS84	urn:lsid:biocol.org:col:34871	South Georgia Island	USARP/PR/8601/86/SOSC	IZ		USNM 234626	USNM			urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6	3.5	2014-10-21T10:24:00.000+00:00	FEMALE	South Atlantic Ocean, Scotia Sea	NMNH Extant Biology	unknown, from legacy	Degrees Minutes Seconds	86	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Ammotheidae
1320569351	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:37:43.833+00:00	395	{}	PRESERVED_SPECIMEN	PRESENT	5166768	1	54	354	9477065	6313	2118547	5166768	5166768	Ammothea sextarticulata Munilla, 1991	Ammothea sextarticulata Munilla, 1991	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothea	Ammothea sextarticulata	Ammothea	sextarticulata	SPECIES	ACCEPTED	NE	100.5		{}	1974.0	2.0	10.0	1974-02-10	41.0	41.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-02T12:37:43.833+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode			False	[{'identifier': 'http://n2t.net/ark:/65665/394f0131c-2f62-479f-8581-28f5e4d9bf43'}]	[]	[]	[]	False		Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	NORTH_AMERICA			http://n2t.net/ark:/65665/394f0131c-2f62-479f-8581-28f5e4d9bf43		10 FEB 1974					1320569351	http://n2t.net/ark:/65665/394f0131c-2f62-479f-8581-28f5e4d9bf43		['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	1.0	-66.88	163.32	Antarctic Ocean	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	Scripps Institution of Oceanography	Child, C. Allan, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)	Alcohol (Ethanol)		WGS84	urn:lsid:biocol.org:col:34871	Balleny Islands, Buckle Island, off south end	USARP/SC/--/NONE/SCRIPPS	IZ		USNM 234625	USNM			urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6	45.5	2013-04-26T13:31:00.000+00:00	MALE	Antarctic Ocean, Antarctica	NMNH Extant Biology	unknown, from legacy	Degrees Minutes Seconds	NONE	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Ammotheidae
1320635384	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:39:33.517+00:00	395	{}	PRESERVED_SPECIMEN	PRESENT	5166768	1	54	354	9477065	6313	2118547	5166768	5166768	Ammothea sextarticulata Munilla, 1991	Ammothea sextarticulata Munilla, 1991	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothea	Ammothea sextarticulata	Ammothea	sextarticulata	SPECIES	ACCEPTED	NE	6.0	ANTARCTICA	{}	1967.0	11.0	19.0	1967-11-19	323.0	323.0	['CONTINENT_INVALID', 'CONTINENT_DERIVED_FROM_COUNTRY', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-02T12:39:33.517+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode			False	[{'identifier': 'http://n2t.net/ark:/65665/397dea51f-a326-468a-bf16-4d617c976fd3'}]	[{'references': 'https://collections.nmnh.si.edu/media/?i=91523'}]	[]	[]	False		Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	NORTH_AMERICA			http://n2t.net/ark:/65665/397dea51f-a326-468a-bf16-4d617c976fd3		19 NOV 1967					1320635384	http://n2t.net/ark:/65665/397dea51f-a326-468a-bf16-4d617c976fd3		['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	1.0			Antarctic Ocean, Ross Sea	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	J. McCain	Child, C. Allan, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)	Alcohol (Ethanol)			urn:lsid:biocol.org:col:34871	Victoria Land, Mcmurdo Sound, Off Turtle Rock		IZ		USNM 234624	USNM			urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6	0.0	2013-01-11T15:41:00.000+00:00	MALE	Antarctic Ocean, Ross Sea, Antarctica	NMNH Extant Biology				Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Ammotheidae
318005340	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:22.776+00:00	124	{}	OCCURRENCE	PRESENT	2118236	1	54	354	9477065	6313	2118547	5166768	5166768	Biammothea brevipalpa Pushkin, 1993	Ammothea sextarticulata Munilla, 1991	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothea	Ammothea sextarticulata	Biammothea	brevipalpa	SPECIES	SYNONYM	NE	462.0		{}							['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:22.776+00:00	http://creativecommons.org/licenses/by/4.0/legalcode			False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:21429'}]	[]	[]	[]	False		Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	EUROPE										318005340					-71.0517	-11.425								WGS84				SOMBASE Pycnogonids		21429	BAS				0.0								
318005341	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:22.779+00:00	124	{}	OCCURRENCE	PRESENT	2118236	1	54	354	9477065	6313	2118547	5166768	5166768	Biammothea brevipalpa Pushkin, 1993	Ammothea sextarticulata Munilla, 1991	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothea	Ammothea sextarticulata	Biammothea	brevipalpa	SPECIES	SYNONYM	NE	504.0		{}							['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:22.779+00:00	http://creativecommons.org/licenses/by/4.0/legalcode			False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:21430'}]	[]	[]	[]	False		Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	EUROPE										318005341					-71.525	-12.425								WGS84				SOMBASE Pycnogonids		21430	BAS				0.0								
318004273	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:24.280+00:00	124	{}	OCCURRENCE	PRESENT	5166768	1	54	354	9477065	6313	2118547	5166768	5166768	Ammothea sextarticulata Munilla, 1991	Ammothea sextarticulata Munilla, 1991	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothea	Ammothea sextarticulata	Ammothea	sextarticulata	SPECIES	ACCEPTED	NE	268.5		{}							['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:24.280+00:00	http://creativecommons.org/licenses/by/4.0/legalcode			False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:22030'}]	[]	[]	[]	False		Pycnogonida	GS	[]	[]	ANTARCTICA	South Georgia and the South Sandwich Islands	EUROPE										318004273					-54.2	-35.4166								WGS84				SOMBASE Pycnogonids		22030	BAS				3.5								
