key	datasetKey	publishingOrgKey	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	individualCount	occurrenceStatus	sex	lifeStage	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	depth	depthAccuracy	gadm	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	modified	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	institutionKey	isInCluster	datasetName	identifiedBy	preparations	samplingProtocol	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	recordNumber	identifier	catalogNumber	institutionCode	associatedReferences	fieldNumber	gbifID	language	verbatimLocality	collectionCode	occurrenceID	type	networkKeys	projectId	coordinateUncertaintyInMeters	organismQuantity	organismQuantityType	eventID	scientificNameID	institutionID	verbatimEventDate	footprintWKT	identificationRemarks	occurrenceRemarks	continent	datasetID	http://unknown.org/taxonRankID	taxonConceptID	identificationQualifier	http://unknown.org/species	taxonID	waterBody	locality	recordedBy	locationID	georeferenceSources	dateIdentified	stateProvince	otherCatalogNumbers	collectionKey	verbatimDepth	ownerInstitutionCode	parentEventID	collectionID	distanceFromCentroidInMeters	higherGeography	georeferenceProtocol	verbatimCoordinateSystem	higherClassification	coordinatePrecision	acceptedNameUsage	dynamicProperties	locationRemarks	nameAccordingTo	bibliographicCitation	associatedSequences	eventRemarks	parentNameUsageID	organismID	typeStatus
3326687471	7a498826-f762-11e1-a439-00145eb45e9a	e8eada63-4a33-44aa-b2fd-4f71efb222a0	2a3f6a56-7591-4f05-8c4c-a1bb77aa4ea6	6c4a0bb0-2a4d-11d8-aa2d-b8a03c50a862	ES	EML	2024-05-28T13:54:27.401+00:00	2024-05-28T13:55:27.616+00:00	360	{}	PRESERVED_SPECIMEN	1.0	PRESENT	FEMALE	Adult	5166770	1	54	354	9477065	6313	2118547	5166770	5166770	Ammothea striata (Möbius, 1902)	Ammothea striata (Möbius, 1902)	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothea	Ammothea striata	Ammothea	striata	SPECIES	ACCEPTED	NE	-63.008833	-58.5945	259.0	2.0	{}	2013.0	3.0	4.0	2013-03-04	63.0	63.0	['COORDINATE_ROUNDED', 'CONTINENT_INVALID', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2023-01-01T00:00:00.000+00:00	2024-05-28T13:55:27.616+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'MCNB:MCNB-Art:MZB 2018-0391'}]	[]	[]	[]	e3d4dcc4-81e2-444c-8a5c-41d1044b5381	False	Museu de Ciències Naturals de Barcelona: MCNB-Art	Cano-Sánchez, Esperanza|López González, Pablo José	animal sencer (alcohol etílic 70º)	Agassiz|draga d'	WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	EUROPE	Polarstern Cruise ANT-XXIX/3 / stn. 224-3	MCNB:MCNB-Art:MZB 2018-0391	MZB 2018-0391	MCNB	Cano-Sánchez, Esperanza & López-González, Pablo J.. Ammothea species (Pycnogonida: Ammotheidae) collected during the Polastern cruise ANT-XXIX/3 to Antartic waters, with a description of a new species. Vol. 14 (2018), p. 769-777. | Cano-Sánchez, Esperanza; López González, Pablo José. Ammothea species (Pycnogonida: Ammotheidae) collected during the Polarstern cruise ANT-XXIX/3 to Antarctic waters, with a description of a new species. Marine Biology Research, 2018, vol. 14, núm. 8, p. 769-777.	ANT-XXIX/3, campanya	3326687471	ca	stn. 224-3	MCNB-Art	MCNB:MCNB-Art:MZB 2018-0391	Collection																																																
3386516842	1e7b6980-0842-4c4a-8b14-541b95d2ed3c	104e9c96-791b-4f14-978c-f581cb214912	27c24cba-13c5-47d1-96a1-16abd8f11437	fb10a11f-4417-41c8-be6a-13a5c8535122	GB	EML	2024-01-23T14:13:17.412+00:00	2024-01-26T10:52:24.860+00:00	97	{}	PRESERVED_SPECIMEN		PRESENT			5166770	1	54	354	9477065	6313	2118547	5166770	5166770	Ammothea striata (Möbius, 1902)	Ammothea striata (Möbius, 1902)	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothea	Ammothea striata	Ammothea	striata	SPECIES	ACCEPTED	NE	-75.2444	-27.8793	420.985	3.4250000000000114	{}	2012.0	3.0	4.0	2012-03-04	64.0	64.0	['COLLECTION_MATCH_NONE']		2024-01-26T10:52:24.860+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'JR275_1604.1_01'}]	[]	[]	[]	da671615-9a15-4844-9d5e-ef66382192fb	False		Jamie Maxwell	Whole animal in 96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr275.pdf	WGS84	Pycnogonida	AQ	[]	[{'type': 'ORCID', 'value': 'https://orcid.org/0000-0001-5705-2811'}]	ANTARCTICA	Antarctica	EUROPE		JR275_1604.1_01	JR275_1604.1_01	BAS		JR275_108	3386516842	en			JR275_1604.1_01	PhysicalObject	['8534dd20-c368-4a1f-bdaf-e6b390710f89', '2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	GOIPG/2019/4020	77.0	1.0	individuals	JR275	urn:lsid:marinespecies.org:taxname:172938	https://ror.org/01rhff309	4/3/2012	LINESTRING (-27.87707 -75.24402, -27.88155 -75.24481)																																						
3386517434	1e7b6980-0842-4c4a-8b14-541b95d2ed3c	104e9c96-791b-4f14-978c-f581cb214912	27c24cba-13c5-47d1-96a1-16abd8f11437	fb10a11f-4417-41c8-be6a-13a5c8535122	GB	EML	2024-01-23T14:13:17.412+00:00	2024-01-26T10:52:24.984+00:00	97	{}	PRESERVED_SPECIMEN		PRESENT	MALE		5166770	1	54	354	9477065	6313	2118547	5166770	5166770	Ammothea striata (Möbius, 1902)	Ammothea striata (Möbius, 1902)	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothea	Ammothea striata	Ammothea	striata	SPECIES	ACCEPTED	NE	-70.8481	-10.5862	251.6	28.099999999999994	{}	2011.0	4.0	4.0	2011-04-04	94.0	94.0	['COLLECTION_MATCH_NONE']		2024-01-26T10:52:24.984+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'ANTXXVII/3_PS77_1308_1.2'}]	[]	[]	[]	da671615-9a15-4844-9d5e-ef66382192fb	False		Jamie Maxwell	Whole animal in 96% ethanol	bottom trawl|https://epic.awi.de/id/eprint/30175/1/644-2012%20ANT27-3%20RKnust.pdf	WGS84	Pycnogonida	AQ	[]	[{'type': 'ORCID', 'value': 'https://orcid.org/0000-0001-5705-2811'}]	ANTARCTICA	Antarctica	EUROPE		ANTXXVII/3_PS77_1308_1.2	ANTXXVII/3_PS77_1308_1.2	BAS		PS77_PS77/308-1	3386517434	en			ANTXXVII/3_PS77_1308_1.2	PhysicalObject	['8534dd20-c368-4a1f-bdaf-e6b390710f89', '2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	GOIPG/2019/4020	779.0	1.0	individuals	PS77	urn:lsid:marinespecies.org:taxname:172938	https://ror.org/01rhff309	4/4/2011	LINESTRING (-10.589167 -70.855, -10.58316667 -70.84116667)	cement gland low cone ventral distal femur	2 egg bundles and some larvae																																				
3466772659	149e44e7-fb0b-4db0-a40a-86e64eb8baf3	3693ff90-4c16-11d8-b290-b8a03c50a862	1cbabffe-9073-4007-ba1e-40ebcda6e302	3693ff90-4c16-11d8-b290-b8a03c50a862	AU	DWC_ARCHIVE	2024-06-23T06:50:21.823+00:00	2024-06-23T06:51:19.557+00:00	273	{}	HUMAN_OBSERVATION		PRESENT			5166770	1	54	354	9477065	6313	2118547	5166770	5166770	Ammothea striata (Möbius, 1902)	Ammothea striata (Möbius, 1902)	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothea	Ammothea striata	Ammothea	striata	SPECIES	ACCEPTED	NE			360.93		{}	2008.0	1.0	12.0	2008-01-12	12.0	12.0	['TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'TAXON_MATCH_TAXON_ID_IGNORED']		2024-06-23T06:51:19.557+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '2dfcada0-ef60-4eca-af1c-6674fb7d133b'}]	[]	[]	[]		False						Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	OCEANIA	CEA51	2dfcada0-ef60-4eca-af1c-6674fb7d133b					3466772659				2dfcada0-ef60-4eca-af1c-6674fb7d133b					1.0	Individuals	SampleStation_ 12	urn:lsid:marinespecies.org:taxname:172938		1/12/2008				ANTARCTICA	ASAC_3010_0217	7000	https://biodiversity.org.au/afd/taxa/21680cf9-cc33-48a7-a8df-4ae5456d9609	Species	Ammothea striata	172938																													
1426814281	081facf0-b768-41ad-b692-3b30a1bcbb1b	c58ac019-b413-4613-8772-39e57acbeb8e	f0d34585-ddcb-4915-9332-6043585e831a	c58ac019-b413-4613-8772-39e57acbeb8e	NZ	EML	2023-05-29T01:32:01.002+00:00	2024-01-24T15:46:44.310+00:00	270	{}	HUMAN_OBSERVATION	1.0	PRESENT			5166770	1	54	354	9477065	6313	2118547	5166770	5166770	Ammothea striata (Möbius, 1902)	Ammothea striata (Möbius, 1902)	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothea	Ammothea striata	Ammothea	striata	SPECIES	ACCEPTED	NE	-74.5905	170.2757	283.0	0.0	{}	2008.0	2.0	11.0	2008-02-11T23:28	42.0	42.0	['COUNTRY_DERIVED_FROM_COORDINATES']	2012-08-21T00:00:00.000+00:00	2024-01-24T15:46:44.310+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '3853'}]	[]	[]	[]		True				GearType=Beam trawl	WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	OCEANIA		3853	IPY TAN0802/31 Ammothea striata	National Institute of Water and Atomspheric Reseach (NZ)		TAN0802/31	1426814281			International Polar Year-CAML New Zealand	3853		['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']		10.0				urn:lsid:marinespecies.org:taxname:172938			LINESTRING (170.2757 -74.5905, 170.2692 -74.5887)		GearType=Beam trawl								Southern Ocean	Site C1, shelf, western Ross Sea																											
4081091453	4d0b1b2a-3209-49ce-bb93-7503e4868019	c58ac019-b413-4613-8772-39e57acbeb8e	f0d34585-ddcb-4915-9332-6043585e831a	c58ac019-b413-4613-8772-39e57acbeb8e	NZ	EML	2023-06-07T18:53:24.650+00:00	2024-01-25T07:20:22.106+00:00	166	{}	PRESERVED_SPECIMEN		PRESENT			5166770	1	54	354	9477065	6313	2118547	5166770	5166770	Ammothea striata (Möbius, 1902)	Ammothea striata (Möbius, 1902)	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothea	Ammothea striata	Ammothea	striata	SPECIES	ACCEPTED	NE	-74.5905	170.2757	283.0	0.0	{}	2008.0	2.0	11.0	2008-02-11	42.0	42.0	['CONTINENT_COORDINATE_MISMATCH', 'RECORDED_DATE_INVALID', 'MODIFIED_DATE_INVALID', 'IDENTIFIED_DATE_INVALID', 'INSTITUTION_MATCH_NONE']		2024-01-25T07:20:22.106+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '5c27e748-fa36-11e2-96b3-aa6f927c92a3'}]	[]	[]	[]		True	NIWA Invertebrate Collection	Arango, Claudia	Specimen(s), Ethanol - no formalin = 1	Trawl, Beam	WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	OCEANIA		5c27e748-fa36-11e2-96b3-aa6f927c92a3	50306	NIWA Invertebrate Collection			4081091453	en		NIWA	5c27e748-fa36-11e2-96b3-aa6f927c92a3		['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']		100.0				urn:lsid:marinespecies.org:taxname:172938			LINESTRING (170.2757 -74.5905, 170.2692 -74.5887)											Site C1, shelf, western Ross Sea	IPY CAML	TAN0802/31	GPS																								
3326687332	7a498826-f762-11e1-a439-00145eb45e9a	e8eada63-4a33-44aa-b2fd-4f71efb222a0	2a3f6a56-7591-4f05-8c4c-a1bb77aa4ea6	6c4a0bb0-2a4d-11d8-aa2d-b8a03c50a862	ES	EML	2024-05-28T13:54:27.401+00:00	2024-05-28T13:55:05.468+00:00	360	{}	PRESERVED_SPECIMEN	1.0	PRESENT	MALE	Adult	5166770	1	54	354	9477065	6313	2118547	5166770	5166770	Ammothea striata (Möbius, 1902)	Ammothea striata (Möbius, 1902)	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothea	Ammothea striata	Ammothea	striata	SPECIES	ACCEPTED	NE			336.55	0.5500000000000114	{}	2006.0	12.0	30.0	2006-12-30	364.0	364.0	['COORDINATE_INVALID', 'CONTINENT_INVALID', 'CONTINENT_DERIVED_FROM_COUNTRY', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2023-01-01T00:00:00.000+00:00	2024-05-28T13:55:05.468+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'MCNB:MCNB-Art:MZB 2013-3709'}]	[]	[]	[]	e3d4dcc4-81e2-444c-8a5c-41d1044b5381	False	Museu de Ciències Naturals de Barcelona: MCNB-Art	López González, Pablo José|Cano-Sánchez, Esperanza	animal sencer (alcohol etílic 70º)	draga BT		Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	EUROPE	Polarstern cruise XXIII/8, stn. 664-1	MCNB:MCNB-Art:MZB 2013-3709	MZB 2013-3709	MCNB	Cano-Sánchez, Esperanza; López González, Pablo José. New findings and a new species of the genus Ammothea (Pycnogonida, Ammotheidae), with an updated identification key to all Antarctic and sub-Antarctic species. Helgoland Marine Research, 2014, vol. 68, p. 155-168.	ANT XXIII/8, campanya	3326687332	ca		MCNB-Art	MCNB:MCNB-Art:MZB 2013-3709	Collection													ANTARCTICA												2004-01-01T00:00:00	Illes Shetland del Sud																						
3941767001	4655f1f3-60a5-4346-a343-84f5836a4585	34cc6c50-812c-11de-86fe-b8a03c50a862	c6c9f784-8af9-4631-9912-dde88e38fafb	a86e9e36-12ec-49a4-a94c-c0c981fffb71	US	EML	2024-04-11T18:22:06.813+00:00	2024-04-11T18:22:26.768+00:00	219	{}	PRESERVED_SPECIMEN		PRESENT			5166770	1	54	354	9477065	6313	2118547	5166770	5166770	Ammothea striata (Möbius, 1902)	Ammothea striata (Möbius, 1902)	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothea	Ammothea striata	Ammothea	striata	SPECIES	ACCEPTED	NE	-65.623733	-67.784617	217.0		{}	2004.0	12.0	12.0	2004-12-12	347.0	347.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'CONTINENT_COORDINATE_MISMATCH', 'AMBIGUOUS_INSTITUTION']	2022-10-03T16:56:42.000+00:00	2024-04-11T18:22:26.768+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': '4d718b4b-ae26-437c-8bf3-4171c8de6e7e'}]	[]	[]	[]		False	Auburn University Museum of Natural History Invertebrate (non-mollusk) Collection		1 - 95% EtOH		WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	NORTH_AMERICA	Ch69.2E	4d718b4b-ae26-437c-8bf3-4171c8de6e7e	51667	AUM		78	3941767001		Renaud Island - Station 78 - 217m	AUM Invertebrate (non-mollusk)	4d718b4b-ae26-437c-8bf3-4171c8de6e7e																						Renaud Island	Halanych, K.M.					SJ0100																					
4399690943	97169dfa-325b-4c1e-af91-3ef023f8a498	9abe4949-29aa-450e-b767-b2788f66e04d	da87027f-12b5-442f-b132-0f6f25acfd53	9abe4949-29aa-450e-b767-b2788f66e04d	RU	EML	2024-06-18T12:44:43.404+00:00	2024-06-18T12:44:59.148+00:00	69	{}	PRESERVED_SPECIMEN	1.0	PRESENT			5166770	1	54	354	9477065	6313	2118547	5166770	5166770	Ammothea striata (Möbius, 1902)	Ammothea striata (Möbius, 1902)	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothea	Ammothea striata	Ammothea	striata	SPECIES	ACCEPTED	NE	-73.605	-22.316667			{}	1996.0	2.0	14.0	1996-02-14	45.0	45.0	['COORDINATE_ROUNDED']		2024-06-18T12:44:59.148+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': '4056e2de-0b1f-4ff8-aa8a-1a768d786e72'}]	[]	[]	[]	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	True		Turpaeva, Elena	EtOH 75%	Bottom Trawl	WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	EUROPE		4056e2de-0b1f-4ff8-aa8a-1a768d786e72	INV0001892	IORAS		39/13	4399690943			OBFc	4056e2de-0b1f-4ff8-aa8a-1a768d786e72		['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']					RV Polarstern_cruise ANT-XIII/3_st.39/13		51e76603-9190-4d7e-9fa4-1ea3b4d4ff86												Weddell Sea	Weddell Sea	RV Polarstern						fd699988-ab5d-4737-9443-9085cea191d2	620.0 - 610.0 m	IORAS	cruise ANT-XIII/3	fd699988-ab5d-4737-9443-9085cea191d2																
240913901	7b52e794-f762-11e1-a439-00145eb45e9a	104e9c96-791b-4f14-978c-f581cb214912	27c24cba-13c5-47d1-96a1-16abd8f11437	fb10a11f-4417-41c8-be6a-13a5c8535122	GB	EML	2023-01-08T06:21:55.654+00:00	2024-01-24T20:20:53.087+00:00	242	{}	HUMAN_OBSERVATION		PRESENT			2118567	1	54	354	9477065	6313	2118547	5166770	5166770	Thavmastopycnon striata (Möbius, 1902)	Ammothea striata (Möbius, 1902)	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothea	Ammothea striata	Thavmastopycnon	striata	SPECIES	SYNONYM	NE	-73.605	-22.316668	620.0	0.0	{}	1996.0	2.0	14.0	1996-02-14	45.0	45.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'SCIENTIFIC_NAME_AND_ID_INCONSISTENT']	2010-05-11T18:09:00.000+00:00	2024-01-24T20:20:53.087+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:AWI:Weddell Sea macrozoobenthos EASIZ I:4367'}]	[]	[]	[]		False					WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	EUROPE		urn:catalog:AWI:Weddell Sea macrozoobenthos EASIZ I:4367	4367	AWI			240913901			Weddell Sea macrozoobenthos EASIZ I	urn:catalog:AWI:Weddell Sea macrozoobenthos EASIZ I:4367		['8534dd20-c368-4a1f-bdaf-e6b390710f89', '2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']						urn:lsid:marinespecies.org:taxname:268005							IMIS:dasid:2432							South of Vestkapp																											
