key	datasetKey	publishingOrgKey	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	stateProvince	gadm	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	institutionKey	isInCluster	identifiedBy	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	identifier	catalogNumber	vernacularName	institutionCode	county	gbifID	collectionCode	occurrenceID	continent	locality	higherGeography	modified	language	type	higherClassification	networkKeys	recordedBy	institutionID	collectionID	individualCount	sex	depth	depthAccuracy	waterBody	collectionKey	datasetName	preparations	verbatimEventDate	locationID	lifeStage	georeferenceProtocol	verbatimCoordinateSystem	verbatimDepth	habitat	rightsHolder	nomenclaturalCode	dateIdentified	eventRemarks	fieldNumber	occurrenceRemarks	typeStatus	references	datasetID	scientificNameID	bibliographicCitation	otherCatalogNumbers	acceptedNameUsage	elevation	elevationAccuracy
3970748653	bef19e99-90a7-4b3d-a113-bdf4ea6c88f2	2b4e561b-0b1a-4c1b-b564-819bcfe006b8	9afa1395-6e93-4848-a42d-bce896f5195e	657b7bf0-766b-11d9-9f77-b8a03c50a862	KR	EML	2024-04-10T15:17:39.393+00:00	2024-04-10T15:19:20.822+00:00	116	{}	PRESERVED_SPECIMEN	PRESENT	2118189	1	54	354	9477065	6313	2118169	2118189	2118189	Ammothella indica Stock, 1954	Ammothella indica Stock, 1954	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothella	Ammothella indica	Ammothella	indica	SPECIES	ACCEPTED	NE	34.885472	128.951214	Busan	{}	2021.0	7.0	12.0	2021-07-12	193.0	193.0	['COORDINATE_ROUNDED', 'GEODETIC_DATUM_ASSUMED_WGS84', 'IDENTIFIED_DATE_INVALID', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-04-10T15:19:20.822+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': 'MABIK CR00252342'}]	[]	[]	[]	a8264021-9b25-41bb-88b5-eaba3fc66193	False	Kim Jungsoo	WGS84	Pycnogonida	KR	[]	[]	ASIA	Korea, Republic of	ASIA	MABIK CR00252342	MABIK CR00252342	남방긴손접시바다거미	MABIK	Saha-gu	3970748653	CR	MABIK CR00252342																																									
3970748648	bef19e99-90a7-4b3d-a113-bdf4ea6c88f2	2b4e561b-0b1a-4c1b-b564-819bcfe006b8	9afa1395-6e93-4848-a42d-bce896f5195e	657b7bf0-766b-11d9-9f77-b8a03c50a862	KR	EML	2024-04-10T15:17:39.393+00:00	2024-04-10T15:19:20.821+00:00	116	{}	PRESERVED_SPECIMEN	PRESENT	2118189	1	54	354	9477065	6313	2118169	2118189	2118189	Ammothella indica Stock, 1954	Ammothella indica Stock, 1954	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothella	Ammothella indica	Ammothella	indica	SPECIES	ACCEPTED	NE	34.885472	128.951214	Busan	{}	2021.0	7.0	12.0	2021-07-12	193.0	193.0	['COORDINATE_ROUNDED', 'GEODETIC_DATUM_ASSUMED_WGS84', 'IDENTIFIED_DATE_INVALID', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-04-10T15:19:20.821+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': 'MABIK CR00252343'}]	[]	[]	[]	a8264021-9b25-41bb-88b5-eaba3fc66193	False	Kim Jungsoo	WGS84	Pycnogonida	KR	[]	[]	ASIA	Korea, Republic of	ASIA	MABIK CR00252343	MABIK CR00252343	남방긴손접시바다거미	MABIK	Saha-gu	3970748648	CR	MABIK CR00252343																																									
3970758906	bef19e99-90a7-4b3d-a113-bdf4ea6c88f2	2b4e561b-0b1a-4c1b-b564-819bcfe006b8	9afa1395-6e93-4848-a42d-bce896f5195e	657b7bf0-766b-11d9-9f77-b8a03c50a862	KR	EML	2024-04-10T15:17:39.393+00:00	2024-04-10T15:19:21.773+00:00	116	{}	PRESERVED_SPECIMEN	PRESENT	2118189	1	54	354	9477065	6313	2118169	2118189	2118189	Ammothella indica Stock, 1954	Ammothella indica Stock, 1954	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothella	Ammothella indica	Ammothella	indica	SPECIES	ACCEPTED	NE	33.226908	126.568425	Jeju-do	{}	2017.0	1.0	10.0	2017-01-10	10.0	10.0	['COORDINATE_ROUNDED', 'GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_DERIVED_FROM_COORDINATES', 'IDENTIFIED_DATE_INVALID', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-04-10T15:19:21.773+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': 'MABIK CR00252044'}]	[]	[]	[]	a8264021-9b25-41bb-88b5-eaba3fc66193	False	Lee Damin	WGS84	Pycnogonida	KR	[]	[]	ASIA	Korea, Republic of	ASIA	MABIK CR00252044	MABIK CR00252044	남방긴손접시바다거미	MABIK	Seogwipo-si	3970758906	CR	MABIK CR00252044	ASIA																																								
4459280744	bef19e99-90a7-4b3d-a113-bdf4ea6c88f2	2b4e561b-0b1a-4c1b-b564-819bcfe006b8	9afa1395-6e93-4848-a42d-bce896f5195e	657b7bf0-766b-11d9-9f77-b8a03c50a862	KR	EML	2024-04-10T15:17:39.393+00:00	2024-04-10T15:19:32.594+00:00	116	{}	PRESERVED_SPECIMEN	PRESENT	2118189	1	54	354	9477065	6313	2118169	2118189	2118189	Ammothella indica Stock, 1954	Ammothella indica Stock, 1954	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothella	Ammothella indica	Ammothella	indica	SPECIES	ACCEPTED	NE	36.002925	129.578867	Gyeongsangbuk-do	{}	2016.0	9.0	24.0	2016-09-24	268.0	268.0	['COORDINATE_ROUNDED', 'GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_DERIVED_FROM_COORDINATES', 'IDENTIFIED_DATE_INVALID', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-04-10T15:19:32.594+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': 'MABIK CR00244422'}]	[]	[]	[]	a8264021-9b25-41bb-88b5-eaba3fc66193	False	Lee Damin	WGS84	Pycnogonida	KR	[]	[]	ASIA	Korea, Republic of	ASIA	MABIK CR00244422	MABIK CR00244422	남방긴손접시바다거미	MABIK	Nam-gu, Pohang-si	4459280744	CR	MABIK CR00244422	ASIA	Guryongpo-eup																																							
4459280750	bef19e99-90a7-4b3d-a113-bdf4ea6c88f2	2b4e561b-0b1a-4c1b-b564-819bcfe006b8	9afa1395-6e93-4848-a42d-bce896f5195e	657b7bf0-766b-11d9-9f77-b8a03c50a862	KR	EML	2024-04-10T15:17:39.393+00:00	2024-04-10T15:19:32.594+00:00	116	{}	PRESERVED_SPECIMEN	PRESENT	2118189	1	54	354	9477065	6313	2118169	2118189	2118189	Ammothella indica Stock, 1954	Ammothella indica Stock, 1954	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothella	Ammothella indica	Ammothella	indica	SPECIES	ACCEPTED	NE	35.060403	129.076164	Busan	{}	2016.0	9.0	22.0	2016-09-22	266.0	266.0	['COORDINATE_ROUNDED', 'GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_DERIVED_FROM_COORDINATES', 'IDENTIFIED_DATE_INVALID', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-04-10T15:19:32.594+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': 'MABIK CR00244423'}]	[]	[]	[]	a8264021-9b25-41bb-88b5-eaba3fc66193	False	Lee Damin	WGS84	Pycnogonida	KR	[]	[]	ASIA	Korea, Republic of	ASIA	MABIK CR00244423	MABIK CR00244423	남방긴손접시바다거미	MABIK	Yeongdo-gu	4459280750	CR	MABIK CR00244423	ASIA																																								
3970758907	bef19e99-90a7-4b3d-a113-bdf4ea6c88f2	2b4e561b-0b1a-4c1b-b564-819bcfe006b8	9afa1395-6e93-4848-a42d-bce896f5195e	657b7bf0-766b-11d9-9f77-b8a03c50a862	KR	EML	2024-04-10T15:17:39.393+00:00	2024-04-10T15:19:21.771+00:00	116	{}	PRESERVED_SPECIMEN	PRESENT	2118189	1	54	354	9477065	6313	2118169	2118189	2118189	Ammothella indica Stock, 1954	Ammothella indica Stock, 1954	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothella	Ammothella indica	Ammothella	indica	SPECIES	ACCEPTED	NE	35.059792	129.074511	Busan	{}	2016.0	9.0	22.0	2016-09-22	266.0	266.0	['COORDINATE_ROUNDED', 'GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_DERIVED_FROM_COORDINATES', 'IDENTIFIED_DATE_INVALID', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-04-10T15:19:21.771+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': 'MABIK CR00252045'}]	[]	[]	[]	a8264021-9b25-41bb-88b5-eaba3fc66193	False	Lee Damin	WGS84	Pycnogonida	KR	[]	[]	ASIA	Korea, Republic of	ASIA	MABIK CR00252045	MABIK CR00252045	남방긴손접시바다거미	MABIK	Yeongdo-gu	3970758907	CR	MABIK CR00252045	ASIA																																								
1828747187	44481e05-53f7-41e6-b002-b70933dfa921	4fd82480-ea1c-11da-8db4-b8a03c50a862	82d6992a-b20b-4e74-b6ac-6b971b2c485d	4fd82480-ea1c-11da-8db4-b8a03c50a862	JP	EML	2023-10-14T03:06:45.231+00:00	2024-01-24T17:49:59.038+00:00	266	{}	PRESERVED_SPECIMEN	PRESENT	2118189	1	54	354	9477065	6313	2118169	2118189	2118189	Ammothella indica Stock, 1954	Ammothella indica Stock, 1954	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothella	Ammothella indica	Ammothella	indica	SPECIES	ACCEPTED	NE			Osaka	{}	2013.0	9.0	18.0	2013-09-18	261.0	261.0	['INSTITUTION_MATCH_NONE']	2024-01-24T17:49:59.038+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '100'}]	[]	[]	[]		False			Pycnogonida	JP	[]	[]	ASIA	Japan	ASIA	100	KSNHM-C00100	クダトゲイソウミグモ	KSNHM	Kishiwada-shi	1828747187	Ar	914260ee-f8a6-11e6-b21a-70e2840fc270		Artificial tidal flat of Hannan second section, Kishinoura-cho	Japan|Osaka|Kishiwada-shi|Artificial tidal flat of Hannan second section, Kishinoura-cho	2016-03-14T23:06:42.000+00:00	en	text	Animalia|ARTHROPODA|PYCNOGONIDA|PANTOPODA|Ammotheidae|Ammothella|indica																																		
1808901502	9aa00786-772a-46d4-8fe1-ac6d8926a040	d6aeeb7c-db16-436f-98bb-f0d7e2c7a0db	9afa1395-6e93-4848-a42d-bce896f5195e	657b7bf0-766b-11d9-9f77-b8a03c50a862	KR	EML	2023-01-06T23:22:09.574+00:00	2024-01-25T11:49:37.029+00:00	88	{}	PRESERVED_SPECIMEN	PRESENT	2118189	1	54	354	9477065	6313	2118169	2118189	2118189	Ammothella indica Stock, 1954	Ammothella indica Stock, 1954	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothella	Ammothella indica	Ammothella	indica	SPECIES	ACCEPTED	NE				{}	2012.0	1.0	1.0	2012-01-01	1.0	1.0	['INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-01-25T11:49:37.029+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': '1808901502'}]	[]	[]	[]	31c9e39d-1b4d-4b4c-9c8c-a93cc973f4e5	False			Pycnogonida		[]	[]			ASIA		NIBRIV0000001750		NIBR		1808901502	AM																																										
1808901514	9aa00786-772a-46d4-8fe1-ac6d8926a040	d6aeeb7c-db16-436f-98bb-f0d7e2c7a0db	9afa1395-6e93-4848-a42d-bce896f5195e	657b7bf0-766b-11d9-9f77-b8a03c50a862	KR	EML	2023-01-06T23:22:09.574+00:00	2024-01-25T11:49:37.534+00:00	88	{}	PRESERVED_SPECIMEN	PRESENT	2118189	1	54	354	9477065	6313	2118169	2118189	2118189	Ammothella indica Stock, 1954	Ammothella indica Stock, 1954	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothella	Ammothella indica	Ammothella	indica	SPECIES	ACCEPTED	NE				{}	2012.0	1.0	1.0	2012-01-01	1.0	1.0	['INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-01-25T11:49:37.534+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': '1808901514'}]	[]	[]	[]	31c9e39d-1b4d-4b4c-9c8c-a93cc973f4e5	False			Pycnogonida		[]	[]			ASIA		NIBRIV0000024278		NIBR		1808901514	AM																																										
1808901585	9aa00786-772a-46d4-8fe1-ac6d8926a040	d6aeeb7c-db16-436f-98bb-f0d7e2c7a0db	9afa1395-6e93-4848-a42d-bce896f5195e	657b7bf0-766b-11d9-9f77-b8a03c50a862	KR	EML	2023-01-06T23:22:09.574+00:00	2024-01-25T11:49:37.517+00:00	88	{}	PRESERVED_SPECIMEN	PRESENT	2118189	1	54	354	9477065	6313	2118169	2118189	2118189	Ammothella indica Stock, 1954	Ammothella indica Stock, 1954	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothella	Ammothella indica	Ammothella	indica	SPECIES	ACCEPTED	NE				{}	2012.0	1.0	1.0	2012-01-01	1.0	1.0	['INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-01-25T11:49:37.517+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': '1808901585'}]	[]	[]	[]	31c9e39d-1b4d-4b4c-9c8c-a93cc973f4e5	False			Pycnogonida		[]	[]			ASIA		NIBRIV0000001751		NIBR		1808901585	AM																																										
