key	datasetKey	publishingOrgKey	networkKeys	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	individualCount	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	continent	gadm	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	modified	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	institutionKey	isInCluster	recordedBy	identifiedBy	preparations	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	rightsHolder	identifier	catalogNumber	nomenclaturalCode	institutionID	verbatimEventDate	gbifID	collectionCode	occurrenceID	higherClassification	decimalLatitude	decimalLongitude	geodeticDatum	typeStatus	sex	locality	institutionCode
2434361476	b4aad9c3-518b-4550-82de-c70a7ead1b64	396d5f30-dea9-11db-8ab4-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	65eb93af-41b8-4917-a5fc-cfe2a45aa4bf	396d5f30-dea9-11db-8ab4-b8a03c50a862	NL	DWC_ARCHIVE	2024-07-23T00:32:26.361+00:00	2024-07-23T00:33:20.013+00:00	393	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2118204	1	54	354	9477065	6313	2118169	2118204	2118204	Ammothella omanensis Stock, 1992	Ammothella omanensis Stock, 1992	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothella	Ammothella omanensis	Ammothella	omanensis	SPECIES	ACCEPTED	NE	ASIA	{}	2005.0	9.0	26.0	2005-09-26	269.0	269.0	['CONTINENT_DERIVED_FROM_COUNTRY', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2019-03-08T00:00:00.000+00:00	2024-07-23T00:33:20.013+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'ZMA.PYC.205977@CRS'}]	[]	[]	[]	0e919a55-08d3-4bd2-aec1-200858fafd92	False	Bartolino	F. Krapp	WholeOrganism (wet specimen)	Pycnogonida	OM	[]	[]	ASIA	Oman	EUROPE	Naturalis Biodiversity Center	ZMA.PYC.205977@CRS	ZMA.PYC.205977	ICZN	Naturalis Biodiversity Center	26 sep 2005	2434361476	Chelicerata and Myriapoda	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.PYC.205977	Animalia|Ammotheidae							
2434399626	b4aad9c3-518b-4550-82de-c70a7ead1b64	396d5f30-dea9-11db-8ab4-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	65eb93af-41b8-4917-a5fc-cfe2a45aa4bf	396d5f30-dea9-11db-8ab4-b8a03c50a862	NL	DWC_ARCHIVE	2024-07-23T00:32:26.361+00:00	2024-07-23T00:33:29.989+00:00	393	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2118204	1	54	354	9477065	6313	2118169	2118204	2118204	Ammothella omanensis Stock, 1992	Ammothella omanensis Stock, 1992	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothella	Ammothella omanensis	Ammothella	omanensis	SPECIES	ACCEPTED	NE	AFRICA	{'level0': {'gid': 'YEM', 'name': 'Yemen'}, 'level1': {'gid': 'YEM.12_1', 'name': 'Hadramawt'}, 'level2': {'gid': 'YEM.12.18_1', 'name': 'Hidaybu'}}	2004.0	7.0	19.0	2004-07-19	201.0	201.0	['COORDINATE_ROUNDED', 'COUNTRY_COORDINATE_MISMATCH', 'CONTINENT_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2019-03-08T00:00:00.000+00:00	2024-07-23T00:33:29.989+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'ZMA.PYC.205981@CRS'}]	[]	[]	[]	0e919a55-08d3-4bd2-aec1-200858fafd92	False	Bartolino & Davis	F. Krapp	WholeOrganism (wet specimen)	Pycnogonida	OM	[]	[]	ASIA	Oman	EUROPE	Naturalis Biodiversity Center	ZMA.PYC.205981@CRS	ZMA.PYC.205981	ICZN	Naturalis Biodiversity Center	19 jul 2004	2434399626	Chelicerata and Myriapoda	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.PYC.205981	Animalia|Ammotheidae	12.671944	54.196111	WGS84				
2434399380	b4aad9c3-518b-4550-82de-c70a7ead1b64	396d5f30-dea9-11db-8ab4-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	65eb93af-41b8-4917-a5fc-cfe2a45aa4bf	396d5f30-dea9-11db-8ab4-b8a03c50a862	NL	DWC_ARCHIVE	2024-07-23T00:32:26.361+00:00	2024-07-23T00:33:34.230+00:00	393	{}	PRESERVED_SPECIMEN	2.0	PRESENT	2118204	1	54	354	9477065	6313	2118169	2118204	2118204	Ammothella omanensis Stock, 1992	Ammothella omanensis Stock, 1992	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothella	Ammothella omanensis	Ammothella	omanensis	SPECIES	ACCEPTED	NE	AFRICA	{'level0': {'gid': 'YEM', 'name': 'Yemen'}, 'level1': {'gid': 'YEM.12_1', 'name': 'Hadramawt'}, 'level2': {'gid': 'YEM.12.18_1', 'name': 'Hidaybu'}}	2004.0	7.0	19.0	2004-07-19	201.0	201.0	['COORDINATE_ROUNDED', 'COUNTRY_COORDINATE_MISMATCH', 'CONTINENT_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2019-03-08T00:00:00.000+00:00	2024-07-23T00:33:34.230+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'ZMA.PYC.205989@CRS'}]	[]	[]	[]	0e919a55-08d3-4bd2-aec1-200858fafd92	False	Bartolino & KAed	F. Krapp	WholeOrganism (wet specimen)	Pycnogonida	OM	[]	[]	ASIA	Oman	EUROPE	Naturalis Biodiversity Center	ZMA.PYC.205989@CRS	ZMA.PYC.205989	ICZN	Naturalis Biodiversity Center	19 jul 2004	2434399380	Chelicerata and Myriapoda	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.PYC.205989	Animalia|Ammotheidae	12.627778	54.268333	WGS84				
2434400580	b4aad9c3-518b-4550-82de-c70a7ead1b64	396d5f30-dea9-11db-8ab4-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	65eb93af-41b8-4917-a5fc-cfe2a45aa4bf	396d5f30-dea9-11db-8ab4-b8a03c50a862	NL	DWC_ARCHIVE	2024-07-23T00:32:26.361+00:00	2024-07-23T00:33:24.249+00:00	393	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2118204	1	54	354	9477065	6313	2118169	2118204	2118204	Ammothella omanensis Stock, 1992	Ammothella omanensis Stock, 1992	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothella	Ammothella omanensis	Ammothella	omanensis	SPECIES	ACCEPTED	NE	ASIA	{}	2004.0	9.0	24.0	2004-09-24	268.0	268.0	['CONTINENT_DERIVED_FROM_COUNTRY', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2019-03-08T00:00:00.000+00:00	2024-07-23T00:33:24.249+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'ZMA.PYC.205980@CRS'}]	[]	[]	[]	0e919a55-08d3-4bd2-aec1-200858fafd92	False	Bartolino	F. Krapp	WholeOrganism (wet specimen)	Pycnogonida	OM	[]	[]	ASIA	Oman	EUROPE	Naturalis Biodiversity Center	ZMA.PYC.205980@CRS	ZMA.PYC.205980	ICZN	Naturalis Biodiversity Center	24 sep 2004	2434400580	Chelicerata and Myriapoda	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.PYC.205980	Animalia|Ammotheidae							
2434401355	b4aad9c3-518b-4550-82de-c70a7ead1b64	396d5f30-dea9-11db-8ab4-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	65eb93af-41b8-4917-a5fc-cfe2a45aa4bf	396d5f30-dea9-11db-8ab4-b8a03c50a862	NL	DWC_ARCHIVE	2024-07-23T00:32:26.361+00:00	2024-07-23T00:33:36.419+00:00	393	{}	PRESERVED_SPECIMEN	6.0	PRESENT	2118204	1	54	354	9477065	6313	2118169	2118204	2118204	Ammothella omanensis Stock, 1992	Ammothella omanensis Stock, 1992	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothella	Ammothella omanensis	Ammothella	omanensis	SPECIES	ACCEPTED	NE	ASIA	{}	1991.0	11.0	13.0	1991-11-13	317.0	317.0	['CONTINENT_DERIVED_FROM_COUNTRY', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2019-03-08T00:00:00.000+00:00	2024-07-23T00:33:36.419+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'ZMA.PYC.200240@CRS'}]	[]	[]	[]	0e919a55-08d3-4bd2-aec1-200858fafd92	False	R.M. Moolenbeek	Stock J.H.	WholeOrganism (wet specimen)	Pycnogonida	OM	[]	[]	ASIA	Oman	EUROPE	Naturalis Biodiversity Center	ZMA.PYC.200240@CRS	ZMA.PYC.200240	ICZN	Naturalis Biodiversity Center	13 nov 1991	2434401355	Chelicerata and Myriapoda	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.PYC.200240	Animalia|Ammotheidae							
2434401561	b4aad9c3-518b-4550-82de-c70a7ead1b64	396d5f30-dea9-11db-8ab4-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	65eb93af-41b8-4917-a5fc-cfe2a45aa4bf	396d5f30-dea9-11db-8ab4-b8a03c50a862	NL	DWC_ARCHIVE	2024-07-23T00:32:26.361+00:00	2024-07-23T00:33:24.744+00:00	393	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2118204	1	54	354	9477065	6313	2118169	2118204	2118204	Ammothella omanensis Stock, 1992	Ammothella omanensis Stock, 1992	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothella	Ammothella omanensis	Ammothella	omanensis	SPECIES	ACCEPTED	NE	ASIA	{}	1991.0	11.0	29.0	1991-11-29	333.0	333.0	['CONTINENT_DERIVED_FROM_COUNTRY', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2019-03-08T00:00:00.000+00:00	2024-07-23T00:33:24.744+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'ZMA.PYC.200244@CRS'}]	[]	[]	[]	0e919a55-08d3-4bd2-aec1-200858fafd92	False	R. G.Moolenbeek & H. Dekker	Stock J.H.	WholeOrganism (wet specimen)	Pycnogonida	OM	[]	[]	ASIA	Oman	EUROPE	Naturalis Biodiversity Center	ZMA.PYC.200244@CRS	ZMA.PYC.200244	ICZN	Naturalis Biodiversity Center	29 nov 1991	2434401561	Chelicerata and Myriapoda	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.PYC.200244	Animalia|Ammotheidae							
2434400777	b4aad9c3-518b-4550-82de-c70a7ead1b64	396d5f30-dea9-11db-8ab4-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	65eb93af-41b8-4917-a5fc-cfe2a45aa4bf	396d5f30-dea9-11db-8ab4-b8a03c50a862	NL	DWC_ARCHIVE	2024-07-23T00:32:26.361+00:00	2024-07-23T00:33:17.186+00:00	393	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2118204	1	54	354	9477065	6313	2118169	2118204	2118204	Ammothella omanensis Stock, 1992	Ammothella omanensis Stock, 1992	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothella	Ammothella omanensis	Ammothella	omanensis	SPECIES	ACCEPTED	NE	ASIA	{}	1991.0	11.0	28.0	1991-11-28	332.0	332.0	['CONTINENT_DERIVED_FROM_COUNTRY', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2019-03-08T00:00:00.000+00:00	2024-07-23T00:33:17.186+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'ZMA.PYC.3550@CRS'}]	[]	[]	[]	0e919a55-08d3-4bd2-aec1-200858fafd92	False	Moolenbeek R. et al.	Stock J.H.	WholeOrganism (wet specimen)	Pycnogonida	OM	[]	[]	ASIA	Oman	EUROPE	Naturalis Biodiversity Center	ZMA.PYC.3550@CRS	ZMA.PYC.3550	ICZN	Naturalis Biodiversity Center	28 nov 1991	2434400777	Chelicerata and Myriapoda	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.PYC.3550	Animalia|Ammotheidae							
2434363449	b4aad9c3-518b-4550-82de-c70a7ead1b64	396d5f30-dea9-11db-8ab4-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	65eb93af-41b8-4917-a5fc-cfe2a45aa4bf	396d5f30-dea9-11db-8ab4-b8a03c50a862	NL	DWC_ARCHIVE	2024-07-23T00:32:26.361+00:00	2024-07-23T00:33:29.518+00:00	393	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2118204	1	54	354	9477065	6313	2118169	2118204	2118204	Ammothella omanensis Stock, 1992	Ammothella omanensis Stock, 1992	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothella	Ammothella omanensis	Ammothella	omanensis	SPECIES	ACCEPTED	NE	ASIA	{}	1991.0	11.0	14.0	1991-11-14	318.0	318.0	['CONTINENT_DERIVED_FROM_COUNTRY', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2019-03-08T00:00:00.000+00:00	2024-07-23T00:33:29.518+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'ZMA.PYC.3555@CRS'}]	[]	[]	[]	0e919a55-08d3-4bd2-aec1-200858fafd92	False	Moolenbeek R. et al.	Stock J.H.	WholeOrganism (wet specimen)	Pycnogonida	OM	[]	[]	ASIA	Oman	EUROPE	Naturalis Biodiversity Center	ZMA.PYC.3555@CRS	ZMA.PYC.3555	ICZN	Naturalis Biodiversity Center	14 nov 1991	2434363449	Chelicerata and Myriapoda	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.PYC.3555	Animalia|Ammotheidae				HOLOTYPE			
2434401604	b4aad9c3-518b-4550-82de-c70a7ead1b64	396d5f30-dea9-11db-8ab4-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	65eb93af-41b8-4917-a5fc-cfe2a45aa4bf	396d5f30-dea9-11db-8ab4-b8a03c50a862	NL	DWC_ARCHIVE	2024-07-23T00:32:26.361+00:00	2024-07-23T00:33:34.865+00:00	393	{}	PRESERVED_SPECIMEN	2.0	PRESENT	2118204	1	54	354	9477065	6313	2118169	2118204	2118204	Ammothella omanensis Stock, 1992	Ammothella omanensis Stock, 1992	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothella	Ammothella omanensis	Ammothella	omanensis	SPECIES	ACCEPTED	NE	ASIA	{}	1991.0	11.0	15.0	1991-11-15	319.0	319.0	['CONTINENT_DERIVED_FROM_COUNTRY', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2019-03-08T00:00:00.000+00:00	2024-07-23T00:33:34.865+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'ZMA.PYC.3560@CRS'}]	[]	[]	[]	0e919a55-08d3-4bd2-aec1-200858fafd92	False	Moolenbeek R. et al.	Stock J.H.	WholeOrganism (wet specimen)	Pycnogonida	OM	[]	[]	ASIA	Oman	EUROPE	Naturalis Biodiversity Center	ZMA.PYC.3560@CRS	ZMA.PYC.3560	ICZN	Naturalis Biodiversity Center	15 nov 1991	2434401604	Chelicerata and Myriapoda	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.PYC.3560	Animalia|Ammotheidae				PARATYPE			
2434400177	b4aad9c3-518b-4550-82de-c70a7ead1b64	396d5f30-dea9-11db-8ab4-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	65eb93af-41b8-4917-a5fc-cfe2a45aa4bf	396d5f30-dea9-11db-8ab4-b8a03c50a862	NL	DWC_ARCHIVE	2024-07-23T00:32:26.361+00:00	2024-07-23T00:33:31.279+00:00	393	{}	PRESERVED_SPECIMEN	4.0	PRESENT	2118204	1	54	354	9477065	6313	2118169	2118204	2118204	Ammothella omanensis Stock, 1992	Ammothella omanensis Stock, 1992	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothella	Ammothella omanensis	Ammothella	omanensis	SPECIES	ACCEPTED	NE	ASIA	{}	1991.0	11.0	20.0	1991-11-20	324.0	324.0	['CONTINENT_DERIVED_FROM_COUNTRY', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2019-03-08T00:00:00.000+00:00	2024-07-23T00:33:31.279+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'ZMA.PYC.3586@CRS'}]	[]	[]	[]	0e919a55-08d3-4bd2-aec1-200858fafd92	False	Moolenbeek R. et al.	Stock J.H.	WholeOrganism (wet specimen)	Pycnogonida	OM	[]	[]	ASIA	Oman	EUROPE	Naturalis Biodiversity Center	ZMA.PYC.3586@CRS	ZMA.PYC.3586	ICZN	Naturalis Biodiversity Center	20 nov 1991	2434400177	Chelicerata and Myriapoda	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.PYC.3586	Animalia|Ammotheidae							
