key	datasetKey	publishingOrgKey	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	depth	depthAccuracy	gadm	waterBody	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	institutionKey	isInCluster	datasetName	samplingProtocol	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	eventID	identifier	catalogNumber	scientificNameID	institutionCode	footprintWKT	eventTime	locality	fieldNumber	gbifID	collectionCode	occurrenceID	networkKeys	individualCount	identifiedBy	habitat	identificationVerificationStatus	verbatimIdentification	identificationRemarks	occurrenceRemarks	modified	preparations	rightsHolder	nomenclaturalCode	institutionID	verbatimEventDate	higherClassification	recordedBy	collectionKey	collectionID	typeStatus	references	datasetID	bibliographicCitation	sex	otherCatalogNumbers	dynamicProperties
1265471417	99006141-bf02-4821-8e6e-5818a1cbf70a	ff265032-b806-411a-b4b8-15a27b767dce	56b3ccf5-ad40-433f-997e-1eeb565a5889	ff265032-b806-411a-b4b8-15a27b767dce	NO	EML	2024-04-11T12:43:11.848+00:00	2024-04-11T12:43:28.558+00:00	330	{'http://rs.iobis.org/obis/terms/ExtendedMeasurementOrFact': [{'http://rs.tdwg.org/dwc/terms/measurementUnit': 'Gram biomass per 100 square meter', 'http://rs.tdwg.org/dwc/terms/measurementValue': '0.00221274541358223', 'http://rs.iobis.org/obis/terms/measurementTypeID': 'http://vocab.nerc.ac.uk/collection/P01/current/ODRYBM01/', 'http://rs.tdwg.org/dwc/terms/occurrenceID': '099510033001011', 'http://rs.tdwg.org/dwc/terms/measurementType': 'Biomass'}]}	MATERIAL_SAMPLE	PRESENT	2117415	1	54	354	9477065	6316	2117290	2117415	2117415	Anoplodactylus arnaudae Stock, 1978	Anoplodactylus arnaudae Stock, 1978	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus arnaudae	Anoplodactylus	arnaudae	SPECIES	ACCEPTED	NE	62.527833	5.360167	264.25	1.7200000000000273	{}	Norwegian Sea	2012.0	9.0	30.0	2012-09-30T11:44Z/2012-09-30T11:49Z	274.0	274.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2024-04-11T12:43:28.558+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '099510033001011'}]	[]	[]	[]	1711d910-22c6-415c-bb34-9f226ec314ca	False	beamtrawl_2006-2022	Beamtrawl,Subsample method: Sieve content - Mesh size (mm): 5.0	WGS84	Pycnogonida	NO	[]	[]	EUROPE	Norway	EUROPE	Cruise: 58GS-2012110 Sample: 33	099510033001011	099510033001011	urn:lsid:marinespecies.org:taxname:134715	IMR	LINESTRING(5.360167 62.527833,5.355667 62.528667)	11:44Z/11:49Z	MAREANO Reference Station: 995	catchId: 11	1265471417	IMRMarbunnBenthos	099510033001011																									
1265471450	99006141-bf02-4821-8e6e-5818a1cbf70a	ff265032-b806-411a-b4b8-15a27b767dce	56b3ccf5-ad40-433f-997e-1eeb565a5889	ff265032-b806-411a-b4b8-15a27b767dce	NO	EML	2024-04-11T12:43:11.848+00:00	2024-04-11T12:43:28.543+00:00	330	{'http://rs.iobis.org/obis/terms/ExtendedMeasurementOrFact': [{'http://rs.tdwg.org/dwc/terms/measurementUnit': 'Gram biomass per 100 square meter', 'http://rs.tdwg.org/dwc/terms/measurementValue': '0.0011503243914784', 'http://rs.iobis.org/obis/terms/measurementTypeID': 'http://vocab.nerc.ac.uk/collection/P01/current/ODRYBM01/', 'http://rs.tdwg.org/dwc/terms/occurrenceID': '099710043001010', 'http://rs.tdwg.org/dwc/terms/measurementType': 'Biomass'}]}	MATERIAL_SAMPLE	PRESENT	2117415	1	54	354	9477065	6316	2117290	2117415	2117415	Anoplodactylus arnaudae Stock, 1978	Anoplodactylus arnaudae Stock, 1978	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus arnaudae	Anoplodactylus	arnaudae	SPECIES	ACCEPTED	NE	62.510667	5.6015	272.195	0.5749999999999886	{}	Norwegian Sea	2012.0	10.0	2.0	2012-10-02T15:27Z/2012-10-02T15:32Z	276.0	276.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2024-04-11T12:43:28.543+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '099710043001010'}]	[]	[]	[]	1711d910-22c6-415c-bb34-9f226ec314ca	False	beamtrawl_2006-2022	Beamtrawl,Subsample method: Sieve content - Mesh size (mm): 5.0	WGS84	Pycnogonida	NO	[]	[]	EUROPE	Norway	EUROPE	Cruise: 58GS-2012110 Sample: 43	099710043001010	099710043001010	urn:lsid:marinespecies.org:taxname:134715	IMR	LINESTRING(5.6015 62.510667,5.597667 62.509833)	15:27Z/15:32Z	MAREANO Reference Station: 997	catchId: 10	1265471450	IMRMarbunnBenthos	099710043001010																									
3696578424	2931765e-0682-4a38-85eb-032964cc3792	c3ad790a-d426-4ac1-8e32-da61f81f0117	a9c3f3b6-1f98-49c3-ba50-7e6aa1c9de59	c3ad790a-d426-4ac1-8e32-da61f81f0117	US	EML	2024-07-02T10:01:43.848+00:00	2024-07-02T10:03:31.949+00:00	118	{}	PRESERVED_SPECIMEN	PRESENT	2117415	1	54	354	9477065	6316	2117290	2117415	2117415	Anoplodactylus arnaudae Stock, 1978	Anoplodactylus arnaudae Stock, 1978	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus arnaudae	Anoplodactylus	arnaudae	SPECIES	ACCEPTED	NE	36.47	-11.61	477.5	7.5	{}		1987.0	9.0	22.0	1987-09-22	265.0	265.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'SCIENTIFIC_NAME_AND_ID_INCONSISTENT', 'REFERENCES_URI_INVALID', 'INSTITUTION_MATCH_NONE']	2024-07-02T10:03:31.949+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'SeamountsOnline_urn:lsid:marinespecies.org:taxname:134715_24251'}]	[]	[]	[]		False			WGS84	Pycnogonida	PT	[]	[]	EUROPE	Portugal	NORTH_AMERICA	SCSD_SeamountsOnline_Gorringe_Ridge_537788	SeamountsOnline_urn:lsid:marinespecies.org:taxname:134715_24251	24251	urn:lsid:marinespecies.org:taxname:134715	SCSD			Gorringe Ridge	Station DW08	3696578424	SeamountsOnline	SeamountsOnline_urn:lsid:marinespecies.org:taxname:134715_24251	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	1.0	Jan H. Stock	benthic/near bottom	Not validated	Anoplodactylus arnaudi Stock, 1978	WoRMS Match Type: phonetic	NA | NA																	
2434399855	b4aad9c3-518b-4550-82de-c70a7ead1b64	396d5f30-dea9-11db-8ab4-b8a03c50a862	65eb93af-41b8-4917-a5fc-cfe2a45aa4bf	396d5f30-dea9-11db-8ab4-b8a03c50a862	NL	DWC_ARCHIVE	2024-07-23T00:32:26.361+00:00	2024-07-23T00:33:18.061+00:00	393	{}	PRESERVED_SPECIMEN	PRESENT	2117415	1	54	354	9477065	6316	2117290	2117415	2117415	Anoplodactylus arnaudae Stock, 1978	Anoplodactylus arnaudae Stock, 1978	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus arnaudae	Anoplodactylus	arnaudae	SPECIES	ACCEPTED	NE	36.475	-11.618333			{}		1987.0	9.0	22.0	1987-09-22	265.0	265.0	['COORDINATE_ROUNDED', 'COUNTRY_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2024-07-23T00:33:18.061+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'ZMA.PYC.3426@CRS'}]	[]	[]	[]	0e919a55-08d3-4bd2-aec1-200858fafd92	False			WGS84	Pycnogonida	PT	[]	[]	EUROPE	Portugal	EUROPE		ZMA.PYC.3426@CRS	ZMA.PYC.3426							2434399855	Chelicerata and Myriapoda	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.PYC.3426	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	1.0	Stock J.H.						2019-03-08T00:00:00.000+00:00	WholeOrganism (wet specimen)	Naturalis Biodiversity Center	ICZN	Naturalis Biodiversity Center	22 sep 1987	Animalia|Phoxichilidiidae 										
3696578420	2931765e-0682-4a38-85eb-032964cc3792	c3ad790a-d426-4ac1-8e32-da61f81f0117	a9c3f3b6-1f98-49c3-ba50-7e6aa1c9de59	c3ad790a-d426-4ac1-8e32-da61f81f0117	US	EML	2024-07-02T10:01:43.848+00:00	2024-07-02T10:03:31.949+00:00	118	{}	PRESERVED_SPECIMEN	PRESENT	2117415	1	54	354	9477065	6316	2117290	2117415	2117415	Anoplodactylus arnaudae Stock, 1978	Anoplodactylus arnaudae Stock, 1978	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus arnaudae	Anoplodactylus	arnaudae	SPECIES	ACCEPTED	NE	36.69	-14.28	240.0	5.0	{}		1987.0	10.0	4.0	1987-10-04	277.0	277.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'SCIENTIFIC_NAME_AND_ID_INCONSISTENT', 'REFERENCES_URI_INVALID', 'INSTITUTION_MATCH_NONE']	2024-07-02T10:03:31.949+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'SeamountsOnline_urn:lsid:marinespecies.org:taxname:134715_24252'}]	[]	[]	[]		False			WGS84	Pycnogonida		[]	[]			NORTH_AMERICA	SCSD_SeamountsOnline_Josephine_Seamount_537807	SeamountsOnline_urn:lsid:marinespecies.org:taxname:134715_24252	24252	urn:lsid:marinespecies.org:taxname:134715	SCSD			Josephine Seamount	Station DW38	3696578420	SeamountsOnline	SeamountsOnline_urn:lsid:marinespecies.org:taxname:134715_24252	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	4.0	Jan H. Stock	benthic/near bottom	Not validated	Anoplodactylus arnaudi Stock, 1978	WoRMS Match Type: phonetic	NA | NA																	
3696578425	2931765e-0682-4a38-85eb-032964cc3792	c3ad790a-d426-4ac1-8e32-da61f81f0117	a9c3f3b6-1f98-49c3-ba50-7e6aa1c9de59	c3ad790a-d426-4ac1-8e32-da61f81f0117	US	EML	2024-07-02T10:01:43.848+00:00	2024-07-02T10:03:31.949+00:00	118	{}	PRESERVED_SPECIMEN	PRESENT	2117415	1	54	354	9477065	6316	2117290	2117415	2117415	Anoplodactylus arnaudae Stock, 1978	Anoplodactylus arnaudae Stock, 1978	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus arnaudae	Anoplodactylus	arnaudae	SPECIES	ACCEPTED	NE	35.05	-12.92	312.5	12.5	{}		1987.0	10.0	12.0	1987-10-12	285.0	285.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'SCIENTIFIC_NAME_AND_ID_INCONSISTENT', 'REFERENCES_URI_INVALID', 'INSTITUTION_MATCH_NONE']	2024-07-02T10:03:31.949+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'SeamountsOnline_urn:lsid:marinespecies.org:taxname:134715_24253'}]	[]	[]	[]		False			WGS84	Pycnogonida		[]	[]			NORTH_AMERICA	SCSD_SeamountsOnline_Ampere_Seamount_537846	SeamountsOnline_urn:lsid:marinespecies.org:taxname:134715_24253	24253	urn:lsid:marinespecies.org:taxname:134715	SCSD			Ampere Seamount	Station DE98	3696578425	SeamountsOnline	SeamountsOnline_urn:lsid:marinespecies.org:taxname:134715_24253	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	3.0	Jan H. Stock	benthic/near bottom	Not validated	Anoplodactylus arnaudi Stock, 1978	WoRMS Match Type: phonetic	NA | NA																	
3696578428	2931765e-0682-4a38-85eb-032964cc3792	c3ad790a-d426-4ac1-8e32-da61f81f0117	a9c3f3b6-1f98-49c3-ba50-7e6aa1c9de59	c3ad790a-d426-4ac1-8e32-da61f81f0117	US	EML	2024-07-02T10:01:43.848+00:00	2024-07-02T10:03:31.951+00:00	118	{}	PRESERVED_SPECIMEN	PRESENT	2117415	1	54	354	9477065	6316	2117290	2117415	2117415	Anoplodactylus arnaudae Stock, 1978	Anoplodactylus arnaudae Stock, 1978	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus arnaudae	Anoplodactylus	arnaudae	SPECIES	ACCEPTED	NE	42.87	-11.84	992.5	7.5	{}		1987.0	10.0	20.0	1987-10-20	293.0	293.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'SCIENTIFIC_NAME_AND_ID_INCONSISTENT', 'REFERENCES_URI_INVALID', 'INSTITUTION_MATCH_NONE']	2024-07-02T10:03:31.951+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'SeamountsOnline_urn:lsid:marinespecies.org:taxname:134715_24254'}]	[]	[]	[]		False			WGS84	Pycnogonida	ES	[]	[]	EUROPE	Spain	NORTH_AMERICA	SCSD_SeamountsOnline_Galicia_Bank_537856	SeamountsOnline_urn:lsid:marinespecies.org:taxname:134715_24254	24254	urn:lsid:marinespecies.org:taxname:134715	SCSD			Galicia Bank	Station DW116	3696578428	SeamountsOnline	SeamountsOnline_urn:lsid:marinespecies.org:taxname:134715_24254	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	3.0	Jan H. Stock	benthic/near bottom	Not validated	Anoplodactylus arnaudi Stock, 1978	WoRMS Match Type: phonetic	NA | NA																	
2434364430	b4aad9c3-518b-4550-82de-c70a7ead1b64	396d5f30-dea9-11db-8ab4-b8a03c50a862	65eb93af-41b8-4917-a5fc-cfe2a45aa4bf	396d5f30-dea9-11db-8ab4-b8a03c50a862	NL	DWC_ARCHIVE	2024-07-23T00:32:26.361+00:00	2024-07-23T00:33:37.802+00:00	393	{}	PRESERVED_SPECIMEN	PRESENT	2117415	1	54	354	9477065	6316	2117290	2117415	2117415	Anoplodactylus arnaudae Stock, 1978	Anoplodactylus arnaudae Stock, 1978	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus arnaudae	Anoplodactylus	arnaudae	SPECIES	ACCEPTED	NE	36.691667	-14.283333			{}		1987.0	10.0	4.0	1987-10-04	277.0	277.0	['COORDINATE_ROUNDED', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2024-07-23T00:33:37.802+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'ZMA.PYC.3420@CRS'}]	[]	[]	[]	0e919a55-08d3-4bd2-aec1-200858fafd92	False			WGS84	Pycnogonida		[]	[]			EUROPE		ZMA.PYC.3420@CRS	ZMA.PYC.3420							2434364430	Chelicerata and Myriapoda	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.PYC.3420	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	4.0	Stock J.H.						2019-03-08T00:00:00.000+00:00	WholeOrganism (wet specimen)	Naturalis Biodiversity Center	ICZN	Naturalis Biodiversity Center	04 okt 1987	Animalia|Phoxichilidiidae 										
2434362435	b4aad9c3-518b-4550-82de-c70a7ead1b64	396d5f30-dea9-11db-8ab4-b8a03c50a862	65eb93af-41b8-4917-a5fc-cfe2a45aa4bf	396d5f30-dea9-11db-8ab4-b8a03c50a862	NL	DWC_ARCHIVE	2024-07-23T00:32:26.361+00:00	2024-07-23T00:33:40.794+00:00	393	{}	PRESERVED_SPECIMEN	PRESENT	2117415	1	54	354	9477065	6316	2117290	2117415	2117415	Anoplodactylus arnaudae Stock, 1978	Anoplodactylus arnaudae Stock, 1978	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus arnaudae	Anoplodactylus	arnaudae	SPECIES	ACCEPTED	NE					{}		1987.0	10.0	12.0	1987-10-12	285.0	285.0	['OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2024-07-23T00:33:40.794+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'ZMA.PYC.3422@CRS'}]	[]	[]	[]	0e919a55-08d3-4bd2-aec1-200858fafd92	False				Pycnogonida		[]	[]			EUROPE		ZMA.PYC.3422@CRS	ZMA.PYC.3422							2434362435	Chelicerata and Myriapoda	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.PYC.3422	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	3.0	Stock J.H.						2019-03-08T00:00:00.000+00:00	WholeOrganism (wet specimen)	Naturalis Biodiversity Center	ICZN	Naturalis Biodiversity Center	12 okt 1987	Animalia|Phoxichilidiidae 										
2434361436	b4aad9c3-518b-4550-82de-c70a7ead1b64	396d5f30-dea9-11db-8ab4-b8a03c50a862	65eb93af-41b8-4917-a5fc-cfe2a45aa4bf	396d5f30-dea9-11db-8ab4-b8a03c50a862	NL	DWC_ARCHIVE	2024-07-23T00:32:26.361+00:00	2024-07-23T00:33:20.090+00:00	393	{}	PRESERVED_SPECIMEN	PRESENT	2117415	1	54	354	9477065	6316	2117290	2117415	2117415	Anoplodactylus arnaudae Stock, 1978	Anoplodactylus arnaudae Stock, 1978	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus arnaudae	Anoplodactylus	arnaudae	SPECIES	ACCEPTED	NE	42.873333	-11.843333			{}		1987.0	10.0	20.0	1987-10-20	293.0	293.0	['COORDINATE_ROUNDED', 'COUNTRY_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2024-07-23T00:33:20.090+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'ZMA.PYC.3430@CRS'}]	[]	[]	[]	0e919a55-08d3-4bd2-aec1-200858fafd92	False			WGS84	Pycnogonida	ES	[]	[]	EUROPE	Spain	EUROPE		ZMA.PYC.3430@CRS	ZMA.PYC.3430							2434361436	Chelicerata and Myriapoda	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.PYC.3430	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	3.0	Stock J.H.						2019-03-08T00:00:00.000+00:00	WholeOrganism (wet specimen)	Naturalis Biodiversity Center	ICZN	Naturalis Biodiversity Center	20 okt 1987	Animalia|Phoxichilidiidae 										
