key	datasetKey	publishingOrgKey	networkKeys	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	individualCount	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	depth	depthAccuracy	continent	gadm	distanceFromCentroidInMeters	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	modified	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	institutionKey	collectionKey	isInCluster	identifiedBy	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	identifier	catalogNumber	institutionCode	locality	fieldNumber	gbifID	verbatimLocality	collectionCode	occurrenceID	collectionID	sex	references	nomenclaturalStatus	combinationAuthors	verbatimScientificName	namePublishedIn	http://unknown.org/verbatimLabel	taxonID	combinationYear	canonicalName	stateProvince	typeStatus	coordinateUncertaintyInMeters	datasetID	eventID	http://unknown.org/language	originalNameUsage	county	associatedReferences	identificationVerificationStatus	nameAccordingTo	associatedSequences	taxonConceptID	occurrenceRemarks
1945782655	da6a07ed-9eee-460d-9448-910f542c1a7b	2cd829bb-b713-433d-99cf-64bef11e5b3e	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	86c2834b-fcd6-418d-9b32-aca45110a0fe	2cd829bb-b713-433d-99cf-64bef11e5b3e	FR	EML	2024-07-24T12:23:52.237+00:00	2024-07-24T12:24:54.185+00:00	564	{'http://rs.tdwg.org/dwc/terms/Identification': [{'http://rs.tdwg.org/dwc/terms/namePublishedInYear': '2018', 'http://rs.tdwg.org/dwc/terms/order': 'Pantopoda', 'http://rs.tdwg.org/dwc/terms/higherClassification': 'Anoplodactylus;Phoxichilidiidae;Pantopoda;Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificNameAuthorship': 'Lucena & Christoffersen, 2018', 'http://rs.tdwg.org/dwc/terms/class': 'Pycnogonida', 'http://rs.tdwg.org/dwc/terms/identificationID': 'INVMAR|414665', 'http://rs.tdwg.org/dwc/terms/family': 'Phoxichilidiidae', 'http://rs.tdwg.org/dwc/terms/genus': 'Anoplodactylus', 'http://rs.tdwg.org/dwc/terms/specificEpithet': 'ganchiformis', 'http://rs.tdwg.org/dwc/terms/identificationVerificationStatus': '1', 'http://rs.tdwg.org/dwc/terms/taxonID': 'INVMAR|65309', 'http://rs.tdwg.org/dwc/terms/identifiedBy': 'Sabroux R.', 'http://rs.tdwg.org/dwc/terms/phylum': 'Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificName': 'Anoplodactylus ganchiformis Lucena & Christoffersen, 2018'}]}	PRESERVED_SPECIMEN	1.0	PRESENT	11188924	1	54	354	9477065	6316	2117290	11188924	11188924	Anoplodactylus ganchiformis Lucena & Christoffersen, 2018	Anoplodactylus ganchiformis Lucena & Christoffersen, 2018	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus ganchiformis	Anoplodactylus	ganchiformis	SPECIES	ACCEPTED	NE	14.601111	-61.065833	0.5	0.5	NORTH_AMERICA	{'level0': {'gid': 'MTQ', 'name': 'Martinique'}, 'level1': {'gid': 'MTQ.1_1', 'name': 'Fort-de-France'}, 'level2': {'gid': 'MTQ.1.1_1', 'name': 'Fort-de-France'}}	1889.620492415014	2016.0	9.0	29.0	2016-09-29	273.0	273.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'INSTITUTION_MATCH_FUZZY']	2018-11-26T11:48:12.000+00:00	2024-07-24T12:24:54.185+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'http://coldb.mnhn.fr/catalognumber/mnhn/iu/2016-575'}]	[]	[]	[]	6a6ac6c5-1b8a-48db-91a2-f8661274ff80	0641bf3b-29ad-42c9-b3c7-ffb5a76f6954	True	Sabroux R.	WGS84	Pycnogonida	MQ	[]	[]	LATIN_AMERICA	Martinique	EUROPE	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2016-575	2016-575	MNHN	Baie de Fort-de-France	MADIBENTHOS/AM034	1945782655	Port du fort St-Louis	IU	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2016-575	10.15468/qgvvhd																								
1945782839	da6a07ed-9eee-460d-9448-910f542c1a7b	2cd829bb-b713-433d-99cf-64bef11e5b3e	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	86c2834b-fcd6-418d-9b32-aca45110a0fe	2cd829bb-b713-433d-99cf-64bef11e5b3e	FR	EML	2024-07-24T12:23:52.237+00:00	2024-07-24T12:24:53.787+00:00	564	{'http://rs.tdwg.org/dwc/terms/Identification': [{'http://rs.tdwg.org/dwc/terms/namePublishedInYear': '2018', 'http://rs.tdwg.org/dwc/terms/order': 'Pantopoda', 'http://rs.tdwg.org/dwc/terms/higherClassification': 'Anoplodactylus;Phoxichilidiidae;Pantopoda;Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificNameAuthorship': 'Lucena & Christoffersen, 2018', 'http://rs.tdwg.org/dwc/terms/class': 'Pycnogonida', 'http://rs.tdwg.org/dwc/terms/identificationID': 'INVMAR|414734', 'http://rs.tdwg.org/dwc/terms/family': 'Phoxichilidiidae', 'http://rs.tdwg.org/dwc/terms/genus': 'Anoplodactylus', 'http://rs.tdwg.org/dwc/terms/specificEpithet': 'ganchiformis', 'http://rs.tdwg.org/dwc/terms/identificationVerificationStatus': '1', 'http://rs.tdwg.org/dwc/terms/taxonID': 'INVMAR|65309', 'http://rs.tdwg.org/dwc/terms/identifiedBy': 'Sabroux R.', 'http://rs.tdwg.org/dwc/terms/phylum': 'Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificName': 'Anoplodactylus ganchiformis Lucena & Christoffersen, 2018'}]}	PRESERVED_SPECIMEN	1.0	PRESENT	11188924	1	54	354	9477065	6316	2117290	11188924	11188924	Anoplodactylus ganchiformis Lucena & Christoffersen, 2018	Anoplodactylus ganchiformis Lucena & Christoffersen, 2018	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus ganchiformis	Anoplodactylus	ganchiformis	SPECIES	ACCEPTED	NE	14.601111	-61.065833	0.5	0.5	NORTH_AMERICA	{'level0': {'gid': 'MTQ', 'name': 'Martinique'}, 'level1': {'gid': 'MTQ.1_1', 'name': 'Fort-de-France'}, 'level2': {'gid': 'MTQ.1.1_1', 'name': 'Fort-de-France'}}	1889.620492415014	2016.0	9.0	29.0	2016-09-29	273.0	273.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'INSTITUTION_MATCH_FUZZY']	2021-04-04T20:14:37.000+00:00	2024-07-24T12:24:53.787+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'http://coldb.mnhn.fr/catalognumber/mnhn/iu/2016-854'}]	[]	[]	[]	6a6ac6c5-1b8a-48db-91a2-f8661274ff80	0641bf3b-29ad-42c9-b3c7-ffb5a76f6954	True	Sabroux R.	WGS84	Pycnogonida	MQ	[]	[]	LATIN_AMERICA	Martinique	EUROPE	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2016-854	2016-854	MNHN	Baie de Fort-de-France	MADIBENTHOS/AM034	1945782839	Port du fort St-Louis	IU	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2016-854	10.15468/qgvvhd																								
4853548309	b9acd017-c3c4-4b64-b9b6-9d9518b91eba	7ce8aef0-9e92-11dc-8738-b8a03c50a862		7ce8aef1-9e92-11dc-8740-b8a03c50a999	7ce8aef0-9e92-11dc-8738-b8a03c50a862	CH	DWC_ARCHIVE	2024-07-24T01:36:35.028+00:00	2024-07-24T01:36:45.777+00:00	13	{}	MATERIAL_CITATION	1.0	PRESENT	11188924	1	54	354	9477065	6316	2117290	11188924	11188924	Anoplodactylus ganchiformis Lucena & Christoffersen, 2018	Anoplodactylus ganchiformis Lucena & Christoffersen, 2018	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus ganchiformis	Anoplodactylus	ganchiformis	SPECIES	ACCEPTED	NE						{}		2015.0	3.0	21.0	2015-03-21	80.0	80.0	['TAXON_MATCH_TAXON_ID_IGNORED', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']		2024-07-24T01:36:45.777+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': '03C4812FFFA73A78FCE65DC4E277DCBB.mc.3B053A64FFA73A7AFCB95EC7E2EEDD04'}]	[]	[]	[]			False			Pycnogonida		[]	[]			EUROPE	03C4812FFFA73A78FCE65DC4E277DCBB.mc.3B053A64FFA73A7AFCB95EC7E2EEDD04					4853548309			03C4812FFFA73A78FCE65DC4E277DCBB.mc.3B053A64FFA73A7AFCB95EC7E2EEDD04		MALE	https://treatment.plazi.org/id/03C4812FFFA73A78FCE65DC4E277DCBB#3B053A64FFA73A7AFCB95EC7E2EEDD04	spec. nov.	Lucena & Christoffersen	Anoplodactylus ganchiformis	Lucena, Rudá Amorim, Christoffersen, Martin Lindsey (2018): Anoplodactylus (Pycnogonida: Phoxichilidiidae) from Brazil, new records and two new species. Turkish Journal of Zoology 42 (4): 372-388, DOI: 10.3906/zoo-1712-1, URL: http://dx.doi.org/10.3906/zoo-1712-1	Maranhão: (UFPB. PYB – 222) 3 ♂♂, 2 ♀♀ and 10 juveniles, Praia do Meio, 21 Mar. 2015, inertidal, coll. R. A. Lucena, J. Prata and J. P. de Araújo.	03C4812FFFA73A78FCE65DC4E277DCBB.taxon	2018	Anoplodactylus ganchiformis														
4853548324	b9acd017-c3c4-4b64-b9b6-9d9518b91eba	7ce8aef0-9e92-11dc-8738-b8a03c50a862		7ce8aef1-9e92-11dc-8740-b8a03c50a999	7ce8aef0-9e92-11dc-8738-b8a03c50a862	CH	DWC_ARCHIVE	2024-07-24T01:36:35.028+00:00	2024-07-24T01:36:45.823+00:00	13	{}	MATERIAL_CITATION	1.0	PRESENT	11188924	1	54	354	9477065	6316	2117290	11188924	11188924	Anoplodactylus ganchiformis Lucena & Christoffersen, 2018	Anoplodactylus ganchiformis Lucena & Christoffersen, 2018	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus ganchiformis	Anoplodactylus	ganchiformis	SPECIES	ACCEPTED	NE						{}		2014.0	8.0	11.0	2014-08-11	223.0	223.0	['TAXON_MATCH_TAXON_ID_IGNORED', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']		2024-07-24T01:36:45.823+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': '03C4812FFFA73A78FCE65DC4E277DCBB.mc.3B053A64FFA73A7AFB4B5E66E50BDCC3'}]	[]	[]	[]			False			Pycnogonida		[]	[]			EUROPE	03C4812FFFA73A78FCE65DC4E277DCBB.mc.3B053A64FFA73A7AFB4B5E66E50BDCC3					4853548324			03C4812FFFA73A78FCE65DC4E277DCBB.mc.3B053A64FFA73A7AFB4B5E66E50BDCC3		MALE	https://treatment.plazi.org/id/03C4812FFFA73A78FCE65DC4E277DCBB#3B053A64FFA73A7AFB4B5E66E50BDCC3	spec. nov.	Lucena & Christoffersen	Anoplodactylus ganchiformis	Lucena, Rudá Amorim, Christoffersen, Martin Lindsey (2018): Anoplodactylus (Pycnogonida: Phoxichilidiidae) from Brazil, new records and two new species. Turkish Journal of Zoology 42 (4): 372-388, DOI: 10.3906/zoo-1712-1, URL: http://dx.doi.org/10.3906/zoo-1712-1	Further material − (UFPB. PYC – 243) 1 ♂, 2 ♀♀ and 1 juvenile, Jericoacoara, intertidal in hydrozoan, 11 Aug. 2014, coll. R. A. Lucena and J. Prata.	03C4812FFFA73A78FCE65DC4E277DCBB.taxon	2018	Anoplodactylus ganchiformis														
4853548339	b9acd017-c3c4-4b64-b9b6-9d9518b91eba	7ce8aef0-9e92-11dc-8738-b8a03c50a862		7ce8aef1-9e92-11dc-8740-b8a03c50a999	7ce8aef0-9e92-11dc-8738-b8a03c50a862	CH	DWC_ARCHIVE	2024-07-24T01:36:35.028+00:00	2024-07-24T01:36:45.863+00:00	13	{}	MATERIAL_CITATION	1.0	PRESENT	11188924	1	54	354	9477065	6316	2117290	11188924	11188924	Anoplodactylus ganchiformis Lucena & Christoffersen, 2018	Anoplodactylus ganchiformis Lucena & Christoffersen, 2018	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus ganchiformis	Anoplodactylus	ganchiformis	SPECIES	ACCEPTED	NE						{}		2014.0	8.0	11.0	2014-08-11	223.0	223.0	['TAXON_MATCH_TAXON_ID_IGNORED', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']		2024-07-24T01:36:45.863+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': '03C4812FFFA73A78FCE65DC4E277DCBB.mc.3B053A64FFA73A7AFBDA5DE5E265DC21'}]	[]	[]	[]			False			Pycnogonida		[]	[]			EUROPE	03C4812FFFA73A78FCE65DC4E277DCBB.mc.3B053A64FFA73A7AFBDA5DE5E265DC21					4853548339			03C4812FFFA73A78FCE65DC4E277DCBB.mc.3B053A64FFA73A7AFBDA5DE5E265DC21		MALE	https://treatment.plazi.org/id/03C4812FFFA73A78FCE65DC4E277DCBB#3B053A64FFA73A7AFBDA5DE5E265DC21	spec. nov.	Lucena & Christoffersen	Anoplodactylus ganchiformis	Lucena, Rudá Amorim, Christoffersen, Martin Lindsey (2018): Anoplodactylus (Pycnogonida: Phoxichilidiidae) from Brazil, new records and two new species. Turkish Journal of Zoology 42 (4): 372-388, DOI: 10.3906/zoo-1712-1, URL: http://dx.doi.org/10.3906/zoo-1712-1	Ceará: Holotype − (UFPB. PYC – 242) 1 ♂, Jericoacoara, intertidal, 11 Aug 2014, coll. R. A. Lucena and J. Prata.	03C4812FFFA73A78FCE65DC4E277DCBB.taxon	2018	Anoplodactylus ganchiformis														
4853548334	b9acd017-c3c4-4b64-b9b6-9d9518b91eba	7ce8aef0-9e92-11dc-8738-b8a03c50a862		7ce8aef1-9e92-11dc-8740-b8a03c50a999	7ce8aef0-9e92-11dc-8738-b8a03c50a862	CH	DWC_ARCHIVE	2024-07-24T01:36:35.028+00:00	2024-07-24T01:36:45.850+00:00	13	{}	MATERIAL_CITATION	1.0	PRESENT	11188924	1	54	354	9477065	6316	2117290	11188924	11188924	Anoplodactylus ganchiformis Lucena & Christoffersen, 2018	Anoplodactylus ganchiformis Lucena & Christoffersen, 2018	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus ganchiformis	Anoplodactylus	ganchiformis	SPECIES	ACCEPTED	NE					SOUTH_AMERICA	{}								['CONTINENT_DERIVED_FROM_COUNTRY', 'TAXON_MATCH_TAXON_ID_IGNORED', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']		2024-07-24T01:36:45.850+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': '03C4812FFFA73A78FCE65DC4E277DCBB.mc.3B053A64FFA53A78FF435F56E430DD71'}]	[]	[]	[]			False			Pycnogonida	BR	[]	[]	LATIN_AMERICA	Brazil	EUROPE	03C4812FFFA73A78FCE65DC4E277DCBB.mc.3B053A64FFA53A78FF435F56E430DD71			Jericoacoara		4853548334			03C4812FFFA73A78FCE65DC4E277DCBB.mc.3B053A64FFA53A78FF435F56E430DD71			https://treatment.plazi.org/id/03C4812FFFA73A78FCE65DC4E277DCBB#3B053A64FFA53A78FF435F56E430DD71	spec. nov.	Lucena & Christoffersen	Anoplodactylus ganchiformis	Lucena, Rudá Amorim, Christoffersen, Martin Lindsey (2018): Anoplodactylus (Pycnogonida: Phoxichilidiidae) from Brazil, new records and two new species. Turkish Journal of Zoology 42 (4): 372-388, DOI: 10.3906/zoo-1712-1, URL: http://dx.doi.org/10.3906/zoo-1712-1	Type locality: Jericoacoara, Ceará, Brazil	03C4812FFFA73A78FCE65DC4E277DCBB.taxon	2018	Anoplodactylus ganchiformis	Ceara	HOLOTYPE												
4853548341	b9acd017-c3c4-4b64-b9b6-9d9518b91eba	7ce8aef0-9e92-11dc-8738-b8a03c50a862		7ce8aef1-9e92-11dc-8740-b8a03c50a999	7ce8aef0-9e92-11dc-8738-b8a03c50a862	CH	DWC_ARCHIVE	2024-07-24T01:36:35.028+00:00	2024-07-24T01:36:45.868+00:00	13	{}	MATERIAL_CITATION	1.0	PRESENT	11188924	1	54	354	9477065	6316	2117290	11188924	11188924	Anoplodactylus ganchiformis Lucena & Christoffersen, 2018	Anoplodactylus ganchiformis Lucena & Christoffersen, 2018	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus ganchiformis	Anoplodactylus	ganchiformis	SPECIES	ACCEPTED	NE						{}								['TAXON_MATCH_TAXON_ID_IGNORED', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']		2024-07-24T01:36:45.868+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': '03C4812FFFA73A78FCE65DC4E277DCBB.mc.3B053A64FFA73A7AFBDA5E26E20FDC62'}]	[]	[]	[]			False			Pycnogonida		[]	[]			EUROPE	03C4812FFFA73A78FCE65DC4E277DCBB.mc.3B053A64FFA73A7AFBDA5E26E20FDC62					4853548341			03C4812FFFA73A78FCE65DC4E277DCBB.mc.3B053A64FFA73A7AFBDA5E26E20FDC62		MALE	https://treatment.plazi.org/id/03C4812FFFA73A78FCE65DC4E277DCBB#3B053A64FFA73A7AFBDA5E26E20FDC62	spec. nov.	Lucena & Christoffersen	Anoplodactylus ganchiformis	Lucena, Rudá Amorim, Christoffersen, Martin Lindsey (2018): Anoplodactylus (Pycnogonida: Phoxichilidiidae) from Brazil, new records and two new species. Turkish Journal of Zoology 42 (4): 372-388, DOI: 10.3906/zoo-1712-1, URL: http://dx.doi.org/10.3906/zoo-1712-1	Paratypes − (UFPB. PYC – 217) 11 ♂♂, 6 ♀♀ and 24 juveniles, Jericoacoara, intertidal, same collection data as holotype.	03C4812FFFA73A78FCE65DC4E277DCBB.taxon	2018	Anoplodactylus ganchiformis														
4548633203	f553f8f9-b147-4f09-86e5-0d1ce1a91ce0	1928bdf0-f5d2-11dc-8c12-b8a03c50a862		e44d0fd7-0edf-477f-aa82-50a81836ab46	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	FR	DWC_ARCHIVE	2024-03-21T10:09:14.312+00:00	2024-03-21T10:14:27.968+00:00	57	{}	HUMAN_OBSERVATION		PRESENT	11188924	1	54	354	9477065	6316	2117290	11188924	11188924	Anoplodactylus ganchiformis Lucena & Christoffersen, 2018	Anoplodactylus ganchiformis Lucena & Christoffersen, 2018	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus ganchiformis	Anoplodactylus	ganchiformis	SPECIES	ACCEPTED	NE	14.65485	-61.01929			NORTH_AMERICA	{'level0': {'gid': 'MTQ', 'name': 'Martinique'}, 'level1': {'gid': 'MTQ.1_1', 'name': 'Fort-de-France'}, 'level2': {'gid': 'MTQ.1.3_1', 'name': 'Saint-Joseph'}}	275.37364700437337							['COUNTRY_MISMATCH', 'CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_ID_IGNORED']		2024-03-21T10:14:27.968+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'cb71a465-61d1-4de6-b447-5d99d03366b4'}]	[]	[]	[]			False		WGS84	Pycnogonida	MQ	[]	[]	LATIN_AMERICA	Martinique	EUROPE	cb71a465-61d1-4de6-b447-5d99d03366b4					4548633203			cb71a465-61d1-4de6-b447-5d99d03366b4									1021640					26983.0	EB6380B5-80AF-5935-E053-0514A8C08744	cb71a465-61d1-4de6-b447-5d99d03366b4	fr | en	Anoplodactylus ganchiformis Lucena & Christoffersen, 2018	Martinique	TaxREF	Probable	Gargominy O (2021). TAXREF. Version 4.7. UMS PatriNat (OFB-CNRS-MNHN), Paris. Checklist dataset https://doi.org/10.15468/vqueam accessed via GBIF.org on 2021-06-28.			
4152837606	d8cd16ba-bb74-4420-821e-083f2bac17c2	ada9d123-ddb4-467d-8891-806ea8d94230		17a83780-3060-4851-9d6f-029d5fcb81c9	fbca90e3-8aed-48b1-84e3-369afbd000ce	GB	EML	2024-07-20T12:06:08.628+00:00	2024-07-20T12:50:08.377+00:00	175	{}	PRESERVED_SPECIMEN		PRESENT	11188924	1	54	354	9477065	6316	2117290	11188924	11188924	Anoplodactylus ganchiformis Lucena & Christoffersen, 2018	Anoplodactylus ganchiformis Lucena & Christoffersen, 2018	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus ganchiformis	Anoplodactylus	ganchiformis	SPECIES	ACCEPTED	NE	14.6	-61.07			NORTH_AMERICA	{}	1436.6374628581732							['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'TAXON_MATCH_TAXON_ID_IGNORED']		2024-07-20T12:50:08.377+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	True	[{'identifier': 'OP985952'}]	[]	[]	[]			True		WGS84	Pycnogonida	MQ	[]	[]	LATIN_AMERICA	Martinique	EUROPE	OP985952	MNHN-IU-2016-575				4152837606			OP985952			https://www.ebi.ac.uk/ena/browser/view/OP985952						ASV:e41574ace07e3628f023f3d7478b330a														https://www.ebi.ac.uk/ena/browser/api/embl/OP985952	https://www.ebi.ac.uk/ena/browser/view/Taxon:3014708	UNVERIFIED: Anoplodactylus ganchiformis voucher MNHN-IU-2016-575 mitochondrion sequence, sequence.
4155189442	d8cd16ba-bb74-4420-821e-083f2bac17c2	ada9d123-ddb4-467d-8891-806ea8d94230		17a83780-3060-4851-9d6f-029d5fcb81c9	fbca90e3-8aed-48b1-84e3-369afbd000ce	GB	EML	2024-07-20T12:06:08.628+00:00	2024-07-20T12:50:08.299+00:00	175	{}	PRESERVED_SPECIMEN		PRESENT	11188924	1	54	354	9477065	6316	2117290	11188924	11188924	Anoplodactylus ganchiformis Lucena & Christoffersen, 2018	Anoplodactylus ganchiformis Lucena & Christoffersen, 2018	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus ganchiformis	Anoplodactylus	ganchiformis	SPECIES	ACCEPTED	NE	14.6	-61.07			NORTH_AMERICA	{}	1436.6374628581732							['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'TAXON_MATCH_TAXON_ID_IGNORED']		2024-07-20T12:50:08.299+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	True	[{'identifier': 'OQ065666'}]	[]	[]	[]			True		WGS84	Pycnogonida	MQ	[]	[]	LATIN_AMERICA	Martinique	EUROPE	OQ065666	MNHN-IU-2016-854				4155189442			OQ065666			https://www.ebi.ac.uk/ena/browser/view/OQ065666						ASV:28b09689106900ea9d57cf8c7589364b														https://www.ebi.ac.uk/ena/browser/api/embl/OQ065666	https://www.ebi.ac.uk/ena/browser/view/Taxon:3014708	Anoplodactylus ganchiformis voucher MNHN-IU-2016-854 small subunit ribosomal RNA gene, partial sequence.
