key	datasetKey	publishingOrgKey	networkKeys	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	individualCount	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	depth	depthAccuracy	gadm	waterBody	higherGeography	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	modified	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	institutionKey	collectionKey	isInCluster	datasetName	recordedBy	identifiedBy	preparations	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	identifier	institutionID	verbatimEventDate	georeferenceProtocol	locality	verbatimCoordinateSystem	collectionCode	gbifID	occurrenceID	catalogNumber	institutionCode	locationID	higherClassification	collectionID	sex	coordinatePrecision	coordinateUncertaintyInMeters	georeferencedBy	references	otherCatalogNumbers	samplingProtocol	rightsHolder	nomenclaturalCode	dynamicProperties	georeferenceVerificationStatus	georeferenceRemarks	verbatimLocality	higherGeographyID	disposition	ownerInstitutionCode	occurrenceRemarks	georeferenceSources	stateProvince	typeStatus	fieldNumber	datasetID	scientificNameID	bibliographicCitation	continent
1317924043	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:37:03.640+00:00	395	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2117357	1	54	354	9477065	6316	2117290	2117357	2117357	Anoplodactylus iuleus Stock, 1975	Anoplodactylus iuleus Stock, 1975	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus iuleus	Anoplodactylus	iuleus	SPECIES	ACCEPTED	NE	38.075	-74.0283	105.0	0.0	{}	North Atlantic Ocean	North Atlantic Ocean, United States	1976	3	12	1976-03-12	72	72	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2018-09-17T12:31:00.000+00:00	2024-07-02T12:37:03.640+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/31fe76575-5388-4043-90ed-a5bd446b87d7'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	False	NMNH Extant Biology	Virginia Institute of Marine Sciences	Virginia Institute of Marine Sciences	Alcohol (Ethanol)	WGS84	Pycnogonida	US	[]	[]	NORTH_AMERICA	United States of America	NORTH_AMERICA	http://n2t.net/ark:/65665/31fe76575-5388-4043-90ed-a5bd446b87d7	urn:lsid:biocol.org:col:34871	12 MAR 1976	unknown, from legacy	Off Delaware	Degrees Minutes Seconds	IZ	1317924043	http://n2t.net/ark:/65665/31fe76575-5388-4043-90ed-a5bd446b87d7	USNM 191894	USNM	K4	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Phoxichilidiidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6																									
1322238186	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:38:16.063+00:00	395	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2117357	1	54	354	9477065	6316	2117290	2117357	2117357	Anoplodactylus iuleus Stock, 1975	Anoplodactylus iuleus Stock, 1975	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus iuleus	Anoplodactylus	iuleus	SPECIES	ACCEPTED	NE	39.3283	-73.005	72.0	0.0	{}	North Atlantic Ocean	North Atlantic Ocean, United States	1976	3	4	1976-03-04	64	64	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2018-09-17T12:31:00.000+00:00	2024-07-02T12:38:16.063+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/3dec2ebaa-13a5-4fe4-8618-96338e146072'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	False	NMNH Extant Biology	Virginia Institute of Marine Sciences	Virginia Institute of Marine Sciences	Alcohol (Ethanol)	WGS84	Pycnogonida	US	[]	[]	NORTH_AMERICA	United States of America	NORTH_AMERICA	http://n2t.net/ark:/65665/3dec2ebaa-13a5-4fe4-8618-96338e146072	urn:lsid:biocol.org:col:34871	04 MAR 1976	unknown, from legacy	Off New Jersey	Degrees Minutes Seconds	IZ	1322238186	http://n2t.net/ark:/65665/3dec2ebaa-13a5-4fe4-8618-96338e146072	USNM 191897	USNM	B3	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Phoxichilidiidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6																									
1321719190	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:39:22.748+00:00	395	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2117357	1	54	354	9477065	6316	2117290	2117357	2117357	Anoplodactylus iuleus Stock, 1975	Anoplodactylus iuleus Stock, 1975	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus iuleus	Anoplodactylus	iuleus	SPECIES	ACCEPTED	NE	38.7367	-73.015	357.5	42.5	{}	North Atlantic Ocean	North Atlantic Ocean, United States	1976	6	20	1976-06-20	172	172	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2018-09-17T12:31:00.000+00:00	2024-07-02T12:39:22.748+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/3c7c41974-c8ef-4547-872e-d2cc110d81f3'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	False	NMNH Extant Biology	Virginia Institute of Marine Sciences	Virginia Institute of Marine Sciences	Alcohol (Ethanol)	WGS84	Pycnogonida	US	[]	[]	NORTH_AMERICA	United States of America	NORTH_AMERICA	http://n2t.net/ark:/65665/3c7c41974-c8ef-4547-872e-d2cc110d81f3	urn:lsid:biocol.org:col:34871	20 JUN 1976	unknown, from legacy	Off New Jersey	Degrees Minutes Seconds	IZ	1321719190	http://n2t.net/ark:/65665/3c7c41974-c8ef-4547-872e-d2cc110d81f3	USNM 191896	USNM	J1	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Phoxichilidiidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6																									
1322838655	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:39:32.567+00:00	395	{}	PRESERVED_SPECIMEN	2.0	PRESENT	2117357	1	54	354	9477065	6316	2117290	2117357	2117357	Anoplodactylus iuleus Stock, 1975	Anoplodactylus iuleus Stock, 1975	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus iuleus	Anoplodactylus	iuleus	SPECIES	ACCEPTED	NE	38.7367	-73.015	357.5	42.5	{}	North Atlantic Ocean	North Atlantic Ocean, United States	1976	6	20	1976-06-20	172	172	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2018-09-17T12:31:00.000+00:00	2024-07-02T12:39:32.567+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/3f95e2db3-6f51-4843-add4-e8bf5b646d6f'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	False	NMNH Extant Biology	Virginia Institute of Marine Sciences	Virginia Institute of Marine Sciences	Alcohol (Ethanol)	WGS84	Pycnogonida	US	[]	[]	NORTH_AMERICA	United States of America	NORTH_AMERICA	http://n2t.net/ark:/65665/3f95e2db3-6f51-4843-add4-e8bf5b646d6f	urn:lsid:biocol.org:col:34871	20 JUN 1976	unknown, from legacy	Off New Jersey	Degrees Minutes Seconds	IZ	1322838655	http://n2t.net/ark:/65665/3f95e2db3-6f51-4843-add4-e8bf5b646d6f	USNM 191895	USNM	J1	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Phoxichilidiidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6																									
1322226715	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:38:42.443+00:00	395	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2117357	1	54	354	9477065	6316	2117290	2117357	2117357	Anoplodactylus iuleus Stock, 1975	Anoplodactylus iuleus Stock, 1975	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus iuleus	Anoplodactylus	iuleus	SPECIES	ACCEPTED	NE	39.2383	-72.78	90.0	0.0	{}	North Atlantic Ocean	North Atlantic Ocean, United States	1976	8	21	1976-08-21	234	234	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2018-09-17T12:31:00.000+00:00	2024-07-02T12:38:42.443+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/3de41ef50-ecc7-4d7f-885b-de83fec062cf'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	False	NMNH Extant Biology	Virginia Institute of Marine Sciences	Virginia Institute of Marine Sciences	Alcohol (Ethanol)	WGS84	Pycnogonida	US	[]	[]	NORTH_AMERICA	United States of America	NORTH_AMERICA	http://n2t.net/ark:/65665/3de41ef50-ecc7-4d7f-885b-de83fec062cf	urn:lsid:biocol.org:col:34871	21 AUG 1976	unknown, from legacy	Off New Jersey	Degrees Minutes Seconds	IZ	1322226715	http://n2t.net/ark:/65665/3de41ef50-ecc7-4d7f-885b-de83fec062cf	USNM 191898	USNM	A1	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Phoxichilidiidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6																									
477937688	4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	b4640710-8e03-11d8-b956-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b0f5183c-5ed0-47f4-b75f-65e0c1036cb5	b4640710-8e03-11d8-b956-b8a03c50a862	US	EML	2024-07-23T23:29:02.101+00:00	2024-07-24T00:22:55.945+00:00	602	{'http://rs.tdwg.org/dwc/terms/Identification': [{'http://rs.tdwg.org/dwc/terms/identificationVerificationStatus': 'migration', 'http://rs.tdwg.org/dwc/terms/identificationRemarks': 'C.A. Child, 1982', 'http://rs.tdwg.org/dwc/terms/identificationID': '1626065', 'http://rs.tdwg.org/dwc/terms/identifiedBy': 'C. Allan Child', 'http://rs.tdwg.org/dwc/terms/scientificName': 'Anoplodactylus iuleus'}]}	PRESERVED_SPECIMEN	1.0	PRESENT	2117357	1	54	354	9477065	6316	2117290	2117357	2117357	Anoplodactylus iuleus Stock, 1975	Anoplodactylus iuleus Stock, 1975	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus iuleus	Anoplodactylus	iuleus	SPECIES	ACCEPTED	NE	40.06	-70.53	175.0		{}	Atlantic, Northwest	Atlantic Ocean: Atlantic, Northwest: United States	1972	8	17	1972-08-17	230	230	['GEODETIC_DATUM_INVALID', 'GEODETIC_DATUM_ASSUMED_WGS84', 'INSTITUTION_MATCH_FUZZY', 'COLLECTION_MATCH_FUZZY']	2023-08-09T17:56:06.000+00:00	2024-07-24T00:22:55.945+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': 'MCZ:IZ:83842'}]	[]	[]	[]	1cfca87c-083e-4d67-8e60-cb7d311f6058	6c118641-5b0b-4577-a8f6-a6dbd15de2e7	False		RV Gosnold 197	C. Allan Child	whole animal (70% ethanol)	WGS84	Pycnogonida	US	[]	[]	NORTH_AMERICA	United States of America	NORTH_AMERICA	MCZ:IZ:83842	b4640710-8e03-11d8-b956-b8a03c50a862	17/8/1972	unknown	Hudson Canyon and slope	deg. min. sec.	IZ	477937688	MCZ:IZ:83842	83842	MCZ		Animalia Arthropoda Pycnogonida Phoxichilidiidae Anoplodactylus iuleus		FEMALE	0.01	115000.0	[no agent data]	http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:83842	station number=125	trawl	President and Fellows of Harvard College	ICZN	"{""sex"":""female""}"	unknown	Lat. seconds and Long. seconds blank in Original Data. Set to 30, Maximum Error set to 115 km. in MCZbase	Hudson Canyon and slope	https://marineregions.org/mrgid/25365	in collection	Museum of Comparative Zoology, Harvard University	sex: female	unknown							
1322897552	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:38:16.672+00:00	395	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2117357	1	54	354	9477065	6316	2117290	2117357	2117357	Anoplodactylus iuleus Stock, 1975	Anoplodactylus iuleus Stock, 1975	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus iuleus	Anoplodactylus	iuleus	SPECIES	ACCEPTED	NE	26.6167	-79.75	464.0	12.0	{}	North Atlantic Ocean	North Atlantic Ocean, United States, Florida	1965	7	16	1965-07-16	197	197	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2018-03-29T16:59:00.000+00:00	2024-07-02T12:38:16.672+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/3fbf7bff6-df31-4d48-b23d-3a620a0fa318'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	True	NMNH Extant Biology	University of Miami	Stock, Jan H., Zoological Museum Amsterdam	Alcohol (Ethanol)	WGS84	Pycnogonida	US	[]	[]	NORTH_AMERICA	United States of America	NORTH_AMERICA	http://n2t.net/ark:/65665/3fbf7bff6-df31-4d48-b23d-3a620a0fa318	urn:lsid:biocol.org:col:34871		unknown, from legacy	Lake Worth, East of	Degrees Minutes Seconds	IZ	1322897552	http://n2t.net/ark:/65665/3fbf7bff6-df31-4d48-b23d-3a620a0fa318	USNM 149229	USNM	650	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Phoxichilidiidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6	MALE																		Florida	HOLOTYPE	G650				
4055768436	2f7c33b3-ea7a-40ac-a3b7-bace96f978f7	2089ce96-4fb5-4a20-999c-3ccf45a27a4d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f9df6cff-21d4-4d4b-8da4-eda454f5a086	2089ce96-4fb5-4a20-999c-3ccf45a27a4d	BE	EML	2024-07-02T17:06:09.698+00:00	2024-07-02T17:12:03.336+00:00	81	{}	PRESERVED_SPECIMEN		PRESENT	2117357	1	54	354	9477065	6316	2117290	2117357	2117357	Anoplodactylus iuleus Stock, 1975	Anoplodactylus iuleus Stock, 1975	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus iuleus	Anoplodactylus	iuleus	SPECIES	ACCEPTED	NE	26.65	-79.75	464.0	12.0	{}			1965	7	16	1965-07-16	197	197	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'DEPTH_MIN_MAX_SWAPPED', 'INSTITUTION_MATCH_NONE']	2007-06-20T15:52:33.000+00:00	2024-07-02T17:12:03.336+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'WoRMS Editorial Board:WoRMS type localities:sm_id_728'}]	[]	[]	[]			True					WGS84	Pycnogonida	US	[]	[]	NORTH_AMERICA	United States of America	EUROPE	WoRMS Editorial Board:WoRMS type localities:sm_id_728				Atlantic Ocean		WoRMS type localities	4055768436	WoRMS Editorial Board:WoRMS type localities:sm_id_728	sm_id_728	WoRMS Editorial Board								http://www.marinespecies.org/aphia.php?p=specdetails&id=728															HOLOTYPE		https://marineinfo.org/id/dataset/5184	urn:lsid:marinespecies.org:taxname:240342	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Anoplodactylus iuleus</i> Stock, 1975. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=240342	
2434399464	b4aad9c3-518b-4550-82de-c70a7ead1b64	396d5f30-dea9-11db-8ab4-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	65eb93af-41b8-4917-a5fc-cfe2a45aa4bf	396d5f30-dea9-11db-8ab4-b8a03c50a862	NL	DWC_ARCHIVE	2024-07-23T00:32:26.361+00:00	2024-07-23T00:33:32.603+00:00	393	{'http://rs.tdwg.org/ac/terms/Multimedia': [{'http://rs.tdwg.org/ac/terms/accessURI': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1090/format/large', 'http://ns.adobe.com/xap/1.0/rights/Owner': 'Naturalis Biodiversity Center', 'http://rs.tdwg.org/ac/terms/caption': 'ZMA.PYC.P.1090_0', 'http://purl.org/dc/terms/format': 'image/jpeg', 'http://purl.org/dc/elements/1.1/type': 'StillImage', 'http://rs.tdwg.org/ac/terms/variant': 'ac:GoodQuality', 'http://purl.org/dc/terms/identifier': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1090/format/large', 'http://purl.org/dc/terms/rights': 'CC0 1.0'}]}	PRESERVED_SPECIMEN		PRESENT	2117357	1	54	354	9477065	6316	2117290	2117357	2117357	Anoplodactylus iuleus Stock, 1975	Anoplodactylus iuleus Stock, 1975	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus iuleus	Anoplodactylus	iuleus	SPECIES	ACCEPTED	NE					{}			1965	7	16	1965-07-16	197	197	['COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2020-04-03T00:00:00.000+00:00	2024-07-23T00:33:32.603+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'ZMA.PYC.P.1090@CRS'}]	[{'type': 'StillImage', 'format': 'image/jpeg', 'description': 'ZMA.PYC.P.1090_0', 'license': 'http://creativecommons.org/publicdomain/zero/1.0/', 'rightsHolder': 'Naturalis Biodiversity Center', 'identifier': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1090/format/large'}]	[]	[]	0e919a55-08d3-4bd2-aec1-200858fafd92		False				WholeOrganism (microscopic slide)		Pycnogonida		[]	[]			EUROPE	ZMA.PYC.P.1090@CRS	Naturalis Biodiversity Center	16.VII.1965				Chelicerata and Myriapoda	2434399464	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.PYC.P.1090	ZMA.PYC.P.1090			Animalia		MALE							Naturalis Biodiversity Center	ICZN																
1321446933	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:38:33.868+00:00	395	{}	PRESERVED_SPECIMEN	2.0	PRESENT	2117357	1	54	354	9477065	6316	2117290	2117357	2117357	Anoplodactylus iuleus Stock, 1975	Anoplodactylus iuleus Stock, 1975	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus iuleus	Anoplodactylus	iuleus	SPECIES	ACCEPTED	NE	30.6717	-79.08	245.0	0.0	{}	North Atlantic Ocean	North Atlantic Ocean, United States, Georgia	1963	9	10	1963-09-10	253	253	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2014-10-20T14:18:00.000+00:00	2024-07-02T12:38:33.868+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/3bbb172f1-f03b-45a0-92c3-0aa81ac52e55'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	False	NMNH Extant Biology	M. Gray	Child, C. Allan, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)	Alcohol (Ethanol)	WGS84	Pycnogonida	US	[]	[]	NORTH_AMERICA	United States of America	NORTH_AMERICA	http://n2t.net/ark:/65665/3bbb172f1-f03b-45a0-92c3-0aa81ac52e55	urn:lsid:biocol.org:col:34871	10 SEP 1963	unknown, from legacy	Off Sapelo Island	Degrees Minutes Seconds	IZ	1321446933	http://n2t.net/ark:/65665/3bbb172f1-f03b-45a0-92c3-0aa81ac52e55	USNM 169751	USNM	52	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Phoxichilidiidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6	FEMALE																		Georgia						
