key	datasetKey	publishingOrgKey	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	continent	stateProvince	gadm	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	institutionKey	isInCluster	identifiedBy	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	identifier	catalogNumber	vernacularName	institutionCode	locality	county	gbifID	collectionCode	occurrenceID	projectId	establishmentMeans	higherGeography	modified	references	datasetID	datasetName	rightsHolder	islandGroup	associatedReferences	eventRemarks	language	type	taxonID	bibliographicCitation	networkKeys	sex	dateIdentified	coordinatePrecision	coordinateUncertaintyInMeters	otherCatalogNumbers	recordedBy	eventID	acceptedNameUsage	http://unknown.org/taxonRankID	dynamicProperties	verbatimLocality	locationRemarks	taxonConceptID	http://unknown.org/species	nameAccordingTo	institutionID	individualCount	depth	depthAccuracy	waterBody	collectionKey	preparations	habitat	verbatimEventDate	locationID	higherClassification	collectionID	identificationRemarks	georeferenceProtocol	verbatimCoordinateSystem	distanceFromCentroidInMeters	georeferenceRemarks	nomenclaturalCode	samplingProtocol	lifeStage	fieldNumber	occurrenceRemarks	scientificNameID	footprintWKT	verbatimDepth	island	disposition	ownerInstitutionCode	accessRights	verbatimTaxonRank	typeStatus	originalNameUsage	identificationVerificationStatus	http://unknown.org/language	http://unknown.org/orders	elevation	elevationAccuracy	recordNumber	namePublishedInYear	originalNameUsageID	taxonRemarks	acceptedNameUsageID	namePublishedIn
3970762777	bef19e99-90a7-4b3d-a113-bdf4ea6c88f2	2b4e561b-0b1a-4c1b-b564-819bcfe006b8	9afa1395-6e93-4848-a42d-bce896f5195e	657b7bf0-766b-11d9-9f77-b8a03c50a862	KR	EML	2024-04-10T15:17:39.393+00:00	2024-04-10T15:19:22.042+00:00	116	{}	PRESERVED_SPECIMEN	PRESENT	2117414	1	54	354	9477065	6316	2117290	2117414	2117414	Anoplodactylus pycnosoma (Helfer, 1938)	Anoplodactylus pycnosoma (Helfer, 1938)	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus pycnosoma	Anoplodactylus	pycnosoma	SPECIES	ACCEPTED	NE	34.716964	128.460383	ASIA	Gyeongsangnam-do	{'level0': {'gid': 'KOR', 'name': 'South Korea'}, 'level1': {'gid': 'KOR.10_1', 'name': 'Gyeongsangnam-do'}, 'level2': {'gid': 'KOR.10.16_2', 'name': 'Tongyeong'}, 'level3': {'gid': 'KOR.10.16.6_2', 'name': 'Hansan'}}	2019.0	10.0	29.0	2019-10-29	302.0	302.0	['COORDINATE_ROUNDED', 'GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_DERIVED_FROM_COORDINATES', 'IDENTIFIED_DATE_INVALID', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-04-10T15:19:22.042+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': 'MABIK CR00252202'}]	[]	[]	[]	a8264021-9b25-41bb-88b5-eaba3fc66193	False	Lee Damin	WGS84	Pycnogonida	KR	[]	[]	ASIA	Korea, Republic of	ASIA	MABIK CR00252202	MABIK CR00252202	뚱보낫바다거미	MABIK	Hansan-myeon	Tongyeong-si	3970762777	CR	MABIK CR00252202																																																																										
3970762778	bef19e99-90a7-4b3d-a113-bdf4ea6c88f2	2b4e561b-0b1a-4c1b-b564-819bcfe006b8	9afa1395-6e93-4848-a42d-bce896f5195e	657b7bf0-766b-11d9-9f77-b8a03c50a862	KR	EML	2024-04-10T15:17:39.393+00:00	2024-04-10T15:19:22.042+00:00	116	{}	PRESERVED_SPECIMEN	PRESENT	2117414	1	54	354	9477065	6316	2117290	2117414	2117414	Anoplodactylus pycnosoma (Helfer, 1938)	Anoplodactylus pycnosoma (Helfer, 1938)	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus pycnosoma	Anoplodactylus	pycnosoma	SPECIES	ACCEPTED	NE	34.716964	128.460383	ASIA	Gyeongsangnam-do	{'level0': {'gid': 'KOR', 'name': 'South Korea'}, 'level1': {'gid': 'KOR.10_1', 'name': 'Gyeongsangnam-do'}, 'level2': {'gid': 'KOR.10.16_2', 'name': 'Tongyeong'}, 'level3': {'gid': 'KOR.10.16.6_2', 'name': 'Hansan'}}	2019.0	10.0	29.0	2019-10-29	302.0	302.0	['COORDINATE_ROUNDED', 'GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_DERIVED_FROM_COORDINATES', 'IDENTIFIED_DATE_INVALID', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-04-10T15:19:22.042+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': 'MABIK CR00252203'}]	[]	[]	[]	a8264021-9b25-41bb-88b5-eaba3fc66193	False	Lee Damin	WGS84	Pycnogonida	KR	[]	[]	ASIA	Korea, Republic of	ASIA	MABIK CR00252203	MABIK CR00252203	뚱보낫바다거미	MABIK	Hansan-myeon	Tongyeong-si	3970762778	CR	MABIK CR00252203																																																																										
3697823235	6baf6a53-c106-40fb-bbde-f6d4e4051513	cdef28b1-db4e-4c58-aa71-3c5238c2d0b5	394c0f8e-8b5e-4fbc-b942-568a4a267032	c3ad790a-d426-4ac1-8e32-da61f81f0117	IT	EML	2024-04-26T20:42:47.496+00:00	2024-04-29T08:57:09.293+00:00	43	{}	HUMAN_OBSERVATION	PRESENT	2117414	1	54	354	9477065	6316	2117290	2117414	2117414	Anoplodactylus pycnosoma (Helfer, 1938)	Anoplodactylus pycnosoma (Helfer, 1938)	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus pycnosoma	Anoplodactylus	pycnosoma	SPECIES	ACCEPTED	NE			OCEANIA	Hawaii	{}	2016.0	10.0	7.0	2016-10-07	281.0	281.0	['TAXON_MATCH_TAXON_ID_IGNORED']	2024-04-29T08:57:09.293+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'USRIIS-HI-Animalia1885'}]	[]	[]	[]		False			Pycnogonida	US	[]	[]	NORTH_AMERICA	United States of America	EUROPE	USRIIS-HI-Animalia1885		Sea spider	USGS	Hawaii		3697823235		USRIIS-HI-Animalia1885	https://doi.org/10.5066/P9KFFTOD	introduced	Oceania|United States of America|Hawaii	2020-11-28T00:00:00.000+00:00	https://doi.org/10.5066/P9KFFTOD	https://bison.usgs.gov/ipt/resource?r=hiriis	Global Register of Introduced and Invasive Species - Hawaii, United States, V2.0	U.S. Geological Survey	Hawaiian Islands	Carlton and Eldredge (2009), http://hbs.bishopmuseum.org/pubs-online/pdf/bces4.pdf	approx. date of introduction: 2000	English	Dataset	https://www.gbif.org/species/2117414	Simpson A, Sellers E, Pagad S (2022a). Global Register of Introduced and Invasive Species - Hawaii, United States (version 2.0, 2022). United States Geological Survey. Checklist dataset derived from https://doi.org/10.5066/P9KFFTOD																																																											
1809169354	9aa00786-772a-46d4-8fe1-ac6d8926a040	d6aeeb7c-db16-436f-98bb-f0d7e2c7a0db	9afa1395-6e93-4848-a42d-bce896f5195e	657b7bf0-766b-11d9-9f77-b8a03c50a862	KR	EML	2023-01-06T23:22:09.574+00:00	2024-01-25T11:49:37.294+00:00	88	{}	PRESERVED_SPECIMEN	PRESENT	2117414	1	54	354	9477065	6316	2117290	2117414	2117414	Anoplodactylus pycnosoma (Helfer, 1938)	Anoplodactylus pycnosoma (Helfer, 1938)	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus pycnosoma	Anoplodactylus	pycnosoma	SPECIES	ACCEPTED	NE					{}	2012.0	1.0	1.0	2012-01-01	1.0	1.0	['INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-01-25T11:49:37.294+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': '1809169354'}]	[]	[]	[]	31c9e39d-1b4d-4b4c-9c8c-a93cc973f4e5	False			Pycnogonida		[]	[]			ASIA		NIBRIV0000001794		NIBR			1809169354	AM																																																																											
1809174668	9aa00786-772a-46d4-8fe1-ac6d8926a040	d6aeeb7c-db16-436f-98bb-f0d7e2c7a0db	9afa1395-6e93-4848-a42d-bce896f5195e	657b7bf0-766b-11d9-9f77-b8a03c50a862	KR	EML	2023-01-06T23:22:09.574+00:00	2024-01-25T11:49:39.352+00:00	88	{}	PRESERVED_SPECIMEN	PRESENT	2117414	1	54	354	9477065	6316	2117290	2117414	2117414	Anoplodactylus pycnosoma (Helfer, 1938)	Anoplodactylus pycnosoma (Helfer, 1938)	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus pycnosoma	Anoplodactylus	pycnosoma	SPECIES	ACCEPTED	NE					{}	2012.0	1.0	1.0	2012-01-01	1.0	1.0	['INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-01-25T11:49:39.352+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': '1809174668'}]	[]	[]	[]	31c9e39d-1b4d-4b4c-9c8c-a93cc973f4e5	False			Pycnogonida		[]	[]			ASIA		NIBRIV0000001795		NIBR			1809174668	AM																																																																											
1809174806	9aa00786-772a-46d4-8fe1-ac6d8926a040	d6aeeb7c-db16-436f-98bb-f0d7e2c7a0db	9afa1395-6e93-4848-a42d-bce896f5195e	657b7bf0-766b-11d9-9f77-b8a03c50a862	KR	EML	2023-01-06T23:22:09.574+00:00	2024-01-25T11:49:40.529+00:00	88	{}	PRESERVED_SPECIMEN	PRESENT	2117414	1	54	354	9477065	6316	2117290	2117414	2117414	Anoplodactylus pycnosoma (Helfer, 1938)	Anoplodactylus pycnosoma (Helfer, 1938)	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus pycnosoma	Anoplodactylus	pycnosoma	SPECIES	ACCEPTED	NE					{}	2012.0	1.0	1.0	2012-01-01	1.0	1.0	['INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-01-25T11:49:40.529+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': '1809174806'}]	[]	[]	[]	31c9e39d-1b4d-4b4c-9c8c-a93cc973f4e5	False			Pycnogonida		[]	[]			ASIA		NIBRIV0000001798		NIBR			1809174806	AM																																																																											
1809174808	9aa00786-772a-46d4-8fe1-ac6d8926a040	d6aeeb7c-db16-436f-98bb-f0d7e2c7a0db	9afa1395-6e93-4848-a42d-bce896f5195e	657b7bf0-766b-11d9-9f77-b8a03c50a862	KR	EML	2023-01-06T23:22:09.574+00:00	2024-01-25T11:49:37.302+00:00	88	{}	PRESERVED_SPECIMEN	PRESENT	2117414	1	54	354	9477065	6316	2117290	2117414	2117414	Anoplodactylus pycnosoma (Helfer, 1938)	Anoplodactylus pycnosoma (Helfer, 1938)	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus pycnosoma	Anoplodactylus	pycnosoma	SPECIES	ACCEPTED	NE					{}	2012.0	1.0	1.0	2012-01-01	1.0	1.0	['INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-01-25T11:49:37.302+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': '1809174808'}]	[]	[]	[]	31c9e39d-1b4d-4b4c-9c8c-a93cc973f4e5	False			Pycnogonida		[]	[]			ASIA		NIBRIV0000001796		NIBR			1809174808	AM																																																																											
1809174840	9aa00786-772a-46d4-8fe1-ac6d8926a040	d6aeeb7c-db16-436f-98bb-f0d7e2c7a0db	9afa1395-6e93-4848-a42d-bce896f5195e	657b7bf0-766b-11d9-9f77-b8a03c50a862	KR	EML	2023-01-06T23:22:09.574+00:00	2024-01-25T11:49:40.696+00:00	88	{}	PRESERVED_SPECIMEN	PRESENT	2117414	1	54	354	9477065	6316	2117290	2117414	2117414	Anoplodactylus pycnosoma (Helfer, 1938)	Anoplodactylus pycnosoma (Helfer, 1938)	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus pycnosoma	Anoplodactylus	pycnosoma	SPECIES	ACCEPTED	NE					{}	2012.0	1.0	1.0	2012-01-01	1.0	1.0	['INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-01-25T11:49:40.696+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': '1809174840'}]	[]	[]	[]	31c9e39d-1b4d-4b4c-9c8c-a93cc973f4e5	False			Pycnogonida		[]	[]			ASIA		NIBRIV0000001800		NIBR			1809174840	AM																																																																											
1809174848	9aa00786-772a-46d4-8fe1-ac6d8926a040	d6aeeb7c-db16-436f-98bb-f0d7e2c7a0db	9afa1395-6e93-4848-a42d-bce896f5195e	657b7bf0-766b-11d9-9f77-b8a03c50a862	KR	EML	2023-01-06T23:22:09.574+00:00	2024-01-25T11:49:39.352+00:00	88	{}	PRESERVED_SPECIMEN	PRESENT	2117414	1	54	354	9477065	6316	2117290	2117414	2117414	Anoplodactylus pycnosoma (Helfer, 1938)	Anoplodactylus pycnosoma (Helfer, 1938)	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus pycnosoma	Anoplodactylus	pycnosoma	SPECIES	ACCEPTED	NE					{}	2012.0	1.0	1.0	2012-01-01	1.0	1.0	['INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-01-25T11:49:39.352+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': '1809174848'}]	[]	[]	[]	31c9e39d-1b4d-4b4c-9c8c-a93cc973f4e5	False			Pycnogonida		[]	[]			ASIA		NIBRIV0000001797		NIBR			1809174848	AM																																																																											
1809174962	9aa00786-772a-46d4-8fe1-ac6d8926a040	d6aeeb7c-db16-436f-98bb-f0d7e2c7a0db	9afa1395-6e93-4848-a42d-bce896f5195e	657b7bf0-766b-11d9-9f77-b8a03c50a862	KR	EML	2023-01-06T23:22:09.574+00:00	2024-01-25T11:49:37.768+00:00	88	{}	PRESERVED_SPECIMEN	PRESENT	2117414	1	54	354	9477065	6316	2117290	2117414	2117414	Anoplodactylus pycnosoma (Helfer, 1938)	Anoplodactylus pycnosoma (Helfer, 1938)	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus pycnosoma	Anoplodactylus	pycnosoma	SPECIES	ACCEPTED	NE					{}	2012.0	1.0	1.0	2012-01-01	1.0	1.0	['INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-01-25T11:49:37.768+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': '1809174962'}]	[]	[]	[]	31c9e39d-1b4d-4b4c-9c8c-a93cc973f4e5	False			Pycnogonida		[]	[]			ASIA		NIBRIV0000001801		NIBR			1809174962	AM																																																																											
