key	datasetKey	publishingOrgKey	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	individualCount	occurrenceStatus	sex	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	continent	stateProvince	gadm	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	lastInterpreted	references	license	isSequenced	identifiers	media	facts	relations	institutionKey	isInCluster	recordedBy	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	identifier	combinationAuthors	institutionCode	verbatimScientificName	locality	gbifID	occurrenceID	http://unknown.org/verbatimLabel	taxonID	combinationYear	canonicalName	networkKeys	decimalLatitude	decimalLongitude	modified	identifiedBy	preparations	geodeticDatum	rightsHolder	catalogNumber	nomenclaturalCode	institutionID	verbatimEventDate	collectionCode	higherClassification	waterBody	higherGeography	collectionKey	datasetName	georeferenceProtocol	verbatimCoordinateSystem	verbatimDepth	locationID	collectionID	coordinateUncertaintyInMeters	distanceFromCentroidInMeters	datasetID	eventID	http://unknown.org/language	originalNameUsage	county	associatedReferences	identificationVerificationStatus	nameAccordingTo	http://unknown.org/orders	associatedSequences	taxonConceptID	occurrenceRemarks
4853548336	b9acd017-c3c4-4b64-b9b6-9d9518b91eba	7ce8aef0-9e92-11dc-8738-b8a03c50a862	7ce8aef1-9e92-11dc-8740-b8a03c50a999	7ce8aef0-9e92-11dc-8738-b8a03c50a862	CH	DWC_ARCHIVE	2024-07-24T01:36:35.028+00:00	2024-07-24T01:36:45.855+00:00	13	{}	MATERIAL_CITATION	1.0	PRESENT	FEMALE	2117367	1	54	354	9477065	6316	2117290	2117367	2117367	Anoplodactylus stictus Marcus, 1940	Anoplodactylus stictus Marcus, 1940	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus stictus	Anoplodactylus	stictus	SPECIES	ACCEPTED	NE	SOUTH_AMERICA	Rio Grande do Norte	{}	1982.0	6.0	23.0	1982-06-23	174.0	174.0	['CONTINENT_DERIVED_FROM_COUNTRY', 'TAXON_MATCH_TAXON_ID_IGNORED', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2024-07-24T01:36:45.855+00:00	https://treatment.plazi.org/id/03C4812FFFA23A7CFCE65ACAE51EDCAA#3B053A64FFA13A7CFEA85CBAE777DF0F	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': '03C4812FFFA23A7CFCE65ACAE51EDCAA.mc.3B053A64FFA13A7CFEA85CBAE777DF0F'}]	[]	[]	[]	1da24e96-9665-4824-9c64-2a93b0c01a7c	False	A. I. Kanagawa.	Pycnogonida	BR	[]	[]	LATIN_AMERICA	Brazil	EUROPE	03C4812FFFA23A7CFCE65ACAE51EDCAA.mc.3B053A64FFA13A7CFEA85CBAE777DF0F	Marcus	UFPB	Anoplodactylus stictus Marcus, 1940	Ponta do Mel	4853548336	03C4812FFFA23A7CFCE65ACAE51EDCAA.mc.3B053A64FFA13A7CFEA85CBAE777DF0F	Rio Grande do Norte: (UFPB. PYC – 112) 1 ♀, Ponta do Mel, Brazil, 23 Jun. 1982, coll. A. I. Kanagawa.	03C4812FFFA23A7CFCE65ACAE51EDCAA.taxon	1940	Anoplodactylus stictus																																					
4853548327	b9acd017-c3c4-4b64-b9b6-9d9518b91eba	7ce8aef0-9e92-11dc-8738-b8a03c50a862	7ce8aef1-9e92-11dc-8740-b8a03c50a999	7ce8aef0-9e92-11dc-8738-b8a03c50a862	CH	DWC_ARCHIVE	2024-07-24T01:36:35.028+00:00	2024-07-24T01:36:45.831+00:00	13	{}	MATERIAL_CITATION	2.0	PRESENT	MALE	2117367	1	54	354	9477065	6316	2117290	2117367	2117367	Anoplodactylus stictus Marcus, 1940	Anoplodactylus stictus Marcus, 1940	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus stictus	Anoplodactylus	stictus	SPECIES	ACCEPTED	NE	SOUTH_AMERICA	Ceara	{}	1982.0	6.0	24.0	1982-06-24	175.0	175.0	['CONTINENT_DERIVED_FROM_COUNTRY', 'TAXON_MATCH_TAXON_ID_IGNORED', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2024-07-24T01:36:45.831+00:00	https://treatment.plazi.org/id/03C4812FFFA23A7CFCE65ACAE51EDCAA#3B053A64FFA13A7CFED75CFBE771DF40	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': '03C4812FFFA23A7CFCE65ACAE51EDCAA.mc.3B053A64FFA13A7CFED75CFBE771DF40'}]	[]	[]	[]	1da24e96-9665-4824-9c64-2a93b0c01a7c	False	M. L. Christoffersen & A. I. Kanagawa.	Pycnogonida	BR	[]	[]	LATIN_AMERICA	Brazil	EUROPE	03C4812FFFA23A7CFCE65ACAE51EDCAA.mc.3B053A64FFA13A7CFED75CFBE771DF40	Marcus	UFPB	Anoplodactylus stictus Marcus, 1940	Ceara	4853548327	03C4812FFFA23A7CFCE65ACAE51EDCAA.mc.3B053A64FFA13A7CFED75CFBE771DF40	Ceará: (UFPB. PYC – 111) 1 ♂ and 1 ♀, Ponta Grossa, 24 Jun. 1982, coll. M. L. Christoffersen and A. I. Kanagawa.	03C4812FFFA23A7CFCE65ACAE51EDCAA.taxon	1940	Anoplodactylus stictus																																					
2434361445	b4aad9c3-518b-4550-82de-c70a7ead1b64	396d5f30-dea9-11db-8ab4-b8a03c50a862	65eb93af-41b8-4917-a5fc-cfe2a45aa4bf	396d5f30-dea9-11db-8ab4-b8a03c50a862	NL	DWC_ARCHIVE	2024-07-23T00:32:26.361+00:00	2024-07-23T00:33:44.816+00:00	393	{}	PRESERVED_SPECIMEN	1.0	PRESENT		2117367	1	54	354	9477065	6316	2117290	2117367	2117367	Anoplodactylus stictus Marcus, 1940	Anoplodactylus stictus Marcus, 1940	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus stictus	Anoplodactylus	stictus	SPECIES	ACCEPTED	NE			{}	1972.0	7.0	6.0	1972-07-06	188.0	188.0	['COORDINATE_ROUNDED', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2024-07-23T00:33:44.816+00:00		http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'ZMA.PYC.3520@CRS'}]	[]	[]	[]	0e919a55-08d3-4bd2-aec1-200858fafd92	False		Pycnogonida	BR	[]	[]	LATIN_AMERICA	Brazil	EUROPE	ZMA.PYC.3520@CRS					2434361445	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.PYC.3520					['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	-19.983333	-39.933333	2019-03-08T00:00:00.000+00:00	Stock J.H.	WholeOrganism (wet specimen)	WGS84	Naturalis Biodiversity Center	ZMA.PYC.3520	ICZN	Naturalis Biodiversity Center	06 jul 1972	Chelicerata and Myriapoda	Animalia|Phoxichilidiidae 																							
2434362444	b4aad9c3-518b-4550-82de-c70a7ead1b64	396d5f30-dea9-11db-8ab4-b8a03c50a862	65eb93af-41b8-4917-a5fc-cfe2a45aa4bf	396d5f30-dea9-11db-8ab4-b8a03c50a862	NL	DWC_ARCHIVE	2024-07-23T00:32:26.361+00:00	2024-07-23T00:33:34.818+00:00	393	{}	PRESERVED_SPECIMEN	1.0	PRESENT		2117367	1	54	354	9477065	6316	2117290	2117367	2117367	Anoplodactylus stictus Marcus, 1940	Anoplodactylus stictus Marcus, 1940	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus stictus	Anoplodactylus	stictus	SPECIES	ACCEPTED	NE			{}	1971.0	5.0	27.0	1971-05-27	147.0	147.0	['COORDINATE_ROUNDED', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2024-07-23T00:33:34.818+00:00		http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'ZMA.PYC.3512@CRS'}]	[]	[]	[]	0e919a55-08d3-4bd2-aec1-200858fafd92	False		Pycnogonida	BR	[]	[]	LATIN_AMERICA	Brazil	EUROPE	ZMA.PYC.3512@CRS					2434362444	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.PYC.3512					['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	-25.083333	-47.666667	2019-03-08T00:00:00.000+00:00	Stock J.H.	WholeOrganism (wet specimen)	WGS84	Naturalis Biodiversity Center	ZMA.PYC.3512	ICZN	Naturalis Biodiversity Center	27 mei 1971	Chelicerata and Myriapoda	Animalia|Phoxichilidiidae 																							
2434401331	b4aad9c3-518b-4550-82de-c70a7ead1b64	396d5f30-dea9-11db-8ab4-b8a03c50a862	65eb93af-41b8-4917-a5fc-cfe2a45aa4bf	396d5f30-dea9-11db-8ab4-b8a03c50a862	NL	DWC_ARCHIVE	2024-07-23T00:32:26.361+00:00	2024-07-23T00:33:35.877+00:00	393	{}	PRESERVED_SPECIMEN	1.0	PRESENT		2117367	1	54	354	9477065	6316	2117290	2117367	2117367	Anoplodactylus stictus Marcus, 1940	Anoplodactylus stictus Marcus, 1940	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus stictus	Anoplodactylus	stictus	SPECIES	ACCEPTED	NE			{}	1971.0	6.0	3.0	1971-06-03	154.0	154.0	['COORDINATE_ROUNDED', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2024-07-23T00:33:35.877+00:00		http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'ZMA.PYC.3513@CRS'}]	[]	[]	[]	0e919a55-08d3-4bd2-aec1-200858fafd92	False		Pycnogonida	BR	[]	[]	LATIN_AMERICA	Brazil	EUROPE	ZMA.PYC.3513@CRS					2434401331	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.PYC.3513					['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	-23.233333	-44.05	2019-03-08T00:00:00.000+00:00	Stock J.H.	WholeOrganism (wet specimen)	WGS84	Naturalis Biodiversity Center	ZMA.PYC.3513	ICZN	Naturalis Biodiversity Center	03 jun 1971	Chelicerata and Myriapoda	Animalia|Phoxichilidiidae 																							
2434400144	b4aad9c3-518b-4550-82de-c70a7ead1b64	396d5f30-dea9-11db-8ab4-b8a03c50a862	65eb93af-41b8-4917-a5fc-cfe2a45aa4bf	396d5f30-dea9-11db-8ab4-b8a03c50a862	NL	DWC_ARCHIVE	2024-07-23T00:32:26.361+00:00	2024-07-23T00:33:30.289+00:00	393	{}	PRESERVED_SPECIMEN	4.0	PRESENT		2117367	1	54	354	9477065	6316	2117290	2117367	2117367	Anoplodactylus stictus Marcus, 1940	Anoplodactylus stictus Marcus, 1940	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus stictus	Anoplodactylus	stictus	SPECIES	ACCEPTED	NE			{}	1971.0	6.0	1.0	1971-06-01	152.0	152.0	['COORDINATE_ROUNDED', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2024-07-23T00:33:30.289+00:00		http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'ZMA.PYC.3514@CRS'}]	[]	[]	[]	0e919a55-08d3-4bd2-aec1-200858fafd92	False		Pycnogonida	BR	[]	[]	LATIN_AMERICA	Brazil	EUROPE	ZMA.PYC.3514@CRS					2434400144	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.PYC.3514					['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	-24.05	-44.983333	2019-03-08T00:00:00.000+00:00	Stock J.H.	WholeOrganism (wet specimen)	WGS84	Naturalis Biodiversity Center	ZMA.PYC.3514	ICZN	Naturalis Biodiversity Center	01 jun 1971	Chelicerata and Myriapoda	Animalia|Phoxichilidiidae 																							
2434362445	b4aad9c3-518b-4550-82de-c70a7ead1b64	396d5f30-dea9-11db-8ab4-b8a03c50a862	65eb93af-41b8-4917-a5fc-cfe2a45aa4bf	396d5f30-dea9-11db-8ab4-b8a03c50a862	NL	DWC_ARCHIVE	2024-07-23T00:32:26.361+00:00	2024-07-23T00:33:38.182+00:00	393	{}	PRESERVED_SPECIMEN	6.0	PRESENT		2117367	1	54	354	9477065	6316	2117290	2117367	2117367	Anoplodactylus stictus Marcus, 1940	Anoplodactylus stictus Marcus, 1940	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus stictus	Anoplodactylus	stictus	SPECIES	ACCEPTED	NE			{}	1970.0	5.0	8.0	1970-05-08	128.0	128.0	['OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2024-07-23T00:33:38.182+00:00		http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'ZMA.PYC.3521@CRS'}]	[]	[]	[]	0e919a55-08d3-4bd2-aec1-200858fafd92	False		Pycnogonida	BR	[]	[]	LATIN_AMERICA	Brazil	EUROPE	ZMA.PYC.3521@CRS					2434362445	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.PYC.3521					['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	-23.65	-45.1	2019-03-08T00:00:00.000+00:00	Stock J.H.	WholeOrganism (wet specimen)	WGS84	Naturalis Biodiversity Center	ZMA.PYC.3521	ICZN	Naturalis Biodiversity Center	08 mei 1970	Chelicerata and Myriapoda	Animalia|Phoxichilidiidae 																							
2434365441	b4aad9c3-518b-4550-82de-c70a7ead1b64	396d5f30-dea9-11db-8ab4-b8a03c50a862	65eb93af-41b8-4917-a5fc-cfe2a45aa4bf	396d5f30-dea9-11db-8ab4-b8a03c50a862	NL	DWC_ARCHIVE	2024-07-23T00:32:26.361+00:00	2024-07-23T00:33:24.815+00:00	393	{}	PRESERVED_SPECIMEN	6.0	PRESENT		2117367	1	54	354	9477065	6316	2117290	2117367	2117367	Anoplodactylus stictus Marcus, 1940	Anoplodactylus stictus Marcus, 1940	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus stictus	Anoplodactylus	stictus	SPECIES	ACCEPTED	NE			{}	1970.0	11.0	5.0	1970-11-05	309.0	309.0	['COORDINATE_ROUNDED', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2024-07-23T00:33:24.815+00:00		http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'ZMA.PYC.3509@CRS'}]	[]	[]	[]	0e919a55-08d3-4bd2-aec1-200858fafd92	False		Pycnogonida	BR	[]	[]	LATIN_AMERICA	Brazil	EUROPE	ZMA.PYC.3509@CRS					2434365441	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.PYC.3509					['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	-22.366667	-41.533333	2019-03-08T00:00:00.000+00:00	Stock J.H.	WholeOrganism (wet specimen)	WGS84	Naturalis Biodiversity Center	ZMA.PYC.3509	ICZN	Naturalis Biodiversity Center	05 nov 1970	Chelicerata and Myriapoda	Animalia|Phoxichilidiidae 																							
1322983085	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:38:26.419+00:00	395	{}	PRESERVED_SPECIMEN	30.0	PRESENT		2117367	1	54	354	9477065	6316	2117290	2117367	2117367	Anoplodactylus stictus Marcus, 1940	Anoplodactylus stictus Marcus, 1940	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus stictus	Anoplodactylus	stictus	SPECIES	ACCEPTED	NE		Rio Grande do Sul	{}	1967.0	3.0	19.0	1967-03-19	78.0	78.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-02T12:38:26.419+00:00		http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/3ffc1fb5d-8dfa-4444-997d-bb8db7e23832'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	False	D. Kirtley	Pycnogonida	BR	[]	[]	LATIN_AMERICA	Brazil	NORTH_AMERICA	http://n2t.net/ark:/65665/3ffc1fb5d-8dfa-4444-997d-bb8db7e23832		USNM		Estreito, Shipwreck N Of Sao Jose Do Norte	1322983085	http://n2t.net/ark:/65665/3ffc1fb5d-8dfa-4444-997d-bb8db7e23832					['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	-31.92	-51.725	2014-10-20T11:44:00.000+00:00	Child, C. Allan, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)	Alcohol (Ethanol)	WGS84		USNM 122187		urn:lsid:biocol.org:col:34871	19 MAR 1967	IZ	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Phoxichilidiidae	South Atlantic Ocean	South Atlantic Ocean, Brazil, Rio Grande do Sul	0174f5b3-da29-4967-b8dc-ce75ed53e35d	NMNH Extant Biology	unknown, from legacy	Degrees Minutes Seconds	Intertidal	BRA-4	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6														
2434361444	b4aad9c3-518b-4550-82de-c70a7ead1b64	396d5f30-dea9-11db-8ab4-b8a03c50a862	65eb93af-41b8-4917-a5fc-cfe2a45aa4bf	396d5f30-dea9-11db-8ab4-b8a03c50a862	NL	DWC_ARCHIVE	2024-07-23T00:32:26.361+00:00	2024-07-23T00:33:26.091+00:00	393	{}	PRESERVED_SPECIMEN	1.0	PRESENT		2117367	1	54	354	9477065	6316	2117290	2117367	2117367	Anoplodactylus stictus Marcus, 1940	Anoplodactylus stictus Marcus, 1940	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus stictus	Anoplodactylus	stictus	SPECIES	ACCEPTED	NE	SOUTH_AMERICA		{}	1964.0	11.0	20.0	1964-11-20	325.0	325.0	['CONTINENT_DERIVED_FROM_COUNTRY', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2024-07-23T00:33:26.091+00:00		http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'ZMA.PYC.3511@CRS'}]	[]	[]	[]	0e919a55-08d3-4bd2-aec1-200858fafd92	False		Pycnogonida	BR	[]	[]	LATIN_AMERICA	Brazil	EUROPE	ZMA.PYC.3511@CRS					2434361444	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.PYC.3511					['17abcf75-2f1e-46dd-bf75-a5b21dd02655']			2019-03-08T00:00:00.000+00:00	Stock J.H.	WholeOrganism (wet specimen)		Naturalis Biodiversity Center	ZMA.PYC.3511	ICZN	Naturalis Biodiversity Center	20 nov 1964	Chelicerata and Myriapoda	Animalia|Phoxichilidiidae 																							
