key	datasetKey	publishingOrgKey	networkKeys	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	individualCount	occurrenceStatus	sex	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	depth	continent	stateProvince	gadm	waterBody	higherGeography	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	modified	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	institutionKey	collectionKey	isInCluster	datasetName	recordedBy	identifiedBy	preparations	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	identifier	institutionID	locality	fieldNumber	collectionCode	gbifID	occurrenceID	catalogNumber	institutionCode	locationID	occurrenceRemarks	higherClassification	collectionID	dateIdentified	decimalLatitude	decimalLongitude	otherCatalogNumbers	geodeticDatum	locationRemarks	http://unknown.org/taxonRankID	taxonConceptID	http://unknown.org/species	type	depthAccuracy	verbatimEventDate	coordinatePrecision	coordinateUncertaintyInMeters	samplingProtocol	eventID	acceptedNameUsage	dynamicProperties	verbatimLocality	nameAccordingTo	georeferenceProtocol	verbatimCoordinateSystem	typeStatus	habitat	rightsHolder	nomenclaturalCode	references	datasetID	scientificNameID	bibliographicCitation	distanceFromCentroidInMeters	originalNameUsage	county	associatedReferences	identificationVerificationStatus	http://unknown.org/orders	taxonID	http://unknown.org/language
1322532360	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:39:55.220+00:00	395	{}	PRESERVED_SPECIMEN	1.0	PRESENT	FEMALE	2117298	1	54	354	9477065	6316	2117290	2117298	2117298	Anoplodactylus tenuicorpus Child, 1991	Anoplodactylus tenuicorpus Child, 1991	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus tenuicorpus	Anoplodactylus	tenuicorpus	SPECIES	ACCEPTED	NE	1.0	OCEANIA	Madang	{}	South Pacific Ocean, Bismarck Sea	South Pacific Ocean, Bismarck Sea, Papua New Guinea, Madang	1989.0	1.0	17.0	1989-01-17	17.0	17.0	['CONTINENT_INVALID', 'CONTINENT_DERIVED_FROM_COUNTRY', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2018-09-06T10:24:00.000+00:00	2024-07-02T12:39:55.220+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/3ebc56d39-9d3b-4da1-8763-4f6167f980cb'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	False	NMNH Extant Biology	J. Thomas & J. Clark	Child, C. Allan, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)	Alcohol (Ethanol)	Pycnogonida	PG	[]	[]	OCEANIA	Papua New Guinea	NORTH_AMERICA	http://n2t.net/ark:/65665/3ebc56d39-9d3b-4da1-8763-4f6167f980cb	urn:lsid:biocol.org:col:34871	Riwa Bay	PNG/JDT/PNG-RIWO	IZ	1322532360	http://n2t.net/ark:/65665/3ebc56d39-9d3b-4da1-8763-4f6167f980cb	USNM 384986	USNM	JDT/PNG-RIWO	This lot given incorrect USNM number that is out of sequence for CRT numbers. Doesn't conflict with other records, so it will retain this number to prevent confusion with potential past references to this number.	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Phoxichilidiidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6																																						
500793828	7c93d290-6c8b-11de-8226-b8a03c50a862	b36f3505-f2d9-499f-a669-fa418a127b9d	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:22:04.806+00:00	2024-07-02T17:15:24.566+00:00	380	{}	PRESERVED_SPECIMEN	1.0	PRESENT	MALE	2117298	1	54	354	9477065	6316	2117290	2117298	2117298	Anoplodactylus tenuicorpus Child, 1991	Anoplodactylus tenuicorpus Child, 1991	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus tenuicorpus	Anoplodactylus	tenuicorpus	SPECIES	ACCEPTED	NE		OCEANIA	Western Australia	{}			1985.0	2.0	14.0	1985-02-14	45.0	45.0	['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']		2024-07-02T17:15:24.566+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'd77cc6bf-6c0b-41c4-8435-d0e6f5f4e16f'}]	[]	[]	[]	09d260e0-a509-40c7-bef5-b0f5444be84a		False		Slack-Smith, S.M.	Arango, C.P.	wet (in ethanol or some other preservative)	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA	d77cc6bf-6c0b-41c4-8435-d0e6f5f4e16f				ARACH	500793828	d77cc6bf-6c0b-41c4-8435-d0e6f5f4e16f	40554	WAM					2002-01-01T00:00:00	-32.0	115.48333	99/3080	WGS84	reef between Crayfish Rock and Stark Bay, Rottnest Island	7000	https://biodiversity.org.au/afd/taxa/7c4eacde-8d7a-48a2-90e2-bd5c871faffe	Anoplodactylus tenuicorpus	PhysicalObject																												
1321665403	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:39:48.937+00:00	395	{}	PRESERVED_SPECIMEN	1.0	PRESENT	FEMALE	4338304	1	54	354	9477065	6316	2117290	2117298	2117298	Anoplodactylus attenuatus Child, 1988	Anoplodactylus tenuicorpus Child, 1991	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus tenuicorpus	Anoplodactylus	attenuatus	SPECIES	SYNONYM	NE	1.0	AFRICA		{}	Indian Ocean	Indian Ocean, Seychelles	1984.0	4.0	30.0	1984-04-30	121.0	121.0	['CONTINENT_INVALID', 'CONTINENT_DERIVED_FROM_COUNTRY', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2014-10-21T10:22:00.000+00:00	2024-07-02T12:39:48.937+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/3c55bff7f-a492-4132-b73f-9e1735ca5972'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	False	NMNH Extant Biology	J. Clark	Bowman, Thomas E., Smithsonian Institution, National Museum of Natural History	Alcohol (Ethanol)	Pycnogonida	SC	[]	[]	AFRICA	Seychelles	NORTH_AMERICA	http://n2t.net/ark:/65665/3c55bff7f-a492-4132-b73f-9e1735ca5972	urn:lsid:biocol.org:col:34871	Mahe, Reef Flat Near Mahe Beach Hotel		IZ	1321665403	http://n2t.net/ark:/65665/3c55bff7f-a492-4132-b73f-9e1735ca5972	USNM 234387	USNM	J-SEY-2		Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Phoxichilidiidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6											0.0	30 APR 1984																										
1317337073	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:38:24.584+00:00	395	{}	PRESERVED_SPECIMEN	1.0	PRESENT	FEMALE	4338304	1	54	354	9477065	6316	2117290	2117298	2117298	Anoplodactylus attenuatus Child, 1988	Anoplodactylus tenuicorpus Child, 1991	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus tenuicorpus	Anoplodactylus	attenuatus	SPECIES	SYNONYM	NE	2.0	AFRICA		{}	Indian Ocean	Indian Ocean, Seychelles	1983.0	4.0	3.0	1983-04-03	93.0	93.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'CONTINENT_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2018-12-10T15:49:00.000+00:00	2024-07-02T12:38:24.584+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/305f2310a-4022-4aaa-a50f-b1c8738a7aa4'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	False	NMNH Extant Biology	J. Thomas	Bowman, Thomas E., Smithsonian Institution, National Museum of Natural History	Alcohol (Ethanol)	Pycnogonida	SC	[]	[]	AFRICA	Seychelles	NORTH_AMERICA	http://n2t.net/ark:/65665/305f2310a-4022-4aaa-a50f-b1c8738a7aa4	urn:lsid:biocol.org:col:34871	Aldabra Atoll, Picard Island, Forereef		IZ	1317337073	http://n2t.net/ark:/65665/305f2310a-4022-4aaa-a50f-b1c8738a7aa4	USNM 234325	USNM	JDT-AL-5		Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Phoxichilidiidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6		-9.37	46.22		WGS84						0.0	03 APR 1983																										
1321016495	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:38:07.150+00:00	395	{}	PRESERVED_SPECIMEN	1.0	PRESENT	FEMALE	4338304	1	54	354	9477065	6316	2117290	2117298	2117298	Anoplodactylus attenuatus Child, 1988	Anoplodactylus tenuicorpus Child, 1991	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus tenuicorpus	Anoplodactylus	attenuatus	SPECIES	SYNONYM	NE	1.5	AFRICA		{}	Indian Ocean	Indian Ocean, Seychelles	1983.0	4.0	1.0	1983-04-01	91.0	91.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'CONTINENT_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2018-12-10T15:16:00.000+00:00	2024-07-02T12:38:07.150+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/3a8b21330-6d6e-4e6e-807e-ced5a78394e5'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	False	NMNH Extant Biology	J. Thomas	Bowman, Thomas E., Smithsonian Institution, National Museum of Natural History	Alcohol (Ethanol)	Pycnogonida	SC	[]	[]	AFRICA	Seychelles	NORTH_AMERICA	http://n2t.net/ark:/65665/3a8b21330-6d6e-4e6e-807e-ced5a78394e5	urn:lsid:biocol.org:col:34871	Aldabra Atoll, Picard Island, Passe Femme		IZ	1321016495	http://n2t.net/ark:/65665/3a8b21330-6d6e-4e6e-807e-ced5a78394e5	USNM 234321	USNM	JDT-AL-3		Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Phoxichilidiidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6		-9.37	46.22		WGS84						0.5	01 APR 1983																										
1100763244	dce8feb0-6c89-11de-8225-b8a03c50a862	770c30d2-c2a8-4bb2-8056-6167297cddae	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:20:52.620+00:00	2024-07-02T07:19:05.670+00:00	384	{}	PRESERVED_SPECIMEN		PRESENT		2117298	1	54	354	9477065	6316	2117290	2117298	2117298	Anoplodactylus tenuicorpus Child, 1991	Anoplodactylus tenuicorpus Child, 1991	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus tenuicorpus	Anoplodactylus	tenuicorpus	SPECIES	ACCEPTED	NE		OCEANIA	Northern Territory	{}			1982.0	10.0	14.0	1982-10-14	287.0	287.0	['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']		2024-07-02T07:19:05.670+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '28be0c7a-0e2a-4c6c-ba57-a29b39fce25d'}]	[]	[]	[]	9cfe8cbf-35ff-4d93-b932-cb05d91b7922		False		Lowry, James Kenneth|Australian Museum|Invertebrates, Marine	Krapp, F		Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA	28be0c7a-0e2a-4c6c-ba57-a29b39fce25d				Invertebrates - Marine & Other	1100763244	28be0c7a-0e2a-4c6c-ba57-a29b39fce25d	P.43396	AM					1994-01-01T00:00:00	-10.9	133.033	ecatalogue.irn:1063183|urn:catalog:AM:Invertebrates - Marine & Other:P.43396	WGS84	ecatalogue.LocCollectionEventLocal: [NT 9] Australia, Northern Territory, patch reef on north side of New Year Island (10° 54' S, 133° 02' E) 14/10/1982 - 14/10/1982, hand collected on SCUBA;	7000	https://biodiversity.org.au/afd/taxa/7c4eacde-8d7a-48a2-90e2-bd5c871faffe	Anoplodactylus tenuicorpus				0.001	10000.0	hand collected on SCUBA	urn:australianmuseum.net.au:Events:1063577	Anoplodactylus tenuicorpus Child, 1991	{dcterms:type:PhysicalObject,dcterms:modified:2019/11/19,verbatimUncertainty:1km-10km}	patch reef on north side of New Year Island	Child, 1991																		
1320817824	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:39:12.650+00:00	395	{}	PRESERVED_SPECIMEN	1.0	PRESENT	FEMALE	2117298	1	54	354	9477065	6316	2117290	2117298	2117298	Anoplodactylus tenuicorpus Child, 1991	Anoplodactylus tenuicorpus Child, 1991	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus tenuicorpus	Anoplodactylus	tenuicorpus	SPECIES	ACCEPTED	NE	1.5	AFRICA		{'level0': {'gid': 'AGO', 'name': 'Angola'}, 'level1': {'gid': 'AGO.6_1', 'name': 'Cuanza Norte'}, 'level2': {'gid': 'AGO.6.5_1', 'name': 'Cambambe'}, 'level3': {'gid': 'AGO.6.5.2_1', 'name': 'Dondo'}}	South Pacific Ocean	South Pacific Ocean, Papua New Guinea	1980.0	7.0	26.0	1980-07-26	208.0	208.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_COORDINATE_MISMATCH', 'CONTINENT_INVALID', 'CONTINENT_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2016-09-30T11:20:00.000+00:00	2024-07-02T12:39:12.650+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/39fef37e4-8ba2-4863-8682-7fcd918b4b21'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	False	NMNH Extant Biology	C. Child & J. Barnard	Child, C. Allan, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)	Alcohol (Ethanol)	Pycnogonida	PG	[]	[]	OCEANIA	Papua New Guinea	NORTH_AMERICA	http://n2t.net/ark:/65665/39fef37e4-8ba2-4863-8682-7fcd918b4b21	urn:lsid:biocol.org:col:34871	Manunouha Island; Boatless Inlet, Southwest of Motupore Island		IZ	1320817824	http://n2t.net/ark:/65665/39fef37e4-8ba2-4863-8682-7fcd918b4b21	USNM 1096819	USNM	204		Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Phoxichilidiidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6		-9.5367	14.2689		WGS84						0.5										unknown, from legacy	Degrees Minutes Seconds																
1318539104	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:39:07.657+00:00	395	{}	PRESERVED_SPECIMEN	1.0	PRESENT	FEMALE	4338304	1	54	354	9477065	6316	2117290	2117298	2117298	Anoplodactylus attenuatus Child, 1988	Anoplodactylus tenuicorpus Child, 1991	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus tenuicorpus	Anoplodactylus	attenuatus	SPECIES	SYNONYM	NE	1.0	ASIA		{}	North Pacific Ocean	North Pacific Ocean, Philippines	1979.0	5.0	2.0	1979-05-02	122.0	122.0	['CONTINENT_INVALID', 'CONTINENT_DERIVED_FROM_COUNTRY', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2014-10-21T09:09:00.000+00:00	2024-07-02T12:39:07.657+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/33b1c8b1d-1841-4985-8e34-acb6f00ed290'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	False	NMNH Extant Biology	C. Child	Child, C. Allan, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)	Alcohol (Ethanol)	Pycnogonida	PH	[]	[]	ASIA	Philippines	NORTH_AMERICA	http://n2t.net/ark:/65665/33b1c8b1d-1841-4985-8e34-acb6f00ed290	urn:lsid:biocol.org:col:34871	Alibay Island, SW Shore, N Of Mindanao		IZ	1318539104	http://n2t.net/ark:/65665/33b1c8b1d-1841-4985-8e34-acb6f00ed290	USNM 228543	USNM	CAC-182		Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Phoxichilidiidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6											0.0	02 MAY 1979											PARATYPE	Rubble.														
2434399649	b4aad9c3-518b-4550-82de-c70a7ead1b64	396d5f30-dea9-11db-8ab4-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	65eb93af-41b8-4917-a5fc-cfe2a45aa4bf	396d5f30-dea9-11db-8ab4-b8a03c50a862	NL	DWC_ARCHIVE	2024-07-23T00:32:26.361+00:00	2024-07-23T00:33:19.308+00:00	393	{}	PRESERVED_SPECIMEN	1.0	PRESENT		2117298	1	54	354	9477065	6316	2117290	2117298	2117298	Anoplodactylus tenuicorpus Child, 1991	Anoplodactylus tenuicorpus Child, 1991	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus tenuicorpus	Anoplodactylus	tenuicorpus	SPECIES	ACCEPTED	NE		OCEANIA		{}			1979.0	6.0	12.0	1979-06-12	163.0	163.0	['COORDINATE_ROUNDED', 'CONTINENT_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2019-03-08T00:00:00.000+00:00	2024-07-23T00:33:19.308+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'ZMA.PYC.200899@CRS'}]	[]	[]	[]	0e919a55-08d3-4bd2-aec1-200858fafd92		False			Stock J.H.	WholeOrganism (wet specimen)	Pycnogonida	PG	[]	[]	OCEANIA	Papua New Guinea	EUROPE	ZMA.PYC.200899@CRS	Naturalis Biodiversity Center			Chelicerata and Myriapoda	2434399649	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.PYC.200899	ZMA.PYC.200899				Animalia|Phoxichilidiidae 			-9.558333	147.166667		WGS84							12 jun 1979													Naturalis Biodiversity Center	ICZN												
2434398886	b4aad9c3-518b-4550-82de-c70a7ead1b64	396d5f30-dea9-11db-8ab4-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	65eb93af-41b8-4917-a5fc-cfe2a45aa4bf	396d5f30-dea9-11db-8ab4-b8a03c50a862	NL	DWC_ARCHIVE	2024-07-23T00:32:26.361+00:00	2024-07-23T00:33:19.098+00:00	393	{}	PRESERVED_SPECIMEN	1.0	PRESENT		2117298	1	54	354	9477065	6316	2117290	2117298	2117298	Anoplodactylus tenuicorpus Child, 1991	Anoplodactylus tenuicorpus Child, 1991	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus tenuicorpus	Anoplodactylus	tenuicorpus	SPECIES	ACCEPTED	NE		ASIA		{}			1979.0	7.0	16.0	1979-07-16	197.0	197.0	['COORDINATE_ROUNDED', 'CONTINENT_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2019-03-08T00:00:00.000+00:00	2024-07-23T00:33:19.098+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'ZMA.PYC.200901@CRS'}]	[]	[]	[]	0e919a55-08d3-4bd2-aec1-200858fafd92		False			Stock J.H.	WholeOrganism (wet specimen)	Pycnogonida	ID	[]	[]	ASIA	Indonesia	EUROPE	ZMA.PYC.200901@CRS	Naturalis Biodiversity Center			Chelicerata and Myriapoda	2434398886	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.PYC.200901	ZMA.PYC.200901				Animalia|Phoxichilidiidae 			1.853333	125.095		WGS84							16 jul 1979													Naturalis Biodiversity Center	ICZN												
