key	datasetKey	publishingOrgKey	networkKeys	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	projectId	extensions	basisOfRecord	individualCount	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	depth	depthAccuracy	continent	gadm	waterBody	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	institutionKey	collectionKey	isInCluster	datasetName	otherCatalogNumbers	recordedBy	identifiedBy	preparations	samplingProtocol	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	identifier	scientificNameID	institutionID	locality	fieldNumber	collectionCode	gbifID	occurrenceID	verbatimIdentification	disposition	catalogNumber	locationRemarks	institutionCode	locationID	higherClassification	collectionID	dateIdentified	stateProvince	modified	references	rightsHolder	http://unknown.org/nick	verbatimEventDate	verbatimLocality	taxonID	identificationRemarks	http://unknown.org/captive	identificationID	basionymAuthors	verbatimScientificName	basionymYear	http://unknown.org/verbatimLabel	http://unknown.org/canonicalName	establishmentMeans	higherGeography	georeferenceVerificationStatus	language	type	accessRights	habitat	nomenclaturalCode	georeferenceProtocol	county	eventRemarks	eventTime	occurrenceRemarks	verbatimDepth	islandGroup	island	sex	lifeStage	recordNumber	bibliographicCitation	dynamicProperties	verbatimCoordinateSystem	typeStatus	georeferenceRemarks	elevation	elevationAccuracy	datasetID	acceptedNameUsage	namePublishedInYear	ownerInstitutionCode	nameAccordingTo	parentNameUsage	associatedSequences	taxonConceptID
4526996953	79f56d5d-f42f-4eea-91c4-3fa3a588004b	493fe050-055d-11d8-b84f-b8a03c50a862	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	a957a663-2f17-415f-b1c8-5cf6398df8ed	2053a639-84c3-4be5-b8bc-96b6d88a976c	US	EML	2024-03-21T18:46:07.335+00:00	2024-03-21T18:47:01.082+00:00	5	NHMLA_DISCO | DigInTCN	{}	MATERIAL_SAMPLE	10.0	PRESENT	2117406	1	54	354	9477065	6316	2117290	2117406	2117406	Anoplodactylus viridintestinalis (Cole, 1904)	Anoplodactylus viridintestinalis (Cole, 1904)	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus viridintestinalis	Anoplodactylus	viridintestinalis	SPECIES	ACCEPTED	NE	32.63791	-117.120302	10.0	3.0	0.0	NORTH_AMERICA	{}	Eastern Pacific Ocean	2021.0	7.0	14.0	2021-07-14	195.0	195.0	['COORDINATE_ROUNDED']	2024-03-21T18:47:01.082+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': '75560909-3C1F-4D96-B940-09EA90ECAEDE'}]	[]	[]	[]	2fc908ba-e775-49e2-bffe-6b9041c3b70f	6ee7b3bc-bc1c-443f-b74f-5c3d833a4152	False	Navy San Diego 2021	MISA-DP-0072D	Brandon Swope|Cassandra Sosa	Dancing Coyote Environmental	preserved in 95% ethanol	float anchored with brick	WGS84	Pycnogonida	US	[]	[]	NORTH_AMERICA	United States of America	NORTH_AMERICA	75560909-3C1F-4D96-B940-09EA90ECAEDE	urn:lsid:marinespecies.org:taxname:239846	urn:lsid:biocol.org:col:34802	California, San Diego County, Chula Vista Nature Preserve	S15	MBC	4526996953	75560909-3C1F-4D96-B940-09EA90ECAEDE	Phoxichilidiidae Anoplodactylus  viridintestinalis	vouchered:registered collection	LACM:DISCO:21051	Used grappling hook to catch rope attached to brick. Brought up by hand.	LACM	E66A757F-FE7A-4E30-BB5F-A5DC15E30CD1	Animalia | Arthropoda | Chelicerata | Pycnogonida | Pantopoda | Phoxichilidiidae | Anoplodactylus	urn:uuid:3f7f32da-cb96-4064-919e-8118eac80047																																																			
4116384319	50c9509d-22c7-4a22-a47d-8c48425ef4a7	28eb1a3f-1c15-4a95-931a-4af90ecb574d		997448a8-f762-11e1-a439-00145eb45e9a	28eb1a3f-1c15-4a95-931a-4af90ecb574d	US	DWC_ARCHIVE	2024-07-23T16:16:17.354+00:00	2024-07-24T05:50:11.660+00:00	474		{'http://rs.gbif.org/terms/1.0/Multimedia': [{'http://purl.org/dc/terms/creator': 'Cedric Lee', 'http://rs.tdwg.org/dwc/terms/catalogNumber': '12178569', 'http://purl.org/dc/terms/publisher': 'iNaturalist', 'http://purl.org/dc/terms/type': 'StillImage', 'http://purl.org/dc/terms/format': 'image/jpeg', 'http://purl.org/dc/terms/created': '2017-12-02T22:50:30-08:00', 'http://purl.org/dc/terms/license': 'http://creativecommons.org/licenses/by-nc/4.0/', 'http://purl.org/dc/terms/rightsHolder': 'Cedric Lee', 'http://purl.org/dc/terms/identifier': 'https://inaturalist-open-data.s3.amazonaws.com/photos/12178569/original.jpeg', 'http://purl.org/dc/terms/references': 'https://www.inaturalist.org/photos/12178569'}, {'http://purl.org/dc/terms/creator': 'Cedric Lee', 'http://rs.tdwg.org/dwc/terms/catalogNumber': '12326958', 'http://purl.org/dc/terms/publisher': 'iNaturalist', 'http://purl.org/dc/terms/type': 'StillImage', 'http://purl.org/dc/terms/format': 'image/jpeg', 'http://purl.org/dc/terms/created': '2017-12-10T17:07:39-08:00', 'http://purl.org/dc/terms/license': 'http://creativecommons.org/licenses/by-nc/4.0/', 'http://purl.org/dc/terms/rightsHolder': 'Cedric Lee', 'http://purl.org/dc/terms/identifier': 'https://inaturalist-open-data.s3.amazonaws.com/photos/12326958/original.jpeg', 'http://purl.org/dc/terms/references': 'https://www.inaturalist.org/photos/12326958'}]}	HUMAN_OBSERVATION		PRESENT	2117406	1	54	354	9477065	6316	2117290	2117406	2117406	Anoplodactylus viridintestinalis (Cole, 1904)	Anoplodactylus viridintestinalis (Cole, 1904)	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus viridintestinalis	Anoplodactylus	viridintestinalis	SPECIES	ACCEPTED	NE	33.715202	-118.31902	74.0			NORTH_AMERICA	{}		2017.0	12.0	2.0	2017-12-02	336.0	336.0	['COORDINATE_ROUNDED', 'CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_ID_IGNORED']	2024-07-24T05:50:11.660+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': '9028546'}]	[{'type': 'StillImage', 'format': 'image/jpeg', 'references': 'https://www.inaturalist.org/photos/12326958', 'created': '2017-12-11T01:07:39.000+00:00', 'creator': 'Cedric Lee', 'publisher': 'iNaturalist', 'license': 'http://creativecommons.org/licenses/by-nc/4.0/', 'rightsHolder': 'Cedric Lee', 'identifier': 'https://inaturalist-open-data.s3.amazonaws.com/photos/12326958/original.jpeg'}, {'type': 'StillImage', 'format': 'image/jpeg', 'references': 'https://www.inaturalist.org/photos/12178569', 'created': '2017-12-03T06:50:30.000+00:00', 'creator': 'Cedric Lee', 'publisher': 'iNaturalist', 'license': 'http://creativecommons.org/licenses/by-nc/4.0/', 'rightsHolder': 'Cedric Lee', 'identifier': 'https://inaturalist-open-data.s3.amazonaws.com/photos/12178569/original.jpeg'}]	[]	[]			False	iNaturalist research-grade observations		Cedric Lee	Cedric Lee			WGS84	Pycnogonida	US	[]	[]	NORTH_AMERICA	United States of America	NORTH_AMERICA	9028546					Observations	4116384319	https://www.inaturalist.org/observations/9028546			9028546		iNaturalist				2017-12-11T01:25:09	California	2023-05-12T10:51:24.000+00:00	https://www.inaturalist.org/observations/9028546	Cedric Lee	cedric_lee	2017/12/02	Harbor, Los Angeles, CA, USA	270464	First trunk segment does not appear to be elongated anteriorly; Externally, it does not match the two listed Phoxichilidium species, but does with A. viridintestinalis.	wild	19662933																																							
3045071309	e1daacda-87e9-479f-abeb-2431532b98d2	7ce8aef0-9e92-11dc-8738-b8a03c50a862		7ce8aef1-9e92-11dc-8740-b8a03c50a999	7ce8aef0-9e92-11dc-8738-b8a03c50a862	CH	DWC_ARCHIVE	2023-01-05T06:33:43.686+00:00	2024-01-25T01:20:51.275+00:00	91		{}	MATERIAL_CITATION	19.0	PRESENT	2117406	1	54	354	9477065	6316	2117290	2117406	2117406	Anoplodactylus viridintestinalis (Cole, 1904)	Anoplodactylus viridintestinalis (Cole, 1904)	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus viridintestinalis	Anoplodactylus	viridintestinalis	SPECIES	ACCEPTED	NE	25.814444	-111.31111				NORTH_AMERICA	{}		2013.0	1.0	12.0	2013-01-12	12.0	12.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_ID_IGNORED', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-01-25T01:20:51.275+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': '038087FFFFEDC670B6A082EC50A4F9C7.mc.3B413CB4FFEEC670B7BE84915111FF1B'}]	[]	[]	[]			False							WGS84	Pycnogonida	MX	[]	[]	LATIN_AMERICA	Mexico	EUROPE	038087FFFFEDC670B6A082EC50A4F9C7.mc.3B413CB4FFEEC670B7BE84915111FF1B			Loreto, Baja California Sur			3045071309	038087FFFFEDC670B6A082EC50A4F9C7.mc.3B413CB4FFEEC670B7BE84915111FF1B										Loreto, Baja California Sur		http://treatment.plazi.org/id/038087FFFFEDC670B6A082EC50A4F9C7					038087FFFFEDC670B6A082EC50A4F9C7.taxon				Cole	Anoplodactylus viridintestinalis (Cole, 1904)	1904	19 specimens: 18 ³, 1 j (UANL-FCB-PYCNO- 0082), Puerto Escondido Marine, Loreto, Baja California Sur, 25 ° 48´52 ´´ N, - 111 ° 18´40 ´´ W, 12 / 01 / 2013 (Fig. 1)	Anoplodactylus viridintestinalis																																		
1809318023	9aa00786-772a-46d4-8fe1-ac6d8926a040	d6aeeb7c-db16-436f-98bb-f0d7e2c7a0db		9afa1395-6e93-4848-a42d-bce896f5195e	657b7bf0-766b-11d9-9f77-b8a03c50a862	KR	EML	2023-01-06T23:22:09.574+00:00	2024-01-25T11:49:39.417+00:00	88		{}	PRESERVED_SPECIMEN		PRESENT	2117406	1	54	354	9477065	6316	2117290	2117406	2117406	Anoplodactylus viridintestinalis (Cole, 1904)	Anoplodactylus viridintestinalis (Cole, 1904)	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus viridintestinalis	Anoplodactylus	viridintestinalis	SPECIES	ACCEPTED	NE							{}		2012.0	1.0	1.0	2012-01-01	1.0	1.0	['INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-01-25T11:49:39.417+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': '1809318023'}]	[]	[]	[]	31c9e39d-1b4d-4b4c-9c8c-a93cc973f4e5		False								Pycnogonida		[]	[]			ASIA						AM	1809318023				NIBRIV0000001807		NIBR																																																						
1809318029	9aa00786-772a-46d4-8fe1-ac6d8926a040	d6aeeb7c-db16-436f-98bb-f0d7e2c7a0db		9afa1395-6e93-4848-a42d-bce896f5195e	657b7bf0-766b-11d9-9f77-b8a03c50a862	KR	EML	2023-01-06T23:22:09.574+00:00	2024-01-25T11:49:37.577+00:00	88		{}	PRESERVED_SPECIMEN		PRESENT	2117406	1	54	354	9477065	6316	2117290	2117406	2117406	Anoplodactylus viridintestinalis (Cole, 1904)	Anoplodactylus viridintestinalis (Cole, 1904)	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus viridintestinalis	Anoplodactylus	viridintestinalis	SPECIES	ACCEPTED	NE							{}		2012.0	1.0	1.0	2012-01-01	1.0	1.0	['INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-01-25T11:49:37.577+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': '1809318029'}]	[]	[]	[]	31c9e39d-1b4d-4b4c-9c8c-a93cc973f4e5		False								Pycnogonida		[]	[]			ASIA						AM	1809318029				NIBRIV0000001805		NIBR																																																						
1809318032	9aa00786-772a-46d4-8fe1-ac6d8926a040	d6aeeb7c-db16-436f-98bb-f0d7e2c7a0db		9afa1395-6e93-4848-a42d-bce896f5195e	657b7bf0-766b-11d9-9f77-b8a03c50a862	KR	EML	2023-01-06T23:22:09.574+00:00	2024-01-25T11:49:39.488+00:00	88		{}	PRESERVED_SPECIMEN		PRESENT	2117406	1	54	354	9477065	6316	2117290	2117406	2117406	Anoplodactylus viridintestinalis (Cole, 1904)	Anoplodactylus viridintestinalis (Cole, 1904)	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus viridintestinalis	Anoplodactylus	viridintestinalis	SPECIES	ACCEPTED	NE							{}		2012.0	1.0	1.0	2012-01-01	1.0	1.0	['INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-01-25T11:49:39.488+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': '1809318032'}]	[]	[]	[]	31c9e39d-1b4d-4b4c-9c8c-a93cc973f4e5		False								Pycnogonida		[]	[]			ASIA						AM	1809318032				NIBRIV0000001804		NIBR																																																						
1809318050	9aa00786-772a-46d4-8fe1-ac6d8926a040	d6aeeb7c-db16-436f-98bb-f0d7e2c7a0db		9afa1395-6e93-4848-a42d-bce896f5195e	657b7bf0-766b-11d9-9f77-b8a03c50a862	KR	EML	2023-01-06T23:22:09.574+00:00	2024-01-25T11:49:39.488+00:00	88		{}	PRESERVED_SPECIMEN		PRESENT	2117406	1	54	354	9477065	6316	2117290	2117406	2117406	Anoplodactylus viridintestinalis (Cole, 1904)	Anoplodactylus viridintestinalis (Cole, 1904)	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus viridintestinalis	Anoplodactylus	viridintestinalis	SPECIES	ACCEPTED	NE							{}		2012.0	1.0	1.0	2012-01-01	1.0	1.0	['INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-01-25T11:49:39.488+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': '1809318050'}]	[]	[]	[]	31c9e39d-1b4d-4b4c-9c8c-a93cc973f4e5		False								Pycnogonida		[]	[]			ASIA						AM	1809318050				NIBRIV0000001808		NIBR																																																						
1809318059	9aa00786-772a-46d4-8fe1-ac6d8926a040	d6aeeb7c-db16-436f-98bb-f0d7e2c7a0db		9afa1395-6e93-4848-a42d-bce896f5195e	657b7bf0-766b-11d9-9f77-b8a03c50a862	KR	EML	2023-01-06T23:22:09.574+00:00	2024-01-25T11:49:40.936+00:00	88		{}	PRESERVED_SPECIMEN		PRESENT	2117406	1	54	354	9477065	6316	2117290	2117406	2117406	Anoplodactylus viridintestinalis (Cole, 1904)	Anoplodactylus viridintestinalis (Cole, 1904)	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus viridintestinalis	Anoplodactylus	viridintestinalis	SPECIES	ACCEPTED	NE							{}		2012.0	1.0	1.0	2012-01-01	1.0	1.0	['INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-01-25T11:49:40.936+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': '1809318059'}]	[]	[]	[]	31c9e39d-1b4d-4b4c-9c8c-a93cc973f4e5		False								Pycnogonida		[]	[]			ASIA						AM	1809318059				NIBRIV0000001806		NIBR																																																						
1809318127	9aa00786-772a-46d4-8fe1-ac6d8926a040	d6aeeb7c-db16-436f-98bb-f0d7e2c7a0db		9afa1395-6e93-4848-a42d-bce896f5195e	657b7bf0-766b-11d9-9f77-b8a03c50a862	KR	EML	2023-01-06T23:22:09.574+00:00	2024-01-25T11:49:37.645+00:00	88		{}	PRESERVED_SPECIMEN		PRESENT	2117406	1	54	354	9477065	6316	2117290	2117406	2117406	Anoplodactylus viridintestinalis (Cole, 1904)	Anoplodactylus viridintestinalis (Cole, 1904)	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus viridintestinalis	Anoplodactylus	viridintestinalis	SPECIES	ACCEPTED	NE							{}		2012.0	1.0	1.0	2012-01-01	1.0	1.0	['INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-01-25T11:49:37.645+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': '1809318127'}]	[]	[]	[]	31c9e39d-1b4d-4b4c-9c8c-a93cc973f4e5		False								Pycnogonida		[]	[]			ASIA						AM	1809318127				NIBRIV0000001809		NIBR																																																						
1809320879	9aa00786-772a-46d4-8fe1-ac6d8926a040	d6aeeb7c-db16-436f-98bb-f0d7e2c7a0db		9afa1395-6e93-4848-a42d-bce896f5195e	657b7bf0-766b-11d9-9f77-b8a03c50a862	KR	EML	2023-01-06T23:22:09.574+00:00	2024-01-25T11:49:38.230+00:00	88		{}	PRESERVED_SPECIMEN		PRESENT	2117406	1	54	354	9477065	6316	2117290	2117406	2117406	Anoplodactylus viridintestinalis (Cole, 1904)	Anoplodactylus viridintestinalis (Cole, 1904)	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus viridintestinalis	Anoplodactylus	viridintestinalis	SPECIES	ACCEPTED	NE							{}		2012.0	1.0	1.0	2012-01-01	1.0	1.0	['INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-01-25T11:49:38.230+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': '1809320879'}]	[]	[]	[]	31c9e39d-1b4d-4b4c-9c8c-a93cc973f4e5		False								Pycnogonida		[]	[]			ASIA						AM	1809320879				NIBRIV0000001817		NIBR																																																						
