key	datasetKey	publishingOrgKey	networkKeys	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	projectId	extensions	basisOfRecord	individualCount	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	depth	depthAccuracy	continent	gadm	waterBody	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	institutionKey	collectionKey	isInCluster	datasetName	recordedBy	identifiedBy	preparations	samplingProtocol	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	identifier	scientificNameID	institutionID	locality	collectionCode	gbifID	occurrenceID	verbatimIdentification	catalogNumber	institutionCode	locationID	higherClassification	collectionID	sex	stateProvince	higherGeography	modified	verbatimEventDate	county	lifeStage	fieldNumber	verbatimDepth	georeferenceProtocol	verbatimCoordinateSystem	georeferenceRemarks	typeStatus	elevation	elevationAccuracy	datasetID	rightsHolder	acceptedNameUsage	habitat	dynamicProperties	namePublishedInYear	taxonID	ownerInstitutionCode	nameAccordingTo	bibliographicCitation	parentNameUsage	identificationID	nomenclaturalCode
4418911610	6d40a388-57c4-4e7e-a794-6d6502c225c7	493fe050-055d-11d8-b84f-b8a03c50a862	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	a957a663-2f17-415f-b1c8-5cf6398df8ed	2053a639-84c3-4be5-b8bc-96b6d88a976c	US	EML	2024-03-26T21:26:59.394+00:00	2024-03-26T21:28:13.498+00:00	26	NHMLA_DISCO | DigInTCN	{}	MATERIAL_SAMPLE	1.0	PRESENT	2118109	1	54	354	9477065	2011	2118108	2118109	2118109	Anoropallene palpida (Hilton, 1939)	Anoropallene palpida (Hilton, 1939)	Animalia	Arthropoda	Pantopoda	Callipallenidae	Anoropallene	Anoropallene palpida	Anoropallene	palpida	SPECIES	ACCEPTED	NE	33.8374	-118.3943	10.0	18.44	4.72	NORTH_AMERICA	{}	North Pacific Ocean	2019.0	8.0	21.0	2019-08-21	233.0	233.0	[]	2024-03-26T21:28:13.498+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '32F21A8F-31A9-4D58-B3EA-5D6D7594D880'}]	[]	[]	[]	2fc908ba-e775-49e2-bffe-6b9041c3b70f	6ee7b3bc-bc1c-443f-b74f-5c3d833a4152	False	LAUOE	CSUF Whaler|R. Walter|S. Wiedrick	D. Cadien	Generally fixed and preserved in 95% ethanol, some specimens in formalin	SCUBA, hand dredge, hand	WGS84	Pycnogonida	US	[]	[]	NORTH_AMERICA	United States of America	NORTH_AMERICA	32F21A8F-31A9-4D58-B3EA-5D6D7594D880	urn:lsid:marinespecies.org:taxname:239465	urn:lsid:biocol.org:col:34802	California, Los Angeles County, Redondo Beach, Veteran's Park	MBC	4418911610	32F21A8F-31A9-4D58-B3EA-5D6D7594D880	Anoropallene palpida	LACM:DISCO:16332	LACM	82EA1C70-40D3-4680-AB6C-D83E12A43B52	Animalia | Arthropoda | Chelicerata | Pycnogonida | Pantopoda | Callipallenidae | Anoropallene	urn:uuid:3f7f32da-cb96-4064-919e-8118eac80047																												
4418910762	6d40a388-57c4-4e7e-a794-6d6502c225c7	493fe050-055d-11d8-b84f-b8a03c50a862	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	a957a663-2f17-415f-b1c8-5cf6398df8ed	2053a639-84c3-4be5-b8bc-96b6d88a976c	US	EML	2024-03-26T21:26:59.394+00:00	2024-03-26T21:28:13.015+00:00	26	NHMLA_DISCO | DigInTCN	{}	MATERIAL_SAMPLE	1.0	PRESENT	2118109	1	54	354	9477065	2011	2118108	2118109	2118109	Anoropallene palpida (Hilton, 1939)	Anoropallene palpida (Hilton, 1939)	Animalia	Arthropoda	Pantopoda	Callipallenidae	Anoropallene	Anoropallene palpida	Anoropallene	palpida	SPECIES	ACCEPTED	NE	33.7966	-118.411	10.0	6.1	1.5	NORTH_AMERICA	{}	North Pacific Ocean	2019.0	8.0	22.0	2019-08-22	234.0	234.0	[]	2024-03-26T21:28:13.015+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'A206DC6E-B783-4DFB-8FE4-32E298CECC9A'}]	[]	[]	[]	2fc908ba-e775-49e2-bffe-6b9041c3b70f	6ee7b3bc-bc1c-443f-b74f-5c3d833a4152	False	LAUOE	Giant Stride|T. Turner|B. Cummings|J. Whelpley	D. Cadien	Generally fixed and preserved in 95% ethanol, some specimens in formalin	SCUBA	WGS84	Pycnogonida	US	[]	[]	NORTH_AMERICA	United States of America	NORTH_AMERICA	A206DC6E-B783-4DFB-8FE4-32E298CECC9A	urn:lsid:marinespecies.org:taxname:239465	urn:lsid:biocol.org:col:34802	California, Los Angeles County, Palos Verdes Peninsula, Flat Rock	MBC	4418910762	A206DC6E-B783-4DFB-8FE4-32E298CECC9A	Anoropallene palpida	LACM:DISCO:16148	LACM	52B97C4A-98AB-4C5A-A2D1-8BA425F194E3	Animalia | Arthropoda | Chelicerata | Pycnogonida | Pantopoda | Callipallenidae | Anoropallene	urn:uuid:3f7f32da-cb96-4064-919e-8118eac80047																												
1320010491	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:37:42.924+00:00	395		{}	PRESERVED_SPECIMEN	1.0	PRESENT	2118109	1	54	354	9477065	2011	2118108	2118109	2118109	Anoropallene palpida (Hilton, 1939)	Anoropallene palpida (Hilton, 1939)	Animalia	Arthropoda	Pantopoda	Callipallenidae	Anoropallene	Anoropallene palpida	Anoropallene	palpida	SPECIES	ACCEPTED	NE							{}	North Pacific Ocean	1975.0	2.0		1975-02			['OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-02T12:37:42.924+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/37c36c2ee-fd33-4c57-8b01-e0a2d866bf87'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	False	NMNH Extant Biology		Child, C. Allan, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)	Alcohol (Ethanol)			Pycnogonida	US	[]	[]	NORTH_AMERICA	United States of America	NORTH_AMERICA	http://n2t.net/ark:/65665/37c36c2ee-fd33-4c57-8b01-e0a2d866bf87		urn:lsid:biocol.org:col:34871	King Harbor	IZ	1320010491	http://n2t.net/ark:/65665/37c36c2ee-fd33-4c57-8b01-e0a2d866bf87		USNM 156287	USNM	7	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Callipallenidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6	MALE	California	North Pacific Ocean, United States, California, Los Angeles County	2014-10-20T13:58:00.000+00:00	-- FEB 1975	Los Angeles County																						
1317821102	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:37:07.040+00:00	395		{}	PRESERVED_SPECIMEN	1.0	PRESENT	2118109	1	54	354	9477065	2011	2118108	2118109	2118109	Anoropallene palpida (Hilton, 1939)	Anoropallene palpida (Hilton, 1939)	Animalia	Arthropoda	Pantopoda	Callipallenidae	Anoropallene	Anoropallene palpida	Anoropallene	palpida	SPECIES	ACCEPTED	NE	8.92	-79.53				NORTH_AMERICA	{}	North Pacific Ocean, Gulf of Panama	1974.0	3.0	10.0	1974-03-10	69.0	69.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'CONTINENT_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-02T12:37:07.040+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/31b599d4e-ba41-488f-acb3-94cfe9f7decc'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	False	NMNH Extant Biology	Smithsonian Tropical Research Institute	Child, C. Allan, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)	Alcohol (Ethanol)		WGS84	Pycnogonida	PA	[]	[]	LATIN_AMERICA	Panama	NORTH_AMERICA	http://n2t.net/ark:/65665/31b599d4e-ba41-488f-acb3-94cfe9f7decc		urn:lsid:biocol.org:col:34871	Panama Bay, Fort Amador, Culebra Island, Boy Scout Beach	IZ	1317821102	http://n2t.net/ark:/65665/31b599d4e-ba41-488f-acb3-94cfe9f7decc		USNM 169217	USNM	183- 1-7	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Callipallenidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6		Canal Zone	North Pacific Ocean, Gulf of Panama, Panama, Canal Zone	2016-12-20T16:39:00.000+00:00	10 MAR 1974		Juvenile	1-7	Intertidal																			
1318037673	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:39:02.145+00:00	395		{}	PRESERVED_SPECIMEN	1.0	PRESENT	2118109	1	54	354	9477065	2011	2118108	2118109	2118109	Anoropallene palpida (Hilton, 1939)	Anoropallene palpida (Hilton, 1939)	Animalia	Arthropoda	Pantopoda	Callipallenidae	Anoropallene	Anoropallene palpida	Anoropallene	palpida	SPECIES	ACCEPTED	NE						NORTH_AMERICA	{}	North Pacific Ocean, Gulf of California	1974.0	3.0	14.0	1974-03-14	73.0	73.0	['CONTINENT_INVALID', 'CONTINENT_DERIVED_FROM_COUNTRY', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-02T12:39:02.145+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/324edc3f0-29c6-4acf-b69d-4391051b406c'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	False	NMNH Extant Biology	R. Brusca	Child, C. Allan, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)	Alcohol (Ethanol)			Pycnogonida	MX	[]	[]	LATIN_AMERICA	Mexico	NORTH_AMERICA	http://n2t.net/ark:/65665/324edc3f0-29c6-4acf-b69d-4391051b406c		urn:lsid:biocol.org:col:34871	Pichilinque Bay, Near La Paz	IZ	1318037673	http://n2t.net/ark:/65665/324edc3f0-29c6-4acf-b69d-4391051b406c		USNM 168091	USNM		Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Callipallenidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6	FEMALE	Baja California	North Pacific Ocean, Gulf of California, Mexico, Baja California	2014-10-20T14:12:00.000+00:00	14 MAR 1974				Intertidal																			
1318052296	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:38:50.757+00:00	395		{}	PRESERVED_SPECIMEN	2.0	PRESENT	2118109	1	54	354	9477065	2011	2118108	2118109	2118109	Anoropallene palpida (Hilton, 1939)	Anoropallene palpida (Hilton, 1939)	Animalia	Arthropoda	Pantopoda	Callipallenidae	Anoropallene	Anoropallene palpida	Anoropallene	palpida	SPECIES	ACCEPTED	NE	8.92	-79.53		0.65	0.5499999999999999	NORTH_AMERICA	{}	North Pacific Ocean, Gulf of Panama	1974.0	3.0	9.0	1974-03-09	68.0	68.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'CONTINENT_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-02T12:38:50.757+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/32590930b-836d-4dce-833c-649f6111a847'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	False	NMNH Extant Biology	M. L. Jones & Kaufman	Child, C. Allan, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)	Alcohol (Ethanol)		WGS84	Pycnogonida	PA	[]	[]	LATIN_AMERICA	Panama	NORTH_AMERICA	http://n2t.net/ark:/65665/32590930b-836d-4dce-833c-649f6111a847		urn:lsid:biocol.org:col:34871	Panama Bay, Naos Island, Pilot House Beach	IZ	1318052296	http://n2t.net/ark:/65665/32590930b-836d-4dce-833c-649f6111a847		USNM 169216	USNM	182- 1-5	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Callipallenidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6		Canal Zone	North Pacific Ocean, Gulf of Panama, Panama, Canal Zone	2016-10-03T13:36:00.000+00:00	09 MAR 1974		Juvenile	1-5																				
1320097496	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:37:50.597+00:00	395		{}	PRESERVED_SPECIMEN	106.0	PRESENT	2118109	1	54	354	9477065	2011	2118108	2118109	2118109	Anoropallene palpida (Hilton, 1939)	Anoropallene palpida (Hilton, 1939)	Animalia	Arthropoda	Pantopoda	Callipallenidae	Anoropallene	Anoropallene palpida	Anoropallene	palpida	SPECIES	ACCEPTED	NE	8.97	-79.5				NORTH_AMERICA	{}	North Pacific Ocean, Gulf of Panama	1974.0	3.0	8.0	1974-03-08	67.0	67.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'CONTINENT_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-02T12:37:50.597+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/380088de2-b529-4903-ac47-c293da5892a7'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	False	NMNH Extant Biology	Smithsonian Tropical Research Institute	Child, C. Allan, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)	Alcohol (Ethanol)		WGS84	Pycnogonida	PA	[]	[]	LATIN_AMERICA	Panama	NORTH_AMERICA	http://n2t.net/ark:/65665/380088de2-b529-4903-ac47-c293da5892a7		urn:lsid:biocol.org:col:34871	Panama Bay, Punta Paitilla	IZ	1320097496	http://n2t.net/ark:/65665/380088de2-b529-4903-ac47-c293da5892a7		USNM 154488	USNM	180-1-5	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Callipallenidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6			North Pacific Ocean, Gulf of Panama, Panama	2016-09-30T11:21:00.000+00:00	08 MAR 1974				Subtidal																			
1322229238	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:39:56.655+00:00	395		{}	PRESERVED_SPECIMEN	23.0	PRESENT	2118109	1	54	354	9477065	2011	2118108	2118109	2118109	Anoropallene palpida (Hilton, 1939)	Anoropallene palpida (Hilton, 1939)	Animalia	Arthropoda	Pantopoda	Callipallenidae	Anoropallene	Anoropallene palpida	Anoropallene	palpida	SPECIES	ACCEPTED	NE	8.97	-79.5				NORTH_AMERICA	{}	North Pacific Ocean, Gulf of Panama	1974.0	3.0	8.0	1974-03-08	67.0	67.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'CONTINENT_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-02T12:39:56.655+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/3de5eb1c8-9742-4dcb-9a9e-fd3f89dc6514'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	False	NMNH Extant Biology	M. L. Jones	Child, C. Allan, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)	Alcohol (Ethanol)		WGS84	Pycnogonida	PA	[]	[]	LATIN_AMERICA	Panama	NORTH_AMERICA	http://n2t.net/ark:/65665/3de5eb1c8-9742-4dcb-9a9e-fd3f89dc6514		urn:lsid:biocol.org:col:34871	Panama Bay, Paitilla Point	IZ	1322229238	http://n2t.net/ark:/65665/3de5eb1c8-9742-4dcb-9a9e-fd3f89dc6514		USNM 154489	USNM	181-1	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Callipallenidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6			North Pacific Ocean, Gulf of Panama, Panama	2016-12-20T16:36:00.000+00:00	08 MAR 1974																							
1322205620	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:38:53.257+00:00	395		{}	PRESERVED_SPECIMEN	1.0	PRESENT	2118109	1	54	354	9477065	2011	2118108	2118109	2118109	Anoropallene palpida (Hilton, 1939)	Anoropallene palpida (Hilton, 1939)	Animalia	Arthropoda	Pantopoda	Callipallenidae	Anoropallene	Anoropallene palpida	Anoropallene	palpida	SPECIES	ACCEPTED	NE	8.9256	-79.5256				NORTH_AMERICA	{}	North Pacific Ocean, Gulf of Panama	1973.0	11.0	9.0	1973-11-09	313.0	313.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'CONTINENT_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-02T12:38:53.257+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/3dd507df9-9c63-4e40-a74c-ff412543c634'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	False	NMNH Extant Biology	M. L. Jones	Child, C. Allan, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)	Alcohol (Ethanol)		WGS84	Pycnogonida	PA	[]	[]	LATIN_AMERICA	Panama	NORTH_AMERICA	http://n2t.net/ark:/65665/3dd507df9-9c63-4e40-a74c-ff412543c634		urn:lsid:biocol.org:col:34871	Panama Bay, Perico Island, N 1/2 Mile N Of Island	IZ	1322205620	http://n2t.net/ark:/65665/3dd507df9-9c63-4e40-a74c-ff412543c634		USNM 154487	USNM	162- 1-6	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Callipallenidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6	MALE	Canal Zone	North Pacific Ocean, Gulf of Panama, Panama, Canal Zone	2016-09-30T11:20:00.000+00:00	09 NOV 1973			1-6	intertidal	unknown, from legacy	Degrees Minutes Seconds																	
1318044865	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:37:19.567+00:00	395		{}	PRESERVED_SPECIMEN	27.0	PRESENT	2118109	1	54	354	9477065	2011	2118108	2118109	2118109	Anoropallene palpida (Hilton, 1939)	Anoropallene palpida (Hilton, 1939)	Animalia	Arthropoda	Pantopoda	Callipallenidae	Anoropallene	Anoropallene palpida	Anoropallene	palpida	SPECIES	ACCEPTED	NE	8.97	-79.52				NORTH_AMERICA	{}	North Pacific Ocean, Gulf of Panama	1972.0	4.0	13.0	1972-04-13	104.0	104.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'CONTINENT_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-02T12:37:19.567+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/3253c3c0b-6151-4821-8d7e-bc11dbd331d2'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	False	NMNH Extant Biology	M. L. Jones, W. Byas & D. Pawson	Child, C. Allan, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)	Alcohol (Ethanol)		WGS84	Pycnogonida	PA	[]	[]	LATIN_AMERICA	Panama	NORTH_AMERICA	http://n2t.net/ark:/65665/3253c3c0b-6151-4821-8d7e-bc11dbd331d2		urn:lsid:biocol.org:col:34871	Panama Bay, Paitilla Point	IZ	1318044865	http://n2t.net/ark:/65665/3253c3c0b-6151-4821-8d7e-bc11dbd331d2		USNM 169215	USNM	84-C	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Callipallenidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6		Canal Zone	North Pacific Ocean, Gulf of Panama, Panama, Canal Zone	2014-10-20T14:16:00.000+00:00	13 APR 1972				Intertidal			approximate																
