key	datasetKey	publishingOrgKey	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	depth	depthAccuracy	gadm	waterBody	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	institutionKey	isInCluster	datasetName	samplingProtocol	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	eventID	identifier	catalogNumber	scientificNameID	institutionCode	footprintWKT	eventTime	locality	fieldNumber	gbifID	collectionCode	occurrenceID	networkKeys	collectionKey	recordedBy	identifiedBy	preparations	institutionID	verbatimDepth	ownerInstitutionCode	parentEventID	collectionID	organismQuantity	organismQuantityType	sampleSizeUnit	sampleSizeValue	samplingEffort	eventRemarks	fieldNotes	nameAccordingToID	individualCount	modified	associatedSequences	verbatimCoordinateSystem	datasetID	geologicalContextID	dateIdentified	coordinateUncertaintyInMeters	stateProvince	habitat	county	occurrenceRemarks	otherCatalogNumbers	verbatimIdentification	dynamicProperties	higherClassification	establishmentMeans	higherGeography	nomenclaturalCode	verbatimEventDate	verbatimLocality	language	type	georeferenceRemarks	typeStatus	acceptedNameUsage	continent	references	taxonConceptID	taxonID	sex
1265470596	99006141-bf02-4821-8e6e-5818a1cbf70a	ff265032-b806-411a-b4b8-15a27b767dce	56b3ccf5-ad40-433f-997e-1eeb565a5889	ff265032-b806-411a-b4b8-15a27b767dce	NO	EML	2024-04-11T12:43:11.848+00:00	2024-04-11T12:43:34.782+00:00	330	{'http://rs.iobis.org/obis/terms/ExtendedMeasurementOrFact': [{'http://rs.tdwg.org/dwc/terms/measurementUnit': 'Number per 100 square meter', 'http://rs.tdwg.org/dwc/terms/measurementValue': '4', 'http://rs.iobis.org/obis/terms/measurementTypeID': 'http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL02/', 'http://rs.tdwg.org/dwc/terms/occurrenceID': '087710003003007', 'http://rs.tdwg.org/dwc/terms/measurementType': 'Abundance'}, {'http://rs.tdwg.org/dwc/terms/measurementUnit': 'Gram biomass per 100 square meter', 'http://rs.tdwg.org/dwc/terms/measurementValue': '0.08373980230500276', 'http://rs.iobis.org/obis/terms/measurementTypeID': 'http://vocab.nerc.ac.uk/collection/P01/current/ODRYBM01/', 'http://rs.tdwg.org/dwc/terms/occurrenceID': '087710003003007', 'http://rs.tdwg.org/dwc/terms/measurementType': 'Biomass'}]}	MATERIAL_SAMPLE	PRESENT	2118332	1	54	354	9477065	4338615	2118315	2118332	2118332	Ascorhynchus abyssi Sars, 1877	Ascorhynchus abyssi Sars, 1877	Animalia	Arthropoda	Pantopoda	Ascorhynchidae	Ascorhynchus	Ascorhynchus abyssi	Ascorhynchus	abyssi	SPECIES	ACCEPTED	NE	68.48628	9.751117	2600.175	3.0150000000001	{}	Norwegian Sea	2012.0	4.0	30.0	2012-04-30T18:26Z/2012-04-30T18:31Z	121.0	121.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2024-04-11T12:43:34.782+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '087710003003007'}]	[]	[]	[]	1711d910-22c6-415c-bb34-9f226ec314ca	False	beamtrawl_2006-2022	Beamtrawl,Subsample method: Sieve content - Mesh size (mm): 5.0	WGS84	Pycnogonida	NO	[]	[]	EUROPE	Norway	EUROPE	Cruise: 58GS-2012106 Sample: 3	087710003003007	087710003003007	urn:lsid:marinespecies.org:taxname:134618	IMR	LINESTRING(9.751117 68.48628,9.746168 68.487307)	18:26Z/18:31Z	MAREANO Reference Station: 877	catchId: 7	1265470596	IMRMarbunnBenthos	087710003003007																																																	
1265469315	99006141-bf02-4821-8e6e-5818a1cbf70a	ff265032-b806-411a-b4b8-15a27b767dce	56b3ccf5-ad40-433f-997e-1eeb565a5889	ff265032-b806-411a-b4b8-15a27b767dce	NO	EML	2024-04-11T12:43:11.848+00:00	2024-04-11T12:43:32.501+00:00	330	{'http://rs.iobis.org/obis/terms/ExtendedMeasurementOrFact': [{'http://rs.tdwg.org/dwc/terms/measurementUnit': 'Gram biomass per 100 square meter', 'http://rs.tdwg.org/dwc/terms/measurementValue': '0.00225812054889699', 'http://rs.iobis.org/obis/terms/measurementTypeID': 'http://vocab.nerc.ac.uk/collection/P01/current/ODRYBM01/', 'http://rs.tdwg.org/dwc/terms/occurrenceID': '077610004004016', 'http://rs.tdwg.org/dwc/terms/measurementType': 'Biomass'}]}	MATERIAL_SAMPLE	PRESENT	2118332	1	54	354	9477065	4338615	2118315	2118332	2118332	Ascorhynchus abyssi Sars, 1877	Ascorhynchus abyssi Sars, 1877	Animalia	Arthropoda	Pantopoda	Ascorhynchidae	Ascorhynchus	Ascorhynchus abyssi	Ascorhynchus	abyssi	SPECIES	ACCEPTED	NE	68.18436	10.338713	874.34	1.240000000000009	{}	Norwegian Sea	2012.0	5.0	2.0	2012-05-02T06:50Z/2012-05-02T06:56Z	123.0	123.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2024-04-11T12:43:32.501+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '077610004004016'}]	[]	[]	[]	1711d910-22c6-415c-bb34-9f226ec314ca	False	beamtrawl_2006-2022	Beamtrawl,Subsample method: Sieve content - Mesh size (mm): 5.0	WGS84	Pycnogonida	NO	[]	[]	EUROPE	Norway	EUROPE	Cruise: 58GS-2012106 Sample: 4	077610004004016	077610004004016	urn:lsid:marinespecies.org:taxname:134618	IMR	LINESTRING(10.338713 68.18436,10.331773 68.184117)	06:50Z/06:56Z	MAREANO Reference Station: 776	catchId: 16	1265469315	IMRMarbunnBenthos	077610004004016																																																	
4444205889	97169dfa-325b-4c1e-af91-3ef023f8a498	9abe4949-29aa-450e-b767-b2788f66e04d	da87027f-12b5-442f-b132-0f6f25acfd53	9abe4949-29aa-450e-b767-b2788f66e04d	RU	EML	2024-06-18T12:44:43.404+00:00	2024-06-18T12:44:58.928+00:00	69	{}	PRESERVED_SPECIMEN	PRESENT	2118332	1	54	354	9477065	4338615	2118315	2118332	2118332	Ascorhynchus abyssi Sars, 1877	Ascorhynchus abyssi Sars, 1877	Animalia	Arthropoda	Pantopoda	Ascorhynchidae	Ascorhynchus	Ascorhynchus abyssi	Ascorhynchus	abyssi	SPECIES	ACCEPTED	NE	83.967333	77.681333			{}	Arctic Ocean	2012.0	8.0	17.0	2012-08-17	230.0	230.0	[]	2024-06-18T12:44:58.928+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': '978e975d-1628-433c-b08f-10eb03b73e12'}]	[]	[]	[]	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	False		Agassiz Trawl	WGS84	Pycnogonida	RU	[]	[]	EUROPE	Russian Federation	EUROPE	RV Polarstern_cruise XXVII/3_st.249-1	978e975d-1628-433c-b08f-10eb03b73e12	INV0003263		IORAS			Arctic Ocean	249-1	4444205889	OBFc	978e975d-1628-433c-b08f-10eb03b73e12	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	fd699988-ab5d-4737-9443-9085cea191d2	RV Polarstern	Turpaeva, Elena	EtOH 96%	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	3470.0 m	IORAS	cruise XXVII/3	fd699988-ab5d-4737-9443-9085cea191d2																																							
3122694497	37497bf7-31a0-4fd5-9591-2b47004f5ab9	9abe4949-29aa-450e-b767-b2788f66e04d	da87027f-12b5-442f-b132-0f6f25acfd53	9abe4949-29aa-450e-b767-b2788f66e04d	RU	EML	2024-07-02T09:56:45.698+00:00	2024-07-02T09:57:06.608+00:00	155	{}	HUMAN_OBSERVATION	PRESENT	2118332	1	54	354	9477065	4338615	2118315	2118332	2118332	Ascorhynchus abyssi Sars, 1877	Ascorhynchus abyssi Sars, 1877	Animalia	Arthropoda	Pantopoda	Ascorhynchidae	Ascorhynchus	Ascorhynchus abyssi	Ascorhynchus	abyssi	SPECIES	ACCEPTED	NE	84.01	31.36	4010.5	0.5	{}		2012.0	8.0	10.0	2012-08-10T07:27	223.0	223.0	[]	2024-07-02T09:57:06.608+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': 'mb:OFOS:ARK-XXVII/3:212'}]	[]	[]	[]		False		photo transect	WGS84	Pycnogonida		[]	[]			EUROPE	PS80/228	mb:OFOS:ARK-XXVII/3:212						Nansen Basin	St.PS80/228	3122694497		mb:OFOS:ARK-XXVII/3:212				Elena Rybakova			4010-4011 m	IORAS	cruise ARK-XXVII/3		0.017	individuals per square metre	square metre	2308.0	637 analyzed images	Ice Station 1	RV Polarstern	https://doi.org/10.1371/journal.pone.0211009																															
3122694498	37497bf7-31a0-4fd5-9591-2b47004f5ab9	9abe4949-29aa-450e-b767-b2788f66e04d	da87027f-12b5-442f-b132-0f6f25acfd53	9abe4949-29aa-450e-b767-b2788f66e04d	RU	EML	2024-07-02T09:56:45.698+00:00	2024-07-02T09:57:06.612+00:00	155	{}	HUMAN_OBSERVATION	PRESENT	2118332	1	54	354	9477065	4338615	2118315	2118332	2118332	Ascorhynchus abyssi Sars, 1877	Ascorhynchus abyssi Sars, 1877	Animalia	Arthropoda	Pantopoda	Ascorhynchidae	Ascorhynchus	Ascorhynchus abyssi	Ascorhynchus	abyssi	SPECIES	ACCEPTED	NE	83.98	78.01	3473.0	4.0	{}		2012.0	8.0	14.0	2012-08-14T15:17	227.0	227.0	['COUNTRY_DERIVED_FROM_COORDINATES']	2024-07-02T09:57:06.612+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': 'mb:OFOS:ARK-XXVII/3:213'}]	[]	[]	[]		False		photo transect	WGS84	Pycnogonida	RU	[]	[]	EUROPE	Russian Federation	EUROPE	PS80/239	mb:OFOS:ARK-XXVII/3:213						Nansen Basin	St.PS80/239	3122694498		mb:OFOS:ARK-XXVII/3:213				Elena Rybakova			3477-3469 m	IORAS	cruise ARK-XXVII/3		0.005	individuals per square metre	square metre	3379.0	941 analyzed images	Ice Station 2	RV Polarstern	https://doi.org/10.1371/journal.pone.0211009																															
3122694501	37497bf7-31a0-4fd5-9591-2b47004f5ab9	9abe4949-29aa-450e-b767-b2788f66e04d	da87027f-12b5-442f-b132-0f6f25acfd53	9abe4949-29aa-450e-b767-b2788f66e04d	RU	EML	2024-07-02T09:56:45.698+00:00	2024-07-02T09:57:06.630+00:00	155	{}	HUMAN_OBSERVATION	PRESENT	2118332	1	54	354	9477065	4338615	2118315	2118332	2118332	Ascorhynchus abyssi Sars, 1877	Ascorhynchus abyssi Sars, 1877	Animalia	Arthropoda	Pantopoda	Ascorhynchidae	Ascorhynchus	Ascorhynchus abyssi	Ascorhynchus	abyssi	SPECIES	ACCEPTED	NE	82.69	109.6	3573.5	1.5	{}		2012.0	8.0	20.0	2012-08-20T10:34	233.0	233.0	['COUNTRY_DERIVED_FROM_COORDINATES']	2024-07-02T09:57:06.630+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': 'mb:OFOS:ARK-XXVII/3:214'}]	[]	[]	[]		False		photo transect	WGS84	Pycnogonida	RU	[]	[]	EUROPE	Russian Federation	EUROPE	PS80/257	mb:OFOS:ARK-XXVII/3:214						Nansen Basin	St.PS80/257	3122694501		mb:OFOS:ARK-XXVII/3:214				Elena Rybakova			3572-3575 m	IORAS	cruise ARK-XXVII/3		0.015	individuals per square metre	square metre	2085.0	675 analyzed images	Ice Station 3	RV Polarstern	https://doi.org/10.1371/journal.pone.0211009																															
3122694502	37497bf7-31a0-4fd5-9591-2b47004f5ab9	9abe4949-29aa-450e-b767-b2788f66e04d	da87027f-12b5-442f-b132-0f6f25acfd53	9abe4949-29aa-450e-b767-b2788f66e04d	RU	EML	2024-07-02T09:56:45.698+00:00	2024-07-02T09:57:06.635+00:00	155	{}	HUMAN_OBSERVATION	PRESENT	2118332	1	54	354	9477065	4338615	2118315	2118332	2118332	Ascorhynchus abyssi Sars, 1877	Ascorhynchus abyssi Sars, 1877	Animalia	Arthropoda	Pantopoda	Ascorhynchidae	Ascorhynchus	Ascorhynchus abyssi	Ascorhynchus	abyssi	SPECIES	ACCEPTED	NE	82.89	129.88	4170.0	2.0	{}		2012.0	8.0	26.0	2012-08-26T07:32	239.0	239.0	[]	2024-07-02T09:57:06.635+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': 'mb:OFOS:ARK-XXVII/3:215'}]	[]	[]	[]		False		photo transect	WGS84	Pycnogonida		[]	[]			EUROPE	PS80/282	mb:OFOS:ARK-XXVII/3:215						Amundsen Basin	St.PS80/282	3122694502		mb:OFOS:ARK-XXVII/3:215				Elena Rybakova			4168-4172 m	IORAS	cruise ARK-XXVII/3		0.166	individuals per square metre	square metre	2259.0	739 analyzed images	Ice Station 4	RV Polarstern	https://doi.org/10.1371/journal.pone.0211009																															
4444205882	97169dfa-325b-4c1e-af91-3ef023f8a498	9abe4949-29aa-450e-b767-b2788f66e04d	da87027f-12b5-442f-b132-0f6f25acfd53	9abe4949-29aa-450e-b767-b2788f66e04d	RU	EML	2024-06-18T12:44:43.404+00:00	2024-06-18T12:44:58.924+00:00	69	{}	PRESERVED_SPECIMEN	PRESENT	2118332	1	54	354	9477065	4338615	2118315	2118332	2118332	Ascorhynchus abyssi Sars, 1877	Ascorhynchus abyssi Sars, 1877	Animalia	Arthropoda	Pantopoda	Ascorhynchidae	Ascorhynchus	Ascorhynchus abyssi	Ascorhynchus	abyssi	SPECIES	ACCEPTED	NE	81.909333	130.876667			{}	Arctic Ocean	2012.0	9.0	5.0	2012-09-05	249.0	249.0	[]	2024-06-18T12:44:58.924+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': '3e961b23-037a-4892-8f27-c53d3e3dd427'}]	[]	[]	[]	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	False		Agassiz Trawl	WGS84	Pycnogonida		[]	[]			EUROPE	RV Polarstern_cruise XXVII/3_st.332-1	3e961b23-037a-4892-8f27-c53d3e3dd427	INV0003262		IORAS			Arctic Ocean	332-1	4444205882	OBFc	3e961b23-037a-4892-8f27-c53d3e3dd427	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	fd699988-ab5d-4737-9443-9085cea191d2	RV Polarstern	Turpaeva, Elena	EtOH 96%	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	4038.0 - 4039.0 m	IORAS	cruise XXVII/3	fd699988-ab5d-4737-9443-9085cea191d2																																							
4444205729	97169dfa-325b-4c1e-af91-3ef023f8a498	9abe4949-29aa-450e-b767-b2788f66e04d	da87027f-12b5-442f-b132-0f6f25acfd53	9abe4949-29aa-450e-b767-b2788f66e04d	RU	EML	2024-06-18T12:44:43.404+00:00	2024-06-18T12:44:58.883+00:00	69	{}	PRESERVED_SPECIMEN	PRESENT	2118332	1	54	354	9477065	4338615	2118315	2118332	2118332	Ascorhynchus abyssi Sars, 1877	Ascorhynchus abyssi Sars, 1877	Animalia	Arthropoda	Pantopoda	Ascorhynchidae	Ascorhynchus	Ascorhynchus abyssi	Ascorhynchus	abyssi	SPECIES	ACCEPTED	NE	85.0725	122.707			{}	Arctic Ocean	2012.0	9.0	9.0	2012-09-09	253.0	253.0	[]	2024-06-18T12:44:58.883+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': 'ef04dd13-2c3f-4c1a-9d09-bce84178d6b3'}]	[]	[]	[]	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	False		Agassiz trawl	WGS84	Pycnogonida		[]	[]			EUROPE	RV Polarstern_cruise XXVII/3_st.346-1	ef04dd13-2c3f-4c1a-9d09-bce84178d6b3	INV0003258		IORAS			Central Arctic Ocean	346-1	4444205729	OBFc	ef04dd13-2c3f-4c1a-9d09-bce84178d6b3	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	fd699988-ab5d-4737-9443-9085cea191d2	RV Polarstern	Turpaeva, Elena	EtOH 96%	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	4353.0 - 4354.0 m	IORAS	cruise XXVII/3	fd699988-ab5d-4737-9443-9085cea191d2																																							
3122694503	37497bf7-31a0-4fd5-9591-2b47004f5ab9	9abe4949-29aa-450e-b767-b2788f66e04d	da87027f-12b5-442f-b132-0f6f25acfd53	9abe4949-29aa-450e-b767-b2788f66e04d	RU	EML	2024-07-02T09:56:45.698+00:00	2024-07-02T09:57:06.643+00:00	155	{}	HUMAN_OBSERVATION	PRESENT	2118332	1	54	354	9477065	4338615	2118315	2118332	2118332	Ascorhynchus abyssi Sars, 1877	Ascorhynchus abyssi Sars, 1877	Animalia	Arthropoda	Pantopoda	Ascorhynchidae	Ascorhynchus	Ascorhynchus abyssi	Ascorhynchus	abyssi	SPECIES	ACCEPTED	NE	81.92	130.92	4037.5	4.5	{}		2012.0	9.0	4.0	2012-09-04T18:59	248.0	248.0	[]	2024-07-02T09:57:06.643+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': 'mb:OFOS:ARK-XXVII/3:216'}]	[]	[]	[]		False		photo transect	WGS84	Pycnogonida		[]	[]			EUROPE	PS80/327	mb:OFOS:ARK-XXVII/3:216						Amundsen Basin	St.PS80/327	3122694503		mb:OFOS:ARK-XXVII/3:216				Elena Rybakova			4042-4033 m	IORAS	cruise ARK-XXVII/3		0.151	individuals per square metre	square metre	1871.0	731 analyzed images	Ice Station 5	RV Polarstern	https://doi.org/10.1371/journal.pone.0211009																															
