key	datasetKey	publishingOrgKey	networkKeys	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	individualCount	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	depth	depthAccuracy	gadm	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	modified	lastInterpreted	license	organismQuantity	organismQuantityType	sampleSizeUnit	isSequenced	identifiers	media	facts	relations	isInCluster	identifiedBy	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	eventID	identifier	catalogNumber	scientificNameID	institutionCode	footprintWKT	fieldNumber	gbifID	occurrenceRemarks	collectionCode	occurrenceID	institutionKey	recordedBy	recordNumber	bibliographicCitation	locality	preparations	rightsHolder	nomenclaturalCode	institutionID	verbatimEventDate	higherClassification	sex	otherCatalogNumbers	dynamicProperties	waterBody	higherGeography	collectionKey	datasetName	georeferenceProtocol	verbatimCoordinateSystem	locationID	collectionID	stateProvince
4140622409	5bf5a032-d602-4217-a355-4f71117a6310	5fa89f68-9af0-4a0d-8998-ea39695c1db9	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	729a7375-b120-4e4f-bb81-ad9badcca81b	5fa89f68-9af0-4a0d-8998-ea39695c1db9	AU	EML	2024-07-02T09:35:43.745+00:00	2024-07-02T09:36:07.263+00:00	54	{'http://rs.iobis.org/obis/terms/ExtendedMeasurementOrFact': [{'http://rs.tdwg.org/dwc/terms/measurementID': 'CS-IN2015_C01-1-2549172-33013008-10-specimen-count', 'http://rs.tdwg.org/dwc/terms/measurementValue': '2', 'http://rs.tdwg.org/dwc/terms/occurrenceID': 'CS-IN2015_C01-1-2549172-33013008-10', 'http://rs.tdwg.org/dwc/terms/measurementType': 'Specimen Count'}, {'http://rs.tdwg.org/dwc/terms/measurementUnit': 'gram', 'http://rs.tdwg.org/dwc/terms/measurementID': 'CS-IN2015_C01-1-2549172-33013008-10-weight', 'http://rs.tdwg.org/dwc/terms/measurementValue': '3.5', 'http://rs.tdwg.org/dwc/terms/occurrenceID': 'CS-IN2015_C01-1-2549172-33013008-10', 'http://rs.iobis.org/obis/terms/measurementUnitID': 'http://vocab.nerc.ac.uk/collection/P06/current/UGRM', 'http://rs.tdwg.org/dwc/terms/measurementType': 'Weight'}]}	HUMAN_OBSERVATION	2.0	PRESENT	2118343	1	54	354	9477065	4338615	2118315	2118343	2118343	Ascorhynchus armatus (Wilson, 1881)	Ascorhynchus armatus (Wilson, 1881)	Animalia	Arthropoda	Pantopoda	Ascorhynchidae	Ascorhynchus	Ascorhynchus armatus	Ascorhynchus	armatus	SPECIES	ACCEPTED	NE	-34.2956	131.383	100.0	2806.0	0.0	{}	2015.0	10.0	23.0	2015-10-23T00:28:41Z	296.0	296.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'IDENTIFIED_DATE_INVALID']	2022-08-29T02:39:12.000+00:00	2024-07-02T09:36:07.263+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	2.0	individuals	IN2015_C01	False	[{'identifier': 'CS-IN2015_C01-1-2549172-33013008-10'}]	[]	[]	[]	False	D.A. Staples	WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA	IN2015_C01:1	CS-IN2015_C01-1-2549172-33013008-10	IN2015_C01_001_101	urn:lsid:marinespecies.org:taxname:134620	CSIRO	POINT (131.3830  -34.2956)	IN2015_C01:1	4140622409	Occurrence Type: Catch specimen	GAB-RP	CS-IN2015_C01-1-2549172-33013008-10																							
4147429726	cb01f1fc-42c4-4267-a5db-475b40ef199b	5fa89f68-9af0-4a0d-8998-ea39695c1db9	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	729a7375-b120-4e4f-bb81-ad9badcca81b	5fa89f68-9af0-4a0d-8998-ea39695c1db9	AU	EML	2023-12-14T07:50:20.096+00:00	2024-01-25T00:29:26.572+00:00	32	"{'http://rs.tdwg.org/ac/terms/Multimedia': [{'http://rs.tdwg.org/ac/terms/physicalSetting': 'Artificial', 'http://rs.tdwg.org/dwc/terms/scientificNameID': 'urn:lsid:marinespecies.org:taxname:134620', 'http://rs.tdwg.org/ac/terms/taxonCount': '1', 'http://rs.tdwg.org/ac/terms/subjectPart': 'Whole', 'http://rs.tdwg.org/ac/terms/accessURI': 'https://www.marine.csiro.au/data/caab/image_details.cfm?catalog_number=MIIC-04783', 'http://purl.org/dc/elements/1.1/format': 'StillImage', 'http://purl.org/dc/terms/type': 'StillImage', 'http://purl.org/dc/elements/1.1/type': 'StillImage', 'http://purl.org/dc/terms/format': 'StillImage', 'http://rs.tdwg.org/ac/terms/variant': 'Landing page', 'http://rs.tdwg.org/dwc/terms/identifiedBy': 'Karen Gowlett-Holmes', 'http://purl.org/dc/terms/identifier': 'https://www.marine.csiro.au/data/caab/image_details.cfm?catalog_number=MIIC-04783', 'http://rs.tdwg.org/ac/terms/variantDescription': 'Image Catalogue', 'http://rs.tdwg.org/dwc/terms/scientificName': 'Ascorhynchus armatus'}, {'http://rs.tdwg.org/ac/terms/physicalSetting': 'Artificial', 'http://rs.tdwg.org/dwc/terms/scientificNameID': 'urn:lsid:marinespecies.org:taxname:134620', 'http://rs.tdwg.org/ac/terms/taxonCount': '1', 'http://ns.adobe.com/exif/1.0/PixelYDimension': '150', 'http://rs.tdwg.org/ac/terms/subjectPart': 'Whole', 'http://rs.tdwg.org/ac/terms/accessURI': 'https://www.marine.csiro.au/datacentre/caab/images/MIIC/thumbs/33013008-IN2015-C01-001-101a-Ascorhynchus-armatus.jpg', 'http://purl.org/dc/elements/1.1/format': 'StillImage', 'http://rs.tdwg.org/ac/terms/caption': 'Ascorhynchus armatus [<a href=""https://www.marine.csiro.au/data/caab/image_details.cfm?catalog_number=MIIC-04783"">view details</a>]', 'http://ns.adobe.com/exif/1.0/PixelXDimension': '150', 'http://purl.org/dc/terms/type': 'StillImage', 'http://purl.org/dc/elements/1.1/type': 'StillImage', 'http://purl.org/dc/terms/format': 'StillImage', 'http://rs.tdwg.org/ac/terms/variant': 'ac:Thumbnail', 'http://rs.tdwg.org/dwc/terms/identifiedBy': 'Karen Gowlett-Holmes', 'http://purl.org/dc/terms/identifier': 'https://www.marine.csiro.au/datacentre/caab/images/MIIC/thumbs/33013008-IN2015-C01-001-101a-Ascorhynchus-armatus.jpg', 'http://rs.tdwg.org/ac/terms/variantDescription': 'Thumbnail for external use.', 'http://rs.tdwg.org/dwc/terms/scientificName': 'Ascorhynchus armatus'}]}"	PRESERVED_SPECIMEN		PRESENT	2118343	1	54	354	9477065	4338615	2118315	2118343	2118343	Ascorhynchus armatus (Wilson, 1881)	Ascorhynchus armatus (Wilson, 1881)	Animalia	Arthropoda	Pantopoda	Ascorhynchidae	Ascorhynchus	Ascorhynchus armatus	Ascorhynchus	armatus	SPECIES	ACCEPTED	NE	-43.2365	147.49	200.0	815.7	0.0	{}	2015.0	10.0	23.0	2015-10-23T00:00	296.0	296.0	['COUNTRY_DERIVED_FROM_COORDINATES', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2023-07-11T05:57:33.000+00:00	2024-01-25T00:29:26.572+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	1.0	individuals		False	[{'identifier': 'urn:csiro:MIIC:MIIC-04783'}]	"[{'type': 'StillImage', 'format': 'text/html', 'identifier': 'https://www.marine.csiro.au/data/caab/image_details.cfm?catalog_number=MIIC-04783'}, {'type': 'StillImage', 'format': 'image/jpeg', 'description': 'Ascorhynchus armatus [<a href=""https://www.marine.csiro.au/data/caab/image_details.cfm?catalog_number=MIIC-04783"">view details</a>]', 'identifier': 'https://www.marine.csiro.au/datacentre/caab/images/MIIC/thumbs/33013008-IN2015-C01-001-101a-Ascorhynchus-armatus.jpg'}]"	[]	[]	False	Karen Gowlett-Holmes	WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA		urn:csiro:MIIC:MIIC-04783	MIIC-04783	urn:lsid:marinespecies.org:taxname:134620	CSIRO	POINT (147.49000 -43.23650)	IN2015_C01-001	4147429726		MIIC	urn:csiro:MIIC:MIIC-04783	cd1bb9e8-49b5-4266-8871-a44a992153d5	Karen Gowlett-Holmes	IN2015_C01_001_101	CSIRO Marine Invertebrate Image Collection (MIIC)																			
4147429722	cb01f1fc-42c4-4267-a5db-475b40ef199b	5fa89f68-9af0-4a0d-8998-ea39695c1db9	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	729a7375-b120-4e4f-bb81-ad9badcca81b	5fa89f68-9af0-4a0d-8998-ea39695c1db9	AU	EML	2023-12-14T07:50:20.096+00:00	2024-01-25T00:29:26.572+00:00	32	"{'http://rs.tdwg.org/ac/terms/Multimedia': [{'http://rs.tdwg.org/ac/terms/physicalSetting': 'Artificial', 'http://rs.tdwg.org/dwc/terms/scientificNameID': 'urn:lsid:marinespecies.org:taxname:134620', 'http://rs.tdwg.org/ac/terms/taxonCount': '1', 'http://rs.tdwg.org/ac/terms/subjectPart': 'Whole', 'http://rs.tdwg.org/ac/terms/accessURI': 'https://www.marine.csiro.au/data/caab/image_details.cfm?catalog_number=MIIC-04784', 'http://purl.org/dc/elements/1.1/format': 'StillImage', 'http://purl.org/dc/terms/type': 'StillImage', 'http://purl.org/dc/elements/1.1/type': 'StillImage', 'http://purl.org/dc/terms/format': 'StillImage', 'http://rs.tdwg.org/ac/terms/variant': 'Landing page', 'http://rs.tdwg.org/dwc/terms/identifiedBy': 'Karen Gowlett-Holmes', 'http://purl.org/dc/terms/identifier': 'https://www.marine.csiro.au/data/caab/image_details.cfm?catalog_number=MIIC-04784', 'http://rs.tdwg.org/ac/terms/variantDescription': 'Image Catalogue', 'http://rs.tdwg.org/dwc/terms/scientificName': 'Ascorhynchus armatus'}, {'http://rs.tdwg.org/ac/terms/physicalSetting': 'Artificial', 'http://rs.tdwg.org/dwc/terms/scientificNameID': 'urn:lsid:marinespecies.org:taxname:134620', 'http://rs.tdwg.org/ac/terms/taxonCount': '1', 'http://ns.adobe.com/exif/1.0/PixelYDimension': '150', 'http://rs.tdwg.org/ac/terms/subjectPart': 'Whole', 'http://rs.tdwg.org/ac/terms/accessURI': 'https://www.marine.csiro.au/datacentre/caab/images/MIIC/thumbs/33013008-IN2015-C01-001-101b-Ascorhynchus-armatus.jpg', 'http://purl.org/dc/elements/1.1/format': 'StillImage', 'http://rs.tdwg.org/ac/terms/caption': 'Ascorhynchus armatus [<a href=""https://www.marine.csiro.au/data/caab/image_details.cfm?catalog_number=MIIC-04784"">view details</a>]', 'http://ns.adobe.com/exif/1.0/PixelXDimension': '150', 'http://purl.org/dc/terms/type': 'StillImage', 'http://purl.org/dc/elements/1.1/type': 'StillImage', 'http://purl.org/dc/terms/format': 'StillImage', 'http://rs.tdwg.org/ac/terms/variant': 'ac:Thumbnail', 'http://rs.tdwg.org/dwc/terms/identifiedBy': 'Karen Gowlett-Holmes', 'http://purl.org/dc/terms/identifier': 'https://www.marine.csiro.au/datacentre/caab/images/MIIC/thumbs/33013008-IN2015-C01-001-101b-Ascorhynchus-armatus.jpg', 'http://rs.tdwg.org/ac/terms/variantDescription': 'Thumbnail for external use.', 'http://rs.tdwg.org/dwc/terms/scientificName': 'Ascorhynchus armatus'}]}"	PRESERVED_SPECIMEN		PRESENT	2118343	1	54	354	9477065	4338615	2118315	2118343	2118343	Ascorhynchus armatus (Wilson, 1881)	Ascorhynchus armatus (Wilson, 1881)	Animalia	Arthropoda	Pantopoda	Ascorhynchidae	Ascorhynchus	Ascorhynchus armatus	Ascorhynchus	armatus	SPECIES	ACCEPTED	NE	-43.2365	147.49	200.0	815.7	0.0	{}	2015.0	10.0	23.0	2015-10-23T00:00	296.0	296.0	['COUNTRY_DERIVED_FROM_COORDINATES', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2023-07-11T05:57:33.000+00:00	2024-01-25T00:29:26.572+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	1.0	individuals		False	[{'identifier': 'urn:csiro:MIIC:MIIC-04784'}]	"[{'type': 'StillImage', 'format': 'text/html', 'identifier': 'https://www.marine.csiro.au/data/caab/image_details.cfm?catalog_number=MIIC-04784'}, {'type': 'StillImage', 'format': 'image/jpeg', 'description': 'Ascorhynchus armatus [<a href=""https://www.marine.csiro.au/data/caab/image_details.cfm?catalog_number=MIIC-04784"">view details</a>]', 'identifier': 'https://www.marine.csiro.au/datacentre/caab/images/MIIC/thumbs/33013008-IN2015-C01-001-101b-Ascorhynchus-armatus.jpg'}]"	[]	[]	False	Karen Gowlett-Holmes	WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA		urn:csiro:MIIC:MIIC-04784	MIIC-04784	urn:lsid:marinespecies.org:taxname:134620	CSIRO	POINT (147.49000 -43.23650)	IN2015_C01-001	4147429722		MIIC	urn:csiro:MIIC:MIIC-04784	cd1bb9e8-49b5-4266-8871-a44a992153d5	Karen Gowlett-Holmes	IN2015_C01_001_101	CSIRO Marine Invertebrate Image Collection (MIIC)																			
201109040	96309e26-f762-11e1-a439-00145eb45e9a	61e40671-1a75-4bcd-9a0d-63515057d39d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	791e3715-7452-4dd0-a906-db21a3852427	5d5e5d82-076c-4e9a-b5b0-c88d1b691a6a	FR	EML	2023-12-11T15:23:37.871+00:00	2024-01-24T22:32:51.171+00:00	258	{}	PRESERVED_SPECIMEN		PRESENT	2118343	1	54	354	9477065	4338615	2118315	2118343	2118343	Ascorhynchus armatus (Wilson, 1881)	Ascorhynchus armatus (Wilson, 1881)	Animalia	Arthropoda	Pantopoda	Ascorhynchidae	Ascorhynchus	Ascorhynchus armatus	Ascorhynchus	armatus	SPECIES	ACCEPTED	NE	20.5333	-18.6		2042.0	0.0	{}	1992.0	6.0	5.0	1992-06-05	157.0	157.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'INSTITUTION_MATCH_NONE']		2024-01-24T22:32:51.171+00:00	http://creativecommons.org/licenses/by/4.0/legalcode				False	[{'identifier': '201109040'}]	[]	[]	[]	True	STOCK Jan	WGS84	Pycnogonida	EH	[]	[]	AFRICA	Western Sahara	EUROPE			48419		Ifremer			201109040		Biocean	201109040		BUAT Menard Patrick			Atlantique est tropical																		
811979857	96309e26-f762-11e1-a439-00145eb45e9a	61e40671-1a75-4bcd-9a0d-63515057d39d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	791e3715-7452-4dd0-a906-db21a3852427	5d5e5d82-076c-4e9a-b5b0-c88d1b691a6a	FR	EML	2023-12-11T15:23:37.871+00:00	2024-01-24T22:32:54.181+00:00	258	{}	PRESERVED_SPECIMEN		PRESENT	2118343	1	54	354	9477065	4338615	2118315	2118343	2118343	Ascorhynchus armatus (Wilson, 1881)	Ascorhynchus armatus (Wilson, 1881)	Animalia	Arthropoda	Pantopoda	Ascorhynchidae	Ascorhynchus	Ascorhynchus armatus	Ascorhynchus	armatus	SPECIES	ACCEPTED	NE	20.5333	-18.6		2042.0	0.0	{}	1992.0	6.0	5.0	1992-06-05	157.0	157.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'INSTITUTION_MATCH_NONE']		2024-01-24T22:32:54.181+00:00	http://creativecommons.org/licenses/by/4.0/legalcode				False	[{'identifier': '811979857'}]	[]	[]	[]	True	STOCK Jan	WGS84	Pycnogonida	EH	[]	[]	AFRICA	Western Sahara	EUROPE			48419		Ifremer			811979857		bio_dba	811979857		BUAT Menard Patrick			Atlantique est tropical																		
2434401200	b4aad9c3-518b-4550-82de-c70a7ead1b64	396d5f30-dea9-11db-8ab4-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	65eb93af-41b8-4917-a5fc-cfe2a45aa4bf	396d5f30-dea9-11db-8ab4-b8a03c50a862	NL	DWC_ARCHIVE	2024-07-23T00:32:26.361+00:00	2024-07-23T00:33:36.378+00:00	393	{}	PRESERVED_SPECIMEN	92.0	PRESENT	2118343	1	54	354	9477065	4338615	2118315	2118343	2118343	Ascorhynchus armatus (Wilson, 1881)	Ascorhynchus armatus (Wilson, 1881)	Animalia	Arthropoda	Pantopoda	Ascorhynchidae	Ascorhynchus	Ascorhynchus armatus	Ascorhynchus	armatus	SPECIES	ACCEPTED	NE	20.533333	-18.6				{}	1992.0	6.0	5.0	1992-06-05	157.0	157.0	['COORDINATE_ROUNDED', 'COUNTRY_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2019-03-08T00:00:00.000+00:00	2024-07-23T00:33:36.378+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode				False	[{'identifier': 'ZMA.PYC.201659@CRS'}]	[]	[]	[]	True	Stock J.H.	WGS84	Pycnogonida	EH	[]	[]	AFRICA	Western Sahara	EUROPE		ZMA.PYC.201659@CRS	ZMA.PYC.201659					2434401200		Chelicerata and Myriapoda	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.PYC.201659	0e919a55-08d3-4bd2-aec1-200858fafd92					WholeOrganism (wet specimen)	Naturalis Biodiversity Center	ICZN	Naturalis Biodiversity Center	05 jun 1992	Animalia|Ascorhynchidae												
201109041	96309e26-f762-11e1-a439-00145eb45e9a	61e40671-1a75-4bcd-9a0d-63515057d39d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	791e3715-7452-4dd0-a906-db21a3852427	5d5e5d82-076c-4e9a-b5b0-c88d1b691a6a	FR	EML	2023-12-11T15:23:37.871+00:00	2024-01-24T22:32:51.171+00:00	258	{}	PRESERVED_SPECIMEN		PRESENT	2118343	1	54	354	9477065	4338615	2118315	2118343	2118343	Ascorhynchus armatus (Wilson, 1881)	Ascorhynchus armatus (Wilson, 1881)	Animalia	Arthropoda	Pantopoda	Ascorhynchidae	Ascorhynchus	Ascorhynchus armatus	Ascorhynchus	armatus	SPECIES	ACCEPTED	NE	20.6883	-18.5433		2114.0	0.0	{}	1991.0	2.0	5.0	1991-02-05	36.0	36.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'INSTITUTION_MATCH_NONE']		2024-01-24T22:32:51.171+00:00	http://creativecommons.org/licenses/by/4.0/legalcode				False	[{'identifier': '201109041'}]	[]	[]	[]	False	STOCK Jan	WGS84	Pycnogonida	EH	[]	[]	AFRICA	Western Sahara	EUROPE			48424		Ifremer			201109041		Biocean	201109041		SIBUET Myriam			Atlantique est tropical																		
201109042	96309e26-f762-11e1-a439-00145eb45e9a	61e40671-1a75-4bcd-9a0d-63515057d39d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	791e3715-7452-4dd0-a906-db21a3852427	5d5e5d82-076c-4e9a-b5b0-c88d1b691a6a	FR	EML	2023-12-11T15:23:37.871+00:00	2024-01-24T22:32:51.171+00:00	258	{}	PRESERVED_SPECIMEN		PRESENT	2118343	1	54	354	9477065	4338615	2118315	2118343	2118343	Ascorhynchus armatus (Wilson, 1881)	Ascorhynchus armatus (Wilson, 1881)	Animalia	Arthropoda	Pantopoda	Ascorhynchidae	Ascorhynchus	Ascorhynchus armatus	Ascorhynchus	armatus	SPECIES	ACCEPTED	NE	20.5567	-18.5883		2003.0	0.0	{}	1991.0	2.0	6.0	1991-02-06	37.0	37.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'INSTITUTION_MATCH_NONE']		2024-01-24T22:32:51.171+00:00	http://creativecommons.org/licenses/by/4.0/legalcode				False	[{'identifier': '201109042'}]	[]	[]	[]	False	STOCK Jan	WGS84	Pycnogonida	EH	[]	[]	AFRICA	Western Sahara	EUROPE			48426		Ifremer			201109042		Biocean	201109042		SIBUET Myriam			Atlantique est tropical																		
201109043	96309e26-f762-11e1-a439-00145eb45e9a	61e40671-1a75-4bcd-9a0d-63515057d39d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	791e3715-7452-4dd0-a906-db21a3852427	5d5e5d82-076c-4e9a-b5b0-c88d1b691a6a	FR	EML	2023-12-11T15:23:37.871+00:00	2024-01-24T22:32:51.175+00:00	258	{}	PRESERVED_SPECIMEN		PRESENT	2118343	1	54	354	9477065	4338615	2118315	2118343	2118343	Ascorhynchus armatus (Wilson, 1881)	Ascorhynchus armatus (Wilson, 1881)	Animalia	Arthropoda	Pantopoda	Ascorhynchidae	Ascorhynchus	Ascorhynchus armatus	Ascorhynchus	armatus	SPECIES	ACCEPTED	NE	20.5083	-18.5617		1855.0	0.0	{}	1991.0	2.0	6.0	1991-02-06	37.0	37.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'INSTITUTION_MATCH_NONE']		2024-01-24T22:32:51.175+00:00	http://creativecommons.org/licenses/by/4.0/legalcode				False	[{'identifier': '201109043'}]	[]	[]	[]	False	STOCK Jan	WGS84	Pycnogonida	EH	[]	[]	AFRICA	Western Sahara	EUROPE			48430		Ifremer			201109043		Biocean	201109043		SIBUET Myriam			Atlantique est tropical																		
201109044	96309e26-f762-11e1-a439-00145eb45e9a	61e40671-1a75-4bcd-9a0d-63515057d39d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	791e3715-7452-4dd0-a906-db21a3852427	5d5e5d82-076c-4e9a-b5b0-c88d1b691a6a	FR	EML	2023-12-11T15:23:37.871+00:00	2024-01-24T22:32:51.172+00:00	258	{}	PRESERVED_SPECIMEN		PRESENT	2118343	1	54	354	9477065	4338615	2118315	2118343	2118343	Ascorhynchus armatus (Wilson, 1881)	Ascorhynchus armatus (Wilson, 1881)	Animalia	Arthropoda	Pantopoda	Ascorhynchidae	Ascorhynchus	Ascorhynchus armatus	Ascorhynchus	armatus	SPECIES	ACCEPTED	NE	20.515	-18.535		1733.0	0.0	{}	1991.0	2.0	7.0	1991-02-07	38.0	38.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'INSTITUTION_MATCH_NONE']		2024-01-24T22:32:51.172+00:00	http://creativecommons.org/licenses/by/4.0/legalcode				False	[{'identifier': '201109044'}]	[]	[]	[]	False	STOCK Jan	WGS84	Pycnogonida	EH	[]	[]	AFRICA	Western Sahara	EUROPE			48435		Ifremer			201109044		Biocean	201109044		SIBUET Myriam			Atlantique est tropical																		
