key	datasetKey	publishingOrgKey	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	individualCount	occurrenceStatus	sex	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	elevation	gadm	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	lastInterpreted	references	license	isSequenced	identifiers	media	facts	relations	isInCluster	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	identifier	combinationAuthors	verbatimScientificName	locality	gbifID	occurrenceID	http://unknown.org/verbatimLabel	taxonID	combinationYear	canonicalName	networkKeys	depth	modified	institutionKey	collectionKey	identifiedBy	catalogNumber	institutionCode	fieldNumber	verbatimLocality	collectionCode	collectionID	depthAccuracy	stateProvince	waterBody	higherGeography	typeStatus	datasetName	preparations	institutionID	verbatimEventDate	georeferenceProtocol	verbatimCoordinateSystem	locationID	higherClassification	datasetID	scientificNameID	bibliographicCitation	eventID	coordinateUncertaintyInMeters	continent	distanceFromCentroidInMeters	originalNameUsage	county	identificationVerificationStatus	nameAccordingTo	http://unknown.org/language	associatedReferences	http://unknown.org/orders
4012366647	c70e23de-1f95-46fb-899b-9754b6145d52	7ce8aef0-9e92-11dc-8738-b8a03c50a862	7ce8aef1-9e92-11dc-8740-b8a03c50a999	7ce8aef0-9e92-11dc-8738-b8a03c50a862	CH	DWC_ARCHIVE	2024-07-19T16:27:31.836+00:00	2024-07-19T16:28:54.177+00:00	84	{}	MATERIAL_CITATION	1.0	PRESENT	FEMALE	2118382	1	54	354	9477065	4338615	2118315	2118382	2118382	Ascorhynchus horologius Child C.A., 1992	Ascorhynchus horologius Child C.A., 1992	Animalia	Arthropoda	Pantopoda	Ascorhynchidae	Ascorhynchus	Ascorhynchus horologius	Ascorhynchus	horologius	SPECIES	ACCEPTED	NE	14.57	-60.746666	90.0	{}	2016.0	9.0	14.0	2016-09-14	258.0	258.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'TAXON_MATCH_FUZZY', 'TAXON_MATCH_TAXON_ID_IGNORED', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-19T16:28:54.177+00:00	https://treatment.plazi.org/id/03A95E063E3BFF95FDCD03270048BB3D#3B68E54D3E3BFF95FE1D00A00477BDF7	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': '03A95E063E3BFF95FDCD03270048BB3D.mc.3B68E54D3E3BFF95FE1D00A00477BDF7'}]	[]	[]	[]	False	WGS84	Pycnogonida	MQ	[]	[]	LATIN_AMERICA	Martinique	EUROPE	03A95E063E3BFF95FDCD03270048BB3D.mc.3B68E54D3E3BFF95FE1D00A00477BDF7	Child	Ascorhynchus horologium Child, 1992	Le Vauclin	4012366647	03A95E063E3BFF95FDCD03270048BB3D.mc.3B68E54D3E3BFF95FE1D00A00477BDF7	1 ♀ gr.; same collection data as for preceding; MNHN-IU- 2016 - 1322	03A95E063E3BFF95FDCD03270048BB3D.taxon	1992	Ascorhynchus horologium																																							
4012366445	c70e23de-1f95-46fb-899b-9754b6145d52	7ce8aef0-9e92-11dc-8738-b8a03c50a862	7ce8aef1-9e92-11dc-8740-b8a03c50a999	7ce8aef0-9e92-11dc-8738-b8a03c50a862	CH	DWC_ARCHIVE	2024-07-19T16:27:31.836+00:00	2024-07-19T16:28:53.428+00:00	84	{}	MATERIAL_CITATION	1.0	PRESENT	FEMALE	2118382	1	54	354	9477065	4338615	2118315	2118382	2118382	Ascorhynchus horologius Child C.A., 1992	Ascorhynchus horologius Child C.A., 1992	Animalia	Arthropoda	Pantopoda	Ascorhynchidae	Ascorhynchus	Ascorhynchus horologius	Ascorhynchus	horologius	SPECIES	ACCEPTED	NE	14.57	-60.746666	90.0	{}	2016.0	9.0	14.0	2016-09-14	258.0	258.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'TAXON_MATCH_FUZZY', 'TAXON_MATCH_TAXON_ID_IGNORED', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-19T16:28:53.428+00:00	https://treatment.plazi.org/id/03A95E063E3BFF95FDCD03270048BB3D#3B68E54D3E3BFF95FF40004400A3BDF6	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': '03A95E063E3BFF95FDCD03270048BB3D.mc.3B68E54D3E3BFF95FF40004400A3BDF6'}]	[]	[]	[]	False	WGS84	Pycnogonida	MQ	[]	[]	LATIN_AMERICA	Martinique	EUROPE	03A95E063E3BFF95FDCD03270048BB3D.mc.3B68E54D3E3BFF95FF40004400A3BDF6	Child	Ascorhynchus horologium Child, 1992	Le Vauclin	4012366445	03A95E063E3BFF95FDCD03270048BB3D.mc.3B68E54D3E3BFF95FF40004400A3BDF6	MARTINIQUE • 1 ♀; E of Le Vauclin; 14 ° 34.2 ʹ N, 60 ° 44.8 ʹ W; depth 90 m; 14 Sep. 2016; st. AD 231; MNHN-IU- 2016 - 1199	03A95E063E3BFF95FDCD03270048BB3D.taxon	1992	Ascorhynchus horologium																																							
1945782461	da6a07ed-9eee-460d-9448-910f542c1a7b	2cd829bb-b713-433d-99cf-64bef11e5b3e	86c2834b-fcd6-418d-9b32-aca45110a0fe	2cd829bb-b713-433d-99cf-64bef11e5b3e	FR	EML	2024-07-24T12:23:52.237+00:00	2024-07-24T12:24:51.158+00:00	564	{'http://rs.tdwg.org/dwc/terms/Identification': [{'http://rs.tdwg.org/dwc/terms/namePublishedInYear': '1992', 'http://rs.tdwg.org/dwc/terms/order': 'Pantopoda', 'http://rs.tdwg.org/dwc/terms/higherClassification': 'Ascorhynchus;Ascorhynchidae;Pantopoda;Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificNameAuthorship': 'Child, 1992', 'http://rs.tdwg.org/dwc/terms/class': 'Pycnogonida', 'http://rs.tdwg.org/dwc/terms/identificationID': 'INVMAR|414456', 'http://rs.tdwg.org/dwc/terms/family': 'Ascorhynchidae', 'http://rs.tdwg.org/dwc/terms/genus': 'Ascorhynchus', 'http://rs.tdwg.org/dwc/terms/specificEpithet': 'horologium', 'http://rs.tdwg.org/dwc/terms/identificationVerificationStatus': '1', 'http://rs.tdwg.org/dwc/terms/taxonID': 'INVMAR|52204', 'http://rs.tdwg.org/dwc/terms/identifiedBy': 'Sabroux R.', 'http://rs.tdwg.org/dwc/terms/phylum': 'Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificName': 'Ascorhynchus horologium Child, 1992'}]}	PRESERVED_SPECIMEN	1.0	PRESENT		2118382	1	54	354	9477065	4338615	2118315	2118382	2118382	Ascorhynchus horologius Child C.A., 1992	Ascorhynchus horologius Child C.A., 1992	Animalia	Arthropoda	Pantopoda	Ascorhynchidae	Ascorhynchus	Ascorhynchus horologius	Ascorhynchus	horologius	SPECIES	ACCEPTED	NE	14.569722	-60.745834		{}	2016.0	9.0	14.0	2016-09-14	258.0	258.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'TAXON_MATCH_FUZZY', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'INSTITUTION_MATCH_FUZZY']	2024-07-24T12:24:51.158+00:00		http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'http://coldb.mnhn.fr/catalognumber/mnhn/iu/2016-1199'}]	[]	[]	[]	False	WGS84	Pycnogonida	MQ	[]	[]	LATIN_AMERICA	Martinique	EUROPE	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2016-1199			E Le Vauclin	1945782461	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2016-1199					['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	90.0	2021-04-04T19:18:36.000+00:00	6a6ac6c5-1b8a-48db-91a2-f8661274ff80	0641bf3b-29ad-42c9-b3c7-ffb5a76f6954	Sabroux R.	2016-1199	MNHN	MADIBENTHOS/AD231	NE Cayes Pariadis	IU	10.15468/qgvvhd																											
1945782537	da6a07ed-9eee-460d-9448-910f542c1a7b	2cd829bb-b713-433d-99cf-64bef11e5b3e	86c2834b-fcd6-418d-9b32-aca45110a0fe	2cd829bb-b713-433d-99cf-64bef11e5b3e	FR	EML	2024-07-24T12:23:52.237+00:00	2024-07-24T12:24:51.206+00:00	564	{'http://rs.tdwg.org/dwc/terms/Identification': [{'http://rs.tdwg.org/dwc/terms/namePublishedInYear': '1992', 'http://rs.tdwg.org/dwc/terms/order': 'Pantopoda', 'http://rs.tdwg.org/dwc/terms/higherClassification': 'Ascorhynchus;Ascorhynchidae;Pantopoda;Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificNameAuthorship': 'Child, 1992', 'http://rs.tdwg.org/dwc/terms/class': 'Pycnogonida', 'http://rs.tdwg.org/dwc/terms/identificationID': 'INVMAR|414579', 'http://rs.tdwg.org/dwc/terms/family': 'Ascorhynchidae', 'http://rs.tdwg.org/dwc/terms/genus': 'Ascorhynchus', 'http://rs.tdwg.org/dwc/terms/specificEpithet': 'horologium', 'http://rs.tdwg.org/dwc/terms/identificationVerificationStatus': '1', 'http://rs.tdwg.org/dwc/terms/taxonID': 'INVMAR|52204', 'http://rs.tdwg.org/dwc/terms/identifiedBy': 'Sabroux R.', 'http://rs.tdwg.org/dwc/terms/phylum': 'Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificName': 'Ascorhynchus horologium Child, 1992'}]}	PRESERVED_SPECIMEN	1.0	PRESENT		2118382	1	54	354	9477065	4338615	2118315	2118382	2118382	Ascorhynchus horologius Child C.A., 1992	Ascorhynchus horologius Child C.A., 1992	Animalia	Arthropoda	Pantopoda	Ascorhynchidae	Ascorhynchus	Ascorhynchus horologius	Ascorhynchus	horologius	SPECIES	ACCEPTED	NE	14.569722	-60.745834		{}	2016.0	9.0	14.0	2016-09-14	258.0	258.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'TAXON_MATCH_FUZZY', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'INSTITUTION_MATCH_FUZZY']	2024-07-24T12:24:51.206+00:00		http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'http://coldb.mnhn.fr/catalognumber/mnhn/iu/2016-1322'}]	[]	[]	[]	False	WGS84	Pycnogonida	MQ	[]	[]	LATIN_AMERICA	Martinique	EUROPE	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2016-1322			E Le Vauclin	1945782537	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2016-1322					['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	90.0	2014-03-18T17:09:06.000+00:00	6a6ac6c5-1b8a-48db-91a2-f8661274ff80	0641bf3b-29ad-42c9-b3c7-ffb5a76f6954	Sabroux R.	2016-1322	MNHN	MADIBENTHOS/AD231	NE Cayes Pariadis	IU	10.15468/qgvvhd																											
1319741950	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:38:56.185+00:00	395	{}	PRESERVED_SPECIMEN	1.0	PRESENT	FEMALE	2118382	1	54	354	9477065	4338615	2118315	2118382	2118382	Ascorhynchus horologius Child C.A., 1992	Ascorhynchus horologius Child C.A., 1992	Animalia	Arthropoda	Pantopoda	Ascorhynchidae	Ascorhynchus	Ascorhynchus horologius	Ascorhynchus	horologius	SPECIES	ACCEPTED	NE	27.62	-84.22		{}	1967.0	10.0	6.0	1967-10-06	279.0	279.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'TAXON_MATCH_FUZZY', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-02T12:38:56.185+00:00		http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/37052d602-ee1a-44dc-8f6e-329f3a95fc41'}]	[]	[]	[]	True	WGS84	Pycnogonida	US	[]	[]	NORTH_AMERICA	United States of America	NORTH_AMERICA	http://n2t.net/ark:/65665/37052d602-ee1a-44dc-8f6e-329f3a95fc41			78 Mile W Of Egmont Key	1319741950	http://n2t.net/ark:/65665/37052d602-ee1a-44dc-8f6e-329f3a95fc41					['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	73.2	2014-10-21T08:03:00.000+00:00	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	Child, C. Allan, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)	USNM 213519	USNM			IZ	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6	0.0	Florida	North Atlantic Ocean, Gulf of Mexico	North Atlantic Ocean, Gulf of Mexico, United States, Florida	HOLOTYPE	NMNH Extant Biology	Alcohol (Ethanol)	urn:lsid:biocol.org:col:34871	06 OCT 1967	unknown, from legacy	Degrees Minutes Seconds	E-67-344	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Ascorhynchidae														
4055770220	2f7c33b3-ea7a-40ac-a3b7-bace96f978f7	2089ce96-4fb5-4a20-999c-3ccf45a27a4d	f9df6cff-21d4-4d4b-8da4-eda454f5a086	2089ce96-4fb5-4a20-999c-3ccf45a27a4d	BE	EML	2024-07-02T17:06:09.698+00:00	2024-07-02T17:12:19.515+00:00	81	{}	PRESERVED_SPECIMEN		PRESENT		2118382	1	54	354	9477065	4338615	2118315	2118382	2118382	Ascorhynchus horologius Child C.A., 1992	Ascorhynchus horologius Child C.A., 1992	Animalia	Arthropoda	Pantopoda	Ascorhynchidae	Ascorhynchus	Ascorhynchus horologius	Ascorhynchus	horologius	SPECIES	ACCEPTED	NE	27.62	-84.22		{}	1967.0	10.0	6.0	1967-10-06	279.0	279.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'INSTITUTION_MATCH_NONE']	2024-07-02T17:12:19.515+00:00	http://www.marinespecies.org/aphia.php?p=specdetails&id=803	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'WoRMS Editorial Board:WoRMS type localities:sm_id_803'}]	[]	[]	[]	True	WGS84	Pycnogonida	US	[]	[]	NORTH_AMERICA	United States of America	EUROPE	WoRMS Editorial Board:WoRMS type localities:sm_id_803			Gulf of Mexico	4055770220	WoRMS Editorial Board:WoRMS type localities:sm_id_803					['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	73.2	2007-06-20T15:52:33.000+00:00				sm_id_803	WoRMS Editorial Board			WoRMS type localities						HOLOTYPE									https://marineinfo.org/id/dataset/5184	urn:lsid:marinespecies.org:taxname:240068	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Ascorhynchus horologium</i> Child, 1992. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=240068											
2804999594	a0a4d131-f53f-43b2-a1ba-254473b8a006	c3ad790a-d426-4ac1-8e32-da61f81f0117	a9c3f3b6-1f98-49c3-ba50-7e6aa1c9de59	c3ad790a-d426-4ac1-8e32-da61f81f0117	US	EML	2023-06-03T07:19:20.199+00:00	2024-01-25T11:57:34.374+00:00	150	{}	PRESERVED_SPECIMEN		PRESENT		2118382	1	54	354	9477065	4338615	2118315	2118382	2118382	Ascorhynchus horologius Child C.A., 1992	Ascorhynchus horologius Child C.A., 1992	Animalia	Arthropoda	Pantopoda	Ascorhynchidae	Ascorhynchus	Ascorhynchus horologius	Ascorhynchus	horologius	SPECIES	ACCEPTED	NE	27.616667	-84.216667		{}	1966.0	12.0	2.0	1966-12-02	336.0	336.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'INSTITUTION_MATCH_NONE']	2024-01-25T11:57:34.374+00:00		http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'dff62a21-b9b7-4b04-8310-451062ccfd8d'}]	[]	[]	[]	False	WGS84	Pycnogonida	US	[]	[]	NORTH_AMERICA	United States of America	NORTH_AMERICA	dff62a21-b9b7-4b04-8310-451062ccfd8d				2804999594	dff62a21-b9b7-4b04-8310-451062ccfd8d					['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	73.0					39435				FSBC I	56bf7b66-ed07-4b91-9f0d-1f00de11fab8	0.0														urn:lsid:marinespecies.org:taxname:266329		150e3fff-cc19-46eb-ab7f-e81d8d45c631										
1322712225	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:38:52.494+00:00	395	{}	PRESERVED_SPECIMEN	1.0	PRESENT	FEMALE	2118382	1	54	354	9477065	4338615	2118315	2118382	2118382	Ascorhynchus horologius Child C.A., 1992	Ascorhynchus horologius Child C.A., 1992	Animalia	Arthropoda	Pantopoda	Ascorhynchidae	Ascorhynchus	Ascorhynchus horologius	Ascorhynchus	horologius	SPECIES	ACCEPTED	NE	27.62	-84.22		{}	1966.0	12.0	2.0	1966-12-02	336.0	336.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'TAXON_MATCH_FUZZY', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-02T12:38:52.494+00:00		http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/3f3bfb835-a7ec-4c4d-8a15-99b68cfcfd77'}]	[]	[]	[]	True	WGS84	Pycnogonida	US	[]	[]	NORTH_AMERICA	United States of America	NORTH_AMERICA	http://n2t.net/ark:/65665/3f3bfb835-a7ec-4c4d-8a15-99b68cfcfd77			78 Mile W Of Egmont Key	1322712225	http://n2t.net/ark:/65665/3f3bfb835-a7ec-4c4d-8a15-99b68cfcfd77					['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	73.2	2014-10-21T08:04:00.000+00:00	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	Child, C. Allan, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)	USNM 213520	USNM			IZ	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6	0.0	Florida	North Atlantic Ocean, Gulf of Mexico	North Atlantic Ocean, Gulf of Mexico, United States, Florida	PARATYPE	NMNH Extant Biology	Alcohol (Ethanol)	urn:lsid:biocol.org:col:34871	02 DEC 1966	unknown, from legacy	Degrees Minutes Seconds	E-66-455	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Ascorhynchidae														
1319394048	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:37:32.227+00:00	395	{}	PRESERVED_SPECIMEN	1.0	PRESENT	FEMALE	2118382	1	54	354	9477065	4338615	2118315	2118382	2118382	Ascorhynchus horologius Child C.A., 1992	Ascorhynchus horologius Child C.A., 1992	Animalia	Arthropoda	Pantopoda	Ascorhynchidae	Ascorhynchus	Ascorhynchus horologius	Ascorhynchus	horologius	SPECIES	ACCEPTED	NE	26.4	-83.72		{}	1965.0	10.0	13.0	1965-10-13	286.0	286.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'TAXON_MATCH_FUZZY', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-02T12:37:32.227+00:00		http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/360f1e39a-fc98-4ff8-bc9c-a2b05d02e6bb'}]	[]	[]	[]	True	WGS84	Pycnogonida	US	[]	[]	NORTH_AMERICA	United States of America	NORTH_AMERICA	http://n2t.net/ark:/65665/360f1e39a-fc98-4ff8-bc9c-a2b05d02e6bb			92 Mile W Of Sanibel Island Light	1319394048	http://n2t.net/ark:/65665/360f1e39a-fc98-4ff8-bc9c-a2b05d02e6bb					['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	73.2	2014-10-21T08:04:00.000+00:00	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	Child, C. Allan, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)	USNM 213521	USNM			IZ	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6	0.0	Florida	North Atlantic Ocean, Gulf of Mexico	North Atlantic Ocean, Gulf of Mexico, United States, Florida	PARATYPE	NMNH Extant Biology	Alcohol (Ethanol)	urn:lsid:biocol.org:col:34871	13 OCT 1965	unknown, from legacy	Degrees Minutes Seconds	M-65-311	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Ascorhynchidae														
4012366808	c70e23de-1f95-46fb-899b-9754b6145d52	7ce8aef0-9e92-11dc-8738-b8a03c50a862	7ce8aef1-9e92-11dc-8740-b8a03c50a999	7ce8aef0-9e92-11dc-8738-b8a03c50a862	CH	DWC_ARCHIVE	2024-07-19T16:27:31.836+00:00	2024-07-19T16:28:54.617+00:00	84	{}	MATERIAL_CITATION	1.0	PRESENT		2118382	1	54	354	9477065	4338615	2118315	2118382	2118382	Ascorhynchus horologius Child C.A., 1992	Ascorhynchus horologius Child C.A., 1992	Animalia	Arthropoda	Pantopoda	Ascorhynchidae	Ascorhynchus	Ascorhynchus horologius	Ascorhynchus	horologius	SPECIES	ACCEPTED	NE				{}							['TAXON_MATCH_FUZZY', 'TAXON_MATCH_TAXON_ID_IGNORED', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2024-07-19T16:28:54.617+00:00	https://treatment.plazi.org/id/03A95E063E3BFF95FDCD03270048BB3D#3B68E54D3E3BFF95FF4003D40540BD4B	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': '03A95E063E3BFF95FDCD03270048BB3D.mc.3B68E54D3E3BFF95FF4003D40540BD4B'}]	[]	[]	[]	True		Pycnogonida		[]	[]			EUROPE	03A95E063E3BFF95FDCD03270048BB3D.mc.3B68E54D3E3BFF95FF4003D40540BD4B	Child	Ascorhynchus horologium Child, 1992	West	4012366808	03A95E063E3BFF95FDCD03270048BB3D.mc.3B68E54D3E3BFF95FF4003D40540BD4B	Holotype: USNM 213519 (not examined). Type locality: off West Florida.	03A95E063E3BFF95FDCD03270048BB3D.taxon	1992	Ascorhynchus horologium				586ee56e-b0fe-4dff-b7f9-aeb104f3308a			USNM 213519	USNM						Florida			HOLOTYPE																						
