key	datasetKey	publishingOrgKey	networkKeys	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	occurrenceStatus	sex	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	dateIdentified	decimalLatitude	decimalLongitude	coordinatePrecision	coordinateUncertaintyInMeters	stateProvince	gadm	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	institutionKey	isInCluster	otherCatalogNumbers	recordedBy	identifiedBy	samplingProtocol	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	eventID	identifier	acceptedNameUsage	http://unknown.org/taxonRankID	dynamicProperties	verbatimLocality	collectionCode	gbifID	occurrenceID	catalogNumber	locationRemarks	institutionCode	taxonConceptID	http://unknown.org/species	nameAccordingTo	continent	identificationRemarks	individualCount	modified	preparations	type	depth	depthAccuracy	waterBody	higherGeography	collectionKey	datasetName	institutionID	verbatimEventDate	georeferenceProtocol	locality	verbatimCoordinateSystem	higherClassification	collectionID	typeStatus
1100763828	dce8feb0-6c89-11de-8225-b8a03c50a862	770c30d2-c2a8-4bb2-8056-6167297cddae	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:20:52.620+00:00	2024-07-02T07:19:02.693+00:00	384	{}	PRESERVED_SPECIMEN	PRESENT	MALE	2118386	1	54	354	9477065	4338615	2118315	2118386	2118386	Ascorhynchus minutus Hoek, 1881	Ascorhynchus minutus Hoek, 1881	Animalia	Arthropoda	Pantopoda	Ascorhynchidae	Ascorhynchus	Ascorhynchus minutus	Ascorhynchus	minutus	SPECIES	ACCEPTED	NE	2008-01-01T00:00:00	-37.00166	150.04833	1e-05	1000.0	New South Wales	{}	1994	9	3.0	1994-09-03	246.0	246.0	['TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2024-07-02T07:19:02.693+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '22e82e6f-66cb-4107-bff9-36b838cac474'}]	[]	[]	[]	9cfe8cbf-35ff-4d93-b932-cb05d91b7922	False	ecatalogue.irn:1161149|urn:catalog:AM:Invertebrates - Marine & Other:P.44176	Berents, Penelope Blackburne|Australian Museum|Invertebrates, Marine	Krapp, Dr Franz - Zoologisches Forschungsinstitut und Museum Alexander Koenig	benthic sled	WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA	urn:australianmuseum.net.au:Events:1067288	22e82e6f-66cb-4107-bff9-36b838cac474	Ascorhynchus minutum Hoek, 1881	7000	{dcterms:type:PhysicalObject,dcterms:modified:2019/11/19,verbatimUncertainty:100m-1km}	north-east of Eden	Invertebrates - Marine & Other	1100763828	22e82e6f-66cb-4107-bff9-36b838cac474	P.44176	ecatalogue.LocCollectionEventLocal: [SS05/94/129] Australia, New South Wales, north-east of Eden (37° 00' 06 S, 150° 02' 54 E) 03/09/1994 - 03/09/1994, benthic sled;	AM	https://biodiversity.org.au/afd/taxa/08fdc2b2-ba58-483a-8e77-e76ded33d54c	Ascorhynchus minutus	Hoek, 1881																				
1100763809	dce8feb0-6c89-11de-8225-b8a03c50a862	770c30d2-c2a8-4bb2-8056-6167297cddae	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:20:52.620+00:00	2024-07-02T07:19:51.582+00:00	384	{}	PRESERVED_SPECIMEN	PRESENT	MALE	2118386	1	54	354	9477065	4338615	2118315	2118386	2118386	Ascorhynchus minutus Hoek, 1881	Ascorhynchus minutus Hoek, 1881	Animalia	Arthropoda	Pantopoda	Ascorhynchidae	Ascorhynchus	Ascorhynchus minutus	Ascorhynchus	minutus	SPECIES	ACCEPTED	NE	2008-01-01T00:00:00	-37.31	150.065	1e-05	1000.0	New South Wales	{}	1994	9	2.0	1994-09-02	245.0	245.0	['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2024-07-02T07:19:51.582+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'd21be283-176a-4d30-ba70-998746afc4b7'}]	[]	[]	[]	9cfe8cbf-35ff-4d93-b932-cb05d91b7922	False	ecatalogue.irn:1157585|urn:catalog:AM:Invertebrates - Marine & Other:P.44175	Berents, Penelope Blackburne|Australian Museum|Invertebrates, Marine	Krapp, Dr Franz - Zoologisches Forschungsinstitut und Museum Alexander Koenig	benthic sled	WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA	urn:australianmuseum.net.au:Events:1067284	d21be283-176a-4d30-ba70-998746afc4b7	Ascorhynchus minutum Hoek, 1881	7000	{dcterms:type:PhysicalObject,dcterms:modified:2019/11/19,verbatimUncertainty:100m-1km}	east of Disaster Bay	Invertebrates - Marine & Other	1100763809	d21be283-176a-4d30-ba70-998746afc4b7	P.44175	ecatalogue.LocCollectionEventLocal: [SS05/94/119] Australia, New South Wales, east of Disaster Bay (37° 18' 36 S, 150° 03' 54 E) 02/09/1994 - 02/09/1994, benthic sled;	AM	https://biodiversity.org.au/afd/taxa/08fdc2b2-ba58-483a-8e77-e76ded33d54c	Ascorhynchus minutus	Hoek, 1881	OCEANIA																			
1100762812	dce8feb0-6c89-11de-8225-b8a03c50a862	770c30d2-c2a8-4bb2-8056-6167297cddae	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:20:52.620+00:00	2024-07-02T07:19:17.342+00:00	384	{}	PRESERVED_SPECIMEN	PRESENT	FEMALE	2118386	1	54	354	9477065	4338615	2118315	2118386	2118386	Ascorhynchus minutus Hoek, 1881	Ascorhynchus minutus Hoek, 1881	Animalia	Arthropoda	Pantopoda	Ascorhynchidae	Ascorhynchus	Ascorhynchus minutus	Ascorhynchus	minutus	SPECIES	ACCEPTED	NE	1994-01-01T00:00:00	-33.60833	151.49166	1e-05	10000.0	New South Wales	{}	1986	2	10.0	1986-02-10	41.0	41.0	['TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2024-07-02T07:19:17.342+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '47f76c63-278e-44c0-9e35-9dc8c98f3bd4'}]	[]	[]	[]	9cfe8cbf-35ff-4d93-b932-cb05d91b7922	False	ecatalogue.irn:1062873|urn:catalog:AM:Invertebrates - Marine & Other:P.42790		Krapp, F	trawl	WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA	urn:australianmuseum.net.au:Events:1058292	47f76c63-278e-44c0-9e35-9dc8c98f3bd4	Ascorhynchus minutum Hoek, 1881	7000	{dcterms:type:PhysicalObject,dcterms:modified:2019/11/19,verbatimUncertainty:1km-10km}	south-east of Broken Bay	Invertebrates - Marine & Other	1100762812	47f76c63-278e-44c0-9e35-9dc8c98f3bd4	P.42790	ecatalogue.LocCollectionEventLocal: [K86-01-02] Australia, New South Wales, south-east of Broken Bay (33° 36' S, 151° 30' E) 10/02/1986 - 10/02/1986, trawl;	AM	https://biodiversity.org.au/afd/taxa/08fdc2b2-ba58-483a-8e77-e76ded33d54c	Ascorhynchus minutus	Hoek, 1881																				
1100762934	dce8feb0-6c89-11de-8225-b8a03c50a862	770c30d2-c2a8-4bb2-8056-6167297cddae	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:20:52.620+00:00	2024-07-02T07:20:56.407+00:00	384	{}	PRESERVED_SPECIMEN	PRESENT	MALE	2118386	1	54	354	9477065	4338615	2118315	2118386	2118386	Ascorhynchus minutus Hoek, 1881	Ascorhynchus minutus Hoek, 1881	Animalia	Arthropoda	Pantopoda	Ascorhynchidae	Ascorhynchus	Ascorhynchus minutus	Ascorhynchus	minutus	SPECIES	ACCEPTED	NE	1994-01-01T00:00:00	-33.60833	151.49166	1e-05	10000.0	New South Wales	{}	1986	2	10.0	1986-02-10	41.0	41.0	['TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2024-07-02T07:20:56.407+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '9f942875-189b-400c-b574-8665dec3ae0c'}]	[]	[]	[]	9cfe8cbf-35ff-4d93-b932-cb05d91b7922	False	ecatalogue.irn:1062979|urn:catalog:AM:Invertebrates - Marine & Other:P.42943		Krapp, F	trawl	WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA	urn:australianmuseum.net.au:Events:1058292	9f942875-189b-400c-b574-8665dec3ae0c	Ascorhynchus minutum Hoek, 1881	7000	{dcterms:type:PhysicalObject,dcterms:modified:2019/11/19,verbatimUncertainty:1km-10km}	south-east of Broken Bay	Invertebrates - Marine & Other	1100762934	9f942875-189b-400c-b574-8665dec3ae0c	P.42943	ecatalogue.LocCollectionEventLocal: [K86-01-02] Australia, New South Wales, south-east of Broken Bay (33° 36' S, 151° 30' E) 10/02/1986 - 10/02/1986, trawl;	AM	https://biodiversity.org.au/afd/taxa/08fdc2b2-ba58-483a-8e77-e76ded33d54c	Ascorhynchus minutus	Hoek, 1881																				
1100764578	dce8feb0-6c89-11de-8225-b8a03c50a862	770c30d2-c2a8-4bb2-8056-6167297cddae	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:20:52.620+00:00	2024-07-02T07:19:48.195+00:00	384	{}	PRESERVED_SPECIMEN	PRESENT	MALE	2118386	1	54	354	9477065	4338615	2118315	2118386	2118386	Ascorhynchus minutus Hoek, 1881	Ascorhynchus minutus Hoek, 1881	Animalia	Arthropoda	Pantopoda	Ascorhynchidae	Ascorhynchus	Ascorhynchus minutus	Ascorhynchus	minutus	SPECIES	ACCEPTED	NE	2005-01-01T00:00:00	-19.94249	117.88999	1e-05	10000.0	Western Australia	{}	1983	10	26.0	1983-10-26	299.0	299.0	['TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2024-07-02T07:19:48.195+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'c2f7b9f0-2fd2-4f4f-a8c6-523116250997'}]	[]	[]	[]	9cfe8cbf-35ff-4d93-b932-cb05d91b7922	False	ecatalogue.irn:1022891|urn:catalog:AM:Invertebrates - Marine & Other:P.45167		Krapp, Dr Franz - Zoologisches Forschungsinstitut und Museum Alexander Koenig	epibenthic sled	WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA	urn:australianmuseum.net.au:Events:1066194	c2f7b9f0-2fd2-4f4f-a8c6-523116250997	Ascorhynchus minutum Hoek, 1881	7000	{dcterms:type:PhysicalObject,dcterms:modified:2019/11/19,verbatimUncertainty:1km-10km}	North West Shelf	Invertebrates - Marine & Other	1100764578	c2f7b9f0-2fd2-4f4f-a8c6-523116250997	P.45167	ecatalogue.LocCollectionEventLocal: [05-B2-S] Australia, Western Australia, North West Shelf (19° 56' 42 S, 117° 53' 48 E) 26/10/1983 - 26/10/1983, epibenthic sled, CSIRO North-West Shelf project;	AM	https://biodiversity.org.au/afd/taxa/08fdc2b2-ba58-483a-8e77-e76ded33d54c	Ascorhynchus minutus	Hoek, 1881		ecatalogue.IdeComments: other specimens from P.45167 re-registered; registration tag not returned from loan (as at Dec 2005);																		
1916843528	7c93d290-6c8b-11de-8226-b8a03c50a862	b36f3505-f2d9-499f-a669-fa418a127b9d	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:22:04.806+00:00	2024-07-02T17:15:27.964+00:00	380	{}	PRESERVED_SPECIMEN	PRESENT		2118386	1	54	354	9477065	4338615	2118315	2118386	2118386	Ascorhynchus minutus Hoek, 1881	Ascorhynchus minutus Hoek, 1881	Animalia	Arthropoda	Pantopoda	Ascorhynchidae	Ascorhynchus	Ascorhynchus minutus	Ascorhynchus	minutus	SPECIES	ACCEPTED	NE		-3.6	128.4				{}	1970	5	30.0	1970-05-30	150.0	150.0	['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-07-02T17:15:27.964+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'ecc340bc-6fb4-4a25-a40c-4b4f6b6089bf'}]	[]	[]	[]	09d260e0-a509-40c7-bef5-b0f5444be84a	False	74/364	King, M.	Child, C.A.		WGS84	Pycnogonida	ID	[]	[]	ASIA	Indonesia	OCEANIA		ecc340bc-6fb4-4a25-a40c-4b4f6b6089bf		7000			ARACH	1916843528	ecc340bc-6fb4-4a25-a40c-4b4f6b6089bf	10042	Station Ah1 H2 near Tg Bt Kapol.Haraka Island E. of Ambion	WAM	https://biodiversity.org.au/afd/taxa/08fdc2b2-ba58-483a-8e77-e76ded33d54c	Ascorhynchus minutus		ASIA		1.0	1992-09-11T00:00:00.000+00:00	wet (in ethanol or some other preservative)	PhysicalObject														
500841618	7c93d290-6c8b-11de-8226-b8a03c50a862	b36f3505-f2d9-499f-a669-fa418a127b9d	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:22:04.806+00:00	2024-07-02T17:15:27.200+00:00	380	{}	PRESERVED_SPECIMEN	PRESENT	FEMALE	2118386	1	54	354	9477065	4338615	2118315	2118386	2118386	Ascorhynchus minutus Hoek, 1881	Ascorhynchus minutus Hoek, 1881	Animalia	Arthropoda	Pantopoda	Ascorhynchidae	Ascorhynchus	Ascorhynchus minutus	Ascorhynchus	minutus	SPECIES	ACCEPTED	NE		-22.68333	113.65			Western Australia	{}	1968	8	23.0	1968-08-23	236.0	236.0	['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-07-02T17:15:27.200+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'e108f1fd-6456-449c-aa8f-d873e2e5bd32'}]	[]	[]	[]	09d260e0-a509-40c7-bef5-b0f5444be84a	False	71/1786A		Child, C.A.		WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA		e108f1fd-6456-449c-aa8f-d873e2e5bd32		7000			ARACH	500841618	e108f1fd-6456-449c-aa8f-d873e2e5bd32	8710	Point Cloates, Bay on N. Side	WAM	https://biodiversity.org.au/afd/taxa/08fdc2b2-ba58-483a-8e77-e76ded33d54c	Ascorhynchus minutus		OCEANIA		1.0	1992-09-11T00:00:00.000+00:00	wet (in ethanol or some other preservative)	PhysicalObject														
1321470314	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:37:55.254+00:00	395	{}	PRESERVED_SPECIMEN	PRESENT	FEMALE	2118386	1	54	354	9477065	4338615	2118315	2118386	2118386	Ascorhynchus minutus Hoek, 1881	Ascorhynchus minutus Hoek, 1881	Animalia	Arthropoda	Pantopoda	Ascorhynchidae	Ascorhynchus	Ascorhynchus minutus	Ascorhynchus	minutus	SPECIES	ACCEPTED	NE		-22.68	113.65			Western Australia	{}	1968	8	23.0	1968-08-23	236.0	236.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_FUZZY', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-02T12:37:55.254+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/3bcb82b2a-3f36-41f7-b3c3-a3cd63894d3c'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	False			Child, C. Allan, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)		WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	NORTH_AMERICA		http://n2t.net/ark:/65665/3bcb82b2a-3f36-41f7-b3c3-a3cd63894d3c					IZ	1321470314	http://n2t.net/ark:/65665/3bcb82b2a-3f36-41f7-b3c3-a3cd63894d3c	USNM 149250		USNM				OCEANIA		1.0	2014-10-20T13:32:00.000+00:00	Alcohol (Ethanol)		4.0	0.0	Indian Ocean	Indian Ocean, Australia, Western Australia	0174f5b3-da29-4967-b8dc-ce75ed53e35d	NMNH Extant Biology	urn:lsid:biocol.org:col:34871	23 AUG 1968	unknown, from legacy	Bay, N Side Of Point Cloates, Below North West Cape, Reef	Degrees Minutes Seconds	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Ascorhynchidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6	
500826276	7c93d290-6c8b-11de-8226-b8a03c50a862	b36f3505-f2d9-499f-a669-fa418a127b9d	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:22:04.806+00:00	2024-07-02T17:14:53.768+00:00	380	{}	PRESERVED_SPECIMEN	PRESENT		2118386	1	54	354	9477065	4338615	2118315	2118386	2118386	Ascorhynchus minutus Hoek, 1881	Ascorhynchus minutus Hoek, 1881	Animalia	Arthropoda	Pantopoda	Ascorhynchidae	Ascorhynchus	Ascorhynchus minutus	Ascorhynchus	minutus	SPECIES	ACCEPTED	NE		-27.66667	113.05			Western Australia	{}	1963	10	9.0	1963-10-09	282.0	282.0	['RECORDED_DATE_INVALID', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-07-02T17:14:53.768+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '133a4b46-aae3-45a6-89ae-3c438d8fbfeb'}]	[]	[]	[]	09d260e0-a509-40c7-bef5-b0f5444be84a	False	70/3967	Csiro	Child, C.A.		WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA		133a4b46-aae3-45a6-89ae-3c438d8fbfeb		7000			ARACH	500826276	133a4b46-aae3-45a6-89ae-3c438d8fbfeb	6964	NW. of Bluff Point, N. of Geraldton	WAM	https://biodiversity.org.au/afd/taxa/08fdc2b2-ba58-483a-8e77-e76ded33d54c	Ascorhynchus minutus				1.0	1992-09-10T00:00:00.000+00:00	wet (in ethanol or some other preservative)	PhysicalObject														
500826274	7c93d290-6c8b-11de-8226-b8a03c50a862	b36f3505-f2d9-499f-a669-fa418a127b9d	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:22:04.806+00:00	2024-07-02T17:14:58.167+00:00	380	{}	PRESERVED_SPECIMEN	PRESENT	FEMALE	2118386	1	54	354	9477065	4338615	2118315	2118386	2118386	Ascorhynchus minutus Hoek, 1881	Ascorhynchus minutus Hoek, 1881	Animalia	Arthropoda	Pantopoda	Ascorhynchidae	Ascorhynchus	Ascorhynchus minutus	Ascorhynchus	minutus	SPECIES	ACCEPTED	NE		-27.66667	113.05			Western Australia	{}	1963	10	9.0	1963-10-09	282.0	282.0	['RECORDED_DATE_INVALID', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-07-02T17:14:58.167+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '348f1999-7f11-4846-a298-f467615bca06'}]	[]	[]	[]	09d260e0-a509-40c7-bef5-b0f5444be84a	False	70/3966	Csiro	Child, C.A.		WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA		348f1999-7f11-4846-a298-f467615bca06		7000			ARACH	500826274	348f1999-7f11-4846-a298-f467615bca06	6963	NW. of Bluff Point, N. of Geraldton	WAM	https://biodiversity.org.au/afd/taxa/08fdc2b2-ba58-483a-8e77-e76ded33d54c	Ascorhynchus minutus				1.0	1992-09-10T00:00:00.000+00:00	wet (in ethanol or some other preservative)	PhysicalObject														
