key	datasetKey	publishingOrgKey	networkKeys	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	individualCount	occurrenceStatus	lifeStage	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	depth	depthAccuracy	stateProvince	gadm	waterBody	higherGeography	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	modified	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	institutionKey	collectionKey	isInCluster	datasetName	recordedBy	identifiedBy	preparations	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	identifier	institutionID	georeferenceProtocol	locality	verbatimCoordinateSystem	fieldNumber	collectionCode	gbifID	occurrenceID	catalogNumber	institutionCode	locationID	higherClassification	collectionID	sex	verbatimEventDate	typeStatus	coordinateUncertaintyInMeters	references	datasetID	scientificNameID	footprintWKT	bibliographicCitation	rightsHolder	nomenclaturalCode
1317964169	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:37:10.016+00:00	395	{}	PRESERVED_SPECIMEN	1.0	PRESENT	Juvenile	2118372	1	54	354	9477065	4338615	2118315	2118372	2118372	Ascorhynchus ovicoxa Stock, 1975	Ascorhynchus ovicoxa Stock, 1975	Animalia	Arthropoda	Pantopoda	Ascorhynchidae	Ascorhynchus	Ascorhynchus ovicoxa	Ascorhynchus	ovicoxa	SPECIES	ACCEPTED	NE	28.2633	-86.6161	847.0	0.0	Florida	{}	North Atlantic Ocean, Gulf of Mexico	North Atlantic Ocean, Gulf of Mexico, United States, Florida	1985	5	20	1985-05-20	140	140	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2018-09-17T13:00:00.000+00:00	2024-07-02T12:37:10.016+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/321ae93e4-b0dc-443c-a557-a98ddb1a85b2'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	False	NMNH Extant Biology	LGL Ecological Research Associates For BLM/ MMS	Child, C. Allan, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)	Alcohol (Ethanol)	WGS84	Pycnogonida	US	[]	[]	NORTH_AMERICA	United States of America	NORTH_AMERICA	http://n2t.net/ark:/65665/321ae93e4-b0dc-443c-a557-a98ddb1a85b2	urn:lsid:biocol.org:col:34871	unknown, from legacy	off Florida	Degrees Minutes Seconds	MMS-NGOMCS/4434	IZ	1317964169	http://n2t.net/ark:/65665/321ae93e4-b0dc-443c-a557-a98ddb1a85b2	USNM 1011376	USNM	E3C-4	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Ascorhynchidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6											
1322808087	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:38:32.956+00:00	395	{}	PRESERVED_SPECIMEN	1.0	PRESENT	Larva	2118372	1	54	354	9477065	4338615	2118315	2118372	2118372	Ascorhynchus ovicoxa Stock, 1975	Ascorhynchus ovicoxa Stock, 1975	Animalia	Arthropoda	Pantopoda	Ascorhynchidae	Ascorhynchus	Ascorhynchus ovicoxa	Ascorhynchus	ovicoxa	SPECIES	ACCEPTED	NE	27.4628	-89.785	1482.0	0.0	Louisiana	{}	North Atlantic Ocean, Gulf of Mexico	North Atlantic Ocean, Gulf of Mexico, United States, Louisiana	1984	11	16	1984-11-16	321	321	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2018-09-17T13:00:00.000+00:00	2024-07-02T12:38:32.956+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/3f801cfdc-e0c9-41c5-9ece-c14bd28c625a'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	False	NMNH Extant Biology	LGL Ecological Research Associates For BLM/ MMS	Child, C. Allan, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)	Alcohol (Ethanol)	WGS84	Pycnogonida	US	[]	[]	NORTH_AMERICA	United States of America	NORTH_AMERICA	http://n2t.net/ark:/65665/3f801cfdc-e0c9-41c5-9ece-c14bd28c625a	urn:lsid:biocol.org:col:34871	unknown, from legacy	off Louisiana	Degrees Minutes Seconds	MMS-NGOMCS/3023	IZ	1322808087	http://n2t.net/ark:/65665/3f801cfdc-e0c9-41c5-9ece-c14bd28c625a	USNM 1011377	USNM	C04-5	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Ascorhynchidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6											
1318193794	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:37:08.067+00:00	395	{}	PRESERVED_SPECIMEN	2.0	PRESENT		2118372	1	54	354	9477065	4338615	2118315	2118372	2118372	Ascorhynchus ovicoxa Stock, 1975	Ascorhynchus ovicoxa Stock, 1975	Animalia	Arthropoda	Pantopoda	Ascorhynchidae	Ascorhynchus	Ascorhynchus ovicoxa	Ascorhynchus	ovicoxa	SPECIES	ACCEPTED	NE	27.455	-79.7917	329.0	0.0	Florida	{}	North Atlantic Ocean	North Atlantic Ocean, United States, Florida	1981	4	2	1981-04-02	92	92	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2014-10-21T08:35:00.000+00:00	2024-07-02T12:37:08.067+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/32bd569a7-8e54-48c9-b365-4c88f89b9a5f'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	False	NMNH Extant Biology	National Marine Fisheries Service	Child, C. Allan, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)	Alcohol (Ethanol)	WGS84	Pycnogonida	US	[]	[]	NORTH_AMERICA	United States of America	NORTH_AMERICA	http://n2t.net/ark:/65665/32bd569a7-8e54-48c9-b365-4c88f89b9a5f	urn:lsid:biocol.org:col:34871	unknown, from legacy	Off Fort Pierce	Degrees Minutes Seconds		IZ	1318193794	http://n2t.net/ark:/65665/32bd569a7-8e54-48c9-b365-4c88f89b9a5f	USNM 222006	USNM	338A, B	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Ascorhynchidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6	FEMALE	02 APR 1981									
1322464530	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:38:08.582+00:00	395	{}	PRESERVED_SPECIMEN	1.0	PRESENT		2118372	1	54	354	9477065	4338615	2118315	2118372	2118372	Ascorhynchus ovicoxa Stock, 1975	Ascorhynchus ovicoxa Stock, 1975	Animalia	Arthropoda	Pantopoda	Ascorhynchidae	Ascorhynchus	Ascorhynchus ovicoxa	Ascorhynchus	ovicoxa	SPECIES	ACCEPTED	NE	29.6336	-79.9667	485.0	0.0	Florida	{}	North Atlantic Ocean	North Atlantic Ocean, United States, Florida	1977	5	19	1977-05-19	139	139	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2019-02-13T13:39:00.000+00:00	2024-07-02T12:38:08.582+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/3e8c43a06-64cd-4d0b-aefa-bae99ffa7aeb'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	False	NMNH Extant Biology	Texas Instruments For BLM / MMS	Child, C. Allan, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)	Alcohol (Ethanol)	WGS84	Pycnogonida	US	[]	[]	NORTH_AMERICA	United States of America	NORTH_AMERICA	http://n2t.net/ark:/65665/3e8c43a06-64cd-4d0b-aefa-bae99ffa7aeb	urn:lsid:biocol.org:col:34871	unknown, from legacy	off Florida	Degrees Minutes Seconds	MMS-SABP/0570-4	IZ	1322464530	http://n2t.net/ark:/65665/3e8c43a06-64cd-4d0b-aefa-bae99ffa7aeb	USNM 174781	USNM	7F	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Ascorhynchidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6	MALE										
1322707733	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:40:02.966+00:00	395	{}	PRESERVED_SPECIMEN	4.0	PRESENT		2118372	1	54	354	9477065	4338615	2118315	2118372	2118372	Ascorhynchus ovicoxa Stock, 1975	Ascorhynchus ovicoxa Stock, 1975	Animalia	Arthropoda	Pantopoda	Ascorhynchidae	Ascorhynchus	Ascorhynchus ovicoxa	Ascorhynchus	ovicoxa	SPECIES	ACCEPTED	NE	26.785	-79.7883	410.0	0.0	Florida	{}	North Atlantic Ocean	North Atlantic Ocean, United States, Florida	1974	1	23	1974-01-23	23	23	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2014-10-20T15:04:00.000+00:00	2024-07-02T12:40:02.966+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/3f38ceaf7-a430-41dc-8aff-32a791c66fe4'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	False	NMNH Extant Biology	National Marine Fisheries Service	Child, C. Allan, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)	Alcohol (Ethanol)	WGS84	Pycnogonida	US	[]	[]	NORTH_AMERICA	United States of America	NORTH_AMERICA	http://n2t.net/ark:/65665/3f38ceaf7-a430-41dc-8aff-32a791c66fe4	urn:lsid:biocol.org:col:34871	unknown, from legacy	Straits Of Florida, E Of Palm Beach	Degrees Minutes Seconds		IZ	1322707733	http://n2t.net/ark:/65665/3f38ceaf7-a430-41dc-8aff-32a791c66fe4	USNM 180160	USNM	159A	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Ascorhynchidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6	MALE	23 JAN 1974									
1319748172	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:37:44.467+00:00	395	{}	PRESERVED_SPECIMEN	2.0	PRESENT		2118372	1	54	354	9477065	4338615	2118315	2118372	2118372	Ascorhynchus ovicoxa Stock, 1975	Ascorhynchus ovicoxa Stock, 1975	Animalia	Arthropoda	Pantopoda	Ascorhynchidae	Ascorhynchus	Ascorhynchus ovicoxa	Ascorhynchus	ovicoxa	SPECIES	ACCEPTED	NE	27.7583	-78.48	965.0	0.0		{}	North Atlantic Ocean	North Atlantic Ocean, Bahamas	1974	2	6	1974-02-06	37	37	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2014-10-20T15:29:00.000+00:00	2024-07-02T12:37:44.467+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/3709bf584-6740-4a28-bc6c-ca7f51968137'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	False	NMNH Extant Biology	National Marine Fisheries Service	Child, C. Allan, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)	Alcohol (Ethanol)	WGS84	Pycnogonida	BS	[]	[]	LATIN_AMERICA	Bahamas	NORTH_AMERICA	http://n2t.net/ark:/65665/3709bf584-6740-4a28-bc6c-ca7f51968137	urn:lsid:biocol.org:col:34871	unknown, from legacy	N Of Little Bahama Bank	Degrees Minutes Seconds		IZ	1319748172	http://n2t.net/ark:/65665/3709bf584-6740-4a28-bc6c-ca7f51968137	USNM 189213	USNM	217	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Ascorhynchidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6	FEMALE	06 FEB 1974									
1319807460	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:37:46.005+00:00	395	{}	PRESERVED_SPECIMEN	2.0	PRESENT		2118372	1	54	354	9477065	4338615	2118315	2118372	2118372	Ascorhynchus ovicoxa Stock, 1975	Ascorhynchus ovicoxa Stock, 1975	Animalia	Arthropoda	Pantopoda	Ascorhynchidae	Ascorhynchus	Ascorhynchus ovicoxa	Ascorhynchus	ovicoxa	SPECIES	ACCEPTED	NE	27.8025	-79.679	522.5	2.5	Florida	{}	North Atlantic Ocean	North Atlantic Ocean, United States, Florida	1973	11	26	1973-11-26	330	330	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2014-10-20T13:53:00.000+00:00	2024-07-02T12:37:46.005+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/3733cc4f4-b58f-48d4-890e-0a81206a6a1a'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	False	NMNH Extant Biology	National Marine Fisheries Service	Child, C. Allan, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)	Alcohol (Ethanol)	WGS84	Pycnogonida	US	[]	[]	NORTH_AMERICA	United States of America	NORTH_AMERICA	http://n2t.net/ark:/65665/3733cc4f4-b58f-48d4-890e-0a81206a6a1a	urn:lsid:biocol.org:col:34871	unknown, from legacy	E Of Fort Pierce	Degrees Minutes Seconds		IZ	1319807460	http://n2t.net/ark:/65665/3733cc4f4-b58f-48d4-890e-0a81206a6a1a	USNM 155171	USNM	050	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Ascorhynchidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6		26 NOV 1973									
1319300783	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:37:37.921+00:00	395	{}	PRESERVED_SPECIMEN	1.0	PRESENT		2118372	1	54	354	9477065	4338615	2118315	2118372	2118372	Ascorhynchus ovicoxa Stock, 1975	Ascorhynchus ovicoxa Stock, 1975	Animalia	Arthropoda	Pantopoda	Ascorhynchidae	Ascorhynchus	Ascorhynchus ovicoxa	Ascorhynchus	ovicoxa	SPECIES	ACCEPTED	NE	32.2658	-64.535	2159.0	64.0		{}	North Atlantic Ocean	North Atlantic Ocean	1966	8	19	1966-08-19	231	231	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'CONTINENT_INVALID', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2017-08-16T16:44:00.000+00:00	2024-07-02T12:37:37.921+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/35cd38fd4-b3d0-4e46-804a-82c6d1eba068'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	False	NMNH Extant Biology	D. Murphy & Woods Hole Oceanographic Institution	Child, C. Allan, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)	Alcohol (Ethanol)	WGS84	Pycnogonida	BM	[]	[]	LATIN_AMERICA	Bermuda	NORTH_AMERICA	http://n2t.net/ark:/65665/35cd38fd4-b3d0-4e46-804a-82c6d1eba068	urn:lsid:biocol.org:col:34871	unknown, from legacy	Bermuda Slope, N Of Bermuda	Degrees Minutes Seconds		IZ	1319300783	http://n2t.net/ark:/65665/35cd38fd4-b3d0-4e46-804a-82c6d1eba068	USNM 180396	USNM	119	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Ascorhynchidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6	FEMALE										
1317354795	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:38:25.423+00:00	395	{}	PRESERVED_SPECIMEN	4.0	PRESENT		2118372	1	54	354	9477065	4338615	2118315	2118372	2118372	Ascorhynchus ovicoxa Stock, 1975	Ascorhynchus ovicoxa Stock, 1975	Animalia	Arthropoda	Pantopoda	Ascorhynchidae	Ascorhynchus	Ascorhynchus ovicoxa	Ascorhynchus	ovicoxa	SPECIES	ACCEPTED	NE	27.1167	-79.7667	398.0	5.0	Florida	{}	North Atlantic Ocean	North Atlantic Ocean, United States, Florida	1965	7	16	1965-07-16	197	197	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2018-03-29T16:59:00.000+00:00	2024-07-02T12:38:25.423+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/306bb4f85-cd97-419b-bcf0-d1a14fb37ae8'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	True	NMNH Extant Biology	University of Miami	Stock, Jan H., Zoological Museum Amsterdam	Alcohol (Ethanol)	WGS84	Pycnogonida	US	[]	[]	NORTH_AMERICA	United States of America	NORTH_AMERICA	http://n2t.net/ark:/65665/306bb4f85-cd97-419b-bcf0-d1a14fb37ae8	urn:lsid:biocol.org:col:34871	unknown, from legacy	St. Lucie, East of	Degrees Minutes Seconds	G652	IZ	1317354795	http://n2t.net/ark:/65665/306bb4f85-cd97-419b-bcf0-d1a14fb37ae8	USNM 149234	USNM	652	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Ascorhynchidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6			PARATYPE								
1320540635	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:39:27.971+00:00	395	{}	PRESERVED_SPECIMEN	1.0	PRESENT		2118372	1	54	354	9477065	4338615	2118315	2118372	2118372	Ascorhynchus ovicoxa Stock, 1975	Ascorhynchus ovicoxa Stock, 1975	Animalia	Arthropoda	Pantopoda	Ascorhynchidae	Ascorhynchus	Ascorhynchus ovicoxa	Ascorhynchus	ovicoxa	SPECIES	ACCEPTED	NE	27.1167	-79.7667	398.0	5.0	Florida	{}	North Atlantic Ocean	North Atlantic Ocean, United States, Florida	1965	7	16	1965-07-16	197	197	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2018-03-29T16:59:00.000+00:00	2024-07-02T12:39:27.971+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/393a992c6-029d-4ba3-b3a1-eb528b4e1210'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	True	NMNH Extant Biology	University of Miami	Stock, Jan H., Zoological Museum Amsterdam	Alcohol (Ethanol)	WGS84	Pycnogonida	US	[]	[]	NORTH_AMERICA	United States of America	NORTH_AMERICA	http://n2t.net/ark:/65665/393a992c6-029d-4ba3-b3a1-eb528b4e1210	urn:lsid:biocol.org:col:34871	unknown, from legacy	St. Lucie, East of	Degrees Minutes Seconds	G652	IZ	1320540635	http://n2t.net/ark:/65665/393a992c6-029d-4ba3-b3a1-eb528b4e1210	USNM 149233	USNM	652	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Ascorhynchidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6	FEMALE		HOLOTYPE								
