key	datasetKey	publishingOrgKey	networkKeys	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	individualCount	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	dateIdentified	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	depth	depthAccuracy	gadm	waterBody	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	modified	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	isInCluster	identifiedBy	samplingProtocol	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	identifier	scientificNameID	footprintWKT	locality	fieldNumber	collectionCode	gbifID	language	occurrenceID	taxonRemarks	catalogNumber	institutionCode	occurrenceRemarks	bibliographicCitation	datasetName	recordedBy	preparations	locationID	georeferenceSources	sex	continent	typeStatus	institutionKey	rightsHolder	nomenclaturalCode	institutionID	verbatimEventDate	higherClassification	collectionKey	otherCatalogNumbers	acceptedNameUsage	eventRemarks
1426808250	03e5566b-7802-45cc-a1be-bac840e2a133	c58ac019-b413-4613-8772-39e57acbeb8e	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f0d34585-ddcb-4915-9332-6043585e831a	c58ac019-b413-4613-8772-39e57acbeb8e	NZ	EML	2024-01-26T19:08:32.177+00:00	2024-01-29T08:17:30.752+00:00	259	{}	HUMAN_OBSERVATION	1.0	PRESENT	2117941	1	54	354	9477065	6314	2117918	2117941	2117941	Austrodecus frigorifugum Stock, 1954	Austrodecus frigorifugum Stock, 1954	Animalia	Arthropoda	Pantopoda	Austrodecidae	Austrodecus	Austrodecus frigorifugum	Austrodecus	frigorifugum	SPECIES	ACCEPTED	NE	2005-06-20T00:00:00	-71.739333	171.657833	30.0	411.0	0.0	{}	Southern Ocean	2004.0	2.0	5.0	2004-02-05T09:30	36.0	36.0	['COUNTRY_DERIVED_FROM_COORDINATES']	2013-11-03T00:00:00.000+00:00	2024-01-29T08:17:30.752+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '1837'}]	[]	[]	[]	True	Johanna Nielsen	Van Veen grab	WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	OCEANIA	1837	urn:lsid:marinespecies.org:taxname:240203	POINT (171.657833 -71.739333)	Ross 3	TAN0402/16	MBIS BioRoss	1426808250	en	1837	Austrodecus frigorifugum	TAN0402/16 Austrodecus frigorifugum	NIWA	GearType= Van Veen Grab	Austrodecus frigorifugum (MBIS BioRoss 1837)																		
1426808172	03e5566b-7802-45cc-a1be-bac840e2a133	c58ac019-b413-4613-8772-39e57acbeb8e	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f0d34585-ddcb-4915-9332-6043585e831a	c58ac019-b413-4613-8772-39e57acbeb8e	NZ	EML	2024-01-26T19:08:32.177+00:00	2024-01-29T08:17:30.763+00:00	259	{}	HUMAN_OBSERVATION	14.0	PRESENT	2117941	1	54	354	9477065	6314	2117918	2117941	2117941	Austrodecus frigorifugum Stock, 1954	Austrodecus frigorifugum Stock, 1954	Animalia	Arthropoda	Pantopoda	Austrodecidae	Austrodecus	Austrodecus frigorifugum	Austrodecus	frigorifugum	SPECIES	ACCEPTED	NE	2005-06-20T00:00:00	-71.7995	170.948667	30.0	168.0	0.0	{}	Southern Ocean	2004.0	2.0	9.0	2004-02-09T12:12	40.0	40.0	['COUNTRY_DERIVED_FROM_COORDINATES']	2013-11-03T00:00:00.000+00:00	2024-01-29T08:17:30.763+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '1856'}]	[]	[]	[]	True	Johanna Nielsen	Van Veen grab	WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	OCEANIA	1856	urn:lsid:marinespecies.org:taxname:240203	POINT (170.948667 -71.7995)	Ross 3	TAN0402/21	MBIS BioRoss	1426808172	en	1856	Austrodecus frigorifugum	TAN0402/21 Austrodecus frigorifugum	NIWA	GearType= Van Veen Grab	Austrodecus frigorifugum (MBIS BioRoss 1856)																		
1426808192	03e5566b-7802-45cc-a1be-bac840e2a133	c58ac019-b413-4613-8772-39e57acbeb8e	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f0d34585-ddcb-4915-9332-6043585e831a	c58ac019-b413-4613-8772-39e57acbeb8e	NZ	EML	2024-01-26T19:08:32.177+00:00	2024-01-29T08:17:30.765+00:00	259	{}	HUMAN_OBSERVATION	4.0	PRESENT	2117941	1	54	354	9477065	6314	2117918	2117941	2117941	Austrodecus frigorifugum Stock, 1954	Austrodecus frigorifugum Stock, 1954	Animalia	Arthropoda	Pantopoda	Austrodecidae	Austrodecus	Austrodecus frigorifugum	Austrodecus	frigorifugum	SPECIES	ACCEPTED	NE	2005-06-20T00:00:00	-71.797833	170.941	30.0	119.0	0.0	{}	Southern Ocean	2004.0	2.0	9.0	2004-02-09T13:57	40.0	40.0	['COUNTRY_DERIVED_FROM_COORDINATES']	2013-11-03T00:00:00.000+00:00	2024-01-29T08:17:30.765+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '1862'}]	[]	[]	[]	True	Johanna Nielsen	Van Veen grab	WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	OCEANIA	1862	urn:lsid:marinespecies.org:taxname:240203	POINT (170.941 -71.797833)	Ross 3	TAN0402/24	MBIS BioRoss	1426808192	en	1862	Austrodecus frigorifugum	TAN0402/24 Austrodecus frigorifugum	NIWA	GearType= Van Veen Grab	Austrodecus frigorifugum (MBIS BioRoss 1862)																		
1426808244	03e5566b-7802-45cc-a1be-bac840e2a133	c58ac019-b413-4613-8772-39e57acbeb8e	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f0d34585-ddcb-4915-9332-6043585e831a	c58ac019-b413-4613-8772-39e57acbeb8e	NZ	EML	2024-01-26T19:08:32.177+00:00	2024-01-29T08:17:30.771+00:00	259	{}	HUMAN_OBSERVATION	1.0	PRESENT	2117941	1	54	354	9477065	6314	2117918	2117941	2117941	Austrodecus frigorifugum Stock, 1954	Austrodecus frigorifugum Stock, 1954	Animalia	Arthropoda	Pantopoda	Austrodecidae	Austrodecus	Austrodecus frigorifugum	Austrodecus	frigorifugum	SPECIES	ACCEPTED	NE	2005-06-20T00:00:00	-71.746333	171.291333	30.0	277.0	0.0	{}	Southern Ocean	2004.0	2.0	9.0	2004-02-09T22:23	40.0	40.0	['COUNTRY_DERIVED_FROM_COORDINATES']	2013-11-03T00:00:00.000+00:00	2024-01-29T08:17:30.771+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '1882'}]	[]	[]	[]	True	Johanna Nielsen	Van Veen grab	WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	OCEANIA	1882	urn:lsid:marinespecies.org:taxname:240203	POINT (171.291333 -71.746333)	Ross 3	TAN0402/30	MBIS BioRoss	1426808244	en	1882	Austrodecus frigorifugum	TAN0402/30 Austrodecus frigorifugum	NIWA	GearType= Van Veen Grab	Austrodecus frigorifugum (MBIS BioRoss 1882)																		
1426808181	03e5566b-7802-45cc-a1be-bac840e2a133	c58ac019-b413-4613-8772-39e57acbeb8e	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f0d34585-ddcb-4915-9332-6043585e831a	c58ac019-b413-4613-8772-39e57acbeb8e	NZ	EML	2024-01-26T19:08:32.177+00:00	2024-01-29T08:17:30.771+00:00	259	{}	HUMAN_OBSERVATION	3.0	PRESENT	2117941	1	54	354	9477065	6314	2117918	2117941	2117941	Austrodecus frigorifugum Stock, 1954	Austrodecus frigorifugum Stock, 1954	Animalia	Arthropoda	Pantopoda	Austrodecidae	Austrodecus	Austrodecus frigorifugum	Austrodecus	frigorifugum	SPECIES	ACCEPTED	NE	2005-06-20T00:00:00	-71.7685	171.101167	30.0	235.0	0.0	{}	Southern Ocean	2004.0	2.0	10.0	2004-02-10T03:12	41.0	41.0	['COUNTRY_DERIVED_FROM_COORDINATES']	2013-11-03T00:00:00.000+00:00	2024-01-29T08:17:30.771+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '1884'}]	[]	[]	[]	True	Johanna Nielsen	Van Veen grab	WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	OCEANIA	1884	urn:lsid:marinespecies.org:taxname:240203	POINT (171.101167 -71.7685)	Ross 3	TAN0402/34	MBIS BioRoss	1426808181	en	1884	Austrodecus frigorifugum	TAN0402/34 Austrodecus frigorifugum	NIWA	GearType= Van Veen Grab	Austrodecus frigorifugum (MBIS BioRoss 1884)																		
1426808261	03e5566b-7802-45cc-a1be-bac840e2a133	c58ac019-b413-4613-8772-39e57acbeb8e	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f0d34585-ddcb-4915-9332-6043585e831a	c58ac019-b413-4613-8772-39e57acbeb8e	NZ	EML	2024-01-26T19:08:32.177+00:00	2024-01-29T08:17:30.769+00:00	259	{}	HUMAN_OBSERVATION	2.0	PRESENT	2117941	1	54	354	9477065	6314	2117918	2117941	2117941	Austrodecus frigorifugum Stock, 1954	Austrodecus frigorifugum Stock, 1954	Animalia	Arthropoda	Pantopoda	Austrodecidae	Austrodecus	Austrodecus frigorifugum	Austrodecus	frigorifugum	SPECIES	ACCEPTED	NE	2005-06-20T00:00:00	-71.754333	171.143167	30.0	245.0	0.0	{}	Southern Ocean	2004.0	2.0	10.0	2004-02-10T07:33	41.0	41.0	['COUNTRY_DERIVED_FROM_COORDINATES']	2013-11-03T00:00:00.000+00:00	2024-01-29T08:17:30.769+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '1891'}]	[]	[]	[]	True	Johanna Nielsen	Van Veen grab	WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	OCEANIA	1891	urn:lsid:marinespecies.org:taxname:240203	POINT (171.143167 -71.754333)	Ross 3	TAN0402/38	MBIS BioRoss	1426808261	en	1891	Austrodecus frigorifugum	TAN0402/38 Austrodecus frigorifugum	NIWA	GearType= Van Veen Grab	Austrodecus frigorifugum (MBIS BioRoss 1891)																		
1426808257	03e5566b-7802-45cc-a1be-bac840e2a133	c58ac019-b413-4613-8772-39e57acbeb8e	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f0d34585-ddcb-4915-9332-6043585e831a	c58ac019-b413-4613-8772-39e57acbeb8e	NZ	EML	2024-01-26T19:08:32.177+00:00	2024-01-29T08:17:29.391+00:00	259	{}	HUMAN_OBSERVATION	2.0	PRESENT	2117941	1	54	354	9477065	6314	2117918	2117941	2117941	Austrodecus frigorifugum Stock, 1954	Austrodecus frigorifugum Stock, 1954	Animalia	Arthropoda	Pantopoda	Austrodecidae	Austrodecus	Austrodecus frigorifugum	Austrodecus	frigorifugum	SPECIES	ACCEPTED	NE	2005-06-20T00:00:00	-72.315333	170.361	30.0	130.0	0.0	{}	Southern Ocean	2004.0	2.0	10.0	2004-02-10T22:02	41.0	41.0	['COUNTRY_DERIVED_FROM_COORDINATES']	2013-11-03T00:00:00.000+00:00	2024-01-29T08:17:29.391+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '1905'}]	[]	[]	[]	False	Johanna Nielsen	Van Veen grab	WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	OCEANIA	1905	urn:lsid:marinespecies.org:taxname:240203	POINT (170.361 -72.315333)	Ross 5	TAN0402/47	MBIS BioRoss	1426808257	en	1905	Austrodecus frigorifugum	TAN0402/47 Austrodecus frigorifugum	NIWA	GearType= Van Veen Grab	Austrodecus frigorifugum (MBIS BioRoss 1905)																		
1426808289	03e5566b-7802-45cc-a1be-bac840e2a133	c58ac019-b413-4613-8772-39e57acbeb8e	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f0d34585-ddcb-4915-9332-6043585e831a	c58ac019-b413-4613-8772-39e57acbeb8e	NZ	EML	2024-01-26T19:08:32.177+00:00	2024-01-29T08:17:29.398+00:00	259	{}	HUMAN_OBSERVATION	6.0	PRESENT	2117941	1	54	354	9477065	6314	2117918	2117941	2117941	Austrodecus frigorifugum Stock, 1954	Austrodecus frigorifugum Stock, 1954	Animalia	Arthropoda	Pantopoda	Austrodecidae	Austrodecus	Austrodecus frigorifugum	Austrodecus	frigorifugum	SPECIES	ACCEPTED	NE	2005-06-20T00:00:00	-72.332667	170.389	30.0	152.0	0.0	{}	Southern Ocean	2004.0	2.0	12.0	2004-02-12T23:29	43.0	43.0	['COUNTRY_DERIVED_FROM_COORDINATES']	2013-11-03T00:00:00.000+00:00	2024-01-29T08:17:29.398+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '1914'}]	[]	[]	[]	True	Johanna Nielsen	Van Veen grab	WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	OCEANIA	1914	urn:lsid:marinespecies.org:taxname:240203	POINT (170.389 -72.332667)	Ross 5	TAN0402/51	MBIS BioRoss	1426808289	en	1914	Austrodecus frigorifugum	TAN0402/51 Austrodecus frigorifugum	NIWA	GearType= Van Veen Grab	Austrodecus frigorifugum (MBIS BioRoss 1914)																		
1426808266	03e5566b-7802-45cc-a1be-bac840e2a133	c58ac019-b413-4613-8772-39e57acbeb8e	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f0d34585-ddcb-4915-9332-6043585e831a	c58ac019-b413-4613-8772-39e57acbeb8e	NZ	EML	2024-01-26T19:08:32.177+00:00	2024-01-29T08:17:29.402+00:00	259	{}	HUMAN_OBSERVATION	5.0	PRESENT	2117941	1	54	354	9477065	6314	2117918	2117941	2117941	Austrodecus frigorifugum Stock, 1954	Austrodecus frigorifugum Stock, 1954	Animalia	Arthropoda	Pantopoda	Austrodecidae	Austrodecus	Austrodecus frigorifugum	Austrodecus	frigorifugum	SPECIES	ACCEPTED	NE	2005-06-20T00:00:00	-72.331	170.389	30.0	152.0	0.0	{}	Southern Ocean	2004.0	2.0	13.0	2004-02-13T00:41	44.0	44.0	['COUNTRY_DERIVED_FROM_COORDINATES']	2013-11-03T00:00:00.000+00:00	2024-01-29T08:17:29.402+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '1921'}]	[]	[]	[]	False	Johanna Nielsen	Van Veen grab	WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	OCEANIA	1921	urn:lsid:marinespecies.org:taxname:240203	POINT (170.389 -72.331)	Ross 5	TAN0402/53	MBIS BioRoss	1426808266	en	1921	Austrodecus frigorifugum	TAN0402/53 Austrodecus frigorifugum	NIWA	GearType= Van Veen Grab	Austrodecus frigorifugum (MBIS BioRoss 1921)																		
1426808247	03e5566b-7802-45cc-a1be-bac840e2a133	c58ac019-b413-4613-8772-39e57acbeb8e	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f0d34585-ddcb-4915-9332-6043585e831a	c58ac019-b413-4613-8772-39e57acbeb8e	NZ	EML	2024-01-26T19:08:32.177+00:00	2024-01-29T08:17:29.407+00:00	259	{}	HUMAN_OBSERVATION	3.0	PRESENT	2117941	1	54	354	9477065	6314	2117918	2117941	2117941	Austrodecus frigorifugum Stock, 1954	Austrodecus frigorifugum Stock, 1954	Animalia	Arthropoda	Pantopoda	Austrodecidae	Austrodecus	Austrodecus frigorifugum	Austrodecus	frigorifugum	SPECIES	ACCEPTED	NE	2005-06-20T00:00:00	-72.331667	170.460667	30.0	230.0	0.0	{}	Southern Ocean	2004.0	2.0	13.0	2004-02-13T07:06	44.0	44.0	['COUNTRY_DERIVED_FROM_COORDINATES']	2013-11-03T00:00:00.000+00:00	2024-01-29T08:17:29.407+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '1924'}]	[]	[]	[]	True	Johanna Nielsen	Van Veen grab	WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	OCEANIA	1924	urn:lsid:marinespecies.org:taxname:240203	POINT (170.460667 -72.331667)	Ross 5	TAN0402/58	MBIS BioRoss	1426808247	en	1924	Austrodecus frigorifugum	TAN0402/58 Austrodecus frigorifugum	NIWA	GearType= Van Veen Grab	Austrodecus frigorifugum (MBIS BioRoss 1924)																		
