key	datasetKey	publishingOrgKey	networkKeys	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	dateIdentified	decimalLatitude	decimalLongitude	coordinatePrecision	coordinateUncertaintyInMeters	continent	gadm	waterBody	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	institutionKey	isInCluster	otherCatalogNumbers	recordedBy	identifiedBy	samplingProtocol	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	eventID	identifier	acceptedNameUsage	http://unknown.org/taxonRankID	dynamicProperties	verbatimLocality	collectionCode	gbifID	occurrenceID	catalogNumber	locationRemarks	institutionCode	taxonConceptID	eventTime	http://unknown.org/species	nameAccordingTo	sex	depth	typeStatus	modified	references	datasetID	scientificNameID	locality	bibliographicCitation	preparations	rightsHolder	nomenclaturalCode	institutionID	verbatimEventDate	higherClassification	collectionKey	datasetName	eventRemarks	associatedSequences	occurrenceRemarks	taxonID
1100797274	dce8feb0-6c89-11de-8225-b8a03c50a862	770c30d2-c2a8-4bb2-8056-6167297cddae	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:20:52.620+00:00	2024-07-02T07:18:56.710+00:00	384	{}	PRESERVED_SPECIMEN	PRESENT	2117954	1	54	354	9477065	6314	2117918	2117954	2117954	Austrodecus gordonae Stock, 1954	Austrodecus gordonae Stock, 1954	Animalia	Arthropoda	Pantopoda	Austrodecidae	Austrodecus	Austrodecus gordonae	Austrodecus	gordonae	SPECIES	ACCEPTED	NE	2011-01-01T00:00:00	-29.24666	-177.88177	1e-05	100.0	OCEANIA	{}	Pacific Ocean	2011.0	5.0	12.0	2011-05-12	132.0	132.0	['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2024-07-02T07:18:56.710+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '119fad8b-c839-4f6c-8142-e7e243ba5241'}]	[]	[]	[]	9cfe8cbf-35ff-4d93-b932-cb05d91b7922	False	ecatalogue.irn:1471474|urn:catalog:AM:Invertebrates - Marine & Other:P.88545	Ballance, Alison	Arango, Dr Claudia - Queensland Museum	3kg rotenone and hand nets; hand collecting	WGS84	Pycnogonida	NZ	[]	[]	OCEANIA	New Zealand	OCEANIA	urn:australianmuseum.net.au:Events:1153278	119fad8b-c839-4f6c-8142-e7e243ba5241	Austrodecus gordonae Stock, 1954	7000	{dcterms:type:PhysicalObject,dcterms:modified:2018/5/29}	Kermadec Islands, west side of South Meyer Island	Invertebrates - Marine & Other	1100797274	119fad8b-c839-4f6c-8142-e7e243ba5241	P.88545	ecatalogue.LocCollectionEventLocal: [K2011-2] Pacific Ocean, New Zealand, Kermadec Islands, west side of South Meyer Island (29° 14' 48 S, 177° 52' 54 W) 12/05/2011 - 12/05/2011, 3kg rotenone and hand nets; hand collecting, Field Collected - Aquatic, Kermadec Biodiscovery Expedition;	AM	https://biodiversity.org.au/afd/taxa/dcd2c191-a990-426d-838f-2442b26ae740	11:52	Austrodecus gordonae	Stock, 1954																					
1100796114	dce8feb0-6c89-11de-8225-b8a03c50a862	770c30d2-c2a8-4bb2-8056-6167297cddae	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:20:52.620+00:00	2024-07-02T07:19:58.583+00:00	384	{}	PRESERVED_SPECIMEN	PRESENT	2117954	1	54	354	9477065	6314	2117918	2117954	2117954	Austrodecus gordonae Stock, 1954	Austrodecus gordonae Stock, 1954	Animalia	Arthropoda	Pantopoda	Austrodecidae	Austrodecus	Austrodecus gordonae	Austrodecus	gordonae	SPECIES	ACCEPTED	NE	2011-01-01T00:00:00	-29.27777	-177.89527	1e-05	100.0	OCEANIA	{}	Pacific Ocean	2011.0	5.0	15.0	2011-05-15	135.0	135.0	['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2024-07-02T07:19:58.583+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'ca768b9e-f064-451d-9959-040ec51cefbb'}]	[]	[]	[]	9cfe8cbf-35ff-4d93-b932-cb05d91b7922	False	ecatalogue.irn:1431946|urn:catalog:AM:Invertebrates - Marine & Other:P.87358	Keable, Stephen John|Australian Museum|Invertebrates, Marine	Arango, Dr Claudia - Queensland Museum	Airlift on SCUBA	WGS84	Pycnogonida	NZ	[]	[]	OCEANIA	New Zealand	OCEANIA	urn:australianmuseum.net.au:Events:1153304	ca768b9e-f064-451d-9959-040ec51cefbb	Austrodecus gordonae Stock, 1954	7000	{dcterms:type:PhysicalObject,dcterms:modified:2018/5/29}	Kermadec Islands, Raoul Island, Boat Cove	Invertebrates - Marine & Other	1100796114	ca768b9e-f064-451d-9959-040ec51cefbb	P.87358	ecatalogue.LocCollectionEventLocal: [K2011-28] Pacific Ocean, New Zealand, Kermadec Islands, Raoul Island, Boat Cove (29° 16' 40 S, 177° 53' 43 W) 15/05/2011 - 15/05/2011, Airlift on SCUBA, Field Collected - Aquatic, Kermadec Biodiscovery Expedition;	AM	https://biodiversity.org.au/afd/taxa/dcd2c191-a990-426d-838f-2442b26ae740	16:0	Austrodecus gordonae	Stock, 1954																					
1100797265	dce8feb0-6c89-11de-8225-b8a03c50a862	770c30d2-c2a8-4bb2-8056-6167297cddae	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:20:52.620+00:00	2024-07-02T07:20:11.342+00:00	384	{}	PRESERVED_SPECIMEN	PRESENT	2117954	1	54	354	9477065	6314	2117918	2117954	2117954	Austrodecus gordonae Stock, 1954	Austrodecus gordonae Stock, 1954	Animalia	Arthropoda	Pantopoda	Austrodecidae	Austrodecus	Austrodecus gordonae	Austrodecus	gordonae	SPECIES	ACCEPTED	NE	2011-01-01T00:00:00	-29.24163	-177.87788	1e-05	100.0	OCEANIA	{}	Pacific Ocean	2011.0	5.0	20.0	2011-05-20	140.0	140.0	['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2024-07-02T07:20:11.342+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'f17b4ea5-69f5-46b8-9c89-9ca58cd1c120'}]	[]	[]	[]	9cfe8cbf-35ff-4d93-b932-cb05d91b7922	False	ecatalogue.irn:1471446|urn:catalog:AM:Invertebrates - Marine & Other:P.88542	Keable, Stephen John|Australian Museum|Invertebrates, Marine	Arango, Dr Claudia - Queensland Museum	Hand collecting on SCUBA	WGS84	Pycnogonida	NZ	[]	[]	OCEANIA	New Zealand	OCEANIA	urn:australianmuseum.net.au:Events:1153338	f17b4ea5-69f5-46b8-9c89-9ca58cd1c120	Austrodecus gordonae Stock, 1954	7000	{dcterms:type:PhysicalObject,dcterms:modified:2018/5/29}	Kermadec Islands, North Meyer Island, north-west corner	Invertebrates - Marine & Other	1100797265	f17b4ea5-69f5-46b8-9c89-9ca58cd1c120	P.88542	ecatalogue.LocCollectionEventLocal: [K2011-62] Pacific Ocean, New Zealand, Kermadec Islands, North Meyer Island, north-west corner (29° 14' 30 S, 177° 52' 40 W) 20/05/2011 - 20/05/2011, Hand collecting on SCUBA, Field Collected - Aquatic, Kermadec Biodiscovery Expedition;	AM	https://biodiversity.org.au/afd/taxa/dcd2c191-a990-426d-838f-2442b26ae740	9:17	Austrodecus gordonae	Stock, 1954	MALE																				
4055738336	2f7c33b3-ea7a-40ac-a3b7-bace96f978f7	2089ce96-4fb5-4a20-999c-3ccf45a27a4d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f9df6cff-21d4-4d4b-8da4-eda454f5a086	2089ce96-4fb5-4a20-999c-3ccf45a27a4d	BE	EML	2024-07-02T17:06:09.698+00:00	2024-07-02T17:07:03.596+00:00	81	{}	PRESERVED_SPECIMEN	PRESENT	2117954	1	54	354	9477065	6314	2117918	2117954	2117954	Austrodecus gordonae Stock, 1954	Austrodecus gordonae Stock, 1954	Animalia	Arthropoda	Pantopoda	Austrodecidae	Austrodecus	Austrodecus gordonae	Austrodecus	gordonae	SPECIES	ACCEPTED	NE		-34.17	172.08			OCEANIA	{}		1915.0	1.0	5.0	1915-01-05	5.0	5.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'CONTINENT_DERIVED_FROM_COORDINATES', 'INSTITUTION_MATCH_NONE']	2024-07-02T17:07:03.596+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'WoRMS Editorial Board:WoRMS type localities:sm_id_1754'}]	[]	[]	[]		True					WGS84	Pycnogonida	NZ	[]	[]	OCEANIA	New Zealand	EUROPE		WoRMS Editorial Board:WoRMS type localities:sm_id_1754					WoRMS type localities	4055738336	WoRMS Editorial Board:WoRMS type localities:sm_id_1754	sm_id_1754		WoRMS Editorial Board						119.0	HOLOTYPE	2007-06-20T15:52:33.000+00:00	http://www.marinespecies.org/aphia.php?p=specdetails&id=1754	https://marineinfo.org/id/dataset/5184	urn:lsid:marinespecies.org:taxname:240062	Tasman Sea	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Austrodecus gordonae</i> Stock, 1954. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=240062												
2434363495	b4aad9c3-518b-4550-82de-c70a7ead1b64	396d5f30-dea9-11db-8ab4-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	65eb93af-41b8-4917-a5fc-cfe2a45aa4bf	396d5f30-dea9-11db-8ab4-b8a03c50a862	NL	DWC_ARCHIVE	2024-07-23T00:32:26.361+00:00	2024-07-23T00:33:36.981+00:00	393	{'http://rs.tdwg.org/ac/terms/Multimedia': [{'http://rs.tdwg.org/ac/terms/accessURI': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1173/format/large', 'http://ns.adobe.com/xap/1.0/rights/Owner': 'Naturalis Biodiversity Center', 'http://rs.tdwg.org/ac/terms/caption': 'ZMA.PYC.P.1173_0', 'http://purl.org/dc/terms/format': 'image/jpeg', 'http://purl.org/dc/elements/1.1/type': 'StillImage', 'http://rs.tdwg.org/ac/terms/variant': 'ac:GoodQuality', 'http://purl.org/dc/terms/identifier': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1173/format/large', 'http://purl.org/dc/terms/rights': 'CC0 1.0'}]}	PRESERVED_SPECIMEN	PRESENT	2117954	1	54	354	9477065	6314	2117918	2117954	2117954	Austrodecus gordonae Stock, 1954	Austrodecus gordonae Stock, 1954	Animalia	Arthropoda	Pantopoda	Austrodecidae	Austrodecus	Austrodecus gordonae	Austrodecus	gordonae	SPECIES	ACCEPTED	NE						OCEANIA	{}		1915.0	1.0	5.0	1915-01-05	5.0	5.0	['CONTINENT_DERIVED_FROM_COUNTRY', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2024-07-23T00:33:36.981+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'ZMA.PYC.P.1173@CRS'}]	[{'type': 'StillImage', 'format': 'image/jpeg', 'description': 'ZMA.PYC.P.1173_0', 'license': 'http://creativecommons.org/publicdomain/zero/1.0/', 'rightsHolder': 'Naturalis Biodiversity Center', 'identifier': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1173/format/large'}]	[]	[]	0e919a55-08d3-4bd2-aec1-200858fafd92	True		Th. Mortensen				Pycnogonida	NZ	[]	[]	OCEANIA	New Zealand	EUROPE		ZMA.PYC.P.1173@CRS					Chelicerata and Myriapoda	2434363495	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.PYC.P.1173	ZMA.PYC.P.1173							FEMALE		HOLOTYPE	2020-04-03T00:00:00.000+00:00				Three Kings		WholeOrganism (microscopic slide)	Naturalis Biodiversity Center	ICZN	Naturalis Biodiversity Center	5-I-1915	Animalia						
2434364488	b4aad9c3-518b-4550-82de-c70a7ead1b64	396d5f30-dea9-11db-8ab4-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	65eb93af-41b8-4917-a5fc-cfe2a45aa4bf	396d5f30-dea9-11db-8ab4-b8a03c50a862	NL	DWC_ARCHIVE	2024-07-23T00:32:26.361+00:00	2024-07-23T00:33:21.627+00:00	393	{'http://rs.tdwg.org/ac/terms/Multimedia': [{'http://rs.tdwg.org/ac/terms/accessURI': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1174/format/large', 'http://ns.adobe.com/xap/1.0/rights/Owner': 'Naturalis Biodiversity Center', 'http://rs.tdwg.org/ac/terms/caption': 'ZMA.PYC.P.1174_0', 'http://purl.org/dc/terms/format': 'image/jpeg', 'http://purl.org/dc/elements/1.1/type': 'StillImage', 'http://rs.tdwg.org/ac/terms/variant': 'ac:GoodQuality', 'http://purl.org/dc/terms/identifier': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1174/format/large', 'http://purl.org/dc/terms/rights': 'CC0 1.0'}]}	PRESERVED_SPECIMEN	PRESENT	2117954	1	54	354	9477065	6314	2117918	2117954	2117954	Austrodecus gordonae Stock, 1954	Austrodecus gordonae Stock, 1954	Animalia	Arthropoda	Pantopoda	Austrodecidae	Austrodecus	Austrodecus gordonae	Austrodecus	gordonae	SPECIES	ACCEPTED	NE						OCEANIA	{}		1915.0	1.0	5.0	1915-01-05	5.0	5.0	['CONTINENT_DERIVED_FROM_COUNTRY', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2024-07-23T00:33:21.627+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'ZMA.PYC.P.1174@CRS'}]	[{'type': 'StillImage', 'format': 'image/jpeg', 'description': 'ZMA.PYC.P.1174_0', 'license': 'http://creativecommons.org/publicdomain/zero/1.0/', 'rightsHolder': 'Naturalis Biodiversity Center', 'identifier': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1174/format/large'}]	[]	[]	0e919a55-08d3-4bd2-aec1-200858fafd92	False		Th. Mortensen				Pycnogonida	NZ	[]	[]	OCEANIA	New Zealand	EUROPE		ZMA.PYC.P.1174@CRS					Chelicerata and Myriapoda	2434364488	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.PYC.P.1174	ZMA.PYC.P.1174							FEMALE			2020-04-03T00:00:00.000+00:00				Three Kings		WholeOrganism (microscopic slide)	Naturalis Biodiversity Center	ICZN	Naturalis Biodiversity Center	5-I-1915	Animalia						
2434361496	b4aad9c3-518b-4550-82de-c70a7ead1b64	396d5f30-dea9-11db-8ab4-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	65eb93af-41b8-4917-a5fc-cfe2a45aa4bf	396d5f30-dea9-11db-8ab4-b8a03c50a862	NL	DWC_ARCHIVE	2024-07-23T00:32:26.361+00:00	2024-07-23T00:33:22.158+00:00	393	{'http://rs.tdwg.org/ac/terms/Multimedia': [{'http://rs.tdwg.org/ac/terms/accessURI': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1175/format/large', 'http://ns.adobe.com/xap/1.0/rights/Owner': 'Naturalis Biodiversity Center', 'http://rs.tdwg.org/ac/terms/caption': 'ZMA.PYC.P.1175_0', 'http://purl.org/dc/terms/format': 'image/jpeg', 'http://purl.org/dc/elements/1.1/type': 'StillImage', 'http://rs.tdwg.org/ac/terms/variant': 'ac:GoodQuality', 'http://purl.org/dc/terms/identifier': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1175/format/large', 'http://purl.org/dc/terms/rights': 'CC0 1.0'}]}	PRESERVED_SPECIMEN	PRESENT	2117954	1	54	354	9477065	6314	2117918	2117954	2117954	Austrodecus gordonae Stock, 1954	Austrodecus gordonae Stock, 1954	Animalia	Arthropoda	Pantopoda	Austrodecidae	Austrodecus	Austrodecus gordonae	Austrodecus	gordonae	SPECIES	ACCEPTED	NE						OCEANIA	{}		1915.0	1.0	5.0	1915-01-05	5.0	5.0	['CONTINENT_DERIVED_FROM_COUNTRY', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2024-07-23T00:33:22.158+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'ZMA.PYC.P.1175@CRS'}]	[{'type': 'StillImage', 'format': 'image/jpeg', 'description': 'ZMA.PYC.P.1175_0', 'license': 'http://creativecommons.org/publicdomain/zero/1.0/', 'rightsHolder': 'Naturalis Biodiversity Center', 'identifier': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1175/format/large'}]	[]	[]	0e919a55-08d3-4bd2-aec1-200858fafd92	False		Th. Mortensen				Pycnogonida	NZ	[]	[]	OCEANIA	New Zealand	EUROPE		ZMA.PYC.P.1175@CRS					Chelicerata and Myriapoda	2434361496	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.PYC.P.1175	ZMA.PYC.P.1175							FEMALE			2020-04-03T00:00:00.000+00:00				Three Kings		WholeOrganism (microscopic slide)	Naturalis Biodiversity Center	ICZN	Naturalis Biodiversity Center	5-I-1915	Animalia						
2012925655	58fc397b-eee4-4138-8a5f-50f9dfb00216	2e7df380-8356-4533-bcb3-5459e23c794e	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	7b21b165-f4b0-4be4-b7dd-c2cbfc9c28a3	2e7df380-8356-4533-bcb3-5459e23c794e	DK	DWC_ARCHIVE	2024-07-21T09:59:22.110+00:00	2024-07-21T10:20:05.488+00:00	275	{'http://rs.tdwg.org/dwc/terms/Identification': [{'http://rs.tdwg.org/dwc/terms/typeStatus': 'type', 'http://rs.tdwg.org/dwc/terms/identificationVerificationStatus': '1', 'http://rs.tdwg.org/dwc/terms/identificationID': '26c3b6b6-5448-4062-f046-7dac5fae1d7d', 'http://rs.tdwg.org/dwc/terms/scientificName': 'Austrodecus gordonnae Stock, 1954'}]}	PRESERVED_SPECIMEN	PRESENT	2117954	1	54	354	9477065	6314	2117918	2117954	2117954	Austrodecus gordonae Stock, 1954	Austrodecus gordonae Stock, 1954	Animalia	Arthropoda	Pantopoda	Austrodecidae	Austrodecus	Austrodecus gordonae	Austrodecus	gordonae	SPECIES	ACCEPTED	NE							{}								['TAXON_MATCH_FUZZY']	2024-07-21T10:20:05.488+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '542b575a-d93c-4b50-91e0-1b18b87978e5'}]	[]	[]	[]	68fcaba0-61fe-4e78-a460-4f37654d025d	True	PYC-000025					Pycnogonida		[]	[]			EUROPE		542b575a-d93c-4b50-91e0-1b18b87978e5	Austrodecus gordonnae				IV	2012925655	542b575a-d93c-4b50-91e0-1b18b87978e5	NHMD110629		NHMD							TYPE	2013-06-17T00:00:00.000+00:00						various			http://grbio.org/cool/mci8-ehqk			e4cac6b7-41e4-404d-b9b2-ea507703f671	Natural History Museum Denmark Invertebrate Zoology	A station used for material with no information about the collecting event or where the information is untrustworthy (in the latter case this should be explained in the collection object remarks).			
3349418377	d8cd16ba-bb74-4420-821e-083f2bac17c2	ada9d123-ddb4-467d-8891-806ea8d94230		17a83780-3060-4851-9d6f-029d5fcb81c9	fbca90e3-8aed-48b1-84e3-369afbd000ce	GB	EML	2024-07-20T12:06:08.628+00:00	2024-07-20T12:50:01.362+00:00	175	{}	PRESERVED_SPECIMEN	PRESENT	2117954	1	54	354	9477065	6314	2117918	2117954	2117954	Austrodecus gordonae Stock, 1954	Austrodecus gordonae Stock, 1954	Animalia	Arthropoda	Pantopoda	Austrodecidae	Austrodecus	Austrodecus gordonae	Austrodecus	gordonae	SPECIES	ACCEPTED	NE							{}								['TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'TAXON_MATCH_TAXON_ID_IGNORED']	2024-07-20T12:50:01.362+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	True	[{'identifier': 'MT865186'}]	[]	[]	[]		False						Pycnogonida		[]	[]			EUROPE		MT865186						3349418377	MT865186	AM:P87369			https://www.ebi.ac.uk/ena/browser/view/Taxon:2775413								https://www.ebi.ac.uk/ena/browser/view/MT865186														https://www.ebi.ac.uk/ena/browser/api/embl/MT865186	Austrodecus gordonae isolate PYC001 NADH dehydrogenase subunit 1 (ND1) gene, partial cds.	ASV:801152f9081dc52af0a8440e9a7e0019
2434402579	b4aad9c3-518b-4550-82de-c70a7ead1b64	396d5f30-dea9-11db-8ab4-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	65eb93af-41b8-4917-a5fc-cfe2a45aa4bf	396d5f30-dea9-11db-8ab4-b8a03c50a862	NL	DWC_ARCHIVE	2024-07-23T00:32:26.361+00:00	2024-07-23T00:33:42.101+00:00	393	{'http://rs.tdwg.org/ac/terms/Multimedia': [{'http://rs.tdwg.org/ac/terms/accessURI': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1171/format/large', 'http://ns.adobe.com/xap/1.0/rights/Owner': 'Naturalis Biodiversity Center', 'http://rs.tdwg.org/ac/terms/caption': 'ZMA.PYC.P.1171_0', 'http://purl.org/dc/terms/format': 'image/jpeg', 'http://purl.org/dc/elements/1.1/type': 'StillImage', 'http://rs.tdwg.org/ac/terms/variant': 'ac:GoodQuality', 'http://purl.org/dc/terms/identifier': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1171/format/large', 'http://purl.org/dc/terms/rights': 'CC0 1.0'}]}	PRESERVED_SPECIMEN	PRESENT	2117954	1	54	354	9477065	6314	2117918	2117954	2117954	Austrodecus gordonae Stock, 1954	Austrodecus gordonae Stock, 1954	Animalia	Arthropoda	Pantopoda	Austrodecidae	Austrodecus	Austrodecus gordonae	Austrodecus	gordonae	SPECIES	ACCEPTED	NE						OCEANIA	{}								['CONTINENT_DERIVED_FROM_COUNTRY', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2024-07-23T00:33:42.101+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'ZMA.PYC.P.1171@CRS'}]	[{'type': 'StillImage', 'format': 'image/jpeg', 'description': 'ZMA.PYC.P.1171_0', 'license': 'http://creativecommons.org/publicdomain/zero/1.0/', 'rightsHolder': 'Naturalis Biodiversity Center', 'identifier': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1171/format/large'}]	[]	[]	0e919a55-08d3-4bd2-aec1-200858fafd92	True		Th. Mortensen				Pycnogonida	NZ	[]	[]	OCEANIA	New Zealand	EUROPE		ZMA.PYC.P.1171@CRS					Chelicerata and Myriapoda	2434402579	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.PYC.P.1171	ZMA.PYC.P.1171							MALE		PARATYPE	2020-04-03T00:00:00.000+00:00				Three Kings		WholeOrganism (microscopic slide)	Naturalis Biodiversity Center	ICZN	Naturalis Biodiversity Center		Animalia						
