key	datasetKey	publishingOrgKey	networkKeys	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	projectId	extensions	basisOfRecord	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	depth	depthAccuracy	gadm	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	lastInterpreted	license	organismQuantity	organismQuantityType	isSequenced	identifiers	media	facts	relations	institutionKey	isInCluster	identifiedBy	preparations	samplingProtocol	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	eventID	identifier	scientificNameID	institutionID	verbatimEventDate	footprintWKT	fieldNumber	language	gbifID	occurrenceID	type	catalogNumber	institutionCode	sex	occurrenceRemarks	recordedBy	vernacularName	http://unknown.org/taxonRankID	taxonConceptID	locality	http://unknown.org/species	collectionCode	individualCount	dateIdentified	higherGeography	modified	datasetName	rightsHolder	nomenclaturalCode	verbatimLocality	locationID	ownerInstitutionCode	eventTime	higherClassification	continent	datasetID	bibliographicCitation	waterBody	collectionKey	georeferenceProtocol	verbatimCoordinateSystem	collectionID	lifeStage	habitat	typeStatus	otherCatalogNumbers	dynamicProperties	references	originalNameUsage	county	associatedReferences	identificationVerificationStatus	http://unknown.org/orders	nameAccordingTo	taxonID	http://unknown.org/language
3386516455	1e7b6980-0842-4c4a-8b14-541b95d2ed3c	104e9c96-791b-4f14-978c-f581cb214912	['8534dd20-c368-4a1f-bdaf-e6b390710f89', '2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	27c24cba-13c5-47d1-96a1-16abd8f11437	fb10a11f-4417-41c8-be6a-13a5c8535122	GB	EML	2024-01-23T14:13:17.412+00:00	2024-01-26T10:52:24.458+00:00	97	GOIPG/2019/4020	{}	PRESERVED_SPECIMEN	PRESENT	2118070	1	54	354	9477065	2011	2118069	2118070	2118070	Austropallene gracilipes Gordon, 1944	Austropallene gracilipes Gordon, 1944	Animalia	Arthropoda	Pantopoda	Callipallenidae	Austropallene	Austropallene gracilipes	Austropallene	gracilipes	SPECIES	ACCEPTED	NE	-75.7648	-30.4538	34.0	428.97	1.0300000000000011	{}	2012.0	2.0	22.0	2012-02-22	53.0	53.0	['COLLECTION_MATCH_NONE']	2024-01-26T10:52:24.458+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	1.0	individuals	False	[{'identifier': 'JR275_598.3'}]	[]	[]	[]	da671615-9a15-4844-9d5e-ef66382192fb	False	Jamie Maxwell	Whole animal in 96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr275.pdf	WGS84	Pycnogonida	AQ	[]	[{'type': 'ORCID', 'value': 'https://orcid.org/0000-0001-5705-2811'}]	ANTARCTICA	Antarctica	EUROPE	JR275	JR275_598.3	urn:lsid:marinespecies.org:taxname:173042	https://ror.org/01rhff309	22/02/2012	LINESTRING (-30.45297 -75.76453, -30.45472 -75.76497)	JR275_43	en	3386516455	JR275_598.3	PhysicalObject	JR275_598.3	BAS																																											
3386516463	1e7b6980-0842-4c4a-8b14-541b95d2ed3c	104e9c96-791b-4f14-978c-f581cb214912	['8534dd20-c368-4a1f-bdaf-e6b390710f89', '2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	27c24cba-13c5-47d1-96a1-16abd8f11437	fb10a11f-4417-41c8-be6a-13a5c8535122	GB	EML	2024-01-23T14:13:17.412+00:00	2024-01-26T10:52:24.459+00:00	97	GOIPG/2019/4020	{}	PRESERVED_SPECIMEN	PRESENT	2118070	1	54	354	9477065	2011	2118069	2118070	2118070	Austropallene gracilipes Gordon, 1944	Austropallene gracilipes Gordon, 1944	Animalia	Arthropoda	Pantopoda	Callipallenidae	Austropallene	Austropallene gracilipes	Austropallene	gracilipes	SPECIES	ACCEPTED	NE	-75.25	-29.0287	74.0	391.185	1.0149999999999864	{}	2012.0	3.0	4.0	2012-03-04	64.0	64.0	['COLLECTION_MATCH_NONE']	2024-01-26T10:52:24.459+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	1.0	individuals	False	[{'identifier': 'JR275_1530.1_01'}]	[]	[]	[]	da671615-9a15-4844-9d5e-ef66382192fb	False	Jamie Maxwell	Whole animal in 96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr275.pdf	WGS84	Pycnogonida	AQ	[]	[{'type': 'ORCID', 'value': 'https://orcid.org/0000-0001-5705-2811'}]	ANTARCTICA	Antarctica	EUROPE	JR275	JR275_1530.1_01	urn:lsid:marinespecies.org:taxname:173042	https://ror.org/01rhff309	4/3/2012	LINESTRING (-29.02708 -75.24953, -29.0304 -75.25056)	JR275_103	en	3386516463	JR275_1530.1_01	PhysicalObject	JR275_1530.1_01	BAS	MALE	3 bundles of eggs on ovigers																																									
147201679	86b7940e-f762-11e1-a439-00145eb45e9a	f69d71e9-a6a9-4531-90f1-5ae6b99f8dc2		19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-23T08:46:34.124+00:00	2024-07-23T08:46:59.568+00:00	316		{}	PRESERVED_SPECIMEN	PRESENT	2118070	1	54	354	9477065	2011	2118069	2118070	2118070	Austropallene gracilipes Gordon, 1944	Austropallene gracilipes Gordon, 1944	Animalia	Arthropoda	Pantopoda	Callipallenidae	Austropallene	Austropallene gracilipes	Austropallene	gracilipes	SPECIES	ACCEPTED	NE	-67.268667	65.4205	500.0	109.0	0.0	{}	1993.0	2.0	12.0	1993-02-12	43.0	43.0	['TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'INSTITUTION_MATCH_NONE']	2024-07-23T08:46:59.568+00:00	http://creativecommons.org/licenses/by/4.0/legalcode			False	[{'identifier': '1632c4fb-8140-47be-aaa9-ca3ea68fa40a'}]	[]	[]	[]		True				WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	OCEANIA		1632c4fb-8140-47be-aaa9-ca3ea68fa40a							147201679	1632c4fb-8140-47be-aaa9-ca3ea68fa40a	PhysicalObject	ABSD-6225	AADC			UNKNOWN OR ANONYMOUS	Pycnogonid	7000	https://biodiversity.org.au/afd/taxa/2ffa7eaf-3133-42f2-ae13-5e583a567a51	Prydz Bay	Austropallene gracilipes	ABSD																																		
1272732786	39905320-6c8a-11de-8226-b8a03c50a862	4cff2aca-5ce5-4028-88e6-d79b6449173a	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:21:32.799+00:00	2024-07-02T06:37:40.821+00:00	381		{}	PRESERVED_SPECIMEN	PRESENT	2118070	1	54	354	9477065	2011	2118069	2118070	2118070	Austropallene gracilipes Gordon, 1944	Austropallene gracilipes Gordon, 1944	Animalia	Arthropoda	Pantopoda	Callipallenidae	Austropallene	Austropallene gracilipes	Austropallene	gracilipes	SPECIES	ACCEPTED	NE	-67.2687	65.4205		115.0	6.0	{}	1993.0	2.0	12.0	1993-02-12	43.0	43.0	['RECORDED_DATE_INVALID', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'INSTITUTION_COLLECTION_MISMATCH']	2024-07-02T06:37:40.821+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode			False	[{'identifier': 'bb8b98e4-1d8a-4d26-bd0d-e927532c69f9'}]	[]	[]	[]	22c8fe88-400b-4e8a-92cd-f1c76683f5ba	True	D A. Staples - Museum Victoria (Sciences)	Wet|ethanol 70%	Epibenthic Sled	WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	OCEANIA	AA93 127	bb8b98e4-1d8a-4d26-bd0d-e927532c69f9		urn:lsid:biocol.org:col:34978			AA93 127	en	1272732786	bb8b98e4-1d8a-4d26-bd0d-e927532c69f9	PhysicalObject	J37972	NMV			O'Loughlin, P.M.|Australian National Antarctic Research Expeditions (ANARE)		7000	https://biodiversity.org.au/afd/taxa/b9df3445-47c3-43c7-a5c0-97171993562c	MacRobertson Shelf, edge of Nielsen Basin	Austropallene gracilipes	Invertebrates	1.0	1994-01-01T00:00:00	Antarctica	2019-06-24T18:14:00.000+00:00	AA93	Museums Victoria	ICZN	MacRobertson Shelf, edge of Nielsen Basin	AA93 127	NMV	08:30:00\08:40:00	Arthropoda | Chelicerata | Pycnogonida | Callipallenidae																						
1914305110	7b45011a-f762-11e1-a439-00145eb45e9a	104e9c96-791b-4f14-978c-f581cb214912	['8534dd20-c368-4a1f-bdaf-e6b390710f89', '2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	27c24cba-13c5-47d1-96a1-16abd8f11437	fb10a11f-4417-41c8-be6a-13a5c8535122	GB	EML	2023-01-08T06:21:57.305+00:00	2024-01-24T20:20:35.071+00:00	240		{}	HUMAN_OBSERVATION	PRESENT	2118070	1	54	354	9477065	2011	2118069	2118070	2118070	Austropallene gracilipes Gordon, 1944	Austropallene gracilipes Gordon, 1944	Animalia	Arthropoda	Pantopoda	Callipallenidae	Austropallene	Austropallene gracilipes	Austropallene	gracilipes	SPECIES	ACCEPTED	NE	-62.15258	-58.44883		205.0		{}	1985.0	7.0	23.0	1985-07-23	204.0	204.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES']	2024-01-24T20:20:35.071+00:00	http://creativecommons.org/licenses/by/4.0/legalcode			False	[{'identifier': 'urn:catalog:University of Lodz:OC - Pycnogonida:481_0031'}]	[]	[]	[]		False	Bamber Roger			WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	EUROPE		urn:catalog:University of Lodz:OC - Pycnogonida:481_0031	urn:lsid:marinespecies.org:taxname:173042						1914305110	urn:catalog:University of Lodz:OC - Pycnogonida:481_0031		481	University of Lodz			Sicinski Jacek				Admiralty Bay		OC - Pycnogonida				2008-05-05T00:00:00.000+00:00									ANTARCTICA	IMIS:dasid:1649	Sicinski J., Bamber R. 2008. Admiralty Bay Benthos Diversity Data Base (ABBED). Pycnogonida. (http://www.scarmarbin.be)																			
1320034694	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:37:49.620+00:00	395		{}	PRESERVED_SPECIMEN	PRESENT	2118070	1	54	354	9477065	2011	2118069	2118070	2118070	Austropallene gracilipes Gordon, 1944	Austropallene gracilipes Gordon, 1944	Animalia	Arthropoda	Pantopoda	Callipallenidae	Austropallene	Austropallene gracilipes	Austropallene	gracilipes	SPECIES	ACCEPTED	NE	-65.05	-63.9264		270.0	10.0	{}	1983.0	3.0	8.0	1983-03-08	67.0	67.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'CONTINENT_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-02T12:37:49.620+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode			False	[{'identifier': 'http://n2t.net/ark:/65665/37d46bc2c-a0d2-4f71-9f0c-95c4e0cce032'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	False	Child, C. Allan, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)	Alcohol (Ethanol)		WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	NORTH_AMERICA		http://n2t.net/ark:/65665/37d46bc2c-a0d2-4f71-9f0c-95c4e0cce032		urn:lsid:biocol.org:col:34871	08 MAR 1983		USARP/HE/833/5-1/UME		1320034694	http://n2t.net/ark:/65665/37d46bc2c-a0d2-4f71-9f0c-95c4e0cce032		USNM 233840	USNM	FEMALE		University of Maine				Antarctic Peninsula, Wilhelm Archipelago, Booth Island, Lemaire Channel		IZ	1.0		Antarctic Ocean, Antarctica	2013-09-23T16:00:00.000+00:00	NMNH Extant Biology				5-1			Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Callipallenidae	ANTARCTICA			Antarctic Ocean	0174f5b3-da29-4967-b8dc-ce75ed53e35d	unknown, from legacy	Degrees Minutes Seconds	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6														
1317305651	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:36:48.537+00:00	395		{}	PRESERVED_SPECIMEN	PRESENT	2118070	1	54	354	9477065	2011	2118069	2118070	2118070	Austropallene gracilipes Gordon, 1944	Austropallene gracilipes Gordon, 1944	Animalia	Arthropoda	Pantopoda	Callipallenidae	Austropallene	Austropallene gracilipes	Austropallene	gracilipes	SPECIES	ACCEPTED	NE	-66.1283	-66.5917		175.0	35.0	{}	1982.0	3.0	18.0	1982-03-18	77.0	77.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'CONTINENT_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-02T12:36:48.537+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode			False	[{'identifier': 'http://n2t.net/ark:/65665/30490dd5f-0d5a-4083-a81f-a8ad20b37441'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	False	Child, C. Allan, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)	Alcohol (Ethanol)		WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	NORTH_AMERICA		http://n2t.net/ark:/65665/30490dd5f-0d5a-4083-a81f-a8ad20b37441		urn:lsid:biocol.org:col:34871	18 MAR 1982		USARP/HE/824/9-1/SOSC-H		1317305651	http://n2t.net/ark:/65665/30490dd5f-0d5a-4083-a81f-a8ad20b37441		USNM 233841	USNM	FEMALE		G. Hendler & Smithsonian Oceanographic Sorting Center				Antarctic Peninsula, Biscoe Islands, Lavoisier Island		IZ	1.0		Antarctic Ocean, Antarctica	2013-09-19T16:29:00.000+00:00	NMNH Extant Biology				9-1			Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Callipallenidae	ANTARCTICA			Antarctic Ocean	0174f5b3-da29-4967-b8dc-ce75ed53e35d	unknown, from legacy	Degrees Minutes Seconds	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6														
1322444893	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:38:18.625+00:00	395		{}	PRESERVED_SPECIMEN	PRESENT	2118070	1	54	354	9477065	2011	2118069	2118070	2118070	Austropallene gracilipes Gordon, 1944	Austropallene gracilipes Gordon, 1944	Animalia	Arthropoda	Pantopoda	Callipallenidae	Austropallene	Austropallene gracilipes	Austropallene	gracilipes	SPECIES	ACCEPTED	NE	-65.2333	-64.2		335.0	25.0	{}	1982.0	3.0	19.0	1982-03-19	78.0	78.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'CONTINENT_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-02T12:38:18.625+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode			False	[{'identifier': 'http://n2t.net/ark:/65665/3e7ec4b7b-af04-45f3-a379-acdf29f0a7c5'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	False	Child, C. Allan, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)	Alcohol (Ethanol)		WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	NORTH_AMERICA		http://n2t.net/ark:/65665/3e7ec4b7b-af04-45f3-a379-acdf29f0a7c5		urn:lsid:biocol.org:col:34871	19 MAR 1982		USARP/HE/824/13-1/SOSC-H		1322444893	http://n2t.net/ark:/65665/3e7ec4b7b-af04-45f3-a379-acdf29f0a7c5		USNM 233842	USNM	FEMALE		G. Hendler & Smithsonian Oceanographic Sorting Center				Antarctic Peninsula, Argentine Islands, Petermann Island		IZ	1.0		Antarctic Ocean, Antarctica	2013-09-19T16:39:00.000+00:00	NMNH Extant Biology				13-1			Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Callipallenidae	ANTARCTICA			Antarctic Ocean	0174f5b3-da29-4967-b8dc-ce75ed53e35d	unknown, from legacy	Degrees Minutes Seconds	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6	Juvenile													
1322463492	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:38:25.868+00:00	395		{}	PRESERVED_SPECIMEN	PRESENT	2118070	1	54	354	9477065	2011	2118069	2118070	2118070	Austropallene gracilipes Gordon, 1944	Austropallene gracilipes Gordon, 1944	Animalia	Arthropoda	Pantopoda	Callipallenidae	Austropallene	Austropallene gracilipes	Austropallene	gracilipes	SPECIES	ACCEPTED	NE	-64.3592	-61.4833		132.5	22.5	{}	1982.0	3.0	23.0	1982-03-23	82.0	82.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'CONTINENT_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-02T12:38:25.868+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode			False	[{'identifier': 'http://n2t.net/ark:/65665/3e8b858c2-38be-4f5a-bc6e-620d5b0ff71d'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	False	Child, C. Allan, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)	Alcohol (Ethanol)		WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	NORTH_AMERICA		http://n2t.net/ark:/65665/3e8b858c2-38be-4f5a-bc6e-620d5b0ff71d		urn:lsid:biocol.org:col:34871	23 MAR 1982		USARP/HE/824/21-1/SOSC-H		1322463492	http://n2t.net/ark:/65665/3e8b858c2-38be-4f5a-bc6e-620d5b0ff71d		USNM 233843	USNM			G. Hendler & Smithsonian Oceanographic Sorting Center				Antarctic Peninsula, Palmer Archipelago, Liege Island		IZ	4.0		Antarctic Ocean, Antarctica	2013-09-23T12:07:00.000+00:00	NMNH Extant Biology				21-1			Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Callipallenidae	ANTARCTICA			Antarctic Ocean	0174f5b3-da29-4967-b8dc-ce75ed53e35d	unknown, from legacy	Degrees Minutes Seconds	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6														
1319062593	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:37:26.115+00:00	395		{}	PRESERVED_SPECIMEN	PRESENT	2118070	1	54	354	9477065	2011	2118069	2118070	2118070	Austropallene gracilipes Gordon, 1944	Austropallene gracilipes Gordon, 1944	Animalia	Arthropoda	Pantopoda	Callipallenidae	Austropallene	Austropallene gracilipes	Austropallene	gracilipes	SPECIES	ACCEPTED	NE	-61.3367	-44.425		279.5	5.5	{}	1976.0	2.0	21.0	1976-02-21	52.0	52.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-02T12:37:26.115+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode			False	[{'identifier': 'http://n2t.net/ark:/65665/3524540ca-2d42-4a8c-8110-3a959ee66107'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	False	Child, C. Allan, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)	Alcohol (Ethanol)		WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	NORTH_AMERICA		http://n2t.net/ark:/65665/3524540ca-2d42-4a8c-8110-3a959ee66107		urn:lsid:biocol.org:col:34871	21 FEB 1976		USARP/IS/876/122/SOSC		1319062593	http://n2t.net/ark:/65665/3524540ca-2d42-4a8c-8110-3a959ee66107		USNM 233839	USNM	MALE		Smithsonian Oceanographic Sorting Center				South Orkney Islands, on continental shelf south of islands		IZ	1.0		Antarctic Ocean, Scotia Sea, Antarctica	2013-10-28T16:25:00.000+00:00	NMNH Extant Biology				122			Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Callipallenidae				Antarctic Ocean, Scotia Sea	0174f5b3-da29-4967-b8dc-ce75ed53e35d	unknown, from legacy	Degrees Minutes Seconds	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6														
