key	datasetKey	publishingOrgKey	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	continent	stateProvince	gadm	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	institutionKey	isInCluster	identifiedBy	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	identifier	catalogNumber	vernacularName	institutionCode	county	gbifID	collectionCode	occurrenceID	locality	networkKeys	individualCount	modified	recordedBy	preparations	rightsHolder	nomenclaturalCode	institutionID	verbatimEventDate	higherClassification	waterBody	higherGeography	collectionKey	datasetName	collectionID	verbatimDepth	sex	depth	depthAccuracy	georeferenceProtocol	verbatimCoordinateSystem	locationID	dateIdentified	eventRemarks	fieldNumber	language	type	occurrenceRemarks	typeStatus	references	datasetID	scientificNameID	bibliographicCitation
3970758598	bef19e99-90a7-4b3d-a113-bdf4ea6c88f2	2b4e561b-0b1a-4c1b-b564-819bcfe006b8	9afa1395-6e93-4848-a42d-bce896f5195e	657b7bf0-766b-11d9-9f77-b8a03c50a862	KR	EML	2024-04-10T15:17:39.393+00:00	2024-04-10T15:19:33.369+00:00	116	{}	PRESERVED_SPECIMEN	PRESENT	2118113	1	54	354	9477065	2011	2118112	2118113	2118113	Callipallene dubiosa Hedgpeth, 1949	Callipallene dubiosa Hedgpeth, 1949	Animalia	Arthropoda	Pantopoda	Callipallenidae	Callipallene	Callipallene dubiosa	Callipallene	dubiosa	SPECIES	ACCEPTED	NE	33.226861	126.56925	ASIA	Jeju-do	{}	2021.0	5.0	22.0	2021-05-22	142.0	142.0	['COORDINATE_ROUNDED', 'GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_DERIVED_FROM_COORDINATES', 'IDENTIFIED_DATE_INVALID', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-04-10T15:19:33.369+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': 'MABIK CR00248780'}]	[]	[]	[]	a8264021-9b25-41bb-88b5-eaba3fc66193	False	Lee Damin	WGS84	Pycnogonida	KR	[]	[]	ASIA	Korea, Republic of	ASIA	MABIK CR00248780	MABIK CR00248780	뚱보각시바다거미	MABIK	Seogwipo-si	3970758598	CR	MABIK CR00248780																																		
3970758597	bef19e99-90a7-4b3d-a113-bdf4ea6c88f2	2b4e561b-0b1a-4c1b-b564-819bcfe006b8	9afa1395-6e93-4848-a42d-bce896f5195e	657b7bf0-766b-11d9-9f77-b8a03c50a862	KR	EML	2024-04-10T15:17:39.393+00:00	2024-04-10T15:19:33.370+00:00	116	{}	PRESERVED_SPECIMEN	PRESENT	2118113	1	54	354	9477065	2011	2118112	2118113	2118113	Callipallene dubiosa Hedgpeth, 1949	Callipallene dubiosa Hedgpeth, 1949	Animalia	Arthropoda	Pantopoda	Callipallenidae	Callipallene	Callipallene dubiosa	Callipallene	dubiosa	SPECIES	ACCEPTED	NE	33.226861	126.56925	ASIA	Jeju-do	{}	2021.0	5.0	22.0	2021-05-22	142.0	142.0	['COORDINATE_ROUNDED', 'GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_DERIVED_FROM_COORDINATES', 'IDENTIFIED_DATE_INVALID', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-04-10T15:19:33.370+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': 'MABIK CR00248781'}]	[]	[]	[]	a8264021-9b25-41bb-88b5-eaba3fc66193	False	Lee Damin	WGS84	Pycnogonida	KR	[]	[]	ASIA	Korea, Republic of	ASIA	MABIK CR00248781	MABIK CR00248781	뚱보각시바다거미	MABIK	Seogwipo-si	3970758597	CR	MABIK CR00248781																																		
3970758596	bef19e99-90a7-4b3d-a113-bdf4ea6c88f2	2b4e561b-0b1a-4c1b-b564-819bcfe006b8	9afa1395-6e93-4848-a42d-bce896f5195e	657b7bf0-766b-11d9-9f77-b8a03c50a862	KR	EML	2024-04-10T15:17:39.393+00:00	2024-04-10T15:19:33.369+00:00	116	{}	PRESERVED_SPECIMEN	PRESENT	2118113	1	54	354	9477065	2011	2118112	2118113	2118113	Callipallene dubiosa Hedgpeth, 1949	Callipallene dubiosa Hedgpeth, 1949	Animalia	Arthropoda	Pantopoda	Callipallenidae	Callipallene	Callipallene dubiosa	Callipallene	dubiosa	SPECIES	ACCEPTED	NE	33.226861	126.56925	ASIA	Jeju-do	{}	2021.0	5.0	22.0	2021-05-22	142.0	142.0	['COORDINATE_ROUNDED', 'GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_DERIVED_FROM_COORDINATES', 'IDENTIFIED_DATE_INVALID', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-04-10T15:19:33.369+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': 'MABIK CR00248782'}]	[]	[]	[]	a8264021-9b25-41bb-88b5-eaba3fc66193	False	Lee Damin	WGS84	Pycnogonida	KR	[]	[]	ASIA	Korea, Republic of	ASIA	MABIK CR00248782	MABIK CR00248782	뚱보각시바다거미	MABIK	Seogwipo-si	3970758596	CR	MABIK CR00248782																																		
3970762451	bef19e99-90a7-4b3d-a113-bdf4ea6c88f2	2b4e561b-0b1a-4c1b-b564-819bcfe006b8	9afa1395-6e93-4848-a42d-bce896f5195e	657b7bf0-766b-11d9-9f77-b8a03c50a862	KR	EML	2024-04-10T15:17:39.393+00:00	2024-04-10T15:19:21.977+00:00	116	{}	PRESERVED_SPECIMEN	PRESENT	2118113	1	54	354	9477065	2011	2118112	2118113	2118113	Callipallene dubiosa Hedgpeth, 1949	Callipallene dubiosa Hedgpeth, 1949	Animalia	Arthropoda	Pantopoda	Callipallenidae	Callipallene	Callipallene dubiosa	Callipallene	dubiosa	SPECIES	ACCEPTED	NE	34.646611	128.577667	ASIA	Gyeongsangnam-do	{'level0': {'gid': 'KOR', 'name': 'South Korea'}, 'level1': {'gid': 'KOR.10_1', 'name': 'Gyeongsangnam-do'}, 'level2': {'gid': 'KOR.10.16_2', 'name': 'Tongyeong'}, 'level3': {'gid': 'KOR.10.16.6_2', 'name': 'Hansan'}}	2019.0	8.0	2.0	2019-08-02	214.0	214.0	['COORDINATE_ROUNDED', 'GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_DERIVED_FROM_COORDINATES', 'IDENTIFIED_DATE_INVALID', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-04-10T15:19:21.977+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': 'MABIK CR00252179'}]	[]	[]	[]	a8264021-9b25-41bb-88b5-eaba3fc66193	False	Lee Damin	WGS84	Pycnogonida	KR	[]	[]	ASIA	Korea, Republic of	ASIA	MABIK CR00252179	MABIK CR00252179	뚱보각시바다거미	MABIK	Tongyeong-si	3970762451	CR	MABIK CR00252179	Hansan-myeon																																	
3970762453	bef19e99-90a7-4b3d-a113-bdf4ea6c88f2	2b4e561b-0b1a-4c1b-b564-819bcfe006b8	9afa1395-6e93-4848-a42d-bce896f5195e	657b7bf0-766b-11d9-9f77-b8a03c50a862	KR	EML	2024-04-10T15:17:39.393+00:00	2024-04-10T15:19:21.948+00:00	116	{}	PRESERVED_SPECIMEN	PRESENT	2118113	1	54	354	9477065	2011	2118112	2118113	2118113	Callipallene dubiosa Hedgpeth, 1949	Callipallene dubiosa Hedgpeth, 1949	Animalia	Arthropoda	Pantopoda	Callipallenidae	Callipallene	Callipallene dubiosa	Callipallene	dubiosa	SPECIES	ACCEPTED	NE	35.822144	129.510164	ASIA	Gyeongsangbuk-do	{}	2018.0	7.0	11.0	2018-07-11	192.0	192.0	['COORDINATE_ROUNDED', 'GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_DERIVED_FROM_COORDINATES', 'IDENTIFIED_DATE_INVALID', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-04-10T15:19:21.948+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': 'MABIK CR00252177'}]	[]	[]	[]	a8264021-9b25-41bb-88b5-eaba3fc66193	False	Lee Damin	WGS84	Pycnogonida	KR	[]	[]	ASIA	Korea, Republic of	ASIA	MABIK CR00252177	MABIK CR00252177	뚱보각시바다거미	MABIK	Gyeongju-si	3970762453	CR	MABIK CR00252177	Gampo-eup																																	
3970762450	bef19e99-90a7-4b3d-a113-bdf4ea6c88f2	2b4e561b-0b1a-4c1b-b564-819bcfe006b8	9afa1395-6e93-4848-a42d-bce896f5195e	657b7bf0-766b-11d9-9f77-b8a03c50a862	KR	EML	2024-04-10T15:17:39.393+00:00	2024-04-10T15:19:21.948+00:00	116	{}	PRESERVED_SPECIMEN	PRESENT	2118113	1	54	354	9477065	2011	2118112	2118113	2118113	Callipallene dubiosa Hedgpeth, 1949	Callipallene dubiosa Hedgpeth, 1949	Animalia	Arthropoda	Pantopoda	Callipallenidae	Callipallene	Callipallene dubiosa	Callipallene	dubiosa	SPECIES	ACCEPTED	NE	35.822144	129.510164	ASIA	Gyeongsangbuk-do	{}	2018.0	7.0	11.0	2018-07-11	192.0	192.0	['COORDINATE_ROUNDED', 'GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_DERIVED_FROM_COORDINATES', 'IDENTIFIED_DATE_INVALID', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-04-10T15:19:21.948+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': 'MABIK CR00252178'}]	[]	[]	[]	a8264021-9b25-41bb-88b5-eaba3fc66193	False	Lee Damin	WGS84	Pycnogonida	KR	[]	[]	ASIA	Korea, Republic of	ASIA	MABIK CR00252178	MABIK CR00252178	뚱보각시바다거미	MABIK	Gyeongju-si	3970762450	CR	MABIK CR00252178	Gampo-eup																																	
4459273949	bef19e99-90a7-4b3d-a113-bdf4ea6c88f2	2b4e561b-0b1a-4c1b-b564-819bcfe006b8	9afa1395-6e93-4848-a42d-bce896f5195e	657b7bf0-766b-11d9-9f77-b8a03c50a862	KR	EML	2024-04-10T15:17:39.393+00:00	2024-04-10T15:19:19.386+00:00	116	{}	PRESERVED_SPECIMEN	PRESENT	2118113	1	54	354	9477065	2011	2118112	2118113	2118113	Callipallene dubiosa Hedgpeth, 1949	Callipallene dubiosa Hedgpeth, 1949	Animalia	Arthropoda	Pantopoda	Callipallenidae	Callipallene	Callipallene dubiosa	Callipallene	dubiosa	SPECIES	ACCEPTED	NE	33.988056	126.246667	ASIA	Jeju-do	{'level0': {'gid': 'KOR', 'name': 'South Korea'}, 'level1': {'gid': 'KOR.12_1', 'name': 'Jeju'}, 'level2': {'gid': 'KOR.12.1_2', 'name': 'Jeju'}, 'level3': {'gid': 'KOR.12.1.4_2', 'name': 'Chuja'}}	2017.0	9.0	12.0	2017-09-12	255.0	255.0	['COORDINATE_ROUNDED', 'GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_DERIVED_FROM_COORDINATES', 'IDENTIFIED_DATE_INVALID', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-04-10T15:19:19.386+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': 'MABIK CR00247381'}]	[]	[]	[]	a8264021-9b25-41bb-88b5-eaba3fc66193	False	Lee Damin	WGS84	Pycnogonida	KR	[]	[]	ASIA	Korea, Republic of	ASIA	MABIK CR00247381	MABIK CR00247381	뚱보각시바다거미	MABIK	Jeju-si	4459273949	CR	MABIK CR00247381	Chuja-myeon																																	
4459273953	bef19e99-90a7-4b3d-a113-bdf4ea6c88f2	2b4e561b-0b1a-4c1b-b564-819bcfe006b8	9afa1395-6e93-4848-a42d-bce896f5195e	657b7bf0-766b-11d9-9f77-b8a03c50a862	KR	EML	2024-04-10T15:17:39.393+00:00	2024-04-10T15:19:19.387+00:00	116	{}	PRESERVED_SPECIMEN	PRESENT	2118113	1	54	354	9477065	2011	2118112	2118113	2118113	Callipallene dubiosa Hedgpeth, 1949	Callipallene dubiosa Hedgpeth, 1949	Animalia	Arthropoda	Pantopoda	Callipallenidae	Callipallene	Callipallene dubiosa	Callipallene	dubiosa	SPECIES	ACCEPTED	NE	33.229444	126.596389	ASIA	Jeju-do	{'level0': {'gid': 'KOR', 'name': 'South Korea'}, 'level1': {'gid': 'KOR.12_1', 'name': 'Jeju'}, 'level2': {'gid': 'KOR.12.2_2', 'name': 'Seogwipo'}, 'level3': {'gid': 'KOR.12.2.15_2', 'name': 'Songsan'}}	2016.0	8.0	15.0	2016-08-15	228.0	228.0	['COORDINATE_ROUNDED', 'GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_DERIVED_FROM_COORDINATES', 'IDENTIFIED_DATE_INVALID', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-04-10T15:19:19.387+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': 'MABIK CR00247380'}]	[]	[]	[]	a8264021-9b25-41bb-88b5-eaba3fc66193	False	Lee Damin	WGS84	Pycnogonida	KR	[]	[]	ASIA	Korea, Republic of	ASIA	MABIK CR00247380	MABIK CR00247380	뚱보각시바다거미	MABIK	Seogwipo-si	4459273953	CR	MABIK CR00247380																																		
1809124442	9aa00786-772a-46d4-8fe1-ac6d8926a040	d6aeeb7c-db16-436f-98bb-f0d7e2c7a0db	9afa1395-6e93-4848-a42d-bce896f5195e	657b7bf0-766b-11d9-9f77-b8a03c50a862	KR	EML	2023-01-06T23:22:09.574+00:00	2024-01-25T11:49:39.146+00:00	88	{}	PRESERVED_SPECIMEN	PRESENT	2118113	1	54	354	9477065	2011	2118112	2118113	2118113	Callipallene dubiosa Hedgpeth, 1949	Callipallene dubiosa Hedgpeth, 1949	Animalia	Arthropoda	Pantopoda	Callipallenidae	Callipallene	Callipallene dubiosa	Callipallene	dubiosa	SPECIES	ACCEPTED	NE					{}	2012.0	1.0	1.0	2012-01-01	1.0	1.0	['INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-01-25T11:49:39.146+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': '1809124442'}]	[]	[]	[]	31c9e39d-1b4d-4b4c-9c8c-a93cc973f4e5	False			Pycnogonida		[]	[]			ASIA		NIBRIV0000024029		NIBR		1809124442	AM																																			
1809124734	9aa00786-772a-46d4-8fe1-ac6d8926a040	d6aeeb7c-db16-436f-98bb-f0d7e2c7a0db	9afa1395-6e93-4848-a42d-bce896f5195e	657b7bf0-766b-11d9-9f77-b8a03c50a862	KR	EML	2023-01-06T23:22:09.574+00:00	2024-01-25T11:49:37.224+00:00	88	{}	PRESERVED_SPECIMEN	PRESENT	2118113	1	54	354	9477065	2011	2118112	2118113	2118113	Callipallene dubiosa Hedgpeth, 1949	Callipallene dubiosa Hedgpeth, 1949	Animalia	Arthropoda	Pantopoda	Callipallenidae	Callipallene	Callipallene dubiosa	Callipallene	dubiosa	SPECIES	ACCEPTED	NE					{}	2012.0	1.0	1.0	2012-01-01	1.0	1.0	['INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-01-25T11:49:37.224+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': '1809124734'}]	[]	[]	[]	31c9e39d-1b4d-4b4c-9c8c-a93cc973f4e5	False			Pycnogonida		[]	[]			ASIA		NIBRIV0000024031		NIBR		1809124734	AM																																			
