key	datasetKey	publishingOrgKey	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	continent	gadm	year	eventDate	startDayOfYear	endDayOfYear	issues	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	isInCluster	datasetID	recordedBy	identifiedBy	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	eventID	identifier	http://unknown.org/language	footprintWKT	originalNameUsage	county	identificationVerificationStatus	gbifID	nameAccordingTo	occurrenceID	taxonID	coordinateUncertaintyInMeters	stateProvince	month	informationWithheld	taxonConceptID	http://unknown.org/rightsHolder	http://unknown.org/license	collectionCode	individualCount	day	locality	verbatimDepth	locationRemarks	institutionCode	networkKeys	sex	dateIdentified	depth	higherGeography	modified	institutionKey	preparations	samplingProtocol	rightsHolder	institutionID	nomenclaturalCode	http://unknown.org/taxonRankID	fieldNumber	verbatimLocality	language	type	catalogNumber	ownerInstitutionCode	http://unknown.org/species	higherClassification	recordNumber	datasetName	islandGroup	georeferenceRemarks	collectionID	coordinatePrecision	collectionKey	verbatimEventDate	organismQuantity	georeferenceVerificationStatus	island	municipality	organismQuantityType	depthAccuracy	scientificNameID	materialSampleID	taxonRemarks	habitat	locationID	eventTime	previousIdentifications	identificationQualifier	parentEventID	lifeStage	waterBody	georeferencedBy	georeferencedDate	georeferenceProtocol	disposition	georeferenceSources	verbatimCoordinateSystem	infraspecificEpithet	otherCatalogNumbers	materialEntityID	parentNameUsage	dynamicProperties	elevation	elevationAccuracy	acceptedNameUsage	namePublishedInYear	originalNameUsageID	acceptedNameUsageID	namePublishedIn	bibliographicCitation
4550939184	e73fda51-0455-472a-b0ef-df39d065fad9	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	e44d0fd7-0edf-477f-aa82-50a81836ab46	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	FR	DWC_ARCHIVE	2024-03-20T14:40:36.946+00:00	2024-03-20T15:36:32.021+00:00	1	{}	HUMAN_OBSERVATION	PRESENT	4302741	1	54	354	9477065	2011	2118112	4302741	4302741	Callipallene emaciata (Dohrn, 1881)	Callipallene emaciata (Dohrn, 1881)	Animalia	Arthropoda	Pantopoda	Callipallenidae	Callipallene	Callipallene emaciata	Callipallene	emaciata	SPECIES	ACCEPTED	NE	43.33847	5.009	EUROPE	{}	2015.0	2015-01-01/2015-12-31	1.0	365.0	['FOOTPRINT_WKT_MISMATCH', 'CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_ID_IGNORED']	2024-03-20T15:36:32.021+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '700cd464-d840-45a5-b769-5156d6f5caca'}]	[]	[]	[]	False	EB618C1B-2B13-65FF-E053-0514A8C07A01	THORIN Sébastien (Créocéan)	MARTIN Daniel (CEAB-CSIC)	WGS84	Pycnogonida	FR	[]	[]	EUROPE	France	EUROPE	700cd464-d840-45a5-b769-5156d6f5caca	700cd464-d840-45a5-b769-5156d6f5caca	fr | en	POINT(5.009 43.3384666666667)	Callipallene emaciata	Bouches-du-Rhône (mer territoriale)	Non réalisable	4550939184	Gargominy O (2021). TAXREF. Version 4.7. UMS PatriNat (OFB-CNRS-MNHN), Paris. Checklist dataset https://doi.org/10.15468/vqueam accessed via GBIF.org on 2021-06-28.	700cd464-d840-45a5-b769-5156d6f5caca	989819																																																																															
3872195807	cc2031d1-395d-4052-8ce1-796a08c3dbf2	f6b48504-1651-4a49-a88d-c2bc6178694d	99552c70-f762-11e1-a439-00145eb45e9a	07f617d0-c688-11d8-bf62-b8a03c50a862	GB	DWC_ARCHIVE	2024-07-15T18:24:28.661+00:00	2024-07-15T18:31:42.930+00:00	307	{}	HUMAN_OBSERVATION	PRESENT	4302741	1	54	354	9477065	2011	2118112	4302741	4302741	Callipallene emaciata (Dohrn, 1881)	Callipallene emaciata (Dohrn, 1881)	Animalia	Arthropoda	Pantopoda	Callipallenidae	Callipallene	Callipallene emaciata	Callipallene	emaciata	SPECIES	ACCEPTED	NE	53.288097	0.602118		{}	2009.0	2009-04			['TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'TAXON_MATCH_TAXON_ID_IGNORED']	2024-07-15T18:31:42.930+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'c546b3f0-8e4e-4c66-892a-42201d106fb6'}]	[]	[]	[]	False				WGS84	Pycnogonida	GB	[]	[]	EUROPE	United Kingdom of Great Britain and Northern Ireland	EUROPE	DASSHDT00000008_HU_HG_G37	c546b3f0-8e4e-4c66-892a-42201d106fb6		POLYGON((0.60134 53.28766,0.60134 53.28853,0.60289 53.28853,0.60289 53.28766,0.60134 53.28766))			Accepted - considered correct	3872195807		DASSHDT00000008_150563_0696b7	NBNSYS0000174277	70.7	England	4.0	OSGB Grid Reference TF735799	NBNSYS0000174277	Marine Biological Association	https://creativecommons.org/licenses/by/4.0/legalcode	DASSHDT00000008																																																																							
2962655264	6b3877d5-4869-43aa-af12-92c703fd5b6d	ee45975b-3d89-42b5-ac7a-c03f47b6dcb4	99552c70-f762-11e1-a439-00145eb45e9a	07f617d0-c688-11d8-bf62-b8a03c50a862	GB	DWC_ARCHIVE	2024-06-24T10:46:02.078+00:00	2024-06-24T10:52:33.969+00:00	309	{}	HUMAN_OBSERVATION	PRESENT	4302741	1	54	354	9477065	2011	2118112	4302741	4302741	Callipallene emaciata (Dohrn, 1881)	Callipallene emaciata (Dohrn, 1881)	Animalia	Arthropoda	Pantopoda	Callipallenidae	Callipallene	Callipallene emaciata	Callipallene	emaciata	SPECIES	ACCEPTED	NE				{}	2009.0	2009-08-22	234.0	234.0	['COORDINATE_OUT_OF_RANGE', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'TAXON_MATCH_TAXON_ID_IGNORED']	2024-06-24T10:52:33.969+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'fe02d86b-0fcb-4b7a-aad8-d7f167f85b60'}]	[]	[]	[]	False		Survey, A. Aquatic|Ltd, M. Monitoring			Pycnogonida		[]	[]			EUROPE	MRCCW163000000FE.10	fe02d86b-0fcb-4b7a-aad8-d7f167f85b60					Accepted - considered correct	2962655264		T-MRCCW1630000B9FD	NBNSYS0000174277	70.7		8.0		NBNSYS0000174277	Natural Resources Wales		MRCCW1630000002B	1.0	22.0	Midlowershorerockpools	Unknown	Littoral	NRW																																																																	
1272754638	39905320-6c8a-11de-8226-b8a03c50a862	4cff2aca-5ce5-4028-88e6-d79b6449173a	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:21:32.799+00:00	2024-07-02T06:37:45.403+00:00	381	{}	PRESERVED_SPECIMEN	PRESENT	4302741	1	54	354	9477065	2011	2118112	4302741	4302741	Callipallene emaciata (Dohrn, 1881)	Callipallene emaciata (Dohrn, 1881)	Animalia	Arthropoda	Pantopoda	Callipallenidae	Callipallene	Callipallene emaciata	Callipallene	emaciata	SPECIES	ACCEPTED	NE	-38.268	144.665	OCEANIA	{}	2008.0	2008-02-06	37.0	37.0	['CONTINENT_DERIVED_FROM_COORDINATES', 'RECORDED_DATE_INVALID', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'INSTITUTION_COLLECTION_MISMATCH']	2024-07-02T06:37:45.403+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'f5ba0f91-1c42-41fe-8bab-62364e990005'}]	[]	[]	[]	False		Museum Victoria	David A. Staples	WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA	MARINV 54	f5ba0f91-1c42-41fe-8bab-62364e990005						1272754638		f5ba0f91-1c42-41fe-8bab-62364e990005			Victoria	2.0		https://biodiversity.org.au/afd/taxa/ed79c108-b612-4dc3-bb1a-beea031c8e86			Invertebrates	1.0	6.0	Queenscliff, Harry's Reef, off beach S of pier			NMV	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	MALE	2008-10-20T00:00:00	1.0	Australia|Victoria	2019-10-30T15:22:00.000+00:00	22c8fe88-400b-4e8a-92cd-f1c76683f5ba	Wet|ethanol 70%	hand	Museums Victoria	urn:lsid:biocol.org:col:34978	ICZN	7000	MARINV 54	Queenscliff, Harry's Reef, off beach S of pier	en	PhysicalObject	J59128	NMV	Callipallene emaciata	Arthropoda | Chelicerata | Pycnogonida | Callipallenidae																																												
3871769183	cc2031d1-395d-4052-8ce1-796a08c3dbf2	f6b48504-1651-4a49-a88d-c2bc6178694d	99552c70-f762-11e1-a439-00145eb45e9a	07f617d0-c688-11d8-bf62-b8a03c50a862	GB	DWC_ARCHIVE	2024-07-15T18:24:28.661+00:00	2024-07-15T18:31:41.215+00:00	307	{}	HUMAN_OBSERVATION	PRESENT	4302741	1	54	354	9477065	2011	2118112	4302741	4302741	Callipallene emaciata (Dohrn, 1881)	Callipallene emaciata (Dohrn, 1881)	Animalia	Arthropoda	Pantopoda	Callipallenidae	Callipallene	Callipallene emaciata	Callipallene	emaciata	SPECIES	ACCEPTED	NE	50.724654	-0.897027	EUROPE	{}	2007.0	2007-08-28/2007-09-11	240.0	254.0	['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'TAXON_MATCH_TAXON_ID_IGNORED']	2024-07-15T18:31:41.215+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '560b18e0-6fb4-4ba1-8b1d-d9d329141af9'}]	[]	[]	[]	False				WGS84	Pycnogonida	GB	[]	[]	EUROPE	United Kingdom of Great Britain and Northern Ireland	EUROPE	DASSHDT00000006_HG_52	560b18e0-6fb4-4ba1-8b1d-d9d329141af9		POLYGON((-0.89775 50.72421,-0.89775 50.7251,-0.89631 50.7251,-0.89631 50.72421,-0.89775 50.72421))			Accepted - considered correct	3871769183		DASSHDT00000006_150563_0696b8	NBNSYS0000174277	70.7	England		OSGB Grid Reference SZ779922	NBNSYS0000174277	Marine Biological Association	https://creativecommons.org/licenses/by/4.0/legalcode	DASSHDT00000006																																																																							
3871951539	cc2031d1-395d-4052-8ce1-796a08c3dbf2	f6b48504-1651-4a49-a88d-c2bc6178694d	99552c70-f762-11e1-a439-00145eb45e9a	07f617d0-c688-11d8-bf62-b8a03c50a862	GB	DWC_ARCHIVE	2024-07-15T18:24:28.661+00:00	2024-07-15T18:31:43.068+00:00	307	{}	HUMAN_OBSERVATION	PRESENT	4302741	1	54	354	9477065	2011	2118112	4302741	4302741	Callipallene emaciata (Dohrn, 1881)	Callipallene emaciata (Dohrn, 1881)	Animalia	Arthropoda	Pantopoda	Callipallenidae	Callipallene	Callipallene emaciata	Callipallene	emaciata	SPECIES	ACCEPTED	NE	51.39756	1.44954	EUROPE	{}	2007.0	2007-08-30/2007-09-05	242.0	248.0	['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'TAXON_MATCH_TAXON_ID_IGNORED']	2024-07-15T18:31:43.068+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'c6dbd488-9c8c-4fd8-8563-91e1e804438d'}]	[]	[]	[]	False				WGS84	Pycnogonida	GB	[]	[]	EUROPE	United Kingdom of Great Britain and Northern Ireland	EUROPE	DASSHDT00000009_TH_HG_1A	c6dbd488-9c8c-4fd8-8563-91e1e804438d		POLYGON((1.44879 51.39713,1.44879 51.39799,1.45029 51.39799,1.45029 51.39713,1.44879 51.39713))			Accepted - considered correct	3871951539		DASSHDT00000009_150563_06a301	NBNSYS0000174277	70.7	England		OSGB Grid Reference TR400721	NBNSYS0000174277	Marine Biological Association	https://creativecommons.org/licenses/by/4.0/legalcode	DASSHDT00000009																																																																							
3871955271	cc2031d1-395d-4052-8ce1-796a08c3dbf2	f6b48504-1651-4a49-a88d-c2bc6178694d	99552c70-f762-11e1-a439-00145eb45e9a	07f617d0-c688-11d8-bf62-b8a03c50a862	GB	DWC_ARCHIVE	2024-07-15T18:24:28.661+00:00	2024-07-15T18:31:44.292+00:00	307	{}	HUMAN_OBSERVATION	PRESENT	4302741	1	54	354	9477065	2011	2118112	4302741	4302741	Callipallene emaciata (Dohrn, 1881)	Callipallene emaciata (Dohrn, 1881)	Animalia	Arthropoda	Pantopoda	Callipallenidae	Callipallene	Callipallene emaciata	Callipallene	emaciata	SPECIES	ACCEPTED	NE	50.590697	-1.600863		{}	2007.0	2007-08-28/2007-09-11	240.0	254.0	['TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'TAXON_MATCH_TAXON_ID_IGNORED']	2024-07-15T18:31:44.292+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'da680c52-5cc3-446c-8624-ea1d56ede4b7'}]	[]	[]	[]	False				WGS84	Pycnogonida	GB	[]	[]	EUROPE	United Kingdom of Great Britain and Northern Ireland	EUROPE	DASSHDT00000006_HG_18	da680c52-5cc3-446c-8624-ea1d56ede4b7		POLYGON((-1.60157 50.59025,-1.60157 50.59114,-1.60015 50.59114,-1.60015 50.59025,-1.60157 50.59025))			Accepted - considered correct	3871955271		DASSHDT00000006_150563_0696b9	NBNSYS0000174277	70.7	England		OSGB Grid Reference SZ283768	NBNSYS0000174277	Marine Biological Association	https://creativecommons.org/licenses/by/4.0/legalcode	DASSHDT00000006																																																																							
3872000414	cc2031d1-395d-4052-8ce1-796a08c3dbf2	f6b48504-1651-4a49-a88d-c2bc6178694d	99552c70-f762-11e1-a439-00145eb45e9a	07f617d0-c688-11d8-bf62-b8a03c50a862	GB	DWC_ARCHIVE	2024-07-15T18:24:28.661+00:00	2024-07-15T18:31:44.114+00:00	307	{}	HUMAN_OBSERVATION	PRESENT	4302741	1	54	354	9477065	2011	2118112	4302741	4302741	Callipallene emaciata (Dohrn, 1881)	Callipallene emaciata (Dohrn, 1881)	Animalia	Arthropoda	Pantopoda	Callipallenidae	Callipallene	Callipallene emaciata	Callipallene	emaciata	SPECIES	ACCEPTED	NE	51.818474	1.262471	EUROPE	{}	2007.0	2007-08-30/2007-09-05	242.0	248.0	['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'TAXON_MATCH_TAXON_ID_IGNORED']	2024-07-15T18:31:44.114+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'fa418af3-780f-42b7-8a14-7c9004965e1c'}]	[]	[]	[]	False				WGS84	Pycnogonida	GB	[]	[]	EUROPE	United Kingdom of Great Britain and Northern Ireland	EUROPE	DASSHDT00000009_TH_HG_15A	fa418af3-780f-42b7-8a14-7c9004965e1c		POLYGON((1.26171 51.81805,1.26171 51.8189,1.26323 51.8189,1.26323 51.81805,1.26171 51.81805))			Accepted - considered correct	3872000414		DASSHDT00000009_150563_06a302	NBNSYS0000174277	70.7	England		OSGB Grid Reference TM249183	NBNSYS0000174277	Marine Biological Association	https://creativecommons.org/licenses/by/4.0/legalcode	DASSHDT00000009																																																																							
2932272011	a71b06c8-c62d-46ed-8daa-f10b0aeca0da	bb108780-00da-49a7-ba12-40a25192a626	99552c70-f762-11e1-a439-00145eb45e9a	07f617d0-c688-11d8-bf62-b8a03c50a862	GB	DWC_ARCHIVE	2024-07-07T15:14:04.975+00:00	2024-07-07T15:15:37.455+00:00	323	{}	HUMAN_OBSERVATION	PRESENT	4302741	1	54	354	9477065	2011	2118112	4302741	4302741	Callipallene emaciata (Dohrn, 1881)	Callipallene emaciata (Dohrn, 1881)	Animalia	Arthropoda	Pantopoda	Callipallenidae	Callipallene	Callipallene emaciata	Callipallene	emaciata	SPECIES	ACCEPTED	NE	50.059263	-2.748052		{}	2006.0	2006-07-30	211.0	211.0	['TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'TAXON_MATCH_TAXON_ID_IGNORED']	2024-07-07T15:15:37.455+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '28019da0-d907-4695-9eb5-db46065a7ec9'}]	[]	[]	[]	False				WGS84	Pycnogonida	GB	[]	[]	EUROPE	United Kingdom of Great Britain and Northern Ireland	EUROPE	MRMIT6000000025B.01	28019da0-d907-4695-9eb5-db46065a7ec9		POLYGON((-2.74874 50.05881,-2.74874 50.05972,-2.74736 50.05972,-2.74736 50.05881,-2.74874 50.05881))			Accepted	2932272011		437972012	NBNSYS0000174277	70.7	England	7.0	OSGB Grid Reference SY465179	NBNSYS0000174277	Joint Nature Conservation Committee		MRMIT6000000001C	1.0	30.0	HamCam Station P04																									T-MRMIT6000001A9CC																																											
2932107204	a71b06c8-c62d-46ed-8daa-f10b0aeca0da	bb108780-00da-49a7-ba12-40a25192a626	99552c70-f762-11e1-a439-00145eb45e9a	07f617d0-c688-11d8-bf62-b8a03c50a862	GB	DWC_ARCHIVE	2024-07-07T15:14:04.975+00:00	2024-07-07T15:15:28.614+00:00	323	{}	HUMAN_OBSERVATION	PRESENT	4302741	1	54	354	9477065	2011	2118112	4302741	4302741	Callipallene emaciata (Dohrn, 1881)	Callipallene emaciata (Dohrn, 1881)	Animalia	Arthropoda	Pantopoda	Callipallenidae	Callipallene	Callipallene emaciata	Callipallene	emaciata	SPECIES	ACCEPTED	NE	50.031376	-2.749015		{}	2006.0	2006-07-30	211.0	211.0	['TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'TAXON_MATCH_TAXON_ID_IGNORED']	2024-07-07T15:15:28.614+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '36c693d0-6840-4da9-a10f-82e9681f8560'}]	[]	[]	[]	False				WGS84	Pycnogonida	GB	[]	[]	EUROPE	United Kingdom of Great Britain and Northern Ireland	EUROPE	MRMIT6000000025C.02	36c693d0-6840-4da9-a10f-82e9681f8560		POLYGON((-2.74971 50.03092,-2.74971 50.03183,-2.74832 50.03183,-2.74832 50.03092,-2.74971 50.03092))			Accepted	2932107204		437973795	NBNSYS0000174277	70.7	England	7.0	OSGB Grid Reference SY464148	NBNSYS0000174277	Joint Nature Conservation Committee		MRMIT6000000001C	2.0	30.0	HamCam Station P05																									T-MRMIT6000001AB0F																																											
