key	datasetKey	publishingOrgKey	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	individualCount	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	stateProvince	gadm	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	isInCluster	recordedBy	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	recordNumber	eventID	identifier	informationWithheld	habitat	footprintWKT	locality	identificationVerificationStatus	collectionCode	gbifID	occurrenceID	taxonID	verbatimDepth	taxonConceptID	http://unknown.org/rightsHolder	continent	datasetID	http://unknown.org/language	http://unknown.org/modified	originalNameUsage	county	nameAccordingTo	infraspecificEpithet	modified	institutionCode	associatedReferences	language	networkKeys	depth	depthAccuracy	identifiedBy	catalogNumber	institutionKey	preparations	rightsHolder	nomenclaturalCode	institutionID	verbatimEventDate	higherClassification	higherGeography	otherCatalogNumbers	dynamicProperties	collectionKey	collectionID	elevation	elevationAccuracy	typeStatus
2925834107	fae37d1f-5b7a-4fe2-8cfa-8948aefbcac2	598eb93d-a844-4289-8adb-0f8583dac91e	99552c70-f762-11e1-a439-00145eb45e9a	07f617d0-c688-11d8-bf62-b8a03c50a862	GB	DWC_ARCHIVE	2024-06-30T13:50:11.817+00:00	2024-06-30T13:59:42.667+00:00	322	{}	HUMAN_OBSERVATION	2.0	PRESENT	2118122	1	54	354	9477065	2011	2118112	2118122	2118122	Callipallene tiberii (Dohrn, 1881)	Callipallene tiberii (Dohrn, 1881)	Animalia	Arthropoda	Pantopoda	Callipallenidae	Callipallene	Callipallene tiberii	Callipallene	tiberii	SPECIES	ACCEPTED	NE	50.210132	-3.578679	70.7	England	{}	2014.0	1.0	25.0	2014-01-25	25.0	25.0	['TAXON_MATCH_FUZZY', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'TAXON_MATCH_TAXON_ID_IGNORED']	2024-06-30T13:59:42.667+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '686e0219-081b-425e-a8dc-37318478d9a4'}]	[]	[]	[]	False	Centre for Environment, Fisheries & Aquaculture Science	WGS84	Pycnogonida	GB	[]	[]	EUROPE	United Kingdom of Great Britain and Northern Ireland	EUROPE	T-MRNE01080002AC88	MRNE010800000C2B.001	686e0219-081b-425e-a8dc-37318478d9a4	OSGB Grid Reference SX874356	Sublittoral	POLYGON((-3.57936 50.20967,-3.57936 50.21059,-3.57799 50.21059,-3.57799 50.20967,-3.57936 50.20967))	SKBS080 Grab	Accepted - considered correct	MRNE010800000038	2925834107	554437133	NBNSYS0000180050	Unknown	NBNSYS0000180050	Natural England																																
2926064863	fae37d1f-5b7a-4fe2-8cfa-8948aefbcac2	598eb93d-a844-4289-8adb-0f8583dac91e	99552c70-f762-11e1-a439-00145eb45e9a	07f617d0-c688-11d8-bf62-b8a03c50a862	GB	DWC_ARCHIVE	2024-06-30T13:50:11.817+00:00	2024-06-30T13:59:48.200+00:00	322	{}	HUMAN_OBSERVATION	4.0	PRESENT	2118122	1	54	354	9477065	2011	2118112	2118122	2118122	Callipallene tiberii (Dohrn, 1881)	Callipallene tiberii (Dohrn, 1881)	Animalia	Arthropoda	Pantopoda	Callipallenidae	Callipallene	Callipallene tiberii	Callipallene	tiberii	SPECIES	ACCEPTED	NE	50.161295	-3.724079	70.7	England	{}	2014.0	1.0	22.0	2014-01-22	22.0	22.0	['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_FUZZY', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'TAXON_MATCH_TAXON_ID_IGNORED']	2024-06-30T13:59:48.200+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '9f409b25-65b4-4680-a3ee-c06265a507a8'}]	[]	[]	[]	False	Centre for Environment, Fisheries & Aquaculture Science	WGS84	Pycnogonida	GB	[]	[]	EUROPE	United Kingdom of Great Britain and Northern Ireland	EUROPE	T-MRNE01080002B5D9	MRNE010800000BF8.001	9f409b25-65b4-4680-a3ee-c06265a507a8	OSGB Grid Reference SX769304	Sublittoral	POLYGON((-3.72476 50.16083,-3.72476 50.16175,-3.7234 50.16175,-3.7234 50.16083,-3.72476 50.16083))	SKBS131 Grab	Accepted - considered correct	MRNE010800000038	2926064863	554253787	NBNSYS0000180050	Unknown	NBNSYS0000180050	Natural England	EUROPE																															
2925309334	fae37d1f-5b7a-4fe2-8cfa-8948aefbcac2	598eb93d-a844-4289-8adb-0f8583dac91e	99552c70-f762-11e1-a439-00145eb45e9a	07f617d0-c688-11d8-bf62-b8a03c50a862	GB	DWC_ARCHIVE	2024-06-30T13:50:11.817+00:00	2024-06-30T13:59:55.302+00:00	322	{}	HUMAN_OBSERVATION	1.0	PRESENT	2118122	1	54	354	9477065	2011	2118112	2118122	2118122	Callipallene tiberii (Dohrn, 1881)	Callipallene tiberii (Dohrn, 1881)	Animalia	Arthropoda	Pantopoda	Callipallenidae	Callipallene	Callipallene tiberii	Callipallene	tiberii	SPECIES	ACCEPTED	NE	50.198878	-3.54608	70.7	England	{}	2014.0	1.0	25.0	2014-01-25	25.0	25.0	['TAXON_MATCH_FUZZY', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'TAXON_MATCH_TAXON_ID_IGNORED']	2024-06-30T13:59:55.302+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'f9b8d952-5256-4da2-9879-c2cd2c383a5d'}]	[]	[]	[]	False	Centre for Environment, Fisheries & Aquaculture Science	WGS84	Pycnogonida	GB	[]	[]	EUROPE	United Kingdom of Great Britain and Northern Ireland	EUROPE	T-MRNE01080002AF76	MRNE010800000C2F.001	f9b8d952-5256-4da2-9879-c2cd2c383a5d	OSGB Grid Reference SX897343	Sublittoral	POLYGON((-3.54677 50.19842,-3.54677 50.19934,-3.54539 50.19934,-3.54539 50.19842,-3.54677 50.19842))	SKBS090 Grab	Accepted - considered correct	MRNE010800000038	2925309334	554437732	NBNSYS0000180050	Unknown	NBNSYS0000180050	Natural England																																
2488071822	72a17f09-ceaa-4420-aff3-3bb99564774e	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	e44d0fd7-0edf-477f-aa82-50a81836ab46	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	FR	DWC_ARCHIVE	2023-03-07T14:26:35.006+00:00	2024-01-24T19:53:00.717+00:00	154	{}	HUMAN_OBSERVATION		PRESENT	2118122	1	54	354	9477065	2011	2118112	2118122	2118122	Callipallene tiberii (Dohrn, 1881)	Callipallene tiberii (Dohrn, 1881)	Animalia	Arthropoda	Pantopoda	Callipallenidae	Callipallene	Callipallene tiberii	Callipallene	tiberii	SPECIES	ACCEPTED	NE	47.76702	-4.23592	50.0		{}	2011.0	5.0	10.0	2011-05-10	130.0	130.0	['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_FUZZY', 'TAXON_MATCH_TAXON_ID_IGNORED']	2024-01-24T19:53:00.717+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '82e3c9e2-f288-24f6-e053-2614a8c008ee'}]	[]	[]	[]	False	Julien Guillaudeau	WGS84	Pycnogonida	FR	[]	[]	EUROPE	France	EUROPE		82e3c9e2-f288-24f6-e053-2614a8c008ee	82e3c9e2-f288-24f6-e053-2614a8c008ee			POINT(-4.23592 47.76702)		Non réalisable		2488071822	82e3c9e2-f288-24f6-e053-2614a8c008ee	381735				EUROPE	4A9DDA1F-B710-3E13-E053-2614A8C02B7C	fr | en	2019-02-28	Callipallene emaciata tiberii	Finistère (mer territoriale)	Gargominy O (2021). TAXREF. Version 4.7. UMS PatriNat (OFB-CNRS-MNHN), Paris. Checklist dataset https://doi.org/10.15468/vqueam accessed via GBIF.org on 2021-06-28.																									
2488232320	72a17f09-ceaa-4420-aff3-3bb99564774e	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	e44d0fd7-0edf-477f-aa82-50a81836ab46	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	FR	DWC_ARCHIVE	2023-03-07T14:26:35.006+00:00	2024-01-24T19:53:10.713+00:00	154	{}	HUMAN_OBSERVATION		PRESENT	2118122	1	54	354	9477065	2011	2118112	2118122	2118122	Callipallene tiberii (Dohrn, 1881)	Callipallene tiberii (Dohrn, 1881)	Animalia	Arthropoda	Pantopoda	Callipallenidae	Callipallene	Callipallene tiberii	Callipallene	tiberii	SPECIES	ACCEPTED	NE	47.76702	-4.23592	50.0		{}	2011.0	5.0	10.0	2011-05-10	130.0	130.0	['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_FUZZY', 'TAXON_MATCH_TAXON_ID_IGNORED']	2024-01-24T19:53:10.713+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '82e3c9f7-f442-24f6-e053-2614a8c008ee'}]	[]	[]	[]	False	Régis Gallon	WGS84	Pycnogonida	FR	[]	[]	EUROPE	France	EUROPE		82e3c9f7-f442-24f6-e053-2614a8c008ee	82e3c9f7-f442-24f6-e053-2614a8c008ee			POINT(-4.23592 47.76702)		Non réalisable		2488232320	82e3c9f7-f442-24f6-e053-2614a8c008ee	381735				EUROPE	4A9DDA1F-B710-3E13-E053-2614A8C02B7C	fr | en	2019-02-28	Callipallene emaciata tiberii	Finistère (mer territoriale)	Gargominy O (2021). TAXREF. Version 4.7. UMS PatriNat (OFB-CNRS-MNHN), Paris. Checklist dataset https://doi.org/10.15468/vqueam accessed via GBIF.org on 2021-06-28.																									
2925733201	fae37d1f-5b7a-4fe2-8cfa-8948aefbcac2	598eb93d-a844-4289-8adb-0f8583dac91e	99552c70-f762-11e1-a439-00145eb45e9a	07f617d0-c688-11d8-bf62-b8a03c50a862	GB	DWC_ARCHIVE	2024-06-30T13:50:11.817+00:00	2024-06-30T13:59:46.453+00:00	322	{}	HUMAN_OBSERVATION	2.0	PRESENT	2118122	1	54	354	9477065	2011	2118112	2118122	2118122	Callipallene tiberii (Dohrn, 1881)	Callipallene tiberii (Dohrn, 1881)	Animalia	Arthropoda	Pantopoda	Callipallenidae	Callipallene	Callipallene tiberii	Callipallene	tiberii	SPECIES	ACCEPTED	NE	53.014022	0.46781	70.7	England	{}	2011.0	11.0	4.0	2011-11-04	308.0	308.0	['TAXON_MATCH_FUZZY', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'TAXON_MATCH_TAXON_ID_IGNORED']	2024-06-30T13:59:46.453+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '562479a3-16bc-47df-8535-9619f97c252c'}]	[]	[]	[]	False	UNKNOWN OR ANONYMOUS	WGS84	Pycnogonida	GB	[]	[]	EUROPE	United Kingdom of Great Britain and Northern Ireland	EUROPE	T-MRNE021100000CA9	MRNE021100000026.003	562479a3-16bc-47df-8535-9619f97c252c	OSGB Grid Reference TF656491	Sublittoral	POLYGON((0.46704 53.01359,0.46704 53.01446,0.46858 53.01446,0.46858 53.01359,0.46704 53.01359))	Wash and NNC Grabs 04_11_11	Accepted - considered correct	MRNE021100000005	2925733201	554487115	NBNSYS0000180050	Unknown	NBNSYS0000180050	Natural England																																
3072829104	f946666e-67dc-4848-9fa8-2162f3559e33	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	791e3715-7452-4dd0-a906-db21a3852427	5d5e5d82-076c-4e9a-b5b0-c88d1b691a6a	FR	EML	2023-01-06T22:20:57.851+00:00	2024-01-25T16:37:02.068+00:00	190	{}	HUMAN_OBSERVATION		PRESENT	4338577	1	54	354	9477065	2011	2118112	2118122	2118122	Callipallene emaciata tiberii (Dohrn, 1881)	Callipallene tiberii (Dohrn, 1881)	Animalia	Arthropoda	Pantopoda	Callipallenidae	Callipallene	Callipallene tiberii	Callipallene	emaciata	SUBSPECIES	SYNONYM		49.68802	0.17117	5000.0	France métropolitaine	{'level0': {'gid': 'FRA', 'name': 'France'}, 'level1': {'gid': 'FRA.9_1', 'name': 'Normandie'}, 'level2': {'gid': 'FRA.9.5_1', 'name': 'Seine-Maritime'}, 'level3': {'gid': 'FRA.9.5.2_1', 'name': 'Le Havre'}}	2007.0			2007			['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_ID_IGNORED']	2024-01-25T16:37:02.068+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'BDBB97C4-8AFC-5049-E053-0514A8C026F5'}]	[]	[]	[]	False		WGS84	Pycnogonida	FR	[]	[]	EUROPE	France	EUROPE		23M000000	BDBB97C4-8AFC-5049-E053-0514A8C026F5					Control could not be conclusive due to insufficient knowledge		3072829104	BDBB97C4-8AFC-5049-E053-0514A8C026F5	545417				EUROPE	67774A34-8C54-34CC-E053-2614A8C083CF				ZMMMT76	TAXREF v14	tiberii	2021-01-01T00:00:00.000+00:00	UMS PatriNat	Mention dans la ZNIEFF numéro 23M000000 : Antifer - Etretat Porte d'Aval	en | fr																				
203582918	96309e26-f762-11e1-a439-00145eb45e9a	61e40671-1a75-4bcd-9a0d-63515057d39d	791e3715-7452-4dd0-a906-db21a3852427	5d5e5d82-076c-4e9a-b5b0-c88d1b691a6a	FR	EML	2023-12-11T15:23:37.871+00:00	2024-01-24T22:32:51.677+00:00	258	{}	PRESERVED_SPECIMEN		PRESENT	2118122	1	54	354	9477065	2011	2118112	2118122	2118122	Callipallene tiberii (Dohrn, 1881)	Callipallene tiberii (Dohrn, 1881)	Animalia	Arthropoda	Pantopoda	Callipallenidae	Callipallene	Callipallene tiberii	Callipallene	tiberii	SPECIES	ACCEPTED	NE	35.8783	-6.5317			{}	1984.0	6.0	1.0	1984-06-01	153.0	153.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COORDINATE_PRECISION_INVALID', 'COUNTRY_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_FUZZY', 'INSTITUTION_MATCH_NONE']	2024-01-24T22:32:51.677+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '203582918'}]	[]	[]	[]	False	BOUCHET Philippe	WGS84	Pycnogonida	MA	[]	[]	AFRICA	Morocco	EUROPE							Detroit de Gibraltar		Biocean	203582918	203582918														Ifremer			['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	526.0	0.0	STOCK Jan	24812															
203582925	96309e26-f762-11e1-a439-00145eb45e9a	61e40671-1a75-4bcd-9a0d-63515057d39d	791e3715-7452-4dd0-a906-db21a3852427	5d5e5d82-076c-4e9a-b5b0-c88d1b691a6a	FR	EML	2023-12-11T15:23:37.871+00:00	2024-01-24T22:32:51.680+00:00	258	{}	PRESERVED_SPECIMEN		PRESENT	2118122	1	54	354	9477065	2011	2118112	2118122	2118122	Callipallene tiberii (Dohrn, 1881)	Callipallene tiberii (Dohrn, 1881)	Animalia	Arthropoda	Pantopoda	Callipallenidae	Callipallene	Callipallene tiberii	Callipallene	tiberii	SPECIES	ACCEPTED	NE	35.8833	-6.5467			{}	1984.0	6.0	1.0	1984-06-01	153.0	153.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COORDINATE_PRECISION_INVALID', 'COUNTRY_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_FUZZY', 'INSTITUTION_MATCH_NONE']	2024-01-24T22:32:51.680+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '203582925'}]	[]	[]	[]	False	BOUCHET Philippe	WGS84	Pycnogonida	MA	[]	[]	AFRICA	Morocco	EUROPE							Detroit de Gibraltar		Biocean	203582925	203582925														Ifremer			['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	518.0	0.0	STOCK Jan	25181															
203582926	96309e26-f762-11e1-a439-00145eb45e9a	61e40671-1a75-4bcd-9a0d-63515057d39d	791e3715-7452-4dd0-a906-db21a3852427	5d5e5d82-076c-4e9a-b5b0-c88d1b691a6a	FR	EML	2023-12-11T15:23:37.871+00:00	2024-01-24T22:32:51.679+00:00	258	{}	PRESERVED_SPECIMEN		PRESENT	2118122	1	54	354	9477065	2011	2118112	2118122	2118122	Callipallene tiberii (Dohrn, 1881)	Callipallene tiberii (Dohrn, 1881)	Animalia	Arthropoda	Pantopoda	Callipallenidae	Callipallene	Callipallene tiberii	Callipallene	tiberii	SPECIES	ACCEPTED	NE	35.9083	-6.2217			{}	1984.0	6.0	1.0	1984-06-01	153.0	153.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COORDINATE_PRECISION_INVALID', 'COUNTRY_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_FUZZY', 'INSTITUTION_MATCH_NONE']	2024-01-24T22:32:51.679+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '203582926'}]	[]	[]	[]	False	BOUCHET Philippe	WGS84	Pycnogonida	MA	[]	[]	AFRICA	Morocco	EUROPE							Detroit de Gibraltar		Biocean	203582926	203582926														Ifremer			['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	133.0	0.0	STOCK Jan	25190															
