key	datasetKey	publishingOrgKey	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	continent	stateProvince	gadm	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	institutionKey	isInCluster	identifiedBy	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	identifier	catalogNumber	vernacularName	institutionCode	county	gbifID	collectionCode	occurrenceID	networkKeys	individualCount	depth	depthAccuracy	modified	collectionKey	recordedBy	locality	fieldNumber	collectionID	waterBody	higherGeography	datasetName	preparations	institutionID	verbatimEventDate	higherClassification	sex	georeferenceProtocol	verbatimCoordinateSystem	locationID	language	type	samplingProtocol	eventID	verbatimDepth	ownerInstitutionCode	parentEventID	rightsHolder	nomenclaturalCode
3970762432	bef19e99-90a7-4b3d-a113-bdf4ea6c88f2	2b4e561b-0b1a-4c1b-b564-819bcfe006b8	9afa1395-6e93-4848-a42d-bce896f5195e	657b7bf0-766b-11d9-9f77-b8a03c50a862	KR	EML	2024-04-10T15:17:39.393+00:00	2024-04-10T15:19:21.944+00:00	116	{}	PRESERVED_SPECIMEN	PRESENT	2118503	1	54	354	9477065	6313	2118496	2118503	2118503	Cilunculus armatus (Böhm, 1879)	Cilunculus armatus (Böhm, 1879)	Animalia	Arthropoda	Pantopoda	Ammotheidae	Cilunculus	Cilunculus armatus	Cilunculus	armatus	SPECIES	ACCEPTED	NE	34.051108	127.603608	ASIA	Jeollanam-do	{}	2017.0	6.0	28.0	2017-06-28	179.0	179.0	['COORDINATE_ROUNDED', 'GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_DERIVED_FROM_COORDINATES', 'IDENTIFIED_DATE_INVALID', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-04-10T15:19:21.944+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': 'MABIK CR00252166'}]	[]	[]	[]	a8264021-9b25-41bb-88b5-eaba3fc66193	False	Lee Damin	WGS84	Pycnogonida	KR	[]	[]	ASIA	Korea, Republic of	ASIA	MABIK CR00252166	MABIK CR00252166	어깨홈바다거미	MABIK	Yeosu-si	3970762432	CR	MABIK CR00252166																														
3467540339	da6a07ed-9eee-460d-9448-910f542c1a7b	2cd829bb-b713-433d-99cf-64bef11e5b3e	86c2834b-fcd6-418d-9b32-aca45110a0fe	2cd829bb-b713-433d-99cf-64bef11e5b3e	FR	EML	2024-07-24T12:23:52.237+00:00	2024-07-24T12:24:51.199+00:00	564	{'http://rs.tdwg.org/dwc/terms/Identification': [{'http://rs.tdwg.org/dwc/terms/namePublishedInYear': '1879', 'http://rs.tdwg.org/dwc/terms/order': 'Pantopoda', 'http://rs.tdwg.org/dwc/terms/higherClassification': 'Cilunculus;Ammotheidae;Pantopoda;Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificNameAuthorship': '(Böhm, 1879)', 'http://rs.tdwg.org/dwc/terms/class': 'Pycnogonida', 'http://rs.tdwg.org/dwc/terms/identificationID': 'INVMAR|505005', 'http://rs.tdwg.org/dwc/terms/family': 'Ammotheidae', 'http://rs.tdwg.org/dwc/terms/genus': 'Cilunculus', 'http://rs.tdwg.org/dwc/terms/specificEpithet': 'armatus', 'http://rs.tdwg.org/dwc/terms/identificationVerificationStatus': '1', 'http://rs.tdwg.org/dwc/terms/taxonID': 'INVMAR|25917', 'http://rs.tdwg.org/dwc/terms/identifiedBy': 'Sabroux R.', 'http://rs.tdwg.org/dwc/terms/phylum': 'Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificName': 'Cilunculus armatus (Böhm, 1879)'}]}	PRESERVED_SPECIMEN	PRESENT	2118503	1	54	354	9477065	6313	2118496	2118503	2118503	Cilunculus armatus (Böhm, 1879)	Cilunculus armatus (Böhm, 1879)	Animalia	Arthropoda	Pantopoda	Ammotheidae	Cilunculus	Cilunculus armatus	Cilunculus	armatus	SPECIES	ACCEPTED	NE	-22.752333	167.287506			{}	2016.0	8.0	16.0	2016-08-16	229.0	229.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_COORDINATE_MISMATCH', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'INSTITUTION_MATCH_FUZZY']	2024-07-24T12:24:51.199+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'http://coldb.mnhn.fr/catalognumber/mnhn/iu/2016-1394'}]	[]	[]	[]	6a6ac6c5-1b8a-48db-91a2-f8661274ff80	False	Sabroux R.	WGS84	Pycnogonida	NC	[]	[]	OCEANIA	New Caledonia	EUROPE	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2016-1394	2016-1394		MNHN		3467540339	IU	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2016-1394	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	1.0	415.5	23.5	2014-03-18T17:09:06.000+00:00	0641bf3b-29ad-42c9-b3c7-ffb5a76f6954	MNHN - conv. APA_NCPS_2016_012	SW Ile des Pins	KANACONO/DW4699	10.15468/qgvvhd																				
1322355186	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:38:54.328+00:00	395	{}	PRESERVED_SPECIMEN	PRESENT	2118503	1	54	354	9477065	6313	2118496	2118503	2118503	Cilunculus armatus (Böhm, 1879)	Cilunculus armatus (Böhm, 1879)	Animalia	Arthropoda	Pantopoda	Ammotheidae	Cilunculus	Cilunculus armatus	Cilunculus	armatus	SPECIES	ACCEPTED	NE				Shizuoka	{}	1973.0	8.0	8.0	1973-08-08	220.0	220.0	['OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-02T12:38:54.328+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/3e3f0a164-da53-4bf6-affb-f72f02548989'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	False	Nakamura, K.; Child, C. A.		Pycnogonida	JP	[]	[]	ASIA	Japan	NORTH_AMERICA	http://n2t.net/ark:/65665/3e3f0a164-da53-4bf6-affb-f72f02548989	USNM 183951		USNM		1322355186	IZ	http://n2t.net/ark:/65665/3e3f0a164-da53-4bf6-affb-f72f02548989	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	10.0	30.0	0.0	2014-10-20T15:15:00.000+00:00	0174f5b3-da29-4967-b8dc-ce75ed53e35d	K. Nakamura	Honshu Island, Sagami Bay, Off Shimoda		urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6	North Pacific Ocean	North Pacific Ocean, Japan, Shizuoka	NMNH Extant Biology	Alcohol (Ethanol)	urn:lsid:biocol.org:col:34871	08 AUG 1973	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Ammotheidae													
1320468800	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:37:57.769+00:00	395	{}	PRESERVED_SPECIMEN	PRESENT	2118503	1	54	354	9477065	6313	2118496	2118503	2118503	Cilunculus armatus (Böhm, 1879)	Cilunculus armatus (Böhm, 1879)	Animalia	Arthropoda	Pantopoda	Ammotheidae	Cilunculus	Cilunculus armatus	Cilunculus	armatus	SPECIES	ACCEPTED	NE	34.89	139.158	ASIA	Shizuoka	{}	1971.0	2.0	3.0	1971-02-03	34.0	34.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'CONTINENT_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-02T12:37:57.769+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/3907d89ce-bde9-4b12-9975-ed430be7a474'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	False	Nakamura, K.; Child, C. A.	WGS84	Pycnogonida	JP	[]	[]	ASIA	Japan	NORTH_AMERICA	http://n2t.net/ark:/65665/3907d89ce-bde9-4b12-9975-ed430be7a474	USNM 183945		USNM		1320468800	IZ	http://n2t.net/ark:/65665/3907d89ce-bde9-4b12-9975-ed430be7a474	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	1.0	167.0	7.0	2014-10-20T15:15:00.000+00:00	0174f5b3-da29-4967-b8dc-ce75ed53e35d		Honshu Island, Sagami Bay		urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6	North Pacific Ocean	North Pacific Ocean, Japan, Shizuoka	NMNH Extant Biology	Alcohol (Ethanol)	urn:lsid:biocol.org:col:34871	03 FEB 1971	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Ammotheidae	FEMALE	unknown, from legacy	Degrees Minutes Seconds	KT71-2-27									
1320586098	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:39:06.559+00:00	395	{}	PRESERVED_SPECIMEN	PRESENT	2118503	1	54	354	9477065	6313	2118496	2118503	2118503	Cilunculus armatus (Böhm, 1879)	Cilunculus armatus (Böhm, 1879)	Animalia	Arthropoda	Pantopoda	Ammotheidae	Cilunculus	Cilunculus armatus	Cilunculus	armatus	SPECIES	ACCEPTED	NE	34.8583	139.128	ASIA	Shizuoka	{}	1971.0	2.0	3.0	1971-02-03	34.0	34.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'CONTINENT_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-02T12:39:06.559+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/395ac9c48-ef77-4dfe-99df-caa46ccd250b'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	False	Nakamura, K.; Child, C. A.	WGS84	Pycnogonida	JP	[]	[]	ASIA	Japan	NORTH_AMERICA	http://n2t.net/ark:/65665/395ac9c48-ef77-4dfe-99df-caa46ccd250b	USNM 183946		USNM		1320586098	IZ	http://n2t.net/ark:/65665/395ac9c48-ef77-4dfe-99df-caa46ccd250b	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	2.0	325.5	10.5	2014-10-20T15:15:00.000+00:00	0174f5b3-da29-4967-b8dc-ce75ed53e35d		Honshu Island, Sagami Bay		urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6	North Pacific Ocean	North Pacific Ocean, Japan, Shizuoka	NMNH Extant Biology	Alcohol (Ethanol)	urn:lsid:biocol.org:col:34871	03 FEB 1971	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Ammotheidae	MALE	unknown, from legacy	Degrees Minutes Seconds	KT71-2-26									
1319308653	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:37:38.323+00:00	395	{}	PRESERVED_SPECIMEN	PRESENT	2118503	1	54	354	9477065	6313	2118496	2118503	2118503	Cilunculus armatus (Böhm, 1879)	Cilunculus armatus (Böhm, 1879)	Animalia	Arthropoda	Pantopoda	Ammotheidae	Cilunculus	Cilunculus armatus	Cilunculus	armatus	SPECIES	ACCEPTED	NE				Shizuoka	{}	1971.0	5.0	16.0	1971-05-16	136.0	136.0	['OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-02T12:37:38.323+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/35d2ea37c-b69e-4493-a309-5140a8239e98'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	False	Nakamura, K.; Child, C. A.		Pycnogonida	JP	[]	[]	ASIA	Japan	NORTH_AMERICA	http://n2t.net/ark:/65665/35d2ea37c-b69e-4493-a309-5140a8239e98	USNM 183947		USNM		1319308653	IZ	http://n2t.net/ark:/65665/35d2ea37c-b69e-4493-a309-5140a8239e98	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	36.0	30.0	0.0	2014-10-20T15:15:00.000+00:00	0174f5b3-da29-4967-b8dc-ce75ed53e35d	K. Nakamura	Honshu Island, Sagami Bay, Off Kisami		urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6	North Pacific Ocean	North Pacific Ocean, Japan, Shizuoka	NMNH Extant Biology	Alcohol (Ethanol)	urn:lsid:biocol.org:col:34871	16 MAY 1971	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Ammotheidae													
1320415691	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:37:57.586+00:00	395	{}	PRESERVED_SPECIMEN	PRESENT	2118503	1	54	354	9477065	6313	2118496	2118503	2118503	Cilunculus armatus (Böhm, 1879)	Cilunculus armatus (Böhm, 1879)	Animalia	Arthropoda	Pantopoda	Ammotheidae	Cilunculus	Cilunculus armatus	Cilunculus	armatus	SPECIES	ACCEPTED	NE				Shizuoka	{}	1970.0	5.0	22.0	1970-05-22	142.0	142.0	['OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-02T12:37:57.586+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/38e241bb6-9fe0-4974-af8c-fef6af76fd3f'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	False	Nakamura, K.; Child, C. A.		Pycnogonida	JP	[]	[]	ASIA	Japan	NORTH_AMERICA	http://n2t.net/ark:/65665/38e241bb6-9fe0-4974-af8c-fef6af76fd3f	USNM 183949		USNM		1320415691	IZ	http://n2t.net/ark:/65665/38e241bb6-9fe0-4974-af8c-fef6af76fd3f	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	266.0	30.0	0.0	2014-10-20T15:15:00.000+00:00	0174f5b3-da29-4967-b8dc-ce75ed53e35d	K. Nakamura	Honshu Island, Sagami Bay, Off Kisami		urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6	North Pacific Ocean	North Pacific Ocean, Japan, Shizuoka	NMNH Extant Biology	Alcohol (Ethanol)	urn:lsid:biocol.org:col:34871	22 MAY 1970	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Ammotheidae													
1322433480	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:39:30.838+00:00	395	{}	PRESERVED_SPECIMEN	PRESENT	2118503	1	54	354	9477065	6313	2118496	2118503	2118503	Cilunculus armatus (Böhm, 1879)	Cilunculus armatus (Böhm, 1879)	Animalia	Arthropoda	Pantopoda	Ammotheidae	Cilunculus	Cilunculus armatus	Cilunculus	armatus	SPECIES	ACCEPTED	NE				Shizuoka	{}	1970.0	9.0	1.0	1970-09-01	244.0	244.0	['OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-02T12:39:30.838+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/3e7696f93-5dd2-46be-a9c3-8ffbc319da6c'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	False	Nakamura, K.; Child, C. A.		Pycnogonida	JP	[]	[]	ASIA	Japan	NORTH_AMERICA	http://n2t.net/ark:/65665/3e7696f93-5dd2-46be-a9c3-8ffbc319da6c	USNM 183950		USNM		1322433480	IZ	http://n2t.net/ark:/65665/3e7696f93-5dd2-46be-a9c3-8ffbc319da6c	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	277.0	30.0	0.0	2014-10-20T15:15:00.000+00:00	0174f5b3-da29-4967-b8dc-ce75ed53e35d	K. Nakamura	Honshu Island, Sagami Bay, Off Kisami		urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6	North Pacific Ocean	North Pacific Ocean, Japan, Shizuoka	NMNH Extant Biology	Alcohol (Ethanol)	urn:lsid:biocol.org:col:34871	01 SEP 1970	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Ammotheidae													
1318311932	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:37:10.288+00:00	395	{}	PRESERVED_SPECIMEN	PRESENT	2118503	1	54	354	9477065	6313	2118496	2118503	2118503	Cilunculus armatus (Böhm, 1879)	Cilunculus armatus (Böhm, 1879)	Animalia	Arthropoda	Pantopoda	Ammotheidae	Cilunculus	Cilunculus armatus	Cilunculus	armatus	SPECIES	ACCEPTED	NE	34.625	138.95	ASIA	Shizuoka	{}	1969.0	7.0	14.0	1969-07-14	195.0	195.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'CONTINENT_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-02T12:37:10.288+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/33110ede7-07ac-4729-bdd0-36641bd4a4af'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	False	Nakamura, K.; Child, C. A.	WGS84	Pycnogonida	JP	[]	[]	ASIA	Japan	NORTH_AMERICA	http://n2t.net/ark:/65665/33110ede7-07ac-4729-bdd0-36641bd4a4af	USNM 183943		USNM		1318311932	IZ	http://n2t.net/ark:/65665/33110ede7-07ac-4729-bdd0-36641bd4a4af	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	1.0	63.0	9.0	2014-10-20T15:15:00.000+00:00	0174f5b3-da29-4967-b8dc-ce75ed53e35d		Honshu Island, Sagami Bay		urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6	North Pacific Ocean	North Pacific Ocean, Japan, Shizuoka	NMNH Extant Biology	Alcohol (Ethanol)	urn:lsid:biocol.org:col:34871	14 JUL 1969	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Ammotheidae	FEMALE	unknown, from legacy	Degrees Minutes Seconds	KT69-12-14									
1318658795	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:37:19.769+00:00	395	{}	PRESERVED_SPECIMEN	PRESENT	2118503	1	54	354	9477065	6313	2118496	2118503	2118503	Cilunculus armatus (Böhm, 1879)	Cilunculus armatus (Böhm, 1879)	Animalia	Arthropoda	Pantopoda	Ammotheidae	Cilunculus	Cilunculus armatus	Cilunculus	armatus	SPECIES	ACCEPTED	NE	34.6367	138.94	ASIA	Shizuoka	{}	1969.0	7.0	18.0	1969-07-18	199.0	199.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'CONTINENT_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-02T12:37:19.769+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/3406bc3c2-092a-4f26-bdf0-1d8441fbcfc8'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	False	Nakamura, K.; Child, C. A.	WGS84	Pycnogonida	JP	[]	[]	ASIA	Japan	NORTH_AMERICA	http://n2t.net/ark:/65665/3406bc3c2-092a-4f26-bdf0-1d8441fbcfc8	USNM 183944		USNM		1318658795	IZ	http://n2t.net/ark:/65665/3406bc3c2-092a-4f26-bdf0-1d8441fbcfc8	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	20.0	38.5	1.5	2014-10-20T15:15:00.000+00:00	0174f5b3-da29-4967-b8dc-ce75ed53e35d		Honshu Island, Sagami Bay		urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6	North Pacific Ocean	North Pacific Ocean, Japan, Shizuoka	NMNH Extant Biology	Alcohol (Ethanol)	urn:lsid:biocol.org:col:34871	18 JUL 1969	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Ammotheidae		unknown, from legacy	Degrees Minutes Seconds	KT69-12-24									
