key	datasetKey	publishingOrgKey	networkKeys	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	individualCount	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	depth	depthAccuracy	gadm	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	modified	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	institutionKey	collectionKey	isInCluster	recordedBy	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	identifier	catalogNumber	institutionCode	locality	fieldNumber	gbifID	collectionCode	occurrenceID	collectionID	identifiedBy	eventID	habitat	scientificNameID	identificationVerificationStatus	verbatimIdentification	identificationRemarks	occurrenceRemarks	continent	verbatimLocality	datasetID	http://unknown.org/language	originalNameUsage	county	associatedReferences	nameAccordingTo	taxonID	http://unknown.org/orders	sex	preparations	rightsHolder	nomenclaturalCode	institutionID	higherClassification
462403498	da6a07ed-9eee-460d-9448-910f542c1a7b	2cd829bb-b713-433d-99cf-64bef11e5b3e	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	86c2834b-fcd6-418d-9b32-aca45110a0fe	2cd829bb-b713-433d-99cf-64bef11e5b3e	FR	EML	2024-07-24T12:23:52.237+00:00	2024-07-24T12:24:43.452+00:00	564	{'http://rs.tdwg.org/dwc/terms/Identification': [{'http://rs.tdwg.org/dwc/terms/namePublishedInYear': '1908', 'http://rs.tdwg.org/dwc/terms/order': 'Pantopoda', 'http://rs.tdwg.org/dwc/terms/higherClassification': 'Cilunculus;Ammotheidae;Pantopoda;Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificNameAuthorship': 'Loman, 1908', 'http://rs.tdwg.org/dwc/terms/class': 'Pycnogonida', 'http://rs.tdwg.org/dwc/terms/identificationID': 'INVMAR|117494', 'http://rs.tdwg.org/dwc/terms/family': 'Ammotheidae', 'http://rs.tdwg.org/dwc/terms/genus': 'Cilunculus', 'http://rs.tdwg.org/dwc/terms/specificEpithet': 'frontosus', 'http://rs.tdwg.org/dwc/terms/identificationVerificationStatus': '1', 'http://rs.tdwg.org/dwc/terms/taxonID': 'INVMAR|16250', 'http://rs.tdwg.org/dwc/terms/phylum': 'Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificName': 'Cilunculus frontosus Loman, 1908'}]}	PRESERVED_SPECIMEN	1.0	PRESENT	2118518	1	54	354	9477065	6313	2118496	2118518	2118518	Cilunculus frontosus Loman, 1908	Cilunculus frontosus Loman, 1908	Animalia	Arthropoda	Pantopoda	Ammotheidae	Cilunculus	Cilunculus frontosus	Cilunculus	frontosus	SPECIES	ACCEPTED	NE	-24.91415	168.366577	510.0	5.0	{}	1985.0	9.0	3.0	1985-09-03T09:05/1985-09-03T09:30	246.0	246.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_COORDINATE_MISMATCH', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'INSTITUTION_MATCH_FUZZY']	2015-06-19T19:23:01.000+00:00	2024-07-24T12:24:43.452+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'http://coldb.mnhn.fr/catalognumber/mnhn/iu/2008-20606'}]	[]	[]	[]	6a6ac6c5-1b8a-48db-91a2-f8661274ff80	0641bf3b-29ad-42c9-b3c7-ffb5a76f6954	False	Bouchet, Métivier & Richer de Forges-IRD coll.	WGS84	Pycnogonida	NC	[]	[]	OCEANIA	New Caledonia	EUROPE	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2008-20606	2008-20606	MNHN	Mont sous-marin Éponge	BIOCAL/DW66	462403498	IU	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2008-20606	10.15468/qgvvhd																								
3696583788	2931765e-0682-4a38-85eb-032964cc3792	c3ad790a-d426-4ac1-8e32-da61f81f0117	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	a9c3f3b6-1f98-49c3-ba50-7e6aa1c9de59	c3ad790a-d426-4ac1-8e32-da61f81f0117	US	EML	2024-07-02T10:01:43.848+00:00	2024-07-02T10:03:49.911+00:00	118	{}	PRESERVED_SPECIMEN		PRESENT	2118518	1	54	354	9477065	6313	2118496	2118518	2118518	Cilunculus frontosus Loman, 1908	Cilunculus frontosus Loman, 1908	Animalia	Arthropoda	Pantopoda	Ammotheidae	Cilunculus	Cilunculus frontosus	Cilunculus	frontosus	SPECIES	ACCEPTED	NE	-24.92	168.36	510.0	5.0	{}	1985.0	9.0	3.0	1985-09-03	246.0	246.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'REFERENCES_URI_INVALID', 'INSTITUTION_MATCH_NONE']		2024-07-02T10:03:49.911+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'SeamountsOnline_urn:lsid:marinespecies.org:taxname:240230_17445'}]	[]	[]	[]			False		WGS84	Pycnogonida	NC	[]	[]	OCEANIA	New Caledonia	NORTH_AMERICA	SeamountsOnline_urn:lsid:marinespecies.org:taxname:240230_17445	17445	SCSD	Sponge Seamount	Station DW 66	3696583788	SeamountsOnline	SeamountsOnline_urn:lsid:marinespecies.org:taxname:240230_17445		NA	SCSD_SeamountsOnline_Sponge_Seamount_534290	benthic/near bottom	urn:lsid:marinespecies.org:taxname:240230	Validated	Cilunculus frontosus	WoRMS Match Type: exact	NA | NA																
774192132	da6a07ed-9eee-460d-9448-910f542c1a7b	2cd829bb-b713-433d-99cf-64bef11e5b3e	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	86c2834b-fcd6-418d-9b32-aca45110a0fe	2cd829bb-b713-433d-99cf-64bef11e5b3e	FR	EML	2024-07-24T12:23:52.237+00:00	2024-07-24T12:24:37.398+00:00	564	{'http://rs.tdwg.org/dwc/terms/Identification': [{'http://rs.tdwg.org/dwc/terms/namePublishedInYear': '1908', 'http://rs.tdwg.org/dwc/terms/order': 'Pantopoda', 'http://rs.tdwg.org/dwc/terms/higherClassification': 'Cilunculus;Ammotheidae;Pantopoda;Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificNameAuthorship': 'Loman, 1908', 'http://rs.tdwg.org/dwc/terms/class': 'Pycnogonida', 'http://rs.tdwg.org/dwc/terms/identificationID': 'INVMAR|171065', 'http://rs.tdwg.org/dwc/terms/family': 'Ammotheidae', 'http://rs.tdwg.org/dwc/terms/genus': 'Cilunculus', 'http://rs.tdwg.org/dwc/terms/specificEpithet': 'frontosus', 'http://rs.tdwg.org/dwc/terms/identificationVerificationStatus': '1', 'http://rs.tdwg.org/dwc/terms/taxonID': 'INVMAR|16250', 'http://rs.tdwg.org/dwc/terms/identifiedBy': 'Arnaud F.', 'http://rs.tdwg.org/dwc/terms/phylum': 'Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificName': 'Cilunculus frontosus Loman, 1908'}]}	PRESERVED_SPECIMEN	2.0	PRESENT	2118518	1	54	354	9477065	6313	2118496	2118518	2118518	Cilunculus frontosus Loman, 1908	Cilunculus frontosus Loman, 1908	Animalia	Arthropoda	Pantopoda	Ammotheidae	Cilunculus	Cilunculus frontosus	Cilunculus	frontosus	SPECIES	ACCEPTED	NE	-21.351666	55.445	150.0		{}	1982.0	8.0	18.0	1982-08-18	230.0	230.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'INSTITUTION_MATCH_FUZZY']	2016-06-29T17:13:46.000+00:00	2024-07-24T12:24:37.398+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'http://coldb.mnhn.fr/catalognumber/mnhn/iu/2009-3037'}]	[]	[]	[]	6a6ac6c5-1b8a-48db-91a2-f8661274ff80	0641bf3b-29ad-42c9-b3c7-ffb5a76f6954	False	Bouchet, Warén & Métivier	WGS84	Pycnogonida	RE	[]	[]	AFRICA	Réunion	EUROPE	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2009-3037	2009-3037	MNHN	au large de St Pierre	MD32 (REUNION)/FA40	774192132	IU	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2009-3037	10.15468/qgvvhd	Arnaud F.								AFRICA															
774193131	da6a07ed-9eee-460d-9448-910f542c1a7b	2cd829bb-b713-433d-99cf-64bef11e5b3e	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	86c2834b-fcd6-418d-9b32-aca45110a0fe	2cd829bb-b713-433d-99cf-64bef11e5b3e	FR	EML	2024-07-24T12:23:52.237+00:00	2024-07-24T12:24:37.410+00:00	564	{'http://rs.tdwg.org/dwc/terms/Identification': [{'http://rs.tdwg.org/dwc/terms/namePublishedInYear': '1908', 'http://rs.tdwg.org/dwc/terms/order': 'Pantopoda', 'http://rs.tdwg.org/dwc/terms/higherClassification': 'Cilunculus;Ammotheidae;Pantopoda;Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificNameAuthorship': 'Loman, 1908', 'http://rs.tdwg.org/dwc/terms/class': 'Pycnogonida', 'http://rs.tdwg.org/dwc/terms/identificationID': 'INVMAR|170432', 'http://rs.tdwg.org/dwc/terms/family': 'Ammotheidae', 'http://rs.tdwg.org/dwc/terms/genus': 'Cilunculus', 'http://rs.tdwg.org/dwc/terms/specificEpithet': 'frontosus', 'http://rs.tdwg.org/dwc/terms/identificationVerificationStatus': '1', 'http://rs.tdwg.org/dwc/terms/taxonID': 'INVMAR|16250', 'http://rs.tdwg.org/dwc/terms/identifiedBy': 'Arnaud F.', 'http://rs.tdwg.org/dwc/terms/phylum': 'Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificName': 'Cilunculus frontosus Loman, 1908'}]}	PRESERVED_SPECIMEN	1.0	PRESENT	2118518	1	54	354	9477065	6313	2118496	2118518	2118518	Cilunculus frontosus Loman, 1908	Cilunculus frontosus Loman, 1908	Animalia	Arthropoda	Pantopoda	Ammotheidae	Cilunculus	Cilunculus frontosus	Cilunculus	frontosus	SPECIES	ACCEPTED	NE	-11.533334	47.386665	620.0	5.0	{}	1977.0	4.0	12.0	1977-04-12	102.0	102.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_COORDINATE_MISMATCH', 'CONTINENT_COUNTRY_MISMATCH', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'INSTITUTION_MATCH_FUZZY']	2015-06-19T19:23:01.000+00:00	2024-07-24T12:24:37.410+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'http://coldb.mnhn.fr/catalognumber/mnhn/iu/2009-3015'}]	[]	[]	[]	6a6ac6c5-1b8a-48db-91a2-f8661274ff80	0641bf3b-29ad-42c9-b3c7-ffb5a76f6954	False	Bouchet P.	WGS84	Pycnogonida	ZZ	[]	[]		unknown or invalid	EUROPE	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2009-3015	2009-3015	MNHN	SE des Iles Glorieuses	BENTHEDI/DS122+DS122bis (BENT122-DS + Dsbis)	774193131	IU	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2009-3015	10.15468/qgvvhd	Arnaud F.								AFRICA															
774193132	da6a07ed-9eee-460d-9448-910f542c1a7b	2cd829bb-b713-433d-99cf-64bef11e5b3e	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	86c2834b-fcd6-418d-9b32-aca45110a0fe	2cd829bb-b713-433d-99cf-64bef11e5b3e	FR	EML	2024-07-24T12:23:52.237+00:00	2024-07-24T12:24:37.411+00:00	564	{'http://rs.tdwg.org/dwc/terms/Identification': [{'http://rs.tdwg.org/dwc/terms/namePublishedInYear': '1908', 'http://rs.tdwg.org/dwc/terms/order': 'Pantopoda', 'http://rs.tdwg.org/dwc/terms/higherClassification': 'Cilunculus;Ammotheidae;Pantopoda;Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificNameAuthorship': 'Loman, 1908', 'http://rs.tdwg.org/dwc/terms/class': 'Pycnogonida', 'http://rs.tdwg.org/dwc/terms/identificationID': 'INVMAR|170435', 'http://rs.tdwg.org/dwc/terms/family': 'Ammotheidae', 'http://rs.tdwg.org/dwc/terms/genus': 'Cilunculus', 'http://rs.tdwg.org/dwc/terms/specificEpithet': 'frontosus', 'http://rs.tdwg.org/dwc/terms/identificationVerificationStatus': '1', 'http://rs.tdwg.org/dwc/terms/taxonID': 'INVMAR|16250', 'http://rs.tdwg.org/dwc/terms/identifiedBy': 'Arnaud F.', 'http://rs.tdwg.org/dwc/terms/phylum': 'Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificName': 'Cilunculus frontosus Loman, 1908'}]}	PRESERVED_SPECIMEN	1.0	PRESENT	2118518	1	54	354	9477065	6313	2118496	2118518	2118518	Cilunculus frontosus Loman, 1908	Cilunculus frontosus Loman, 1908	Animalia	Arthropoda	Pantopoda	Ammotheidae	Cilunculus	Cilunculus frontosus	Cilunculus	frontosus	SPECIES	ACCEPTED	NE	-11.5	47.411667	362.5	27.5	{}	1977.0	4.0	12.0	1977-04-12	102.0	102.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_COORDINATE_MISMATCH', 'CONTINENT_COUNTRY_MISMATCH', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'INSTITUTION_MATCH_FUZZY']	2016-06-29T17:14:56.000+00:00	2024-07-24T12:24:37.411+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'http://coldb.mnhn.fr/catalognumber/mnhn/iu/2009-3016'}]	[]	[]	[]	6a6ac6c5-1b8a-48db-91a2-f8661274ff80	0641bf3b-29ad-42c9-b3c7-ffb5a76f6954	False	Bouchet P.	WGS84	Pycnogonida	ZZ	[]	[]		unknown or invalid	EUROPE	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2009-3016	2009-3016	MNHN	SE des Iles Glorieuses	BENTHEDI/DS120 (BENT120-DS)	774193132	IU	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2009-3016	10.15468/qgvvhd	Arnaud F.								AFRICA															
774193133	da6a07ed-9eee-460d-9448-910f542c1a7b	2cd829bb-b713-433d-99cf-64bef11e5b3e	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	86c2834b-fcd6-418d-9b32-aca45110a0fe	2cd829bb-b713-433d-99cf-64bef11e5b3e	FR	EML	2024-07-24T12:23:52.237+00:00	2024-07-24T12:24:37.411+00:00	564	{'http://rs.tdwg.org/dwc/terms/Identification': [{'http://rs.tdwg.org/dwc/terms/namePublishedInYear': '1908', 'http://rs.tdwg.org/dwc/terms/order': 'Pantopoda', 'http://rs.tdwg.org/dwc/terms/higherClassification': 'Cilunculus;Ammotheidae;Pantopoda;Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificNameAuthorship': 'Loman, 1908', 'http://rs.tdwg.org/dwc/terms/class': 'Pycnogonida', 'http://rs.tdwg.org/dwc/terms/identificationID': 'INVMAR|170436', 'http://rs.tdwg.org/dwc/terms/family': 'Ammotheidae', 'http://rs.tdwg.org/dwc/terms/genus': 'Cilunculus', 'http://rs.tdwg.org/dwc/terms/specificEpithet': 'frontosus', 'http://rs.tdwg.org/dwc/terms/identificationVerificationStatus': '1', 'http://rs.tdwg.org/dwc/terms/taxonID': 'INVMAR|16250', 'http://rs.tdwg.org/dwc/terms/identifiedBy': 'Arnaud F.', 'http://rs.tdwg.org/dwc/terms/phylum': 'Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificName': 'Cilunculus frontosus Loman, 1908'}]}	PRESERVED_SPECIMEN	2.0	PRESENT	2118518	1	54	354	9477065	6313	2118496	2118518	2118518	Cilunculus frontosus Loman, 1908	Cilunculus frontosus Loman, 1908	Animalia	Arthropoda	Pantopoda	Ammotheidae	Cilunculus	Cilunculus frontosus	Cilunculus	frontosus	SPECIES	ACCEPTED	NE	-11.44	47.371666	440.0	110.0	{}	1977.0	4.0	8.0	1977-04-08	98.0	98.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_COORDINATE_MISMATCH', 'CONTINENT_COORDINATE_MISMATCH', 'CONTINENT_COUNTRY_MISMATCH', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'INSTITUTION_MATCH_FUZZY']	2015-06-19T19:23:01.000+00:00	2024-07-24T12:24:37.411+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'http://coldb.mnhn.fr/catalognumber/mnhn/iu/2009-3017'}]	[]	[]	[]	6a6ac6c5-1b8a-48db-91a2-f8661274ff80	0641bf3b-29ad-42c9-b3c7-ffb5a76f6954	False	Bouchet P.	WGS84	Pycnogonida	ZZ	[]	[]		unknown or invalid	EUROPE	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2009-3017	2009-3017	MNHN	Iles Glorieuses	BENTHEDI/DR104 (BENT104-DR)	774193133	IU	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2009-3017	10.15468/qgvvhd	Arnaud F.									N Ile du Lys														
4547760090	f553f8f9-b147-4f09-86e5-0d1ce1a91ce0	1928bdf0-f5d2-11dc-8c12-b8a03c50a862		e44d0fd7-0edf-477f-aa82-50a81836ab46	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	FR	DWC_ARCHIVE	2024-03-21T10:09:14.312+00:00	2024-03-21T10:14:26.356+00:00	57	{}	HUMAN_OBSERVATION		PRESENT	2118518	1	54	354	9477065	6313	2118496	2118518	2118518	Cilunculus frontosus Loman, 1908	Cilunculus frontosus Loman, 1908	Animalia	Arthropoda	Pantopoda	Ammotheidae	Cilunculus	Cilunculus frontosus	Cilunculus	frontosus	SPECIES	ACCEPTED	NE					{}							['COUNTRY_MISMATCH', 'CONTINENT_DERIVED_FROM_COUNTRY', 'TAXON_MATCH_TAXON_ID_IGNORED']		2024-03-21T10:14:26.356+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '0cae436e-b754-417f-84b4-2b7e69d72a1f'}]	[]	[]	[]			False			Pycnogonida	NC	[]	[]	OCEANIA	New Caledonia	EUROPE	0cae436e-b754-417f-84b4-2b7e69d72a1f					4547760090		0cae436e-b754-417f-84b4-2b7e69d72a1f			0cae436e-b754-417f-84b4-2b7e69d72a1f			Probable				OCEANIA		EB6380B5-80AF-5935-E053-0514A8C08744	fr | en	Cilunculus frontosus Loman, 1908	Province Nord|Province Sud|Îles Loyauté	TaxREF	Gargominy O (2021). TAXREF. Version 4.7. UMS PatriNat (OFB-CNRS-MNHN), Paris. Checklist dataset https://doi.org/10.15468/vqueam accessed via GBIF.org on 2021-06-28.	712067							
3935104479	91aa3d5b-6f77-4135-a823-cef438a60dfa	1928bdf0-f5d2-11dc-8c12-b8a03c50a862		e44d0fd7-0edf-477f-aa82-50a81836ab46	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	FR	DWC_ARCHIVE	2024-01-19T17:11:53.743+00:00	2024-01-26T10:11:36.535+00:00	10	{}	HUMAN_OBSERVATION		PRESENT	2118518	1	54	354	9477065	6313	2118496	2118518	2118518	Cilunculus frontosus Loman, 1908	Cilunculus frontosus Loman, 1908	Animalia	Arthropoda	Pantopoda	Ammotheidae	Cilunculus	Cilunculus frontosus	Cilunculus	frontosus	SPECIES	ACCEPTED	NE					{}							['COUNTRY_MISMATCH', 'CONTINENT_DERIVED_FROM_COUNTRY', 'TAXON_MATCH_TAXON_ID_IGNORED']		2024-01-26T10:11:36.535+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '1085fc15-cea2-4951-9a7f-d3bb04a7070a'}]	[]	[]	[]			False			Pycnogonida	NC	[]	[]	OCEANIA	New Caledonia	EUROPE	1085fc15-cea2-4951-9a7f-d3bb04a7070a					3935104479		1085fc15-cea2-4951-9a7f-d3bb04a7070a			1085fc15-cea2-4951-9a7f-d3bb04a7070a			Probable				OCEANIA		D2B0CE86-7C29-1275-E053-5514A8C0FBF9		Cilunculus frontosus Loman, 1908	Province Nord|Province Sud|Îles Loyauté	TaxREF	Gargominy O (2021). TAXREF. Version 4.7. UMS PatriNat (OFB-CNRS-MNHN), Paris. Checklist dataset https://doi.org/10.15468/vqueam accessed via GBIF.org on 2021-06-28.	712067	Pantopoda						
3847041033	6ed43f52-25d1-4d56-a821-63a8564b81f6	1928bdf0-f5d2-11dc-8c12-b8a03c50a862		e44d0fd7-0edf-477f-aa82-50a81836ab46	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	FR	DWC_ARCHIVE	2024-01-23T18:06:52.356+00:00	2024-01-26T10:23:26.812+00:00	20	{}	HUMAN_OBSERVATION		PRESENT	2118518	1	54	354	9477065	6313	2118496	2118518	2118518	Cilunculus frontosus Loman, 1908	Cilunculus frontosus Loman, 1908	Animalia	Arthropoda	Pantopoda	Ammotheidae	Cilunculus	Cilunculus frontosus	Cilunculus	frontosus	SPECIES	ACCEPTED	NE					{}							['COUNTRY_MISMATCH', 'CONTINENT_DERIVED_FROM_COUNTRY', 'TAXON_MATCH_TAXON_ID_IGNORED']		2024-01-26T10:23:26.812+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'be3240c2-4e17-4462-99c6-d34adc0a3bf0'}]	[]	[]	[]			False			Pycnogonida	NC	[]	[]	OCEANIA	New Caledonia	EUROPE	be3240c2-4e17-4462-99c6-d34adc0a3bf0					3847041033		be3240c2-4e17-4462-99c6-d34adc0a3bf0			be3240c2-4e17-4462-99c6-d34adc0a3bf0			Invalid				OCEANIA		B6BB40E7-FCE6-5E23-E053-5014A8C0B867		Cilunculus frontosus Loman, 1908	Province Nord|Province Sud|Îles Loyauté		Gargominy O (2021). TAXREF. Version 4.7. UMS PatriNat (OFB-CNRS-MNHN), Paris. Checklist dataset https://doi.org/10.15468/vqueam accessed via GBIF.org on 2021-06-28.	712067							
2434400912	b4aad9c3-518b-4550-82de-c70a7ead1b64	396d5f30-dea9-11db-8ab4-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	65eb93af-41b8-4917-a5fc-cfe2a45aa4bf	396d5f30-dea9-11db-8ab4-b8a03c50a862	NL	DWC_ARCHIVE	2024-07-23T00:32:26.361+00:00	2024-07-23T00:33:19.104+00:00	393	{'http://rs.tdwg.org/ac/terms/Multimedia': [{'http://rs.tdwg.org/ac/terms/accessURI': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1232/format/large', 'http://ns.adobe.com/xap/1.0/rights/Owner': 'Naturalis Biodiversity Center', 'http://rs.tdwg.org/ac/terms/caption': 'ZMA.PYC.P.1232_0', 'http://purl.org/dc/terms/format': 'image/jpeg', 'http://purl.org/dc/elements/1.1/type': 'StillImage', 'http://rs.tdwg.org/ac/terms/variant': 'ac:GoodQuality', 'http://purl.org/dc/terms/identifier': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1232/format/large', 'http://purl.org/dc/terms/rights': 'CC0 1.0'}]}	PRESERVED_SPECIMEN		PRESENT	2118518	1	54	354	9477065	6313	2118496	2118518	2118518	Cilunculus frontosus Loman, 1908	Cilunculus frontosus Loman, 1908	Animalia	Arthropoda	Pantopoda	Ammotheidae	Cilunculus	Cilunculus frontosus	Cilunculus	frontosus	SPECIES	ACCEPTED	NE					{}							['COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2020-04-03T00:00:00.000+00:00	2024-07-23T00:33:19.104+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'ZMA.PYC.P.1232@CRS'}]	[{'type': 'StillImage', 'format': 'image/jpeg', 'description': 'ZMA.PYC.P.1232_0', 'license': 'http://creativecommons.org/publicdomain/zero/1.0/', 'rightsHolder': 'Naturalis Biodiversity Center', 'identifier': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1232/format/large'}]	[]	[]	0e919a55-08d3-4bd2-aec1-200858fafd92		False			Pycnogonida		[]	[]			EUROPE	ZMA.PYC.P.1232@CRS	ZMA.PYC.P.1232				2434400912	Chelicerata and Myriapoda	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.PYC.P.1232																				MALE	WholeOrganism (microscopic slide)	Naturalis Biodiversity Center	ICZN	Naturalis Biodiversity Center	Animalia
