key	datasetKey	publishingOrgKey	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	individualCount	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	gadm	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	isInCluster	recordedBy	identifiedBy	samplingProtocol	class	recordedByIDs	identifiedByIDs	publishedByGbifRegion	recordNumber	identifier	catalogNumber	locality	gbifID	occurrenceID	verbatimDepth	decimalLatitude	decimalLongitude	geodeticDatum	countryCode	gbifRegion	country	eventID	preparations	verbatimEventDate	previousIdentifications	island	fieldNumber	networkKeys	waterBody	institutionKey	collectionKey	institutionID	islandGroup	collectionCode	institutionCode	ownerInstitutionCode	parentEventID	collectionID	coordinateUncertaintyInMeters	datasetID	http://unknown.org/language	originalNameUsage	county	associatedReferences	identificationVerificationStatus	nameAccordingTo	taxonID	http://unknown.org/orders	depth	depthAccuracy	continent
1275078221	379156c8-c268-4537-aea4-83d94cc785f5	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	5a18cf7d-c259-47a4-a3ab-5c3a4024bd2e	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	ZA	EML	2023-01-07T13:47:43.557+00:00	2024-01-24T17:24:59.641+00:00	111	{}	PRESERVED_SPECIMEN	0.0	PRESENT	2118501	1	54	354	9477065	6313	2118496	2118501	2118501	Cilunculus kravcovi Pushkin, 1973	Cilunculus kravcovi Pushkin, 1973	Animalia	Arthropoda	Pantopoda	Ammotheidae	Cilunculus	Cilunculus kravcovi	Cilunculus	kravcovi	SPECIES	ACCEPTED	NE	{}	1987.0	8.0	26.0	1987-08-26T00:00	238.0	238.0	['OCCURRENCE_STATUS_INFERRED_FROM_BASIS_OF_RECORD']	2024-01-24T17:24:59.641+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '1275078221'}]	[]	[]	[]	False	UCT Marion Island Survey	Arnaud	Dredge	Pycnogonida	[]	[]	AFRICA	MAD 39 NA	urn:catalog:IZIKO:SAM-A-40534	SAM-A-40534	Marion and Prince Edward Islands	1275078221	urn:catalog:IZIKO:SAM-A-40534	360-376 m																																				
1836931355	cd6fe3a0-eee9-4066-8420-e36313ed833d	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	5a18cf7d-c259-47a4-a3ab-5c3a4024bd2e	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	ZA	EML	2023-08-29T13:52:47.454+00:00	2024-01-25T00:34:39.000+00:00	251	{}	HUMAN_OBSERVATION		PRESENT	2118501	1	54	354	9477065	6313	2118496	2118501	2118501	Cilunculus kravcovi Pushkin, 1973	Cilunculus kravcovi Pushkin, 1973	Animalia	Arthropoda	Pantopoda	Ammotheidae	Cilunculus	Cilunculus kravcovi	Cilunculus	kravcovi	SPECIES	ACCEPTED	NE	{}	1987.0	8.0	26.0	1987-08-26	238.0	238.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_FUZZY']	2024-01-25T00:34:39.000+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:FBIP:IZIKO:10502'}]	[]	[]	[]	True				Pycnogonida	[]	[]	AFRICA		urn:catalog:FBIP:IZIKO:10502		Marion & Prince Edward Islands; 46� 59.75' S 38� 00.65' E	1836931355	urn:catalog:FBIP:IZIKO:10502		-47.0041	38.018	WGS84	ZA	AFRICA	South Africa	MAD39 NA																													
1699424188	2429f28c-dc43-40e7-92f6-49206e0729fb	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	5a18cf7d-c259-47a4-a3ab-5c3a4024bd2e	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	ZA	EML	2023-08-29T14:54:25.883+00:00	2024-01-24T16:45:17.981+00:00	264	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2118501	1	54	354	9477065	6313	2118496	2118501	2118501	Cilunculus kravcovi Pushkin, 1973	Cilunculus kravcovi Pushkin, 1973	Animalia	Arthropoda	Pantopoda	Ammotheidae	Cilunculus	Cilunculus kravcovi	Cilunculus	kravcovi	SPECIES	ACCEPTED	NE	{}	1987.0	8.0	26.0	1987-08-26	238.0	238.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_FUZZY', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-01-24T16:45:17.981+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:ISAM:MB-A040534'}]	[]	[]	[]	True	University of Cape Town	Arnaud, P.H.	Bottom Trawl	Pycnogonida	[]	[]	AFRICA		urn:catalog:ISAM:MB-A040534	MB-A040534	Marion & Prince Edward Islands; 46� 59.75' S 38� 00.65' E	1699424188	urn:catalog:ISAM:MB-A040534		-47.0041	38.018	WGS84	ZA	AFRICA	South Africa		Ethanol - 1	26/Aug/1987	Cilunculus krovcovi (current)	Marion and Prince Edward Islands	MAD39 NA																								
4399690848	97169dfa-325b-4c1e-af91-3ef023f8a498	9abe4949-29aa-450e-b767-b2788f66e04d	da87027f-12b5-442f-b132-0f6f25acfd53	9abe4949-29aa-450e-b767-b2788f66e04d	RU	EML	2024-06-18T12:44:43.404+00:00	2024-06-18T12:44:58.846+00:00	69	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2118501	1	54	354	9477065	6313	2118496	2118501	2118501	Cilunculus kravcovi Pushkin, 1973	Cilunculus kravcovi Pushkin, 1973	Animalia	Arthropoda	Pantopoda	Ammotheidae	Cilunculus	Cilunculus kravcovi	Cilunculus	kravcovi	SPECIES	ACCEPTED	NE	{}	1971.0	3.0	7.0	1971-03-07	66.0	66.0	['COORDINATE_ROUNDED', 'COORDINATE_REPROJECTED']	2024-06-18T12:44:58.846+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': '3993ca45-0ba6-4681-b6ac-1255004e65a1'}]	[]	[]	[]	False	RV Skif	Turpaeva, Elena	Otter Trawl	Pycnogonida	[]	[]	EUROPE		3993ca45-0ba6-4681-b6ac-1255004e65a1	INV0001788	Indian Ocean	4399690848	3993ca45-0ba6-4681-b6ac-1255004e65a1	300.0 m	-46.6840247	51.3289607	WGS84	TF	ANTARCTICA	French Southern Territories	RV Skif_cruise 3_st.1231/320	dried:EtOH 75%				1231/320	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	Indian Ocean	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	fd699988-ab5d-4737-9443-9085cea191d2	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	Crozet Islands	OBFc	IORAS	IORAS	cruise 3	fd699988-ab5d-4737-9443-9085cea191d2													
4399691192	97169dfa-325b-4c1e-af91-3ef023f8a498	9abe4949-29aa-450e-b767-b2788f66e04d	da87027f-12b5-442f-b132-0f6f25acfd53	9abe4949-29aa-450e-b767-b2788f66e04d	RU	EML	2024-06-18T12:44:43.404+00:00	2024-06-18T12:44:58.924+00:00	69	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2118501	1	54	354	9477065	6313	2118496	2118501	2118501	Cilunculus kravcovi Pushkin, 1973	Cilunculus kravcovi Pushkin, 1973	Animalia	Arthropoda	Pantopoda	Ammotheidae	Cilunculus	Cilunculus kravcovi	Cilunculus	kravcovi	SPECIES	ACCEPTED	NE	{}	1970.0	12.0	3.0	1970-12-03	337.0	337.0	['COORDINATE_ROUNDED', 'COORDINATE_REPROJECTED']	2024-06-18T12:44:58.924+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': '4d9930bb-ed70-4e85-9efa-172f5797aecd'}]	[]	[]	[]	False	RV Skif	Turpaeva, Elena	Trawl 10	Pycnogonida	[]	[]	EUROPE		4d9930bb-ed70-4e85-9efa-172f5797aecd	INV0001789	Crozet Isls	4399691192	4d9930bb-ed70-4e85-9efa-172f5797aecd	255.0 - 270.0 m	-46.0440103	49.4072984	WGS84	TF	ANTARCTICA	French Southern Territories	RV Skif_cruise 3_st.936/25	dried:EtOH 75%				936/25	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	Indian Ocean	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	fd699988-ab5d-4737-9443-9085cea191d2	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	Crozet Islands	OBFc	IORAS	IORAS	cruise 3	fd699988-ab5d-4737-9443-9085cea191d2													
4548600635	f553f8f9-b147-4f09-86e5-0d1ce1a91ce0	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	e44d0fd7-0edf-477f-aa82-50a81836ab46	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	FR	DWC_ARCHIVE	2024-03-21T10:09:14.312+00:00	2024-03-21T10:14:27.722+00:00	57	{}	HUMAN_OBSERVATION		PRESENT	2118501	1	54	354	9477065	6313	2118496	2118501	2118501	Cilunculus kravcovi Pushkin, 1973	Cilunculus kravcovi Pushkin, 1973	Animalia	Arthropoda	Pantopoda	Ammotheidae	Cilunculus	Cilunculus kravcovi	Cilunculus	kravcovi	SPECIES	ACCEPTED	NE	{}							['COUNTRY_MISMATCH', 'TAXON_MATCH_TAXON_ID_IGNORED']	2024-03-21T10:14:27.722+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'c5963ff9-da6b-466a-8ba9-81d4d5b38591'}]	[]	[]	[]	False				Pycnogonida	[]	[]	EUROPE		c5963ff9-da6b-466a-8ba9-81d4d5b38591			4548600635	c5963ff9-da6b-466a-8ba9-81d4d5b38591		-49.13558	68.66923	WGS84	TF	ANTARCTICA	French Southern Territories	c5963ff9-da6b-466a-8ba9-81d4d5b38591																	1105902.0	EB6380B5-80AF-5935-E053-0514A8C08744	fr | en	Cilunculus kravcovi Pushkin, 1973	TAAF : Îles sub-antarctiques	TaxREF	Probable	Gargominy O (2021). TAXREF. Version 4.7. UMS PatriNat (OFB-CNRS-MNHN), Paris. Checklist dataset https://doi.org/10.15468/vqueam accessed via GBIF.org on 2021-06-28.	989823				
3935127024	91aa3d5b-6f77-4135-a823-cef438a60dfa	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	e44d0fd7-0edf-477f-aa82-50a81836ab46	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	FR	DWC_ARCHIVE	2024-01-19T17:11:53.743+00:00	2024-01-26T10:11:38.615+00:00	10	{}	HUMAN_OBSERVATION		PRESENT	2118501	1	54	354	9477065	6313	2118496	2118501	2118501	Cilunculus kravcovi Pushkin, 1973	Cilunculus kravcovi Pushkin, 1973	Animalia	Arthropoda	Pantopoda	Ammotheidae	Cilunculus	Cilunculus kravcovi	Cilunculus	kravcovi	SPECIES	ACCEPTED	NE	{}							['COUNTRY_MISMATCH', 'TAXON_MATCH_TAXON_ID_IGNORED']	2024-01-26T10:11:38.615+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'cfaf92d0-6267-412c-9eb5-2e9d070fe6c2'}]	[]	[]	[]	False				Pycnogonida	[]	[]	EUROPE		cfaf92d0-6267-412c-9eb5-2e9d070fe6c2			3935127024	cfaf92d0-6267-412c-9eb5-2e9d070fe6c2		-49.13558	68.66923	WGS84	TF	ANTARCTICA	French Southern Territories	cfaf92d0-6267-412c-9eb5-2e9d070fe6c2																	1105902.0	D2B0CE86-7C29-1275-E053-5514A8C0FBF9		Cilunculus kravcovi Pushkin, 1973	TAAF : Îles sub-antarctiques	TaxREF	Probable	Gargominy O (2021). TAXREF. Version 4.7. UMS PatriNat (OFB-CNRS-MNHN), Paris. Checklist dataset https://doi.org/10.15468/vqueam accessed via GBIF.org on 2021-06-28.	989823	Pantopoda			
318005767	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:23.303+00:00	124	{}	OCCURRENCE		PRESENT	2118501	1	54	354	9477065	6313	2118496	2118501	2118501	Cilunculus kravcovi Pushkin, 1973	Cilunculus kravcovi Pushkin, 1973	Animalia	Arthropoda	Pantopoda	Ammotheidae	Cilunculus	Cilunculus kravcovi	Cilunculus	kravcovi	SPECIES	ACCEPTED	NE	{}							['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'CONTINENT_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:23.303+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:33939'}]	[]	[]	[]	False				Pycnogonida	[]	[]	EUROPE			33939		318005767			-46.7166	37.95	WGS84	ZA	AFRICA	South Africa													SOMBASE Pycnogonids	BAS														387.5	387.5	ANTARCTICA
318006060	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:24.013+00:00	124	{}	OCCURRENCE		PRESENT	2118501	1	54	354	9477065	6313	2118496	2118501	2118501	Cilunculus kravcovi Pushkin, 1973	Cilunculus kravcovi Pushkin, 1973	Animalia	Arthropoda	Pantopoda	Ammotheidae	Cilunculus	Cilunculus kravcovi	Cilunculus	kravcovi	SPECIES	ACCEPTED	NE	{}							['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:24.013+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:37865'}]	[]	[]	[]	False				Pycnogonida	[]	[]	EUROPE			37865		318006060			-46.0433	49.4083	WGS84	TF	ANTARCTICA	French Southern Territories													SOMBASE Pycnogonids	BAS														262.5	7.5	
318006111	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:21.989+00:00	124	{}	OCCURRENCE		PRESENT	2118501	1	54	354	9477065	6313	2118496	2118501	2118501	Cilunculus kravcovi Pushkin, 1973	Cilunculus kravcovi Pushkin, 1973	Animalia	Arthropoda	Pantopoda	Ammotheidae	Cilunculus	Cilunculus kravcovi	Cilunculus	kravcovi	SPECIES	ACCEPTED	NE	{}							['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:21.989+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:38069'}]	[]	[]	[]	False				Pycnogonida	[]	[]	EUROPE			38069		318006111			-46.0666	51.33	WGS84	TF	ANTARCTICA	French Southern Territories													SOMBASE Pycnogonids	BAS														304.5	4.5	
