key	datasetKey	publishingOrgKey	networkKeys	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	individualCount	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	depth	depthAccuracy	gadm	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	modified	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	institutionKey	collectionKey	isInCluster	identifiedBy	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	identifier	catalogNumber	institutionCode	locality	fieldNumber	gbifID	collectionCode	occurrenceID	collectionID	recordedBy	island	dateIdentified	stateProvince	higherGeography	datasetName	preparations	samplingProtocol	rightsHolder	eventID	institutionID	nomenclaturalCode	georeferenceProtocol	http://unknown.org/taxonRankID	verbatimLocality	language	type	locationID	taxonConceptID	ownerInstitutionCode	eventTime	http://unknown.org/species	higherClassification	coordinateUncertaintyInMeters	organismQuantityType	scientificNameID	footprintWKT	occurrenceRemarks	waterBody	verbatimEventDate	verbatimCoordinateSystem	datasetID	fieldNotes	continent	otherCatalogNumbers	references	associatedSequences	verbatimIdentification	taxonID
442597253	da6a07ed-9eee-460d-9448-910f542c1a7b	2cd829bb-b713-433d-99cf-64bef11e5b3e	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	86c2834b-fcd6-418d-9b32-aca45110a0fe	2cd829bb-b713-433d-99cf-64bef11e5b3e	FR	EML	2024-07-24T12:23:52.237+00:00	2024-07-24T12:24:40.787+00:00	564	{'http://rs.tdwg.org/dwc/terms/Identification': [{'http://rs.tdwg.org/dwc/terms/namePublishedInYear': '1885', 'http://rs.tdwg.org/dwc/terms/order': 'Pantopoda', 'http://rs.tdwg.org/dwc/terms/higherClassification': 'Colossendeis;Colossendeidae;Pantopoda;Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificNameAuthorship': 'A. Milne-Edwards, 1885', 'http://rs.tdwg.org/dwc/terms/class': 'Pycnogonida', 'http://rs.tdwg.org/dwc/terms/identificationID': 'INVMAR|313753', 'http://rs.tdwg.org/dwc/terms/family': 'Colossendeidae', 'http://rs.tdwg.org/dwc/terms/genus': 'Colossendeis', 'http://rs.tdwg.org/dwc/terms/specificEpithet': 'arcuata', 'http://rs.tdwg.org/dwc/terms/identificationVerificationStatus': '1', 'http://rs.tdwg.org/dwc/terms/taxonID': 'INVMAR|40347', 'http://rs.tdwg.org/dwc/terms/identifiedBy': 'Sabroux R.', 'http://rs.tdwg.org/dwc/terms/phylum': 'Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificName': 'Colossendeis arcuata A. Milne-Edwards, 1885'}, {'http://rs.tdwg.org/dwc/terms/higherClassification': 'Gen.;Arthropoda', 'http://rs.tdwg.org/dwc/terms/genus': 'Gen.', 'http://rs.tdwg.org/dwc/terms/dateIdentified': '2011-02-01', 'http://rs.tdwg.org/dwc/terms/specificEpithet': 'sp.', 'http://rs.tdwg.org/dwc/terms/identificationVerificationStatus': '0', 'http://rs.tdwg.org/dwc/terms/taxonID': 'INVMAR|5732', 'http://rs.tdwg.org/dwc/terms/class': 'Pycnogonida', 'http://rs.tdwg.org/dwc/terms/identificationID': 'INVMAR|75781', 'http://rs.tdwg.org/dwc/terms/identifiedBy': 'Chan, Corbari, Macpherson, ATELIER BESSE Fév.2011', 'http://rs.tdwg.org/dwc/terms/phylum': 'Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificName': 'Gen. sp.'}], 'http://rs.gbif.org/terms/1.0/Multimedia': [{'http://purl.org/dc/terms/creator': 'Corbari L. & Leprieur S.', 'http://purl.org/dc/terms/type': 'StillImage', 'http://purl.org/dc/terms/format': 'image/jpeg', 'http://purl.org/dc/terms/license': 'cc-by-nc-nd', 'http://purl.org/dc/terms/identifier': 'http://mediaphoto.mnhn.fr/media/1415854415000025Bu3aQw5OaTysY'}, {'http://purl.org/dc/terms/creator': 'Corbari L. & Leprieur S.', 'http://purl.org/dc/terms/type': 'StillImage', 'http://purl.org/dc/terms/format': 'image/jpeg', 'http://purl.org/dc/terms/license': 'cc-by-nc-nd', 'http://purl.org/dc/terms/identifier': 'http://mediaphoto.mnhn.fr/media/1415854419777IlQyHe62Rp6WoJ5W'}]}	PRESERVED_SPECIMEN	1.0	PRESENT	2117579	1	54	354	9477065	2012	2117538	2117579	2117579	Colossendeis arcuata A.Milne-Edwards, 1885	Colossendeis arcuata A.Milne-Edwards, 1885	Animalia	Arthropoda	Pantopoda	Colossendeidae	Colossendeis	Colossendeis arcuata	Colossendeis	arcuata	SPECIES	ACCEPTED	NE	-25.714666	44.395832	730.5	1.5	{}	2010.0	5.0	12.0	2010-05-12	132.0	132.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'INSTITUTION_MATCH_FUZZY']	2015-05-07T16:46:22.000+00:00	2024-07-24T12:24:40.787+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'http://coldb.mnhn.fr/catalognumber/mnhn/iu/2011-777'}]	[{'type': 'StillImage', 'format': 'image/jpeg', 'creator': 'Corbari L. & Leprieur S.', 'license': 'http://creativecommons.org/licenses/by-nc-nd/4.0/', 'identifier': 'http://mediaphoto.mnhn.fr/media/1415854415000025Bu3aQw5OaTysY'}, {'type': 'StillImage', 'format': 'image/jpeg', 'creator': 'Corbari L. & Leprieur S.', 'license': 'http://creativecommons.org/licenses/by-nc-nd/4.0/', 'identifier': 'http://mediaphoto.mnhn.fr/media/1415854419777IlQyHe62Rp6WoJ5W'}]	[]	[]	6a6ac6c5-1b8a-48db-91a2-f8661274ff80	0641bf3b-29ad-42c9-b3c7-ffb5a76f6954	False	Sabroux R.	WGS84	Pycnogonida	MG	[]	[]	AFRICA	Madagascar	EUROPE	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2011-777	2011-777	MNHN	secteur de Lavanono	ATIMO VATAE/CP3597	442597253	IU	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2011-777	10.15468/qgvvhd																																							
442597333	da6a07ed-9eee-460d-9448-910f542c1a7b	2cd829bb-b713-433d-99cf-64bef11e5b3e	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	86c2834b-fcd6-418d-9b32-aca45110a0fe	2cd829bb-b713-433d-99cf-64bef11e5b3e	FR	EML	2024-07-24T12:23:52.237+00:00	2024-07-24T12:24:40.985+00:00	564	{'http://rs.tdwg.org/dwc/terms/Identification': [{'http://rs.tdwg.org/dwc/terms/namePublishedInYear': '1885', 'http://rs.tdwg.org/dwc/terms/order': 'Pantopoda', 'http://rs.tdwg.org/dwc/terms/higherClassification': 'Colossendeis;Colossendeidae;Pantopoda;Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificNameAuthorship': 'A. Milne-Edwards, 1885', 'http://rs.tdwg.org/dwc/terms/class': 'Pycnogonida', 'http://rs.tdwg.org/dwc/terms/identificationID': 'INVMAR|70785', 'http://rs.tdwg.org/dwc/terms/family': 'Colossendeidae', 'http://rs.tdwg.org/dwc/terms/genus': 'Colossendeis', 'http://rs.tdwg.org/dwc/terms/specificEpithet': 'arcuata', 'http://rs.tdwg.org/dwc/terms/identificationVerificationStatus': '1', 'http://rs.tdwg.org/dwc/terms/taxonID': 'INVMAR|40347', 'http://rs.tdwg.org/dwc/terms/identifiedBy': 'Krapp, F.', 'http://rs.tdwg.org/dwc/terms/phylum': 'Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificName': 'Colossendeis arcuata A. Milne-Edwards, 1885'}], 'http://rs.gbif.org/terms/1.0/Multimedia': [{'http://purl.org/dc/terms/creator': 'Corbari L. & Leprieur S.', 'http://purl.org/dc/terms/type': 'StillImage', 'http://purl.org/dc/terms/format': 'image/jpeg', 'http://purl.org/dc/terms/license': 'cc-by-nc-nd', 'http://purl.org/dc/terms/identifier': 'http://mediaphoto.mnhn.fr/media/1415854423890VBrTn4CQqnuAVs7b'}, {'http://purl.org/dc/terms/creator': 'Corbari L. & Leprieur S.', 'http://purl.org/dc/terms/type': 'StillImage', 'http://purl.org/dc/terms/format': 'image/jpeg', 'http://purl.org/dc/terms/license': 'cc-by-nc-nd', 'http://purl.org/dc/terms/identifier': 'http://mediaphoto.mnhn.fr/media/14158575572594FudOykKYHwRftrA'}]}	PRESERVED_SPECIMEN	1.0	PRESENT	2117579	1	54	354	9477065	2012	2117538	2117579	2117579	Colossendeis arcuata A.Milne-Edwards, 1885	Colossendeis arcuata A.Milne-Edwards, 1885	Animalia	Arthropoda	Pantopoda	Colossendeidae	Colossendeis	Colossendeis arcuata	Colossendeis	arcuata	SPECIES	ACCEPTED	NE	-12.078	48.82133	850.5	79.5	{}	2009.0	6.0	28.0	2009-06-28	179.0	179.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_COORDINATE_MISMATCH', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'INSTITUTION_MATCH_FUZZY']	2022-01-23T18:19:38.000+00:00	2024-07-24T12:24:40.985+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'http://coldb.mnhn.fr/catalognumber/mnhn/iu/2011-103'}]	[{'type': 'StillImage', 'format': 'image/jpeg', 'creator': 'Corbari L. & Leprieur S.', 'license': 'http://creativecommons.org/licenses/by-nc-nd/4.0/', 'identifier': 'http://mediaphoto.mnhn.fr/media/14158575572594FudOykKYHwRftrA'}, {'type': 'StillImage', 'format': 'image/jpeg', 'creator': 'Corbari L. & Leprieur S.', 'license': 'http://creativecommons.org/licenses/by-nc-nd/4.0/', 'identifier': 'http://mediaphoto.mnhn.fr/media/1415854423890VBrTn4CQqnuAVs7b'}]	[]	[]	6a6ac6c5-1b8a-48db-91a2-f8661274ff80	0641bf3b-29ad-42c9-b3c7-ffb5a76f6954	False	Krapp, F.	WGS84	Pycnogonida	MG	[]	[]	AFRICA	Madagascar	EUROPE	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2011-103	2011-103	MNHN	Ouest du Cap d'Ambre	MIRIKY/CP3201	442597333	IU	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2011-103	10.15468/qgvvhd	Bouchet, Puillandre & Richer coll.	Madagascar																																					
1272755893	39905320-6c8a-11de-8226-b8a03c50a862	4cff2aca-5ce5-4028-88e6-d79b6449173a	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:21:32.799+00:00	2024-07-02T06:37:25.857+00:00	381	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2117579	1	54	354	9477065	2012	2117538	2117579	2117579	Colossendeis arcuata A.Milne-Edwards, 1885	Colossendeis arcuata A.Milne-Edwards, 1885	Animalia	Arthropoda	Pantopoda	Colossendeidae	Colossendeis	Colossendeis arcuata	Colossendeis	arcuata	SPECIES	ACCEPTED	NE	-44.45	147.23	1715.0	0.0	{}	1997.0	1.0	28.0	1997-01-28	28.0	28.0	['RECORDED_DATE_INVALID', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'INSTITUTION_COLLECTION_MISMATCH']	2019-07-08T13:51:00.000+00:00	2024-07-02T06:37:25.857+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': '450f3dce-6682-4531-9879-93acdef7a465'}]	[]	[]	[]	22c8fe88-400b-4e8a-92cd-f1c76683f5ba		False	D A. Staples - Museum Victoria (Sciences)	WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA	450f3dce-6682-4531-9879-93acdef7a465	J61803	NMV	99.6 km SSE of South East Cape, W seamount	SS01/97 46	1272755893	Invertebrates	450f3dce-6682-4531-9879-93acdef7a465		Stranks, N. Tim|Csiro		2010-11-16T00:00:00	Tasmania	Australia|Tasmania	SS01/97	Wet|ethanol 70%	Epibenthic Sled	Museums Victoria	SS01/97 46	urn:lsid:biocol.org:col:34978	ICZN	gps	7000	99.6 km SSE of South East Cape, W seamount	en	PhysicalObject	SS01/97 46	https://biodiversity.org.au/afd/taxa/c87f03ea-11cc-4847-8917-160dc96443d4	NMV	19:20:00\19:25:00	Colossendeis arcuata	Arthropoda | Chelicerata | Pycnogonida | Colossendeidae																
3908423188	59df094c-e61d-4cc4-a779-970fab936dba	5fa89f68-9af0-4a0d-8998-ea39695c1db9	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	729a7375-b120-4e4f-bb81-ad9badcca81b	5fa89f68-9af0-4a0d-8998-ea39695c1db9	AU	EML	2024-07-02T10:08:02.628+00:00	2024-07-02T10:08:22.707+00:00	335	{}	HUMAN_OBSERVATION		PRESENT	2117579	1	54	354	9477065	2012	2117538	2117579	2117579	Colossendeis arcuata A.Milne-Edwards, 1885	Colossendeis arcuata A.Milne-Edwards, 1885	Animalia	Arthropoda	Pantopoda	Colossendeidae	Colossendeis	Colossendeis arcuata	Colossendeis	arcuata	SPECIES	ACCEPTED	NE	-44.42416	147.22667	2333.0	0.0	{}	1997.0	1.0	28.0	1997-01-28T07:36Z	28.0	28.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'FOOTPRINT_WKT_INVALID']	2022-08-23T23:53:36.000+00:00	2024-07-02T10:08:22.707+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': 'CC-SS199701-46-660849-33014020'}]	[]	[]	[]			False		WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA	CC-SS199701-46-660849-33014020		CSIRO, Australia	Survey area	SS199701:46	3908423188	CMAR_SS199701	CC-SS199701-46-660849-33014020											SS199701:46														500.0	individuals	urn:lsid:marinespecies.org:taxname:134660	LINE (147.2283  -44.4517, 147.2250  -44.3967)	Occurrence Type: Catch composition Catch method: Catch  many											
201111619	96309e26-f762-11e1-a439-00145eb45e9a	61e40671-1a75-4bcd-9a0d-63515057d39d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	791e3715-7452-4dd0-a906-db21a3852427	5d5e5d82-076c-4e9a-b5b0-c88d1b691a6a	FR	EML	2023-12-11T15:23:37.871+00:00	2024-01-24T22:32:47.843+00:00	258	{}	PRESERVED_SPECIMEN		PRESENT	2117579	1	54	354	9477065	2012	2117538	2117579	2117579	Colossendeis arcuata A.Milne-Edwards, 1885	Colossendeis arcuata A.Milne-Edwards, 1885	Animalia	Arthropoda	Pantopoda	Colossendeidae	Colossendeis	Colossendeis arcuata	Colossendeis	arcuata	SPECIES	ACCEPTED	NE	34.4783	-7.6967	1721.0	0.0	{}	1984.0	6.0	1.0	1984-06-01	153.0	153.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'INSTITUTION_MATCH_NONE']		2024-01-24T22:32:47.843+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '201111619'}]	[]	[]	[]			False	STOCK Jan	WGS84	Pycnogonida	MA	[]	[]	AFRICA	Morocco	EUROPE		25508	Ifremer	Detroit de Gibraltar		201111619	Biocean	201111619		BOUCHET Philippe																																						
201111620	96309e26-f762-11e1-a439-00145eb45e9a	61e40671-1a75-4bcd-9a0d-63515057d39d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	791e3715-7452-4dd0-a906-db21a3852427	5d5e5d82-076c-4e9a-b5b0-c88d1b691a6a	FR	EML	2023-12-11T15:23:37.871+00:00	2024-01-24T22:32:47.844+00:00	258	{}	PRESERVED_SPECIMEN		PRESENT	2117579	1	54	354	9477065	2012	2117538	2117579	2117579	Colossendeis arcuata A.Milne-Edwards, 1885	Colossendeis arcuata A.Milne-Edwards, 1885	Animalia	Arthropoda	Pantopoda	Colossendeidae	Colossendeis	Colossendeis arcuata	Colossendeis	arcuata	SPECIES	ACCEPTED	NE	35.1983	-7.8767	1998.0	0.0	{}	1984.0	6.0	1.0	1984-06-01	153.0	153.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'INSTITUTION_MATCH_NONE']		2024-01-24T22:32:47.844+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '201111620'}]	[]	[]	[]			False	STOCK Jan	WGS84	Pycnogonida	MA	[]	[]	AFRICA	Morocco	EUROPE		25593	Ifremer	Detroit de Gibraltar		201111620	Biocean	201111620		BOUCHET Philippe																																						
811982864	96309e26-f762-11e1-a439-00145eb45e9a	61e40671-1a75-4bcd-9a0d-63515057d39d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	791e3715-7452-4dd0-a906-db21a3852427	5d5e5d82-076c-4e9a-b5b0-c88d1b691a6a	FR	EML	2023-12-11T15:23:37.871+00:00	2024-01-24T22:32:50.653+00:00	258	{}	PRESERVED_SPECIMEN		PRESENT	2117579	1	54	354	9477065	2012	2117538	2117579	2117579	Colossendeis arcuata A.Milne-Edwards, 1885	Colossendeis arcuata A.Milne-Edwards, 1885	Animalia	Arthropoda	Pantopoda	Colossendeidae	Colossendeis	Colossendeis arcuata	Colossendeis	arcuata	SPECIES	ACCEPTED	NE	34.4783	-7.6967	1721.0	0.0	{}	1984.0	6.0	1.0	1984-06-01	153.0	153.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'INSTITUTION_MATCH_NONE']		2024-01-24T22:32:50.653+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '811982864'}]	[]	[]	[]			False	STOCK Jan	WGS84	Pycnogonida	MA	[]	[]	AFRICA	Morocco	EUROPE		25508	Ifremer	Detroit de Gibraltar		811982864	bio_dba	811982864		BOUCHET Philippe																																						
811982870	96309e26-f762-11e1-a439-00145eb45e9a	61e40671-1a75-4bcd-9a0d-63515057d39d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	791e3715-7452-4dd0-a906-db21a3852427	5d5e5d82-076c-4e9a-b5b0-c88d1b691a6a	FR	EML	2023-12-11T15:23:37.871+00:00	2024-01-24T22:32:50.636+00:00	258	{}	PRESERVED_SPECIMEN		PRESENT	2117579	1	54	354	9477065	2012	2117538	2117579	2117579	Colossendeis arcuata A.Milne-Edwards, 1885	Colossendeis arcuata A.Milne-Edwards, 1885	Animalia	Arthropoda	Pantopoda	Colossendeidae	Colossendeis	Colossendeis arcuata	Colossendeis	arcuata	SPECIES	ACCEPTED	NE	35.1983	-7.8767	1998.0	0.0	{}	1984.0	6.0	1.0	1984-06-01	153.0	153.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'INSTITUTION_MATCH_NONE']		2024-01-24T22:32:50.636+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '811982870'}]	[]	[]	[]			False	STOCK Jan	WGS84	Pycnogonida	MA	[]	[]	AFRICA	Morocco	EUROPE		25593	Ifremer	Detroit de Gibraltar		811982870	bio_dba	811982870		BOUCHET Philippe																																						
201112036	96309e26-f762-11e1-a439-00145eb45e9a	61e40671-1a75-4bcd-9a0d-63515057d39d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	791e3715-7452-4dd0-a906-db21a3852427	5d5e5d82-076c-4e9a-b5b0-c88d1b691a6a	FR	EML	2023-12-11T15:23:37.871+00:00	2024-01-24T22:32:45.700+00:00	258	{}	PRESERVED_SPECIMEN		PRESENT	2117579	1	54	354	9477065	2012	2117538	2117579	2117579	Colossendeis arcuata A.Milne-Edwards, 1885	Colossendeis arcuata A.Milne-Edwards, 1885	Animalia	Arthropoda	Pantopoda	Colossendeidae	Colossendeis	Colossendeis arcuata	Colossendeis	arcuata	SPECIES	ACCEPTED	NE	47.5333	-8.4167	1970.0	0.0	{}	1980.0	5.0	1.0	1980-05-01	122.0	122.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'INSTITUTION_MATCH_NONE']		2024-01-24T22:32:45.700+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '201112036'}]	[]	[]	[]			False	STOCK Jan	WGS84	Pycnogonida	FR	[]	[]	EUROPE	France	EUROPE		35695	Ifremer	Golfe de Gascogne		201112036	Biocean	201112036		DESBRUYERES Daniel																																						
811983164	96309e26-f762-11e1-a439-00145eb45e9a	61e40671-1a75-4bcd-9a0d-63515057d39d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	791e3715-7452-4dd0-a906-db21a3852427	5d5e5d82-076c-4e9a-b5b0-c88d1b691a6a	FR	EML	2023-12-11T15:23:37.871+00:00	2024-01-24T22:32:46.261+00:00	258	{}	PRESERVED_SPECIMEN		PRESENT	2117579	1	54	354	9477065	2012	2117538	2117579	2117579	Colossendeis arcuata A.Milne-Edwards, 1885	Colossendeis arcuata A.Milne-Edwards, 1885	Animalia	Arthropoda	Pantopoda	Colossendeidae	Colossendeis	Colossendeis arcuata	Colossendeis	arcuata	SPECIES	ACCEPTED	NE	47.5333	-8.4167	1970.0	0.0	{}	1980.0	5.0	1.0	1980-05-01	122.0	122.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'INSTITUTION_MATCH_NONE']		2024-01-24T22:32:46.261+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '811983164'}]	[]	[]	[]			False	STOCK Jan	WGS84	Pycnogonida	FR	[]	[]	EUROPE	France	EUROPE		35695	Ifremer	Golfe de Gascogne		811983164	bio_dba	811983164		DESBRUYERES Daniel																																						
