key	datasetKey	publishingOrgKey	networkKeys	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	projectId	extensions	basisOfRecord	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	depth	depthAccuracy	gadm	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	lastInterpreted	license	organismQuantity	organismQuantityType	isSequenced	identifiers	media	facts	relations	institutionKey	isInCluster	identifiedBy	preparations	samplingProtocol	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	eventID	identifier	catalogNumber	scientificNameID	institutionID	verbatimEventDate	institutionCode	fieldNumber	gbifID	language	occurrenceID	type	continent	datasetID	recordNumber	http://unknown.org/taxonRankID	taxonConceptID	identificationQualifier	http://unknown.org/species	taxonID	waterBody	modified	footprintWKT	locality	occurrenceRemarks	collectionCode	sex	dynamicProperties	datasetName	recordedBy	locationID	georeferenceSources	associatedSequences	collectionKey	eventRemarks	parentNameUsageID	organismID	collectionID	dateIdentified	individualCount	verbatimDepth	ownerInstitutionCode	parentEventID	coordinatePrecision	stateProvince	otherCatalogNumbers	acceptedNameUsage	verbatimLocality	locationRemarks	nameAccordingTo	higherGeography	georeferenceProtocol	verbatimCoordinateSystem	higherClassification	typeStatus	references	bibliographicCitation
3386516522	1e7b6980-0842-4c4a-8b14-541b95d2ed3c	104e9c96-791b-4f14-978c-f581cb214912	['8534dd20-c368-4a1f-bdaf-e6b390710f89', '2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	27c24cba-13c5-47d1-96a1-16abd8f11437	fb10a11f-4417-41c8-be6a-13a5c8535122	GB	EML	2024-01-23T14:13:17.412+00:00	2024-01-26T10:52:24.587+00:00	97	GOIPG/2019/4020	{}	PRESERVED_SPECIMEN	PRESENT	2117566	1	54	354	9477065	2012	2117538	2117566	2117566	Colossendeis longirostris Gordon, 1938	Colossendeis longirostris Gordon, 1938	Animalia	Arthropoda	Pantopoda	Colossendeidae	Colossendeis	Colossendeis longirostris	Colossendeis	longirostris	SPECIES	ACCEPTED	NE	-67.526	-70.195	1000.0	530.0	0.0	{}	2009.0	12.0	10.0	2009-12-10	344.0	344.0	['COLLECTION_MATCH_NONE']	2024-01-26T10:52:24.587+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	1.0	individuals	False	[{'identifier': 'JR230_09_0941'}]	[]	[]	[]	da671615-9a15-4844-9d5e-ef66382192fb	False	Claudia Arango	Whole animal in 96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr230.pdf	WGS84	Pycnogonida	AQ	[]	[{'type': 'ORCID', 'value': 'https://orcid.org/0000-0003-1098-830X'}]	ANTARCTICA	Antarctica	EUROPE	JR230	JR230_09_0941	JR230_09_0941	urn:lsid:marinespecies.org:taxname:173193	https://ror.org/01rhff309	10/12/2009	BAS	JR230_BASWAP5-AGT-21c	3386516522	en	JR230_09_0941	PhysicalObject																																													
3466772631	149e44e7-fb0b-4db0-a40a-86e64eb8baf3	3693ff90-4c16-11d8-b290-b8a03c50a862		1cbabffe-9073-4007-ba1e-40ebcda6e302	3693ff90-4c16-11d8-b290-b8a03c50a862	AU	DWC_ARCHIVE	2024-06-23T06:50:21.823+00:00	2024-06-23T06:51:19.482+00:00	273		{}	HUMAN_OBSERVATION	PRESENT	2117566	1	54	354	9477065	2012	2117538	2117566	2117566	Colossendeis longirostris Gordon, 1938	Colossendeis longirostris Gordon, 1938	Animalia	Arthropoda	Pantopoda	Colossendeidae	Colossendeis	Colossendeis longirostris	Colossendeis	longirostris	SPECIES	ACCEPTED	NE				451.88		{}	2008.0	1.0	3.0	2008-01-03	3.0	3.0	['TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'TAXON_MATCH_TAXON_ID_IGNORED']	2024-06-23T06:51:19.482+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	1.0	Individuals	False	[{'identifier': '1f366f0a-126e-41ac-a8b1-2d1476bfe529'}]	[]	[]	[]		False					Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	OCEANIA	SampleStation_ 34	1f366f0a-126e-41ac-a8b1-2d1476bfe529		urn:lsid:marinespecies.org:taxname:173193		1/3/2008			3466772631		1f366f0a-126e-41ac-a8b1-2d1476bfe529		ANTARCTICA	ASAC_3010_0405	IU-2007-213	7000	https://biodiversity.org.au/afd/taxa/4270e545-7c14-4698-aa99-65ee0115654b	Species	Colossendeis longirostris	173193																																					
3466772590	149e44e7-fb0b-4db0-a40a-86e64eb8baf3	3693ff90-4c16-11d8-b290-b8a03c50a862		1cbabffe-9073-4007-ba1e-40ebcda6e302	3693ff90-4c16-11d8-b290-b8a03c50a862	AU	DWC_ARCHIVE	2024-06-23T06:50:21.823+00:00	2024-06-23T06:51:19.119+00:00	273		{}	HUMAN_OBSERVATION	PRESENT	2117566	1	54	354	9477065	2012	2117538	2117566	2117566	Colossendeis longirostris Gordon, 1938	Colossendeis longirostris Gordon, 1938	Animalia	Arthropoda	Pantopoda	Colossendeidae	Colossendeis	Colossendeis longirostris	Colossendeis	longirostris	SPECIES	ACCEPTED	NE				425.0		{}	2008.0	1.0	18.0	2008-01-18	18.0	18.0	['TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'TAXON_MATCH_TAXON_ID_IGNORED']	2024-06-23T06:51:19.119+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	1.0	Individuals	False	[{'identifier': '2a1811e7-2ad2-4661-9671-1a8eec517836'}]	[]	[]	[]		False					Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	OCEANIA	SampleStation_ 79	2a1811e7-2ad2-4661-9671-1a8eec517836		urn:lsid:marinespecies.org:taxname:173193		1/18/2008			3466772590		2a1811e7-2ad2-4661-9671-1a8eec517836		ANTARCTICA	ASAC_3010_0550	IU-2007-321	7000	https://biodiversity.org.au/afd/taxa/4270e545-7c14-4698-aa99-65ee0115654b	Species	Colossendeis longirostris	173193																																					
3466772739	149e44e7-fb0b-4db0-a40a-86e64eb8baf3	3693ff90-4c16-11d8-b290-b8a03c50a862		1cbabffe-9073-4007-ba1e-40ebcda6e302	3693ff90-4c16-11d8-b290-b8a03c50a862	AU	DWC_ARCHIVE	2024-06-23T06:50:21.823+00:00	2024-06-23T06:51:20.271+00:00	273		{}	HUMAN_OBSERVATION	PRESENT	2117566	1	54	354	9477065	2012	2117538	2117566	2117566	Colossendeis longirostris Gordon, 1938	Colossendeis longirostris Gordon, 1938	Animalia	Arthropoda	Pantopoda	Colossendeidae	Colossendeis	Colossendeis longirostris	Colossendeis	longirostris	SPECIES	ACCEPTED	NE				403.46		{}	2008.0	1.0	2.0	2008-01-02	2.0	2.0	['TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'TAXON_MATCH_TAXON_ID_IGNORED']	2024-06-23T06:51:20.271+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	1.0	Individuals	False	[{'identifier': '2dba2b46-ba7b-4bb6-baf2-d1fd699c3a50'}]	[]	[]	[]		False					Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	OCEANIA	SampleStation_ 52	2dba2b46-ba7b-4bb6-baf2-d1fd699c3a50		urn:lsid:marinespecies.org:taxname:173193		1/2/2008			3466772739		2dba2b46-ba7b-4bb6-baf2-d1fd699c3a50		ANTARCTICA	ASAC_3010_0186	CEA23	7000	https://biodiversity.org.au/afd/taxa/4270e545-7c14-4698-aa99-65ee0115654b	Species	Colossendeis longirostris	173193																																					
3466773075	149e44e7-fb0b-4db0-a40a-86e64eb8baf3	3693ff90-4c16-11d8-b290-b8a03c50a862		1cbabffe-9073-4007-ba1e-40ebcda6e302	3693ff90-4c16-11d8-b290-b8a03c50a862	AU	DWC_ARCHIVE	2024-06-23T06:50:21.823+00:00	2024-06-23T06:51:22.853+00:00	273		{}	HUMAN_OBSERVATION	PRESENT	2117566	1	54	354	9477065	2012	2117538	2117566	2117566	Colossendeis longirostris Gordon, 1938	Colossendeis longirostris Gordon, 1938	Animalia	Arthropoda	Pantopoda	Colossendeidae	Colossendeis	Colossendeis longirostris	Colossendeis	longirostris	SPECIES	ACCEPTED	NE				472.4		{}	2008.0	1.0	15.0	2008-01-15	15.0	15.0	['TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'TAXON_MATCH_TAXON_ID_IGNORED']	2024-06-23T06:51:22.853+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	1.0	Individuals	False	[{'identifier': '4bbd1000-a1f1-41e2-9253-c38304ba9e78'}]	[]	[]	[]		False					Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	OCEANIA	SampleStation_ 22	4bbd1000-a1f1-41e2-9253-c38304ba9e78		urn:lsid:marinespecies.org:taxname:173193		1/15/2008			3466773075		4bbd1000-a1f1-41e2-9253-c38304ba9e78		ANTARCTICA	ASAC_3010_0646	IU-2007-51d	7000	https://biodiversity.org.au/afd/taxa/4270e545-7c14-4698-aa99-65ee0115654b	Species	Colossendeis longirostris	173193																																					
3466773043	149e44e7-fb0b-4db0-a40a-86e64eb8baf3	3693ff90-4c16-11d8-b290-b8a03c50a862		1cbabffe-9073-4007-ba1e-40ebcda6e302	3693ff90-4c16-11d8-b290-b8a03c50a862	AU	DWC_ARCHIVE	2024-06-23T06:50:21.823+00:00	2024-06-23T06:51:22.516+00:00	273		{}	HUMAN_OBSERVATION	PRESENT	2117566	1	54	354	9477065	2012	2117538	2117566	2117566	Colossendeis longirostris Gordon, 1938	Colossendeis longirostris Gordon, 1938	Animalia	Arthropoda	Pantopoda	Colossendeidae	Colossendeis	Colossendeis longirostris	Colossendeis	longirostris	SPECIES	ACCEPTED	NE				702.04		{}	2008.0	1.0	3.0	2008-01-03	3.0	3.0	['TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'TAXON_MATCH_TAXON_ID_IGNORED']	2024-06-23T06:51:22.516+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	1.0	Individuals	False	[{'identifier': '85587b0d-d73f-45c8-8a59-6834de64b411'}]	[]	[]	[]		False					Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	OCEANIA	SampleStation_ 38	85587b0d-d73f-45c8-8a59-6834de64b411		urn:lsid:marinespecies.org:taxname:173193		1/3/2008			3466773043		85587b0d-d73f-45c8-8a59-6834de64b411		ANTARCTICA	ASAC_3010_0224	CEA58	7000	https://biodiversity.org.au/afd/taxa/4270e545-7c14-4698-aa99-65ee0115654b	Species	Colossendeis longirostris	173193																																					
3466772823	149e44e7-fb0b-4db0-a40a-86e64eb8baf3	3693ff90-4c16-11d8-b290-b8a03c50a862		1cbabffe-9073-4007-ba1e-40ebcda6e302	3693ff90-4c16-11d8-b290-b8a03c50a862	AU	DWC_ARCHIVE	2024-06-23T06:50:21.823+00:00	2024-06-23T06:51:20.599+00:00	273		{}	HUMAN_OBSERVATION	PRESENT	2117566	1	54	354	9477065	2012	2117538	2117566	2117566	Colossendeis longirostris Gordon, 1938	Colossendeis longirostris Gordon, 1938	Animalia	Arthropoda	Pantopoda	Colossendeidae	Colossendeis	Colossendeis longirostris	Colossendeis	longirostris	SPECIES	ACCEPTED	NE				430.18		{}	2008.0	1.0	4.0	2008-01-04	4.0	4.0	['TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'TAXON_MATCH_TAXON_ID_IGNORED']	2024-06-23T06:51:20.599+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	1.0	Individuals	False	[{'identifier': 'b4cbc463-abcc-4396-bd0e-dee458148396'}]	[]	[]	[]		False					Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	OCEANIA	SampleStation_ 63	b4cbc463-abcc-4396-bd0e-dee458148396		urn:lsid:marinespecies.org:taxname:173193		1/4/2008			3466772823		b4cbc463-abcc-4396-bd0e-dee458148396		ANTARCTICA	ASAC_3010_0520	IU-2007-30	7000	https://biodiversity.org.au/afd/taxa/4270e545-7c14-4698-aa99-65ee0115654b	Species	Colossendeis longirostris	173193																																					
3466772797	149e44e7-fb0b-4db0-a40a-86e64eb8baf3	3693ff90-4c16-11d8-b290-b8a03c50a862		1cbabffe-9073-4007-ba1e-40ebcda6e302	3693ff90-4c16-11d8-b290-b8a03c50a862	AU	DWC_ARCHIVE	2024-06-23T06:50:21.823+00:00	2024-06-23T06:51:20.533+00:00	273		{}	HUMAN_OBSERVATION	PRESENT	2117566	1	54	354	9477065	2012	2117538	2117566	2117566	Colossendeis longirostris Gordon, 1938	Colossendeis longirostris Gordon, 1938	Animalia	Arthropoda	Pantopoda	Colossendeidae	Colossendeis	Colossendeis longirostris	Colossendeis	longirostris	SPECIES	ACCEPTED	NE				425.0		{}	2008.0	1.0	18.0	2008-01-18	18.0	18.0	['TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'TAXON_MATCH_TAXON_ID_IGNORED']	2024-06-23T06:51:20.533+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	1.0	Individuals	False	[{'identifier': 'd0b2780f-436a-428f-bfb1-e233ca388192'}]	[]	[]	[]		False					Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	OCEANIA	SampleStation_ 79	d0b2780f-436a-428f-bfb1-e233ca388192		urn:lsid:marinespecies.org:taxname:173193		1/18/2008			3466772797		d0b2780f-436a-428f-bfb1-e233ca388192		ANTARCTICA	ASAC_3010_0635	IU-2007-48	7000	https://biodiversity.org.au/afd/taxa/4270e545-7c14-4698-aa99-65ee0115654b	Species	Colossendeis longirostris	173193																																					
1426810511	081facf0-b768-41ad-b692-3b30a1bcbb1b	c58ac019-b413-4613-8772-39e57acbeb8e	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f0d34585-ddcb-4915-9332-6043585e831a	c58ac019-b413-4613-8772-39e57acbeb8e	NZ	EML	2023-05-29T01:32:01.002+00:00	2024-01-24T15:46:43.318+00:00	270		{}	HUMAN_OBSERVATION	PRESENT	2117566	1	54	354	9477065	2012	2117538	2117566	2117566	Colossendeis longirostris Gordon, 1938	Colossendeis longirostris Gordon, 1938	Animalia	Arthropoda	Pantopoda	Colossendeidae	Colossendeis	Colossendeis longirostris	Colossendeis	longirostris	SPECIES	ACCEPTED	NE	-73.1245	174.3205	10.0	321.0	0.0	{}	2008.0	2.0	9.0	2008-02-09T22:19	40.0	40.0	['COUNTRY_DERIVED_FROM_COORDINATES']	2024-01-24T15:46:43.318+00:00	http://creativecommons.org/licenses/by/4.0/legalcode			False	[{'identifier': '45'}]	[]	[]	[]		True			GearType=Trawl, fish, bottom	WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	OCEANIA		45	IPY TAN0802/17 Colossendeis longirostris	urn:lsid:marinespecies.org:taxname:173193			National Institute of Water and Atomspheric Reseach (NZ)	TAN0802/17	1426810511		45										Southern Ocean	2012-08-21T00:00:00.000+00:00	LINESTRING (174.3205 -73.1245, 174.303 -73.133)	site C1, shelf,  eastern Ross Sea	GearType=Trawl, fish, bottom	International Polar Year-CAML New Zealand																															
3466772653	149e44e7-fb0b-4db0-a40a-86e64eb8baf3	3693ff90-4c16-11d8-b290-b8a03c50a862		1cbabffe-9073-4007-ba1e-40ebcda6e302	3693ff90-4c16-11d8-b290-b8a03c50a862	AU	DWC_ARCHIVE	2024-06-23T06:50:21.823+00:00	2024-06-23T06:51:19.542+00:00	273		{}	HUMAN_OBSERVATION	PRESENT	2117566	1	54	354	9477065	2012	2117538	2117566	2117566	Colossendeis longirostris Gordon, 1938	Colossendeis longirostris Gordon, 1938	Animalia	Arthropoda	Pantopoda	Colossendeidae	Colossendeis	Colossendeis longirostris	Colossendeis	longirostris	SPECIES	ACCEPTED	NE				321.0		{}	2008.0	2.0	9.0	2008-02-09	40.0	40.0	['TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'TAXON_MATCH_TAXON_ID_IGNORED']	2024-06-23T06:51:19.542+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	2.0	Individuals	False	[{'identifier': '4e380fd6-b594-4fbd-b54b-7fe10ab57f7a'}]	[]	[]	[]		True	C. Arango	ETOH - No Formalin	TF - Trawl, fish, bottom		Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	OCEANIA	SampleStation_ TAN0802/17	4e380fd6-b594-4fbd-b54b-7fe10ab57f7a	35379	urn:lsid:marinespecies.org:taxname:173193		2/9/2008			3466772653		4e380fd6-b594-4fbd-b54b-7fe10ab57f7a		ANTARCTICA	ASAC_3010_0003	NIWA.0003	7000	https://biodiversity.org.au/afd/taxa/4270e545-7c14-4698-aa99-65ee0115654b	Species	Colossendeis longirostris	173193			LINESTRING (174.3205 -73.1245, 174.303 -73.133)				MALE	{materialSampleID:__}																													
