key	datasetKey	publishingOrgKey	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	depth	depthAccuracy	gadm	waterBody	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	institutionKey	isInCluster	datasetName	samplingProtocol	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	eventID	identifier	catalogNumber	scientificNameID	institutionCode	footprintWKT	eventTime	locality	fieldNumber	gbifID	collectionCode	occurrenceID	networkKeys	recordedBy	identifiedBy	individualCount	continent	stateProvince	modified	collectionKey	otherCatalogNumbers	preparations	institutionID	county	collectionID	verbatimIdentification	habitat	georeferenceRemarks	coordinateUncertaintyInMeters	verbatimDepth	dynamicProperties	higherClassification	higherGeography	verbatimCoordinateSystem	locationID	typeStatus	dateIdentified
4604575462	99006141-bf02-4821-8e6e-5818a1cbf70a	ff265032-b806-411a-b4b8-15a27b767dce	56b3ccf5-ad40-433f-997e-1eeb565a5889	ff265032-b806-411a-b4b8-15a27b767dce	NO	EML	2024-04-11T12:43:11.848+00:00	2024-04-11T12:43:35.219+00:00	330	{'http://rs.iobis.org/obis/terms/ExtendedMeasurementOrFact': [{'http://rs.tdwg.org/dwc/terms/measurementUnit': 'Number per 100 square meter', 'http://rs.tdwg.org/dwc/terms/measurementValue': '1', 'http://rs.iobis.org/obis/terms/measurementTypeID': 'http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL02/', 'http://rs.tdwg.org/dwc/terms/occurrenceID': '243810006001016', 'http://rs.tdwg.org/dwc/terms/measurementType': 'Abundance'}, {'http://rs.tdwg.org/dwc/terms/measurementUnit': 'Gram biomass per 100 square meter', 'http://rs.tdwg.org/dwc/terms/measurementValue': '0.0171416769929781', 'http://rs.iobis.org/obis/terms/measurementTypeID': 'http://vocab.nerc.ac.uk/collection/P01/current/ODRYBM01/', 'http://rs.tdwg.org/dwc/terms/occurrenceID': '243810006001016', 'http://rs.tdwg.org/dwc/terms/measurementType': 'Biomass'}]}	MATERIAL_SAMPLE	PRESENT	7414589	1	54	354	9477065	2011	4338596	7414589	7414589	Cordylochele longicollis Sars, 1888	Cordylochele longicollis Sars, 1888	Animalia	Arthropoda	Pantopoda	Callipallenidae	Cordylochele	Cordylochele longicollis	Cordylochele	longicollis	SPECIES	ACCEPTED	NE	65.356407	6.475417	418.58500000000004	2.0250000000000057	{}	Norwegian Sea	2021.0	4.0	16.0	2021-04-16T00:15Z/2021-04-16T00:20Z	106.0	106.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2024-04-11T12:43:35.219+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '243810006001016'}]	[]	[]	[]	1711d910-22c6-415c-bb34-9f226ec314ca	False	beamtrawl_2006-2022	Beamtrawl,Subsample method: Sieve content - Mesh size (mm): 5.0	WGS84	Pycnogonida	NO	[]	[]	EUROPE	Norway	EUROPE	Cruise: 58GS-2021103 Sample: 6	243810006001016	243810006001016	urn:lsid:marinespecies.org:taxname:851554	IMR	LINESTRING(6.475417 65.356407,6.470677 65.35549)	00:15Z/00:20Z	MAREANO Reference Station: 2438	catchId: 16	4604575462	IMRMarbunnBenthos	243810006001016																									
4604576310	99006141-bf02-4821-8e6e-5818a1cbf70a	ff265032-b806-411a-b4b8-15a27b767dce	56b3ccf5-ad40-433f-997e-1eeb565a5889	ff265032-b806-411a-b4b8-15a27b767dce	NO	EML	2024-04-11T12:43:11.848+00:00	2024-04-11T12:43:34.797+00:00	330	{'http://rs.iobis.org/obis/terms/ExtendedMeasurementOrFact': [{'http://rs.tdwg.org/dwc/terms/measurementUnit': 'Gram biomass per 100 square meter', 'http://rs.tdwg.org/dwc/terms/measurementValue': '0.0188480402091524', 'http://rs.iobis.org/obis/terms/measurementTypeID': 'http://vocab.nerc.ac.uk/collection/P01/current/ODRYBM01/', 'http://rs.tdwg.org/dwc/terms/occurrenceID': '244310007001008', 'http://rs.tdwg.org/dwc/terms/measurementType': 'Biomass'}]}	MATERIAL_SAMPLE	PRESENT	7414589	1	54	354	9477065	2011	4338596	7414589	7414589	Cordylochele longicollis Sars, 1888	Cordylochele longicollis Sars, 1888	Animalia	Arthropoda	Pantopoda	Callipallenidae	Cordylochele	Cordylochele longicollis	Cordylochele	longicollis	SPECIES	ACCEPTED	NE	65.249015	6.724548	315.995	2.634999999999991	{}	Norwegian Sea	2021.0	4.0	16.0	2021-04-16T15:38Z/2021-04-16T15:43Z	106.0	106.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2024-04-11T12:43:34.797+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '244310007001008'}]	[]	[]	[]	1711d910-22c6-415c-bb34-9f226ec314ca	False	beamtrawl_2006-2022	Beamtrawl,Subsample method: Sieve content - Mesh size (mm): 5.0	WGS84	Pycnogonida	NO	[]	[]	EUROPE	Norway	EUROPE	Cruise: 58GS-2021103 Sample: 7	244310007001008	244310007001008	urn:lsid:marinespecies.org:taxname:851554	IMR	LINESTRING(6.724548 65.249015,6.725613 65.24684)	15:38Z/15:43Z	MAREANO Reference Station: 2443	catchId: 8	4604576310	IMRMarbunnBenthos	244310007001008																									
4604575843	99006141-bf02-4821-8e6e-5818a1cbf70a	ff265032-b806-411a-b4b8-15a27b767dce	56b3ccf5-ad40-433f-997e-1eeb565a5889	ff265032-b806-411a-b4b8-15a27b767dce	NO	EML	2024-04-11T12:43:11.848+00:00	2024-04-11T12:43:33.052+00:00	330	{'http://rs.iobis.org/obis/terms/ExtendedMeasurementOrFact': [{'http://rs.tdwg.org/dwc/terms/measurementUnit': 'Gram biomass per 100 square meter', 'http://rs.tdwg.org/dwc/terms/measurementValue': '0.0425309954660354', 'http://rs.iobis.org/obis/terms/measurementTypeID': 'http://vocab.nerc.ac.uk/collection/P01/current/ODRYBM01/', 'http://rs.tdwg.org/dwc/terms/occurrenceID': '245410008001011', 'http://rs.tdwg.org/dwc/terms/measurementType': 'Biomass'}]}	MATERIAL_SAMPLE	PRESENT	7414589	1	54	354	9477065	2011	4338596	7414589	7414589	Cordylochele longicollis Sars, 1888	Cordylochele longicollis Sars, 1888	Animalia	Arthropoda	Pantopoda	Callipallenidae	Cordylochele	Cordylochele longicollis	Cordylochele	longicollis	SPECIES	ACCEPTED	NE	65.034545	6.342495	409.58	0.12999999999999545	{}	Norwegian Sea	2021.0	4.0	17.0	2021-04-17T17:48Z/2021-04-17T17:53Z	107.0	107.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2024-04-11T12:43:33.052+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '245410008001011'}]	[]	[]	[]	1711d910-22c6-415c-bb34-9f226ec314ca	False	beamtrawl_2006-2022	Beamtrawl,Subsample method: Sieve content - Mesh size (mm): 5.0	WGS84	Pycnogonida	NO	[]	[]	EUROPE	Norway	EUROPE	Cruise: 58GS-2021103 Sample: 8	245410008001011	245410008001011	urn:lsid:marinespecies.org:taxname:851554	IMR	LINESTRING(6.342495 65.034545,6.340715 65.036658)	17:48Z/17:53Z	MAREANO Reference Station: 2454	catchId: 11	4604575843	IMRMarbunnBenthos	245410008001011																									
3756617497	99006141-bf02-4821-8e6e-5818a1cbf70a	ff265032-b806-411a-b4b8-15a27b767dce	56b3ccf5-ad40-433f-997e-1eeb565a5889	ff265032-b806-411a-b4b8-15a27b767dce	NO	EML	2024-04-11T12:43:11.848+00:00	2024-04-11T12:43:32.672+00:00	330	{'http://rs.iobis.org/obis/terms/ExtendedMeasurementOrFact': [{'http://rs.tdwg.org/dwc/terms/measurementUnit': 'Gram biomass per 100 square meter', 'http://rs.tdwg.org/dwc/terms/measurementValue': '0.0185656923276197', 'http://rs.iobis.org/obis/terms/measurementTypeID': 'http://vocab.nerc.ac.uk/collection/P01/current/ODRYBM01/', 'http://rs.tdwg.org/dwc/terms/occurrenceID': '213910004001007', 'http://rs.tdwg.org/dwc/terms/measurementType': 'Biomass'}]}	MATERIAL_SAMPLE	PRESENT	7414589	1	54	354	9477065	2011	4338596	7414589	7414589	Cordylochele longicollis Sars, 1888	Cordylochele longicollis Sars, 1888	Animalia	Arthropoda	Pantopoda	Callipallenidae	Cordylochele	Cordylochele longicollis	Cordylochele	longicollis	SPECIES	ACCEPTED	NE	64.195448	7.349645	332.59	0.060000000000002274	{}	Norwegian Sea	2020.0	4.0	18.0	2020-04-18T02:27Z/2020-04-18T02:32Z	109.0	109.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2024-04-11T12:43:32.672+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '213910004001007'}]	[]	[]	[]	1711d910-22c6-415c-bb34-9f226ec314ca	False	beamtrawl_2006-2022	Beamtrawl,Subsample method: Sieve content - Mesh size (mm): 5.0	WGS84	Pycnogonida	NO	[]	[]	EUROPE	Norway	EUROPE	Cruise: 58GS-2020104 Sample: 4	213910004001007	213910004001007	urn:lsid:marinespecies.org:taxname:851554	IMR	LINESTRING(7.349645 64.195448,7.354433 64.195448)	02:27Z/02:32Z	MAREANO Reference Station: 2139	catchId: 7	3756617497	IMRMarbunnBenthos	213910004001007																									
3756617891	99006141-bf02-4821-8e6e-5818a1cbf70a	ff265032-b806-411a-b4b8-15a27b767dce	56b3ccf5-ad40-433f-997e-1eeb565a5889	ff265032-b806-411a-b4b8-15a27b767dce	NO	EML	2024-04-11T12:43:11.848+00:00	2024-04-11T12:43:33.211+00:00	330	{'http://rs.iobis.org/obis/terms/ExtendedMeasurementOrFact': [{'http://rs.tdwg.org/dwc/terms/measurementUnit': 'Number per 100 square meter', 'http://rs.tdwg.org/dwc/terms/measurementValue': '1', 'http://rs.iobis.org/obis/terms/measurementTypeID': 'http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL02/', 'http://rs.tdwg.org/dwc/terms/occurrenceID': '219310007001021', 'http://rs.tdwg.org/dwc/terms/measurementType': 'Abundance'}, {'http://rs.tdwg.org/dwc/terms/measurementUnit': 'Gram biomass per 100 square meter', 'http://rs.tdwg.org/dwc/terms/measurementValue': '0.0259078543978583', 'http://rs.iobis.org/obis/terms/measurementTypeID': 'http://vocab.nerc.ac.uk/collection/P01/current/ODRYBM01/', 'http://rs.tdwg.org/dwc/terms/occurrenceID': '219310007001021', 'http://rs.tdwg.org/dwc/terms/measurementType': 'Biomass'}]}	MATERIAL_SAMPLE	PRESENT	7414589	1	54	354	9477065	2011	4338596	7414589	7414589	Cordylochele longicollis Sars, 1888	Cordylochele longicollis Sars, 1888	Animalia	Arthropoda	Pantopoda	Callipallenidae	Cordylochele	Cordylochele longicollis	Cordylochele	longicollis	SPECIES	ACCEPTED	NE	64.430838	8.82588	197.08499999999998	1.6650000000000063	{}	Norwegian Sea	2020.0	4.0	22.0	2020-04-22T16:19Z/2020-04-22T16:24Z	113.0	113.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2024-04-11T12:43:33.211+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '219310007001021'}]	[]	[]	[]	1711d910-22c6-415c-bb34-9f226ec314ca	False	beamtrawl_2006-2022	Beamtrawl,Subsample method: Sieve content - Mesh size (mm): 5.0	WGS84	Pycnogonida	NO	[]	[]	EUROPE	Norway	EUROPE	Cruise: 58GS-2020104 Sample: 7	219310007001021	219310007001021	urn:lsid:marinespecies.org:taxname:851554	IMR	LINESTRING(8.82588 64.430838,8.822278 64.432227)	16:19Z/16:24Z	MAREANO Reference Station: 2193	catchId: 21	3756617891	IMRMarbunnBenthos	219310007001021																									
3756610701	99006141-bf02-4821-8e6e-5818a1cbf70a	ff265032-b806-411a-b4b8-15a27b767dce	56b3ccf5-ad40-433f-997e-1eeb565a5889	ff265032-b806-411a-b4b8-15a27b767dce	NO	EML	2024-04-11T12:43:11.848+00:00	2024-04-11T12:43:29.602+00:00	330	{'http://rs.iobis.org/obis/terms/ExtendedMeasurementOrFact': [{'http://rs.tdwg.org/dwc/terms/measurementUnit': 'Gram biomass per 100 square meter', 'http://rs.tdwg.org/dwc/terms/measurementValue': '0.00194914887165937', 'http://rs.iobis.org/obis/terms/measurementTypeID': 'http://vocab.nerc.ac.uk/collection/P01/current/ODRYBM01/', 'http://rs.tdwg.org/dwc/terms/occurrenceID': '222910011001004', 'http://rs.tdwg.org/dwc/terms/measurementType': 'Biomass'}]}	MATERIAL_SAMPLE	PRESENT	7414589	1	54	354	9477065	2011	4338596	7414589	7414589	Cordylochele longicollis Sars, 1888	Cordylochele longicollis Sars, 1888	Animalia	Arthropoda	Pantopoda	Callipallenidae	Cordylochele	Cordylochele longicollis	Cordylochele	longicollis	SPECIES	ACCEPTED	NE	64.713118	8.218613	239.125	0.5649999999999977	{}	Norwegian Sea	2020.0	4.0	25.0	2020-04-25T17:44Z/2020-04-25T17:49Z	116.0	116.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2024-04-11T12:43:29.602+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '222910011001004'}]	[]	[]	[]	1711d910-22c6-415c-bb34-9f226ec314ca	False	beamtrawl_2006-2022	Beamtrawl,Subsample method: Sieve content - Mesh size (mm): 5.0	WGS84	Pycnogonida	NO	[]	[]	EUROPE	Norway	EUROPE	Cruise: 58GS-2020104 Sample: 11	222910011001004	222910011001004	urn:lsid:marinespecies.org:taxname:851554	IMR	LINESTRING(8.218613 64.713118,8.219473 64.715163)	17:44Z/17:49Z	MAREANO Reference Station: 2229	catchId: 4	3756610701	IMRMarbunnBenthos	222910011001004																									
2556243541	99006141-bf02-4821-8e6e-5818a1cbf70a	ff265032-b806-411a-b4b8-15a27b767dce	56b3ccf5-ad40-433f-997e-1eeb565a5889	ff265032-b806-411a-b4b8-15a27b767dce	NO	EML	2024-04-11T12:43:11.848+00:00	2024-04-11T12:43:35.671+00:00	330	{'http://rs.iobis.org/obis/terms/ExtendedMeasurementOrFact': [{'http://rs.tdwg.org/dwc/terms/measurementUnit': 'Gram biomass per 100 square meter', 'http://rs.tdwg.org/dwc/terms/measurementValue': '0.23349861811087652', 'http://rs.iobis.org/obis/terms/measurementTypeID': 'http://vocab.nerc.ac.uk/collection/P01/current/ODRYBM01/', 'http://rs.tdwg.org/dwc/terms/occurrenceID': '157910555001012', 'http://rs.tdwg.org/dwc/terms/measurementType': 'Biomass'}]}	MATERIAL_SAMPLE	PRESENT	7414589	1	54	354	9477065	2011	4338596	7414589	7414589	Cordylochele longicollis Sars, 1888	Cordylochele longicollis Sars, 1888	Animalia	Arthropoda	Pantopoda	Callipallenidae	Cordylochele	Cordylochele longicollis	Cordylochele	longicollis	SPECIES	ACCEPTED	NE	66.970667	8.321	321.9	1.8599999999999852	{}	Norwegian Sea	2015.0	9.0	4.0	2015-09-04T21:11Z/2015-09-04T21:16Z	247.0	247.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2024-04-11T12:43:35.671+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '157910555001012'}]	[]	[]	[]	1711d910-22c6-415c-bb34-9f226ec314ca	False	beamtrawl_2006-2022	Beamtrawl,Subsample method: Sieve content - Mesh size (mm): 5.0	WGS84	Pycnogonida	NO	[]	[]	EUROPE	Norway	EUROPE	Cruise: 58GS-2015113 Sample: 555	157910555001012	157910555001012	urn:lsid:marinespecies.org:taxname:851554	IMR	LINESTRING(8.321 66.970667,8.322167 66.972833)	21:11Z/21:16Z	MAREANO Reference Station: 1579	catchId: 12	2556243541	IMRMarbunnBenthos	157910555001012																									
1265470746	99006141-bf02-4821-8e6e-5818a1cbf70a	ff265032-b806-411a-b4b8-15a27b767dce	56b3ccf5-ad40-433f-997e-1eeb565a5889	ff265032-b806-411a-b4b8-15a27b767dce	NO	EML	2024-04-11T12:43:11.848+00:00	2024-04-11T12:43:34.223+00:00	330	{'http://rs.iobis.org/obis/terms/ExtendedMeasurementOrFact': [{'http://rs.tdwg.org/dwc/terms/measurementUnit': 'Gram biomass per 100 square meter', 'http://rs.tdwg.org/dwc/terms/measurementValue': '0.0184450058141866', 'http://rs.iobis.org/obis/terms/measurementTypeID': 'http://vocab.nerc.ac.uk/collection/P01/current/ODRYBM01/', 'http://rs.tdwg.org/dwc/terms/occurrenceID': '092710455001022', 'http://rs.tdwg.org/dwc/terms/measurementType': 'Biomass'}]}	MATERIAL_SAMPLE	PRESENT	7414589	1	54	354	9477065	2011	4338596	7414589	7414589	Cordylochele longicollis Sars, 1888	Cordylochele longicollis Sars, 1888	Animalia	Arthropoda	Pantopoda	Callipallenidae	Cordylochele	Cordylochele longicollis	Cordylochele	longicollis	SPECIES	ACCEPTED	NE	63.949285	6.011675	244.255	1.2549999999999955	{}	Norwegian Sea	2013.0	6.0	27.0	2013-06-27T17:46Z/2013-06-27T17:51Z	178.0	178.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2024-04-11T12:43:34.223+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '092710455001022'}]	[]	[]	[]	1711d910-22c6-415c-bb34-9f226ec314ca	False	beamtrawl_2006-2022	Beamtrawl,Subsample method: Sieve content - Mesh size (mm): 5.0	WGS84	Pycnogonida	NO	[]	[]	EUROPE	Norway	EUROPE	Cruise: 58GS-2013205 Sample: 455	092710455001022	092710455001022	urn:lsid:marinespecies.org:taxname:851554	IMR	LINESTRING(6.011675 63.949285,6.016358 63.950183)	17:46Z/17:51Z	MAREANO Reference Station: 927	catchId: 22	1265470746	IMRMarbunnBenthos	092710455001022																									
1265470836	99006141-bf02-4821-8e6e-5818a1cbf70a	ff265032-b806-411a-b4b8-15a27b767dce	56b3ccf5-ad40-433f-997e-1eeb565a5889	ff265032-b806-411a-b4b8-15a27b767dce	NO	EML	2024-04-11T12:43:11.848+00:00	2024-04-11T12:43:29.905+00:00	330	{'http://rs.iobis.org/obis/terms/ExtendedMeasurementOrFact': [{'http://rs.tdwg.org/dwc/terms/measurementUnit': 'Gram biomass per 100 square meter', 'http://rs.tdwg.org/dwc/terms/measurementValue': '0.0164583333333333', 'http://rs.iobis.org/obis/terms/measurementTypeID': 'http://vocab.nerc.ac.uk/collection/P01/current/ODRYBM01/', 'http://rs.tdwg.org/dwc/terms/occurrenceID': '093110452001038', 'http://rs.tdwg.org/dwc/terms/measurementType': 'Biomass'}]}	MATERIAL_SAMPLE	PRESENT	7414589	1	54	354	9477065	2011	4338596	7414589	7414589	Cordylochele longicollis Sars, 1888	Cordylochele longicollis Sars, 1888	Animalia	Arthropoda	Pantopoda	Callipallenidae	Cordylochele	Cordylochele longicollis	Cordylochele	longicollis	SPECIES	ACCEPTED	NE	64.118897	5.932875	381.53499999999997	1.9650000000000034	{}	Norwegian Sea	2013.0	6.0	27.0	2013-06-27T01:54Z/2013-06-27T02:00Z	178.0	178.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2024-04-11T12:43:29.905+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '093110452001038'}]	[]	[]	[]	1711d910-22c6-415c-bb34-9f226ec314ca	False	beamtrawl_2006-2022	Beamtrawl,Subsample method: Sieve content - Mesh size (mm): 5.0	WGS84	Pycnogonida	NO	[]	[]	EUROPE	Norway	EUROPE	Cruise: 58GS-2013205 Sample: 452	093110452001038	093110452001038	urn:lsid:marinespecies.org:taxname:851554	IMR	LINESTRING(5.932875 64.118897,5.93605 64.120553)	01:54Z/02:00Z	MAREANO Reference Station: 931	catchId: 38	1265470836	IMRMarbunnBenthos	093110452001038																									
1265470896	99006141-bf02-4821-8e6e-5818a1cbf70a	ff265032-b806-411a-b4b8-15a27b767dce	56b3ccf5-ad40-433f-997e-1eeb565a5889	ff265032-b806-411a-b4b8-15a27b767dce	NO	EML	2024-04-11T12:43:11.848+00:00	2024-04-11T12:43:33.060+00:00	330	{'http://rs.iobis.org/obis/terms/ExtendedMeasurementOrFact': [{'http://rs.tdwg.org/dwc/terms/measurementUnit': 'Gram biomass per 100 square meter', 'http://rs.tdwg.org/dwc/terms/measurementValue': '0.0173506336753168', 'http://rs.iobis.org/obis/terms/measurementTypeID': 'http://vocab.nerc.ac.uk/collection/P01/current/ODRYBM01/', 'http://rs.tdwg.org/dwc/terms/occurrenceID': '093210454001034', 'http://rs.tdwg.org/dwc/terms/measurementType': 'Biomass'}]}	MATERIAL_SAMPLE	PRESENT	7414589	1	54	354	9477065	2011	4338596	7414589	7414589	Cordylochele longicollis Sars, 1888	Cordylochele longicollis Sars, 1888	Animalia	Arthropoda	Pantopoda	Callipallenidae	Cordylochele	Cordylochele longicollis	Cordylochele	longicollis	SPECIES	ACCEPTED	NE	64.103112	5.732142	626.9	0.6000000000000227	{}	Norwegian Sea	2013.0	6.0	27.0	2013-06-27T10:27Z/2013-06-27T10:33Z	178.0	178.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2024-04-11T12:43:33.060+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '093210454001034'}]	[]	[]	[]	1711d910-22c6-415c-bb34-9f226ec314ca	False	beamtrawl_2006-2022	Beamtrawl,Subsample method: Sieve content - Mesh size (mm): 5.0	WGS84	Pycnogonida	NO	[]	[]	EUROPE	Norway	EUROPE	Cruise: 58GS-2013205 Sample: 454	093210454001034	093210454001034	urn:lsid:marinespecies.org:taxname:851554	IMR	LINESTRING(5.732142 64.103112,5.729992 64.100918)	10:27Z/10:33Z	MAREANO Reference Station: 932	catchId: 34	1265470896	IMRMarbunnBenthos	093210454001034																									
