key	datasetKey	publishingOrgKey	networkKeys	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	individualCount	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	depth	depthAccuracy	stateProvince	gadm	waterBody	higherGeography	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	modified	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	institutionKey	collectionKey	isInCluster	datasetName	identifiedBy	preparations	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	identifier	institutionID	verbatimEventDate	georeferenceProtocol	locality	verbatimCoordinateSystem	collectionCode	gbifID	occurrenceID	catalogNumber	institutionCode	locationID	higherClassification	collectionID	recordedBy	county	fieldNumber	continent	verbatimLocality	sex	vernacularName	language	type	coordinateUncertaintyInMeters	distanceFromCentroidInMeters	datasetID	eventID	http://unknown.org/language	originalNameUsage	associatedReferences	identificationVerificationStatus	nameAccordingTo	taxonID	http://unknown.org/orders
1319258355	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:37:24.525+00:00	395	{}	PRESERVED_SPECIMEN	2.0	PRESENT	2117616	1	54	354	9477065	2012	2117604	2117616	2117616	Hedgpethia dofleini (Loman, 1911)	Hedgpethia dofleini (Loman, 1911)	Animalia	Arthropoda	Pantopoda	Colossendeidae	Hedgpethia	Hedgpethia dofleini	Hedgpethia	dofleini	SPECIES	ACCEPTED	NE	52.2983	-174.788	154.5	154.5	Alaska	{}	North Pacific Ocean, Bering Sea	North Pacific Ocean, Bering Sea, United States, Alaska	1994.0	6.0	30.0	1994-06-30	181.0	181.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'DEPTH_MIN_MAX_SWAPPED', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2017-07-26T14:14:00.000+00:00	2024-07-02T12:37:24.525+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/35af41d3a-0057-45f7-bdc9-138908629805'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	False	NMNH Extant Biology	Child, C. Allan, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)	Alcohol (Ethanol)	WGS84	Pycnogonida	US	[]	[]	NORTH_AMERICA	United States of America	NORTH_AMERICA	http://n2t.net/ark:/65665/35af41d3a-0057-45f7-bdc9-138908629805	urn:lsid:biocol.org:col:34871	30 JUN 1994	unknown, from legacy	Aleutian Islands	Degrees Minutes Seconds	IZ	1319258355	http://n2t.net/ark:/65665/35af41d3a-0057-45f7-bdc9-138908629805	USNM 234744	USNM	111	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Colossendeidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6																				
1319327919	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:38:51.611+00:00	395	{}	PRESERVED_SPECIMEN	3.0	PRESENT	2117616	1	54	354	9477065	2012	2117604	2117616	2117616	Hedgpethia dofleini (Loman, 1911)	Hedgpethia dofleini (Loman, 1911)	Animalia	Arthropoda	Pantopoda	Colossendeidae	Hedgpethia	Hedgpethia dofleini	Hedgpethia	dofleini	SPECIES	ACCEPTED	NE	51.5069	178.666	77.0	77.0	Alaska	{}	North Pacific Ocean, Bering Sea	North Pacific Ocean, Bering Sea, United States, Alaska	1986.0	8.0	18.0	1986-08-18	230.0	230.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2021-01-19T07:16:00.000+00:00	2024-07-02T12:38:51.611+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/35e0be2d0-a5e7-4d87-8a04-0e9b3efa8909'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	False	NMNH Extant Biology	Child, C. Allan, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)	Alcohol (Ethanol)	WGS84	Pycnogonida	US	[]	[]	NORTH_AMERICA	United States of America	NORTH_AMERICA	http://n2t.net/ark:/65665/35e0be2d0-a5e7-4d87-8a04-0e9b3efa8909	urn:lsid:biocol.org:col:34871	18 AUG 1986	unknown, from legacy	Aleutian Islands, Rat Islands, Amchitka Island, West Of	Degrees Minutes Seconds	IZ	1319327919	http://n2t.net/ark:/65665/35e0be2d0-a5e7-4d87-8a04-0e9b3efa8909	USNM 234747	USNM	HAUL 57	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Colossendeidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6	Smithsonian Oceanographic Sorting Center																			
1320537276	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:38:21.797+00:00	395	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2117616	1	54	354	9477065	2012	2117604	2117616	2117616	Hedgpethia dofleini (Loman, 1911)	Hedgpethia dofleini (Loman, 1911)	Animalia	Arthropoda	Pantopoda	Colossendeidae	Hedgpethia	Hedgpethia dofleini	Hedgpethia	dofleini	SPECIES	ACCEPTED	NE	53.0283	173.183	137.0	0.0	Alaska	{}	North Pacific Ocean, Bering Sea	North Pacific Ocean, Bering Sea, United States, Alaska, Aleutians West Census Area	1986.0	8.0	27.0	1986-08-27	239.0	239.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2021-08-05T11:35:00.000+00:00	2024-07-02T12:38:21.797+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/3938318f8-c520-4370-a3ed-05bf0c23a086'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	False	NMNH Extant Biology	Child, C. Allan, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)	Alcohol (Ethanol)	WGS84	Pycnogonida	US	[]	[]	NORTH_AMERICA	United States of America	NORTH_AMERICA	http://n2t.net/ark:/65665/3938318f8-c520-4370-a3ed-05bf0c23a086	urn:lsid:biocol.org:col:34871			Aleutian Islands, Andreanof Islands, Seguam Island		IZ	1320537276	http://n2t.net/ark:/65665/3938318f8-c520-4370-a3ed-05bf0c23a086	USNM 234745	USNM	HAUL 77	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Colossendeidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6	Smithsonian Oceanographic Sorting Center	Aleutians West Census Area	BERING SEA/LET'S GO/HAUL 77																	
1321669777	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:38:15.622+00:00	395	{}	PRESERVED_SPECIMEN	4.0	PRESENT	2117616	1	54	354	9477065	2012	2117604	2117616	2117616	Hedgpethia dofleini (Loman, 1911)	Hedgpethia dofleini (Loman, 1911)	Animalia	Arthropoda	Pantopoda	Colossendeidae	Hedgpethia	Hedgpethia dofleini	Hedgpethia	dofleini	SPECIES	ACCEPTED	NE	51.7797	177.37	137.0	0.0	Alaska	{}	North Pacific Ocean, Bering Sea	North Pacific Ocean, Bering Sea, United States, Alaska	1986.0	8.0	20.0	1986-08-20	232.0	232.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'CONTINENT_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2021-01-19T07:03:00.000+00:00	2024-07-02T12:38:15.622+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/3c58dc09d-a9c1-424c-9982-25322703927e'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	False	NMNH Extant Biology	Child, C. Allan, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)	Alcohol (Ethanol)	WGS84	Pycnogonida	US	[]	[]	NORTH_AMERICA	United States of America	NORTH_AMERICA	http://n2t.net/ark:/65665/3c58dc09d-a9c1-424c-9982-25322703927e	urn:lsid:biocol.org:col:34871	20 AUG 1986	unknown, from legacy	Aleutian Islands, Andreanof Islands, Adak Island	Degrees Minutes Seconds	IZ	1321669777	http://n2t.net/ark:/65665/3c58dc09d-a9c1-424c-9982-25322703927e	USNM 234748	USNM	HAUL 62	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Colossendeidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6				NORTH_AMERICA																
1322764476	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:40:02.222+00:00	395	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2117616	1	54	354	9477065	2012	2117604	2117616	2117616	Hedgpethia dofleini (Loman, 1911)	Hedgpethia dofleini (Loman, 1911)	Animalia	Arthropoda	Pantopoda	Colossendeidae	Hedgpethia	Hedgpethia dofleini	Hedgpethia	dofleini	SPECIES	ACCEPTED	NE	52.4617	173.785	75.0	0.0	Alaska	{}	North Pacific Ocean, Bering Sea	North Pacific Ocean, Bering Sea, United States, Alaska	1986.0	8.0	23.0	1986-08-23	235.0	235.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'CONTINENT_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2021-01-19T06:56:00.000+00:00	2024-07-02T12:40:02.222+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/3f60f8391-7c5b-4b2c-b733-a3a0fb488457'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	False	NMNH Extant Biology	Child, C. Allan, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)	Alcohol (Ethanol)	WGS84	Pycnogonida	US	[]	[]	NORTH_AMERICA	United States of America	NORTH_AMERICA	http://n2t.net/ark:/65665/3f60f8391-7c5b-4b2c-b733-a3a0fb488457	urn:lsid:biocol.org:col:34871	23 AUG 1986	unknown, from legacy	Aleutian Islands, Andreanof Islands, Seguam Island	Degrees Minutes Seconds	IZ	1322764476	http://n2t.net/ark:/65665/3f60f8391-7c5b-4b2c-b733-a3a0fb488457	USNM 234746	USNM	HAUL 63	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Colossendeidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6				NORTH_AMERICA																
1319245667	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:38:49.692+00:00	395	{}	PRESERVED_SPECIMEN	2.0	PRESENT	2117616	1	54	354	9477065	2012	2117604	2117616	2117616	Hedgpethia dofleini (Loman, 1911)	Hedgpethia dofleini (Loman, 1911)	Animalia	Arthropoda	Pantopoda	Colossendeidae	Hedgpethia	Hedgpethia dofleini	Hedgpethia	dofleini	SPECIES	ACCEPTED	NE	52.1881	-179.856	82.5	82.5	Alaska	{}	North Pacific Ocean, Bering Sea	North Pacific Ocean, Bering Sea, United States, Alaska	1986.0	9.0	8.0	1986-09-08	251.0	251.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2021-01-19T06:33:00.000+00:00	2024-07-02T12:38:49.692+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/35a639afa-02bd-4c83-b960-7da0c4634ee3'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	False	NMNH Extant Biology	Child, C. Allan, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)	Alcohol (Ethanol)	WGS84	Pycnogonida	US	[]	[]	NORTH_AMERICA	United States of America	NORTH_AMERICA	http://n2t.net/ark:/65665/35a639afa-02bd-4c83-b960-7da0c4634ee3	urn:lsid:biocol.org:col:34871	08 SEP 1986	unknown, from legacy	Aleutian Islands, Rat Islands, Amchitka Pass, North Of	Degrees Minutes Seconds	IZ	1319245667	http://n2t.net/ark:/65665/35a639afa-02bd-4c83-b960-7da0c4634ee3	USNM 234749	USNM	HAUL 99	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Colossendeidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6	Smithsonian Oceanographic Sorting Center																			
1320812678	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:39:31.565+00:00	395	{}	PRESERVED_SPECIMEN	7.0	PRESENT	2117616	1	54	354	9477065	2012	2117604	2117616	2117616	Hedgpethia dofleini (Loman, 1911)	Hedgpethia dofleini (Loman, 1911)	Animalia	Arthropoda	Pantopoda	Colossendeidae	Hedgpethia	Hedgpethia dofleini	Hedgpethia	dofleini	SPECIES	ACCEPTED	NE	52.3622	-179.823	84.0	84.0	Alaska	{}	North Pacific Ocean, Bering Sea	North Pacific Ocean, Bering Sea, United States, Alaska	1986.0	9.0	10.0	1986-09-10	253.0	253.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2021-01-19T08:13:00.000+00:00	2024-07-02T12:39:31.565+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/39faf6f4c-f907-453b-85eb-e0125b666af9'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	False	NMNH Extant Biology	Child, C. Allan, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)	Alcohol (Ethanol)	WGS84	Pycnogonida	US	[]	[]	NORTH_AMERICA	United States of America	NORTH_AMERICA	http://n2t.net/ark:/65665/39faf6f4c-f907-453b-85eb-e0125b666af9	urn:lsid:biocol.org:col:34871	10 SEP 1986	unknown, from legacy	Aleutian Islands, Andreanof Islands, Galeroi Island, NE Of	Degrees Minutes Seconds	IZ	1320812678	http://n2t.net/ark:/65665/39faf6f4c-f907-453b-85eb-e0125b666af9	USNM 234742	USNM	HAUL 103	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Colossendeidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6	Smithsonian Oceanographic Sorting Center																			
1321659383	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:37:56.544+00:00	395	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2117616	1	54	354	9477065	2012	2117604	2117616	2117616	Hedgpethia dofleini (Loman, 1911)	Hedgpethia dofleini (Loman, 1911)	Animalia	Arthropoda	Pantopoda	Colossendeidae	Hedgpethia	Hedgpethia dofleini	Hedgpethia	dofleini	SPECIES	ACCEPTED	NE	42.6967	145.148	1895.5	1495.5	Hokkaido	{}	North Pacific Ocean	North Pacific Ocean, Japan, Hokkaido	1983.0	7.0	11.0	1983-07-11	192.0	192.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2017-07-26T14:14:00.000+00:00	2024-07-02T12:37:56.544+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/3c518404f-7a00-4f3e-a46b-2f1329783780'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	False	NMNH Extant Biology	Nakamura, K.; Child, C. A.	Alcohol (Ethanol)	WGS84	Pycnogonida	JP	[]	[]	ASIA	Japan	NORTH_AMERICA	http://n2t.net/ark:/65665/3c518404f-7a00-4f3e-a46b-2f1329783780	urn:lsid:biocol.org:col:34871	11 JUL 1983	unknown, from legacy	Hokkaido Island, South Of Akkeshi Bay	Degrees Minutes Seconds	IZ	1321659383	http://n2t.net/ark:/65665/3c518404f-7a00-4f3e-a46b-2f1329783780	USNM 234741	USNM	KT83-11, B-15	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Colossendeidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6																				
1322764794	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:38:30.672+00:00	395	{}	PRESERVED_SPECIMEN	3.0	PRESENT	2117616	1	54	354	9477065	2012	2117604	2117616	2117616	Hedgpethia dofleini (Loman, 1911)	Hedgpethia dofleini (Loman, 1911)	Animalia	Arthropoda	Pantopoda	Colossendeidae	Hedgpethia	Hedgpethia dofleini	Hedgpethia	dofleini	SPECIES	ACCEPTED	NE	52.035	-176.377	249.0	0.0	Alaska	{}	North Pacific Ocean, Bering Sea	North Pacific Ocean, Bering Sea, United States, Alaska	1983.0	8.0	6.0	1983-08-06	218.0	218.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2017-07-26T14:14:00.000+00:00	2024-07-02T12:38:30.672+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/3f6131f38-4de2-4855-8fff-1321a7eb3552'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	False	NMNH Extant Biology	Child, C. Allan, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)	Alcohol (Ethanol)	WGS84	Pycnogonida	US	[]	[]	NORTH_AMERICA	United States of America	NORTH_AMERICA	http://n2t.net/ark:/65665/3f6131f38-4de2-4855-8fff-1321a7eb3552	urn:lsid:biocol.org:col:34871	06 AUG 1983	unknown, from legacy	Aleutian Islands, Andreanof Islands, Great Sitkin Island	Degrees Minutes Seconds	IZ	1322764794	http://n2t.net/ark:/65665/3f6131f38-4de2-4855-8fff-1321a7eb3552	USNM 234743	USNM	833-56	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Colossendeidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6																				
774193121	da6a07ed-9eee-460d-9448-910f542c1a7b	2cd829bb-b713-433d-99cf-64bef11e5b3e	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	86c2834b-fcd6-418d-9b32-aca45110a0fe	2cd829bb-b713-433d-99cf-64bef11e5b3e	FR	EML	2024-07-24T12:23:52.237+00:00	2024-07-24T12:24:37.407+00:00	564	{'http://rs.tdwg.org/dwc/terms/Identification': [{'http://rs.tdwg.org/dwc/terms/namePublishedInYear': '1911', 'http://rs.tdwg.org/dwc/terms/order': 'Pantopoda', 'http://rs.tdwg.org/dwc/terms/higherClassification': 'Hedgpethia;Colossendeidae;Pantopoda;Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificNameAuthorship': '(Loman, 1911)', 'http://rs.tdwg.org/dwc/terms/class': 'Pycnogonida', 'http://rs.tdwg.org/dwc/terms/identificationID': 'INVMAR|170406', 'http://rs.tdwg.org/dwc/terms/family': 'Colossendeidae', 'http://rs.tdwg.org/dwc/terms/genus': 'Hedgpethia', 'http://rs.tdwg.org/dwc/terms/specificEpithet': 'dofleini', 'http://rs.tdwg.org/dwc/terms/identificationVerificationStatus': '1', 'http://rs.tdwg.org/dwc/terms/taxonID': 'INVMAR|22433', 'http://rs.tdwg.org/dwc/terms/identifiedBy': 'Arnaud F.', 'http://rs.tdwg.org/dwc/terms/phylum': 'Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificName': 'Hedgpethia dofleini (Loman, 1911)'}]}	PRESERVED_SPECIMEN	1.0	PRESENT	2117616	1	54	354	9477065	2012	2117604	2117616	2117616	Hedgpethia dofleini (Loman, 1911)	Hedgpethia dofleini (Loman, 1911)	Animalia	Arthropoda	Pantopoda	Colossendeidae	Hedgpethia	Hedgpethia dofleini	Hedgpethia	dofleini	SPECIES	ACCEPTED	NE	-12.498333	45.033333	450.0			{}			1977.0	3.0	30.0	1977-03-30	89.0	89.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_COORDINATE_MISMATCH', 'CONTINENT_COORDINATE_MISMATCH', 'CONTINENT_COUNTRY_MISMATCH', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'INSTITUTION_MATCH_FUZZY']	2016-06-29T17:14:20.000+00:00	2024-07-24T12:24:37.407+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'http://coldb.mnhn.fr/catalognumber/mnhn/iu/2009-3005'}]	[]	[]	[]	6a6ac6c5-1b8a-48db-91a2-f8661274ff80	0641bf3b-29ad-42c9-b3c7-ffb5a76f6954	False		Arnaud F.		WGS84	Pycnogonida	ZZ	[]	[]		unknown or invalid	EUROPE	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2009-3005				Mayotte		IU	774193121	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2009-3005	2009-3005	MNHN			10.15468/qgvvhd	Bouchet P.		BENTHEDI/DS71 (BENT71-DS)		NE du récif Nord															
