key	datasetKey	publishingOrgKey	networkKeys	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	individualCount	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	depth	depthAccuracy	gadm	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	modified	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	institutionKey	collectionKey	isInCluster	recordedBy	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	identifier	catalogNumber	institutionCode	locality	fieldNumber	gbifID	collectionCode	occurrenceID	collectionID	typeStatus	identifiedBy	continent	datasetID	eventID	originalNameUsage	county	associatedReferences	identificationVerificationStatus	http://unknown.org/orders	nameAccordingTo	taxonID	http://unknown.org/language	references	associatedSequences	taxonConceptID	occurrenceRemarks
462403023	da6a07ed-9eee-460d-9448-910f542c1a7b	2cd829bb-b713-433d-99cf-64bef11e5b3e	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	86c2834b-fcd6-418d-9b32-aca45110a0fe	2cd829bb-b713-433d-99cf-64bef11e5b3e	FR	EML	2024-07-24T12:23:52.237+00:00	2024-07-24T12:24:43.426+00:00	564	{'http://rs.tdwg.org/dwc/terms/Identification': [{'http://rs.tdwg.org/dwc/terms/namePublishedInYear': '1991', 'http://rs.tdwg.org/dwc/terms/order': 'Pantopoda', 'http://rs.tdwg.org/dwc/terms/higherClassification': 'Hedgpethia;Colossendeidae;Pantopoda;Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificNameAuthorship': 'Stock, 1991', 'http://rs.tdwg.org/dwc/terms/class': 'Pycnogonida', 'http://rs.tdwg.org/dwc/terms/identificationID': 'INVMAR|117518', 'http://rs.tdwg.org/dwc/terms/family': 'Colossendeidae', 'http://rs.tdwg.org/dwc/terms/genus': 'Hedgpethia', 'http://rs.tdwg.org/dwc/terms/specificEpithet': 'tibialis', 'http://rs.tdwg.org/dwc/terms/identificationVerificationStatus': '1', 'http://rs.tdwg.org/dwc/terms/taxonID': 'INVMAR|10470', 'http://rs.tdwg.org/dwc/terms/phylum': 'Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificName': 'Hedgpethia tibialis Stock, 1991'}]}	PRESERVED_SPECIMEN	1.0	PRESENT	2117617	1	54	354	9477065	2012	2117604	2117617	2117617	Hedgpethia tibialis Stock, 1991	Hedgpethia tibialis Stock, 1991	Animalia	Arthropoda	Pantopoda	Colossendeidae	Hedgpethia	Hedgpethia tibialis	Hedgpethia	tibialis	SPECIES	ACCEPTED	NE	-18.92305	163.406006	368.5	8.5	{}	1994.0	8.0	7.0	1994-08-07T15:42/1994-08-07T16:00	219.0	219.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_COORDINATE_MISMATCH', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'INSTITUTION_MATCH_FUZZY']	2015-06-19T19:23:01.000+00:00	2024-07-24T12:24:43.426+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'http://coldb.mnhn.fr/catalognumber/mnhn/iu/2008-20631'}]	[]	[]	[]	6a6ac6c5-1b8a-48db-91a2-f8661274ff80	0641bf3b-29ad-42c9-b3c7-ffb5a76f6954	False	Métivier & Richer de Forges-IRD coll.	WGS84	Pycnogonida	NC	[]	[]	OCEANIA	New Caledonia	EUROPE	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2008-20631	2008-20631	MNHN	Grand Passage	BATHUS 4/DW931	462403023	IU	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2008-20631	10.15468/qgvvhd																	
440001145	da6a07ed-9eee-460d-9448-910f542c1a7b	2cd829bb-b713-433d-99cf-64bef11e5b3e	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	86c2834b-fcd6-418d-9b32-aca45110a0fe	2cd829bb-b713-433d-99cf-64bef11e5b3e	FR	EML	2024-07-24T12:23:52.237+00:00	2024-07-24T12:24:52.562+00:00	564	{'http://rs.tdwg.org/dwc/terms/Identification': [{'http://rs.tdwg.org/dwc/terms/namePublishedInYear': '1991', 'http://rs.tdwg.org/dwc/terms/order': 'Pantopoda', 'http://rs.tdwg.org/dwc/terms/higherClassification': 'Hedgpethia;Colossendeidae;Pantopoda;Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificNameAuthorship': 'Stock, 1991', 'http://rs.tdwg.org/dwc/terms/class': 'Pycnogonida', 'http://rs.tdwg.org/dwc/terms/identificationID': 'INVMAR|48083', 'http://rs.tdwg.org/dwc/terms/family': 'Colossendeidae', 'http://rs.tdwg.org/dwc/terms/genus': 'Hedgpethia', 'http://rs.tdwg.org/dwc/terms/specificEpithet': 'tibialis', 'http://rs.tdwg.org/dwc/terms/typeStatus': 'Holotype', 'http://rs.tdwg.org/dwc/terms/identificationVerificationStatus': '1', 'http://rs.tdwg.org/dwc/terms/taxonID': 'INVMAR|10470', 'http://rs.tdwg.org/dwc/terms/identifiedBy': 'Stock', 'http://rs.tdwg.org/dwc/terms/phylum': 'Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificName': 'Hedgpethia tibialis Stock, 1991'}], 'http://rs.gbif.org/terms/1.0/Multimedia': [{'http://purl.org/dc/terms/creator': 'Corbari L. & Leprieur S.', 'http://purl.org/dc/terms/type': 'StillImage', 'http://purl.org/dc/terms/format': 'image/jpeg', 'http://purl.org/dc/terms/license': 'cc-by', 'http://purl.org/dc/terms/identifier': 'http://mediaphoto.mnhn.fr/media/1445083617384LnVVQaM30l5QV2fz'}]}	PRESERVED_SPECIMEN	1.0	PRESENT	2117617	1	54	354	9477065	2012	2117604	2117617	2117617	Hedgpethia tibialis Stock, 1991	Hedgpethia tibialis Stock, 1991	Animalia	Arthropoda	Pantopoda	Colossendeidae	Hedgpethia	Hedgpethia tibialis	Hedgpethia	tibialis	SPECIES	ACCEPTED	NE	-18.870001	163.354996	550.0		{}	1985.0	9.0	19.0	1985-09-19T15:38/1985-09-19T15:58	262.0	262.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_COORDINATE_MISMATCH', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'INSTITUTION_MATCH_FUZZY']	2018-01-16T11:52:23.000+00:00	2024-07-24T12:24:52.562+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'http://coldb.mnhn.fr/catalognumber/mnhn/iu/2007-4581'}]	[{'type': 'StillImage', 'format': 'image/jpeg', 'creator': 'Corbari L. & Leprieur S.', 'license': 'http://creativecommons.org/licenses/by/4.0/', 'identifier': 'http://mediaphoto.mnhn.fr/media/1445083617384LnVVQaM30l5QV2fz'}]	[]	[]	6a6ac6c5-1b8a-48db-91a2-f8661274ff80	0641bf3b-29ad-42c9-b3c7-ffb5a76f6954	True	Bouchet & Richer de Forges-IRD coll.	WGS84	Pycnogonida	NC	[]	[]	OCEANIA	New Caledonia	EUROPE	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2007-4581	2007-4581	MNHN	Grand Passage	MUSORSTOM 4/CP194	440001145	IU	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2007-4581	10.15468/qgvvhd	HOLOTYPE	Stock															
440010146	da6a07ed-9eee-460d-9448-910f542c1a7b	2cd829bb-b713-433d-99cf-64bef11e5b3e	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	86c2834b-fcd6-418d-9b32-aca45110a0fe	2cd829bb-b713-433d-99cf-64bef11e5b3e	FR	EML	2024-07-24T12:23:52.237+00:00	2024-07-24T12:24:52.562+00:00	564	{'http://rs.tdwg.org/dwc/terms/Identification': [{'http://rs.tdwg.org/dwc/terms/namePublishedInYear': '1991', 'http://rs.tdwg.org/dwc/terms/order': 'Pantopoda', 'http://rs.tdwg.org/dwc/terms/higherClassification': 'Hedgpethia;Colossendeidae;Pantopoda;Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificNameAuthorship': 'Stock, 1991', 'http://rs.tdwg.org/dwc/terms/class': 'Pycnogonida', 'http://rs.tdwg.org/dwc/terms/identificationID': 'INVMAR|48084', 'http://rs.tdwg.org/dwc/terms/family': 'Colossendeidae', 'http://rs.tdwg.org/dwc/terms/genus': 'Hedgpethia', 'http://rs.tdwg.org/dwc/terms/specificEpithet': 'tibialis', 'http://rs.tdwg.org/dwc/terms/typeStatus': 'Paratype(s)', 'http://rs.tdwg.org/dwc/terms/identificationVerificationStatus': '1', 'http://rs.tdwg.org/dwc/terms/taxonID': 'INVMAR|10470', 'http://rs.tdwg.org/dwc/terms/identifiedBy': 'Stock', 'http://rs.tdwg.org/dwc/terms/phylum': 'Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificName': 'Hedgpethia tibialis Stock, 1991'}], 'http://rs.gbif.org/terms/1.0/Multimedia': [{'http://purl.org/dc/terms/creator': 'Corbari L. & Leprieur S.', 'http://purl.org/dc/terms/type': 'StillImage', 'http://purl.org/dc/terms/format': 'image/jpeg', 'http://purl.org/dc/terms/license': 'cc-by', 'http://purl.org/dc/terms/identifier': 'http://mediaphoto.mnhn.fr/media/1445083646301QfcEZq8u3xEWHKMC'}]}	PRESERVED_SPECIMEN	1.0	PRESENT	2117617	1	54	354	9477065	2012	2117604	2117617	2117617	Hedgpethia tibialis Stock, 1991	Hedgpethia tibialis Stock, 1991	Animalia	Arthropoda	Pantopoda	Colossendeidae	Hedgpethia	Hedgpethia tibialis	Hedgpethia	tibialis	SPECIES	ACCEPTED	NE	-18.870001	163.354996	550.0		{}	1985.0	9.0	19.0	1985-09-19T15:38/1985-09-19T15:58	262.0	262.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_COORDINATE_MISMATCH', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'INSTITUTION_MATCH_FUZZY']	2015-10-17T14:07:53.000+00:00	2024-07-24T12:24:52.562+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'http://coldb.mnhn.fr/catalognumber/mnhn/iu/2007-4582'}]	[{'type': 'StillImage', 'format': 'image/jpeg', 'creator': 'Corbari L. & Leprieur S.', 'license': 'http://creativecommons.org/licenses/by/4.0/', 'identifier': 'http://mediaphoto.mnhn.fr/media/1445083646301QfcEZq8u3xEWHKMC'}]	[]	[]	6a6ac6c5-1b8a-48db-91a2-f8661274ff80	0641bf3b-29ad-42c9-b3c7-ffb5a76f6954	False	Bouchet & Richer de Forges-IRD coll.	WGS84	Pycnogonida	NC	[]	[]	OCEANIA	New Caledonia	EUROPE	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2007-4582	2007-4582	MNHN	Grand Passage	MUSORSTOM 4/CP194	440010146	IU	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2007-4582	10.15468/qgvvhd	PARATYPE	Stock															
440016260	da6a07ed-9eee-460d-9448-910f542c1a7b	2cd829bb-b713-433d-99cf-64bef11e5b3e	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	86c2834b-fcd6-418d-9b32-aca45110a0fe	2cd829bb-b713-433d-99cf-64bef11e5b3e	FR	EML	2024-07-24T12:23:52.237+00:00	2024-07-24T12:24:52.674+00:00	564	{'http://rs.tdwg.org/dwc/terms/Identification': [{'http://rs.tdwg.org/dwc/terms/namePublishedInYear': '1991', 'http://rs.tdwg.org/dwc/terms/order': 'Pantopoda', 'http://rs.tdwg.org/dwc/terms/higherClassification': 'Hedgpethia;Colossendeidae;Pantopoda;Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificNameAuthorship': 'Stock, 1991', 'http://rs.tdwg.org/dwc/terms/class': 'Pycnogonida', 'http://rs.tdwg.org/dwc/terms/identificationID': 'INVMAR|48136', 'http://rs.tdwg.org/dwc/terms/family': 'Colossendeidae', 'http://rs.tdwg.org/dwc/terms/genus': 'Hedgpethia', 'http://rs.tdwg.org/dwc/terms/specificEpithet': 'tibialis', 'http://rs.tdwg.org/dwc/terms/typeStatus': 'Paratype(s)', 'http://rs.tdwg.org/dwc/terms/identificationVerificationStatus': '1', 'http://rs.tdwg.org/dwc/terms/taxonID': 'INVMAR|10470', 'http://rs.tdwg.org/dwc/terms/identifiedBy': 'Stock', 'http://rs.tdwg.org/dwc/terms/phylum': 'Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificName': 'Hedgpethia tibialis Stock, 1991'}], 'http://rs.gbif.org/terms/1.0/Multimedia': [{'http://purl.org/dc/terms/creator': 'Corbari L. & Leprieur S.', 'http://purl.org/dc/terms/type': 'StillImage', 'http://purl.org/dc/terms/format': 'image/jpeg', 'http://purl.org/dc/terms/license': 'cc-by', 'http://purl.org/dc/terms/identifier': 'http://mediaphoto.mnhn.fr/media/1445086498922nYZmqRFExnI5y5DH'}]}	PRESERVED_SPECIMEN	1.0	PRESENT	2117617	1	54	354	9477065	2012	2117604	2117617	2117617	Hedgpethia tibialis Stock, 1991	Hedgpethia tibialis Stock, 1991	Animalia	Arthropoda	Pantopoda	Colossendeidae	Hedgpethia	Hedgpethia tibialis	Hedgpethia	tibialis	SPECIES	ACCEPTED	NE	-22.928333	167.28334	502.5	17.5	{}	1985.0	9.0	28.0	1985-09-28	271.0	271.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_COORDINATE_MISMATCH', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'INSTITUTION_MATCH_FUZZY']	2015-06-19T19:23:01.000+00:00	2024-07-24T12:24:52.674+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'http://coldb.mnhn.fr/catalognumber/mnhn/iu/2007-4634'}]	[{'type': 'StillImage', 'format': 'image/jpeg', 'creator': 'Corbari L. & Leprieur S.', 'license': 'http://creativecommons.org/licenses/by/4.0/', 'identifier': 'http://mediaphoto.mnhn.fr/media/1445086498922nYZmqRFExnI5y5DH'}]	[]	[]	6a6ac6c5-1b8a-48db-91a2-f8661274ff80	0641bf3b-29ad-42c9-b3c7-ffb5a76f6954	False	B. Richer de Forges-IRD coll.	WGS84	Pycnogonida	NC	[]	[]	OCEANIA	New Caledonia	EUROPE	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2007-4634	2007-4634	MNHN	Sud de la Grande-Terre	MUSORSTOM 4/CP215	440016260	IU	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2007-4634	10.15468/qgvvhd	PARATYPE	Stock															
442597834	da6a07ed-9eee-460d-9448-910f542c1a7b	2cd829bb-b713-433d-99cf-64bef11e5b3e	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	86c2834b-fcd6-418d-9b32-aca45110a0fe	2cd829bb-b713-433d-99cf-64bef11e5b3e	FR	EML	2024-07-24T12:23:52.237+00:00	2024-07-24T12:24:39.014+00:00	564	{'http://rs.tdwg.org/dwc/terms/Identification': [{'http://rs.tdwg.org/dwc/terms/namePublishedInYear': '1991', 'http://rs.tdwg.org/dwc/terms/order': 'Pantopoda', 'http://rs.tdwg.org/dwc/terms/higherClassification': 'Hedgpethia;Colossendeidae;Pantopoda;Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificNameAuthorship': 'Stock, 1991', 'http://rs.tdwg.org/dwc/terms/class': 'Pycnogonida', 'http://rs.tdwg.org/dwc/terms/identificationID': 'INVMAR|109847', 'http://rs.tdwg.org/dwc/terms/family': 'Colossendeidae', 'http://rs.tdwg.org/dwc/terms/genus': 'Hedgpethia', 'http://rs.tdwg.org/dwc/terms/specificEpithet': 'tibialis', 'http://rs.tdwg.org/dwc/terms/typeStatus': 'Paratype(s)', 'http://rs.tdwg.org/dwc/terms/identificationVerificationStatus': '1', 'http://rs.tdwg.org/dwc/terms/taxonID': 'INVMAR|10470', 'http://rs.tdwg.org/dwc/terms/identifiedBy': 'Stock', 'http://rs.tdwg.org/dwc/terms/phylum': 'Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificName': 'Hedgpethia tibialis Stock, 1991'}]}	PRESERVED_SPECIMEN	1.0	PRESENT	2117617	1	54	354	9477065	2012	2117604	2117617	2117617	Hedgpethia tibialis Stock, 1991	Hedgpethia tibialis Stock, 1991	Animalia	Arthropoda	Pantopoda	Colossendeidae	Hedgpethia	Hedgpethia tibialis	Hedgpethia	tibialis	SPECIES	ACCEPTED	NE	-18.870001	163.354996	550.0		{}	1985.0	9.0	19.0	1985-09-19T15:38/1985-09-19T15:58	262.0	262.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_COORDINATE_MISMATCH', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'INSTITUTION_MATCH_FUZZY']	2018-01-16T11:52:40.000+00:00	2024-07-24T12:24:39.014+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'http://coldb.mnhn.fr/catalognumber/mnhn/iu/2011-5711'}]	[]	[]	[]	6a6ac6c5-1b8a-48db-91a2-f8661274ff80	0641bf3b-29ad-42c9-b3c7-ffb5a76f6954	False	Bouchet & Richer de Forges-IRD coll.	WGS84	Pycnogonida	NC	[]	[]	OCEANIA	New Caledonia	EUROPE	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2011-5711	2011-5711	MNHN	Grand Passage	MUSORSTOM 4/CP194	442597834	IU	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2011-5711	10.15468/qgvvhd	PARATYPE	Stock															
442597128	da6a07ed-9eee-460d-9448-910f542c1a7b	2cd829bb-b713-433d-99cf-64bef11e5b3e	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	86c2834b-fcd6-418d-9b32-aca45110a0fe	2cd829bb-b713-433d-99cf-64bef11e5b3e	FR	EML	2024-07-24T12:23:52.237+00:00	2024-07-24T12:24:39.014+00:00	564	{'http://rs.tdwg.org/dwc/terms/Identification': [{'http://rs.tdwg.org/dwc/terms/namePublishedInYear': '1991', 'http://rs.tdwg.org/dwc/terms/order': 'Pantopoda', 'http://rs.tdwg.org/dwc/terms/higherClassification': 'Hedgpethia;Colossendeidae;Pantopoda;Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificNameAuthorship': 'Stock, 1991', 'http://rs.tdwg.org/dwc/terms/class': 'Pycnogonida', 'http://rs.tdwg.org/dwc/terms/identificationID': 'INVMAR|109848', 'http://rs.tdwg.org/dwc/terms/family': 'Colossendeidae', 'http://rs.tdwg.org/dwc/terms/genus': 'Hedgpethia', 'http://rs.tdwg.org/dwc/terms/specificEpithet': 'tibialis', 'http://rs.tdwg.org/dwc/terms/typeStatus': 'Paratype(s)', 'http://rs.tdwg.org/dwc/terms/identificationVerificationStatus': '1', 'http://rs.tdwg.org/dwc/terms/taxonID': 'INVMAR|10470', 'http://rs.tdwg.org/dwc/terms/identifiedBy': 'Stock', 'http://rs.tdwg.org/dwc/terms/phylum': 'Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificName': 'Hedgpethia tibialis Stock, 1991'}]}	PRESERVED_SPECIMEN	1.0	PRESENT	2117617	1	54	354	9477065	2012	2117604	2117617	2117617	Hedgpethia tibialis Stock, 1991	Hedgpethia tibialis Stock, 1991	Animalia	Arthropoda	Pantopoda	Colossendeidae	Hedgpethia	Hedgpethia tibialis	Hedgpethia	tibialis	SPECIES	ACCEPTED	NE	-18.870001	163.354996	550.0		{}	1985.0	9.0	19.0	1985-09-19T15:38/1985-09-19T15:58	262.0	262.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_COORDINATE_MISMATCH', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'INSTITUTION_MATCH_FUZZY']	2018-01-16T11:52:40.000+00:00	2024-07-24T12:24:39.014+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'http://coldb.mnhn.fr/catalognumber/mnhn/iu/2011-5712'}]	[]	[]	[]	6a6ac6c5-1b8a-48db-91a2-f8661274ff80	0641bf3b-29ad-42c9-b3c7-ffb5a76f6954	False	Bouchet & Richer de Forges-IRD coll.	WGS84	Pycnogonida	NC	[]	[]	OCEANIA	New Caledonia	EUROPE	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2011-5712	2011-5712	MNHN	Grand Passage	MUSORSTOM 4/CP194	442597128	IU	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2011-5712	10.15468/qgvvhd	PARATYPE	Stock															
3935029996	91aa3d5b-6f77-4135-a823-cef438a60dfa	1928bdf0-f5d2-11dc-8c12-b8a03c50a862		e44d0fd7-0edf-477f-aa82-50a81836ab46	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	FR	DWC_ARCHIVE	2024-01-19T17:11:53.743+00:00	2024-01-26T10:11:36.856+00:00	10	{}	HUMAN_OBSERVATION		PRESENT	2117617	1	54	354	9477065	2012	2117604	2117617	2117617	Hedgpethia tibialis Stock, 1991	Hedgpethia tibialis Stock, 1991	Animalia	Arthropoda	Pantopoda	Colossendeidae	Hedgpethia	Hedgpethia tibialis	Hedgpethia	tibialis	SPECIES	ACCEPTED	NE					{}							['COUNTRY_MISMATCH', 'CONTINENT_DERIVED_FROM_COUNTRY', 'TAXON_MATCH_TAXON_ID_IGNORED']		2024-01-26T10:11:36.856+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '43c62ac2-947d-41f3-bd10-c5eb4742c060'}]	[]	[]	[]			False			Pycnogonida	NC	[]	[]	OCEANIA	New Caledonia	EUROPE	43c62ac2-947d-41f3-bd10-c5eb4742c060					3935029996		43c62ac2-947d-41f3-bd10-c5eb4742c060				OCEANIA	D2B0CE86-7C29-1275-E053-5514A8C0FBF9	43c62ac2-947d-41f3-bd10-c5eb4742c060	Hedgpethia tibialis Stock, 1991	Province Nord|Province Sud|Îles Loyauté	TaxREF	Probable	Pantopoda	Gargominy O (2021). TAXREF. Version 4.7. UMS PatriNat (OFB-CNRS-MNHN), Paris. Checklist dataset https://doi.org/10.15468/vqueam accessed via GBIF.org on 2021-06-28.	712048					
4548284922	f553f8f9-b147-4f09-86e5-0d1ce1a91ce0	1928bdf0-f5d2-11dc-8c12-b8a03c50a862		e44d0fd7-0edf-477f-aa82-50a81836ab46	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	FR	DWC_ARCHIVE	2024-03-21T10:09:14.312+00:00	2024-03-21T10:14:26.662+00:00	57	{}	HUMAN_OBSERVATION		PRESENT	2117617	1	54	354	9477065	2012	2117604	2117617	2117617	Hedgpethia tibialis Stock, 1991	Hedgpethia tibialis Stock, 1991	Animalia	Arthropoda	Pantopoda	Colossendeidae	Hedgpethia	Hedgpethia tibialis	Hedgpethia	tibialis	SPECIES	ACCEPTED	NE					{}							['COUNTRY_MISMATCH', 'CONTINENT_DERIVED_FROM_COUNTRY', 'TAXON_MATCH_TAXON_ID_IGNORED']		2024-03-21T10:14:26.662+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '43c9d5e2-abf3-487e-8eb5-0be0601b8250'}]	[]	[]	[]			False			Pycnogonida	NC	[]	[]	OCEANIA	New Caledonia	EUROPE	43c9d5e2-abf3-487e-8eb5-0be0601b8250					4548284922		43c9d5e2-abf3-487e-8eb5-0be0601b8250				OCEANIA	EB6380B5-80AF-5935-E053-0514A8C08744	43c9d5e2-abf3-487e-8eb5-0be0601b8250	Hedgpethia tibialis Stock, 1991	Province Nord|Province Sud|Îles Loyauté	TaxREF	Probable		Gargominy O (2021). TAXREF. Version 4.7. UMS PatriNat (OFB-CNRS-MNHN), Paris. Checklist dataset https://doi.org/10.15468/vqueam accessed via GBIF.org on 2021-06-28.	712048	fr | en				
3846973867	6ed43f52-25d1-4d56-a821-63a8564b81f6	1928bdf0-f5d2-11dc-8c12-b8a03c50a862		e44d0fd7-0edf-477f-aa82-50a81836ab46	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	FR	DWC_ARCHIVE	2024-01-23T18:06:52.356+00:00	2024-01-26T10:23:27.120+00:00	20	{}	HUMAN_OBSERVATION		PRESENT	2117617	1	54	354	9477065	2012	2117604	2117617	2117617	Hedgpethia tibialis Stock, 1991	Hedgpethia tibialis Stock, 1991	Animalia	Arthropoda	Pantopoda	Colossendeidae	Hedgpethia	Hedgpethia tibialis	Hedgpethia	tibialis	SPECIES	ACCEPTED	NE					{}							['COUNTRY_MISMATCH', 'CONTINENT_DERIVED_FROM_COUNTRY', 'TAXON_MATCH_TAXON_ID_IGNORED']		2024-01-26T10:23:27.120+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'd8723200-5753-474e-832c-394c5e15fc84'}]	[]	[]	[]			False			Pycnogonida	NC	[]	[]	OCEANIA	New Caledonia	EUROPE	d8723200-5753-474e-832c-394c5e15fc84					3846973867		d8723200-5753-474e-832c-394c5e15fc84				OCEANIA	B6BB40E7-FCE6-5E23-E053-5014A8C0B867	d8723200-5753-474e-832c-394c5e15fc84	Hedgpethia tibialis Stock, 1991	Province Nord|Province Sud|Îles Loyauté		Invalid		Gargominy O (2021). TAXREF. Version 4.7. UMS PatriNat (OFB-CNRS-MNHN), Paris. Checklist dataset https://doi.org/10.15468/vqueam accessed via GBIF.org on 2021-06-28.	712048					
4152780227	d8cd16ba-bb74-4420-821e-083f2bac17c2	ada9d123-ddb4-467d-8891-806ea8d94230		17a83780-3060-4851-9d6f-029d5fcb81c9	fbca90e3-8aed-48b1-84e3-369afbd000ce	GB	EML	2024-07-20T12:06:08.628+00:00	2024-07-20T12:50:08.318+00:00	175	{}	PRESERVED_SPECIMEN		PRESENT	2117617	1	54	354	9477065	2012	2117604	2117617	2117617	Hedgpethia tibialis Stock, 1991	Hedgpethia tibialis Stock, 1991	Animalia	Arthropoda	Pantopoda	Colossendeidae	Hedgpethia	Hedgpethia tibialis	Hedgpethia	tibialis	SPECIES	ACCEPTED	NE	-18.87	163.35			{}							['GEODETIC_DATUM_ASSUMED_WGS84', 'PRESUMED_NEGATED_LONGITUDE', 'PRESUMED_NEGATED_LATITUDE', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'TAXON_MATCH_TAXON_ID_IGNORED']		2024-07-20T12:50:08.318+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	True	[{'identifier': 'OP985870'}]	[]	[]	[]			True		WGS84	Pycnogonida	NC	[]	[]	OCEANIA	New Caledonia	EUROPE	OP985870	MNHN-IU-2007-4581				4152780227		OP985870													ASV:d06ce43a18cd46f529eff9049bd76b82		https://www.ebi.ac.uk/ena/browser/view/OP985870	https://www.ebi.ac.uk/ena/browser/api/embl/OP985870	https://www.ebi.ac.uk/ena/browser/view/Taxon:3039352	UNVERIFIED: Hedgpethia tibialis voucher MNHN-IU-2007-4581 mitochondrion sequence, sequence.
