key	datasetKey	publishingOrgKey	networkKeys	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	depth	continent	gadm	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	modified	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	isInCluster	datasetID	recordedBy	identifiedBy	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	identifier	catalogNumber	scientificNameID	institutionCode	locality	gbifID	collectionCode	bibliographicCitation	occurrenceID	coordinateUncertaintyInMeters	depthAccuracy	datasetName	preparations	locationID	footprintWKT	language	individualCount	dateIdentified	institutionKey	collectionKey	rightsHolder	institutionID	verbatimEventDate	county	type	occurrenceRemarks	higherClassification	collectionID	island	fieldNumber	verbatimLocality	waterBody	samplingProtocol	eventID	verbatimDepth	ownerInstitutionCode	otherCatalogNumbers	dynamicProperties	sex	typeStatus	originalNameUsage	associatedReferences	identificationVerificationStatus	http://unknown.org/orders	nameAccordingTo	taxonID	http://unknown.org/language
1914305098	7b45011a-f762-11e1-a439-00145eb45e9a	104e9c96-791b-4f14-978c-f581cb214912	['8534dd20-c368-4a1f-bdaf-e6b390710f89', '2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	27c24cba-13c5-47d1-96a1-16abd8f11437	fb10a11f-4417-41c8-be6a-13a5c8535122	GB	EML	2023-01-08T06:21:57.305+00:00	2024-01-24T20:20:32.497+00:00	240	{}	HUMAN_OBSERVATION	PRESENT	2117626	1	54	354	9477065	2013	2117621	2117626	2117626	Heteronymphon exiguum (Hodgson, 1927)	Heteronymphon exiguum (Hodgson, 1927)	Animalia	Arthropoda	Pantopoda	Nymphonidae	Heteronymphon	Heteronymphon exiguum	Heteronymphon	exiguum	SPECIES	ACCEPTED	NE	-62.15295	-58.44578	240.0	ANTARCTICA	{}	1985.0	5.0	11.0	1985-05-11	131.0	131.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES']	2008-05-05T00:00:00.000+00:00	2024-01-24T20:20:32.497+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:University of Lodz:OC - Pycnogonida:479_0024'}]	[]	[]	[]	False	IMIS:dasid:1649	Sicinski Jacek	Bamber Roger	WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	EUROPE	urn:catalog:University of Lodz:OC - Pycnogonida:479_0024	479	urn:lsid:marinespecies.org:taxname:173314	University of Lodz	Admiralty Bay	1914305098	OC - Pycnogonida	Sicinski J., Bamber R. 2008. Admiralty Bay Benthos Diversity Data Base (ABBED). Pycnogonida. (http://www.scarmarbin.be)	urn:catalog:University of Lodz:OC - Pycnogonida:479_0024																																						
4081056155	4d0b1b2a-3209-49ce-bb93-7503e4868019	c58ac019-b413-4613-8772-39e57acbeb8e	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f0d34585-ddcb-4915-9332-6043585e831a	c58ac019-b413-4613-8772-39e57acbeb8e	NZ	EML	2023-06-07T18:53:24.650+00:00	2024-01-25T07:20:23.231+00:00	166	{}	PRESERVED_SPECIMEN	PRESENT	2117626	1	54	354	9477065	2013	2117621	2117626	2117626	Heteronymphon exiguum (Hodgson, 1927)	Heteronymphon exiguum (Hodgson, 1927)	Animalia	Arthropoda	Pantopoda	Nymphonidae	Heteronymphon	Heteronymphon exiguum	Heteronymphon	exiguum	SPECIES	ACCEPTED	NE	-78.0667	167.3833	67.0	ANTARCTICA	{'level0': {'gid': 'ATA', 'name': 'Antarctica'}}	1976.0	12.0	27.0	1976-12-27	362.0	362.0	['MODIFIED_DATE_INVALID', 'INSTITUTION_MATCH_NONE']		2024-01-25T07:20:23.231+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '5ef02a26-fa36-11e2-96b3-aa6f927c92a3'}]	[]	[]	[]	False		NZOI		WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	OCEANIA	5ef02a26-fa36-11e2-96b3-aa6f927c92a3	6688	urn:lsid:marinespecies.org:taxname:173314	NIWA Invertebrate Collection		4081056155	NIWA		5ef02a26-fa36-11e2-96b3-aa6f927c92a3	500.0	0.0	NIWA Invertebrate Collection	Specimen(s), Unknown = 2	O140	POINT (167.3833 -78.0667)	en																															
1804303184	87f42a91-8dfd-44f1-aabb-8b6ef14aba82	a41250f0-7c3e-11d8-a19c-b8a03c50a862		1bd85d67-1c87-4591-988a-44ff22008d3e	a41250f0-7c3e-11d8-a19c-b8a03c50a862	CA	EML	2024-07-04T18:49:39.484+00:00	2024-07-04T18:50:24.478+00:00	337	{}	PRESERVED_SPECIMEN	PRESENT	2117626	1	54	354	9477065	2013	2117621	2117626	2117626	Heteronymphon exiguum (Hodgson, 1927)	Heteronymphon exiguum (Hodgson, 1927)	Animalia	Arthropoda	Pantopoda	Nymphonidae	Heteronymphon	Heteronymphon exiguum	Heteronymphon	exiguum	SPECIES	ACCEPTED	NE	-62.6667	-60.3667		ANTARCTICA	{'level0': {'gid': 'ATA', 'name': 'Antarctica'}}	1970.0	2.0	5.0	1970-02-05	36.0	36.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'CONTINENT_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2021-10-01T19:47:00.000+00:00	2024-07-04T18:50:24.478+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '1413bde6-5ba9-ba94-8db6-3b6e4b515233'}]	[]	[]	[]	False		Mills, Eric L.	Bamber, Roger N.	WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	NORTH_AMERICA	1413bde6-5ba9-ba94-8db6-3b6e4b515233	CMNC 1993-0071		CMN	South Bay	1804303184	CMNC	Heteronymphon exiguum (CMNC 1993-0071)	1413bde6-5ba9-ba94-8db6-3b6e4b515233			Crustacea	fluid	Mills-19700205		en	4.0	1993-10-12T00:00:00	c146edb6-3a82-473c-b337-4acaa92f9513	0a009cbb-94c4-4bc5-9da4-cd6ad5a0e830	Canadian Museum of Nature	http://biocol.org/urn:lsid:biocol.org:col:34935	1970-02-05	Livingston I.	PhysicalObject	includes 1 gravid female; includes 1 gravid female\nPrior Description: false	Animalia; Arthropoda; Chelicerata; Pycnogonida; Pantopoda; Nymphonidae; Heteronymphon;	http://grbio.org/cool/sjd8-70zp																			
1019678553	da6a07ed-9eee-460d-9448-910f542c1a7b	2cd829bb-b713-433d-99cf-64bef11e5b3e	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	86c2834b-fcd6-418d-9b32-aca45110a0fe	2cd829bb-b713-433d-99cf-64bef11e5b3e	FR	EML	2024-07-24T12:23:52.237+00:00	2024-07-24T12:24:40.128+00:00	564	{'http://rs.tdwg.org/dwc/terms/Identification': [{'http://rs.tdwg.org/dwc/terms/namePublishedInYear': '1927', 'http://rs.tdwg.org/dwc/terms/order': 'Pantopoda', 'http://rs.tdwg.org/dwc/terms/higherClassification': 'Heteronymphon;Nymphonidae;Pantopoda;Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificNameAuthorship': '(Hodgson, 1927)', 'http://rs.tdwg.org/dwc/terms/class': 'Pycnogonida', 'http://rs.tdwg.org/dwc/terms/identificationID': 'INVMAR|207009', 'http://rs.tdwg.org/dwc/terms/family': 'Nymphonidae', 'http://rs.tdwg.org/dwc/terms/genus': 'Heteronymphon', 'http://rs.tdwg.org/dwc/terms/specificEpithet': 'exiguum', 'http://rs.tdwg.org/dwc/terms/identificationVerificationStatus': '1', 'http://rs.tdwg.org/dwc/terms/taxonID': 'INVMAR|24361', 'http://rs.tdwg.org/dwc/terms/identifiedBy': 'Arnaud F.', 'http://rs.tdwg.org/dwc/terms/phylum': 'Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificName': 'Heteronymphon exiguum (Hodgson, 1927)'}]}	PRESERVED_SPECIMEN	PRESENT	2117626	1	54	354	9477065	2013	2117621	2117626	2117626	Heteronymphon exiguum (Hodgson, 1927)	Heteronymphon exiguum (Hodgson, 1927)	Animalia	Arthropoda	Pantopoda	Nymphonidae	Heteronymphon	Heteronymphon exiguum	Heteronymphon	exiguum	SPECIES	ACCEPTED	NE	-62.93	-60.62667	146.0	ANTARCTICA	{}	1969.0	3.0	2.0	1969-03-02	61.0	61.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_INVALID', 'COUNTRY_DERIVED_FROM_COORDINATES', 'CONTINENT_INVALID', 'CONTINENT_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'INSTITUTION_MATCH_FUZZY']	2016-06-29T17:13:10.000+00:00	2024-07-24T12:24:40.128+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'http://coldb.mnhn.fr/catalognumber/mnhn/iu/2009-4166'}]	[]	[]	[]	False			Arnaud F.	WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	EUROPE	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2009-4166	2009-4166		MNHN	Ile de la Déception	1019678553	IU		http://coldb.mnhn.fr/catalognumber/mnhn/iu/2009-4166								1.0		6a6ac6c5-1b8a-48db-91a2-f8661274ff80	0641bf3b-29ad-42c9-b3c7-ffb5a76f6954								10.15468/qgvvhd	Iles Shetland du Sud	ANTARCTIQUE CHILIENNE 1968-69/69-10(2)	Baie Port Foster & extérieur																
1019678529	da6a07ed-9eee-460d-9448-910f542c1a7b	2cd829bb-b713-433d-99cf-64bef11e5b3e	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	86c2834b-fcd6-418d-9b32-aca45110a0fe	2cd829bb-b713-433d-99cf-64bef11e5b3e	FR	EML	2024-07-24T12:23:52.237+00:00	2024-07-24T12:24:40.128+00:00	564	{'http://rs.tdwg.org/dwc/terms/Identification': [{'http://rs.tdwg.org/dwc/terms/namePublishedInYear': '1927', 'http://rs.tdwg.org/dwc/terms/order': 'Pantopoda', 'http://rs.tdwg.org/dwc/terms/higherClassification': 'Heteronymphon;Nymphonidae;Pantopoda;Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificNameAuthorship': '(Hodgson, 1927)', 'http://rs.tdwg.org/dwc/terms/class': 'Pycnogonida', 'http://rs.tdwg.org/dwc/terms/identificationID': 'INVMAR|207008', 'http://rs.tdwg.org/dwc/terms/family': 'Nymphonidae', 'http://rs.tdwg.org/dwc/terms/genus': 'Heteronymphon', 'http://rs.tdwg.org/dwc/terms/specificEpithet': 'exiguum', 'http://rs.tdwg.org/dwc/terms/identificationVerificationStatus': '1', 'http://rs.tdwg.org/dwc/terms/taxonID': 'INVMAR|24361', 'http://rs.tdwg.org/dwc/terms/identifiedBy': 'Arnaud F.', 'http://rs.tdwg.org/dwc/terms/phylum': 'Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificName': 'Heteronymphon exiguum (Hodgson, 1927)'}]}	PRESERVED_SPECIMEN	PRESENT	2117626	1	54	354	9477065	2013	2117621	2117626	2117626	Heteronymphon exiguum (Hodgson, 1927)	Heteronymphon exiguum (Hodgson, 1927)	Animalia	Arthropoda	Pantopoda	Nymphonidae	Heteronymphon	Heteronymphon exiguum	Heteronymphon	exiguum	SPECIES	ACCEPTED	NE	-62.5	-59.676666	60.0	ANTARCTICA	{'level0': {'gid': 'ATA', 'name': 'Antarctica'}}	1968.0	1.0	12.0	1968-01-12	12.0	12.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_INVALID', 'COUNTRY_DERIVED_FROM_COORDINATES', 'CONTINENT_INVALID', 'CONTINENT_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'INSTITUTION_MATCH_FUZZY']	2016-06-29T17:13:02.000+00:00	2024-07-24T12:24:40.128+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'http://coldb.mnhn.fr/catalognumber/mnhn/iu/2009-4165'}]	[]	[]	[]	False			Arnaud F.	WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	EUROPE	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2009-4165	2009-4165		MNHN	Ile Greenwich	1019678529	IU		http://coldb.mnhn.fr/catalognumber/mnhn/iu/2009-4165								5.0		6a6ac6c5-1b8a-48db-91a2-f8661274ff80	0641bf3b-29ad-42c9-b3c7-ffb5a76f6954								10.15468/qgvvhd	Iles Shetland du Sud	ANTARCTIQUE CHILIENNE 1968-69/69-30	Bahía Chile																
4444206000	97169dfa-325b-4c1e-af91-3ef023f8a498	9abe4949-29aa-450e-b767-b2788f66e04d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	da87027f-12b5-442f-b132-0f6f25acfd53	9abe4949-29aa-450e-b767-b2788f66e04d	RU	EML	2024-06-18T12:44:43.404+00:00	2024-06-18T12:44:58.966+00:00	69	{}	PRESERVED_SPECIMEN	PRESENT	2117626	1	54	354	9477065	2013	2117621	2117626	2117626	Heteronymphon exiguum (Hodgson, 1927)	Heteronymphon exiguum (Hodgson, 1927)	Animalia	Arthropoda	Pantopoda	Nymphonidae	Heteronymphon	Heteronymphon exiguum	Heteronymphon	exiguum	SPECIES	ACCEPTED	NE	-66.538582	-92.9814172			{}	1966.0	1.0	3.0	1966-01-03	3.0	3.0	['COORDINATE_REPROJECTED']		2024-06-18T12:44:58.966+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': 'b07c4344-993d-43f1-ae39-b9f4271741c5'}]	[]	[]	[]	False			Pushkin, A.	WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	EUROPE	b07c4344-993d-43f1-ae39-b9f4271741c5	INV0002744		IORAS	Tokarev Isl, Davis Sea	4444206000	OBFc		b07c4344-993d-43f1-ae39-b9f4271741c5				EtOH 75%				1.0		51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	fd699988-ab5d-4737-9443-9085cea191d2		51e76603-9190-4d7e-9fa4-1ea3b4d4ff86						fd699988-ab5d-4737-9443-9085cea191d2		6		Davis Sea	Diving	__st.6	34.0 m	IORAS											
4081080679	4d0b1b2a-3209-49ce-bb93-7503e4868019	c58ac019-b413-4613-8772-39e57acbeb8e	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f0d34585-ddcb-4915-9332-6043585e831a	c58ac019-b413-4613-8772-39e57acbeb8e	NZ	EML	2023-06-07T18:53:24.650+00:00	2024-01-25T07:20:23.239+00:00	166	{}	PRESERVED_SPECIMEN	PRESENT	2117626	1	54	354	9477065	2013	2117621	2117626	2117626	Heteronymphon exiguum (Hodgson, 1927)	Heteronymphon exiguum (Hodgson, 1927)	Animalia	Arthropoda	Pantopoda	Nymphonidae	Heteronymphon	Heteronymphon exiguum	Heteronymphon	exiguum	SPECIES	ACCEPTED	NE	-74.5	179.6667	268.0		{}	1959.0	1.0	15.0	1959-01-15	15.0	15.0	['CONTINENT_COORDINATE_MISMATCH', 'MODIFIED_DATE_INVALID', 'INSTITUTION_MATCH_NONE']		2024-01-25T07:20:23.239+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '5fb51372-fa36-11e2-96b3-aa6f927c92a3'}]	[]	[]	[]	False		NZOI		WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	OCEANIA	5fb51372-fa36-11e2-96b3-aa6f927c92a3	9413	urn:lsid:marinespecies.org:taxname:173314	NIWA Invertebrate Collection		4081080679	NIWA		5fb51372-fa36-11e2-96b3-aa6f927c92a3	500.0	33.0	NIWA Invertebrate Collection	Specimen(s), None = 1	A456	POINT (179.6667 -74.5)	en																	Trawl, Agassiz small														
4081098010	4d0b1b2a-3209-49ce-bb93-7503e4868019	c58ac019-b413-4613-8772-39e57acbeb8e	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f0d34585-ddcb-4915-9332-6043585e831a	c58ac019-b413-4613-8772-39e57acbeb8e	NZ	EML	2023-06-07T18:53:24.650+00:00	2024-01-25T07:20:25.563+00:00	166	{}	PRESERVED_SPECIMEN	PRESENT	2117626	1	54	354	9477065	2013	2117621	2117626	2117626	Heteronymphon exiguum (Hodgson, 1927)	Heteronymphon exiguum (Hodgson, 1927)	Animalia	Arthropoda	Pantopoda	Nymphonidae	Heteronymphon	Heteronymphon exiguum	Heteronymphon	exiguum	SPECIES	ACCEPTED	NE	-44.65	167.9083	241.0	OCEANIA	{}	1957.0	1.0	27.0	1957-01-27	27.0	27.0	['MODIFIED_DATE_INVALID', 'INSTITUTION_MATCH_NONE']		2024-01-25T07:20:25.563+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '5f6d2a6c-fa36-11e2-96b3-aa6f927c92a3'}]	[]	[]	[]	False		NZOI		WGS84	Pycnogonida	NZ	[]	[]	OCEANIA	New Zealand	OCEANIA	5f6d2a6c-fa36-11e2-96b3-aa6f927c92a3	9199	urn:lsid:marinespecies.org:taxname:173314	NIWA Invertebrate Collection		4081098010	NIWA		5f6d2a6c-fa36-11e2-96b3-aa6f927c92a3	500.0		NIWA Invertebrate Collection	Specimen(s), None = 1	A320	POINT (167.9083 -44.65)	en																	Dredge, cone														
1056269734	7e380070-f762-11e1-a439-00145eb45e9a	19456090-b49a-11d8-abeb-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655', '99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	60277b56-f762-11e1-a439-00145eb45e9a	19456090-b49a-11d8-abeb-b8a03c50a862	GB	DWC_ARCHIVE	2024-07-23T03:26:56.939+00:00	2024-07-23T06:17:59.622+00:00	391	{'http://rs.gbif.org/terms/1.0/Multimedia': [{'http://purl.org/dc/terms/type': 'StillImage', 'http://purl.org/dc/terms/title': 'Zoology Accessions Register: Crustacea: 1969 - 1976: page 212', 'http://purl.org/dc/terms/created': '1187781877000', 'http://purl.org/dc/terms/license': 'http://creativecommons.org/licenses/by/4.0/', 'http://purl.org/dc/terms/rightsHolder': 'The Trustees of the Natural History Museum, London', 'http://purl.org/dc/terms/identifier': 'https://data.nhm.ac.uk/media/1f8245b9-0d3b-45ab-ba8e-acab2b16b219'}]}	PRESERVED_SPECIMEN	PRESENT	2117626	1	54	354	9477065	2013	2117621	2117626	2117626	Heteronymphon exiguum (Hodgson, 1927)	Heteronymphon exiguum (Hodgson, 1927)	Animalia	Arthropoda	Pantopoda	Nymphonidae	Heteronymphon	Heteronymphon exiguum	Heteronymphon	exiguum	SPECIES	ACCEPTED	NE	-65.116667	107.483333	502.0		{}	1931.0	2.0	3.0	1931-02-03	34.0	34.0	['COORDINATE_ROUNDED', 'GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'MODIFIED_DATE_INVALID', 'MULTIMEDIA_DATE_INVALID', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']		2024-07-23T06:17:59.622+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': '2251903'}]	[{'type': 'StillImage', 'title': 'Zoology Accessions Register: Crustacea: 1969 - 1976: page 212', 'license': 'http://creativecommons.org/licenses/by/4.0/', 'rightsHolder': 'The Trustees of the Natural History Museum, London', 'identifier': 'https://data.nhm.ac.uk/media/1f8245b9-0d3b-45ab-ba8e-acab2b16b219'}]	[]	[]	False			Isabella Gordon	WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	EUROPE	2251903	1975.395		NHMUK		1056269734	ZOO		597a4251-10d5-4d9c-98cb-6198121e3c1e								1.0		1d808a7c-1f9e-4379-9616-edb749ecf10e								Arthropoda; Chelicerata; Pycnogonida; Pantopoda; Nymphonidae			100							NHMUK:ecatalogue:2251903	"{""associatedMediaCount"": 1, ""barcode"": ""011004193"", ""catalogueDescription"": null, ""chondriteAchondrite"": null, ""chronostratigraphy"": null, ""clutchSize"": null, ""collectionKind"": null, ""collectionName"": null, ""commodity"": null, ""created"": 1313162662000, ""currentScientificName"": null, ""dateRegistered"": null, ""depositType"": null, ""determinationFiledAs"": null, ""determinationNames"": ""Heteronymphon exiguum (Hodgson, 1927)"", ""determinationTypes"": null, ""donorName"": null, ""expedition"": ""BANZ Antarctic Research Expedition"", ""exsiccata"": null, ""exsiccataNumber"": null, ""extractionMethod"": null, ""gbifID"": ""1056269734"", ""gbifIssue"": [""COORDINATE_ROUNDED"", ""GEODETIC_DATUM_ASSUMED_WGS84"", ""COUNTRY_DERIVED_FROM_COORDINATES""], ""identificationAsRegistered"": null, ""identificationDescription"": null, ""identificationOther"": null, ""identificationVariety"": null, ""kindOfCollection"": null, ""kindOfObject"": null, ""lithostratigraphy"": null, ""meteoriteClass"": null, ""meteoriteGroup"": null, ""meteoriteType"": null, ""mine"": null, ""mineralComplex"": null, ""observedWeight"": null, ""occurrence"": null, ""partType"": null, ""petrologySubtype"": null, ""petrologyType"": null, ""plantDescription"": null, ""populationCode"": null, ""preparationType"": null, ""preservative"": null, ""project"": null, ""recovery"": null, ""recoveryDate"": null, ""recoveryWeight"": null, ""registeredWeightUnit"": null, ""registrationCode"": ""CR05"", ""resuspendedIn"": null, ""setMark"": null, ""subDepartment"": ""LS Chelicerata and Myriapoda"", ""subfamily"": null, ""suborder"": null, ""superfamily"": null, ""texture"": null, ""totalVolume"": null, ""vessel"": null}"									
1427444384	96385e98-93b5-4e4a-8081-6e30b738816a	1c9c3bb4-377c-4547-aa79-16ea755d6006	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f0d34585-ddcb-4915-9332-6043585e831a	c58ac019-b413-4613-8772-39e57acbeb8e	NZ	EML	2024-01-26T19:11:10.740+00:00	2024-01-29T08:18:03.698+00:00	259	{}	HUMAN_OBSERVATION	PRESENT	4338459	1	54	354	9477065	2013	2117621	2117626	2117626	Heteronymphon kempi Gordon, 1932	Heteronymphon exiguum (Hodgson, 1927)	Animalia	Arthropoda	Pantopoda	Nymphonidae	Heteronymphon	Heteronymphon exiguum	Heteronymphon	kempi	SPECIES	SYNONYM	NE	-54.2633	-36.4382	85.0	ANTARCTICA	{}	1927.0	3.0	9.0	1927-03-09	68.0	68.0	['COUNTRY_DERIVED_FROM_COORDINATES', 'CONTINENT_DERIVED_FROM_COORDINATES']	2019-03-15T00:00:00.000+00:00	2024-01-29T08:18:03.698+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': '5420'}]	[]	[]	[]	False				WGS84	Pycnogonida	GS	[]	[]	ANTARCTICA	South Georgia and the South Sandwich Islands	OCEANIA	5420	Stn MS 71 Heteronymphon kempi	urn:lsid:marinespecies.org:taxname:379416	NIWA	East Cumberland Bay, South Georgia. 9.25 cables E x S to 1.2 miles E x S of Sappho Point	1427444384	Discovery Reports		5420	500.0	25.0	Discovery Expedition Biological Reports			LINESTRING (-36.4343 -54.2656, -36.442 -54.261)	en	3.0									Small beam trawl. Beam 2.45m in length: 12.5mm mesh at cod end				Stn MS 71		Atlantic Ocean	Small beam trawl. Beam 2.45m in length: 12.5mm mesh at cod end	8					FEMALE								
