key	datasetKey	publishingOrgKey	networkKeys	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	projectId	extensions	basisOfRecord	occurrenceStatus	sex	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	depth	depthAccuracy	gadm	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	lastInterpreted	license	organismQuantity	organismQuantityType	isSequenced	identifiers	media	facts	relations	institutionKey	isInCluster	identifiedBy	preparations	samplingProtocol	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	eventID	identifier	scientificNameID	institutionID	verbatimEventDate	footprintWKT	fieldNumber	language	gbifID	occurrenceID	type	catalogNumber	institutionCode	occurrenceRemarks	identificationRemarks	lifeStage	individualCount	dateIdentified	continent	modified	datasetName	otherCatalogNumbers	associatedReferences	collectionCode	waterBody	collectionKey	recordedBy	locality	verbatimDepth	ownerInstitutionCode	parentEventID	collectionID	rightsHolder	county	locationID	bibliographicCitation	higherClassification	datasetID	nomenclaturalCode	verbatimLocality	taxonID	disposition	parentNameUsage	recordNumber	materialEntityID	dynamicProperties	typeStatus	http://unknown.org/occurrenceDetails	references
3386517292	1e7b6980-0842-4c4a-8b14-541b95d2ed3c	104e9c96-791b-4f14-978c-f581cb214912	['8534dd20-c368-4a1f-bdaf-e6b390710f89', '2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	27c24cba-13c5-47d1-96a1-16abd8f11437	fb10a11f-4417-41c8-be6a-13a5c8535122	GB	EML	2024-01-23T14:13:17.412+00:00	2024-01-26T10:52:24.945+00:00	97	GOIPG/2019/4020	{}	PRESERVED_SPECIMEN	PRESENT	MALE	2117667	1	54	354	9477065	2013	2117630	2117667	2117667	Nymphon bouvieri Gordon, 1932	Nymphon bouvieri Gordon, 1932	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon bouvieri	Nymphon	bouvieri	SPECIES	ACCEPTED	NE	-61.5359	-47.1336	266.0	781.5	9.5	{}	2016.0	3.0	3.0	2016-03-03	63.0	63.0	['COLLECTION_MATCH_NONE']	2024-01-26T10:52:24.945+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	4.0	individuals	False	[{'identifier': 'JR15005_0279'}]	[]	[]	[]	da671615-9a15-4844-9d5e-ef66382192fb	False	Jamie Maxwell	96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr15005.pdf	WGS84	Pycnogonida	AQ	[]	[{'type': 'ORCID', 'value': 'https://orcid.org/0000-0001-5705-2811'}]	ANTARCTICA	Antarctica	EUROPE	JR15005	JR15005_0279	urn:lsid:marinespecies.org:taxname:173377	https://ror.org/01rhff309	3/3/2016	LINESTRING (-47.12975 -61.53737, -47.13748 -61.53434)	JR15005_15	en	3386517292	JR15005_0279	PhysicalObject	JR15005_0279	BAS	Larvae present																																			
3386517133	1e7b6980-0842-4c4a-8b14-541b95d2ed3c	104e9c96-791b-4f14-978c-f581cb214912	['8534dd20-c368-4a1f-bdaf-e6b390710f89', '2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	27c24cba-13c5-47d1-96a1-16abd8f11437	fb10a11f-4417-41c8-be6a-13a5c8535122	GB	EML	2024-01-23T14:13:17.412+00:00	2024-01-26T10:52:24.838+00:00	97	GOIPG/2019/4020	{}	PRESERVED_SPECIMEN	PRESENT	MALE	2117667	1	54	354	9477065	2013	2117630	2117667	2117667	Nymphon bouvieri Gordon, 1932	Nymphon bouvieri Gordon, 1932	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon bouvieri	Nymphon	bouvieri	SPECIES	ACCEPTED	NE	-61.5359	-47.1336	266.0	781.5	9.5	{}	2016.0	3.0	3.0	2016-03-03	63.0	63.0	['COLLECTION_MATCH_NONE']	2024-01-26T10:52:24.838+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	1.0	individuals	False	[{'identifier': 'JR15005_0279a'}]	[]	[]	[]	da671615-9a15-4844-9d5e-ef66382192fb	False	Jamie Maxwell	96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr15005.pdf	WGS84	Pycnogonida	AQ	[]	[{'type': 'ORCID', 'value': 'https://orcid.org/0000-0001-5705-2811'}]	ANTARCTICA	Antarctica	EUROPE	JR15005	JR15005_0279a	urn:lsid:marinespecies.org:taxname:173377	https://ror.org/01rhff309	3/3/2016	LINESTRING (-47.12975 -61.53737, -47.13748 -61.53434)	JR15005_15	en	3386517133	JR15005_0279a	PhysicalObject	JR15005_0279a	BAS	Larvae present																																			
3386517372	1e7b6980-0842-4c4a-8b14-541b95d2ed3c	104e9c96-791b-4f14-978c-f581cb214912	['8534dd20-c368-4a1f-bdaf-e6b390710f89', '2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	27c24cba-13c5-47d1-96a1-16abd8f11437	fb10a11f-4417-41c8-be6a-13a5c8535122	GB	EML	2024-01-23T14:13:17.412+00:00	2024-01-26T10:52:24.962+00:00	97	GOIPG/2019/4020	{}	PRESERVED_SPECIMEN	PRESENT		2117667	1	54	354	9477065	2013	2117630	2117667	2117667	Nymphon bouvieri Gordon, 1932	Nymphon bouvieri Gordon, 1932	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon bouvieri	Nymphon	bouvieri	SPECIES	ACCEPTED	NE	-62.1662	-44.9846	229.0	533.0	2.0	{}	2016.0	3.0	5.0	2016-03-05	65.0	65.0	['COLLECTION_MATCH_NONE']	2024-01-26T10:52:24.962+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	3.0	individuals	False	[{'identifier': 'JR15005_0543_03'}]	[]	[]	[]	da671615-9a15-4844-9d5e-ef66382192fb	False	Jamie Maxwell	96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr15005.pdf	WGS84	Pycnogonida	AQ	[]	[{'type': 'ORCID', 'value': 'https://orcid.org/0000-0001-5705-2811'}]	ANTARCTICA	Antarctica	EUROPE	JR15005	JR15005_0543_03	urn:lsid:marinespecies.org:taxname:173377	https://ror.org/01rhff309	5/3/2016	LINESTRING (-44.98298 -62.16809, -44.98613 -62.16425)	JR15005_31	en	3386517372	JR15005_0543_03	PhysicalObject	JR15005_0543_03	BAS																																				
3386516346	1e7b6980-0842-4c4a-8b14-541b95d2ed3c	104e9c96-791b-4f14-978c-f581cb214912	['8534dd20-c368-4a1f-bdaf-e6b390710f89', '2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	27c24cba-13c5-47d1-96a1-16abd8f11437	fb10a11f-4417-41c8-be6a-13a5c8535122	GB	EML	2024-01-23T14:13:17.412+00:00	2024-01-26T10:52:24.281+00:00	97	GOIPG/2019/4020	{}	PRESERVED_SPECIMEN	PRESENT		2117667	1	54	354	9477065	2013	2117630	2117667	2117667	Nymphon bouvieri Gordon, 1932	Nymphon bouvieri Gordon, 1932	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon bouvieri	Nymphon	bouvieri	SPECIES	ACCEPTED	NE	-62.1593	-44.988	270.0	527.0	3.0	{}	2016.0	3.0	5.0	2016-03-05	65.0	65.0	['COLLECTION_MATCH_NONE']	2024-01-26T10:52:24.281+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	17.0	individuals	False	[{'identifier': 'JR15005_0637_05'}]	[]	[]	[]	da671615-9a15-4844-9d5e-ef66382192fb	False	Jamie Maxwell	96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr15005.pdf	WGS84	Pycnogonida	AQ	[]	[{'type': 'ORCID', 'value': 'https://orcid.org/0000-0001-5705-2811'}]	ANTARCTICA	Antarctica	EUROPE	JR15005	JR15005_0637_05	urn:lsid:marinespecies.org:taxname:173377	https://ror.org/01rhff309	5/3/2016	LINESTRING (-44.98773 -62.16168, -44.98834 -62.15685)	JR15005_32	en	3386516346	JR15005_0637_05	PhysicalObject	JR15005_0637_05	BAS																																				
3386516953	1e7b6980-0842-4c4a-8b14-541b95d2ed3c	104e9c96-791b-4f14-978c-f581cb214912	['8534dd20-c368-4a1f-bdaf-e6b390710f89', '2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	27c24cba-13c5-47d1-96a1-16abd8f11437	fb10a11f-4417-41c8-be6a-13a5c8535122	GB	EML	2024-01-23T14:13:17.412+00:00	2024-01-26T10:52:24.766+00:00	97	GOIPG/2019/4020	{}	PRESERVED_SPECIMEN	PRESENT		2117667	1	54	354	9477065	2013	2117630	2117667	2117667	Nymphon bouvieri Gordon, 1932	Nymphon bouvieri Gordon, 1932	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon bouvieri	Nymphon	bouvieri	SPECIES	ACCEPTED	NE	-62.152	-44.989	253.0	536.5	19.5	{}	2016.0	3.0	6.0	2016-03-06	66.0	66.0	['COLLECTION_MATCH_NONE']	2024-01-26T10:52:24.766+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	8.0	individuals	False	[{'identifier': 'JR15005_0706_05'}]	[]	[]	[]	da671615-9a15-4844-9d5e-ef66382192fb	False	Jamie Maxwell	96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr15005.pdf	WGS84	Pycnogonida	AQ	[]	[{'type': 'ORCID', 'value': 'https://orcid.org/0000-0001-5705-2811'}]	ANTARCTICA	Antarctica	EUROPE	JR15005	JR15005_0706_05	urn:lsid:marinespecies.org:taxname:173377	https://ror.org/01rhff309	6/3/2016	LINESTRING (-44.99019 -62.15421, -44.98773 -62.14981)	JR15005_33	en	3386516953	JR15005_0706_05	PhysicalObject	JR15005_0706_05	BAS																																				
3386517060	1e7b6980-0842-4c4a-8b14-541b95d2ed3c	104e9c96-791b-4f14-978c-f581cb214912	['8534dd20-c368-4a1f-bdaf-e6b390710f89', '2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	27c24cba-13c5-47d1-96a1-16abd8f11437	fb10a11f-4417-41c8-be6a-13a5c8535122	GB	EML	2024-01-23T14:13:17.412+00:00	2024-01-26T10:52:24.810+00:00	97	GOIPG/2019/4020	{}	PRESERVED_SPECIMEN	PRESENT	MALE	2117667	1	54	354	9477065	2013	2117630	2117667	2117667	Nymphon bouvieri Gordon, 1932	Nymphon bouvieri Gordon, 1932	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon bouvieri	Nymphon	bouvieri	SPECIES	ACCEPTED	NE	-60.3567	-46.6863	257.0	502.5	37.5	{}	2016.0	3.0	9.0	2016-03-09	69.0	69.0	['COLLECTION_MATCH_NONE']	2024-01-26T10:52:24.810+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	64.0	individuals	False	[{'identifier': 'JR15005_1092_09'}]	[]	[]	[]	da671615-9a15-4844-9d5e-ef66382192fb	False	Jamie Maxwell	96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr15005.pdf	WGS84	Pycnogonida	AQ	[]	[{'type': 'ORCID', 'value': 'https://orcid.org/0000-0001-5705-2811'}]	ANTARCTICA	Antarctica	EUROPE	JR15005	JR15005_1092_09	urn:lsid:marinespecies.org:taxname:173377	https://ror.org/01rhff309	9/3/2016	LINESTRING (-46.68423 -60.35469, -46.68845 -60.3588)	JR15005_61	en	3386517060	JR15005_1092_09	PhysicalObject	JR15005_1092_09	BAS	Eggs and larvae																																			
3386516472	1e7b6980-0842-4c4a-8b14-541b95d2ed3c	104e9c96-791b-4f14-978c-f581cb214912	['8534dd20-c368-4a1f-bdaf-e6b390710f89', '2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	27c24cba-13c5-47d1-96a1-16abd8f11437	fb10a11f-4417-41c8-be6a-13a5c8535122	GB	EML	2024-01-23T14:13:17.412+00:00	2024-01-26T10:52:24.333+00:00	97	GOIPG/2019/4020	{}	PRESERVED_SPECIMEN	PRESENT	MALE	2117667	1	54	354	9477065	2013	2117630	2117667	2117667	Nymphon bouvieri Gordon, 1932	Nymphon bouvieri Gordon, 1932	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon bouvieri	Nymphon	bouvieri	SPECIES	ACCEPTED	NE	-60.3567	-46.6863	257.0	502.5	37.5	{}	2016.0	3.0	9.0	2016-03-09	69.0	69.0	['COLLECTION_MATCH_NONE']	2024-01-26T10:52:24.333+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	1.0	individuals	False	[{'identifier': 'JR15005_1092_09a'}]	[]	[]	[]	da671615-9a15-4844-9d5e-ef66382192fb	False	Jamie Maxwell	96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr15005.pdf	WGS84	Pycnogonida	AQ	[]	[{'type': 'ORCID', 'value': 'https://orcid.org/0000-0001-5705-2811'}]	ANTARCTICA	Antarctica	EUROPE	JR15005	JR15005_1092_09a	urn:lsid:marinespecies.org:taxname:173377	https://ror.org/01rhff309	9/3/2016	LINESTRING (-46.68423 -60.35469, -46.68845 -60.3588)	JR15005_61	en	3386516472	JR15005_1092_09a	PhysicalObject	JR15005_1092_09a	BAS	Eggs and larvae																																			
3386516473	1e7b6980-0842-4c4a-8b14-541b95d2ed3c	104e9c96-791b-4f14-978c-f581cb214912	['8534dd20-c368-4a1f-bdaf-e6b390710f89', '2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	27c24cba-13c5-47d1-96a1-16abd8f11437	fb10a11f-4417-41c8-be6a-13a5c8535122	GB	EML	2024-01-23T14:13:17.412+00:00	2024-01-26T10:52:24.336+00:00	97	GOIPG/2019/4020	{}	PRESERVED_SPECIMEN	PRESENT	MALE	2117667	1	54	354	9477065	2013	2117630	2117667	2117667	Nymphon bouvieri Gordon, 1932	Nymphon bouvieri Gordon, 1932	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon bouvieri	Nymphon	bouvieri	SPECIES	ACCEPTED	NE	-60.3567	-46.6863	257.0	502.5	37.5	{}	2016.0	3.0	9.0	2016-03-09	69.0	69.0	['COLLECTION_MATCH_NONE']	2024-01-26T10:52:24.336+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	1.0	individuals	False	[{'identifier': 'JR15005_1092_09b'}]	[]	[]	[]	da671615-9a15-4844-9d5e-ef66382192fb	False	Jamie Maxwell	96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr15005.pdf	WGS84	Pycnogonida	AQ	[]	[{'type': 'ORCID', 'value': 'https://orcid.org/0000-0001-5705-2811'}]	ANTARCTICA	Antarctica	EUROPE	JR15005	JR15005_1092_09b	urn:lsid:marinespecies.org:taxname:173377	https://ror.org/01rhff309	9/3/2016	LINESTRING (-46.68423 -60.35469, -46.68845 -60.3588)	JR15005_61	en	3386516473	JR15005_1092_09b	PhysicalObject	JR15005_1092_09b	BAS	Eggs and larvae																																			
3386516474	1e7b6980-0842-4c4a-8b14-541b95d2ed3c	104e9c96-791b-4f14-978c-f581cb214912	['8534dd20-c368-4a1f-bdaf-e6b390710f89', '2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	27c24cba-13c5-47d1-96a1-16abd8f11437	fb10a11f-4417-41c8-be6a-13a5c8535122	GB	EML	2024-01-23T14:13:17.412+00:00	2024-01-26T10:52:24.335+00:00	97	GOIPG/2019/4020	{}	PRESERVED_SPECIMEN	PRESENT	MALE	2117667	1	54	354	9477065	2013	2117630	2117667	2117667	Nymphon bouvieri Gordon, 1932	Nymphon bouvieri Gordon, 1932	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon bouvieri	Nymphon	bouvieri	SPECIES	ACCEPTED	NE	-60.3567	-46.6863	257.0	502.5	37.5	{}	2016.0	3.0	9.0	2016-03-09	69.0	69.0	['COLLECTION_MATCH_NONE']	2024-01-26T10:52:24.335+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	1.0	individuals	False	[{'identifier': 'JR15005_1092_09c'}]	[]	[]	[]	da671615-9a15-4844-9d5e-ef66382192fb	False	Jamie Maxwell	96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr15005.pdf	WGS84	Pycnogonida	AQ	[]	[{'type': 'ORCID', 'value': 'https://orcid.org/0000-0001-5705-2811'}]	ANTARCTICA	Antarctica	EUROPE	JR15005	JR15005_1092_09c	urn:lsid:marinespecies.org:taxname:173377	https://ror.org/01rhff309	9/3/2016	LINESTRING (-46.68423 -60.35469, -46.68845 -60.3588)	JR15005_61	en	3386516474	JR15005_1092_09c	PhysicalObject	JR15005_1092_09c	BAS	Eggs and larvae																																			
3386517345	1e7b6980-0842-4c4a-8b14-541b95d2ed3c	104e9c96-791b-4f14-978c-f581cb214912	['8534dd20-c368-4a1f-bdaf-e6b390710f89', '2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	27c24cba-13c5-47d1-96a1-16abd8f11437	fb10a11f-4417-41c8-be6a-13a5c8535122	GB	EML	2024-01-23T14:13:17.412+00:00	2024-01-26T10:52:24.957+00:00	97	GOIPG/2019/4020	{}	PRESERVED_SPECIMEN	PRESENT		2117667	1	54	354	9477065	2013	2117630	2117667	2117667	Nymphon bouvieri Gordon, 1932	Nymphon bouvieri Gordon, 1932	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon bouvieri	Nymphon	bouvieri	SPECIES	ACCEPTED	NE	-60.3567	-46.6863	257.0	502.5	37.5	{}	2016.0	3.0	9.0	2016-03-09	69.0	69.0	['COLLECTION_MATCH_NONE']	2024-01-26T10:52:24.957+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	57.0	individuals	False	[{'identifier': 'JR15005_1098_08'}]	[]	[]	[]	da671615-9a15-4844-9d5e-ef66382192fb	False	Jamie Maxwell	96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr15005.pdf	WGS84	Pycnogonida	AQ	[]	[{'type': 'ORCID', 'value': 'https://orcid.org/0000-0001-5705-2811'}]	ANTARCTICA	Antarctica	EUROPE	JR15005	JR15005_1098_08	urn:lsid:marinespecies.org:taxname:173377	https://ror.org/01rhff309	9/3/2016	LINESTRING (-46.68423 -60.35469, -46.68845 -60.3588)	JR15005_61	en	3386517345	JR15005_1098_08	PhysicalObject	JR15005_1098_08	BAS																																				
