key	datasetKey	publishingOrgKey	networkKeys	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	individualCount	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	coordinatePrecision	stateProvince	gadm	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	modified	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	institutionKey	isInCluster	datasetName	otherCatalogNumbers	recordedBy	identifiedBy	preparations	samplingProtocol	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	eventID	identifier	http://unknown.org/taxonRankID	verbatimLocality	collectionCode	gbifID	occurrenceID	type	catalogNumber	institutionCode	taxonConceptID	eventTime	http://unknown.org/species	sex	dateIdentified	coordinateUncertaintyInMeters	acceptedNameUsage	dynamicProperties	locationRemarks	nameAccordingTo	waterBody	verbatimTaxonRank	continent	depth	depthAccuracy	typeStatus	references	datasetID	scientificNameID	locality	bibliographicCitation
1632847188	fa375330-6c8a-11de-8226-b8a03c50a862	4d0539cd-a2e0-4a2c-8b7d-ec6718eef764	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:22:31.414+00:00	2024-07-02T07:13:39.214+00:00	382	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2117812	1	54	354	9477065	2013	2117630	2117812	2117812	Nymphon bunyipi Clark, 1963	Nymphon bunyipi Clark, 1963	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon bunyipi	Nymphon	bunyipi	SPECIES	ACCEPTED	NE	-37.59244	139.65731	1e-05	South Australia	{}	2008	2.0	7.0	2008-02-07	38.0	38.0	['TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2021-11-19T00:00:00.000+00:00	2024-07-02T07:13:39.214+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'dd07a708-f66f-4273-a59a-86a13225ba65'}]	[]	[]	[]	5d0174cc-48aa-497e-8751-df708df5ccc5	False	Bonney & Du Couedic Canyon Survey (Feb 2008)	ecatalogue.irn:619905	Currie, David|Sardi, Sardi	Conlan, K - Canadian Museum of Nature	Wet Specimen	grab	WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA	urn:emu.sam.sa.gov.au:Event:51955	dd07a708-f66f-4273-a59a-86a13225ba65	7000	BE_100, Bonney Canyon	Marine Invertebrates	1632847188	dd07a708-f66f-4273-a59a-86a13225ba65	PhysicalObject	E4721	SAMA	https://biodiversity.org.au/afd/taxa/c51850b3-5744-4b36-a69a-b81e74f769a1	17:20:	Nymphon bunyipi																		
1100788052	dce8feb0-6c89-11de-8225-b8a03c50a862	770c30d2-c2a8-4bb2-8056-6167297cddae	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:20:52.620+00:00	2024-07-02T07:19:32.823+00:00	384	{}	PRESERVED_SPECIMEN		PRESENT	2117812	1	54	354	9477065	2013	2117630	2117812	2117812	Nymphon bunyipi Clark, 1963	Nymphon bunyipi Clark, 1963	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon bunyipi	Nymphon	bunyipi	SPECIES	ACCEPTED	NE	-38.03166	149.216	1e-05	Victoria	{}	1994	8.0	29.0	1994-08-29	241.0	241.0	['TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']		2024-07-02T07:19:32.823+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '7af5df83-08fc-47a8-bcc8-07de99584f7a'}]	[]	[]	[]	9cfe8cbf-35ff-4d93-b932-cb05d91b7922	False		ecatalogue.irn:1265209|urn:catalog:AM:Invertebrates - Marine & Other:P.78368	Berents, Penelope Blackburne|Australian Museum|Invertebrates, Marine	Krapp, Dr Franz - Zoologisches Forschungsinstitut und Museum Alexander Koenig		benthic sled	WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA	urn:australianmuseum.net.au:Events:1067343	7af5df83-08fc-47a8-bcc8-07de99584f7a	7000	south of Point Hicks	Invertebrates - Marine & Other	1100788052	7af5df83-08fc-47a8-bcc8-07de99584f7a		P.78368	AM	https://biodiversity.org.au/afd/taxa/c51850b3-5744-4b36-a69a-b81e74f769a1		Nymphon bunyipi	FEMALE	2008-01-01T00:00:00	1000.0	Nymphon bunyipi Clark, 1963	{dcterms:type:PhysicalObject,dcterms:modified:2011/11/23,verbatimUncertainty:100m-1km}	ecatalogue.LocCollectionEventLocal: [SS05/94/76] Australia, Victoria, south of Point Hicks (38° 01' 54 S, 149° 13' E) 29/08/1994 - 29/08/1994, benthic sled;	Clark, 1963											
1100763844	dce8feb0-6c89-11de-8225-b8a03c50a862	770c30d2-c2a8-4bb2-8056-6167297cddae	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:20:52.620+00:00	2024-07-02T07:19:56.826+00:00	384	{}	PRESERVED_SPECIMEN		PRESENT	2117812	1	54	354	9477065	2013	2117630	2117812	2117812	Nymphon bunyipi Clark, 1963	Nymphon bunyipi Clark, 1963	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon bunyipi	Nymphon	bunyipi	SPECIES	ACCEPTED	NE	-37.92166	150.03499	1e-05	Victoria	{}	1994	8.0	31.0	1994-08-31	243.0	243.0	['TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']		2024-07-02T07:19:56.826+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'c4944c19-527e-4790-bf7c-bee477ea524f'}]	[]	[]	[]	9cfe8cbf-35ff-4d93-b932-cb05d91b7922	False		ecatalogue.irn:1157584|urn:catalog:AM:Invertebrates - Marine & Other:P.44172	Berents, Penelope Blackburne|Australian Museum|Invertebrates, Marine	Krapp, Dr Franz - Zoologisches Forschungsinstitut und Museum Alexander Koenig		benthic sled	WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA	urn:australianmuseum.net.au:Events:1067278	c4944c19-527e-4790-bf7c-bee477ea524f	7000	south west of Gabo Island	Invertebrates - Marine & Other	1100763844	c4944c19-527e-4790-bf7c-bee477ea524f		P.44172	AM	https://biodiversity.org.au/afd/taxa/c51850b3-5744-4b36-a69a-b81e74f769a1		Nymphon bunyipi	MALE	2008-01-01T00:00:00	1000.0	Nymphon bunyipi Clark, 1963	{dcterms:type:PhysicalObject,dcterms:modified:2019/11/19,verbatimUncertainty:100m-1km}	ecatalogue.LocCollectionEventLocal: [SS05/94/105] Australia, Victoria, south west of Gabo Island (37° 55' 18 S, 150° 02' 06 E) 31/08/1994 - 31/08/1994, benthic sled;	Clark, 1963											
1100788175	dce8feb0-6c89-11de-8225-b8a03c50a862	770c30d2-c2a8-4bb2-8056-6167297cddae	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:20:52.620+00:00	2024-07-02T07:19:46.042+00:00	384	{}	PRESERVED_SPECIMEN		PRESENT	2117812	1	54	354	9477065	2013	2117630	2117812	2117812	Nymphon bunyipi Clark, 1963	Nymphon bunyipi Clark, 1963	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon bunyipi	Nymphon	bunyipi	SPECIES	ACCEPTED	NE	-29.93833	159.07832	1e-05		{}	1987	12.0	13.0	1987-12-13	347.0	347.0	['TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']		2024-07-02T07:19:46.042+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'b919145e-b042-4acd-a1e2-a07d32a93624'}]	[]	[]	[]	9cfe8cbf-35ff-4d93-b932-cb05d91b7922	False		ecatalogue.irn:1268654|urn:catalog:AM:Invertebrates - Marine & Other:P.78474	Elizabeth & Middleton Reefs Expedition, 1987	Krapp, Dr Franz - Zoologisches Forschungsinstitut und Museum Alexander Koenig			WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA	urn:australianmuseum.net.au:Events:1068973	b919145e-b042-4acd-a1e2-a07d32a93624	7000	Elizabeth Reef, north-eastern area of lagoon	Invertebrates - Marine & Other	1100788175	b919145e-b042-4acd-a1e2-a07d32a93624		P.78474	AM	https://biodiversity.org.au/afd/taxa/c51850b3-5744-4b36-a69a-b81e74f769a1		Nymphon bunyipi		2008-01-01T00:00:00	1000.0	Nymphon aff. bunyipi Clark, 1963	{dcterms:type:PhysicalObject,dcterms:modified:2011/11/23,verbatimUncertainty:100m-1km}	ecatalogue.LocCollectionEventLocal: [Site 44] Tasman Sea, Elizabeth Reef, north-eastern area of lagoon (29° 56' 18 S, 159° 04' 42 E) 13/12/1987 - 13/12/1987;	Clark, 1963	Tasman Sea	species									
1100747582	dce8feb0-6c89-11de-8225-b8a03c50a862	770c30d2-c2a8-4bb2-8056-6167297cddae	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:20:52.620+00:00	2024-07-02T07:19:28.276+00:00	384	{}	PRESERVED_SPECIMEN		PRESENT	2117812	1	54	354	9477065	2013	2117630	2117812	2117812	Nymphon bunyipi Clark, 1963	Nymphon bunyipi Clark, 1963	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon bunyipi	Nymphon	bunyipi	SPECIES	ACCEPTED	NE	-37.266	150.15	0.001	New South Wales	{}	1930	5.0		1930-05			['TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']		2024-07-02T07:19:28.276+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '6c89df1a-92a6-4ae8-90c1-1e36f25a8dff'}]	[]	[]	[]	9cfe8cbf-35ff-4d93-b932-cb05d91b7922	False		ecatalogue.irn:1130462|urn:catalog:AM:Invertebrates - Marine & Other:P.13594	Moller, K.	Clark, W. C.		trawl	WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA	urn:australianmuseum.net.au:Events:1019010	6c89df1a-92a6-4ae8-90c1-1e36f25a8dff	7000	8 km off Green Cape	Invertebrates - Marine & Other	1100747582	6c89df1a-92a6-4ae8-90c1-1e36f25a8dff		P.13594	AM	https://biodiversity.org.au/afd/taxa/c51850b3-5744-4b36-a69a-b81e74f769a1		Nymphon bunyipi	MALE		10000.0	Nymphon bunyipi Clark, 1963	{dcterms:type:PhysicalObject,dcterms:modified:2020/2/27,verbatimUncertainty:1km-10km}	ecatalogue.LocCollectionEventLocal: Australia, New South Wales, 8 km off Green Cape (37° 16' S, 150° 09' E) /05/1930 - /05/1930, trawl;	Clark, 1963											
1100747583	dce8feb0-6c89-11de-8225-b8a03c50a862	770c30d2-c2a8-4bb2-8056-6167297cddae	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:20:52.620+00:00	2024-07-02T07:19:53.699+00:00	384	{}	PRESERVED_SPECIMEN		PRESENT	2117812	1	54	354	9477065	2013	2117630	2117812	2117812	Nymphon bunyipi Clark, 1963	Nymphon bunyipi Clark, 1963	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon bunyipi	Nymphon	bunyipi	SPECIES	ACCEPTED	NE	-37.8	149.266	0.001	Victoria	{}	1929	5.0		1929-05			['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']		2024-07-02T07:19:53.699+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'afebbf4c-d2bb-4ca1-a7fd-cd96db176d16'}]	[]	[]	[]	9cfe8cbf-35ff-4d93-b932-cb05d91b7922	False		ecatalogue.irn:1100157|urn:catalog:AM:Invertebrates - Marine & Other:P.13589	Fletcher, H.O.	Clark, W. C.		trawl	WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA	urn:australianmuseum.net.au:Events:1018344	afebbf4c-d2bb-4ca1-a7fd-cd96db176d16	7000	off Cape Everard [= Point Hicks]	Invertebrates - Marine & Other	1100747583	afebbf4c-d2bb-4ca1-a7fd-cd96db176d16		P.13589	AM	https://biodiversity.org.au/afd/taxa/c51850b3-5744-4b36-a69a-b81e74f769a1		Nymphon bunyipi	MALE			Nymphon bunyipi Clark, 1963	{dcterms:type:PhysicalObject,dcterms:modified:2020/2/27}	ecatalogue.LocCollectionEventLocal: Australia, Victoria, off Cape Everard [= Point Hicks] (37° 48' S, 149° 16' E) /05/1929 - /05/1929, trawl;	Clark, 1963			OCEANIA								
1100747598	dce8feb0-6c89-11de-8225-b8a03c50a862	770c30d2-c2a8-4bb2-8056-6167297cddae	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:20:52.620+00:00	2024-07-02T07:21:02.709+00:00	384	{}	PRESERVED_SPECIMEN		PRESENT	2117812	1	54	354	9477065	2013	2117630	2117812	2117812	Nymphon bunyipi Clark, 1963	Nymphon bunyipi Clark, 1963	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon bunyipi	Nymphon	bunyipi	SPECIES	ACCEPTED	NE	-37.8	149.266	0.001	Victoria	{}	1929	5.0		1929-05			['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']		2024-07-02T07:21:02.709+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'cb2adb6b-7294-4f18-ba07-4cd61683ffac'}]	[]	[]	[]	9cfe8cbf-35ff-4d93-b932-cb05d91b7922	False		ecatalogue.irn:1100158|urn:catalog:AM:Invertebrates - Marine & Other:P.13590	Fletcher, H.O.	Clark, W. C.		trawl	WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA	urn:australianmuseum.net.au:Events:1018344	cb2adb6b-7294-4f18-ba07-4cd61683ffac	7000	off Cape Everard [= Point Hicks]	Invertebrates - Marine & Other	1100747598	cb2adb6b-7294-4f18-ba07-4cd61683ffac		P.13590	AM	https://biodiversity.org.au/afd/taxa/c51850b3-5744-4b36-a69a-b81e74f769a1		Nymphon bunyipi	FEMALE			Nymphon bunyipi Clark, 1963	{dcterms:type:PhysicalObject,dcterms:modified:2020/2/27}	ecatalogue.LocCollectionEventLocal: Australia, Victoria, off Cape Everard [= Point Hicks] (37° 48' S, 149° 16' E) /05/1929 - /05/1929, trawl;	Clark, 1963			OCEANIA								
1100747594	dce8feb0-6c89-11de-8225-b8a03c50a862	770c30d2-c2a8-4bb2-8056-6167297cddae	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:20:52.620+00:00	2024-07-02T07:20:10.180+00:00	384	{}	PRESERVED_SPECIMEN		PRESENT	2117812	1	54	354	9477065	2013	2117630	2117812	2117812	Nymphon bunyipi Clark, 1963	Nymphon bunyipi Clark, 1963	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon bunyipi	Nymphon	bunyipi	SPECIES	ACCEPTED	NE	-37.8	149.266	0.001	Victoria	{}	1929	5.0		1929-05			['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']		2024-07-02T07:20:10.180+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'edc94c2b-b43a-4949-8e85-c0824a56091c'}]	[]	[]	[]	9cfe8cbf-35ff-4d93-b932-cb05d91b7922	False		ecatalogue.irn:1108753|urn:catalog:AM:Invertebrates - Marine & Other:P.13591	Fletcher, H.O.	Clark, W. C.		trawl	WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA	urn:australianmuseum.net.au:Events:1018344	edc94c2b-b43a-4949-8e85-c0824a56091c	7000	off Cape Everard [= Point Hicks]	Invertebrates - Marine & Other	1100747594	edc94c2b-b43a-4949-8e85-c0824a56091c		P.13591	AM	https://biodiversity.org.au/afd/taxa/c51850b3-5744-4b36-a69a-b81e74f769a1		Nymphon bunyipi	MALE			Nymphon bunyipi Clark, 1963	{dcterms:type:PhysicalObject,dcterms:modified:2020/2/27}	ecatalogue.LocCollectionEventLocal: Australia, Victoria, off Cape Everard [= Point Hicks] (37° 48' S, 149° 16' E) /05/1929 - /05/1929, trawl;	Clark, 1963			OCEANIA								
4055741330	2f7c33b3-ea7a-40ac-a3b7-bace96f978f7	2089ce96-4fb5-4a20-999c-3ccf45a27a4d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f9df6cff-21d4-4d4b-8da4-eda454f5a086	2089ce96-4fb5-4a20-999c-3ccf45a27a4d	BE	EML	2024-07-02T17:06:09.698+00:00	2024-07-02T17:07:39.352+00:00	81	{}	PRESERVED_SPECIMEN		PRESENT	2117812	1	54	354	9477065	2013	2117630	2117812	2117812	Nymphon bunyipi Clark, 1963	Nymphon bunyipi Clark, 1963	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon bunyipi	Nymphon	bunyipi	SPECIES	ACCEPTED	NE	-37.8	149.28			{}	1929	5.0		1929-05			['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'CONTINENT_DERIVED_FROM_COORDINATES', 'INSTITUTION_MATCH_NONE']	2007-06-20T15:52:33.000+00:00	2024-07-02T17:07:39.352+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'WoRMS Editorial Board:WoRMS type localities:sm_id_1958'}]	[]	[]	[]		False							WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	EUROPE		WoRMS Editorial Board:WoRMS type localities:sm_id_1958			WoRMS type localities	4055741330	WoRMS Editorial Board:WoRMS type localities:sm_id_1958		sm_id_1958	WoRMS Editorial Board													OCEANIA	130.5	4.5	HOLOTYPE	http://www.marinespecies.org/aphia.php?p=specdetails&id=1958	https://marineinfo.org/id/dataset/5184	urn:lsid:marinespecies.org:taxname:240355	Tasman Sea	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Nymphon bunyipi</i> Clark, 1963. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=240355
1100747578	dce8feb0-6c89-11de-8225-b8a03c50a862	770c30d2-c2a8-4bb2-8056-6167297cddae	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:20:52.620+00:00	2024-07-02T07:19:30.839+00:00	384	{}	PRESERVED_SPECIMEN		PRESENT	2117812	1	54	354	9477065	2013	2117630	2117812	2117812	Nymphon bunyipi Clark, 1963	Nymphon bunyipi Clark, 1963	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon bunyipi	Nymphon	bunyipi	SPECIES	ACCEPTED	NE	-33.766	151.516	0.001	New South Wales	{}	1924	5.0		1924-05			['TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']		2024-07-02T07:19:30.839+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '6b825a54-28f8-42ae-8a91-66baab921bf5'}]	[]	[]	[]	9cfe8cbf-35ff-4d93-b932-cb05d91b7922	False		ecatalogue.irn:1130463|urn:catalog:AM:Invertebrates - Marine & Other:P.13595	Mulvey, C.W.	Clark, W. C.			WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA	urn:australianmuseum.net.au:Events:1016714	6b825a54-28f8-42ae-8a91-66baab921bf5	7000	16-18miles north east of South Head, Port Jackson	Invertebrates - Marine & Other	1100747578	6b825a54-28f8-42ae-8a91-66baab921bf5		P.13595	AM	https://biodiversity.org.au/afd/taxa/c51850b3-5744-4b36-a69a-b81e74f769a1		Nymphon bunyipi	FEMALE		100000.0	Nymphon bunyipi Clark, 1963	{dcterms:type:PhysicalObject,dcterms:modified:2020/2/27}	ecatalogue.LocCollectionEventLocal: Australia, New South Wales, 16-18miles north east of South Head, Port Jackson (33° 46' S, 151° 31' E) /05/1924 - /05/1924;	Clark, 1963											
