key	datasetKey	publishingOrgKey	networkKeys	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	depth	depthAccuracy	gadm	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	isInCluster	recordedBy	identifiedBy	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	catalogNumber	institutionCode	locality	gbifID	collectionCode	occurrenceID	continent	typeStatus	modified	references	datasetID	identifier	scientificNameID	bibliographicCitation	sex	institutionKey	preparations	rightsHolder	nomenclaturalCode	institutionID	verbatimEventDate	higherClassification
201119729	96309e26-f762-11e1-a439-00145eb45e9a	61e40671-1a75-4bcd-9a0d-63515057d39d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	791e3715-7452-4dd0-a906-db21a3852427	5d5e5d82-076c-4e9a-b5b0-c88d1b691a6a	FR	EML	2023-12-11T15:23:37.871+00:00	2024-01-24T22:32:49.030+00:00	258	{}	PRESERVED_SPECIMEN	PRESENT	2117793	1	54	354	9477065	2013	2117630	2117793	2117793	Nymphon caldarium Stock, 1987	Nymphon caldarium Stock, 1987	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon caldarium	Nymphon	caldarium	SPECIES	ACCEPTED	NE	35.8317	-6.1433	362.0	0.0	{}	1984	6	1	1984-06-01	153	153	['GEODETIC_DATUM_ASSUMED_WGS84', 'COORDINATE_PRECISION_INVALID', 'COUNTRY_DERIVED_FROM_COORDINATES', 'INSTITUTION_MATCH_NONE']	2024-01-24T22:32:49.030+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '201119729'}]	[]	[]	[]	False	BOUCHET Philippe	STOCK Jan	WGS84	Pycnogonida	MA	[]	[]	AFRICA	Morocco	EUROPE	25202	Ifremer	Detroit de Gibraltar	201119729	Biocean	201119729																
201119731	96309e26-f762-11e1-a439-00145eb45e9a	61e40671-1a75-4bcd-9a0d-63515057d39d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	791e3715-7452-4dd0-a906-db21a3852427	5d5e5d82-076c-4e9a-b5b0-c88d1b691a6a	FR	EML	2023-12-11T15:23:37.871+00:00	2024-01-24T22:32:49.064+00:00	258	{}	PRESERVED_SPECIMEN	PRESENT	2117793	1	54	354	9477065	2013	2117630	2117793	2117793	Nymphon caldarium Stock, 1987	Nymphon caldarium Stock, 1987	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon caldarium	Nymphon	caldarium	SPECIES	ACCEPTED	NE	35.93	-5.5883	568.0	0.0	{}	1984	6	1	1984-06-01	153	153	['GEODETIC_DATUM_ASSUMED_WGS84', 'COORDINATE_PRECISION_INVALID', 'COUNTRY_DERIVED_FROM_COORDINATES', 'INSTITUTION_MATCH_NONE']	2024-01-24T22:32:49.064+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '201119731'}]	[]	[]	[]	False	BOUCHET Philippe	STOCK Jan	WGS84	Pycnogonida	MA	[]	[]	AFRICA	Morocco	EUROPE	25217	Ifremer	Detroit de Gibraltar	201119731	Biocean	201119731																
201119739	96309e26-f762-11e1-a439-00145eb45e9a	61e40671-1a75-4bcd-9a0d-63515057d39d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	791e3715-7452-4dd0-a906-db21a3852427	5d5e5d82-076c-4e9a-b5b0-c88d1b691a6a	FR	EML	2023-12-11T15:23:37.871+00:00	2024-01-24T22:32:49.033+00:00	258	{}	PRESERVED_SPECIMEN	PRESENT	2117793	1	54	354	9477065	2013	2117630	2117793	2117793	Nymphon caldarium Stock, 1987	Nymphon caldarium Stock, 1987	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon caldarium	Nymphon	caldarium	SPECIES	ACCEPTED	NE	35.945	-5.5783	534.0	0.0	{}	1984	6	1	1984-06-01	153	153	['GEODETIC_DATUM_ASSUMED_WGS84', 'COORDINATE_PRECISION_INVALID', 'COUNTRY_DERIVED_FROM_COORDINATES', 'INSTITUTION_MATCH_NONE']	2024-01-24T22:32:49.033+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '201119739'}]	[]	[]	[]	False	BOUCHET Philippe	STOCK Jan	WGS84	Pycnogonida	ES	[]	[]	EUROPE	Spain	EUROPE	25440	Ifremer	Detroit de Gibraltar	201119739	Biocean	201119739																
201119743	96309e26-f762-11e1-a439-00145eb45e9a	61e40671-1a75-4bcd-9a0d-63515057d39d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	791e3715-7452-4dd0-a906-db21a3852427	5d5e5d82-076c-4e9a-b5b0-c88d1b691a6a	FR	EML	2023-12-11T15:23:37.871+00:00	2024-01-24T22:32:49.048+00:00	258	{}	PRESERVED_SPECIMEN	PRESENT	2117793	1	54	354	9477065	2013	2117630	2117793	2117793	Nymphon caldarium Stock, 1987	Nymphon caldarium Stock, 1987	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon caldarium	Nymphon	caldarium	SPECIES	ACCEPTED	NE	35.7917	-6.07	332.0	0.0	{}	1984	6	1	1984-06-01	153	153	['GEODETIC_DATUM_ASSUMED_WGS84', 'COORDINATE_PRECISION_INVALID', 'COUNTRY_DERIVED_FROM_COORDINATES', 'INSTITUTION_MATCH_NONE']	2024-01-24T22:32:49.048+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '201119743'}]	[]	[]	[]	False	BOUCHET Philippe	STOCK Jan	WGS84	Pycnogonida	MA	[]	[]	AFRICA	Morocco	EUROPE	25466	Ifremer	Detroit de Gibraltar	201119743	Biocean	201119743																
811996362	96309e26-f762-11e1-a439-00145eb45e9a	61e40671-1a75-4bcd-9a0d-63515057d39d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	791e3715-7452-4dd0-a906-db21a3852427	5d5e5d82-076c-4e9a-b5b0-c88d1b691a6a	FR	EML	2023-12-11T15:23:37.871+00:00	2024-01-24T22:32:51.494+00:00	258	{}	PRESERVED_SPECIMEN	PRESENT	2117793	1	54	354	9477065	2013	2117630	2117793	2117793	Nymphon caldarium Stock, 1987	Nymphon caldarium Stock, 1987	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon caldarium	Nymphon	caldarium	SPECIES	ACCEPTED	NE	35.8317	-6.1433	362.0	0.0	{}	1984	6	1	1984-06-01	153	153	['GEODETIC_DATUM_ASSUMED_WGS84', 'COORDINATE_PRECISION_INVALID', 'COUNTRY_DERIVED_FROM_COORDINATES', 'INSTITUTION_MATCH_NONE']	2024-01-24T22:32:51.494+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '811996362'}]	[]	[]	[]	False	BOUCHET Philippe	STOCK Jan	WGS84	Pycnogonida	MA	[]	[]	AFRICA	Morocco	EUROPE	25202	Ifremer	Detroit de Gibraltar	811996362	bio_dba	811996362																
811996363	96309e26-f762-11e1-a439-00145eb45e9a	61e40671-1a75-4bcd-9a0d-63515057d39d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	791e3715-7452-4dd0-a906-db21a3852427	5d5e5d82-076c-4e9a-b5b0-c88d1b691a6a	FR	EML	2023-12-11T15:23:37.871+00:00	2024-01-24T22:32:51.494+00:00	258	{}	PRESERVED_SPECIMEN	PRESENT	2117793	1	54	354	9477065	2013	2117630	2117793	2117793	Nymphon caldarium Stock, 1987	Nymphon caldarium Stock, 1987	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon caldarium	Nymphon	caldarium	SPECIES	ACCEPTED	NE	35.93	-5.5883	568.0	0.0	{}	1984	6	1	1984-06-01	153	153	['GEODETIC_DATUM_ASSUMED_WGS84', 'COORDINATE_PRECISION_INVALID', 'COUNTRY_DERIVED_FROM_COORDINATES', 'INSTITUTION_MATCH_NONE']	2024-01-24T22:32:51.494+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '811996363'}]	[]	[]	[]	False	BOUCHET Philippe	STOCK Jan	WGS84	Pycnogonida	MA	[]	[]	AFRICA	Morocco	EUROPE	25217	Ifremer	Detroit de Gibraltar	811996363	bio_dba	811996363																
811996366	96309e26-f762-11e1-a439-00145eb45e9a	61e40671-1a75-4bcd-9a0d-63515057d39d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	791e3715-7452-4dd0-a906-db21a3852427	5d5e5d82-076c-4e9a-b5b0-c88d1b691a6a	FR	EML	2023-12-11T15:23:37.871+00:00	2024-01-24T22:32:51.495+00:00	258	{}	PRESERVED_SPECIMEN	PRESENT	2117793	1	54	354	9477065	2013	2117630	2117793	2117793	Nymphon caldarium Stock, 1987	Nymphon caldarium Stock, 1987	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon caldarium	Nymphon	caldarium	SPECIES	ACCEPTED	NE	35.945	-5.5783	534.0	0.0	{}	1984	6	1	1984-06-01	153	153	['GEODETIC_DATUM_ASSUMED_WGS84', 'COORDINATE_PRECISION_INVALID', 'COUNTRY_DERIVED_FROM_COORDINATES', 'INSTITUTION_MATCH_NONE']	2024-01-24T22:32:51.495+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '811996366'}]	[]	[]	[]	False	BOUCHET Philippe	STOCK Jan	WGS84	Pycnogonida	ES	[]	[]	EUROPE	Spain	EUROPE	25440	Ifremer	Detroit de Gibraltar	811996366	bio_dba	811996366																
811996369	96309e26-f762-11e1-a439-00145eb45e9a	61e40671-1a75-4bcd-9a0d-63515057d39d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	791e3715-7452-4dd0-a906-db21a3852427	5d5e5d82-076c-4e9a-b5b0-c88d1b691a6a	FR	EML	2023-12-11T15:23:37.871+00:00	2024-01-24T22:32:51.495+00:00	258	{}	PRESERVED_SPECIMEN	PRESENT	2117793	1	54	354	9477065	2013	2117630	2117793	2117793	Nymphon caldarium Stock, 1987	Nymphon caldarium Stock, 1987	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon caldarium	Nymphon	caldarium	SPECIES	ACCEPTED	NE	35.7917	-6.07	332.0	0.0	{}	1984	6	1	1984-06-01	153	153	['GEODETIC_DATUM_ASSUMED_WGS84', 'COORDINATE_PRECISION_INVALID', 'COUNTRY_DERIVED_FROM_COORDINATES', 'INSTITUTION_MATCH_NONE']	2024-01-24T22:32:51.495+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '811996369'}]	[]	[]	[]	False	BOUCHET Philippe	STOCK Jan	WGS84	Pycnogonida	MA	[]	[]	AFRICA	Morocco	EUROPE	25466	Ifremer	Detroit de Gibraltar	811996369	bio_dba	811996369																
4055737450	2f7c33b3-ea7a-40ac-a3b7-bace96f978f7	2089ce96-4fb5-4a20-999c-3ccf45a27a4d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f9df6cff-21d4-4d4b-8da4-eda454f5a086	2089ce96-4fb5-4a20-999c-3ccf45a27a4d	BE	EML	2024-07-02T17:06:09.698+00:00	2024-07-02T17:06:52.391+00:00	81	{}	PRESERVED_SPECIMEN	PRESENT	2117793	1	54	354	9477065	2013	2117630	2117793	2117793	Nymphon caldarium Stock, 1987	Nymphon caldarium Stock, 1987	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon caldarium	Nymphon	caldarium	SPECIES	ACCEPTED	NE	36.83	-6.14	362.0		{'level0': {'gid': 'ESP', 'name': 'Spain'}, 'level1': {'gid': 'ESP.1_1', 'name': 'Andalucía'}, 'level2': {'gid': 'ESP.1.2_1', 'name': 'Cádiz'}, 'level3': {'gid': 'ESP.1.2.2_1', 'name': 'Campiña de Jerez'}}	1984	6	2	1984-06-02	154	154	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'CONTINENT_DERIVED_FROM_COORDINATES', 'INSTITUTION_MATCH_NONE']	2024-07-02T17:06:52.391+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'WoRMS Editorial Board:WoRMS type localities:sm_id_1038'}]	[]	[]	[]	True			WGS84	Pycnogonida	ES	[]	[]	EUROPE	Spain	EUROPE	sm_id_1038	WoRMS Editorial Board	Strait of Gibraltar	4055737450	WoRMS type localities	WoRMS Editorial Board:WoRMS type localities:sm_id_1038	EUROPE	HOLOTYPE	2007-06-20T15:52:33.000+00:00	http://www.marinespecies.org/aphia.php?p=specdetails&id=1038	https://marineinfo.org/id/dataset/5184	WoRMS Editorial Board:WoRMS type localities:sm_id_1038	urn:lsid:marinespecies.org:taxname:134683	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Nymphon caldarium</i> Stock, 1987. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=134683								
2434364497	b4aad9c3-518b-4550-82de-c70a7ead1b64	396d5f30-dea9-11db-8ab4-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	65eb93af-41b8-4917-a5fc-cfe2a45aa4bf	396d5f30-dea9-11db-8ab4-b8a03c50a862	NL	DWC_ARCHIVE	2024-07-23T00:32:26.361+00:00	2024-07-23T00:33:41.352+00:00	393	{'http://rs.tdwg.org/ac/terms/Multimedia': [{'http://rs.tdwg.org/ac/terms/accessURI': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1264/format/large', 'http://ns.adobe.com/xap/1.0/rights/Owner': 'Naturalis Biodiversity Center', 'http://rs.tdwg.org/ac/terms/caption': 'ZMA.PYC.P.1264_0', 'http://purl.org/dc/terms/format': 'image/jpeg', 'http://purl.org/dc/elements/1.1/type': 'StillImage', 'http://rs.tdwg.org/ac/terms/variant': 'ac:GoodQuality', 'http://purl.org/dc/terms/identifier': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1264/format/large', 'http://purl.org/dc/terms/rights': 'CC0 1.0'}]}	PRESERVED_SPECIMEN	PRESENT	2117793	1	54	354	9477065	2013	2117630	2117793	2117793	Nymphon caldarium Stock, 1987	Nymphon caldarium Stock, 1987	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon caldarium	Nymphon	caldarium	SPECIES	ACCEPTED	NE					{}	1984	6	11	1984-06-11	163	163	['COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2024-07-23T00:33:41.352+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'ZMA.PYC.P.1264@CRS'}]	[{'type': 'StillImage', 'format': 'image/jpeg', 'description': 'ZMA.PYC.P.1264_0', 'license': 'http://creativecommons.org/publicdomain/zero/1.0/', 'rightsHolder': 'Naturalis Biodiversity Center', 'identifier': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1264/format/large'}]	[]	[]	True				Pycnogonida		[]	[]			EUROPE	ZMA.PYC.P.1264			2434364497	Chelicerata and Myriapoda	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.PYC.P.1264		HOLOTYPE	2020-04-03T00:00:00.000+00:00			ZMA.PYC.P.1264@CRS			MALE	0e919a55-08d3-4bd2-aec1-200858fafd92	WholeOrganism (microscopic slide)	Naturalis Biodiversity Center	ICZN	Naturalis Biodiversity Center	11.VI.1984	Animalia
