key	datasetKey	publishingOrgKey	networkKeys	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	projectId	extensions	basisOfRecord	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	depth	depthAccuracy	gadm	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	lastInterpreted	license	organismQuantity	organismQuantityType	isSequenced	identifiers	media	facts	relations	institutionKey	isInCluster	identifiedBy	preparations	samplingProtocol	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	eventID	identifier	scientificNameID	institutionID	verbatimEventDate	footprintWKT	fieldNumber	language	gbifID	occurrenceID	type	catalogNumber	institutionCode	identificationRemarks	continent	datasetID	recordNumber	http://unknown.org/taxonRankID	taxonConceptID	identificationQualifier	http://unknown.org/species	taxonID	waterBody	modified	locality	occurrenceRemarks	collectionCode	dynamicProperties	datasetName	recordedBy	locationID	georeferenceSources	associatedSequences	collectionKey	eventRemarks	parentNameUsageID	organismID	collectionID	individualCount	verbatimDepth	ownerInstitutionCode	parentEventID	bibliographicCitation	sex	higherGeography	typeStatus	georeferenceProtocol	verbatimCoordinateSystem	higherClassification	references
3386517257	1e7b6980-0842-4c4a-8b14-541b95d2ed3c	104e9c96-791b-4f14-978c-f581cb214912	['8534dd20-c368-4a1f-bdaf-e6b390710f89', '2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	27c24cba-13c5-47d1-96a1-16abd8f11437	fb10a11f-4417-41c8-be6a-13a5c8535122	GB	EML	2024-01-23T14:13:17.412+00:00	2024-01-26T10:52:24.935+00:00	97	GOIPG/2019/4020	{}	PRESERVED_SPECIMEN	PRESENT	2117752	1	54	354	9477065	2013	2117630	2117752	2117752	Nymphon eltaninae Child, 1995	Nymphon eltaninae Child, 1995	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon eltaninae	Nymphon	eltaninae	SPECIES	ACCEPTED	NE	-60.8805	-48.9356	905.0	1042.0	6.0	{}	2019.0	4.0	2.0	2019-04-02	92.0	92.0	['COLLECTION_MATCH_NONE']	2024-01-26T10:52:24.935+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	3.0	individuals	False	[{'identifier': 'PS118_0221_02'}]	[]	[]	[]	da671615-9a15-4844-9d5e-ef66382192fb	False	Jamie Maxwell	Whole animal in 96% ethanol	Agassiz trawl|https://epic.awi.de/id/eprint/48988/1/Expeditionsprogramm_PS118_Dorschel.pdf	WGS84	Pycnogonida	AQ	[]	[{'type': 'ORCID', 'value': 'https://orcid.org/0000-0001-5705-2811'}]	ANTARCTICA	Antarctica	EUROPE	PS118	PS118_0221_02	urn:lsid:marinespecies.org:taxname:173398	https://ror.org/01rhff309	2/4/2019	LINESTRING (-48.919577 -60.88278, -48.95157 -60.87825)	PS118_77_2	en	3386517257	PS118_0221_02	PhysicalObject	PS118_0221_02	BAS	very similar to Weis et al 2011																																				
3386517534	1e7b6980-0842-4c4a-8b14-541b95d2ed3c	104e9c96-791b-4f14-978c-f581cb214912	['8534dd20-c368-4a1f-bdaf-e6b390710f89', '2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	27c24cba-13c5-47d1-96a1-16abd8f11437	fb10a11f-4417-41c8-be6a-13a5c8535122	GB	EML	2024-01-23T14:13:17.412+00:00	2024-01-26T10:52:25.042+00:00	97	GOIPG/2019/4020	{}	PRESERVED_SPECIMEN	PRESENT	2117752	1	54	354	9477065	2013	2117630	2117752	2117752	Nymphon eltaninae Child, 1995	Nymphon eltaninae Child, 1995	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon eltaninae	Nymphon	eltaninae	SPECIES	ACCEPTED	NE	-60.8805	-48.9356	905.0	1042.0	6.0	{}	2019.0	4.0	2.0	2019-04-02	92.0	92.0	['COLLECTION_MATCH_NONE']	2024-01-26T10:52:25.042+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	1.0	individuals	False	[{'identifier': 'PS118_0221_02a'}]	[]	[]	[]	da671615-9a15-4844-9d5e-ef66382192fb	False	Jamie Maxwell	Whole animal in 96% ethanol	Agassiz trawl|https://epic.awi.de/id/eprint/48988/1/Expeditionsprogramm_PS118_Dorschel.pdf	WGS84	Pycnogonida	AQ	[]	[{'type': 'ORCID', 'value': 'https://orcid.org/0000-0001-5705-2811'}]	ANTARCTICA	Antarctica	EUROPE	PS118	PS118_0221_02a	urn:lsid:marinespecies.org:taxname:173398	https://ror.org/01rhff309	2/4/2019	LINESTRING (-48.919577 -60.88278, -48.95157 -60.87825)	PS118_77_2	en	3386517534	PS118_0221_02a	PhysicalObject	PS118_0221_02a	BAS	very similar to Weis et al 2011																																				
3386517118	1e7b6980-0842-4c4a-8b14-541b95d2ed3c	104e9c96-791b-4f14-978c-f581cb214912	['8534dd20-c368-4a1f-bdaf-e6b390710f89', '2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	27c24cba-13c5-47d1-96a1-16abd8f11437	fb10a11f-4417-41c8-be6a-13a5c8535122	GB	EML	2024-01-23T14:13:17.412+00:00	2024-01-26T10:52:24.831+00:00	97	GOIPG/2019/4020	{}	PRESERVED_SPECIMEN	PRESENT	2117752	1	54	354	9477065	2013	2117630	2117752	2117752	Nymphon eltaninae Child, 1995	Nymphon eltaninae Child, 1995	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon eltaninae	Nymphon	eltaninae	SPECIES	ACCEPTED	NE	-61.5327	-47.2627	292.0	1080.0	12.0	{}	2016.0	3.0	3.0	2016-03-03	63.0	63.0	['COLLECTION_MATCH_NONE']	2024-01-26T10:52:24.831+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	19.0	individuals	False	[{'identifier': 'JR15005_0417_04'}]	[]	[]	[]	da671615-9a15-4844-9d5e-ef66382192fb	False	Jamie Maxwell	96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr15005.pdf	WGS84	Pycnogonida	AQ	[]	[{'type': 'ORCID', 'value': 'https://orcid.org/0000-0001-5705-2811'}]	ANTARCTICA	Antarctica	EUROPE	JR15005	JR15005_0417_04	urn:lsid:marinespecies.org:taxname:173398	https://ror.org/01rhff309	3/3/2016	LINESTRING (-47.2586 -61.53438, -47.26689 -61.53095)	JR15005_22	en	3386517118	JR15005_0417_04	PhysicalObject	JR15005_0417_04	BAS																																					
3386516900	1e7b6980-0842-4c4a-8b14-541b95d2ed3c	104e9c96-791b-4f14-978c-f581cb214912	['8534dd20-c368-4a1f-bdaf-e6b390710f89', '2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	27c24cba-13c5-47d1-96a1-16abd8f11437	fb10a11f-4417-41c8-be6a-13a5c8535122	GB	EML	2024-01-23T14:13:17.412+00:00	2024-01-26T10:52:24.745+00:00	97	GOIPG/2019/4020	{}	PRESERVED_SPECIMEN	PRESENT	2117752	1	54	354	9477065	2013	2117630	2117752	2117752	Nymphon eltaninae Child, 1995	Nymphon eltaninae Child, 1995	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon eltaninae	Nymphon	eltaninae	SPECIES	ACCEPTED	NE	-61.5327	-47.2627	292.0	1080.0	12.0	{}	2016.0	3.0	3.0	2016-03-03	63.0	63.0	['COLLECTION_MATCH_NONE']	2024-01-26T10:52:24.745+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	1.0	individuals	False	[{'identifier': 'JR15005_0417_04a'}]	[]	[]	[]	da671615-9a15-4844-9d5e-ef66382192fb	False	Jamie Maxwell	96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr15005.pdf	WGS84	Pycnogonida	AQ	[]	[{'type': 'ORCID', 'value': 'https://orcid.org/0000-0001-5705-2811'}]	ANTARCTICA	Antarctica	EUROPE	JR15005	JR15005_0417_04a	urn:lsid:marinespecies.org:taxname:173398	https://ror.org/01rhff309	3/3/2016	LINESTRING (-47.2586 -61.53438, -47.26689 -61.53095)	JR15005_22	en	3386516900	JR15005_0417_04a	PhysicalObject	JR15005_0417_04a	BAS																																					
3386517347	1e7b6980-0842-4c4a-8b14-541b95d2ed3c	104e9c96-791b-4f14-978c-f581cb214912	['8534dd20-c368-4a1f-bdaf-e6b390710f89', '2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	27c24cba-13c5-47d1-96a1-16abd8f11437	fb10a11f-4417-41c8-be6a-13a5c8535122	GB	EML	2024-01-23T14:13:17.412+00:00	2024-01-26T10:52:24.958+00:00	97	GOIPG/2019/4020	{}	PRESERVED_SPECIMEN	PRESENT	2117752	1	54	354	9477065	2013	2117630	2117752	2117752	Nymphon eltaninae Child, 1995	Nymphon eltaninae Child, 1995	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon eltaninae	Nymphon	eltaninae	SPECIES	ACCEPTED	NE	-62.1662	-44.9846	229.0	533.0	2.0	{}	2016.0	3.0	5.0	2016-03-05	65.0	65.0	['COLLECTION_MATCH_NONE']	2024-01-26T10:52:24.958+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	2.0	individuals	False	[{'identifier': 'JR15005_0543_02'}]	[]	[]	[]	da671615-9a15-4844-9d5e-ef66382192fb	False	Jamie Maxwell	96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr15005.pdf	WGS84	Pycnogonida	AQ	[]	[{'type': 'ORCID', 'value': 'https://orcid.org/0000-0001-5705-2811'}]	ANTARCTICA	Antarctica	EUROPE	JR15005	JR15005_0543_02	urn:lsid:marinespecies.org:taxname:173398	https://ror.org/01rhff309	5/3/2016	LINESTRING (-44.98298 -62.16809, -44.98613 -62.16425)	JR15005_31	en	3386517347	JR15005_0543_02	PhysicalObject	JR15005_0543_02	BAS																																					
3386517453	1e7b6980-0842-4c4a-8b14-541b95d2ed3c	104e9c96-791b-4f14-978c-f581cb214912	['8534dd20-c368-4a1f-bdaf-e6b390710f89', '2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	27c24cba-13c5-47d1-96a1-16abd8f11437	fb10a11f-4417-41c8-be6a-13a5c8535122	GB	EML	2024-01-23T14:13:17.412+00:00	2024-01-26T10:52:24.990+00:00	97	GOIPG/2019/4020	{}	PRESERVED_SPECIMEN	PRESENT	2117752	1	54	354	9477065	2013	2117630	2117752	2117752	Nymphon eltaninae Child, 1995	Nymphon eltaninae Child, 1995	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon eltaninae	Nymphon	eltaninae	SPECIES	ACCEPTED	NE	-60.3243	-46.7699	263.0	792.0	60.0	{}	2016.0	3.0	10.0	2016-03-10	70.0	70.0	['COLLECTION_MATCH_NONE']	2024-01-26T10:52:24.990+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	1.0	individuals	False	[{'identifier': 'JR15005_1300'}]	[]	[]	[]	da671615-9a15-4844-9d5e-ef66382192fb	False	Jamie Maxwell	96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr15005.pdf	WGS84	Pycnogonida	AQ	[]	[{'type': 'ORCID', 'value': 'https://orcid.org/0000-0001-5705-2811'}]	ANTARCTICA	Antarctica	EUROPE	JR15005	JR15005_1300	urn:lsid:marinespecies.org:taxname:173398	https://ror.org/01rhff309	10/3/2016	LINESTRING (-46.76719 -60.32237, -46.77263 -60.32624)	JR15005_68	en	3386517453	JR15005_1300	PhysicalObject	JR15005_1300	BAS																																					
3386516510	1e7b6980-0842-4c4a-8b14-541b95d2ed3c	104e9c96-791b-4f14-978c-f581cb214912	['8534dd20-c368-4a1f-bdaf-e6b390710f89', '2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	27c24cba-13c5-47d1-96a1-16abd8f11437	fb10a11f-4417-41c8-be6a-13a5c8535122	GB	EML	2024-01-23T14:13:17.412+00:00	2024-01-26T10:52:24.442+00:00	97	GOIPG/2019/4020	{}	PRESERVED_SPECIMEN	PRESENT	2117752	1	54	354	9477065	2013	2117630	2117752	2117752	Nymphon eltaninae Child, 1995	Nymphon eltaninae Child, 1995	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon eltaninae	Nymphon	eltaninae	SPECIES	ACCEPTED	NE	-60.3231	-46.7689	270.0	785.0	52.0	{}	2016.0	3.0	10.0	2016-03-10	70.0	70.0	['COLLECTION_MATCH_NONE']	2024-01-26T10:52:24.442+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	14.0	individuals	False	[{'identifier': 'JR15005_1382_01'}]	[]	[]	[]	da671615-9a15-4844-9d5e-ef66382192fb	False	Jamie Maxwell	96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr15005.pdf	WGS84	Pycnogonida	AQ	[]	[{'type': 'ORCID', 'value': 'https://orcid.org/0000-0001-5705-2811'}]	ANTARCTICA	Antarctica	EUROPE	JR15005	JR15005_1382_01	urn:lsid:marinespecies.org:taxname:173398	https://ror.org/01rhff309	10/3/2016	LINESTRING (-46.76743 -60.3208, -46.77042 -60.32541)	JR15005_69	en	3386516510	JR15005_1382_01	PhysicalObject	JR15005_1382_01	BAS																																					
3386516711	1e7b6980-0842-4c4a-8b14-541b95d2ed3c	104e9c96-791b-4f14-978c-f581cb214912	['8534dd20-c368-4a1f-bdaf-e6b390710f89', '2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	27c24cba-13c5-47d1-96a1-16abd8f11437	fb10a11f-4417-41c8-be6a-13a5c8535122	GB	EML	2024-01-23T14:13:17.412+00:00	2024-01-26T10:52:24.607+00:00	97	GOIPG/2019/4020	{}	PRESERVED_SPECIMEN	PRESENT	2117752	1	54	354	9477065	2013	2117630	2117752	2117752	Nymphon eltaninae Child, 1995	Nymphon eltaninae Child, 1995	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon eltaninae	Nymphon	eltaninae	SPECIES	ACCEPTED	NE	-60.3231	-46.7689	270.0	785.0	52.0	{}	2016.0	3.0	10.0	2016-03-10	70.0	70.0	['COLLECTION_MATCH_NONE']	2024-01-26T10:52:24.607+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	1.0	individuals	False	[{'identifier': 'JR15005_1382_01a'}]	[]	[]	[]	da671615-9a15-4844-9d5e-ef66382192fb	False	Jamie Maxwell	96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr15005.pdf	WGS84	Pycnogonida	AQ	[]	[{'type': 'ORCID', 'value': 'https://orcid.org/0000-0001-5705-2811'}]	ANTARCTICA	Antarctica	EUROPE	JR15005	JR15005_1382_01a	urn:lsid:marinespecies.org:taxname:173398	https://ror.org/01rhff309	10/3/2016	LINESTRING (-46.76743 -60.3208, -46.77042 -60.32541)	JR15005_69	en	3386516711	JR15005_1382_01a	PhysicalObject	JR15005_1382_01a	BAS																																					
3386516712	1e7b6980-0842-4c4a-8b14-541b95d2ed3c	104e9c96-791b-4f14-978c-f581cb214912	['8534dd20-c368-4a1f-bdaf-e6b390710f89', '2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	27c24cba-13c5-47d1-96a1-16abd8f11437	fb10a11f-4417-41c8-be6a-13a5c8535122	GB	EML	2024-01-23T14:13:17.412+00:00	2024-01-26T10:52:24.609+00:00	97	GOIPG/2019/4020	{}	PRESERVED_SPECIMEN	PRESENT	2117752	1	54	354	9477065	2013	2117630	2117752	2117752	Nymphon eltaninae Child, 1995	Nymphon eltaninae Child, 1995	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon eltaninae	Nymphon	eltaninae	SPECIES	ACCEPTED	NE	-60.3231	-46.7689	270.0	785.0	52.0	{}	2016.0	3.0	10.0	2016-03-10	70.0	70.0	['COLLECTION_MATCH_NONE']	2024-01-26T10:52:24.609+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	1.0	individuals	False	[{'identifier': 'JR15005_1382_01b'}]	[]	[]	[]	da671615-9a15-4844-9d5e-ef66382192fb	False	Jamie Maxwell	96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr15005.pdf	WGS84	Pycnogonida	AQ	[]	[{'type': 'ORCID', 'value': 'https://orcid.org/0000-0001-5705-2811'}]	ANTARCTICA	Antarctica	EUROPE	JR15005	JR15005_1382_01b	urn:lsid:marinespecies.org:taxname:173398	https://ror.org/01rhff309	10/3/2016	LINESTRING (-46.76743 -60.3208, -46.77042 -60.32541)	JR15005_69	en	3386516712	JR15005_1382_01b	PhysicalObject	JR15005_1382_01b	BAS																																					
3386517213	1e7b6980-0842-4c4a-8b14-541b95d2ed3c	104e9c96-791b-4f14-978c-f581cb214912	['8534dd20-c368-4a1f-bdaf-e6b390710f89', '2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	27c24cba-13c5-47d1-96a1-16abd8f11437	fb10a11f-4417-41c8-be6a-13a5c8535122	GB	EML	2024-01-23T14:13:17.412+00:00	2024-01-26T10:52:24.921+00:00	97	GOIPG/2019/4020	{}	PRESERVED_SPECIMEN	PRESENT	2117752	1	54	354	9477065	2013	2117630	2117752	2117752	Nymphon eltaninae Child, 1995	Nymphon eltaninae Child, 1995	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon eltaninae	Nymphon	eltaninae	SPECIES	ACCEPTED	NE	-60.3241	-46.7694	280.0	774.0	52.0	{}	2016.0	3.0	10.0	2016-03-10	70.0	70.0	['COLLECTION_MATCH_NONE']	2024-01-26T10:52:24.921+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	6.0	individuals	False	[{'identifier': 'JR15005_1451_02'}]	[]	[]	[]	da671615-9a15-4844-9d5e-ef66382192fb	False	Jamie Maxwell	96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr15005.pdf	WGS84	Pycnogonida	AQ	[]	[{'type': 'ORCID', 'value': 'https://orcid.org/0000-0001-5705-2811'}]	ANTARCTICA	Antarctica	EUROPE	JR15005	JR15005_1451_02	urn:lsid:marinespecies.org:taxname:173398	https://ror.org/01rhff309	10/3/2016	LINESTRING (-46.76898 -60.32156, -46.76986 -60.32657)	JR15005_70	en	3386517213	JR15005_1451_02	PhysicalObject	JR15005_1451_02	BAS																																					
