key	datasetKey	publishingOrgKey	networkKeys	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	gadm	waterBody	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	institutionKey	collectionKey	isInCluster	recordedBy	identifiedBy	preparations	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	eventID	identifier	institutionID	locality	fieldNumber	collectionCode	gbifID	occurrenceID	verbatimDepth	catalogNumber	institutionCode	ownerInstitutionCode	parentEventID	collectionID	islandGroup	individualCount	continent	samplingProtocol	depth	depthAccuracy	stateProvince	higherGeography	modified	vernacularName	county	language	type	higherClassification	sex	datasetName	verbatimCoordinateSystem	locationID
4399691030	97169dfa-325b-4c1e-af91-3ef023f8a498	9abe4949-29aa-450e-b767-b2788f66e04d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	da87027f-12b5-442f-b132-0f6f25acfd53	9abe4949-29aa-450e-b767-b2788f66e04d	RU	EML	2024-06-18T12:44:43.404+00:00	2024-06-18T12:44:58.890+00:00	69	{}	PRESERVED_SPECIMEN	PRESENT	2117794	1	54	354	9477065	2013	2117630	2117794	2117794	Nymphon hodgsoni Schimkewitsch, 1913	Nymphon hodgsoni Schimkewitsch, 1913	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon hodgsoni	Nymphon	hodgsoni	SPECIES	ACCEPTED	NE	44.7518907	136.7515922	{}	Sea of Japan	1997	8	25	1997-08-25	237	237	['COORDINATE_ROUNDED', 'COORDINATE_REPROJECTED']	2024-06-18T12:44:58.890+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': '5683fd2c-852d-41fc-8706-1d27e810140d'}]	[]	[]	[]	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	fd699988-ab5d-4737-9443-9085cea191d2	False	RV Akademik Oparin	Turpaeva, Elena	EtOH 75%	WGS84	Pycnogonida	RU	[]	[]	EUROPE	Russian Federation	EUROPE	RV Akademik Oparin_cruise 20_st.3	5683fd2c-852d-41fc-8706-1d27e810140d	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	Plastun Isl, Sea of Japan	3	OBFc	4399691030	5683fd2c-852d-41fc-8706-1d27e810140d	220.0 m	INV0001398	IORAS	IORAS	cruise 20	fd699988-ab5d-4737-9443-9085cea191d2																		
4399690710	97169dfa-325b-4c1e-af91-3ef023f8a498	9abe4949-29aa-450e-b767-b2788f66e04d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	da87027f-12b5-442f-b132-0f6f25acfd53	9abe4949-29aa-450e-b767-b2788f66e04d	RU	EML	2024-06-18T12:44:43.404+00:00	2024-06-18T12:44:58.813+00:00	69	{}	PRESERVED_SPECIMEN	PRESENT	2117794	1	54	354	9477065	2013	2117630	2117794	2117794	Nymphon hodgsoni Schimkewitsch, 1913	Nymphon hodgsoni Schimkewitsch, 1913	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon hodgsoni	Nymphon	hodgsoni	SPECIES	ACCEPTED	NE	45.4666113	145.9681691	{}	Sea of Okhotsk	1987	7	10	1987-07-10	191	191	['COORDINATE_ROUNDED', 'COORDINATE_REPROJECTED']	2024-06-18T12:44:58.813+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': '4980cc9f-fdff-494d-8e65-78dd864afe03'}]	[]	[]	[]	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	fd699988-ab5d-4737-9443-9085cea191d2	False	RV Tihookeanskii	Turpaeva, Elena	EtOH 75%	WGS84	Pycnogonida	RU	[]	[]	EUROPE	Russian Federation	EUROPE	RV Tihookeanskii__st.25	4980cc9f-fdff-494d-8e65-78dd864afe03	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	Shikotan Isl.	25	OBFc	4399690710	4980cc9f-fdff-494d-8e65-78dd864afe03	650.0 m	INV0001399	IORAS	IORAS		fd699988-ab5d-4737-9443-9085cea191d2	Kuril Islands																	
4399690306	97169dfa-325b-4c1e-af91-3ef023f8a498	9abe4949-29aa-450e-b767-b2788f66e04d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	da87027f-12b5-442f-b132-0f6f25acfd53	9abe4949-29aa-450e-b767-b2788f66e04d	RU	EML	2024-06-18T12:44:43.404+00:00	2024-06-18T12:44:58.649+00:00	69	{}	PRESERVED_SPECIMEN	PRESENT	2117794	1	54	354	9477065	2013	2117630	2117794	2117794	Nymphon hodgsoni Schimkewitsch, 1913	Nymphon hodgsoni Schimkewitsch, 1913	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon hodgsoni	Nymphon	hodgsoni	SPECIES	ACCEPTED	NE	46.8998853	151.805009	{}	Sea of Okhotsk	1987	8	11	1987-08-11	223	223	['COORDINATE_ROUNDED', 'COORDINATE_REPROJECTED', 'CONTINENT_DERIVED_FROM_COORDINATES']	2024-06-18T12:44:58.649+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': '38d3b205-0f06-400c-91f8-a20b1f42f9e9'}]	[]	[]	[]	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	fd699988-ab5d-4737-9443-9085cea191d2	False	RV Tihookeanskii	Turpaeva, Elena	EtOH 75%	WGS84	Pycnogonida	RU	[]	[]	EUROPE	Russian Federation	EUROPE	RV Tihookeanskii__st.283	38d3b205-0f06-400c-91f8-a20b1f42f9e9	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	Simushir Is, Kuriles	283	OBFc	4399690306	38d3b205-0f06-400c-91f8-a20b1f42f9e9	200.0 m	INV0001268	IORAS	IORAS		fd699988-ab5d-4737-9443-9085cea191d2	Kuril Islands	1.0	ASIA	Dredge														
4444205692	97169dfa-325b-4c1e-af91-3ef023f8a498	9abe4949-29aa-450e-b767-b2788f66e04d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	da87027f-12b5-442f-b132-0f6f25acfd53	9abe4949-29aa-450e-b767-b2788f66e04d	RU	EML	2024-06-18T12:44:43.404+00:00	2024-06-18T12:44:58.868+00:00	69	{}	PRESERVED_SPECIMEN	PRESENT	2117794	1	54	354	9477065	2013	2117630	2117794	2117794	Nymphon hodgsoni Schimkewitsch, 1913	Nymphon hodgsoni Schimkewitsch, 1913	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon hodgsoni	Nymphon	hodgsoni	SPECIES	ACCEPTED	NE	49.2667205	144.834935	{}	Sea of Okhotsk	1973	8	11	1973-08-11	223	223	['COORDINATE_ROUNDED', 'COORDINATE_REPROJECTED']	2024-06-18T12:44:58.868+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': '93a59b51-9178-449f-82dd-dfcea6a6b327'}]	[]	[]	[]	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	fd699988-ab5d-4737-9443-9085cea191d2	False	RV Adler	Turpaeva, Elena	EtOH 75%	WGS84	Pycnogonida	RU	[]	[]	EUROPE	Russian Federation	EUROPE	RV Adler_cruise 18_st.43	93a59b51-9178-449f-82dd-dfcea6a6b327	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	Sea of Okhotsk	43	OBFc	4444205692	93a59b51-9178-449f-82dd-dfcea6a6b327	150.0 m	INV0002566	IORAS	IORAS	cruise 18	fd699988-ab5d-4737-9443-9085cea191d2		2.0		Trawl														
723290336	534abda8-18f5-11e2-98fb-00145eb45e9a	4fd82480-ea1c-11da-8db4-b8a03c50a862		82d6992a-b20b-4e74-b6ac-6b971b2c485d	4fd82480-ea1c-11da-8db4-b8a03c50a862	JP	EML	2023-10-14T04:19:14.400+00:00	2024-01-24T18:21:02.390+00:00	301	{}	PRESERVED_SPECIMEN	PRESENT	2117794	1	54	354	9477065	2013	2117630	2117794	2117794	Nymphon hodgsoni Schimkewitsch, 1913	Nymphon hodgsoni Schimkewitsch, 1913	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon hodgsoni	Nymphon	hodgsoni	SPECIES	ACCEPTED	NE			{}	Pacific	1968	6	17	1968-06-17	169	169	['INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-01-24T18:21:02.390+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '205'}]	[]	[]	[]	ade773d3-c637-4fd1-be56-c1ebecb4908f		False					Pycnogonida	JP	[]	[]	ASIA	Japan	ASIA		205		off Utoro, Siretoko Pen.		Art	723290336	9a6b31ae-f8b6-11e6-94b6-70e2840fc270		9065	SMBL								600.0	0.0	Hokkaido	Pacific|Japan|Hokkaido|Shari-gun Sharicho|off Utoro, Siretoko Pen.	2011-12-01T05:00:52.000+00:00	ホジソンユメムシ	Shari-gun Sharicho	en	text	Animalia|Arthropoda|Pycnogonida|Pantopoda|Nymphonidae|Nymphon|hodgsoni				
4399691029	97169dfa-325b-4c1e-af91-3ef023f8a498	9abe4949-29aa-450e-b767-b2788f66e04d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	da87027f-12b5-442f-b132-0f6f25acfd53	9abe4949-29aa-450e-b767-b2788f66e04d	RU	EML	2024-06-18T12:44:43.404+00:00	2024-06-18T12:44:58.891+00:00	69	{}	PRESERVED_SPECIMEN	PRESENT	2117794	1	54	354	9477065	2013	2117630	2117794	2117794	Nymphon hodgsoni Schimkewitsch, 1913	Nymphon hodgsoni Schimkewitsch, 1913	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon hodgsoni	Nymphon	hodgsoni	SPECIES	ACCEPTED	NE	46.633205	152.0516717	{}	Pacific Ocean	1966	7	12	1966-07-12	193	193	['COORDINATE_REPROJECTED']	2024-06-18T12:44:58.891+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': 'c574c41e-4b02-41d8-9985-ad497f3367b4'}]	[]	[]	[]	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	fd699988-ab5d-4737-9443-9085cea191d2	False	RV Vityaz	Turpaeva, Elena	EtOH 75%	WGS84	Pycnogonida	RU	[]	[]	EUROPE	Russian Federation	EUROPE	RV Vityaz_cruise 39_st.5594	c574c41e-4b02-41d8-9985-ad497f3367b4	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	northwest Pacific	5594	OBFc	4399691029	c574c41e-4b02-41d8-9985-ad497f3367b4	1440.0 - 1540.0 m	INV0001255	IORAS	IORAS	cruise 39	fd699988-ab5d-4737-9443-9085cea191d2		1.0		Sigsbee trawl														
4399690805	97169dfa-325b-4c1e-af91-3ef023f8a498	9abe4949-29aa-450e-b767-b2788f66e04d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	da87027f-12b5-442f-b132-0f6f25acfd53	9abe4949-29aa-450e-b767-b2788f66e04d	RU	EML	2024-06-18T12:44:43.404+00:00	2024-06-18T12:44:59.121+00:00	69	{}	PRESERVED_SPECIMEN	PRESENT	2117794	1	54	354	9477065	2013	2117630	2117794	2117794	Nymphon hodgsoni Schimkewitsch, 1913	Nymphon hodgsoni Schimkewitsch, 1913	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon hodgsoni	Nymphon	hodgsoni	SPECIES	ACCEPTED	NE	44.7665544	148.7515414	{}	Pacific Ocean	1966	9	10	1966-09-10	253	253	['COORDINATE_REPROJECTED']	2024-06-18T12:44:59.121+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': '30b36d5e-32d0-4b3d-aea6-7f52d43b470c'}]	[]	[]	[]	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	fd699988-ab5d-4737-9443-9085cea191d2	False	RV Vityaz	Turpaeva, Elena	EtOH 75%	WGS84	Pycnogonida	RU	[]	[]	EUROPE	Russian Federation	EUROPE	RV Vityaz_cruise 39_st.5641	30b36d5e-32d0-4b3d-aea6-7f52d43b470c	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	northwest Pacific	5641	OBFc	4399690805	30b36d5e-32d0-4b3d-aea6-7f52d43b470c	472.0 - 479.0 m	INV0001395	IORAS	IORAS	cruise 39	fd699988-ab5d-4737-9443-9085cea191d2	Kuril Islands	6.0		Sigsbee trawl														
4399691325	97169dfa-325b-4c1e-af91-3ef023f8a498	9abe4949-29aa-450e-b767-b2788f66e04d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	da87027f-12b5-442f-b132-0f6f25acfd53	9abe4949-29aa-450e-b767-b2788f66e04d	RU	EML	2024-06-18T12:44:43.404+00:00	2024-06-18T12:44:59.212+00:00	69	{}	PRESERVED_SPECIMEN	PRESENT	2117794	1	54	354	9477065	2013	2117630	2117794	2117794	Nymphon hodgsoni Schimkewitsch, 1913	Nymphon hodgsoni Schimkewitsch, 1913	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon hodgsoni	Nymphon	hodgsoni	SPECIES	ACCEPTED	NE	61.2616898	161.9193612	{}	Sea of Okhotsk	1965	8	24	1965-08-24	236	236	['COORDINATE_ROUNDED', 'COORDINATE_REPROJECTED']	2024-06-18T12:44:59.212+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': '2127d6e3-6cfe-4d7b-b60a-bc698616b91c'}]	[]	[]	[]	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	fd699988-ab5d-4737-9443-9085cea191d2	False	RV Baydar	Turpaeva, Elena	EtOH 75%	WGS84	Pycnogonida	RU	[]	[]	EUROPE	Russian Federation	EUROPE	RV Baydar__st.82	2127d6e3-6cfe-4d7b-b60a-bc698616b91c	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	Shelikhov Gulf	82	OBFc	4399691325	2127d6e3-6cfe-4d7b-b60a-bc698616b91c	38.0 m	INV0001397	IORAS	IORAS		fd699988-ab5d-4737-9443-9085cea191d2				DO														
4399691143	97169dfa-325b-4c1e-af91-3ef023f8a498	9abe4949-29aa-450e-b767-b2788f66e04d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	da87027f-12b5-442f-b132-0f6f25acfd53	9abe4949-29aa-450e-b767-b2788f66e04d	RU	EML	2024-06-18T12:44:43.404+00:00	2024-06-18T12:44:58.912+00:00	69	{}	PRESERVED_SPECIMEN	PRESENT	2117794	1	54	354	9477065	2013	2117630	2117794	2117794	Nymphon hodgsoni Schimkewitsch, 1913	Nymphon hodgsoni Schimkewitsch, 1913	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon hodgsoni	Nymphon	hodgsoni	SPECIES	ACCEPTED	NE	55.0502399	141.8184267	{}	Pacific Ocean	1952	10	21	1952-10-21	295	295	['COORDINATE_REPROJECTED']	2024-06-18T12:44:58.912+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': 'd2f00600-6734-482b-8732-eccb88712265'}]	[]	[]	[]	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	fd699988-ab5d-4737-9443-9085cea191d2	False	RV Vityaz	Turpaeva, Elena	EtOH 75%	WGS84	Pycnogonida	RU	[]	[]	EUROPE	Russian Federation	EUROPE	RV Vityaz_cruise 12_st.1871	d2f00600-6734-482b-8732-eccb88712265	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	northwest Pacific	1871	OBFc	4399691143	d2f00600-6734-482b-8732-eccb88712265	150.0 m	INV0001396	IORAS	IORAS	cruise 12	fd699988-ab5d-4737-9443-9085cea191d2				DO-0.3														
4399691317	97169dfa-325b-4c1e-af91-3ef023f8a498	9abe4949-29aa-450e-b767-b2788f66e04d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	da87027f-12b5-442f-b132-0f6f25acfd53	9abe4949-29aa-450e-b767-b2788f66e04d	RU	EML	2024-06-18T12:44:43.404+00:00	2024-06-18T12:44:59.211+00:00	69	{}	PRESERVED_SPECIMEN	PRESENT	2117794	1	54	354	9477065	2013	2117630	2117794	2117794	Nymphon hodgsoni Schimkewitsch, 1913	Nymphon hodgsoni Schimkewitsch, 1913	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon hodgsoni	Nymphon	hodgsoni	SPECIES	ACCEPTED	NE	56.9167351	154.7355385	{}	Pacific Ocean	1952	10	4	1952-10-04	278	278	['COORDINATE_REPROJECTED']	2024-06-18T12:44:59.211+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': 'e1d93d79-51a7-408b-9257-ff9c520cdca4'}]	[]	[]	[]	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	fd699988-ab5d-4737-9443-9085cea191d2	False	RV Vityaz	Turpaeva, Elena	EtOH 75%	WGS84	Pycnogonida	RU	[]	[]	EUROPE	Russian Federation	EUROPE	RV Vityaz_cruise 12_st.1783	e1d93d79-51a7-408b-9257-ff9c520cdca4	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	northwest Pacific	1783	OBFc	4399691317	e1d93d79-51a7-408b-9257-ff9c520cdca4	124.0 m	INV0001391	IORAS	IORAS	cruise 12	fd699988-ab5d-4737-9443-9085cea191d2				Beam Trawl														
