key	datasetKey	publishingOrgKey	networkKeys	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	individualCount	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	dateIdentified	decimalLatitude	decimalLongitude	depth	stateProvince	gadm	higherGeography	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	modified	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	institutionKey	isInCluster	datasetName	recordedBy	identifiedBy	preparations	samplingProtocol	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	rightsHolder	eventID	identifier	institutionID	nomenclaturalCode	http://unknown.org/taxonRankID	locality	fieldNumber	collectionCode	verbatimLocality	gbifID	language	occurrenceID	type	catalogNumber	institutionCode	locationID	taxonConceptID	ownerInstitutionCode	eventTime	http://unknown.org/species	higherClassification	georeferenceProtocol	depthAccuracy	sex	coordinateUncertaintyInMeters	scientificNameID	footprintWKT	continent	typeStatus	collectionKey	otherCatalogNumbers	acceptedNameUsage	occurrenceRemarks	references	datasetID	bibliographicCitation	coordinatePrecision	dynamicProperties	locationRemarks	nameAccordingTo
1272743373	39905320-6c8a-11de-8226-b8a03c50a862	4cff2aca-5ce5-4028-88e6-d79b6449173a	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:21:32.799+00:00	2024-07-02T06:37:19.707+00:00	381	{}	PRESERVED_SPECIMEN	2.0	PRESENT	2117785	1	54	354	9477065	2013	2117630	2117785	2117785	Nymphon immane Stock, 1954	Nymphon immane Stock, 1954	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon immane	Nymphon	immane	SPECIES	ACCEPTED	NE	2001-01-01T00:00:00	-37.01	150.345	363.0	New South Wales	{}	Australia|New South Wales	1986.0	7.0	21.0	1986-07-21	202.0	202.0	['RECORDED_DATE_INVALID', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'INSTITUTION_COLLECTION_MISMATCH']	2019-07-08T13:54:00.000+00:00	2024-07-02T06:37:19.707+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': '1375c225-83b3-4657-a3e1-3e3ee53f144d'}]	[]	[]	[]	22c8fe88-400b-4e8a-92cd-f1c76683f5ba	False	SLOPE	Museum Victoria	D A. Staples - Museum Victoria (Sciences)	Wet|ethanol 70%	WHOI epibenthic sled	WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA	Museums Victoria	SLOPE 22	1375c225-83b3-4657-a3e1-3e3ee53f144d	urn:lsid:biocol.org:col:34978	ICZN	7000	Off Eden	SLOPE 22	Invertebrates	Off Eden	1272743373	en	1375c225-83b3-4657-a3e1-3e3ee53f144d	PhysicalObject	J48943	NMV	SLOPE 22	https://biodiversity.org.au/afd/taxa/44facb27-23f1-4575-b978-681953cc6974	NMV	02:30:00\02:45:00	Nymphon immane	Arthropoda | Chelicerata | Pycnogonida | Nymphonidae																			
1272743357	39905320-6c8a-11de-8226-b8a03c50a862	4cff2aca-5ce5-4028-88e6-d79b6449173a	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:21:32.799+00:00	2024-07-02T06:37:34.380+00:00	381	{}	PRESERVED_SPECIMEN	9.0	PRESENT	2117785	1	54	354	9477065	2013	2117630	2117785	2117785	Nymphon immane Stock, 1954	Nymphon immane Stock, 1954	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon immane	Nymphon	immane	SPECIES	ACCEPTED	NE	2001-01-01T00:00:00	-34.992	151.099	204.0	New South Wales	{}	Australia|New South Wales	1986.0	7.0	14.0	1986-07-14	195.0	195.0	['RECORDED_DATE_INVALID', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'INSTITUTION_COLLECTION_MISMATCH']	2019-07-08T13:54:00.000+00:00	2024-07-02T06:37:34.380+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': '8db48418-a9a8-4fc4-bd89-ad79510cf285'}]	[]	[]	[]	22c8fe88-400b-4e8a-92cd-f1c76683f5ba	False	SLOPE	Museum Victoria	D A. Staples - Museum Victoria (Sciences)	Wet|ethanol 70%	WHOI epibenthic sled	WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA	Museums Victoria	SLOPE 1	8db48418-a9a8-4fc4-bd89-ad79510cf285	urn:lsid:biocol.org:col:34978	ICZN	7000	off Nowra	SLOPE 1	Invertebrates	off Nowra	1272743357	en	8db48418-a9a8-4fc4-bd89-ad79510cf285	PhysicalObject	J48941	NMV	SLOPE 1	https://biodiversity.org.au/afd/taxa/44facb27-23f1-4575-b978-681953cc6974	NMV		Nymphon immane	Arthropoda | Chelicerata | Pycnogonida | Nymphonidae	original																		
1272743365	39905320-6c8a-11de-8226-b8a03c50a862	4cff2aca-5ce5-4028-88e6-d79b6449173a	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:21:32.799+00:00	2024-07-02T06:37:37.732+00:00	381	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2117785	1	54	354	9477065	2013	2117630	2117785	2117785	Nymphon immane Stock, 1954	Nymphon immane Stock, 1954	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon immane	Nymphon	immane	SPECIES	ACCEPTED	NE	2001-01-01T00:00:00	-42.0367	148.645	800.0	Tasmania	{}	Australia|Tasmania	1986.0	7.0	27.0	1986-07-27	208.0	208.0	['RECORDED_DATE_INVALID', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'INSTITUTION_COLLECTION_MISMATCH']	2019-07-08T14:10:00.000+00:00	2024-07-02T06:37:37.732+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'abe941d6-2195-4ce7-83d3-2d706dbca9a2'}]	[]	[]	[]	22c8fe88-400b-4e8a-92cd-f1c76683f5ba	False	SLOPE	Museums Victoria	D A. Staples - Museum Victoria (Sciences)	Wet|ethanol 70%	WHOI epibenthic sled	WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA	Museums Victoria	SLOPE 45	abe941d6-2195-4ce7-83d3-2d706dbca9a2	urn:lsid:biocol.org:col:34978	ICZN	7000	Off Freycinet Peninsula	SLOPE 45	Invertebrates	Off Freycinet Peninsula	1272743365	en	abe941d6-2195-4ce7-83d3-2d706dbca9a2	PhysicalObject	J48942	NMV	SLOPE 45	https://biodiversity.org.au/afd/taxa/44facb27-23f1-4575-b978-681953cc6974	NMV	15:11:00	Nymphon immane	Arthropoda | Chelicerata | Pycnogonida | Nymphonidae		0.0																	
4081111876	4d0b1b2a-3209-49ce-bb93-7503e4868019	c58ac019-b413-4613-8772-39e57acbeb8e	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f0d34585-ddcb-4915-9332-6043585e831a	c58ac019-b413-4613-8772-39e57acbeb8e	NZ	EML	2023-06-07T18:53:24.650+00:00	2024-01-25T07:20:22.707+00:00	166	{}	PRESERVED_SPECIMEN		PRESENT	2117785	1	54	354	9477065	2013	2117630	2117785	2117785	Nymphon immane Stock, 1954	Nymphon immane Stock, 1954	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon immane	Nymphon	immane	SPECIES	ACCEPTED	NE		-36.6667	173.45	1245.0		{}		1968.0	3.0	24.0	1968-03-24	84.0	84.0	['CONTINENT_COORDINATE_MISMATCH', 'MODIFIED_DATE_INVALID', 'INSTITUTION_MATCH_NONE']		2024-01-25T07:20:22.707+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '5d6d854a-fa36-11e2-96b3-aa6f927c92a3'}]	[]	[]	[]		False	NIWA Invertebrate Collection	NZOI		Specimen(s), None = 1	Trawl, Agassiz medium	WGS84	Pycnogonida	NZ	[]	[]	OCEANIA	New Zealand	OCEANIA			5d6d854a-fa36-11e2-96b3-aa6f927c92a3						NIWA		4081111876	en	5d6d854a-fa36-11e2-96b3-aa6f927c92a3		7093	NIWA Invertebrate Collection	E891_TAM							0.0	FEMALE	500.0	urn:lsid:marinespecies.org:taxname:239941	POINT (173.45 -36.6667)													
4081168434	4d0b1b2a-3209-49ce-bb93-7503e4868019	c58ac019-b413-4613-8772-39e57acbeb8e	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f0d34585-ddcb-4915-9332-6043585e831a	c58ac019-b413-4613-8772-39e57acbeb8e	NZ	EML	2023-06-07T18:53:24.650+00:00	2024-01-25T07:20:25.552+00:00	166	{}	PRESERVED_SPECIMEN		PRESENT	2117785	1	54	354	9477065	2013	2117630	2117785	2117785	Nymphon immane Stock, 1954	Nymphon immane Stock, 1954	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon immane	Nymphon	immane	SPECIES	ACCEPTED	NE		-37.3333	173.5833	1225.0		{}		1968.0	3.0	24.0	1968-03-24	84.0	84.0	['CONTINENT_COORDINATE_MISMATCH', 'MODIFIED_DATE_INVALID', 'INSTITUTION_MATCH_NONE']		2024-01-25T07:20:25.552+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '5f18fbb8-fa36-11e2-96b3-aa6f927c92a3'}]	[]	[]	[]		False	NIWA Invertebrate Collection	NZOI		Specimen(s), None = 1	Trawl, Agassiz medium	WGS84	Pycnogonida	NZ	[]	[]	OCEANIA	New Zealand	OCEANIA			5f18fbb8-fa36-11e2-96b3-aa6f927c92a3						NIWA		4081168434	en	5f18fbb8-fa36-11e2-96b3-aa6f927c92a3		7097	NIWA Invertebrate Collection	E892_TAM							1.0	MALE	500.0	urn:lsid:marinespecies.org:taxname:239941	POINT (173.5833 -37.3333)													
2012925720	58fc397b-eee4-4138-8a5f-50f9dfb00216	2e7df380-8356-4533-bcb3-5459e23c794e	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	7b21b165-f4b0-4be4-b7dd-c2cbfc9c28a3	2e7df380-8356-4533-bcb3-5459e23c794e	DK	DWC_ARCHIVE	2024-07-21T09:59:22.110+00:00	2024-07-21T10:17:32.805+00:00	275	"{'http://rs.gbif.org/terms/1.0/Reference': [{'http://purl.org/dc/terms/creator': 'Stock, J.', 'http://purl.org/dc/terms/date': '1954', 'http://purl.org/dc/terms/source': 'Videnskabelige Meddelelser fra Dansk Naturhistorisk Forening', 'http://purl.org/dc/terms/title': ""Pycnogonida from Indo-West-Pacific, Australian, and New-Zealand Waters. Papers from Dr. Th. Mortensen's Pacific Expedition 1914-16. LXXVII""}], 'http://rs.tdwg.org/dwc/terms/Identification': [{'http://rs.tdwg.org/dwc/terms/typeStatus': 'holotype', 'http://rs.tdwg.org/dwc/terms/identificationVerificationStatus': '1', 'http://rs.tdwg.org/dwc/terms/identificationID': '00730dd9-3d32-6f7c-5af5-3d2c0c76776b', 'http://rs.tdwg.org/dwc/terms/scientificName': 'Nymphon immane Stock, 1954'}]}"	PRESERVED_SPECIMEN		PRESENT	2117785	1	54	354	9477065	2013	2117630	2117785	2117785	Nymphon immane Stock, 1954	Nymphon immane Stock, 1954	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon immane	Nymphon	immane	SPECIES	ACCEPTED	NE						{}	Australian, Australia AuM	1914.0	10.0	1.0	1914-10-01	274.0	274.0	['COUNTRY_INVALID']	2020-01-29T00:00:00.000+00:00	2024-07-21T10:17:32.805+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '234ddb26-8349-4b2a-a61d-e43e0f368c95'}]	[]	[]	[]	68fcaba0-61fe-4e78-a460-4f37654d025d	True	Natural History Museum Denmark Invertebrate Zoology	Mortensen		slide - 2			Pycnogonida		[]	[]			EUROPE			234ddb26-8349-4b2a-a61d-e43e0f368c95	http://grbio.org/cool/mci8-ehqk			Eden, NSW, Australia		IV		2012925720		234ddb26-8349-4b2a-a61d-e43e0f368c95		NHMD110678	NHMD													OCEANIA	HOLOTYPE	e4cac6b7-41e4-404d-b9b2-ea507703f671	PYC-006756	Nymphon immane	MKB05: Locality data are from the description. Type status checked 2003-2011, but may need reconfirmation. Labelled with correct number Mar. 2012.							
4055737423	2f7c33b3-ea7a-40ac-a3b7-bace96f978f7	2089ce96-4fb5-4a20-999c-3ccf45a27a4d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f9df6cff-21d4-4d4b-8da4-eda454f5a086	2089ce96-4fb5-4a20-999c-3ccf45a27a4d	BE	EML	2024-07-02T17:06:09.698+00:00	2024-07-02T17:06:52.242+00:00	81	{}	PRESERVED_SPECIMEN		PRESENT	2117785	1	54	354	9477065	2013	2117630	2117785	2117785	Nymphon immane Stock, 1954	Nymphon immane Stock, 1954	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon immane	Nymphon	immane	SPECIES	ACCEPTED	NE		-37.07	149.9	41.5		{'level0': {'gid': 'AUS', 'name': 'Australia'}, 'level1': {'gid': 'AUS.5_1', 'name': 'New South Wales'}, 'level2': {'gid': 'AUS.5.9_1', 'name': 'Bega Valley'}}		1914.0	10.0	1.0	1914-10-01	274.0	274.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'CONTINENT_DERIVED_FROM_COORDINATES', 'INSTITUTION_MATCH_NONE']	2007-06-20T15:52:33.000+00:00	2024-07-02T17:06:52.242+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'WoRMS Editorial Board:WoRMS type localities:sm_id_1077'}]	[]	[]	[]		True						WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	EUROPE			WoRMS Editorial Board:WoRMS type localities:sm_id_1077				Tasman Sea		WoRMS type localities		4055737423		WoRMS Editorial Board:WoRMS type localities:sm_id_1077		sm_id_1077	WoRMS Editorial Board								4.5			urn:lsid:marinespecies.org:taxname:239941		OCEANIA	HOLOTYPE					http://www.marinespecies.org/aphia.php?p=specdetails&id=1077	https://marineinfo.org/id/dataset/5184	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Nymphon immane</i> Stock, 1954. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=239941				
1100747572	dce8feb0-6c89-11de-8225-b8a03c50a862	770c30d2-c2a8-4bb2-8056-6167297cddae	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:20:52.620+00:00	2024-07-02T07:19:44.856+00:00	384	{}	PRESERVED_SPECIMEN		PRESENT	2117785	1	54	354	9477065	2013	2117630	2117785	2117785	Nymphon immane Stock, 1954	Nymphon immane Stock, 1954	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon immane	Nymphon	immane	SPECIES	ACCEPTED	NE		-33.833	151.833		New South Wales	{}								['TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']		2024-07-02T07:19:44.856+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '9041841d-7b83-42b3-944c-37cdadd35748'}]	[]	[]	[]	9cfe8cbf-35ff-4d93-b932-cb05d91b7922	False			Clark, W. C.			WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA		urn:australianmuseum.net.au:Events:1014156	9041841d-7b83-42b3-944c-37cdadd35748			7000			Invertebrates - Marine & Other	approx. 45km off Port Jackson	1100747572		9041841d-7b83-42b3-944c-37cdadd35748		P.13587	AM		https://biodiversity.org.au/afd/taxa/44facb27-23f1-4575-b978-681953cc6974			Nymphon immane				FEMALE	100000.0						ecatalogue.irn:1052416|urn:catalog:AM:Invertebrates - Marine & Other:P.13587	Nymphon immane Stock, 1954					0.001	{dcterms:type:PhysicalObject,dcterms:modified:2019/9/11}	ecatalogue.LocCollectionEventLocal: Australia, New South Wales, approx. 45km off Port Jackson (33° 50' S, 151° 50' E);	Stock, 1954
318007926	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862		6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:23.627+00:00	124	{}	OCCURRENCE		PRESENT	2117785	1	54	354	9477065	2013	2117630	2117785	2117785	Nymphon immane Stock, 1954	Nymphon immane Stock, 1954	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon immane	Nymphon	immane	SPECIES	ACCEPTED	NE		-43.1566	173.7916	1190.0		{}								['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']		2024-01-24T20:26:23.627+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:34135'}]	[]	[]	[]		False						WGS84	Pycnogonida	NZ	[]	[]	OCEANIA	New Zealand	EUROPE									SOMBASE Pycnogonids		318007926				34135	BAS								0.0																	
318007927	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862		6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:23.627+00:00	124	{}	OCCURRENCE		PRESENT	2117785	1	54	354	9477065	2013	2117630	2117785	2117785	Nymphon immane Stock, 1954	Nymphon immane Stock, 1954	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon immane	Nymphon	immane	SPECIES	ACCEPTED	NE		-36.6666	173.45	1264.5		{}								['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']		2024-01-24T20:26:23.627+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:34136'}]	[]	[]	[]		False						WGS84	Pycnogonida	NZ	[]	[]	OCEANIA	New Zealand	EUROPE									SOMBASE Pycnogonids		318007927				34136	BAS								17.5																	
