key	datasetKey	publishingOrgKey	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	individualCount	occurrenceStatus	sex	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	continent	gadm	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	lastInterpreted	references	license	isSequenced	identifiers	media	facts	relations	isInCluster	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	nomenclaturalStatus	identifier	combinationAuthors	verbatimScientificName	namePublishedIn	gbifID	occurrenceID	http://unknown.org/verbatimLabel	taxonID	combinationYear	canonicalName	elevation	typeStatus	institutionCode	locality	coordinateUncertaintyInMeters	distanceFromCentroidInMeters	datasetID	eventID	http://unknown.org/language	originalNameUsage	county	associatedReferences	identificationVerificationStatus	nameAccordingTo	associatedSequences	catalogNumber	taxonConceptID	occurrenceRemarks
4012366789	c70e23de-1f95-46fb-899b-9754b6145d52	7ce8aef0-9e92-11dc-8738-b8a03c50a862	7ce8aef1-9e92-11dc-8740-b8a03c50a999	7ce8aef0-9e92-11dc-8738-b8a03c50a862	CH	DWC_ARCHIVE	2024-07-19T16:27:31.836+00:00	2024-07-19T16:28:54.564+00:00	84	{}	MATERIAL_CITATION	1.0	PRESENT	FEMALE	12196301	1	54	354	9477065	2013	2117630	12196301	12196301	Nymphon martinicum Sabroux, Hassanin & Corbari, 2022	Nymphon martinicum Sabroux, Hassanin & Corbari, 2022	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon martinicum	Nymphon	martinicum	SPECIES	ACCEPTED	NE	14.661667	-61.16	NORTH_AMERICA	{}	2016.0	9.0	30.0	2016-09-30	274.0	274.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_ID_IGNORED', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-19T16:28:54.564+00:00	https://treatment.plazi.org/id/03A95E063E20FFF1FD9E01CD0048BD91#3B68E54D3E20FF8EFAC307AA0400BA9C	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': '03A95E063E20FFF1FD9E01CD0048BD91.mc.3B68E54D3E20FF8EFAC307AA0400BA9C'}]	[]	[]	[]	False	WGS84	Pycnogonida	MQ	[]	[]	LATIN_AMERICA	Martinique	EUROPE	spec. nov.	03A95E063E20FFF1FD9E01CD0048BD91.mc.3B68E54D3E20FF8EFAC307AA0400BA9C	Sabroux & Hassanin & Corbari	Nymphon martinicum	Sabroux, Romain, Hassanin, Alexandre, Corbari, Laure (2022): Sea spiders (Arthropoda: Pycnogonida) collected during the Madibenthos Expedition from Martinique shallow waters. European Journal of Taxonomy 851 (1): 1-141, DOI: 10.5852/ejt.2022.851.1999, URL: http://dx.doi.org/10.5852/ejt.2022.851.1999	4012366789	03A95E063E20FFF1FD9E01CD0048BD91.mc.3B68E54D3E20FF8EFAC307AA0400BA9C	1 ♀; Bellefontaine; 14 ° 39.7 ʹ N, 61 ° 09.6 ʹ W; depth 12 m; 30 Sep. 2016; st. AB 372; MNHN-IU- 2016 - 1033	03A95E063E20FFF1FD9E01CD0048BD91.taxon	2022	Nymphon martinicum																		
4012366703	c70e23de-1f95-46fb-899b-9754b6145d52	7ce8aef0-9e92-11dc-8738-b8a03c50a862	7ce8aef1-9e92-11dc-8740-b8a03c50a999	7ce8aef0-9e92-11dc-8738-b8a03c50a862	CH	DWC_ARCHIVE	2024-07-19T16:27:31.836+00:00	2024-07-19T16:28:54.321+00:00	84	{}	MATERIAL_CITATION	1.0	PRESENT	MALE	12196301	1	54	354	9477065	2013	2117630	12196301	12196301	Nymphon martinicum Sabroux, Hassanin & Corbari, 2022	Nymphon martinicum Sabroux, Hassanin & Corbari, 2022	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon martinicum	Nymphon	martinicum	SPECIES	ACCEPTED	NE	14.441667	-61.04	NORTH_AMERICA	{}	2016.0	9.0	14.0	2016-09-14	258.0	258.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_ID_IGNORED', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'INSTITUTION_MATCH_NONE']	2024-07-19T16:28:54.321+00:00	https://treatment.plazi.org/id/03A95E063E20FFF1FD9E01CD0048BD91#3B68E54D3E20FF8EFB80041A03B3B92C	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': '03A95E063E20FFF1FD9E01CD0048BD91.mc.3B68E54D3E20FF8EFB80041A03B3B92C'}]	[]	[]	[]	False	WGS84	Pycnogonida	MQ	[]	[]	LATIN_AMERICA	Martinique	EUROPE	spec. nov.	03A95E063E20FFF1FD9E01CD0048BD91.mc.3B68E54D3E20FF8EFB80041A03B3B92C	Sabroux & Hassanin & Corbari	Nymphon martinicum	Sabroux, Romain, Hassanin, Alexandre, Corbari, Laure (2022): Sea spiders (Arthropoda: Pycnogonida) collected during the Madibenthos Expedition from Martinique shallow waters. European Journal of Taxonomy 851 (1): 1-141, DOI: 10.5852/ejt.2022.851.1999, URL: http://dx.doi.org/10.5852/ejt.2022.851.1999	4012366703	03A95E063E20FFF1FD9E01CD0048BD91.mc.3B68E54D3E20FF8EFB80041A03B3B92C	1 ♂; same collection data as for preceding; MNHN-IU- 2016 - 1319	03A95E063E20FFF1FD9E01CD0048BD91.taxon	2022	Nymphon martinicum	24.0	PARATYPE	MNHN-															
4012366722	c70e23de-1f95-46fb-899b-9754b6145d52	7ce8aef0-9e92-11dc-8738-b8a03c50a862	7ce8aef1-9e92-11dc-8740-b8a03c50a999	7ce8aef0-9e92-11dc-8738-b8a03c50a862	CH	DWC_ARCHIVE	2024-07-19T16:27:31.836+00:00	2024-07-19T16:28:54.386+00:00	84	{}	MATERIAL_CITATION	1.0	PRESENT		12196301	1	54	354	9477065	2013	2117630	12196301	12196301	Nymphon martinicum Sabroux, Hassanin & Corbari, 2022	Nymphon martinicum Sabroux, Hassanin & Corbari, 2022	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon martinicum	Nymphon	martinicum	SPECIES	ACCEPTED	NE	14.518333	-61.09833	NORTH_AMERICA	{}	2016.0	9.0	30.0	2016-09-30	274.0	274.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_ID_IGNORED', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-19T16:28:54.386+00:00	https://treatment.plazi.org/id/03A95E063E20FFF1FD9E01CD0048BD91#3B68E54D3E20FF8EFBC9045305D0B9E7	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': '03A95E063E20FFF1FD9E01CD0048BD91.mc.3B68E54D3E20FF8EFBC9045305D0B9E7'}]	[]	[]	[]	False	WGS84	Pycnogonida	MQ	[]	[]	LATIN_AMERICA	Martinique	EUROPE	spec. nov.	03A95E063E20FFF1FD9E01CD0048BD91.mc.3B68E54D3E20FF8EFBC9045305D0B9E7	Sabroux & Hassanin & Corbari	Nymphon martinicum	Sabroux, Romain, Hassanin, Alexandre, Corbari, Laure (2022): Sea spiders (Arthropoda: Pycnogonida) collected during the Madibenthos Expedition from Martinique shallow waters. European Journal of Taxonomy 851 (1): 1-141, DOI: 10.5852/ejt.2022.851.1999, URL: http://dx.doi.org/10.5852/ejt.2022.851.1999	4012366722	03A95E063E20FFF1FD9E01CD0048BD91.mc.3B68E54D3E20FF8EFBC9045305D0B9E7	1 juv.; Pointe de la Baleine; 14 ° 31.1 ʹ N, 61 ° 05.9 ʹ W; depth 24 m; 30 Sep. 2016; st. AR 413; MNHN-IU- 2016 - 1221.	03A95E063E20FFF1FD9E01CD0048BD91.taxon	2022	Nymphon martinicum																		
4012366734	c70e23de-1f95-46fb-899b-9754b6145d52	7ce8aef0-9e92-11dc-8738-b8a03c50a862	7ce8aef1-9e92-11dc-8740-b8a03c50a999	7ce8aef0-9e92-11dc-8738-b8a03c50a862	CH	DWC_ARCHIVE	2024-07-19T16:27:31.836+00:00	2024-07-19T16:28:54.416+00:00	84	{}	MATERIAL_CITATION	3.0	PRESENT	FEMALE	12196301	1	54	354	9477065	2013	2117630	12196301	12196301	Nymphon martinicum Sabroux, Hassanin & Corbari, 2022	Nymphon martinicum Sabroux, Hassanin & Corbari, 2022	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon martinicum	Nymphon	martinicum	SPECIES	ACCEPTED	NE	14.806666	-60.88	NORTH_AMERICA	{}	2016.0	9.0	20.0	2016-09-20	264.0	264.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_ID_IGNORED', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-19T16:28:54.416+00:00	https://treatment.plazi.org/id/03A95E063E20FFF1FD9E01CD0048BD91#3B68E54D3E20FF8EFCDE043D0504B911	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': '03A95E063E20FFF1FD9E01CD0048BD91.mc.3B68E54D3E20FF8EFCDE043D0504B911'}]	[]	[]	[]	False	WGS84	Pycnogonida	MQ	[]	[]	LATIN_AMERICA	Martinique	EUROPE	spec. nov.	03A95E063E20FFF1FD9E01CD0048BD91.mc.3B68E54D3E20FF8EFCDE043D0504B911	Sabroux & Hassanin & Corbari	Nymphon martinicum	Sabroux, Romain, Hassanin, Alexandre, Corbari, Laure (2022): Sea spiders (Arthropoda: Pycnogonida) collected during the Madibenthos Expedition from Martinique shallow waters. European Journal of Taxonomy 851 (1): 1-141, DOI: 10.5852/ejt.2022.851.1999, URL: http://dx.doi.org/10.5852/ejt.2022.851.1999	4012366734	03A95E063E20FFF1FD9E01CD0048BD91.mc.3B68E54D3E20FF8EFCDE043D0504B911	3 ♀♀ gr.; Presqu’Île de la Caravelle; 14 ° 48.4 ʹ N, 60 ° 52.8 ʹ W; depth 23 – 25 m; 20 Sep. 2016; st. AB 197; MNHN-IU- 2016 - 1299	03A95E063E20FFF1FD9E01CD0048BD91.taxon	2022	Nymphon martinicum																		
4012366316	c70e23de-1f95-46fb-899b-9754b6145d52	7ce8aef0-9e92-11dc-8738-b8a03c50a862	7ce8aef1-9e92-11dc-8740-b8a03c50a999	7ce8aef0-9e92-11dc-8738-b8a03c50a862	CH	DWC_ARCHIVE	2024-07-19T16:27:31.836+00:00	2024-07-19T16:28:52.492+00:00	84	{}	MATERIAL_CITATION	1.0	PRESENT	FEMALE	12196301	1	54	354	9477065	2013	2117630	12196301	12196301	Nymphon martinicum Sabroux, Hassanin & Corbari, 2022	Nymphon martinicum Sabroux, Hassanin & Corbari, 2022	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon martinicum	Nymphon	martinicum	SPECIES	ACCEPTED	NE	14.775	-60.858334	NORTH_AMERICA	{}	2016.0	9.0	22.0	2016-09-22	266.0	266.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_ID_IGNORED', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-19T16:28:52.492+00:00	https://treatment.plazi.org/id/03A95E063E20FFF1FD9E01CD0048BD91#3B68E54D3E20FF8EFD0E0476057FB9C8	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': '03A95E063E20FFF1FD9E01CD0048BD91.mc.3B68E54D3E20FF8EFD0E0476057FB9C8'}]	[]	[]	[]	False	WGS84	Pycnogonida	MQ	[]	[]	LATIN_AMERICA	Martinique	EUROPE	spec. nov.	03A95E063E20FFF1FD9E01CD0048BD91.mc.3B68E54D3E20FF8EFD0E0476057FB9C8	Sabroux & Hassanin & Corbari	Nymphon martinicum	Sabroux, Romain, Hassanin, Alexandre, Corbari, Laure (2022): Sea spiders (Arthropoda: Pycnogonida) collected during the Madibenthos Expedition from Martinique shallow waters. European Journal of Taxonomy 851 (1): 1-141, DOI: 10.5852/ejt.2022.851.1999, URL: http://dx.doi.org/10.5852/ejt.2022.851.1999	4012366316	03A95E063E20FFF1FD9E01CD0048BD91.mc.3B68E54D3E20FF8EFD0E0476057FB9C8	1 ♀ preadult?; Presqu’Île de la Caravelle; 14 ° 46.5 ʹ N, 60 ° 51.5 ʹ W; depth 15 m; 22 Sep. 2016; st. AB 350; MNHN-IU- 2016 - 1304	03A95E063E20FFF1FD9E01CD0048BD91.taxon	2022	Nymphon martinicum																		
4012366823	c70e23de-1f95-46fb-899b-9754b6145d52	7ce8aef0-9e92-11dc-8738-b8a03c50a862	7ce8aef1-9e92-11dc-8740-b8a03c50a999	7ce8aef0-9e92-11dc-8738-b8a03c50a862	CH	DWC_ARCHIVE	2024-07-19T16:27:31.836+00:00	2024-07-19T16:28:54.658+00:00	84	{}	MATERIAL_CITATION	1.0	PRESENT	MALE	12196301	1	54	354	9477065	2013	2117630	12196301	12196301	Nymphon martinicum Sabroux, Hassanin & Corbari, 2022	Nymphon martinicum Sabroux, Hassanin & Corbari, 2022	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon martinicum	Nymphon	martinicum	SPECIES	ACCEPTED	NE	14.518333	-61.09833	NORTH_AMERICA	{}	2016.0	9.0	30.0	2016-09-30	274.0	274.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_ID_IGNORED', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-19T16:28:54.658+00:00	https://treatment.plazi.org/id/03A95E063E20FFF1FD9E01CD0048BD91#3B68E54D3E20FF8EFE7E07C00260B973	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': '03A95E063E20FFF1FD9E01CD0048BD91.mc.3B68E54D3E20FF8EFE7E07C00260B973'}]	[]	[]	[]	False	WGS84	Pycnogonida	MQ	[]	[]	LATIN_AMERICA	Martinique	EUROPE	spec. nov.	03A95E063E20FFF1FD9E01CD0048BD91.mc.3B68E54D3E20FF8EFE7E07C00260B973	Sabroux & Hassanin & Corbari	Nymphon martinicum	Sabroux, Romain, Hassanin, Alexandre, Corbari, Laure (2022): Sea spiders (Arthropoda: Pycnogonida) collected during the Madibenthos Expedition from Martinique shallow waters. European Journal of Taxonomy 851 (1): 1-141, DOI: 10.5852/ejt.2022.851.1999, URL: http://dx.doi.org/10.5852/ejt.2022.851.1999	4012366823	03A95E063E20FFF1FD9E01CD0048BD91.mc.3B68E54D3E20FF8EFE7E07C00260B973	1 ♂ carrying larvae; Pointe de la Baleine; 14 ° 31.1 ʹ N, 61 ° 05.9 ʹ W; depth 17 – 19 m; 30 Sep. 2016; st. AB 369; MNHN-IU- 2016 - 1257	03A95E063E20FFF1FD9E01CD0048BD91.taxon	2022	Nymphon martinicum																		
4012366501	c70e23de-1f95-46fb-899b-9754b6145d52	7ce8aef0-9e92-11dc-8738-b8a03c50a862	7ce8aef1-9e92-11dc-8740-b8a03c50a999	7ce8aef0-9e92-11dc-8738-b8a03c50a862	CH	DWC_ARCHIVE	2024-07-19T16:27:31.836+00:00	2024-07-19T16:28:53.711+00:00	84	{}	MATERIAL_CITATION	1.0	PRESENT	MALE	12196301	1	54	354	9477065	2013	2117630	12196301	12196301	Nymphon martinicum Sabroux, Hassanin & Corbari, 2022	Nymphon martinicum Sabroux, Hassanin & Corbari, 2022	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon martinicum	Nymphon	martinicum	SPECIES	ACCEPTED	NE	14.495	-61.09	NORTH_AMERICA	{}	2016.0	9.0	7.0	2016-09-07	251.0	251.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_ID_IGNORED', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-19T16:28:53.711+00:00	https://treatment.plazi.org/id/03A95E063E20FFF1FD9E01CD0048BD91#3B68E54D3E20FF8EFF1706F5032BBA65	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': '03A95E063E20FFF1FD9E01CD0048BD91.mc.3B68E54D3E20FF8EFF1706F5032BBA65'}]	[]	[]	[]	False	WGS84	Pycnogonida	MQ	[]	[]	LATIN_AMERICA	Martinique	EUROPE	spec. nov.	03A95E063E20FFF1FD9E01CD0048BD91.mc.3B68E54D3E20FF8EFF1706F5032BBA65	Sabroux & Hassanin & Corbari	Nymphon martinicum	Sabroux, Romain, Hassanin, Alexandre, Corbari, Laure (2022): Sea spiders (Arthropoda: Pycnogonida) collected during the Madibenthos Expedition from Martinique shallow waters. European Journal of Taxonomy 851 (1): 1-141, DOI: 10.5852/ejt.2022.851.1999, URL: http://dx.doi.org/10.5852/ejt.2022.851.1999	4012366501	03A95E063E20FFF1FD9E01CD0048BD91.mc.3B68E54D3E20FF8EFF1706F5032BBA65	Holotype MARTINIQUE • ♂; Les Anses-d’Arlet; 14 ° 29.7 ʹ N, 61 ° 05.4 ʹ W; depth 19 m; 7 Sep. 2016; st. AB 155; MNHN-IU- 2016 - 889 / MK 411198.	03A95E063E20FFF1FD9E01CD0048BD91.taxon	2022	Nymphon martinicum	19.0	HOLOTYPE		Les														
4012366802	c70e23de-1f95-46fb-899b-9754b6145d52	7ce8aef0-9e92-11dc-8738-b8a03c50a862	7ce8aef1-9e92-11dc-8740-b8a03c50a999	7ce8aef0-9e92-11dc-8738-b8a03c50a862	CH	DWC_ARCHIVE	2024-07-19T16:27:31.836+00:00	2024-07-19T16:28:54.600+00:00	84	{}	MATERIAL_CITATION	3.0	PRESENT	FEMALE	12196301	1	54	354	9477065	2013	2117630	12196301	12196301	Nymphon martinicum Sabroux, Hassanin & Corbari, 2022	Nymphon martinicum Sabroux, Hassanin & Corbari, 2022	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon martinicum	Nymphon	martinicum	SPECIES	ACCEPTED	NE	14.495	-61.09	NORTH_AMERICA	{}	2016.0	9.0	7.0	2016-09-07	251.0	251.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_ID_IGNORED', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-19T16:28:54.600+00:00	https://treatment.plazi.org/id/03A95E063E20FFF1FD9E01CD0048BD91#3B68E54D3E20FF8EFF17074D047ABAC1	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': '03A95E063E20FFF1FD9E01CD0048BD91.mc.3B68E54D3E20FF8EFF17074D047ABAC1'}]	[]	[]	[]	False	WGS84	Pycnogonida	MQ	[]	[]	LATIN_AMERICA	Martinique	EUROPE	spec. nov.	03A95E063E20FFF1FD9E01CD0048BD91.mc.3B68E54D3E20FF8EFF17074D047ABAC1	Sabroux & Hassanin & Corbari	Nymphon martinicum	Sabroux, Romain, Hassanin, Alexandre, Corbari, Laure (2022): Sea spiders (Arthropoda: Pycnogonida) collected during the Madibenthos Expedition from Martinique shallow waters. European Journal of Taxonomy 851 (1): 1-141, DOI: 10.5852/ejt.2022.851.1999, URL: http://dx.doi.org/10.5852/ejt.2022.851.1999	4012366802	03A95E063E20FFF1FD9E01CD0048BD91.mc.3B68E54D3E20FF8EFF17074D047ABAC1	Paratypes MARTINIQUE • 2 ♀♀, 1 juv.; same collection data as for holotype; MNHN-IU- 2016 - 1280	03A95E063E20FFF1FD9E01CD0048BD91.taxon	2022	Nymphon martinicum	19.0	PARATYPE		Les														
4012366546	c70e23de-1f95-46fb-899b-9754b6145d52	7ce8aef0-9e92-11dc-8738-b8a03c50a862	7ce8aef1-9e92-11dc-8740-b8a03c50a999	7ce8aef0-9e92-11dc-8738-b8a03c50a862	CH	DWC_ARCHIVE	2024-07-19T16:27:31.836+00:00	2024-07-19T16:28:53.867+00:00	84	{}	MATERIAL_CITATION	1.0	PRESENT	MALE	12196301	1	54	354	9477065	2013	2117630	12196301	12196301	Nymphon martinicum Sabroux, Hassanin & Corbari, 2022	Nymphon martinicum Sabroux, Hassanin & Corbari, 2022	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon martinicum	Nymphon	martinicum	SPECIES	ACCEPTED	NE	14.441667	-61.04	NORTH_AMERICA	{}	2016.0	9.0	14.0	2016-09-14	258.0	258.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_ID_IGNORED', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'INSTITUTION_MATCH_NONE']	2024-07-19T16:28:53.867+00:00	https://treatment.plazi.org/id/03A95E063E20FFF1FD9E01CD0048BD91#3B68E54D3E20FF8EFF4007E30000B954	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': '03A95E063E20FFF1FD9E01CD0048BD91.mc.3B68E54D3E20FF8EFF4007E30000B954'}]	[]	[]	[]	False	WGS84	Pycnogonida	MQ	[]	[]	LATIN_AMERICA	Martinique	EUROPE	spec. nov.	03A95E063E20FFF1FD9E01CD0048BD91.mc.3B68E54D3E20FF8EFF4007E30000B954	Sabroux & Hassanin & Corbari	Nymphon martinicum	Sabroux, Romain, Hassanin, Alexandre, Corbari, Laure (2022): Sea spiders (Arthropoda: Pycnogonida) collected during the Madibenthos Expedition from Martinique shallow waters. European Journal of Taxonomy 851 (1): 1-141, DOI: 10.5852/ejt.2022.851.1999, URL: http://dx.doi.org/10.5852/ejt.2022.851.1999	4012366546	03A95E063E20FFF1FD9E01CD0048BD91.mc.3B68E54D3E20FF8EFF4007E30000B954	1 ♂; Rocher du Diamant; 14 ° 26.5 ʹ N, 61 ° 02.4 ʹ W; depth 24 m; 14 Sep. 2016; st. AB 173; MNHN- IU- 2016 - 1159	03A95E063E20FFF1FD9E01CD0048BD91.taxon	2022	Nymphon martinicum	24.0	PARATYPE	MNHN-															
4547747485	f553f8f9-b147-4f09-86e5-0d1ce1a91ce0	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	e44d0fd7-0edf-477f-aa82-50a81836ab46	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	FR	DWC_ARCHIVE	2024-03-21T10:09:14.312+00:00	2024-03-21T10:14:27.601+00:00	57	{}	HUMAN_OBSERVATION		PRESENT		12196301	1	54	354	9477065	2013	2117630	12196301	12196301	Nymphon martinicum Sabroux, Hassanin & Corbari, 2022	Nymphon martinicum Sabroux, Hassanin & Corbari, 2022	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon martinicum	Nymphon	martinicum	SPECIES	ACCEPTED	NE	14.65485	-61.01929	NORTH_AMERICA	{'level0': {'gid': 'MTQ', 'name': 'Martinique'}, 'level1': {'gid': 'MTQ.1_1', 'name': 'Fort-de-France'}, 'level2': {'gid': 'MTQ.1.3_1', 'name': 'Saint-Joseph'}}							['COUNTRY_MISMATCH', 'CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_ID_IGNORED']	2024-03-21T10:14:27.601+00:00		http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'd73fa596-1d82-45ce-8341-050f75f2345b'}]	[]	[]	[]	False	WGS84	Pycnogonida	MQ	[]	[]	LATIN_AMERICA	Martinique	EUROPE		d73fa596-1d82-45ce-8341-050f75f2345b				4547747485	d73fa596-1d82-45ce-8341-050f75f2345b		1021624							26983.0	275.37364700437337	EB6380B5-80AF-5935-E053-0514A8C08744	d73fa596-1d82-45ce-8341-050f75f2345b	fr | en	Nymphon martinicum Sabroux, Hassanin & Corbari, 2022	Martinique	TaxREF	Probable	Gargominy O (2021). TAXREF. Version 4.7. UMS PatriNat (OFB-CNRS-MNHN), Paris. Checklist dataset https://doi.org/10.15468/vqueam accessed via GBIF.org on 2021-06-28.				
