key	datasetKey	publishingOrgKey	networkKeys	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	individualCount	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	gadm	waterBody	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	institutionKey	collectionKey	isInCluster	recordedBy	identifiedBy	preparations	samplingProtocol	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	eventID	identifier	institutionID	locality	fieldNumber	collectionCode	gbifID	occurrenceID	verbatimDepth	catalogNumber	institutionCode	ownerInstitutionCode	parentEventID	collectionID	depth	depthAccuracy	datasetID	datasetName	rightsHolder	scientificNameID	language	verbatimLocality	type	taxonID	verbatimIdentification	occurrenceRemarks	continent	higherGeography	modified	verbatimEventDate	georeferenceProtocol	verbatimCoordinateSystem	locationID	higherClassification	sex	otherCatalogNumbers	dynamicProperties	coordinateUncertaintyInMeters	typeStatus
4399690364	97169dfa-325b-4c1e-af91-3ef023f8a498	9abe4949-29aa-450e-b767-b2788f66e04d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	da87027f-12b5-442f-b132-0f6f25acfd53	9abe4949-29aa-450e-b767-b2788f66e04d	RU	EML	2024-06-18T12:44:43.404+00:00	2024-06-18T12:44:59.034+00:00	69	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2117817	1	54	354	9477065	2013	2117630	2117817	2117817	Nymphon megalops Sars, 1877	Nymphon megalops Sars, 1877	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon megalops	Nymphon	megalops	SPECIES	ACCEPTED	NE	77.1305	126.417333	{}	Laptev Sea	1993.0	9.0	9.0	1993-09-09	252.0	252.0	['COORDINATE_ROUNDED']	2024-06-18T12:44:59.034+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': '7b2f8588-9e16-4e83-82cc-9cc7d7c52d84'}]	[]	[]	[]	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	fd699988-ab5d-4737-9443-9085cea191d2	False	RV Polarstern	Turpaeva, Elena	EtOH 75%	Agassiz Trawl	WGS84	Pycnogonida	RU	[]	[]	EUROPE	Russian Federation	EUROPE	RV Polarstern_cruise ARK IX/4_st.48	7b2f8588-9e16-4e83-82cc-9cc7d7c52d84	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	Laptev Sea	48	OBFc	4399690364	7b2f8588-9e16-4e83-82cc-9cc7d7c52d84	556.0 - 530.0 m	INV0001412	IORAS	IORAS	cruise ARK IX/4	fd699988-ab5d-4737-9443-9085cea191d2																									
4444205331	97169dfa-325b-4c1e-af91-3ef023f8a498	9abe4949-29aa-450e-b767-b2788f66e04d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	da87027f-12b5-442f-b132-0f6f25acfd53	9abe4949-29aa-450e-b767-b2788f66e04d	RU	EML	2024-06-18T12:44:43.404+00:00	2024-06-18T12:44:58.721+00:00	69	{}	PRESERVED_SPECIMEN	2.0	PRESENT	2117817	1	54	354	9477065	2013	2117630	2117817	2117817	Nymphon megalops Sars, 1877	Nymphon megalops Sars, 1877	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon megalops	Nymphon	megalops	SPECIES	ACCEPTED	NE	66.1821722	-28.3191529	{}	Atlantic Ocean	1958.0	7.0	2.0	1958-07-02	183.0	183.0	['COORDINATE_ROUNDED', 'COORDINATE_REPROJECTED']	2024-06-18T12:44:58.721+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': '1c909c48-a7f4-4698-bcf4-76f70d0122eb'}]	[]	[]	[]	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	fd699988-ab5d-4737-9443-9085cea191d2	False	RV Sevastopol	Turpaeva, Elena	EtOH 75%	Otter Trawl	WGS84	Pycnogonida	IS	[]	[]	EUROPE	Iceland	EUROPE	RV Sevastopol_cruise 9_st.1613	1c909c48-a7f4-4698-bcf4-76f70d0122eb	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	north Atlantics	1613	OBFc	4444205331	1c909c48-a7f4-4698-bcf4-76f70d0122eb	348.0 m	INV0003042	IORAS	IORAS	cruise 9	fd699988-ab5d-4737-9443-9085cea191d2																									
4444205362	97169dfa-325b-4c1e-af91-3ef023f8a498	9abe4949-29aa-450e-b767-b2788f66e04d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	da87027f-12b5-442f-b132-0f6f25acfd53	9abe4949-29aa-450e-b767-b2788f66e04d	RU	EML	2024-06-18T12:44:43.404+00:00	2024-06-18T12:44:58.745+00:00	69	{}	PRESERVED_SPECIMEN	3.0	PRESENT	2117817	1	54	354	9477065	2013	2117630	2117817	2117817	Nymphon megalops Sars, 1877	Nymphon megalops Sars, 1877	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon megalops	Nymphon	megalops	SPECIES	ACCEPTED	NE	66.1155186	-27.6191697	{}	Atlantic Ocean	1957.0	7.0	24.0	1957-07-24	205.0	205.0	['COORDINATE_ROUNDED', 'COORDINATE_REPROJECTED']	2024-06-18T12:44:58.745+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': 'cdfa4f33-6d73-43e1-b69b-9f0538a162a4'}]	[]	[]	[]	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	fd699988-ab5d-4737-9443-9085cea191d2	False	RV Sevastopol	Turpaeva, Elena	EtOH 75%	Otter Trawl	WGS84	Pycnogonida	IS	[]	[]	EUROPE	Iceland	EUROPE	RV Sevastopol_cruise 9_st.1682	cdfa4f33-6d73-43e1-b69b-9f0538a162a4	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	north Atlantics	1682	OBFc	4444205362	cdfa4f33-6d73-43e1-b69b-9f0538a162a4	387.0 m	INV0003056	IORAS	IORAS	cruise 9	fd699988-ab5d-4737-9443-9085cea191d2																									
3127658413	93efc16a-7eb1-4792-bdec-de1ea69b8c65	c98a8d0d-cab2-4506-8c0f-c91a5e4996b9		5ff1c992-5c84-40aa-bd9a-c1743a870c32	09a9c196-cb5b-4fa1-afc2-3499b868b225	CA	EML	2024-07-17T23:36:27.118+00:00	2024-07-17T23:36:43.520+00:00	160	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2117817	1	54	354	9477065	2013	2117630	2117817	2117817	Nymphon megalops Sars, 1877	Nymphon megalops Sars, 1877	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon megalops	Nymphon	megalops	SPECIES	ACCEPTED	NE	69.4	-80.883333	{}		1956.0	8.0	26.0	1956-08-26	239.0	239.0	['COORDINATE_ROUNDED', 'GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_ID_IGNORED', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-07-17T23:36:43.520+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'DFO_MLI_MuseumCollection_6548'}]	[]	[]	[]	2ae7293d-9c89-46ee-9aa8-ea116dacad3f		False					WGS84	Pycnogonida	CA	[]	[]	NORTH_AMERICA	Canada	NORTH_AMERICA		DFO_MLI_MuseumCollection_6548	https://edmo.seadatanet.org/report/4160	Tern Island	SAB 56-818 B-32	MuseumCollection	3127658413	DFO_MLI_MuseumCollection_6548		6548	IML				96.0	1.0	dfo_que_mli_museum	DFO Quebec Region MLI museum collection	His Majesty the King in right of Canada, as represented by the Minister of Fisheries and Oceans	urn:lsid:marinespecies.org:taxname:134698	en	AU SUD DE...	PhysicalObject	083_01204	Nymphon megalops														
2423569437	5a0e9dc9-d2b0-489e-91b6-c1e2aca0d62c	44862593-2fdd-4491-ab79-b500b8272aac	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	b494d108-871b-4dfa-bffe-c7949c7400e4	44862593-2fdd-4491-ab79-b500b8272aac	ZZ	EML	2024-07-22T11:53:05.680+00:00	2024-07-22T12:00:25.342+00:00	334	{}	HUMAN_OBSERVATION		PRESENT	2117817	1	54	354	9477065	2013	2117630	2117817	2117817	Nymphon megalops Sars, 1877	Nymphon megalops Sars, 1877	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon megalops	Nymphon	megalops	SPECIES	ACCEPTED	NE	62.833	-8.667	{}		1955.0	6.0	18.0	1955-06-18	169.0	169.0	['COORDINATE_ROUNDED', 'GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES']	2024-07-22T12:00:25.342+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '15309'}]	[]	[]	[]			False	Kobyakova				WGS84	Pycnogonida	FO	[]	[]	EUROPE	Faroe Islands			15309				2006B3	2423569437	15309			ArcOD				5000.0					urn:lsid:marinespecies.org:taxname:134698						;;134698;SRT-4225													
3127658409	93efc16a-7eb1-4792-bdec-de1ea69b8c65	c98a8d0d-cab2-4506-8c0f-c91a5e4996b9		5ff1c992-5c84-40aa-bd9a-c1743a870c32	09a9c196-cb5b-4fa1-afc2-3499b868b225	CA	EML	2024-07-17T23:36:27.118+00:00	2024-07-17T23:36:43.519+00:00	160	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2117817	1	54	354	9477065	2013	2117630	2117817	2117817	Nymphon megalops Sars, 1877	Nymphon megalops Sars, 1877	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon megalops	Nymphon	megalops	SPECIES	ACCEPTED	NE	69.341667	-81.725	{}		1955.0	9.0	29.0	1955-09-29	272.0	272.0	['COORDINATE_ROUNDED', 'GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_ID_IGNORED', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-07-17T23:36:43.519+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'DFO_MLI_MuseumCollection_6549'}]	[]	[]	[]	2ae7293d-9c89-46ee-9aa8-ea116dacad3f		False					WGS84	Pycnogonida	CA	[]	[]	NORTH_AMERICA	Canada	NORTH_AMERICA		DFO_MLI_MuseumCollection_6549	https://edmo.seadatanet.org/report/4160	Hooper Inlet	SAB 55-719 B-18	MuseumCollection	3127658409	DFO_MLI_MuseumCollection_6549		6549	IML				51.0	0.0	dfo_que_mli_museum	DFO Quebec Region MLI museum collection	His Majesty the King in right of Canada, as represented by the Minister of Fisheries and Oceans	urn:lsid:marinespecies.org:taxname:134698	en		PhysicalObject	083_01204	Nymphon megalops		NORTH_AMERICA												
1317964263	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:38:33.760+00:00	395	{}	PRESERVED_SPECIMEN	2.0	PRESENT	2117817	1	54	354	9477065	2013	2117630	2117817	2117817	Nymphon megalops Sars, 1877	Nymphon megalops Sars, 1877	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon megalops	Nymphon	megalops	SPECIES	ACCEPTED	NE	77.7	-70.0	{'level0': {'gid': 'GRL', 'name': 'Greenland'}, 'level1': {'gid': 'GRL.3_1', 'name': 'Qaasuitsup'}}	Arctic Ocean	1938.0	8.0	7.0	1938-08-07	219.0	219.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'CONTINENT_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-02T12:38:33.760+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/321afdd71-a40a-4dc0-922b-193c2589cbad'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	False	R. Bartlett	Hedgpeth, J. W.	Alcohol (Ethanol)		WGS84	Pycnogonida	GL	[]	[]	NORTH_AMERICA	Greenland	NORTH_AMERICA		http://n2t.net/ark:/65665/321afdd71-a40a-4dc0-922b-193c2589cbad	urn:lsid:biocol.org:col:34871	Murchison Sound, Walrus Grounds		IZ	1317964263	http://n2t.net/ark:/65665/321afdd71-a40a-4dc0-922b-193c2589cbad		USNM 80721	USNM			urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6				NMNH Extant Biology									NORTH_AMERICA	Arctic Ocean, Greenland	2013-01-11T15:45:00.000+00:00	07 AUG 1938	unknown, from legacy	Degrees Minutes Seconds	135	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Nymphonidae					
1320499737	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:37:41.482+00:00	395	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2117817	1	54	354	9477065	2013	2117630	2117817	2117817	Nymphon megalops Sars, 1877	Nymphon megalops Sars, 1877	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon megalops	Nymphon	megalops	SPECIES	ACCEPTED	NE			{}	Arctic Ocean	1937.0	8.0	2.0	1937-08-02	214.0	214.0	['CONTINENT_INVALID', 'CONTINENT_DERIVED_FROM_COUNTRY', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-02T12:37:41.482+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/391da06fd-076a-4763-9900-6171008090a2'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	False	R. Bartlett	Hedgpeth, J. W.	Alcohol (Ethanol)			Pycnogonida	GL	[]	[]	NORTH_AMERICA	Greenland	NORTH_AMERICA		http://n2t.net/ark:/65665/391da06fd-076a-4763-9900-6171008090a2	urn:lsid:biocol.org:col:34871	Cape Chalon, Between Capes Alexander And Chalon		IZ	1320499737	http://n2t.net/ark:/65665/391da06fd-076a-4763-9900-6171008090a2		USNM 80720	USNM			urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6				NMNH Extant Biology									NORTH_AMERICA	Arctic Ocean, Greenland	2013-01-11T15:44:00.000+00:00	02 AUG 1937				Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Nymphonidae	FEMALE				
1057403748	7e380070-f762-11e1-a439-00145eb45e9a	19456090-b49a-11d8-abeb-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655', '99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	60277b56-f762-11e1-a439-00145eb45e9a	19456090-b49a-11d8-abeb-b8a03c50a862	GB	DWC_ARCHIVE	2024-07-23T03:26:56.939+00:00	2024-07-23T06:17:58.154+00:00	391	{'http://rs.gbif.org/terms/1.0/Multimedia': [{'http://purl.org/dc/terms/type': 'StillImage', 'http://purl.org/dc/terms/title': 'Zoology Accessions Register: Crustacea: 1905 - 1935: page 32', 'http://purl.org/dc/terms/created': '1187777824000', 'http://purl.org/dc/terms/license': 'http://creativecommons.org/licenses/by/4.0/', 'http://purl.org/dc/terms/rightsHolder': 'The Trustees of the Natural History Museum, London', 'http://purl.org/dc/terms/identifier': 'https://data.nhm.ac.uk/media/c01a0f61-cd12-4971-adde-ef63b6ce92a3'}]}	PRESERVED_SPECIMEN		PRESENT	2117817	1	54	354	9477065	2013	2117630	2117817	2117817	Nymphon megalops Sars, 1877	Nymphon megalops Sars, 1877	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon megalops	Nymphon	megalops	SPECIES	ACCEPTED	NE			{}		1907.0			1907			['MODIFIED_DATE_INVALID', 'MULTIMEDIA_DATE_INVALID', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-07-23T06:17:58.154+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': '1202839'}]	[{'type': 'StillImage', 'title': 'Zoology Accessions Register: Crustacea: 1905 - 1935: page 32', 'license': 'http://creativecommons.org/licenses/by/4.0/', 'rightsHolder': 'The Trustees of the Natural History Museum, London', 'identifier': 'https://data.nhm.ac.uk/media/c01a0f61-cd12-4971-adde-ef63b6ce92a3'}]	[]	[]	1d808a7c-1f9e-4379-9616-edb749ecf10e		False						Pycnogonida		[]	[]			EUROPE		1202839		Faeroe Shetland Channel		ZOO	1057403748	bfe767b2-10cc-4806-a913-42fe5b1aed37		1908.3.11.1	NHMUK																							Animalia; Arthropoda; Chelicerata; Pycnogonida; Pantopoda; Nymphonidae		NHMUK:ecatalogue:1202839	"{""associatedMediaCount"": 1, ""barcode"": ""011166672"", ""catalogueDescription"": null, ""chondriteAchondrite"": null, ""chronostratigraphy"": null, ""clutchSize"": null, ""collectionKind"": null, ""collectionName"": null, ""commodity"": null, ""created"": 1294367520000, ""currentScientificName"": null, ""dateRegistered"": null, ""depositType"": null, ""determinationFiledAs"": null, ""determinationNames"": ""Nymphon megalops Sars, 1877"", ""determinationTypes"": null, ""donorName"": ""R N. Wolfenden"", ""expedition"": ""Silver Belle Cruise, 1907"", ""exsiccata"": null, ""exsiccataNumber"": null, ""extractionMethod"": null, ""gbifID"": ""1057403748"", ""gbifIssue"": null, ""identificationAsRegistered"": null, ""identificationDescription"": null, ""identificationOther"": null, ""identificationVariety"": null, ""kindOfCollection"": null, ""kindOfObject"": null, ""lithostratigraphy"": null, ""meteoriteClass"": null, ""meteoriteGroup"": null, ""meteoriteType"": null, ""mine"": null, ""mineralComplex"": null, ""observedWeight"": null, ""occurrence"": null, ""partType"": null, ""petrologySubtype"": null, ""petrologyType"": null, ""plantDescription"": null, ""populationCode"": null, ""preparationType"": null, ""preservative"": null, ""project"": null, ""recovery"": null, ""recoveryDate"": null, ""recoveryWeight"": null, ""registeredWeightUnit"": null, ""registrationCode"": null, ""resuspendedIn"": null, ""setMark"": null, ""subDepartment"": ""LS Chelicerata and Myriapoda"", ""subfamily"": null, ""suborder"": null, ""superfamily"": null, ""texture"": null, ""totalVolume"": null, ""vessel"": ""Silver Belle""}"		
1055440478	7e380070-f762-11e1-a439-00145eb45e9a	19456090-b49a-11d8-abeb-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655', '99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	60277b56-f762-11e1-a439-00145eb45e9a	19456090-b49a-11d8-abeb-b8a03c50a862	GB	DWC_ARCHIVE	2024-07-23T03:26:56.939+00:00	2024-07-23T06:17:58.263+00:00	391	{'http://rs.gbif.org/terms/1.0/Multimedia': [{'http://purl.org/dc/terms/type': 'StillImage', 'http://purl.org/dc/terms/title': 'Zoology Accessions Register: Crustacea: 1935 - 1962: page 161', 'http://purl.org/dc/terms/created': '1187779477000', 'http://purl.org/dc/terms/license': 'http://creativecommons.org/licenses/by/4.0/', 'http://purl.org/dc/terms/rightsHolder': 'The Trustees of the Natural History Museum, London', 'http://purl.org/dc/terms/identifier': 'https://data.nhm.ac.uk/media/607869ad-a06d-4f1d-8144-7e5230dadb3a'}]}	PRESERVED_SPECIMEN		PRESENT	2117817	1	54	354	9477065	2013	2117630	2117817	2117817	Nymphon megalops Sars, 1877	Nymphon megalops Sars, 1877	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon megalops	Nymphon	megalops	SPECIES	ACCEPTED	NE	61.383333	-5.0	{}		1901.0	6.0	12.0	1901-06-12	163.0	163.0	['COORDINATE_ROUNDED', 'GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'MODIFIED_DATE_INVALID', 'MULTIMEDIA_DATE_INVALID', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-07-23T06:17:58.263+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': '1232641'}]	[{'type': 'StillImage', 'title': 'Zoology Accessions Register: Crustacea: 1935 - 1962: page 161', 'license': 'http://creativecommons.org/licenses/by/4.0/', 'rightsHolder': 'The Trustees of the Natural History Museum, London', 'identifier': 'https://data.nhm.ac.uk/media/607869ad-a06d-4f1d-8144-7e5230dadb3a'}]	[]	[]	1d808a7c-1f9e-4379-9616-edb749ecf10e		False					WGS84	Pycnogonida	FO	[]	[]	EUROPE	Faroe Islands	EUROPE		1232641				ZOO	1055440478	e8235d22-f6be-4c1f-b253-6e073a2d742c		1956.10.10.398	NHMUK																							Animalia; Arthropoda; Chelicerata; Pycnogonida; Pantopoda; Nymphonidae		NHMUK:ecatalogue:1232641	"{""associatedMediaCount"": 1, ""barcode"": ""011079953"", ""catalogueDescription"": null, ""chondriteAchondrite"": null, ""chronostratigraphy"": null, ""clutchSize"": null, ""collectionKind"": null, ""collectionName"": null, ""commodity"": null, ""created"": 1295896657000, ""currentScientificName"": null, ""dateRegistered"": null, ""depositType"": null, ""determinationFiledAs"": null, ""determinationNames"": ""Nymphon megalops Sars, 1877"", ""determinationTypes"": null, ""donorName"": ""Copenhagen Museum"", ""expedition"": null, ""exsiccata"": null, ""exsiccataNumber"": null, ""extractionMethod"": null, ""gbifID"": ""1055440478"", ""gbifIssue"": [""COORDINATE_ROUNDED"", ""GEODETIC_DATUM_ASSUMED_WGS84"", ""COUNTRY_DERIVED_FROM_COORDINATES""], ""identificationAsRegistered"": null, ""identificationDescription"": null, ""identificationOther"": null, ""identificationVariety"": null, ""kindOfCollection"": null, ""kindOfObject"": null, ""lithostratigraphy"": null, ""meteoriteClass"": null, ""meteoriteGroup"": null, ""meteoriteType"": null, ""mine"": null, ""mineralComplex"": null, ""observedWeight"": null, ""occurrence"": null, ""partType"": null, ""petrologySubtype"": null, ""petrologyType"": null, ""plantDescription"": null, ""populationCode"": null, ""preparationType"": null, ""preservative"": null, ""project"": null, ""recovery"": null, ""recoveryDate"": null, ""recoveryWeight"": null, ""registeredWeightUnit"": null, ""registrationCode"": ""CR03"", ""resuspendedIn"": null, ""setMark"": null, ""subDepartment"": ""LS Chelicerata and Myriapoda"", ""subfamily"": null, ""suborder"": null, ""superfamily"": null, ""texture"": null, ""totalVolume"": null, ""vessel"": null}"		
