key	datasetKey	publishingOrgKey	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	gadm	issues	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	isInCluster	datasetID	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	eventID	identifier	http://unknown.org/language	originalNameUsage	county	associatedReferences	identificationVerificationStatus	gbifID	nameAccordingTo	occurrenceID	taxonID	http://unknown.org/orders	depth	depthAccuracy	catalogNumber	institutionCode	collectionCode
4547816635	f553f8f9-b147-4f09-86e5-0d1ce1a91ce0	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	e44d0fd7-0edf-477f-aa82-50a81836ab46	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	FR	DWC_ARCHIVE	2024-03-21T10:09:14.312+00:00	2024-03-21T10:14:25.849+00:00	57	{}	HUMAN_OBSERVATION	PRESENT	2117780	1	54	354	9477065	2013	2117630	2117780	2117780	Nymphon microgracilipes Pushkin, 1993	Nymphon microgracilipes Pushkin, 1993	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon microgracilipes	Nymphon	microgracilipes	SPECIES	ACCEPTED	NE	-49.13558	68.66923	1105902.0	{}	['COUNTRY_MISMATCH', 'TAXON_MATCH_TAXON_ID_IGNORED']	2024-03-21T10:14:25.849+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '10524142-6180-40b0-88d2-9f4f4c6230ce'}]	[]	[]	[]	False	EB6380B5-80AF-5935-E053-0514A8C08744	WGS84	Pycnogonida	TF	[]	[]	ANTARCTICA	French Southern Territories	EUROPE	10524142-6180-40b0-88d2-9f4f4c6230ce	10524142-6180-40b0-88d2-9f4f4c6230ce	fr | en	Nymphon microgracilipes Pushkin, 1993	TAAF : Îles sub-antarctiques	TaxREF	Probable	4547816635	Gargominy O (2021). TAXREF. Version 4.7. UMS PatriNat (OFB-CNRS-MNHN), Paris. Checklist dataset https://doi.org/10.15468/vqueam accessed via GBIF.org on 2021-06-28.	10524142-6180-40b0-88d2-9f4f4c6230ce	815662						
3935048370	91aa3d5b-6f77-4135-a823-cef438a60dfa	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	e44d0fd7-0edf-477f-aa82-50a81836ab46	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	FR	DWC_ARCHIVE	2024-01-19T17:11:53.743+00:00	2024-01-26T10:11:38.789+00:00	10	{}	HUMAN_OBSERVATION	PRESENT	2117780	1	54	354	9477065	2013	2117630	2117780	2117780	Nymphon microgracilipes Pushkin, 1993	Nymphon microgracilipes Pushkin, 1993	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon microgracilipes	Nymphon	microgracilipes	SPECIES	ACCEPTED	NE	-49.13558	68.66923	1105902.0	{}	['COUNTRY_MISMATCH', 'TAXON_MATCH_TAXON_ID_IGNORED']	2024-01-26T10:11:38.789+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'c3a3558a-58a4-4277-82e6-30f5bd5973d2'}]	[]	[]	[]	False	D2B0CE86-7C29-1275-E053-5514A8C0FBF9	WGS84	Pycnogonida	TF	[]	[]	ANTARCTICA	French Southern Territories	EUROPE	c3a3558a-58a4-4277-82e6-30f5bd5973d2	c3a3558a-58a4-4277-82e6-30f5bd5973d2		Nymphon microgracilipes Pushkin, 1993	TAAF : Îles sub-antarctiques	TaxREF	Probable	3935048370	Gargominy O (2021). TAXREF. Version 4.7. UMS PatriNat (OFB-CNRS-MNHN), Paris. Checklist dataset https://doi.org/10.15468/vqueam accessed via GBIF.org on 2021-06-28.	c3a3558a-58a4-4277-82e6-30f5bd5973d2	815662	Pantopoda					
318008160	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:23.902+00:00	124	{}	OCCURRENCE	PRESENT	2117780	1	54	354	9477065	2013	2117630	2117780	2117780	Nymphon microgracilipes Pushkin, 1993	Nymphon microgracilipes Pushkin, 1993	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon microgracilipes	Nymphon	microgracilipes	SPECIES	ACCEPTED	NE	-45.8966	50.2316		{}	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:23.902+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:37855'}]	[]	[]	[]	False		WGS84	Pycnogonida	TF	[]	[]	ANTARCTICA	French Southern Territories	EUROPE								318008160					168.0	0.0	37855	BAS	SOMBASE Pycnogonids
318008162	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:24.013+00:00	124	{}	OCCURRENCE	PRESENT	2117780	1	54	354	9477065	2013	2117630	2117780	2117780	Nymphon microgracilipes Pushkin, 1993	Nymphon microgracilipes Pushkin, 1993	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon microgracilipes	Nymphon	microgracilipes	SPECIES	ACCEPTED	NE	-46.0433	49.4083		{}	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:24.013+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:37862'}]	[]	[]	[]	False		WGS84	Pycnogonida	TF	[]	[]	ANTARCTICA	French Southern Territories	EUROPE								318008162					262.5	7.5	37862	BAS	SOMBASE Pycnogonids
318008167	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:23.929+00:00	124	{}	OCCURRENCE	PRESENT	2117780	1	54	354	9477065	2013	2117630	2117780	2117780	Nymphon microgracilipes Pushkin, 1993	Nymphon microgracilipes Pushkin, 1993	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon microgracilipes	Nymphon	microgracilipes	SPECIES	ACCEPTED	NE	-45.7316	50.25		{}	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:23.929+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:37874'}]	[]	[]	[]	False		WGS84	Pycnogonida	TF	[]	[]	ANTARCTICA	French Southern Territories	EUROPE								318008167					173.0	0.0	37874	BAS	SOMBASE Pycnogonids
318008203	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:21.935+00:00	124	{}	OCCURRENCE	PRESENT	2117780	1	54	354	9477065	2013	2117630	2117780	2117780	Nymphon microgracilipes Pushkin, 1993	Nymphon microgracilipes Pushkin, 1993	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon microgracilipes	Nymphon	microgracilipes	SPECIES	ACCEPTED	NE	-46.0483	49.9166		{}	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:21.935+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:38048'}]	[]	[]	[]	False		WGS84	Pycnogonida	TF	[]	[]	ANTARCTICA	French Southern Territories	EUROPE								318008203					217.0	0.0	38048	BAS	SOMBASE Pycnogonids
318008204	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:21.935+00:00	124	{}	OCCURRENCE	PRESENT	2117780	1	54	354	9477065	2013	2117630	2117780	2117780	Nymphon microgracilipes Pushkin, 1993	Nymphon microgracilipes Pushkin, 1993	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon microgracilipes	Nymphon	microgracilipes	SPECIES	ACCEPTED	NE	-45.9066	49.74		{}	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:21.935+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:38049'}]	[]	[]	[]	False		WGS84	Pycnogonida	TF	[]	[]	ANTARCTICA	French Southern Territories	EUROPE								318008204					215.0	0.0	38049	BAS	SOMBASE Pycnogonids
318008205	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:21.942+00:00	124	{}	OCCURRENCE	PRESENT	2117780	1	54	354	9477065	2013	2117630	2117780	2117780	Nymphon microgracilipes Pushkin, 1993	Nymphon microgracilipes Pushkin, 1993	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon microgracilipes	Nymphon	microgracilipes	SPECIES	ACCEPTED	NE	-45.9316	49.9133		{}	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:21.942+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:38052'}]	[]	[]	[]	False		WGS84	Pycnogonida	TF	[]	[]	ANTARCTICA	French Southern Territories	EUROPE								318008205					203.5	0.5	38052	BAS	SOMBASE Pycnogonids
318008206	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:21.935+00:00	124	{}	OCCURRENCE	PRESENT	2117780	1	54	354	9477065	2013	2117630	2117780	2117780	Nymphon microgracilipes Pushkin, 1993	Nymphon microgracilipes Pushkin, 1993	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon microgracilipes	Nymphon	microgracilipes	SPECIES	ACCEPTED	NE	-46.1983	49.515		{}	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:21.935+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:38053'}]	[]	[]	[]	False		WGS84	Pycnogonida	TF	[]	[]	ANTARCTICA	French Southern Territories	EUROPE								318008206					256.0	5.0	38053	BAS	SOMBASE Pycnogonids
318008207	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:21.935+00:00	124	{}	OCCURRENCE	PRESENT	2117780	1	54	354	9477065	2013	2117630	2117780	2117780	Nymphon microgracilipes Pushkin, 1993	Nymphon microgracilipes Pushkin, 1993	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon microgracilipes	Nymphon	microgracilipes	SPECIES	ACCEPTED	NE	-46.3733	49.6466		{}	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:21.935+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:38054'}]	[]	[]	[]	False		WGS84	Pycnogonida	TF	[]	[]	ANTARCTICA	French Southern Territories	EUROPE								318008207					296.5	1.5	38054	BAS	SOMBASE Pycnogonids
