key	datasetKey	publishingOrgKey	networkKeys	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	individualCount	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	gadm	waterBody	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	institutionKey	collectionKey	isInCluster	recordedBy	identifiedBy	preparations	samplingProtocol	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	eventID	identifier	institutionID	locality	fieldNumber	collectionCode	gbifID	occurrenceID	verbatimDepth	catalogNumber	institutionCode	ownerInstitutionCode	parentEventID	collectionID	sex	establishmentMeans	continent	higherGeography	modified	nomenclaturalCode	verbatimEventDate	verbatimLocality	language	type	higherClassification	depth	depthAccuracy	otherCatalogNumbers	dynamicProperties	coordinateUncertaintyInMeters	datasetName	scientificNameID	footprintWKT	occurrenceRemarks	islandGroup	dateIdentified	http://unknown.org/taxonRankID	taxonConceptID	eventTime	bibliographicCitation	stateProvince	disposition	organismRemarks
4399690755	97169dfa-325b-4c1e-af91-3ef023f8a498	9abe4949-29aa-450e-b767-b2788f66e04d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	da87027f-12b5-442f-b132-0f6f25acfd53	9abe4949-29aa-450e-b767-b2788f66e04d	RU	EML	2024-06-18T12:44:43.404+00:00	2024-06-18T12:44:59.115+00:00	69	{}	PRESERVED_SPECIMEN	20.0	PRESENT	2117756	1	54	354	9477065	2013	2117630	2117756	2117756	Nymphon orcadense (Hodgson, 1908)	Nymphon orcadense (Hodgson, 1908)	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon orcadense	Nymphon	orcadense	SPECIES	ACCEPTED	NE	-63.013333	-59.115	{}	Fleet Sea	2000.0	4.0	28.0	2000-04-28	119.0	119.0	['COORDINATE_ROUNDED']	2024-06-18T12:44:59.115+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': '931970d2-08bf-47c0-8410-7c8ae0d88017'}]	[]	[]	[]	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	fd699988-ab5d-4737-9443-9085cea191d2	False	RV Polarstern	Turpaeva, Elena	EtOH 75%	Agassiz Trawl	WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	EUROPE	RV Polarstern_cruise ANTXVII/3_st.165-1	931970d2-08bf-47c0-8410-7c8ae0d88017	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	Bransfield Strait	165-1	OBFc	4399690755	931970d2-08bf-47c0-8410-7c8ae0d88017	621.0 - 618.0 m	INV0000998	IORAS	IORAS	cruise ANTXVII/3	fd699988-ab5d-4737-9443-9085cea191d2																													
2274721253	717b3b87-0ebd-46b4-812b-4a29786798d9	d9ccac00-9bc7-11de-a329-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	a957a663-2f17-415f-b1c8-5cf6398df8ed	2053a639-84c3-4be5-b8bc-96b6d88a976c	GB	EML	2024-04-28T14:44:53.352+00:00	2024-04-29T09:15:51.386+00:00	239	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2117756	1	54	354	9477065	2013	2117630	2117756	2117756	Nymphon orcadense (Hodgson, 1908)	Nymphon orcadense (Hodgson, 1908)	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon orcadense	Nymphon	orcadense	SPECIES	ACCEPTED	NE			{}		1970.0	1.0		1970-01			['CONTINENT_DERIVED_FROM_COUNTRY', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-04-29T09:15:51.386+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:UMZC:Vertebrates:I.49938'}]	[]	[]	[]	09a9f7bc-f3a3-4274-a7e9-d97b5f412697		False			(in spirit)			Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	EUROPE		urn:catalog:UMZC:Vertebrates:I.49938	urn:lsid:biocol.org:col:34902	Signy Island		Vertebrates	2274721253	urn:catalog:UMZC:Vertebrates:I.49938		I.49938	UMZC			urn:lsid:biocol.org:col:34903	FEMALE	native	ANTARCTICA	;[Antarctica];;;;;;	2014-04-12T00:00:00.000+00:00	ICZN	1970 1	; [Antarctica]; ; ; ; ; ; Signy Island	en	PhysicalObject	ANIMALIA:ARTHROPODA:ARACHNIDA::NYMPHONIDAE:Nymphon																		
1056758162	7e380070-f762-11e1-a439-00145eb45e9a	19456090-b49a-11d8-abeb-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655', '99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	60277b56-f762-11e1-a439-00145eb45e9a	19456090-b49a-11d8-abeb-b8a03c50a862	GB	DWC_ARCHIVE	2024-07-23T03:26:56.939+00:00	2024-07-23T06:17:59.748+00:00	391	{'http://rs.gbif.org/terms/1.0/Multimedia': [{'http://purl.org/dc/terms/type': 'StillImage', 'http://purl.org/dc/terms/title': 'Zoology Accessions Register: Crustacea: 1976 - 1984: page 241', 'http://purl.org/dc/terms/created': '1187783034000', 'http://purl.org/dc/terms/license': 'http://creativecommons.org/licenses/by/4.0/', 'http://purl.org/dc/terms/rightsHolder': 'The Trustees of the Natural History Museum, London', 'http://purl.org/dc/terms/identifier': 'https://data.nhm.ac.uk/media/94cb73fc-2bde-44aa-aba3-02214d5acdae'}]}	PRESERVED_SPECIMEN	50.0	PRESENT	2117756	1	54	354	9477065	2013	2117630	2117756	2117756	Nymphon orcadense (Hodgson, 1908)	Nymphon orcadense (Hodgson, 1908)	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon orcadense	Nymphon	orcadense	SPECIES	ACCEPTED	NE			{}		1927.0	2.0	18.0	1927-02-18	49.0	49.0	['MODIFIED_DATE_INVALID', 'MULTIMEDIA_DATE_INVALID', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-07-23T06:17:59.748+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': '2235469'}]	[{'type': 'StillImage', 'title': 'Zoology Accessions Register: Crustacea: 1976 - 1984: page 241', 'license': 'http://creativecommons.org/licenses/by/4.0/', 'rightsHolder': 'The Trustees of the Natural History Museum, London', 'identifier': 'https://data.nhm.ac.uk/media/94cb73fc-2bde-44aa-aba3-02214d5acdae'}]	[]	[]	1d808a7c-1f9e-4379-9616-edb749ecf10e		True		Isabella Gordon				Pycnogonida		[]	[]			EUROPE		2235469		E. end of Normanna Strait, South Orkneys, near Cape Hansen, Coronation Island	Stn 164	ZOO	1056758162	26f51a27-98f4-499a-b5ba-83d7414af036		1983.154	NHMUK															30.0	6.0	NHMUK:ecatalogue:2235469	"{""associatedMediaCount"": 1, ""barcode"": ""011007311"", ""catalogueDescription"": null, ""chondriteAchondrite"": null, ""chronostratigraphy"": null, ""clutchSize"": null, ""collectionKind"": null, ""collectionName"": null, ""commodity"": null, ""created"": 1311788910000, ""currentScientificName"": null, ""dateRegistered"": null, ""depositType"": null, ""determinationFiledAs"": null, ""determinationNames"": ""Nymphon orcadense (Hodgson, 1908)"", ""determinationTypes"": null, ""donorName"": null, ""expedition"": null, ""exsiccata"": null, ""exsiccataNumber"": null, ""extractionMethod"": null, ""gbifID"": ""1056758162"", ""gbifIssue"": null, ""identificationAsRegistered"": null, ""identificationDescription"": null, ""identificationOther"": null, ""identificationVariety"": null, ""kindOfCollection"": null, ""kindOfObject"": null, ""lithostratigraphy"": null, ""meteoriteClass"": null, ""meteoriteGroup"": null, ""meteoriteType"": null, ""mine"": null, ""mineralComplex"": null, ""observedWeight"": null, ""occurrence"": null, ""partType"": null, ""petrologySubtype"": null, ""petrologyType"": null, ""plantDescription"": null, ""populationCode"": null, ""preparationType"": null, ""preservative"": null, ""project"": null, ""recovery"": null, ""recoveryDate"": null, ""recoveryWeight"": null, ""registeredWeightUnit"": null, ""registrationCode"": ""CR06"", ""resuspendedIn"": null, ""setMark"": null, ""subDepartment"": ""LS Chelicerata and Myriapoda"", ""subfamily"": null, ""suborder"": null, ""superfamily"": null, ""texture"": null, ""totalVolume"": null, ""vessel"": null}"														
1427444341	96385e98-93b5-4e4a-8081-6e30b738816a	1c9c3bb4-377c-4547-aa79-16ea755d6006	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f0d34585-ddcb-4915-9332-6043585e831a	c58ac019-b413-4613-8772-39e57acbeb8e	NZ	EML	2024-01-26T19:11:10.740+00:00	2024-01-29T08:18:03.629+00:00	259	{}	HUMAN_OBSERVATION	18.0	PRESENT	2117756	1	54	354	9477065	2013	2117630	2117756	2117756	Nymphon orcadense (Hodgson, 1908)	Nymphon orcadense (Hodgson, 1908)	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon orcadense	Nymphon	orcadense	SPECIES	ACCEPTED	NE	-60.7057	-45.6	{}	Southern Ocean	1927.0	2.0	17.0	1927-02-17	48.0	48.0	['COUNTRY_DERIVED_FROM_COORDINATES', 'CONTINENT_DERIVED_FROM_COORDINATES']	2024-01-29T08:18:03.629+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': '5382'}]	[]	[]	[]			False				Small beam trawl. Beam 2.45m in length, 12.5mm mesh	WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	OCEANIA	56	5382		Paul Harbour, Signy Island, South Orkneys	Stn 163	Discovery Reports	1427444341	5382		Stn 163 Nymphon orcadense	NIWA						ANTARCTICA		2019-03-15T00:00:00.000+00:00				en			22.5	4.5			1000.0	Discovery Expedition Biological Reports	urn:lsid:marinespecies.org:taxname:173474	POINT (-45.6 -60.7057)	Small beam trawl. Beam 2.45m in length, 12.5mm mesh									
1427444364	96385e98-93b5-4e4a-8081-6e30b738816a	1c9c3bb4-377c-4547-aa79-16ea755d6006	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f0d34585-ddcb-4915-9332-6043585e831a	c58ac019-b413-4613-8772-39e57acbeb8e	NZ	EML	2024-01-26T19:11:10.740+00:00	2024-01-29T08:18:03.628+00:00	259	{}	HUMAN_OBSERVATION		PRESENT	2117756	1	54	354	9477065	2013	2117630	2117756	2117756	Nymphon orcadense (Hodgson, 1908)	Nymphon orcadense (Hodgson, 1908)	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon orcadense	Nymphon	orcadense	SPECIES	ACCEPTED	NE	-60.672	-45.6	{}	Southern Ocean	1927.0	2.0	18.0	1927-02-18	49.0	49.0	['COUNTRY_DERIVED_FROM_COORDINATES', 'CONTINENT_DERIVED_FROM_COORDINATES']	2024-01-29T08:18:03.628+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': '5383'}]	[]	[]	[]			True				Small beam trawl. Beam 2.45m in length, 12.5mm mesh	WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	OCEANIA	60	5383		Normanna Strait, Coronation Island, South Orkneys	Stn 164	Discovery Reports	1427444364	5383		Stn 164 Nymphon orcadense	NIWA						ANTARCTICA		2019-03-15T00:00:00.000+00:00				en			30.0	6.0			1000.0	Discovery Expedition Biological Reports	urn:lsid:marinespecies.org:taxname:173474	POINT (-45.6 -60.672)	Small beam trawl. Beam 2.45m in length, 12.5mm mesh									
1056982490	7e380070-f762-11e1-a439-00145eb45e9a	19456090-b49a-11d8-abeb-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655', '99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	60277b56-f762-11e1-a439-00145eb45e9a	19456090-b49a-11d8-abeb-b8a03c50a862	GB	DWC_ARCHIVE	2024-07-23T03:26:56.939+00:00	2024-07-23T06:19:03.464+00:00	391	{'http://rs.gbif.org/terms/1.0/Multimedia': [{'http://purl.org/dc/terms/type': 'StillImage', 'http://purl.org/dc/terms/title': 'Zoology Accessions Register: Crustacea: 1905 - 1935: page 116', 'http://purl.org/dc/terms/created': '1187778195000', 'http://purl.org/dc/terms/license': 'http://creativecommons.org/licenses/by/4.0/', 'http://purl.org/dc/terms/rightsHolder': 'The Trustees of the Natural History Museum, London', 'http://purl.org/dc/terms/identifier': 'https://data.nhm.ac.uk/media/46978a09-c518-4c7a-991f-53728c5790cc'}]}	PRESERVED_SPECIMEN		PRESENT	2117756	1	54	354	9477065	2013	2117630	2117756	2117756	Nymphon orcadense (Hodgson, 1908)	Nymphon orcadense (Hodgson, 1908)	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon orcadense	Nymphon	orcadense	SPECIES	ACCEPTED	NE			{}		1915.0	1.0	31.0	1915-01-31	31.0	31.0	['MODIFIED_DATE_INVALID', 'MULTIMEDIA_DATE_INVALID', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-07-23T06:19:03.464+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': '1220473'}]	[{'type': 'StillImage', 'title': 'Zoology Accessions Register: Crustacea: 1905 - 1935: page 116', 'license': 'http://creativecommons.org/licenses/by/4.0/', 'rightsHolder': 'The Trustees of the Natural History Museum, London', 'identifier': 'https://data.nhm.ac.uk/media/46978a09-c518-4c7a-991f-53728c5790cc'}]	[]	[]	1d808a7c-1f9e-4379-9616-edb749ecf10e		False	A G. Bennett					Pycnogonida		[]	[]			EUROPE		1220473				ZOO	1056982490	eb3280c2-54c1-4df5-97c6-b783a971b849		1920.7.5.78-82	NHMUK																	NHMUK:ecatalogue:1220473	"{""associatedMediaCount"": 1, ""barcode"": ""011047963"", ""catalogueDescription"": null, ""chondriteAchondrite"": null, ""chronostratigraphy"": null, ""clutchSize"": null, ""collectionKind"": null, ""collectionName"": null, ""commodity"": null, ""created"": 1295466711000, ""currentScientificName"": null, ""dateRegistered"": null, ""depositType"": null, ""determinationFiledAs"": null, ""determinationNames"": ""Nymphon orcadense (Hodgson, 1908)"", ""determinationTypes"": null, ""donorName"": null, ""expedition"": null, ""exsiccata"": null, ""exsiccataNumber"": null, ""extractionMethod"": null, ""gbifID"": ""1056982490"", ""gbifIssue"": null, ""identificationAsRegistered"": null, ""identificationDescription"": null, ""identificationOther"": null, ""identificationVariety"": null, ""kindOfCollection"": null, ""kindOfObject"": null, ""lithostratigraphy"": null, ""meteoriteClass"": null, ""meteoriteGroup"": null, ""meteoriteType"": null, ""mine"": null, ""mineralComplex"": null, ""observedWeight"": null, ""occurrence"": null, ""partType"": null, ""petrologySubtype"": null, ""petrologyType"": null, ""plantDescription"": null, ""populationCode"": null, ""preparationType"": null, ""preservative"": null, ""project"": null, ""recovery"": null, ""recoveryDate"": null, ""recoveryWeight"": null, ""registeredWeightUnit"": null, ""registrationCode"": null, ""resuspendedIn"": null, ""setMark"": null, ""subDepartment"": ""LS Chelicerata and Myriapoda"", ""subfamily"": null, ""suborder"": null, ""superfamily"": null, ""texture"": null, ""totalVolume"": null, ""vessel"": null}"						South Orkney Islands								
1653499393	f900725d-db2f-4771-9330-7960ce68d4b5	3693ff90-4c16-11d8-b290-b8a03c50a862		1cbabffe-9073-4007-ba1e-40ebcda6e302	3693ff90-4c16-11d8-b290-b8a03c50a862	AU	DWC_ARCHIVE	2024-06-23T11:26:41.267+00:00	2024-06-23T11:27:12.953+00:00	318	{}	HUMAN_OBSERVATION		PRESENT	2117756	1	54	354	9477065	2013	2117630	2117756	2117756	Nymphon orcadense (Hodgson, 1908)	Nymphon orcadense (Hodgson, 1908)	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon orcadense	Nymphon	orcadense	SPECIES	ACCEPTED	NE	-60.7167	-45.6333	{}	Antarctica	1905.0	6.0	3.0	1905-06-03T00:00Z	154.0	154.0	['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'SCIENTIFIC_NAME_AND_ID_INCONSISTENT', 'TAXON_MATCH_NAME_AND_ID_AMBIGUOUS']	2024-06-23T11:27:12.953+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '4ab52685-2b9e-44b7-9cde-1cccd16a7ef1'}]	[]	[]	[]			False					WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	OCEANIA		4ab52685-2b9e-44b7-9cde-1cccd16a7ef1		Bare Rock at Borge Bay-Signy Island-South Orkney Islands		BLOCK	1653499393	4ab52685-2b9e-44b7-9cde-1cccd16a7ef1		BLOCK-2772	AADC						ANTARCTICA		2001-08-28T12:15:12.000+00:00					PhysicalObject						1000.0		http://www.marinespecies.org/aphia.php?p=taxdetails&id=173474				1905-06-03T00:00:00	6000	https://biodiversity.org.au/afd/taxa/0e0ee853-5f2a-47ab-9bbd-d4050064456c	1905-06-03 00:00:00+00	see http://data.aad.gov.au/metadata/records/block_invertebrates			
1056544843	7e380070-f762-11e1-a439-00145eb45e9a	19456090-b49a-11d8-abeb-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655', '99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	60277b56-f762-11e1-a439-00145eb45e9a	19456090-b49a-11d8-abeb-b8a03c50a862	GB	DWC_ARCHIVE	2024-07-23T03:26:56.939+00:00	2024-07-23T06:17:55.407+00:00	391	{'http://rs.gbif.org/terms/1.0/Multimedia': [{'http://purl.org/dc/terms/type': 'StillImage', 'http://purl.org/dc/terms/title': 'Zoology Accessions Register: Crustacea: 1905 - 1935: page 219', 'http://purl.org/dc/terms/created': '1187778647000', 'http://purl.org/dc/terms/license': 'http://creativecommons.org/licenses/by/4.0/', 'http://purl.org/dc/terms/rightsHolder': 'The Trustees of the Natural History Museum, London', 'http://purl.org/dc/terms/identifier': 'https://data.nhm.ac.uk/media/4047f49a-b9c3-46cb-bc0a-b4a53415d988'}]}	PRESERVED_SPECIMEN		PRESENT	2117756	1	54	354	9477065	2013	2117630	2117756	2117756	Nymphon orcadense (Hodgson, 1908)	Nymphon orcadense (Hodgson, 1908)	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon orcadense	Nymphon	orcadense	SPECIES	ACCEPTED	NE			{}								['MODIFIED_DATE_INVALID', 'MULTIMEDIA_DATE_INVALID', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-07-23T06:17:55.407+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': '1216006'}]	[{'type': 'StillImage', 'title': 'Zoology Accessions Register: Crustacea: 1905 - 1935: page 219', 'license': 'http://creativecommons.org/licenses/by/4.0/', 'rightsHolder': 'The Trustees of the Natural History Museum, London', 'identifier': 'https://data.nhm.ac.uk/media/4047f49a-b9c3-46cb-bc0a-b4a53415d988'}]	[]	[]	1d808a7c-1f9e-4379-9616-edb749ecf10e		False						Pycnogonida		[]	[]			EUROPE		1216006			163, 164	ZOO	1056544843	eadf03c5-1c75-4754-84ff-c2069809b6c4		1933.3.23.448-497	NHMUK																	NHMUK:ecatalogue:1216006	"{""associatedMediaCount"": 1, ""barcode"": ""011001524"", ""catalogueDescription"": null, ""chondriteAchondrite"": null, ""chronostratigraphy"": null, ""clutchSize"": null, ""collectionKind"": null, ""collectionName"": null, ""commodity"": null, ""created"": 1295355510000, ""currentScientificName"": null, ""dateRegistered"": null, ""depositType"": null, ""determinationFiledAs"": null, ""determinationNames"": ""Nymphon orcadense (Hodgson, 1908)"", ""determinationTypes"": null, ""donorName"": null, ""expedition"": ""Discovery Expedition, 1925-1931"", ""exsiccata"": null, ""exsiccataNumber"": null, ""extractionMethod"": null, ""gbifID"": ""1056544843"", ""gbifIssue"": null, ""identificationAsRegistered"": null, ""identificationDescription"": null, ""identificationOther"": null, ""identificationVariety"": null, ""kindOfCollection"": null, ""kindOfObject"": null, ""lithostratigraphy"": null, ""meteoriteClass"": null, ""meteoriteGroup"": null, ""meteoriteType"": null, ""mine"": null, ""mineralComplex"": null, ""observedWeight"": null, ""occurrence"": null, ""partType"": null, ""petrologySubtype"": null, ""petrologyType"": null, ""plantDescription"": null, ""populationCode"": null, ""preparationType"": null, ""preservative"": null, ""project"": null, ""recovery"": null, ""recoveryDate"": null, ""recoveryWeight"": null, ""registeredWeightUnit"": null, ""registrationCode"": null, ""resuspendedIn"": null, ""setMark"": null, ""subDepartment"": ""LS Chelicerata and Myriapoda"", ""subfamily"": null, ""suborder"": null, ""superfamily"": null, ""texture"": null, ""totalVolume"": null, ""vessel"": ""Discovery""}"														
231045205	6197c830-d9c7-11de-b793-b8a03c50a862	2e4af590-37d0-11d9-8439-b8a03c50a862		9a6d3561-e96b-4e60-9a44-e42140d510b3	2e4af590-37d0-11d9-8439-b8a03c50a862	AR	EML	2023-01-08T06:32:11.642+00:00	2024-01-24T18:52:17.787+00:00	274	{}	PRESERVED_SPECIMEN		PRESENT	2117756	1	54	354	9477065	2013	2117630	2117756	2117756	Nymphon orcadense (Hodgson, 1908)	Nymphon orcadense (Hodgson, 1908)	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon orcadense	Nymphon	orcadense	SPECIES	ACCEPTED	NE			{}								['COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2024-01-24T18:52:17.787+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'MACN:MACN-In:8354-3'}]	[]	[]	[]	8c4ae816-dfd9-4bc8-a2fd-f25a56bf82e9		False						Pycnogonida		[]	[]			LATIN_AMERICA		MACN:MACN-In:8354-3				MACN-In	231045205	MACN:MACN-In:8354-3		8354-3	MACN						ANTARCTICA	Antártida, Orcadas del Sur	2020-02-15T00:00:00.000+00:00	ICZN					Animalia | Arthropoda (Chelicerata) | Pycnogonida | Pantopoda | Nymphonidae | Nymphon																Orcadas del Sur	Ubicado	Además 6 preparados microscópicos
318007944	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862		6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:21.808+00:00	124	{}	OCCURRENCE		PRESENT	2117756	1	54	354	9477065	2013	2117630	2117756	2117756	Nymphon orcadense (Hodgson, 1908)	Nymphon orcadense (Hodgson, 1908)	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon orcadense	Nymphon	orcadense	SPECIES	ACCEPTED	NE	-60.75	-44.65	{}								['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'CONTINENT_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:21.808+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:34349'}]	[]	[]	[]			False					WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	EUROPE						SOMBASE Pycnogonids	318007944			34349	BAS						ANTARCTICA									25.0	0.0																
