key	datasetKey	publishingOrgKey	networkKeys	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	individualCount	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	depth	gadm	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	institutionKey	isInCluster	otherCatalogNumbers	identifiedBy	class	recordedByIDs	identifiedByIDs	publishedByGbifRegion	identifier	catalogNumber	institutionCode	dynamicProperties	fieldNumber	gbifID	collectionCode	occurrenceID	sex	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	depthAccuracy	continent	waterBody	modified	datasetName	samplingProtocol	geodeticDatum	countryCode	gbifRegion	country	eventID	scientificNameID	footprintWKT	locality	language	occurrenceRemarks	higherClassification
1055481023	7e380070-f762-11e1-a439-00145eb45e9a	19456090-b49a-11d8-abeb-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655', '99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	60277b56-f762-11e1-a439-00145eb45e9a	19456090-b49a-11d8-abeb-b8a03c50a862	GB	DWC_ARCHIVE	2024-07-23T03:26:56.939+00:00	2024-07-23T06:17:59.619+00:00	391	{'http://rs.gbif.org/terms/1.0/Multimedia': [{'http://purl.org/dc/terms/type': 'StillImage', 'http://purl.org/dc/terms/title': 'Zoology Accessions Register: Crustacea: 1969 - 1976: page 198', 'http://purl.org/dc/terms/created': '1187781818000', 'http://purl.org/dc/terms/license': 'http://creativecommons.org/licenses/by/4.0/', 'http://purl.org/dc/terms/rightsHolder': 'The Trustees of the Natural History Museum, London', 'http://purl.org/dc/terms/identifier': 'https://data.nhm.ac.uk/media/c0fe8e33-932b-429a-a6dd-3a029b3279bd'}]}	PRESERVED_SPECIMEN	1.0	PRESENT	2117874	1	54	354	9477065	2013	2117630	2117874	2117874	Nymphon pfefferi Loman, 1923	Nymphon pfefferi Loman, 1923	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon pfefferi	Nymphon	pfefferi	SPECIES	ACCEPTED	NE	99.0	{}	1931.0	3.0	18.0	1931-03-18	77.0	77.0	['MODIFIED_DATE_INVALID', 'MULTIMEDIA_DATE_INVALID', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-07-23T06:17:59.619+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': '2251639'}]	[{'type': 'StillImage', 'title': 'Zoology Accessions Register: Crustacea: 1969 - 1976: page 198', 'license': 'http://creativecommons.org/licenses/by/4.0/', 'rightsHolder': 'The Trustees of the Natural History Museum, London', 'identifier': 'https://data.nhm.ac.uk/media/c0fe8e33-932b-429a-a6dd-3a029b3279bd'}]	[]	[]	1d808a7c-1f9e-4379-9616-edb749ecf10e	False	NHMUK:ecatalogue:2251639	Isabella Gordon	Pycnogonida	[]	[]	EUROPE	2251639	1975.149	NHMUK	"{""associatedMediaCount"": 1, ""barcode"": ""011014727"", ""catalogueDescription"": null, ""chondriteAchondrite"": null, ""chronostratigraphy"": null, ""clutchSize"": null, ""collectionKind"": null, ""collectionName"": null, ""commodity"": null, ""created"": 1313160808000, ""currentScientificName"": null, ""dateRegistered"": null, ""depositType"": null, ""determinationFiledAs"": null, ""determinationNames"": ""Nymphon pfefferi Bouvier"", ""determinationTypes"": null, ""donorName"": ""D Mawson"", ""expedition"": ""BANZ Antarctic Research Expedition 1929-1931"", ""exsiccata"": null, ""exsiccataNumber"": null, ""extractionMethod"": null, ""gbifID"": ""1055481023"", ""gbifIssue"": null, ""identificationAsRegistered"": null, ""identificationDescription"": null, ""identificationOther"": null, ""identificationVariety"": null, ""kindOfCollection"": null, ""kindOfObject"": null, ""lithostratigraphy"": null, ""meteoriteClass"": null, ""meteoriteGroup"": null, ""meteoriteType"": null, ""mine"": null, ""mineralComplex"": null, ""observedWeight"": null, ""occurrence"": null, ""partType"": null, ""petrologySubtype"": null, ""petrologyType"": null, ""plantDescription"": null, ""populationCode"": null, ""preparationType"": null, ""preservative"": null, ""project"": null, ""recovery"": null, ""recoveryDate"": null, ""recoveryWeight"": null, ""registeredWeightUnit"": null, ""registrationCode"": ""CR05"", ""resuspendedIn"": null, ""setMark"": null, ""subDepartment"": ""LS Chelicerata and Myriapoda"", ""subfamily"": null, ""suborder"": null, ""superfamily"": null, ""texture"": null, ""totalVolume"": null, ""vessel"": null}"	112	1055481023	ZOO	b8b7e61f-6665-475e-b8c6-175cad3b6376																					
1427444255	96385e98-93b5-4e4a-8081-6e30b738816a	1c9c3bb4-377c-4547-aa79-16ea755d6006	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f0d34585-ddcb-4915-9332-6043585e831a	c58ac019-b413-4613-8772-39e57acbeb8e	NZ	EML	2024-01-26T19:11:10.740+00:00	2024-01-29T08:18:03.621+00:00	259	{}	HUMAN_OBSERVATION	1.0	PRESENT	2117874	1	54	354	9477065	2013	2117630	2117874	2117874	Nymphon pfefferi Loman, 1923	Nymphon pfefferi Loman, 1923	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon pfefferi	Nymphon	pfefferi	SPECIES	ACCEPTED	NE	217.0	{}	1927.0	1.0	10.0	1927-01-10	10.0	10.0	['COUNTRY_DERIVED_FROM_COORDINATES', 'CONTINENT_DERIVED_FROM_COORDINATES']	2024-01-29T08:18:03.621+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': '5340'}]	[]	[]	[]		False			Pycnogonida	[]	[]	OCEANIA	5340	Stn 149 Nymphon pfefferi	NIWA		Stn 149	1427444255	Discovery Reports	5340	FEMALE	-54.2586	-36.4251	1000.0	17.0	ANTARCTICA	Atlantic Ocean	2019-03-15T00:00:00.000+00:00	Discovery Expedition Biological Reports	Large otter trawl and Net with mesh of 4mm attached to back of trawl	WGS84	GS	ANTARCTICA	South Georgia and the South Sandwich Islands	269	urn:lsid:marinespecies.org:taxname:173487	LINESTRING (-36.4338 -54.235, -36.4163 -54.2822)	Off mouth of East Cumberland Bay, South Georgia. From 1.15 miles N 76.5° W to 2.62 miles S 11° W of Merton Rock	en	Large otter trawl and Net with mesh of 4mm attached to back of trawl	
1057253243	7e380070-f762-11e1-a439-00145eb45e9a	19456090-b49a-11d8-abeb-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655', '99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	60277b56-f762-11e1-a439-00145eb45e9a	19456090-b49a-11d8-abeb-b8a03c50a862	GB	DWC_ARCHIVE	2024-07-23T03:26:56.939+00:00	2024-07-23T06:18:00.168+00:00	391	{'http://rs.gbif.org/terms/1.0/Multimedia': [{'http://purl.org/dc/terms/type': 'StillImage', 'http://purl.org/dc/terms/title': 'Zoology Accessions Register: Crustacea: 1976 - 1984: page 241', 'http://purl.org/dc/terms/created': '1187783034000', 'http://purl.org/dc/terms/license': 'http://creativecommons.org/licenses/by/4.0/', 'http://purl.org/dc/terms/rightsHolder': 'The Trustees of the Natural History Museum, London', 'http://purl.org/dc/terms/identifier': 'https://data.nhm.ac.uk/media/94cb73fc-2bde-44aa-aba3-02214d5acdae'}]}	PRESERVED_SPECIMEN	2.0	PRESENT	2117874	1	54	354	9477065	2013	2117630	2117874	2117874	Nymphon pfefferi Loman, 1923	Nymphon pfefferi Loman, 1923	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon pfefferi	Nymphon	pfefferi	SPECIES	ACCEPTED	NE		{}	1926.0	12.0	15.0	1926-12-15	349.0	349.0	['MODIFIED_DATE_INVALID', 'MULTIMEDIA_DATE_INVALID', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-07-23T06:18:00.168+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': '2235471'}]	[{'type': 'StillImage', 'title': 'Zoology Accessions Register: Crustacea: 1976 - 1984: page 241', 'license': 'http://creativecommons.org/licenses/by/4.0/', 'rightsHolder': 'The Trustees of the Natural History Museum, London', 'identifier': 'https://data.nhm.ac.uk/media/94cb73fc-2bde-44aa-aba3-02214d5acdae'}]	[]	[]	1d808a7c-1f9e-4379-9616-edb749ecf10e	True	NHMUK:ecatalogue:2235471	Isabella Gordon	Pycnogonida	[]	[]	EUROPE	2235471	1983.156	NHMUK	"{""associatedMediaCount"": 1, ""barcode"": ""011007309"", ""catalogueDescription"": null, ""chondriteAchondrite"": null, ""chronostratigraphy"": null, ""clutchSize"": null, ""collectionKind"": null, ""collectionName"": null, ""commodity"": null, ""created"": 1311788922000, ""currentScientificName"": null, ""dateRegistered"": null, ""depositType"": null, ""determinationFiledAs"": null, ""determinationNames"": ""Nymphon pfefferi Loman, 1923"", ""determinationTypes"": null, ""donorName"": null, ""expedition"": null, ""exsiccata"": null, ""exsiccataNumber"": null, ""extractionMethod"": null, ""gbifID"": ""1057253243"", ""gbifIssue"": null, ""identificationAsRegistered"": null, ""identificationDescription"": null, ""identificationOther"": null, ""identificationVariety"": null, ""kindOfCollection"": null, ""kindOfObject"": null, ""lithostratigraphy"": null, ""meteoriteClass"": null, ""meteoriteGroup"": null, ""meteoriteType"": null, ""mine"": null, ""mineralComplex"": null, ""observedWeight"": null, ""occurrence"": null, ""partType"": null, ""petrologySubtype"": null, ""petrologyType"": null, ""plantDescription"": null, ""populationCode"": null, ""preparationType"": null, ""preservative"": null, ""project"": null, ""recovery"": null, ""recoveryDate"": null, ""recoveryWeight"": null, ""registeredWeightUnit"": null, ""registrationCode"": ""CR06"", ""resuspendedIn"": null, ""setMark"": null, ""subDepartment"": ""LS Chelicerata and Myriapoda"", ""subfamily"": null, ""suborder"": null, ""superfamily"": null, ""texture"": null, ""totalVolume"": null, ""vessel"": null}"	Stn 123	1057253243	ZOO	e6551fed-1214-46ac-ab18-ebc42a79c03e																		off mouth of Cumberland Bay, South Georgia			
1427444222	96385e98-93b5-4e4a-8081-6e30b738816a	1c9c3bb4-377c-4547-aa79-16ea755d6006	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f0d34585-ddcb-4915-9332-6043585e831a	c58ac019-b413-4613-8772-39e57acbeb8e	NZ	EML	2024-01-26T19:11:10.740+00:00	2024-01-29T08:18:03.621+00:00	259	{}	HUMAN_OBSERVATION	1.0	PRESENT	2117874	1	54	354	9477065	2013	2117630	2117874	2117874	Nymphon pfefferi Loman, 1923	Nymphon pfefferi Loman, 1923	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon pfefferi	Nymphon	pfefferi	SPECIES	ACCEPTED	NE	240.0	{}	1926.0	12.0	15.0	1926-12-15	349.0	349.0	['COUNTRY_DERIVED_FROM_COORDINATES', 'CONTINENT_DERIVED_FROM_COORDINATES']	2024-01-29T08:18:03.621+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': '5337'}]	[]	[]	[]		True			Pycnogonida	[]	[]	OCEANIA	5337	Stn 123 Nymphon pfefferi	NIWA		Stn 123	1427444222	Discovery Reports	5337		-54.2042	-36.4137	1000.0	10.0	ANTARCTICA	Atlantic Ocean	2019-03-15T00:00:00.000+00:00	Discovery Expedition Biological Reports	Large otter trawl	WGS84	GS	ANTARCTICA	South Georgia and the South Sandwich Islands	14	urn:lsid:marinespecies.org:taxname:173487	LINESTRING (-36.3952 -54.1598, -36.4322 -54.2486)	off mouth of Cumberland Bay, South Georgia. From 4.1 miles N 54° E or Larsen Point, to 1.2 miles S 62° W or Merton Rock	en	Large otter trawl	
1427444249	96385e98-93b5-4e4a-8081-6e30b738816a	1c9c3bb4-377c-4547-aa79-16ea755d6006	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f0d34585-ddcb-4915-9332-6043585e831a	c58ac019-b413-4613-8772-39e57acbeb8e	NZ	EML	2024-01-26T19:11:10.740+00:00	2024-01-29T08:18:03.621+00:00	259	{}	HUMAN_OBSERVATION	6.0	PRESENT	2117874	1	54	354	9477065	2013	2117630	2117874	2117874	Nymphon pfefferi Loman, 1923	Nymphon pfefferi Loman, 1923	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon pfefferi	Nymphon	pfefferi	SPECIES	ACCEPTED	NE	129.0	{}	1926.0	12.0	23.0	1926-12-23	357.0	357.0	['COUNTRY_DERIVED_FROM_COORDINATES', 'CONTINENT_DERIVED_FROM_COORDINATES']	2024-01-29T08:18:03.621+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': '5338'}]	[]	[]	[]		False			Pycnogonida	[]	[]	OCEANIA	5338	Stn 140 Nymphon pfefferi	NIWA		Stn 140	1427444249	Discovery Reports	5338		-54.134	-36.5737	1000.0	7.0	ANTARCTICA	Atlantic Ocean	2019-03-15T00:00:00.000+00:00	Discovery Expedition Biological Reports	Large otter trawl	WGS84	GS	ANTARCTICA	South Georgia and the South Sandwich Islands	104	urn:lsid:marinespecies.org:taxname:173487	LINESTRING (-36.6333333333333 -54.0333333333333, -36.4833333333333 -54.1916666666667)	Stromness Harbour to Larsen Point, South Georgia	en	Large otter trawl	
1427444231	96385e98-93b5-4e4a-8081-6e30b738816a	1c9c3bb4-377c-4547-aa79-16ea755d6006	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f0d34585-ddcb-4915-9332-6043585e831a	c58ac019-b413-4613-8772-39e57acbeb8e	NZ	EML	2024-01-26T19:11:10.740+00:00	2024-01-29T08:18:03.621+00:00	259	{}	HUMAN_OBSERVATION	1.0	PRESENT	2117874	1	54	354	9477065	2013	2117630	2117874	2117874	Nymphon pfefferi Loman, 1923	Nymphon pfefferi Loman, 1923	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon pfefferi	Nymphon	pfefferi	SPECIES	ACCEPTED	NE	22.0	{'level0': {'gid': 'SGS', 'name': 'South Georgia and the South Sand'}}	1926.0	12.0	29.0	1926-12-29	363.0	363.0	['COUNTRY_DERIVED_FROM_COORDINATES', 'CONTINENT_DERIVED_FROM_COORDINATES']	2024-01-29T08:18:03.621+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': '5339'}]	[]	[]	[]		False			Pycnogonida	[]	[]	OCEANIA	5339	Stn 141 Nymphon pfefferi	NIWA		Stn 141	1427444231	Discovery Reports	5339	MALE	-54.2666	-36.4682	1000.0	5.0	ANTARCTICA	Atlantic Ocean	2019-03-15T00:00:00.000+00:00	Discovery Expedition Biological Reports	Small beam trawl. Beam 2.45m in length: 12.5mm mesh at cod end	WGS84	GS	ANTARCTICA	South Georgia and the South Sandwich Islands	266	urn:lsid:marinespecies.org:taxname:173487	POINT (-36.4682 -54.2666)	East Cumberland Bay, South Georgia. 200 yards from shore, under Mt Duse	en	Small beam trawl. Beam 2.45m in length: 12.5mm mesh at cod end	
1056720612	7e380070-f762-11e1-a439-00145eb45e9a	19456090-b49a-11d8-abeb-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655', '99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	60277b56-f762-11e1-a439-00145eb45e9a	19456090-b49a-11d8-abeb-b8a03c50a862	GB	DWC_ARCHIVE	2024-07-23T03:26:56.939+00:00	2024-07-23T06:19:03.875+00:00	391	{'http://rs.gbif.org/terms/1.0/Multimedia': [{'http://purl.org/dc/terms/type': 'StillImage', 'http://purl.org/dc/terms/title': 'Zoology Accessions Register: Crustacea: 1905 - 1935: page 219', 'http://purl.org/dc/terms/created': '1187778647000', 'http://purl.org/dc/terms/license': 'http://creativecommons.org/licenses/by/4.0/', 'http://purl.org/dc/terms/rightsHolder': 'The Trustees of the Natural History Museum, London', 'http://purl.org/dc/terms/identifier': 'https://data.nhm.ac.uk/media/4047f49a-b9c3-46cb-bc0a-b4a53415d988'}]}	PRESERVED_SPECIMEN		PRESENT	2117874	1	54	354	9477065	2013	2117630	2117874	2117874	Nymphon pfefferi Loman, 1923	Nymphon pfefferi Loman, 1923	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon pfefferi	Nymphon	pfefferi	SPECIES	ACCEPTED	NE		{}							['MODIFIED_DATE_INVALID', 'MULTIMEDIA_DATE_INVALID', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-07-23T06:19:03.875+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': '1215984'}]	[{'type': 'StillImage', 'title': 'Zoology Accessions Register: Crustacea: 1905 - 1935: page 219', 'license': 'http://creativecommons.org/licenses/by/4.0/', 'rightsHolder': 'The Trustees of the Natural History Museum, London', 'identifier': 'https://data.nhm.ac.uk/media/4047f49a-b9c3-46cb-bc0a-b4a53415d988'}]	[]	[]	1d808a7c-1f9e-4379-9616-edb749ecf10e	False	NHMUK:ecatalogue:1215984		Pycnogonida	[]	[]	EUROPE	1215984	1933.3.23.81-85	NHMUK	"{""associatedMediaCount"": 1, ""barcode"": ""011042468"", ""catalogueDescription"": null, ""chondriteAchondrite"": null, ""chronostratigraphy"": null, ""clutchSize"": null, ""collectionKind"": null, ""collectionName"": null, ""commodity"": null, ""created"": 1295355490000, ""currentScientificName"": null, ""dateRegistered"": null, ""depositType"": null, ""determinationFiledAs"": null, ""determinationNames"": ""Nymphon pfefferi Loman, 1923"", ""determinationTypes"": null, ""donorName"": null, ""expedition"": ""Discovery Expedition, 1925-1931"", ""exsiccata"": null, ""exsiccataNumber"": null, ""extractionMethod"": null, ""gbifID"": ""1056720612"", ""gbifIssue"": null, ""identificationAsRegistered"": null, ""identificationDescription"": null, ""identificationOther"": null, ""identificationVariety"": null, ""kindOfCollection"": null, ""kindOfObject"": null, ""lithostratigraphy"": null, ""meteoriteClass"": null, ""meteoriteGroup"": null, ""meteoriteType"": null, ""mine"": null, ""mineralComplex"": null, ""observedWeight"": null, ""occurrence"": null, ""partType"": null, ""petrologySubtype"": null, ""petrologyType"": null, ""plantDescription"": null, ""populationCode"": null, ""preparationType"": null, ""preservative"": null, ""project"": null, ""recovery"": null, ""recoveryDate"": null, ""recoveryWeight"": null, ""registeredWeightUnit"": null, ""registrationCode"": null, ""resuspendedIn"": null, ""setMark"": null, ""subDepartment"": ""LS Chelicerata and Myriapoda"", ""subfamily"": null, ""suborder"": null, ""superfamily"": null, ""texture"": null, ""totalVolume"": null, ""vessel"": ""Discovery""}"	140, 141, 149	1056720612	ZOO	ab50846d-8086-4a8f-9af3-d21b5c78c3c6																					Animalia; Arthropoda; Chelicerata; Pycnogonida; Pantopoda; Nymphonidae
318007890	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862		6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:23.924+00:00	124	{}	OCCURRENCE		PRESENT	2117874	1	54	354	9477065	2013	2117630	2117874	2117874	Nymphon pfefferi Loman, 1923	Nymphon pfefferi Loman, 1923	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon pfefferi	Nymphon	pfefferi	SPECIES	ACCEPTED	NE	99.0	{}							['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:23.924+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:23206'}]	[]	[]	[]		False			Pycnogonida	[]	[]	EUROPE		23206	BAS			318007890	SOMBASE Pycnogonids			-53.85	-37.6333		2.0						WGS84	GS	ANTARCTICA	South Georgia and the South Sandwich Islands							
318007891	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862		6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:23.928+00:00	124	{}	OCCURRENCE		PRESENT	2117874	1	54	354	9477065	2013	2117630	2117874	2117874	Nymphon pfefferi Loman, 1923	Nymphon pfefferi Loman, 1923	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon pfefferi	Nymphon	pfefferi	SPECIES	ACCEPTED	NE	132.5	{}							['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:23.928+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:23207'}]	[]	[]	[]		False			Pycnogonida	[]	[]	EUROPE		23207	BAS			318007891	SOMBASE Pycnogonids			-53.7366	-37.9916		4.5						WGS84	GS	ANTARCTICA	South Georgia and the South Sandwich Islands							
318007892	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862		6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:24.010+00:00	124	{}	OCCURRENCE		PRESENT	2117874	1	54	354	9477065	2013	2117630	2117874	2117874	Nymphon pfefferi Loman, 1923	Nymphon pfefferi Loman, 1923	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon pfefferi	Nymphon	pfefferi	SPECIES	ACCEPTED	NE	74.0	{'level0': {'gid': 'SGS', 'name': 'South Georgia and the South Sand'}}							['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'CONTINENT_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:24.010+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:23208'}]	[]	[]	[]		False			Pycnogonida	[]	[]	EUROPE		23208	BAS			318007892	SOMBASE Pycnogonids			-54.0016	-37.6766		6.0	ANTARCTICA					WGS84	GS	ANTARCTICA	South Georgia and the South Sandwich Islands							
