key	datasetKey	publishingOrgKey	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	individualCount	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	gadm	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	isInCluster	recordedBy	identifiedBy	samplingProtocol	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	recordNumber	identifier	catalogNumber	locality	gbifID	occurrenceRemarks	occurrenceID	georeferenceSources	verbatimDepth	networkKeys	depth	depthAccuracy	waterBody	higherGeography	modified	institutionKey	collectionKey	datasetName	preparations	institutionID	verbatimEventDate	georeferenceProtocol	verbatimCoordinateSystem	collectionCode	institutionCode	locationID	higherClassification	collectionID	sex	rightsHolder	nomenclaturalCode	eventID	habitat	typeStatus
1275071331	379156c8-c268-4537-aea4-83d94cc785f5	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	5a18cf7d-c259-47a4-a3ab-5c3a4024bd2e	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	ZA	EML	2023-01-07T13:47:43.557+00:00	2024-01-24T17:25:01.801+00:00	111	{}	PRESERVED_SPECIMEN	3.0	PRESENT	2117844	1	54	354	9477065	2013	2117630	2117844	2117844	Nymphon pilosum Möbius, 1902	Nymphon pilosum Möbius, 1902	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon pilosum	Nymphon	pilosum	SPECIES	ACCEPTED	NE	-31.988333	29.375	{}	1979.0	6.0	27.0	1979-06-27T00:00	178.0	178.0	['COORDINATE_ROUNDED', 'GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'TYPE_STATUS_INVALID', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-01-24T17:25:01.801+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '1275071331'}]	[]	[]	[]	False	R/V Meiring Naude	CA.Child	Heavy Dredge	WGS84	Pycnogonida	ZA	[]	[]	AFRICA	South Africa	AFRICA	SM250	urn:catalog:IZIKO:SAM-A-19589	SAM-A-19589	31°59,3'S 29°22,5'E	1275071331	1 male +2 female	urn:catalog:IZIKO:SAM-A-19589	Catalogue	150-200 m																									
1275071332	379156c8-c268-4537-aea4-83d94cc785f5	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	5a18cf7d-c259-47a4-a3ab-5c3a4024bd2e	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	ZA	EML	2023-01-07T13:47:43.557+00:00	2024-01-24T17:25:01.801+00:00	111	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2117844	1	54	354	9477065	2013	2117630	2117844	2117844	Nymphon pilosum Möbius, 1902	Nymphon pilosum Möbius, 1902	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon pilosum	Nymphon	pilosum	SPECIES	ACCEPTED	NE	-32.476667	28.98	{}	1979.0	6.0	24.0	1979-06-24T00:00	175.0	175.0	['COORDINATE_ROUNDED', 'GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-01-24T17:25:01.801+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '1275071332'}]	[]	[]	[]	False	R/V Meiring Naude	CA.Child	Heavy Dredge	WGS84	Pycnogonida	ZA	[]	[]	AFRICA	South Africa	AFRICA	SM226	urn:catalog:IZIKO:SAM-A-19590	SAM-A-19590	32°28,6'S 28°58,8'E	1275071332	female	urn:catalog:IZIKO:SAM-A-19590	Catalogue	710-775 m																									
1275071328	379156c8-c268-4537-aea4-83d94cc785f5	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	5a18cf7d-c259-47a4-a3ab-5c3a4024bd2e	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	ZA	EML	2023-01-07T13:47:43.557+00:00	2024-01-24T17:25:01.365+00:00	111	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2117844	1	54	354	9477065	2013	2117630	2117844	2117844	Nymphon pilosum Möbius, 1902	Nymphon pilosum Möbius, 1902	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon pilosum	Nymphon	pilosum	SPECIES	ACCEPTED	NE	-30.89	30.528333	{}	1977.0	5.0	11.0	1977-05-11T00:00	131.0	131.0	['COORDINATE_ROUNDED', 'GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-01-24T17:25:01.365+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '1275071328'}]	[]	[]	[]	False	R/V Meiring Naude	CA.Child	Heavy Dredge	WGS84	Pycnogonida	ZA	[]	[]	AFRICA	South Africa	AFRICA	SM129	urn:catalog:IZIKO:SAM-A-19592	SAM-A-19592	30°53,4'S 30°31,7'E	1275071328	male	urn:catalog:IZIKO:SAM-A-19592	Catalogue	0-850 m																									
1275071336	379156c8-c268-4537-aea4-83d94cc785f5	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	5a18cf7d-c259-47a4-a3ab-5c3a4024bd2e	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	ZA	EML	2023-01-07T13:47:43.557+00:00	2024-01-24T17:25:01.788+00:00	111	{}	PRESERVED_SPECIMEN	7.0	PRESENT	2117844	1	54	354	9477065	2013	2117630	2117844	2117844	Nymphon pilosum Möbius, 1902	Nymphon pilosum Möbius, 1902	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon pilosum	Nymphon	pilosum	SPECIES	ACCEPTED	NE	-28.528333	32.566667	{}	1976.0	5.0	24.0	1976-05-24T00:00	145.0	145.0	['COORDINATE_ROUNDED', 'GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-01-24T17:25:01.788+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '1275071336'}]	[]	[]	[]	False	R/V Meiring Naude	CA.Child	Biol. Dredge	WGS84	Pycnogonida	ZA	[]	[]	AFRICA	South Africa	AFRICA	SM103	urn:catalog:IZIKO:SAM-A-19593	SAM-A-19593	28°31,7'S 32°34,0'E	1275071336	2male ovig,1male,4female ovig,3juvs.	urn:catalog:IZIKO:SAM-A-19593	Catalogue	0-680 m																									
1275071340	379156c8-c268-4537-aea4-83d94cc785f5	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	5a18cf7d-c259-47a4-a3ab-5c3a4024bd2e	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	ZA	EML	2023-01-07T13:47:43.557+00:00	2024-01-24T17:25:01.765+00:00	111	{}	PRESERVED_SPECIMEN	18.0	PRESENT	2117844	1	54	354	9477065	2013	2117630	2117844	2117844	Nymphon pilosum Möbius, 1902	Nymphon pilosum Möbius, 1902	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon pilosum	Nymphon	pilosum	SPECIES	ACCEPTED	NE	-27.991667	32.68	{}	1976.0	5.0	22.0	1976-05-22T00:00	143.0	143.0	['COORDINATE_ROUNDED', 'GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-01-24T17:25:01.765+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '1275071340'}]	[]	[]	[]	False	R/V Meiring Naude	CA.Child	Heavy Dredge	WGS84	Pycnogonida	ZA	[]	[]	AFRICA	South Africa	AFRICA	SM86	urn:catalog:IZIKO:SAM-A-19591	SAM-A-19591	27°59,5'S 32°40,8'E	1275071340	6male with eggs,3male,4female,5juvs.	urn:catalog:IZIKO:SAM-A-19591	Catalogue	0-550 m																									
1318905642	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:39:02.957+00:00	395	{}	PRESERVED_SPECIMEN	2.0	PRESENT	2117844	1	54	354	9477065	2013	2117630	2117844	2117844	Nymphon pilosum Möbius, 1902	Nymphon pilosum Möbius, 1902	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon pilosum	Nymphon	pilosum	SPECIES	ACCEPTED	NE	-27.9917	32.68	{}	1976.0	5.0	22.0	1976-05-22	143.0	143.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-02T12:39:02.957+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/34b540553-331c-4f84-bd81-2a4c3f8538ba'}]	[]	[]	[]	True		Child, C. Allan, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)		WGS84	Pycnogonida	ZA	[]	[]	AFRICA	South Africa	NORTH_AMERICA		http://n2t.net/ark:/65665/34b540553-331c-4f84-bd81-2a4c3f8538ba	USNM 228137	Zululand Area	1318905642		http://n2t.net/ark:/65665/34b540553-331c-4f84-bd81-2a4c3f8538ba			['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	550.0	0.0	Indian Ocean	Indian Ocean, South Africa	2014-10-21T09:07:00.000+00:00	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	NMNH Extant Biology	Alcohol (Ethanol)	urn:lsid:biocol.org:col:34871	22 MAY 1976	unknown, from legacy	Degrees Minutes Seconds	IZ	USNM	SM 86	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Nymphonidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6						
2434362509	b4aad9c3-518b-4550-82de-c70a7ead1b64	396d5f30-dea9-11db-8ab4-b8a03c50a862	65eb93af-41b8-4917-a5fc-cfe2a45aa4bf	396d5f30-dea9-11db-8ab4-b8a03c50a862	NL	DWC_ARCHIVE	2024-07-23T00:32:26.361+00:00	2024-07-23T00:33:23.324+00:00	393	{'http://rs.tdwg.org/ac/terms/Multimedia': [{'http://rs.tdwg.org/ac/terms/accessURI': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1301/format/large', 'http://ns.adobe.com/xap/1.0/rights/Owner': 'Naturalis Biodiversity Center', 'http://rs.tdwg.org/ac/terms/caption': 'ZMA.PYC.P.1301_0', 'http://purl.org/dc/terms/format': 'image/jpeg', 'http://purl.org/dc/elements/1.1/type': 'StillImage', 'http://rs.tdwg.org/ac/terms/variant': 'ac:GoodQuality', 'http://purl.org/dc/terms/identifier': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1301/format/large', 'http://purl.org/dc/terms/rights': 'CC0 1.0'}]}	PRESERVED_SPECIMEN		PRESENT	2117844	1	54	354	9477065	2013	2117630	2117844	2117844	Nymphon pilosum Möbius, 1902	Nymphon pilosum Möbius, 1902	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon pilosum	Nymphon	pilosum	SPECIES	ACCEPTED	NE			{}	1959.0	7.0	17.0	1959-07-17	198.0	198.0	['COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2024-07-23T00:33:23.324+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'ZMA.PYC.P.1301@CRS'}]	[{'type': 'StillImage', 'format': 'image/jpeg', 'description': 'ZMA.PYC.P.1301_0', 'license': 'http://creativecommons.org/publicdomain/zero/1.0/', 'rightsHolder': 'Naturalis Biodiversity Center', 'identifier': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1301/format/large'}]	[]	[]	False					Pycnogonida		[]	[]			EUROPE		ZMA.PYC.P.1301@CRS	ZMA.PYC.P.1301		2434362509		https://data.biodiversitydata.nl/naturalis/specimen/ZMA.PYC.P.1301			['17abcf75-2f1e-46dd-bf75-a5b21dd02655']					2020-04-03T00:00:00.000+00:00	0e919a55-08d3-4bd2-aec1-200858fafd92			WholeOrganism (microscopic slide)	Naturalis Biodiversity Center	17.VII.1959			Chelicerata and Myriapoda			Animalia		FEMALE	Naturalis Biodiversity Center	ICZN			
2434400958	b4aad9c3-518b-4550-82de-c70a7ead1b64	396d5f30-dea9-11db-8ab4-b8a03c50a862	65eb93af-41b8-4917-a5fc-cfe2a45aa4bf	396d5f30-dea9-11db-8ab4-b8a03c50a862	NL	DWC_ARCHIVE	2024-07-23T00:32:26.361+00:00	2024-07-23T00:33:25.516+00:00	393	{'http://rs.tdwg.org/ac/terms/Multimedia': [{'http://rs.tdwg.org/ac/terms/accessURI': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1302/format/large', 'http://ns.adobe.com/xap/1.0/rights/Owner': 'Naturalis Biodiversity Center', 'http://rs.tdwg.org/ac/terms/caption': 'ZMA.PYC.P.1302_0', 'http://purl.org/dc/terms/format': 'image/jpeg', 'http://purl.org/dc/elements/1.1/type': 'StillImage', 'http://rs.tdwg.org/ac/terms/variant': 'ac:GoodQuality', 'http://purl.org/dc/terms/identifier': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1302/format/large', 'http://purl.org/dc/terms/rights': 'CC0 1.0'}]}	PRESERVED_SPECIMEN		PRESENT	2117844	1	54	354	9477065	2013	2117630	2117844	2117844	Nymphon pilosum Möbius, 1902	Nymphon pilosum Möbius, 1902	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon pilosum	Nymphon	pilosum	SPECIES	ACCEPTED	NE			{}	1959.0	7.0	17.0	1959-07-17	198.0	198.0	['COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2024-07-23T00:33:25.516+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'ZMA.PYC.P.1302@CRS'}]	[{'type': 'StillImage', 'format': 'image/jpeg', 'description': 'ZMA.PYC.P.1302_0', 'license': 'http://creativecommons.org/publicdomain/zero/1.0/', 'rightsHolder': 'Naturalis Biodiversity Center', 'identifier': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1302/format/large'}]	[]	[]	False					Pycnogonida		[]	[]			EUROPE		ZMA.PYC.P.1302@CRS	ZMA.PYC.P.1302		2434400958		https://data.biodiversitydata.nl/naturalis/specimen/ZMA.PYC.P.1302			['17abcf75-2f1e-46dd-bf75-a5b21dd02655']					2020-04-03T00:00:00.000+00:00	0e919a55-08d3-4bd2-aec1-200858fafd92			WholeOrganism (microscopic slide)	Naturalis Biodiversity Center	17.VII.1959			Chelicerata and Myriapoda			Animalia		FEMALE	Naturalis Biodiversity Center	ICZN			
1275071201	379156c8-c268-4537-aea4-83d94cc785f5	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	5a18cf7d-c259-47a4-a3ab-5c3a4024bd2e	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	ZA	EML	2023-01-07T13:47:43.557+00:00	2024-01-24T17:25:04.542+00:00	111	{}	PRESERVED_SPECIMEN	0.0	PRESENT	2117844	1	54	354	9477065	2013	2117630	2117844	2117844	Nymphon pilosum Möbius, 1902	Nymphon pilosum Möbius, 1902	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon pilosum	Nymphon	pilosum	SPECIES	ACCEPTED	NE	-29.95	31.183333	{}	1948.0	6.0	1.0	1948-06-01T00:00	153.0	153.0	['COORDINATE_ROUNDED', 'GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'TYPE_STATUS_INVALID', 'OCCURRENCE_STATUS_INFERRED_FROM_BASIS_OF_RECORD']	2024-01-24T17:25:04.542+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '1275071201'}]	[]	[]	[]	False	UCT Ecological Survey	KH.Barnard	Dredge	WGS84	Pycnogonida	ZA	[]	[]	AFRICA	South Africa	AFRICA	AFR 1098B	urn:catalog:IZIKO:SAM-A-10203	SAM-A-10203	29°57'S 31°11'E Off Natal.	1275071201		urn:catalog:IZIKO:SAM-A-10203	Catalogue	0-333 m																									
1836929601	cd6fe3a0-eee9-4066-8420-e36313ed833d	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	5a18cf7d-c259-47a4-a3ab-5c3a4024bd2e	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	ZA	EML	2023-08-29T13:52:47.454+00:00	2024-01-25T00:34:43.866+00:00	251	{}	HUMAN_OBSERVATION		PRESENT	2117844	1	54	354	9477065	2013	2117630	2117844	2117844	Nymphon pilosum Möbius, 1902	Nymphon pilosum Möbius, 1902	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon pilosum	Nymphon	pilosum	SPECIES	ACCEPTED	NE	-29.95	31.183333	{}	1948.0	6.0	1.0	1948-06-01	153.0	153.0	['COORDINATE_ROUNDED', 'GEODETIC_DATUM_ASSUMED_WGS84']	2024-01-25T00:34:43.866+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:FBIP:IZIKO:8791'}]	[]	[]	[]	False				WGS84	Pycnogonida	ZA	[]	[]	AFRICA	South Africa	AFRICA		urn:catalog:FBIP:IZIKO:8791		Off Natal	1836929601		urn:catalog:FBIP:IZIKO:8791																									AFR 1098 B		
