key	datasetKey	publishingOrgKey	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	continent	stateProvince	gadm	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	institutionKey	isInCluster	identifiedBy	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	identifier	catalogNumber	vernacularName	institutionCode	locality	county	gbifID	collectionCode	occurrenceID	references	associatedSequences	recordedBy	taxonConceptID	occurrenceRemarks	networkKeys	individualCount	depth	depthAccuracy	waterBody	higherGeography	modified	collectionKey	datasetName	preparations	institutionID	verbatimEventDate	higherClassification	collectionID	ownerInstitutionCode	fieldNumber
3970758359	bef19e99-90a7-4b3d-a113-bdf4ea6c88f2	2b4e561b-0b1a-4c1b-b564-819bcfe006b8	9afa1395-6e93-4848-a42d-bce896f5195e	657b7bf0-766b-11d9-9f77-b8a03c50a862	KR	EML	2024-04-10T15:17:39.393+00:00	2024-04-10T15:19:20.352+00:00	116	{}	PRESERVED_SPECIMEN	PRESENT	2117824	1	54	354	9477065	2013	2117630	2117824	2117824	Nymphon striatum Losina-Losinsky, 1929	Nymphon striatum Losina-Losinsky, 1929	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon striatum	Nymphon	striatum	SPECIES	ACCEPTED	NE	36.590861	129.458222	ASIA	Gyeongsangbuk-do	{}	2022	4	12	2022-04-12	102	102	['COORDINATE_ROUNDED', 'GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_DERIVED_FROM_COORDINATES', 'IDENTIFIED_DATE_INVALID', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-04-10T15:19:20.352+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': 'MABIK CR00252776'}]	[]	[]	[]	a8264021-9b25-41bb-88b5-eaba3fc66193	False	Lee Damin	WGS84	Pycnogonida	KR	[]	[]	ASIA	Korea, Republic of	ASIA	MABIK CR00252776	MABIK CR00252776	혹기생바다거미	MABIK	Byeonggok-myeon	Yeongdeok-gun	3970758359	CR	MABIK CR00252776																					
3970758357	bef19e99-90a7-4b3d-a113-bdf4ea6c88f2	2b4e561b-0b1a-4c1b-b564-819bcfe006b8	9afa1395-6e93-4848-a42d-bce896f5195e	657b7bf0-766b-11d9-9f77-b8a03c50a862	KR	EML	2024-04-10T15:17:39.393+00:00	2024-04-10T15:19:20.353+00:00	116	{}	PRESERVED_SPECIMEN	PRESENT	2117824	1	54	354	9477065	2013	2117630	2117824	2117824	Nymphon striatum Losina-Losinsky, 1929	Nymphon striatum Losina-Losinsky, 1929	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon striatum	Nymphon	striatum	SPECIES	ACCEPTED	NE	36.590861	129.458222	ASIA	Gyeongsangbuk-do	{}	2022	4	12	2022-04-12	102	102	['COORDINATE_ROUNDED', 'GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_DERIVED_FROM_COORDINATES', 'IDENTIFIED_DATE_INVALID', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-04-10T15:19:20.353+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': 'MABIK CR00252779'}]	[]	[]	[]	a8264021-9b25-41bb-88b5-eaba3fc66193	False	Lee Damin	WGS84	Pycnogonida	KR	[]	[]	ASIA	Korea, Republic of	ASIA	MABIK CR00252779	MABIK CR00252779	혹기생바다거미	MABIK	Byeonggok-myeon	Yeongdeok-gun	3970758357	CR	MABIK CR00252779																					
3970758363	bef19e99-90a7-4b3d-a113-bdf4ea6c88f2	2b4e561b-0b1a-4c1b-b564-819bcfe006b8	9afa1395-6e93-4848-a42d-bce896f5195e	657b7bf0-766b-11d9-9f77-b8a03c50a862	KR	EML	2024-04-10T15:17:39.393+00:00	2024-04-10T15:19:20.352+00:00	116	{}	PRESERVED_SPECIMEN	PRESENT	2117824	1	54	354	9477065	2013	2117630	2117824	2117824	Nymphon striatum Losina-Losinsky, 1929	Nymphon striatum Losina-Losinsky, 1929	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon striatum	Nymphon	striatum	SPECIES	ACCEPTED	NE	38.107778	128.682222	ASIA	Gangwon-do	{}	2022	8	10	2022-08-10	222	222	['COORDINATE_ROUNDED', 'GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_DERIVED_FROM_COORDINATES', 'IDENTIFIED_DATE_INVALID', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-04-10T15:19:20.352+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': 'MABIK CR00252777'}]	[]	[]	[]	a8264021-9b25-41bb-88b5-eaba3fc66193	False	Lee Damin	WGS84	Pycnogonida	KR	[]	[]	ASIA	Korea, Republic of	ASIA	MABIK CR00252777	MABIK CR00252777	혹기생바다거미	MABIK	Yangyang-eup	Yangyang-gun	3970758363	CR	MABIK CR00252777																					
4459279226	bef19e99-90a7-4b3d-a113-bdf4ea6c88f2	2b4e561b-0b1a-4c1b-b564-819bcfe006b8	9afa1395-6e93-4848-a42d-bce896f5195e	657b7bf0-766b-11d9-9f77-b8a03c50a862	KR	EML	2024-04-10T15:17:39.393+00:00	2024-04-10T15:19:36.275+00:00	116	{}	PRESERVED_SPECIMEN	PRESENT	2117824	1	54	354	9477065	2013	2117630	2117824	2117824	Nymphon striatum Losina-Losinsky, 1929	Nymphon striatum Losina-Losinsky, 1929	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon striatum	Nymphon	striatum	SPECIES	ACCEPTED	NE	37.945556	128.843306	ASIA	Gangwon-do	{}	2022	9	2	2022-09-02	245	245	['COORDINATE_ROUNDED', 'GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_DERIVED_FROM_COORDINATES', 'IDENTIFIED_DATE_INVALID', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-04-10T15:19:36.275+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': 'MABIK CR00253053'}]	[]	[]	[]	a8264021-9b25-41bb-88b5-eaba3fc66193	False	Lee Damin	WGS84	Pycnogonida	KR	[]	[]	ASIA	Korea, Republic of	ASIA	MABIK CR00253053	MABIK CR00253053	혹기생바다거미	MABIK	Hyeonnam-myeon	Yangyang-gun	4459279226	CR	MABIK CR00253053																					
4459279225	bef19e99-90a7-4b3d-a113-bdf4ea6c88f2	2b4e561b-0b1a-4c1b-b564-819bcfe006b8	9afa1395-6e93-4848-a42d-bce896f5195e	657b7bf0-766b-11d9-9f77-b8a03c50a862	KR	EML	2024-04-10T15:17:39.393+00:00	2024-04-10T15:19:36.275+00:00	116	{}	PRESERVED_SPECIMEN	PRESENT	2117824	1	54	354	9477065	2013	2117630	2117824	2117824	Nymphon striatum Losina-Losinsky, 1929	Nymphon striatum Losina-Losinsky, 1929	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon striatum	Nymphon	striatum	SPECIES	ACCEPTED	NE	37.945556	128.843306	ASIA	Gangwon-do	{}	2022	9	2	2022-09-02	245	245	['COORDINATE_ROUNDED', 'GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_DERIVED_FROM_COORDINATES', 'IDENTIFIED_DATE_INVALID', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-04-10T15:19:36.275+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': 'MABIK CR00253054'}]	[]	[]	[]	a8264021-9b25-41bb-88b5-eaba3fc66193	False	Lee Damin	WGS84	Pycnogonida	KR	[]	[]	ASIA	Korea, Republic of	ASIA	MABIK CR00253054	MABIK CR00253054	혹기생바다거미	MABIK	Hyeonnam-myeon	Yangyang-gun	4459279225	CR	MABIK CR00253054																					
4459279224	bef19e99-90a7-4b3d-a113-bdf4ea6c88f2	2b4e561b-0b1a-4c1b-b564-819bcfe006b8	9afa1395-6e93-4848-a42d-bce896f5195e	657b7bf0-766b-11d9-9f77-b8a03c50a862	KR	EML	2024-04-10T15:17:39.393+00:00	2024-04-10T15:19:36.275+00:00	116	{}	PRESERVED_SPECIMEN	PRESENT	2117824	1	54	354	9477065	2013	2117630	2117824	2117824	Nymphon striatum Losina-Losinsky, 1929	Nymphon striatum Losina-Losinsky, 1929	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon striatum	Nymphon	striatum	SPECIES	ACCEPTED	NE	37.945556	128.843306	ASIA	Gangwon-do	{}	2022	9	2	2022-09-02	245	245	['COORDINATE_ROUNDED', 'GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_DERIVED_FROM_COORDINATES', 'IDENTIFIED_DATE_INVALID', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-04-10T15:19:36.275+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': 'MABIK CR00253055'}]	[]	[]	[]	a8264021-9b25-41bb-88b5-eaba3fc66193	False	Lee Damin	WGS84	Pycnogonida	KR	[]	[]	ASIA	Korea, Republic of	ASIA	MABIK CR00253055	MABIK CR00253055	혹기생바다거미	MABIK	Hyeonnam-myeon	Yangyang-gun	4459279224	CR	MABIK CR00253055																					
3970759016	bef19e99-90a7-4b3d-a113-bdf4ea6c88f2	2b4e561b-0b1a-4c1b-b564-819bcfe006b8	9afa1395-6e93-4848-a42d-bce896f5195e	657b7bf0-766b-11d9-9f77-b8a03c50a862	KR	EML	2024-04-10T15:17:39.393+00:00	2024-04-10T15:19:33.446+00:00	116	{}	PRESERVED_SPECIMEN	PRESENT	2117824	1	54	354	9477065	2013	2117630	2117824	2117824	Nymphon striatum Losina-Losinsky, 1929	Nymphon striatum Losina-Losinsky, 1929	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon striatum	Nymphon	striatum	SPECIES	ACCEPTED	NE	38.291417	128.58875	ASIA	Gangwon-do	{}	2021	10	14	2021-10-14	287	287	['COORDINATE_ROUNDED', 'GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_DERIVED_FROM_COORDINATES', 'IDENTIFIED_DATE_INVALID', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-04-10T15:19:33.446+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': 'MABIK CR00248807'}]	[]	[]	[]	a8264021-9b25-41bb-88b5-eaba3fc66193	False	Lee Damin	WGS84	Pycnogonida	KR	[]	[]	ASIA	Korea, Republic of	ASIA	MABIK CR00248807	MABIK CR00248807	혹기생바다거미	MABIK	Jugwang-myeon	Goseong-gun	3970759016	CR	MABIK CR00248807																					
3970759015	bef19e99-90a7-4b3d-a113-bdf4ea6c88f2	2b4e561b-0b1a-4c1b-b564-819bcfe006b8	9afa1395-6e93-4848-a42d-bce896f5195e	657b7bf0-766b-11d9-9f77-b8a03c50a862	KR	EML	2024-04-10T15:17:39.393+00:00	2024-04-10T15:19:33.447+00:00	116	{}	PRESERVED_SPECIMEN	PRESENT	2117824	1	54	354	9477065	2013	2117630	2117824	2117824	Nymphon striatum Losina-Losinsky, 1929	Nymphon striatum Losina-Losinsky, 1929	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon striatum	Nymphon	striatum	SPECIES	ACCEPTED	NE	38.291417	128.58875	ASIA	Gangwon-do	{}	2021	10	14	2021-10-14	287	287	['COORDINATE_ROUNDED', 'GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_DERIVED_FROM_COORDINATES', 'IDENTIFIED_DATE_INVALID', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-04-10T15:19:33.447+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': 'MABIK CR00248808'}]	[]	[]	[]	a8264021-9b25-41bb-88b5-eaba3fc66193	False	Lee Damin	WGS84	Pycnogonida	KR	[]	[]	ASIA	Korea, Republic of	ASIA	MABIK CR00248808	MABIK CR00248808	혹기생바다거미	MABIK	Jugwang-myeon	Goseong-gun	3970759015	CR	MABIK CR00248808																					
3818533658	d8cd16ba-bb74-4420-821e-083f2bac17c2	ada9d123-ddb4-467d-8891-806ea8d94230	17a83780-3060-4851-9d6f-029d5fcb81c9	fbca90e3-8aed-48b1-84e3-369afbd000ce	GB	EML	2024-07-20T12:06:08.628+00:00	2024-07-20T12:50:10.198+00:00	175	{}	MATERIAL_SAMPLE	PRESENT	2117824	1	54	354	9477065	2013	2117630	2117824	2117824	Nymphon striatum Losina-Losinsky, 1929	Nymphon striatum Losina-Losinsky, 1929	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon striatum	Nymphon	striatum	SPECIES	ACCEPTED	NE	37.82609	128.93379	ASIA		{}	2018	7	12	2018-07-12	193	193	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED']	2024-07-20T12:50:10.198+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	True	[{'identifier': 'JABFOP010000000'}]	[]	[]	[]		False	Damin Lee	WGS84	Pycnogonida	KR	[]	[]	ASIA	Korea, Republic of	EUROPE	JABFOP010000000				Gangneung-si, Gangwon-do		3818533658		JABFOP010000000	https://www.ebi.ac.uk/ena/browser/view/JABFOP010000000	https://www.ebi.ac.uk/ena/browser/api/embl/JABFOP010000000	Damin Lee	https://www.ebi.ac.uk/ena/browser/view/Taxon:424472	Nymphon striatum breed wild specimen, 40 individuals from the same locality isolate MADBK_800301_WGS, whole genome shotgun sequencing project.																
3970758903	bef19e99-90a7-4b3d-a113-bdf4ea6c88f2	2b4e561b-0b1a-4c1b-b564-819bcfe006b8	9afa1395-6e93-4848-a42d-bce896f5195e	657b7bf0-766b-11d9-9f77-b8a03c50a862	KR	EML	2024-04-10T15:17:39.393+00:00	2024-04-10T15:19:21.771+00:00	116	{}	PRESERVED_SPECIMEN	PRESENT	2117824	1	54	354	9477065	2013	2117630	2117824	2117824	Nymphon striatum Losina-Losinsky, 1929	Nymphon striatum Losina-Losinsky, 1929	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon striatum	Nymphon	striatum	SPECIES	ACCEPTED	NE	37.9304	128.816189	ASIA	Gangwon-do	{}	2014	4	9	2014-04-09	99	99	['COORDINATE_ROUNDED', 'GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_DERIVED_FROM_COORDINATES', 'IDENTIFIED_DATE_INVALID', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-04-10T15:19:21.771+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': 'MABIK CR00252049'}]	[]	[]	[]	a8264021-9b25-41bb-88b5-eaba3fc66193	False	Lee Damin	WGS84	Pycnogonida	KR	[]	[]	ASIA	Korea, Republic of	ASIA	MABIK CR00252049	MABIK CR00252049	혹기생바다거미	MABIK	Hyeonnam-myeon	Yangyang-gun	3970758903	CR	MABIK CR00252049																					
