key	datasetKey	publishingOrgKey	networkKeys	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	projectId	extensions	basisOfRecord	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	depth	depthAccuracy	continent	gadm	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	lastInterpreted	license	organismQuantity	organismQuantityType	isSequenced	identifiers	media	facts	relations	institutionKey	isInCluster	identifiedBy	preparations	samplingProtocol	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	eventID	identifier	scientificNameID	institutionID	verbatimEventDate	footprintWKT	fieldNumber	language	gbifID	occurrenceID	type	catalogNumber	institutionCode	identificationRemarks	datasetID	recordNumber	http://unknown.org/taxonRankID	dynamicProperties	taxonID	taxonConceptID	identificationQualifier	http://unknown.org/species	datasetName	recordedBy	locality	collectionCode	locationID	georeferenceSources	modified	bibliographicCitation	individualCount	otherCatalogNumbers	higherClassification	waterBody	occurrenceRemarks	sex	stateProvince	higherGeography	collectionKey	verbatimCoordinateSystem	collectionID	originalNameUsage	county	associatedReferences	identificationVerificationStatus	http://unknown.org/orders	nameAccordingTo	http://unknown.org/language	typeStatus	islandGroup	associatedSequences	eventRemarks	parentNameUsageID	organismID
3386516918	1e7b6980-0842-4c4a-8b14-541b95d2ed3c	104e9c96-791b-4f14-978c-f581cb214912	['8534dd20-c368-4a1f-bdaf-e6b390710f89', '2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	27c24cba-13c5-47d1-96a1-16abd8f11437	fb10a11f-4417-41c8-be6a-13a5c8535122	GB	EML	2024-01-23T14:13:17.412+00:00	2024-01-26T10:52:24.751+00:00	97	GOIPG/2019/4020	{}	PRESERVED_SPECIMEN	PRESENT	2117788	1	54	354	9477065	2013	2117630	2117788	2117788	Nymphon subtile Loman, 1923	Nymphon subtile Loman, 1923	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon subtile	Nymphon	subtile	SPECIES	ACCEPTED	NE	-64.0483	-58.4648	305.0	757.0	30.0	ANTARCTICA	{}	2018.0	3.0	5.0	2018-03-05	64.0	64.0	['CONTINENT_DERIVED_FROM_COORDINATES', 'COLLECTION_MATCH_NONE']	2024-01-26T10:52:24.751+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	1.0	individuals	False	[{'identifier': 'JR17003a_0085_3_EBS_E_35'}]	[]	[]	[]	da671615-9a15-4844-9d5e-ef66382192fb	False	Jamie Maxwell	Whole animal in 96% ethanol	epibenthic sledge|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr17003a.pdf	WGS84	Pycnogonida	AQ	[]	[{'type': 'ORCID', 'value': 'https://orcid.org/0000-0001-5705-2811'}]	ANTARCTICA	Antarctica	EUROPE	JR17003a	JR17003a_0085_3_EBS_E_35	urn:lsid:marinespecies.org:taxname:240326	https://ror.org/01rhff309	5/3/2018	LINESTRING (-58.4599 -64.0466, -58.4697 -64.05)	JR17003a_035	en	3386516918	JR17003a_0085_3_EBS_E_35	PhysicalObject	JR17003a_0085_3_EBS_E_35	BAS	More teeth on finger than described and aux claw shorter. could be N. pfefferi																																								
3386516378	1e7b6980-0842-4c4a-8b14-541b95d2ed3c	104e9c96-791b-4f14-978c-f581cb214912	['8534dd20-c368-4a1f-bdaf-e6b390710f89', '2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	27c24cba-13c5-47d1-96a1-16abd8f11437	fb10a11f-4417-41c8-be6a-13a5c8535122	GB	EML	2024-01-23T14:13:17.412+00:00	2024-01-26T10:52:24.337+00:00	97	GOIPG/2019/4020	{}	PRESERVED_SPECIMEN	PRESENT	2117788	1	54	354	9477065	2013	2117630	2117788	2117788	Nymphon subtile Loman, 1923	Nymphon subtile Loman, 1923	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon subtile	Nymphon	subtile	SPECIES	ACCEPTED	NE	-53.4036	-42.692	144.0	331.1	14.099999999999994		{}	2011.0	2.0	14.0	2011-02-14	45.0	45.0	['COLLECTION_MATCH_NONE']	2024-01-26T10:52:24.337+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	1.0	individuals	False	[{'identifier': 'ANTXXVII/3_PS77_1211_5.2'}]	[]	[]	[]	da671615-9a15-4844-9d5e-ef66382192fb	False	Jamie Maxwell	Whole animal in 96% ethanol	Agassiz trawl|https://epic.awi.de/id/eprint/30175/1/644-2012%20ANT27-3%20RKnust.pdf	WGS84	Pycnogonida	GS	[]	[{'type': 'ORCID', 'value': 'https://orcid.org/0000-0001-5705-2811'}]	ANTARCTICA	South Georgia and the South Sandwich Islands	EUROPE	PS77	ANTXXVII/3_PS77_1211_5.2	urn:lsid:marinespecies.org:taxname:240326	https://ror.org/01rhff309	14/02/2011	LINESTRING (-42.689833 -53.40367, -42.69416667 -53.4035)	PS77_PS77/211-5	en	3386516378	ANTXXVII/3_PS77_1211_5.2	PhysicalObject	ANTXXVII/3_PS77_1211_5.2	BAS	small, glabrous																																								
3466772445	149e44e7-fb0b-4db0-a40a-86e64eb8baf3	3693ff90-4c16-11d8-b290-b8a03c50a862		1cbabffe-9073-4007-ba1e-40ebcda6e302	3693ff90-4c16-11d8-b290-b8a03c50a862	AU	DWC_ARCHIVE	2024-06-23T06:50:21.823+00:00	2024-06-23T06:51:17.303+00:00	273		{}	HUMAN_OBSERVATION	PRESENT	2117788	1	54	354	9477065	2013	2117630	2117788	2117788	Nymphon subtile Loman, 1923	Nymphon subtile Loman, 1923	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon subtile	Nymphon	subtile	SPECIES	ACCEPTED	NE				790.0	20.0	ANTARCTICA	{}	2008.0	4.0	12.0	2008-04-12	103.0	103.0	['TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'TAXON_MATCH_TAXON_ID_IGNORED']	2024-06-23T06:51:17.303+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	1.0	Individuals	False	[{'identifier': '15d6c358-f9ca-4c32-b415-fbd0316dde0b'}]	[]	[]	[]		False	C. Arango	ETOH - No Formalin	SE - Sled, epibenthic		Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	OCEANIA	SampleStation_ TAN0803/79	15d6c358-f9ca-4c32-b415-fbd0316dde0b	urn:lsid:marinespecies.org:taxname:240326		4/12/2008	LINESTRING (159.1305 -53.7151667, 159.125 -53.7178333)			3466772445	15d6c358-f9ca-4c32-b415-fbd0316dde0b		40541			ASAC_3010_0077	NIWA.0077	7000	{materialSampleID:PL1F9 to Guelph (replacing n australe-eltaninae 37026-2 no tissue avail.}	240326	https://biodiversity.org.au/afd/taxa/08cb3e82-5dde-4992-92b5-3052fac718b8	Species	Nymphon subtile																																
4081076043	4d0b1b2a-3209-49ce-bb93-7503e4868019	c58ac019-b413-4613-8772-39e57acbeb8e	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f0d34585-ddcb-4915-9332-6043585e831a	c58ac019-b413-4613-8772-39e57acbeb8e	NZ	EML	2023-06-07T18:53:24.650+00:00	2024-01-25T07:20:23.417+00:00	166		{}	PRESERVED_SPECIMEN	PRESENT	2117788	1	54	354	9477065	2013	2117630	2117788	2117788	Nymphon subtile Loman, 1923	Nymphon subtile Loman, 1923	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon subtile	Nymphon	subtile	SPECIES	ACCEPTED	NE	-53.715167	159.1305	100.0	790.0	20.0		{}	2008.0	4.0	12.0	2008-04-12	103.0	103.0	['COORDINATE_ROUNDED', 'CONTINENT_COORDINATE_MISMATCH', 'RECORDED_DATE_INVALID', 'MODIFIED_DATE_INVALID', 'IDENTIFIED_DATE_INVALID', 'INSTITUTION_MATCH_NONE']	2024-01-25T07:20:23.417+00:00	http://creativecommons.org/licenses/by/4.0/legalcode			False	[{'identifier': '5ffc472e-fa36-11e2-96b3-aa6f927c92a3'}]	[]	[]	[]		False	Arango, Claudia	Specimen(s), Ethanol - no formalin = 1,  BB General Wet Collection	Sled, epibenthic	WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA		5ffc472e-fa36-11e2-96b3-aa6f927c92a3	urn:lsid:marinespecies.org:taxname:240326			LINESTRING (159.1305 -53.7151667, 159.125 -53.7178333)		en	4081076043	5ffc472e-fa36-11e2-96b3-aa6f927c92a3		40541	NIWA Invertebrate Collection								cf.		NIWA Invertebrate Collection	Seamount	Seamount 7 Macquarie Ridge. Australian EEZ	NIWA	TAN0803/79	GPS																										
1914305137	7b45011a-f762-11e1-a439-00145eb45e9a	104e9c96-791b-4f14-978c-f581cb214912	['8534dd20-c368-4a1f-bdaf-e6b390710f89', '2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	27c24cba-13c5-47d1-96a1-16abd8f11437	fb10a11f-4417-41c8-be6a-13a5c8535122	GB	EML	2023-01-08T06:21:57.305+00:00	2024-01-24T20:20:34.714+00:00	240		{}	HUMAN_OBSERVATION	PRESENT	2117788	1	54	354	9477065	2013	2117630	2117788	2117788	Nymphon subtile Loman, 1923	Nymphon subtile Loman, 1923	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon subtile	Nymphon	subtile	SPECIES	ACCEPTED	NE	-62.1526	-58.44548		290.0		ANTARCTICA	{}	1985.0	1.0	30.0	1985-01-30	30.0	30.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES']	2024-01-24T20:20:34.714+00:00	http://creativecommons.org/licenses/by/4.0/legalcode			False	[{'identifier': 'urn:catalog:University of Lodz:OC - Pycnogonida:422_0061'}]	[]	[]	[]		False	Bamber Roger			WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	EUROPE		urn:catalog:University of Lodz:OC - Pycnogonida:422_0061	urn:lsid:marinespecies.org:taxname:240326						1914305137	urn:catalog:University of Lodz:OC - Pycnogonida:422_0061		422	University of Lodz		IMIS:dasid:1649									Sicinski Jacek	Admiralty Bay	OC - Pycnogonida			2008-05-05T00:00:00.000+00:00	Sicinski J., Bamber R. 2008. Admiralty Bay Benthos Diversity Data Base (ABBED). Pycnogonida. (http://www.scarmarbin.be)																								
1914305103	7b45011a-f762-11e1-a439-00145eb45e9a	104e9c96-791b-4f14-978c-f581cb214912	['8534dd20-c368-4a1f-bdaf-e6b390710f89', '2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	27c24cba-13c5-47d1-96a1-16abd8f11437	fb10a11f-4417-41c8-be6a-13a5c8535122	GB	EML	2023-01-08T06:21:57.305+00:00	2024-01-24T20:20:34.929+00:00	240		{}	HUMAN_OBSERVATION	PRESENT	2117788	1	54	354	9477065	2013	2117630	2117788	2117788	Nymphon subtile Loman, 1923	Nymphon subtile Loman, 1923	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon subtile	Nymphon	subtile	SPECIES	ACCEPTED	NE	-62.13334	-58.48433		240.0		ANTARCTICA	{}	1980.0	1.0	4.0	1980-01-04	4.0	4.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES']	2024-01-24T20:20:34.929+00:00	http://creativecommons.org/licenses/by/4.0/legalcode			False	[{'identifier': 'urn:catalog:University of Lodz:OC - Pycnogonida:252_0045'}]	[]	[]	[]		False	Bamber Roger			WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	EUROPE		urn:catalog:University of Lodz:OC - Pycnogonida:252_0045	urn:lsid:marinespecies.org:taxname:240326						1914305103	urn:catalog:University of Lodz:OC - Pycnogonida:252_0045		252	University of Lodz		IMIS:dasid:1649									Presler Piotr, Sicinski Jacek	Admiralty Bay	OC - Pycnogonida			2008-05-05T00:00:00.000+00:00	Sicinski J., Bamber R. 2008. Admiralty Bay Benthos Diversity Data Base (ABBED). Pycnogonida. (http://www.scarmarbin.be)																								
1057552235	7e380070-f762-11e1-a439-00145eb45e9a	19456090-b49a-11d8-abeb-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655', '99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	60277b56-f762-11e1-a439-00145eb45e9a	19456090-b49a-11d8-abeb-b8a03c50a862	GB	DWC_ARCHIVE	2024-07-23T03:26:56.939+00:00	2024-07-23T06:19:06.428+00:00	391		{'http://rs.gbif.org/terms/1.0/Multimedia': [{'http://purl.org/dc/terms/type': 'StillImage', 'http://purl.org/dc/terms/title': 'Zoology Accessions Register: Crustacea: 1976 - 1984: page 242', 'http://purl.org/dc/terms/created': '1187783038000', 'http://purl.org/dc/terms/license': 'http://creativecommons.org/licenses/by/4.0/', 'http://purl.org/dc/terms/rightsHolder': 'The Trustees of the Natural History Museum, London', 'http://purl.org/dc/terms/identifier': 'https://data.nhm.ac.uk/media/f9ed9796-8da7-4b06-a793-8b8376e980c2'}]}	PRESERVED_SPECIMEN	PRESENT	2117788	1	54	354	9477065	2013	2117630	2117788	2117788	Nymphon subtile Loman, 1923	Nymphon subtile Loman, 1923	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon subtile	Nymphon	subtile	SPECIES	ACCEPTED	NE	-46.0	-60.083333		203.0	53.0		{}	1928.0	7.0	7.0	1928-07-07	189.0	189.0	['COORDINATE_ROUNDED', 'GEODETIC_DATUM_ASSUMED_WGS84', 'MODIFIED_DATE_INVALID', 'MULTIMEDIA_DATE_INVALID', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-07-23T06:19:06.428+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode			False	[{'identifier': '2234200'}]	[{'type': 'StillImage', 'title': 'Zoology Accessions Register: Crustacea: 1976 - 1984: page 242', 'license': 'http://creativecommons.org/licenses/by/4.0/', 'rightsHolder': 'The Trustees of the Natural History Museum, London', 'identifier': 'https://data.nhm.ac.uk/media/f9ed9796-8da7-4b06-a793-8b8376e980c2'}]	[]	[]	1d808a7c-1f9e-4379-9616-edb749ecf10e	True	Isabella Gordon			WGS84	Pycnogonida		[]	[]			EUROPE		2234200							1057552235	8924e22d-cea0-4ca0-86a1-e84df41917e7		1983.159	NHMUK					"{""associatedMediaCount"": 1, ""barcode"": ""011006091"", ""catalogueDescription"": null, ""chondriteAchondrite"": null, ""chronostratigraphy"": null, ""clutchSize"": null, ""collectionKind"": null, ""collectionName"": null, ""commodity"": null, ""created"": 1311782877000, ""currentScientificName"": null, ""dateRegistered"": null, ""depositType"": null, ""determinationFiledAs"": null, ""determinationNames"": ""Nymphon subtile Loman, 1923"", ""determinationTypes"": null, ""donorName"": ""Institute of Oceanographic Sciences"", ""expedition"": ""Discovery Expedition"", ""exsiccata"": null, ""exsiccataNumber"": null, ""extractionMethod"": null, ""gbifID"": ""1057552235"", ""gbifIssue"": [""COORDINATE_ROUNDED"", ""GEODETIC_DATUM_ASSUMED_WGS84""], ""identificationAsRegistered"": null, ""identificationDescription"": null, ""identificationOther"": null, ""identificationVariety"": null, ""kindOfCollection"": null, ""kindOfObject"": null, ""lithostratigraphy"": null, ""meteoriteClass"": null, ""meteoriteGroup"": null, ""meteoriteType"": null, ""mine"": null, ""mineralComplex"": null, ""observedWeight"": null, ""occurrence"": null, ""partType"": null, ""petrologySubtype"": null, ""petrologyType"": null, ""plantDescription"": null, ""populationCode"": null, ""preparationType"": null, ""preservative"": null, ""project"": null, ""recovery"": null, ""recoveryDate"": null, ""recoveryWeight"": null, ""registeredWeightUnit"": null, ""registrationCode"": ""CR06"", ""resuspendedIn"": null, ""setMark"": null, ""subDepartment"": ""LS Chelicerata and Myriapoda"", ""subfamily"": null, ""suborder"": null, ""superfamily"": null, ""texture"": null, ""totalVolume"": null, ""vessel"": ""Discovery""}"								ZOO					2.0	NHMUK:ecatalogue:2234200	Animalia; Arthropoda; Chelicerata; Pycnogonida; Pantopoda; Nymphonidae																					
1427444273	96385e98-93b5-4e4a-8081-6e30b738816a	1c9c3bb4-377c-4547-aa79-16ea755d6006	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f0d34585-ddcb-4915-9332-6043585e831a	c58ac019-b413-4613-8772-39e57acbeb8e	NZ	EML	2024-01-26T19:11:10.740+00:00	2024-01-29T08:18:03.618+00:00	259		{}	HUMAN_OBSERVATION	PRESENT	2117788	1	54	354	9477065	2013	2117630	2117788	2117788	Nymphon subtile Loman, 1923	Nymphon subtile Loman, 1923	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon subtile	Nymphon	subtile	SPECIES	ACCEPTED	NE	-46.0	-60.0833	500.0	203.0	53.0		{}	1928.0	7.0	7.0	1928-07-07	189.0	189.0	[]	2024-01-29T08:18:03.618+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode			False	[{'identifier': '5334'}]	[]	[]	[]		True			Commercial otter trawl: Head rope 24.5 m; mesh at cod-end 3.8cm	WGS84	Pycnogonida		[]	[]			OCEANIA	81	5334	urn:lsid:marinespecies.org:taxname:240326			POINT (-60.0833 -46)	Stn WS 237	en	1427444273	5334		Stn WS 237 Nymphon subtile	NIWA										Discovery Expedition Biological Reports			Discovery Reports			2019-03-15T00:00:00.000+00:00		2.0			Atlantic Ocean	Commercial otter trawl: Head rope 24.5m; mesh at cod-end 3.8cm																			
1427444295	96385e98-93b5-4e4a-8081-6e30b738816a	1c9c3bb4-377c-4547-aa79-16ea755d6006	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f0d34585-ddcb-4915-9332-6043585e831a	c58ac019-b413-4613-8772-39e57acbeb8e	NZ	EML	2024-01-26T19:11:10.740+00:00	2024-01-29T08:18:03.623+00:00	259		{}	HUMAN_OBSERVATION	PRESENT	2117788	1	54	354	9477065	2013	2117630	2117788	2117788	Nymphon subtile Loman, 1923	Nymphon subtile Loman, 1923	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon subtile	Nymphon	subtile	SPECIES	ACCEPTED	NE	-50.4167	-57.3333	500.0	240.5	30.5		{}	1928.0	7.0	1.0	1928-07-01	183.0	183.0	['COUNTRY_DERIVED_FROM_COORDINATES']	2024-01-29T08:18:03.623+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode			False	[{'identifier': '5335'}]	[]	[]	[]		False			Net of 4mm mesh attached to commercial otter trawl	WGS84	Pycnogonida	FK	[]	[]	LATIN_AMERICA	Falkland Islands (Malvinas)	OCEANIA	79	5335	urn:lsid:marinespecies.org:taxname:240326			POINT (-57.3333 -50.4167)	Stn WS 229	en	1427444295	5335		Stn WS 229 Nymphon subtile	NIWA										Discovery Expedition Biological Reports			Discovery Reports			2019-03-15T00:00:00.000+00:00		4.0			Atlantic Ocean	Net of 4mm mesh attached to commercial otter trawl. With Pallene australis																			
1427444326	96385e98-93b5-4e4a-8081-6e30b738816a	1c9c3bb4-377c-4547-aa79-16ea755d6006	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f0d34585-ddcb-4915-9332-6043585e831a	c58ac019-b413-4613-8772-39e57acbeb8e	NZ	EML	2024-01-26T19:11:10.740+00:00	2024-01-29T08:18:03.620+00:00	259		{}	HUMAN_OBSERVATION	PRESENT	2117788	1	54	354	9477065	2013	2117630	2117788	2117788	Nymphon subtile Loman, 1923	Nymphon subtile Loman, 1923	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon subtile	Nymphon	subtile	SPECIES	ACCEPTED	NE	-52.6	-63.6667	500.0	297.0	7.0		{}	1928.0	7.0	18.0	1928-07-18	200.0	200.0	['COUNTRY_DERIVED_FROM_COORDINATES']	2024-01-29T08:18:03.620+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode			False	[{'identifier': '5336'}]	[]	[]	[]		False			Commercial otter trawl: Head rope 24.5 m; mesh at cod-end 3.8cm	WGS84	Pycnogonida	FK	[]	[]	LATIN_AMERICA	Falkland Islands (Malvinas)	OCEANIA	170	5336	urn:lsid:marinespecies.org:taxname:240326			POINT (-63.6667 -52.6)	Stn WS 245	en	1427444326	5336		Stn WS 245 Nymphon subtile	NIWA										Discovery Expedition Biological Reports			Discovery Reports			2019-03-15T00:00:00.000+00:00		2.0			Atlantic Ocean	Commercial otter trawl: Head rope 24.5m; mesh at cod-end 3.8cm																			
