key	datasetKey	publishingOrgKey	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	individualCount	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	elevation	elevationAccuracy	continent	stateProvince	gadm	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	modified	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	isInCluster	recordedBy	identifiedBy	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	identifier	catalogNumber	institutionCode	county	gbifID	collectionCode	occurrenceID	fieldNotes	depth	depthAccuracy	waterBody	institutionKey	datasetName	samplingProtocol	eventID	scientificNameID	footprintWKT	eventTime	locality	fieldNumber	networkKeys	dateIdentified	collectionKey	preparations	habitat	verbatimDepth	rightsHolder	institutionID	verbatimEventDate	language	type	locationID	bibliographicCitation	higherClassification	collectionID	informationWithheld	taxonConceptID	http://unknown.org/rightsHolder	identificationVerificationStatus	http://unknown.org/license	taxonID	ownerInstitutionCode	parentEventID	projectId	higherGeography	acceptedNameUsage	locationRemarks	sex	georeferenceProtocol	verbatimCoordinateSystem	identificationQualifier	occurrenceRemarks	otherCatalogNumbers	georeferenceRemarks	verbatimIdentification	dynamicProperties	lifeStage	organismQuantity	organismQuantityType	datasetID	nomenclaturalCode	verbatimLocality	disposition	parentNameUsage	recordNumber	materialEntityID	footprintSRS	references	municipality	associatedReferences	taxonRemarks	vernacularName	georeferencedDate	previousIdentifications	accessRights	georeferenceSources	coordinatePrecision	georeferencedBy	georeferenceVerificationStatus	higherGeographyID	identificationRemarks	dataGeneralizations	associatedSequences
4907829702	492d63a8-4978-4bc7-acd8-7d0e3ac0e744	d3978a37-635a-4ae3-bb85-7b4d41bc0b88	7bdf9f6d-317a-45ec-8bb7-7ff61345d6a6	d3978a37-635a-4ae3-bb85-7b4d41bc0b88	NO	EML	2024-07-23T12:10:21.290+00:00	2024-07-23T12:36:09.449+00:00	537	{}	HUMAN_OBSERVATION	1.0	PRESENT	2117758	1	54	354	9477065	2013	2117630	2117758	2117758	Nymphon tenellum (Sars, 1888)	Nymphon tenellum (Sars, 1888)	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon tenellum	Nymphon	tenellum	SPECIES	ACCEPTED	NE	61.916849	5.106681	1000.0	0.0	0.0	EUROPE	Kinn	{}	2023.0	5.0	22.0	2023-05-22	142.0	142.0	['COORDINATE_ROUNDED', 'GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2023-05-22T00:00:00.000+00:00	2024-07-23T12:36:09.449+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'miljodir:vannmiljo:289132397'}]	[]	[]	[]	False	STIM Miljø	STIM Miljø	WGS84	Pycnogonida	NO	[]	[]	EUROPE	Norway	EUROPE	miljodir:vannmiljo:289132397	289132397	miljodir	Vestland	4907829702	vannmiljo	miljodir:vannmiljo:289132397																																																																												
4147752903	492d63a8-4978-4bc7-acd8-7d0e3ac0e744	d3978a37-635a-4ae3-bb85-7b4d41bc0b88	7bdf9f6d-317a-45ec-8bb7-7ff61345d6a6	d3978a37-635a-4ae3-bb85-7b4d41bc0b88	NO	EML	2024-07-23T12:10:21.290+00:00	2024-07-23T12:35:45.575+00:00	537	{}	HUMAN_OBSERVATION	1.0	PRESENT	2117758	1	54	354	9477065	2013	2117630	2117758	2117758	Nymphon tenellum (Sars, 1888)	Nymphon tenellum (Sars, 1888)	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon tenellum	Nymphon	tenellum	SPECIES	ACCEPTED	NE	69.02362	17.525251	1000.0	0.0	0.0	EUROPE	Dyrøy	{}	2022.0	7.0	18.0	2022-07-18	199.0	199.0	['COORDINATE_ROUNDED', 'GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2022-07-18T00:00:00.000+00:00	2024-07-23T12:35:45.575+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'miljodir:vannmiljo:195151105'}]	[]	[]	[]	False	Sea Eco AS	Sea Eco AS	WGS84	Pycnogonida	NO	[]	[]	EUROPE	Norway	EUROPE	miljodir:vannmiljo:195151105	195151105	miljodir	Troms	4147752903	vannmiljo	miljodir:vannmiljo:195151105	Underleverandør for artsidentifisering: STIM AS																																																																											
4430028982	99006141-bf02-4821-8e6e-5818a1cbf70a	ff265032-b806-411a-b4b8-15a27b767dce	56b3ccf5-ad40-433f-997e-1eeb565a5889	ff265032-b806-411a-b4b8-15a27b767dce	NO	EML	2024-04-11T12:43:11.848+00:00	2024-04-11T12:43:29.315+00:00	330	{'http://rs.iobis.org/obis/terms/ExtendedMeasurementOrFact': [{'http://rs.tdwg.org/dwc/terms/measurementUnit': 'Number per 100 square meter', 'http://rs.tdwg.org/dwc/terms/measurementValue': '2', 'http://rs.iobis.org/obis/terms/measurementTypeID': 'http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL02/', 'http://rs.tdwg.org/dwc/terms/occurrenceID': '247210011001041', 'http://rs.tdwg.org/dwc/terms/measurementType': 'Abundance'}, {'http://rs.tdwg.org/dwc/terms/measurementUnit': 'Gram biomass per 100 square meter', 'http://rs.tdwg.org/dwc/terms/measurementValue': '0.395442975865559', 'http://rs.iobis.org/obis/terms/measurementTypeID': 'http://vocab.nerc.ac.uk/collection/P01/current/ODRYBM01/', 'http://rs.tdwg.org/dwc/terms/occurrenceID': '247210011001041', 'http://rs.tdwg.org/dwc/terms/measurementType': 'Biomass'}]}	MATERIAL_SAMPLE		PRESENT	2117758	1	54	354	9477065	2013	2117630	2117758	2117758	Nymphon tenellum (Sars, 1888)	Nymphon tenellum (Sars, 1888)	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon tenellum	Nymphon	tenellum	SPECIES	ACCEPTED	NE	62.41476	2.882168						{}	2021.0	4.0	20.0	2021-04-20T12:35Z/2021-04-20T12:42Z	110.0	110.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']		2024-04-11T12:43:29.315+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '247210011001041'}]	[]	[]	[]	False			WGS84	Pycnogonida	NO	[]	[]	EUROPE	Norway	EUROPE	247210011001041	247210011001041	IMR		4430028982	IMRMarbunnBenthos	247210011001041		389.94	0.3199999999999932	Norwegian Sea	1711d910-22c6-415c-bb34-9f226ec314ca	beamtrawl_2006-2022	Beamtrawl,Subsample method: Sieve content - Mesh size (mm): 5.0	Cruise: 58GS-2021103 Sample: 11	urn:lsid:marinespecies.org:taxname:134712	LINESTRING(2.882168 62.41476,2.875885 62.414378)	12:35Z/12:42Z	MAREANO Reference Station: 2472	catchId: 41																																																															
4430028779	99006141-bf02-4821-8e6e-5818a1cbf70a	ff265032-b806-411a-b4b8-15a27b767dce	56b3ccf5-ad40-433f-997e-1eeb565a5889	ff265032-b806-411a-b4b8-15a27b767dce	NO	EML	2024-04-11T12:43:11.848+00:00	2024-04-11T12:43:29.743+00:00	330	{'http://rs.iobis.org/obis/terms/ExtendedMeasurementOrFact': [{'http://rs.tdwg.org/dwc/terms/measurementUnit': 'Gram biomass per 100 square meter', 'http://rs.tdwg.org/dwc/terms/measurementValue': '0.016842506673446', 'http://rs.iobis.org/obis/terms/measurementTypeID': 'http://vocab.nerc.ac.uk/collection/P01/current/ODRYBM01/', 'http://rs.tdwg.org/dwc/terms/occurrenceID': '250010014001018', 'http://rs.tdwg.org/dwc/terms/measurementType': 'Biomass'}]}	MATERIAL_SAMPLE		PRESENT	2117758	1	54	354	9477065	2013	2117630	2117758	2117758	Nymphon tenellum (Sars, 1888)	Nymphon tenellum (Sars, 1888)	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon tenellum	Nymphon	tenellum	SPECIES	ACCEPTED	NE	62.631797	2.019815						{}	2021.0	4.0	30.0	2021-04-30T14:24Z/2021-04-30T14:31Z	120.0	120.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']		2024-04-11T12:43:29.743+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '250010014001018'}]	[]	[]	[]	False			WGS84	Pycnogonida	NO	[]	[]	EUROPE	Norway	EUROPE	250010014001018	250010014001018	IMR		4430028779	IMRMarbunnBenthos	250010014001018		658.0250000000001	0.20499999999998408	Norwegian Sea	1711d910-22c6-415c-bb34-9f226ec314ca	beamtrawl_2006-2022	Beamtrawl,Subsample method: Sieve content - Mesh size (mm): 5.0	Cruise: 58GS-2021104 Sample: 14	urn:lsid:marinespecies.org:taxname:134712	LINESTRING(2.019815 62.631797,2.01367 62.631598)	14:24Z/14:31Z	MAREANO Reference Station: 2500	catchId: 18																																																															
4430030378	d30a617e-cac3-470c-a070-601376f45d6b	ff265032-b806-411a-b4b8-15a27b767dce	56b3ccf5-ad40-433f-997e-1eeb565a5889	ff265032-b806-411a-b4b8-15a27b767dce	NO	EML	2024-04-11T12:44:53.305+00:00	2024-04-11T12:45:23.906+00:00	332	{'http://rs.iobis.org/obis/terms/ExtendedMeasurementOrFact': [{'http://rs.tdwg.org/dwc/terms/measurementUnit': 'Number per 100 square meter', 'http://rs.tdwg.org/dwc/terms/measurementValue': '1000', 'http://rs.iobis.org/obis/terms/measurementTypeID': 'http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL02/', 'http://rs.tdwg.org/dwc/terms/occurrenceID': '247240179001001', 'http://rs.tdwg.org/dwc/terms/measurementType': 'Abundance'}, {'http://rs.tdwg.org/dwc/terms/measurementUnit': 'Gram biomass per 100 square meter', 'http://rs.tdwg.org/dwc/terms/measurementValue': '164.0', 'http://rs.iobis.org/obis/terms/measurementTypeID': 'http://vocab.nerc.ac.uk/collection/P01/current/ODRYBM01/', 'http://rs.tdwg.org/dwc/terms/occurrenceID': '247240179001001', 'http://rs.tdwg.org/dwc/terms/measurementType': 'Biomass'}]}	MATERIAL_SAMPLE		PRESENT	2117758	1	54	354	9477065	2013	2117630	2117758	2117758	Nymphon tenellum (Sars, 1888)	Nymphon tenellum (Sars, 1888)	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon tenellum	Nymphon	tenellum	SPECIES	ACCEPTED	NE	62.416785	2.89744						{}	2021.0	5.0	6.0	2021-05-06T17:26Z	126.0	126.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']		2024-04-11T12:45:23.906+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '247240179001001'}]	[]	[]	[]	False			WGS84	Pycnogonida	NO	[]	[]	EUROPE	Norway	EUROPE	247240179001001	247240179001001	IMR		4430030378	IMRMarbunnBenthos	247240179001001		392.0	0.0	Norwegian Sea	1711d910-22c6-415c-bb34-9f226ec314ca	grab_2006-2022	Small VV grab,Subsample method: Sieve content - Mesh size (mm): 1.0	Cruise: 58GS-2021104 Sample: 179	urn:lsid:marinespecies.org:taxname:134712		17:26Z/17:26Z	MAREANO Reference Station: 2472	catchId: 1																																																															
4430031208	d30a617e-cac3-470c-a070-601376f45d6b	ff265032-b806-411a-b4b8-15a27b767dce	56b3ccf5-ad40-433f-997e-1eeb565a5889	ff265032-b806-411a-b4b8-15a27b767dce	NO	EML	2024-04-11T12:44:53.305+00:00	2024-04-11T12:45:25.588+00:00	332	{'http://rs.iobis.org/obis/terms/ExtendedMeasurementOrFact': [{'http://rs.tdwg.org/dwc/terms/measurementUnit': 'Number per 100 square meter', 'http://rs.tdwg.org/dwc/terms/measurementValue': '1000', 'http://rs.iobis.org/obis/terms/measurementTypeID': 'http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL02/', 'http://rs.tdwg.org/dwc/terms/occurrenceID': '249640163001000', 'http://rs.tdwg.org/dwc/terms/measurementType': 'Abundance'}, {'http://rs.tdwg.org/dwc/terms/measurementUnit': 'Gram biomass per 100 square meter', 'http://rs.tdwg.org/dwc/terms/measurementValue': '3.0', 'http://rs.iobis.org/obis/terms/measurementTypeID': 'http://vocab.nerc.ac.uk/collection/P01/current/ODRYBM01/', 'http://rs.tdwg.org/dwc/terms/occurrenceID': '249640163001000', 'http://rs.tdwg.org/dwc/terms/measurementType': 'Biomass'}]}	MATERIAL_SAMPLE		PRESENT	2117758	1	54	354	9477065	2013	2117630	2117758	2117758	Nymphon tenellum (Sars, 1888)	Nymphon tenellum (Sars, 1888)	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon tenellum	Nymphon	tenellum	SPECIES	ACCEPTED	NE	62.576146	2.34094						{}	2021.0	5.0	6.0	2021-05-06T01:14Z	126.0	126.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']		2024-04-11T12:45:25.588+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '249640163001000'}]	[]	[]	[]	False			WGS84	Pycnogonida	NO	[]	[]	EUROPE	Norway	EUROPE	249640163001000	249640163001000	IMR		4430031208	IMRMarbunnBenthos	249640163001000		547.0	0.0	Norwegian Sea	1711d910-22c6-415c-bb34-9f226ec314ca	grab_2006-2022	Small VV grab,Subsample method: Sieve content - Mesh size (mm): 1.0	Cruise: 58GS-2021104 Sample: 163	urn:lsid:marinespecies.org:taxname:134712		01:14Z/01:14Z	MAREANO Reference Station: 2496	catchId: 0																																																															
4430031650	d30a617e-cac3-470c-a070-601376f45d6b	ff265032-b806-411a-b4b8-15a27b767dce	56b3ccf5-ad40-433f-997e-1eeb565a5889	ff265032-b806-411a-b4b8-15a27b767dce	NO	EML	2024-04-11T12:44:53.305+00:00	2024-04-11T12:45:18.910+00:00	332	{'http://rs.iobis.org/obis/terms/ExtendedMeasurementOrFact': [{'http://rs.tdwg.org/dwc/terms/measurementUnit': 'Number per 100 square meter', 'http://rs.tdwg.org/dwc/terms/measurementValue': '13000', 'http://rs.iobis.org/obis/terms/measurementTypeID': 'http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL02/', 'http://rs.tdwg.org/dwc/terms/occurrenceID': '249640168001002', 'http://rs.tdwg.org/dwc/terms/measurementType': 'Abundance'}, {'http://rs.tdwg.org/dwc/terms/measurementUnit': 'Gram biomass per 100 square meter', 'http://rs.tdwg.org/dwc/terms/measurementValue': '13.0', 'http://rs.iobis.org/obis/terms/measurementTypeID': 'http://vocab.nerc.ac.uk/collection/P01/current/ODRYBM01/', 'http://rs.tdwg.org/dwc/terms/occurrenceID': '249640168001002', 'http://rs.tdwg.org/dwc/terms/measurementType': 'Biomass'}]}	MATERIAL_SAMPLE		PRESENT	2117758	1	54	354	9477065	2013	2117630	2117758	2117758	Nymphon tenellum (Sars, 1888)	Nymphon tenellum (Sars, 1888)	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon tenellum	Nymphon	tenellum	SPECIES	ACCEPTED	NE	62.576256	2.340134						{}	2021.0	5.0	6.0	2021-05-06T02:20Z	126.0	126.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']		2024-04-11T12:45:18.910+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '249640168001002'}]	[]	[]	[]	False			WGS84	Pycnogonida	NO	[]	[]	EUROPE	Norway	EUROPE	249640168001002	249640168001002	IMR		4430031650	IMRMarbunnBenthos	249640168001002		547.0	0.0	Norwegian Sea	1711d910-22c6-415c-bb34-9f226ec314ca	grab_2006-2022	Small VV grab,Subsample method: Sieve content - Mesh size (mm): 1.0	Cruise: 58GS-2021104 Sample: 168	urn:lsid:marinespecies.org:taxname:134712		02:20Z/02:20Z	MAREANO Reference Station: 2496	catchId: 2																																																															
4430028819	99006141-bf02-4821-8e6e-5818a1cbf70a	ff265032-b806-411a-b4b8-15a27b767dce	56b3ccf5-ad40-433f-997e-1eeb565a5889	ff265032-b806-411a-b4b8-15a27b767dce	NO	EML	2024-04-11T12:43:11.848+00:00	2024-04-11T12:43:35.006+00:00	330	{'http://rs.iobis.org/obis/terms/ExtendedMeasurementOrFact': [{'http://rs.tdwg.org/dwc/terms/measurementUnit': 'Gram biomass per 100 square meter', 'http://rs.tdwg.org/dwc/terms/measurementValue': '1.04523789614516E-4', 'http://rs.iobis.org/obis/terms/measurementTypeID': 'http://vocab.nerc.ac.uk/collection/P01/current/ODRYBM01/', 'http://rs.tdwg.org/dwc/terms/occurrenceID': '250910016001079', 'http://rs.tdwg.org/dwc/terms/measurementType': 'Biomass'}]}	MATERIAL_SAMPLE		PRESENT	2117758	1	54	354	9477065	2013	2117630	2117758	2117758	Nymphon tenellum (Sars, 1888)	Nymphon tenellum (Sars, 1888)	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon tenellum	Nymphon	tenellum	SPECIES	ACCEPTED	NE	62.416595	1.40063						{}	2021.0	5.0	2.0	2021-05-02T22:08Z/2021-05-02T22:13Z	122.0	122.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']		2024-04-11T12:43:35.006+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '250910016001079'}]	[]	[]	[]	False			WGS84	Pycnogonida	NO	[]	[]	EUROPE	Norway	EUROPE	250910016001079	250910016001079	IMR		4430028819	IMRMarbunnBenthos	250910016001079		611.655	1.125	Norwegian Sea	1711d910-22c6-415c-bb34-9f226ec314ca	beamtrawl_2006-2022	Beamtrawl,Subsample method: Sieve content - Mesh size (mm): 5.0	Cruise: 58GS-2021104 Sample: 16	urn:lsid:marinespecies.org:taxname:134712	LINESTRING(1.40063 62.416595,1.397335 62.418113)	22:08Z/22:13Z	MAREANO Reference Station: 2509	catchId: 79																																																															
4430029094	99006141-bf02-4821-8e6e-5818a1cbf70a	ff265032-b806-411a-b4b8-15a27b767dce	56b3ccf5-ad40-433f-997e-1eeb565a5889	ff265032-b806-411a-b4b8-15a27b767dce	NO	EML	2024-04-11T12:43:11.848+00:00	2024-04-11T12:43:34.458+00:00	330	{'http://rs.iobis.org/obis/terms/ExtendedMeasurementOrFact': [{'http://rs.tdwg.org/dwc/terms/measurementUnit': 'Number per 100 square meter', 'http://rs.tdwg.org/dwc/terms/measurementValue': '12', 'http://rs.iobis.org/obis/terms/measurementTypeID': 'http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL02/', 'http://rs.tdwg.org/dwc/terms/occurrenceID': '254610018001029', 'http://rs.tdwg.org/dwc/terms/measurementType': 'Abundance'}, {'http://rs.tdwg.org/dwc/terms/measurementUnit': 'Gram biomass per 100 square meter', 'http://rs.tdwg.org/dwc/terms/measurementValue': '1.58143908687052', 'http://rs.iobis.org/obis/terms/measurementTypeID': 'http://vocab.nerc.ac.uk/collection/P01/current/ODRYBM01/', 'http://rs.tdwg.org/dwc/terms/occurrenceID': '254610018001029', 'http://rs.tdwg.org/dwc/terms/measurementType': 'Biomass'}]}	MATERIAL_SAMPLE		PRESENT	2117758	1	54	354	9477065	2013	2117630	2117758	2117758	Nymphon tenellum (Sars, 1888)	Nymphon tenellum (Sars, 1888)	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon tenellum	Nymphon	tenellum	SPECIES	ACCEPTED	NE	62.315765	1.578893						{}	2021.0	5.0	5.0	2021-05-05T06:22Z/2021-05-05T06:28Z	125.0	125.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']		2024-04-11T12:43:34.458+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '254610018001029'}]	[]	[]	[]	False			WGS84	Pycnogonida	NO	[]	[]	EUROPE	Norway	EUROPE	254610018001029	254610018001029	IMR		4430029094	IMRMarbunnBenthos	254610018001029		487.0	1.0	Norwegian Sea	1711d910-22c6-415c-bb34-9f226ec314ca	beamtrawl_2006-2022	Beamtrawl,Subsample method: Sieve content - Mesh size (mm): 5.0	Cruise: 58GS-2021104 Sample: 18	urn:lsid:marinespecies.org:taxname:134712	LINESTRING(1.578893 62.315765,1.575918 62.318172)	06:22Z/06:28Z	MAREANO Reference Station: 2546	catchId: 29																																																															
4430034573	d30a617e-cac3-470c-a070-601376f45d6b	ff265032-b806-411a-b4b8-15a27b767dce	56b3ccf5-ad40-433f-997e-1eeb565a5889	ff265032-b806-411a-b4b8-15a27b767dce	NO	EML	2024-04-11T12:44:53.305+00:00	2024-04-11T12:45:22.256+00:00	332	{'http://rs.iobis.org/obis/terms/ExtendedMeasurementOrFact': [{'http://rs.tdwg.org/dwc/terms/measurementUnit': 'Number per 100 square meter', 'http://rs.tdwg.org/dwc/terms/measurementValue': '1000', 'http://rs.iobis.org/obis/terms/measurementTypeID': 'http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL02/', 'http://rs.tdwg.org/dwc/terms/occurrenceID': '254640153001006', 'http://rs.tdwg.org/dwc/terms/measurementType': 'Abundance'}, {'http://rs.tdwg.org/dwc/terms/measurementUnit': 'Gram biomass per 100 square meter', 'http://rs.tdwg.org/dwc/terms/measurementValue': '7.0', 'http://rs.iobis.org/obis/terms/measurementTypeID': 'http://vocab.nerc.ac.uk/collection/P01/current/ODRYBM01/', 'http://rs.tdwg.org/dwc/terms/occurrenceID': '254640153001006', 'http://rs.tdwg.org/dwc/terms/measurementType': 'Biomass'}]}	MATERIAL_SAMPLE		PRESENT	2117758	1	54	354	9477065	2013	2117630	2117758	2117758	Nymphon tenellum (Sars, 1888)	Nymphon tenellum (Sars, 1888)	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon tenellum	Nymphon	tenellum	SPECIES	ACCEPTED	NE	62.312748	1.583476						{}	2021.0	5.0	5.0	2021-05-05T05:03Z	125.0	125.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']		2024-04-11T12:45:22.256+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '254640153001006'}]	[]	[]	[]	False			WGS84	Pycnogonida	NO	[]	[]	EUROPE	Norway	EUROPE	254640153001006	254640153001006	IMR		4430034573	IMRMarbunnBenthos	254640153001006		486.0	0.0	Norwegian Sea	1711d910-22c6-415c-bb34-9f226ec314ca	grab_2006-2022	Small VV grab,Subsample method: Sieve content - Mesh size (mm): 1.0	Cruise: 58GS-2021104 Sample: 153	urn:lsid:marinespecies.org:taxname:134712		05:03Z/05:03Z	MAREANO Reference Station: 2546	catchId: 6																																																															
