key	datasetKey	publishingOrgKey	networkKeys	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	projectId	extensions	basisOfRecord	occurrenceStatus	sex	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	depth	depthAccuracy	gadm	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	lastInterpreted	license	organismQuantity	organismQuantityType	isSequenced	identifiers	media	facts	relations	institutionKey	isInCluster	identifiedBy	preparations	samplingProtocol	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	eventID	identifier	scientificNameID	institutionID	verbatimEventDate	footprintWKT	fieldNumber	language	gbifID	occurrenceID	type	catalogNumber	institutionCode	occurrenceRemarks	continent	modified	datasetID	locality	collectionCode	dateIdentified	coordinatePrecision	otherCatalogNumbers	recordedBy	acceptedNameUsage	http://unknown.org/taxonRankID	dynamicProperties	verbatimLocality	locationRemarks	taxonConceptID	http://unknown.org/species	nameAccordingTo	individualCount	collectionKey	datasetName	rightsHolder	county	locationID	bibliographicCitation	higherClassification	collectionID	waterBody
3386517318	1e7b6980-0842-4c4a-8b14-541b95d2ed3c	104e9c96-791b-4f14-978c-f581cb214912	['8534dd20-c368-4a1f-bdaf-e6b390710f89', '2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	27c24cba-13c5-47d1-96a1-16abd8f11437	fb10a11f-4417-41c8-be6a-13a5c8535122	GB	EML	2024-01-23T14:13:17.412+00:00	2024-01-26T10:52:24.947+00:00	97	GOIPG/2019/4020	{}	PRESERVED_SPECIMEN	PRESENT	MALE	2117746	1	54	354	9477065	2013	2117630	2117746	2117746	Nymphon tenuipes Bouvier, 1911	Nymphon tenuipes Bouvier, 1911	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon tenuipes	Nymphon	tenuipes	SPECIES	ACCEPTED	NE	-60.3567	-46.6863	257.0	502.5	37.5	{}	2016.0	3.0	9.0	2016-03-09	69.0	69.0	['COLLECTION_MATCH_NONE']	2024-01-26T10:52:24.947+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	13.0	individuals	False	[{'identifier': 'JR15005_1098_01'}]	[]	[]	[]	da671615-9a15-4844-9d5e-ef66382192fb	False	Jamie Maxwell	96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr15005.pdf	WGS84	Pycnogonida	AQ	[]	[{'type': 'ORCID', 'value': 'https://orcid.org/0000-0001-5705-2811'}]	ANTARCTICA	Antarctica	EUROPE	JR15005	JR15005_1098_01	urn:lsid:marinespecies.org:taxname:173516	https://ror.org/01rhff309	9/3/2016	LINESTRING (-46.68423 -60.35469, -46.68845 -60.3588)	JR15005_61	en	3386517318	JR15005_1098_01	PhysicalObject	JR15005_1098_01	BAS	Eggs present																											
3386517236	1e7b6980-0842-4c4a-8b14-541b95d2ed3c	104e9c96-791b-4f14-978c-f581cb214912	['8534dd20-c368-4a1f-bdaf-e6b390710f89', '2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	27c24cba-13c5-47d1-96a1-16abd8f11437	fb10a11f-4417-41c8-be6a-13a5c8535122	GB	EML	2024-01-23T14:13:17.412+00:00	2024-01-26T10:52:24.931+00:00	97	GOIPG/2019/4020	{}	PRESERVED_SPECIMEN	PRESENT	MALE	2117746	1	54	354	9477065	2013	2117630	2117746	2117746	Nymphon tenuipes Bouvier, 1911	Nymphon tenuipes Bouvier, 1911	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon tenuipes	Nymphon	tenuipes	SPECIES	ACCEPTED	NE	-60.3567	-46.6863	257.0	502.5	37.5	{}	2016.0	3.0	9.0	2016-03-09	69.0	69.0	['COLLECTION_MATCH_NONE']	2024-01-26T10:52:24.931+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	1.0	individuals	False	[{'identifier': 'JR15005_1098_01a'}]	[]	[]	[]	da671615-9a15-4844-9d5e-ef66382192fb	False	Jamie Maxwell	96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr15005.pdf	WGS84	Pycnogonida	AQ	[]	[{'type': 'ORCID', 'value': 'https://orcid.org/0000-0001-5705-2811'}]	ANTARCTICA	Antarctica	EUROPE	JR15005	JR15005_1098_01a	urn:lsid:marinespecies.org:taxname:173516	https://ror.org/01rhff309	9/3/2016	LINESTRING (-46.68423 -60.35469, -46.68845 -60.3588)	JR15005_61	en	3386517236	JR15005_1098_01a	PhysicalObject	JR15005_1098_01a	BAS	Eggs present																											
3386516874	1e7b6980-0842-4c4a-8b14-541b95d2ed3c	104e9c96-791b-4f14-978c-f581cb214912	['8534dd20-c368-4a1f-bdaf-e6b390710f89', '2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	27c24cba-13c5-47d1-96a1-16abd8f11437	fb10a11f-4417-41c8-be6a-13a5c8535122	GB	EML	2024-01-23T14:13:17.412+00:00	2024-01-26T10:52:24.736+00:00	97	GOIPG/2019/4020	{}	PRESERVED_SPECIMEN	PRESENT		2117746	1	54	354	9477065	2013	2117630	2117746	2117746	Nymphon tenuipes Bouvier, 1911	Nymphon tenuipes Bouvier, 1911	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon tenuipes	Nymphon	tenuipes	SPECIES	ACCEPTED	NE	-60.3561	-46.6858	263.0	515.5	57.5	{}	2016.0	3.0	10.0	2016-03-10	70.0	70.0	['COLLECTION_MATCH_NONE']	2024-01-26T10:52:24.736+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	5.0	individuals	False	[{'identifier': 'JR15005_1166_03'}]	[]	[]	[]	da671615-9a15-4844-9d5e-ef66382192fb	False	Jamie Maxwell	96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr15005.pdf	WGS84	Pycnogonida	AQ	[]	[{'type': 'ORCID', 'value': 'https://orcid.org/0000-0001-5705-2811'}]	ANTARCTICA	Antarctica	EUROPE	JR15005	JR15005_1166_03	urn:lsid:marinespecies.org:taxname:173516	https://ror.org/01rhff309	10/3/2016	LINESTRING (-46.68411 -60.35385, -46.68745 -60.35828)	JR15005_62	en	3386516874	JR15005_1166_03	PhysicalObject	JR15005_1166_03	BAS																												
3386516637	1e7b6980-0842-4c4a-8b14-541b95d2ed3c	104e9c96-791b-4f14-978c-f581cb214912	['8534dd20-c368-4a1f-bdaf-e6b390710f89', '2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	27c24cba-13c5-47d1-96a1-16abd8f11437	fb10a11f-4417-41c8-be6a-13a5c8535122	GB	EML	2024-01-23T14:13:17.412+00:00	2024-01-26T10:52:24.539+00:00	97	GOIPG/2019/4020	{}	PRESERVED_SPECIMEN	PRESENT		2117746	1	54	354	9477065	2013	2117630	2117746	2117746	Nymphon tenuipes Bouvier, 1911	Nymphon tenuipes Bouvier, 1911	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon tenuipes	Nymphon	tenuipes	SPECIES	ACCEPTED	NE	-60.3561	-46.6858	263.0	515.5	57.5	{}	2016.0	3.0	10.0	2016-03-10	70.0	70.0	['COLLECTION_MATCH_NONE']	2024-01-26T10:52:24.539+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	1.0	individuals	False	[{'identifier': 'JR15005_1166_03a'}]	[]	[]	[]	da671615-9a15-4844-9d5e-ef66382192fb	False	Jamie Maxwell	96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr15005.pdf	WGS84	Pycnogonida	AQ	[]	[{'type': 'ORCID', 'value': 'https://orcid.org/0000-0001-5705-2811'}]	ANTARCTICA	Antarctica	EUROPE	JR15005	JR15005_1166_03a	urn:lsid:marinespecies.org:taxname:173516	https://ror.org/01rhff309	10/3/2016	LINESTRING (-46.68411 -60.35385, -46.68745 -60.35828)	JR15005_62	en	3386516637	JR15005_1166_03a	PhysicalObject	JR15005_1166_03a	BAS																												
3386517227	1e7b6980-0842-4c4a-8b14-541b95d2ed3c	104e9c96-791b-4f14-978c-f581cb214912	['8534dd20-c368-4a1f-bdaf-e6b390710f89', '2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	27c24cba-13c5-47d1-96a1-16abd8f11437	fb10a11f-4417-41c8-be6a-13a5c8535122	GB	EML	2024-01-23T14:13:17.412+00:00	2024-01-26T10:52:24.925+00:00	97	GOIPG/2019/4020	{}	PRESERVED_SPECIMEN	PRESENT	MALE	2117746	1	54	354	9477065	2013	2117630	2117746	2117746	Nymphon tenuipes Bouvier, 1911	Nymphon tenuipes Bouvier, 1911	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon tenuipes	Nymphon	tenuipes	SPECIES	ACCEPTED	NE	-60.3566	-46.6859	269.0	493.5	51.5	{}	2016.0	3.0	10.0	2016-03-10	70.0	70.0	['COLLECTION_MATCH_NONE']	2024-01-26T10:52:24.925+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	6.0	individuals	False	[{'identifier': 'JR15005_1220_08'}]	[]	[]	[]	da671615-9a15-4844-9d5e-ef66382192fb	False	Jamie Maxwell	96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr15005.pdf	WGS84	Pycnogonida	AQ	[]	[{'type': 'ORCID', 'value': 'https://orcid.org/0000-0001-5705-2811'}]	ANTARCTICA	Antarctica	EUROPE	JR15005	JR15005_1220_08	urn:lsid:marinespecies.org:taxname:173516	https://ror.org/01rhff309	10/3/2016	LINESTRING (-46.68423 -60.35437, -46.68761 -60.35889)	JR15005_63	en	3386517227	JR15005_1220_08	PhysicalObject	JR15005_1220_08	BAS	Eggs present																											
3386516991	1e7b6980-0842-4c4a-8b14-541b95d2ed3c	104e9c96-791b-4f14-978c-f581cb214912	['8534dd20-c368-4a1f-bdaf-e6b390710f89', '2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	27c24cba-13c5-47d1-96a1-16abd8f11437	fb10a11f-4417-41c8-be6a-13a5c8535122	GB	EML	2024-01-23T14:13:17.412+00:00	2024-01-26T10:52:24.781+00:00	97	GOIPG/2019/4020	{}	PRESERVED_SPECIMEN	PRESENT	MALE	2117746	1	54	354	9477065	2013	2117630	2117746	2117746	Nymphon tenuipes Bouvier, 1911	Nymphon tenuipes Bouvier, 1911	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon tenuipes	Nymphon	tenuipes	SPECIES	ACCEPTED	NE	-60.3566	-46.6859	269.0	493.5	51.5	{}	2016.0	3.0	10.0	2016-03-10	70.0	70.0	['COLLECTION_MATCH_NONE']	2024-01-26T10:52:24.781+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	1.0	individuals	False	[{'identifier': 'JR15005_1220_08a'}]	[]	[]	[]	da671615-9a15-4844-9d5e-ef66382192fb	False	Jamie Maxwell	96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr15005.pdf	WGS84	Pycnogonida	AQ	[]	[{'type': 'ORCID', 'value': 'https://orcid.org/0000-0001-5705-2811'}]	ANTARCTICA	Antarctica	EUROPE	JR15005	JR15005_1220_08a	urn:lsid:marinespecies.org:taxname:173516	https://ror.org/01rhff309	10/3/2016	LINESTRING (-46.68423 -60.35437, -46.68761 -60.35889)	JR15005_63	en	3386516991	JR15005_1220_08a	PhysicalObject	JR15005_1220_08a	BAS	Eggs present																											
3386516999	1e7b6980-0842-4c4a-8b14-541b95d2ed3c	104e9c96-791b-4f14-978c-f581cb214912	['8534dd20-c368-4a1f-bdaf-e6b390710f89', '2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	27c24cba-13c5-47d1-96a1-16abd8f11437	fb10a11f-4417-41c8-be6a-13a5c8535122	GB	EML	2024-01-23T14:13:17.412+00:00	2024-01-26T10:52:24.784+00:00	97	GOIPG/2019/4020	{}	PRESERVED_SPECIMEN	PRESENT		2117746	1	54	354	9477065	2013	2117630	2117746	2117746	Nymphon tenuipes Bouvier, 1911	Nymphon tenuipes Bouvier, 1911	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon tenuipes	Nymphon	tenuipes	SPECIES	ACCEPTED	NE	-60.3566	-46.6859	269.0	493.5	51.5	{}	2016.0	3.0	10.0	2016-03-10	70.0	70.0	['COLLECTION_MATCH_NONE']	2024-01-26T10:52:24.784+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	17.0	individuals	False	[{'identifier': 'JR15005_1229_04'}]	[]	[]	[]	da671615-9a15-4844-9d5e-ef66382192fb	False	Jamie Maxwell	96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr15005.pdf	WGS84	Pycnogonida	AQ	[]	[{'type': 'ORCID', 'value': 'https://orcid.org/0000-0001-5705-2811'}]	ANTARCTICA	Antarctica	EUROPE	JR15005	JR15005_1229_04	urn:lsid:marinespecies.org:taxname:173516	https://ror.org/01rhff309	10/3/2016	LINESTRING (-46.68423 -60.35437, -46.68761 -60.35889)	JR15005_63	en	3386516999	JR15005_1229_04	PhysicalObject	JR15005_1229_04	BAS																												
3386516576	1e7b6980-0842-4c4a-8b14-541b95d2ed3c	104e9c96-791b-4f14-978c-f581cb214912	['8534dd20-c368-4a1f-bdaf-e6b390710f89', '2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	27c24cba-13c5-47d1-96a1-16abd8f11437	fb10a11f-4417-41c8-be6a-13a5c8535122	GB	EML	2024-01-23T14:13:17.412+00:00	2024-01-26T10:52:24.496+00:00	97	GOIPG/2019/4020	{}	PRESERVED_SPECIMEN	PRESENT		2117746	1	54	354	9477065	2013	2117630	2117746	2117746	Nymphon tenuipes Bouvier, 1911	Nymphon tenuipes Bouvier, 1911	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon tenuipes	Nymphon	tenuipes	SPECIES	ACCEPTED	NE	-60.3566	-46.6859	269.0	493.5	51.5	{}	2016.0	3.0	10.0	2016-03-10	70.0	70.0	['COLLECTION_MATCH_NONE']	2024-01-26T10:52:24.496+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	1.0	individuals	False	[{'identifier': 'JR15005_1229_04a'}]	[]	[]	[]	da671615-9a15-4844-9d5e-ef66382192fb	False	Jamie Maxwell	96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr15005.pdf	WGS84	Pycnogonida	AQ	[]	[{'type': 'ORCID', 'value': 'https://orcid.org/0000-0001-5705-2811'}]	ANTARCTICA	Antarctica	EUROPE	JR15005	JR15005_1229_04a	urn:lsid:marinespecies.org:taxname:173516	https://ror.org/01rhff309	10/3/2016	LINESTRING (-46.68423 -60.35437, -46.68761 -60.35889)	JR15005_63	en	3386516576	JR15005_1229_04a	PhysicalObject	JR15005_1229_04a	BAS																												
3386517049	1e7b6980-0842-4c4a-8b14-541b95d2ed3c	104e9c96-791b-4f14-978c-f581cb214912	['8534dd20-c368-4a1f-bdaf-e6b390710f89', '2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	27c24cba-13c5-47d1-96a1-16abd8f11437	fb10a11f-4417-41c8-be6a-13a5c8535122	GB	EML	2024-01-23T14:13:17.412+00:00	2024-01-26T10:52:24.804+00:00	97	GOIPG/2019/4020	{}	PRESERVED_SPECIMEN	PRESENT		2117746	1	54	354	9477065	2013	2117630	2117746	2117746	Nymphon tenuipes Bouvier, 1911	Nymphon tenuipes Bouvier, 1911	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon tenuipes	Nymphon	tenuipes	SPECIES	ACCEPTED	NE	-60.3243	-46.7699	263.0	792.0	60.0	{}	2016.0	3.0	10.0	2016-03-10	70.0	70.0	['COLLECTION_MATCH_NONE']	2024-01-26T10:52:24.804+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	1.0	individuals	False	[{'identifier': 'JR15005_1332_05'}]	[]	[]	[]	da671615-9a15-4844-9d5e-ef66382192fb	False	Jamie Maxwell	96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr15005.pdf	WGS84	Pycnogonida	AQ	[]	[{'type': 'ORCID', 'value': 'https://orcid.org/0000-0001-5705-2811'}]	ANTARCTICA	Antarctica	EUROPE	JR15005	JR15005_1332_05	urn:lsid:marinespecies.org:taxname:173516	https://ror.org/01rhff309	10/3/2016	LINESTRING (-46.76719 -60.32237, -46.77263 -60.32624)	JR15005_68	en	3386517049	JR15005_1332_05	PhysicalObject	JR15005_1332_05	BAS																												
3386516645	1e7b6980-0842-4c4a-8b14-541b95d2ed3c	104e9c96-791b-4f14-978c-f581cb214912	['8534dd20-c368-4a1f-bdaf-e6b390710f89', '2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	27c24cba-13c5-47d1-96a1-16abd8f11437	fb10a11f-4417-41c8-be6a-13a5c8535122	GB	EML	2024-01-23T14:13:17.412+00:00	2024-01-26T10:52:24.546+00:00	97	GOIPG/2019/4020	{}	PRESERVED_SPECIMEN	PRESENT		2117746	1	54	354	9477065	2013	2117630	2117746	2117746	Nymphon tenuipes Bouvier, 1911	Nymphon tenuipes Bouvier, 1911	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon tenuipes	Nymphon	tenuipes	SPECIES	ACCEPTED	NE	-76.0156	-26.9582	77.0	610.005	3.0049999999999955	{}	2012.0	2.0	21.0	2012-02-21	52.0	52.0	['CONTINENT_DERIVED_FROM_COORDINATES', 'COLLECTION_MATCH_NONE']	2024-01-26T10:52:24.546+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	1.0	individuals	False	[{'identifier': 'JR275_446.6'}]	[]	[]	[]	da671615-9a15-4844-9d5e-ef66382192fb	False	Jamie Maxwell	Whole animal in 96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr275.pdf	WGS84	Pycnogonida	AQ	[]	[{'type': 'ORCID', 'value': 'https://orcid.org/0000-0001-5705-2811'}]	ANTARCTICA	Antarctica	EUROPE	JR275	JR275_446.6	urn:lsid:marinespecies.org:taxname:173516	https://ror.org/01rhff309	21/02/2012	LINESTRING (-26.9604 -76.01602, -26.95604 -76.01513)	JR275_35	en	3386516645	JR275_446.6	PhysicalObject	JR275_446.6	BAS		ANTARCTICA																										
