key	datasetKey	publishingOrgKey	networkKeys	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	occurrenceStatus	sex	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	dateIdentified	decimalLatitude	decimalLongitude	coordinatePrecision	coordinateUncertaintyInMeters	continent	stateProvince	gadm	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	institutionKey	isInCluster	otherCatalogNumbers	recordedBy	samplingProtocol	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	eventID	identifier	acceptedNameUsage	http://unknown.org/taxonRankID	dynamicProperties	verbatimLocality	collectionCode	gbifID	occurrenceID	catalogNumber	locationRemarks	institutionCode	taxonConceptID	http://unknown.org/species	nameAccordingTo	individualCount	identifiedBy	preparations	type	modified	collectionKey	verbatimEventDate	locality	elevation	elevationAccuracy	depth	depthAccuracy	higherGeography	datasetName	rightsHolder	institutionID	nomenclaturalCode	fieldNumber	language	locationID	ownerInstitutionCode	higherClassification	waterBody	collectionID	lifeStage	habitat	verbatimDepth	typeStatus	references	datasetID	scientificNameID	bibliographicCitation
1100784030	dce8feb0-6c89-11de-8225-b8a03c50a862	770c30d2-c2a8-4bb2-8056-6167297cddae	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:20:52.620+00:00	2024-07-02T07:19:17.251+00:00	384	{}	PRESERVED_SPECIMEN	PRESENT	MALE	5166744	1	54	354	9477065	6313	2118215	5166744	5166744	Nymphopsis acinacispinatus Williams, 1933	Nymphopsis acinacispinatus Williams, 1933	Animalia	Arthropoda	Pantopoda	Ammotheidae	Nymphopsis	Nymphopsis acinacispinatus	Nymphopsis	acinacispinatus	SPECIES	ACCEPTED	NE	2019-01-01T00:00:00	-30.20194	153.26638	1e-05	1000.0	OCEANIA	New South Wales	{}	2005.0	5.0	1.0	2005-05-01	121.0	121.0	['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2024-07-02T07:19:17.251+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '4d571772-68a4-47e8-a837-2ad529241c13'}]	[]	[]	[]	9cfe8cbf-35ff-4d93-b932-cb05d91b7922	False	ecatalogue.irn:1197939|urn:catalog:AM:Invertebrates - Marine & Other:P.73467	Attwood, B. Kathryn|Australian Museum|Invertebrates, Marine	hand collected on SCUBA	WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA	urn:australianmuseum.net.au:Events:1090338	4d571772-68a4-47e8-a837-2ad529241c13	Nymphopsis acinacispinatus Williams, 1933	7000	{dcterms:type:PhysicalObject,dcterms:modified:2020/8/12,verbatimUncertainty:100m-1km}	north-west end of South Solitary Island	Invertebrates - Marine & Other	1100784030	4d571772-68a4-47e8-a837-2ad529241c13	P.73467	ecatalogue.LocCollectionEventLocal: [NSW 2805] Australia, New South Wales, north-west end of South Solitary Island (30° 12' 07 S, 153° 15' 59 E) 01/05/2005 - 01/05/2005, Attwood, Kathryn B - Australian Museum - Marine Invertebrates(Collector), hand collected on SCUBA, Field Collected - Aq;	AM	https://biodiversity.org.au/afd/taxa/32d9e4f5-0637-445d-b6dc-a1eda607c792	Nymphopsis acinacispinatus	Williams, 1933																																
1100783992	dce8feb0-6c89-11de-8225-b8a03c50a862	770c30d2-c2a8-4bb2-8056-6167297cddae	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:20:52.620+00:00	2024-07-02T07:20:06.281+00:00	384	{}	PRESERVED_SPECIMEN	PRESENT	MALE	5166744	1	54	354	9477065	6313	2118215	5166744	5166744	Nymphopsis acinacispinatus Williams, 1933	Nymphopsis acinacispinatus Williams, 1933	Animalia	Arthropoda	Pantopoda	Ammotheidae	Nymphopsis	Nymphopsis acinacispinatus	Nymphopsis	acinacispinatus	SPECIES	ACCEPTED	NE	2019-01-01T00:00:00	-30.2951	153.2	1e-05	100.0	OCEANIA	New South Wales	{}	2005.0	5.0	3.0	2005-05-03	123.0	123.0	['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2024-07-02T07:20:06.281+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'e5356f02-1606-430c-b1b2-7a5291d3eb0b'}]	[]	[]	[]	9cfe8cbf-35ff-4d93-b932-cb05d91b7922	False	ecatalogue.irn:1197894|urn:catalog:AM:Invertebrates - Marine & Other:P.73448	Murray, Anna|Australian Museum|Invertebrates, Marine	hand collected on SCUBA	WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA	urn:australianmuseum.net.au:Events:1090299	e5356f02-1606-430c-b1b2-7a5291d3eb0b	Nymphopsis acinacispinatus Williams, 1933	7000	{dcterms:type:PhysicalObject,dcterms:modified:2020/8/12,verbatimUncertainty:10m-100m}	east of Coffs Harbour, Park Beach Bommie	Invertebrates - Marine & Other	1100783992	e5356f02-1606-430c-b1b2-7a5291d3eb0b	P.73448	ecatalogue.LocCollectionEventLocal: [NSW 2834] Australia, New South Wales, east of Coffs Harbour, Park Beach Bommie (30° 17' 42 S, 153° 12' E) 03/05/2005 - 03/05/2005, Murray, Ms Anna - Australian Museum - Marine Invertebrates(Collector), hand collected on SCUBA, Field Collected - Aquatic,;	AM	https://biodiversity.org.au/afd/taxa/32d9e4f5-0637-445d-b6dc-a1eda607c792	Nymphopsis acinacispinatus	Williams, 1933																																
500817697	7c93d290-6c8b-11de-8226-b8a03c50a862	b36f3505-f2d9-499f-a669-fa418a127b9d	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:22:04.806+00:00	2024-07-02T17:15:25.198+00:00	380	{}	PRESERVED_SPECIMEN	PRESENT		5166744	1	54	354	9477065	6313	2118215	5166744	5166744	Nymphopsis acinacispinatus Williams, 1933	Nymphopsis acinacispinatus Williams, 1933	Animalia	Arthropoda	Pantopoda	Ammotheidae	Nymphopsis	Nymphopsis acinacispinatus	Nymphopsis	acinacispinatus	SPECIES	ACCEPTED	NE	2003-01-01T00:00:00	-33.9	122.58333			OCEANIA	Western Australia	{'level0': {'gid': 'AUS', 'name': 'Australia'}, 'level1': {'gid': 'AUS.11_1', 'name': 'Western Australia'}, 'level2': {'gid': 'AUS.11.47_1', 'name': 'Esperance'}}	2003.0	2.0	17.0	2003-02-17	48.0	48.0	['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-07-02T17:15:25.198+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'd963194b-f7ca-4d53-b313-121111e88561'}]	[]	[]	[]	09d260e0-a509-40c7-bef5-b0f5444be84a	False		Phillips, J.C.		WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA		d963194b-f7ca-4d53-b313-121111e88561		7000			ARACH	500817697	d963194b-f7ca-4d53-b313-121111e88561	62249	Duke of Orleans Bay, W. side of Table Island	WAM	https://biodiversity.org.au/afd/taxa/32d9e4f5-0637-445d-b6dc-a1eda607c792	Nymphopsis acinacispinatus		1.0	Bamber, R.N.	wet (in ethanol or some other preservative)	PhysicalObject																												
1100784016	dce8feb0-6c89-11de-8225-b8a03c50a862	770c30d2-c2a8-4bb2-8056-6167297cddae	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:20:52.620+00:00	2024-07-02T07:19:46.489+00:00	384	{}	PRESERVED_SPECIMEN	PRESENT	FEMALE	5166744	1	54	354	9477065	6313	2118215	5166744	5166744	Nymphopsis acinacispinatus Williams, 1933	Nymphopsis acinacispinatus Williams, 1933	Animalia	Arthropoda	Pantopoda	Ammotheidae	Nymphopsis	Nymphopsis acinacispinatus	Nymphopsis	acinacispinatus	SPECIES	ACCEPTED	NE	2019-01-01T00:00:00	-32.05466	152.55383	1e-05	100.0	OCEANIA	New South Wales	{}	2003.0	3.0	22.0	2003-03-22	81.0	81.0	['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2024-07-02T07:19:46.489+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '9cfa3e67-98cd-4560-93b7-4ab7c05255da'}]	[]	[]	[]	9cfe8cbf-35ff-4d93-b932-cb05d91b7922	False	ecatalogue.irn:1198126|urn:catalog:AM:Invertebrates - Marine & Other:P.73508	Australian Museum party	hand collected on scuba	WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA	urn:australianmuseum.net.au:Events:1062283	9cfa3e67-98cd-4560-93b7-4ab7c05255da	Nymphopsis acinacispinatus Williams, 1933	7000	{dcterms:type:PhysicalObject,dcterms:modified:2020/8/12,verbatimUncertainty:10m-100m}	east of Red Head	Invertebrates - Marine & Other	1100784016	9cfa3e67-98cd-4560-93b7-4ab7c05255da	P.73508	ecatalogue.LocCollectionEventLocal: [NSW 2253] Australia, New South Wales, east of Red Head (32° 03' 17 S, 152° 33' 14 E) 22/03/2003 - 22/03/2003, hand collected on scuba, Marine Invertebrate Collection Management Trip March 2003;	AM	https://biodiversity.org.au/afd/taxa/32d9e4f5-0637-445d-b6dc-a1eda607c792	Nymphopsis acinacispinatus	Williams, 1933		Arango, Dr Claudia - Queensland Museum																														
1100784081	dce8feb0-6c89-11de-8225-b8a03c50a862	770c30d2-c2a8-4bb2-8056-6167297cddae	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:20:52.620+00:00	2024-07-02T07:19:47.832+00:00	384	{}	PRESERVED_SPECIMEN	PRESENT		5166744	1	54	354	9477065	6313	2118215	5166744	5166744	Nymphopsis acinacispinatus Williams, 1933	Nymphopsis acinacispinatus Williams, 1933	Animalia	Arthropoda	Pantopoda	Ammotheidae	Nymphopsis	Nymphopsis acinacispinatus	Nymphopsis	acinacispinatus	SPECIES	ACCEPTED	NE	2019-01-01T00:00:00	-32.18633	152.53833	1e-05	100.0	OCEANIA	New South Wales	{}	2003.0	3.0	19.0	2003-03-19	78.0	78.0	['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2024-07-02T07:19:47.832+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'c68140da-d347-42b0-bca4-798a6e5ef563'}]	[]	[]	[]	9cfe8cbf-35ff-4d93-b932-cb05d91b7922	False	ecatalogue.irn:1198145|urn:catalog:AM:Invertebrates - Marine & Other:P.73527	Australian Museum party	hand collected on scuba	WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA	urn:australianmuseum.net.au:Events:1090429	c68140da-d347-42b0-bca4-798a6e5ef563	Nymphopsis acinacispinatus Williams, 1933	7000	{dcterms:type:PhysicalObject,dcterms:modified:2020/8/12,verbatimUncertainty:10m-100m}	Forster, south east of Bennett Head	Invertebrates - Marine & Other	1100784081	c68140da-d347-42b0-bca4-798a6e5ef563	P.73527	ecatalogue.LocCollectionEventLocal: [NSW 2173] Australia, New South Wales, Forster, south east of Bennett Head (32° 11' 11 S, 152° 32' 18 E) 19/03/2003 - 19/03/2003, hand collected on scuba, Marine Invertebrate Collection Management Trip March 2003;	AM	https://biodiversity.org.au/afd/taxa/32d9e4f5-0637-445d-b6dc-a1eda607c792	Nymphopsis acinacispinatus	Williams, 1933		Arango, Dr Claudia - Queensland Museum																														
1100784004	dce8feb0-6c89-11de-8225-b8a03c50a862	770c30d2-c2a8-4bb2-8056-6167297cddae	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:20:52.620+00:00	2024-07-02T07:20:05.358+00:00	384	{}	PRESERVED_SPECIMEN	PRESENT	MALE	5166744	1	54	354	9477065	6313	2118215	5166744	5166744	Nymphopsis acinacispinatus Williams, 1933	Nymphopsis acinacispinatus Williams, 1933	Animalia	Arthropoda	Pantopoda	Ammotheidae	Nymphopsis	Nymphopsis acinacispinatus	Nymphopsis	acinacispinatus	SPECIES	ACCEPTED	NE	2019-01-01T00:00:00	-32.21083	152.56832	1e-05	100.0	OCEANIA	New South Wales	{}	2003.0	3.0	18.0	2003-03-18	77.0	77.0	['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2024-07-02T07:20:05.358+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'e35c536d-0c76-455f-a0bf-f3b0344b72ad'}]	[]	[]	[]	9cfe8cbf-35ff-4d93-b932-cb05d91b7922	False	ecatalogue.irn:1198123|urn:catalog:AM:Invertebrates - Marine & Other:P.73505	Australian Museum party	hand collected on scuba	WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA	urn:australianmuseum.net.au:Events:1090422	e35c536d-0c76-455f-a0bf-f3b0344b72ad	Nymphopsis acinacispinatus Williams, 1933	7000	{dcterms:type:PhysicalObject,dcterms:modified:2020/8/12,verbatimUncertainty:10m-100m}	Forster, outer Latitude Rock	Invertebrates - Marine & Other	1100784004	e35c536d-0c76-455f-a0bf-f3b0344b72ad	P.73505	ecatalogue.LocCollectionEventLocal: [NSW 2167] Australia, New South Wales, Forster, outer Latitude Rock (32° 12' 39 S, 152° 34' 06 E) 18/03/2003 - 18/03/2003, hand collected on scuba, Marine Invertebrate Collection Management Trip March 2003;	AM	https://biodiversity.org.au/afd/taxa/32d9e4f5-0637-445d-b6dc-a1eda607c792	Nymphopsis acinacispinatus	Williams, 1933		Arango, Dr Claudia - Queensland Museum																														
1100784212	dce8feb0-6c89-11de-8225-b8a03c50a862	770c30d2-c2a8-4bb2-8056-6167297cddae	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:20:52.620+00:00	2024-07-02T07:18:51.965+00:00	384	{}	PRESERVED_SPECIMEN	PRESENT	FEMALE	5166744	1	54	354	9477065	6313	2118215	5166744	5166744	Nymphopsis acinacispinatus Williams, 1933	Nymphopsis acinacispinatus Williams, 1933	Animalia	Arthropoda	Pantopoda	Ammotheidae	Nymphopsis	Nymphopsis acinacispinatus	Nymphopsis	acinacispinatus	SPECIES	ACCEPTED	NE	2019-01-01T00:00:00	-30.91138	153.08833	1e-05	100.0	OCEANIA	New South Wales	{'level0': {'gid': 'AUS', 'name': 'Australia'}, 'level1': {'gid': 'AUS.5_1', 'name': 'New South Wales'}, 'level2': {'gid': 'AUS.5.72_1', 'name': 'Kempsey'}}	2002.0	2.0	15.0	2002-02-15	46.0	46.0	['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2024-07-02T07:18:51.965+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '06b41219-dbe9-442f-a4ea-495035f4a118'}]	[]	[]	[]	9cfe8cbf-35ff-4d93-b932-cb05d91b7922	False	ecatalogue.irn:1198352|urn:catalog:AM:Invertebrates - Marine & Other:P.73616	Attwood, B. Kathryn|Australian Museum|Invertebrates, Marine	airlift on SCUBA	WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA	urn:australianmuseum.net.au:Events:1081860	06b41219-dbe9-442f-a4ea-495035f4a118	Nymphopsis acinacispinatus Williams, 1933	7000	{dcterms:type:PhysicalObject,dcterms:modified:2020/8/12,verbatimUncertainty:10m-100m}	north of Smoky Cape, Green Island, northwest corner	Invertebrates - Marine & Other	1100784212	06b41219-dbe9-442f-a4ea-495035f4a118	P.73616	ecatalogue.LocCollectionEventLocal: [NSW 1926] Australia, New South Wales, north of Smoky Cape, Green Island, northwest corner (30° 54' 41 S, 153° 05' 18 E) 15/02/2002 - 15/02/2002, airlift on SCUBA, Marine Invertebrate Collection Management Trip 2002;	AM	https://biodiversity.org.au/afd/taxa/32d9e4f5-0637-445d-b6dc-a1eda607c792	Nymphopsis acinacispinatus	Williams, 1933																																
1633598799	a79c2b50-6c8a-11de-8226-b8a03c50a862	f9d3db7d-6ee9-4fbf-bd4c-e5d0f0bd26c6	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:21:43.946+00:00	2024-07-02T06:30:43.415+00:00	379	{}	PRESERVED_SPECIMEN	PRESENT		5166744	1	54	354	9477065	6313	2118215	5166744	5166744	Nymphopsis acinacispinatus Williams, 1933	Nymphopsis acinacispinatus Williams, 1933	Animalia	Arthropoda	Pantopoda	Ammotheidae	Nymphopsis	Nymphopsis acinacispinatus	Nymphopsis	acinacispinatus	SPECIES	ACCEPTED	NE		-19.25	147.05			OCEANIA	Queensland	{'level0': {'gid': 'AUS', 'name': 'Australia'}, 'level1': {'gid': 'AUS.7_1', 'name': 'Queensland'}, 'level2': {'gid': 'AUS.7.67_1', 'name': 'Townsville'}}	2000.0	1.0	7.0	2000-01-07	7.0	7.0	['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'INSTITUTION_MATCH_FUZZY', 'COLLECTION_MATCH_FUZZY']	2024-07-02T06:30:43.415+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'e22ee4e5-ed43-4843-8351-fe20e7ac65fb'}]	[]	[]	[]	442fa096-b2bf-4ecc-b513-ae0958eeec25	False				WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA		e22ee4e5-ed43-4843-8351-fe20e7ac65fb		7000			Arachnids	1633598799	e22ee4e5-ed43-4843-8351-fe20e7ac65fb	S105796	Intertidal in Cladophora prolifera. 1 female, 2 juveniles.	QM	https://biodiversity.org.au/afd/taxa/32d9e4f5-0637-445d-b6dc-a1eda607c792	Nymphopsis acinacispinatus			C P Arango	Spirit		2021-12-24T00:00:00.000+00:00	d3ab26a1-b655-42b3-ae4c-a04b651f4303	07 Jan 2000	Townsville, Cape Ferguson, Turtle Bay																								
1633598835	a79c2b50-6c8a-11de-8226-b8a03c50a862	f9d3db7d-6ee9-4fbf-bd4c-e5d0f0bd26c6	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:21:43.946+00:00	2024-07-02T06:30:37.565+00:00	379	{}	PRESERVED_SPECIMEN	PRESENT		5166744	1	54	354	9477065	6313	2118215	5166744	5166744	Nymphopsis acinacispinatus Williams, 1933	Nymphopsis acinacispinatus Williams, 1933	Animalia	Arthropoda	Pantopoda	Ammotheidae	Nymphopsis	Nymphopsis acinacispinatus	Nymphopsis	acinacispinatus	SPECIES	ACCEPTED	NE		-19.25	147.05			OCEANIA	Queensland	{'level0': {'gid': 'AUS', 'name': 'Australia'}, 'level1': {'gid': 'AUS.7_1', 'name': 'Queensland'}, 'level2': {'gid': 'AUS.7.67_1', 'name': 'Townsville'}}	1999.0	5.0	14.0	1999-05-14	134.0	134.0	['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'INSTITUTION_MATCH_FUZZY', 'COLLECTION_MATCH_FUZZY']	2024-07-02T06:30:37.565+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'b6fa6d1f-4c9d-435d-b18f-6b02d95a7fe9'}]	[]	[]	[]	442fa096-b2bf-4ecc-b513-ae0958eeec25	False				WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA		b6fa6d1f-4c9d-435d-b18f-6b02d95a7fe9		7000			Arachnids	1633598835	b6fa6d1f-4c9d-435d-b18f-6b02d95a7fe9	S105795	Data in vial 12/07/1999 - C.P. Arango has coRobert Ravenected this to 14/05/1999. Intertidal in Cladophora prolifera. Juveniles	QM	https://biodiversity.org.au/afd/taxa/32d9e4f5-0637-445d-b6dc-a1eda607c792	Nymphopsis acinacispinatus			C P Arango	Spirit		2021-12-24T00:00:00.000+00:00	d3ab26a1-b655-42b3-ae4c-a04b651f4303	14 May 1999	Townsville, Cape Ferguson, Turtle Bay	5.0	1.0																						
1100788068	dce8feb0-6c89-11de-8225-b8a03c50a862	770c30d2-c2a8-4bb2-8056-6167297cddae	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:20:52.620+00:00	2024-07-02T07:19:37.042+00:00	384	{}	PRESERVED_SPECIMEN	PRESENT		5166744	1	54	354	9477065	6313	2118215	5166744	5166744	Nymphopsis acinacispinatus Williams, 1933	Nymphopsis acinacispinatus Williams, 1933	Animalia	Arthropoda	Pantopoda	Ammotheidae	Nymphopsis	Nymphopsis acinacispinatus	Nymphopsis	acinacispinatus	SPECIES	ACCEPTED	NE	2008-01-01T00:00:00	-37.00166	150.04833	1e-05	1000.0		New South Wales	{}	1994.0	9.0	3.0	1994-09-03	246.0	246.0	['TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2024-07-02T07:19:37.042+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '9d363469-cf31-4746-a6e2-bef4f2a1bb99'}]	[]	[]	[]	9cfe8cbf-35ff-4d93-b932-cb05d91b7922	False	ecatalogue.irn:1265242|urn:catalog:AM:Invertebrates - Marine & Other:P.78375	Berents, Penelope Blackburne|Australian Museum|Invertebrates, Marine	benthic sled	WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA	urn:australianmuseum.net.au:Events:1067288	9d363469-cf31-4746-a6e2-bef4f2a1bb99	Nymphopsis acinacispinatus Williams, 1933	7000	{dcterms:type:PhysicalObject,dcterms:modified:2020/5/13,verbatimUncertainty:100m-1km}	north-east of Eden	Invertebrates - Marine & Other	1100788068	9d363469-cf31-4746-a6e2-bef4f2a1bb99	P.78375	ecatalogue.LocCollectionEventLocal: [SS05/94/129] Australia, New South Wales, north-east of Eden (37° 00' 06 S, 150° 02' 54 E) 03/09/1994 - 03/09/1994, benthic sled;	AM	https://biodiversity.org.au/afd/taxa/32d9e4f5-0637-445d-b6dc-a1eda607c792	Nymphopsis acinacispinatus	Williams, 1933		Krapp, Dr Franz - Zoologisches Forschungsinstitut und Museum Alexander Koenig																														
