key	datasetKey	publishingOrgKey	networkKeys	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	individualCount	occurrenceStatus	sex	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	dateIdentified	decimalLatitude	decimalLongitude	continent	stateProvince	gadm	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	institutionKey	isInCluster	recordedBy	identifiedBy	preparations	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	identifier	catalogNumber	locationRemarks	institutionCode	http://unknown.org/taxonRankID	taxonConceptID	http://unknown.org/species	gbifID	collectionCode	occurrenceID	type	modified	rightsHolder	nomenclaturalCode	institutionID	verbatimEventDate	higherClassification	locality	coordinatePrecision	coordinateUncertaintyInMeters	otherCatalogNumbers	eventID	acceptedNameUsage	dynamicProperties	verbatimLocality	nameAccordingTo	samplingProtocol	typeStatus
500815051	7c93d290-6c8b-11de-8226-b8a03c50a862	b36f3505-f2d9-499f-a669-fa418a127b9d	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:22:04.806+00:00	2024-07-02T17:15:10.577+00:00	380	{}	PRESERVED_SPECIMEN	1.0	PRESENT	MALE	5166747	1	54	354	9477065	6313	2118215	5166747	5166747	Nymphopsis bathursti Williams, 1940	Nymphopsis bathursti Williams, 1940	Animalia	Arthropoda	Pantopoda	Ammotheidae	Nymphopsis	Nymphopsis bathursti	Nymphopsis	bathursti	SPECIES	ACCEPTED	NE	2004-01-01T00:00:00	-33.9	122.58333	OCEANIA	Western Australia	{'level0': {'gid': 'AUS', 'name': 'Australia'}, 'level1': {'gid': 'AUS.11_1', 'name': 'Western Australia'}, 'level2': {'gid': 'AUS.11.47_1', 'name': 'Esperance'}}	2003.0	2.0	17.0	2003-02-17	48.0	48.0	['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-07-02T17:15:10.577+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '719d7713-d50a-4f3a-8cb1-567d9b247892'}]	[]	[]	[]	09d260e0-a509-40c7-bef5-b0f5444be84a	False	Phillips, J.	Bamber, R.N.	wet (in ethanol or some other preservative)	WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA	719d7713-d50a-4f3a-8cb1-567d9b247892	58895	W. side of Table Island, Duke of Orleans Bay	WAM	7000	https://biodiversity.org.au/afd/taxa/2afde64b-70b9-4198-8585-ee64514dc7b6	Nymphopsis bathursti	500815051	ARACH	719d7713-d50a-4f3a-8cb1-567d9b247892	PhysicalObject																	
2434401581	b4aad9c3-518b-4550-82de-c70a7ead1b64	396d5f30-dea9-11db-8ab4-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	65eb93af-41b8-4917-a5fc-cfe2a45aa4bf	396d5f30-dea9-11db-8ab4-b8a03c50a862	NL	DWC_ARCHIVE	2024-07-23T00:32:26.361+00:00	2024-07-23T00:33:19.740+00:00	393	{}	PRESERVED_SPECIMEN	1.0	PRESENT		5166747	1	54	354	9477065	6313	2118215	5166747	5166747	Nymphopsis bathursti Williams, 1940	Nymphopsis bathursti Williams, 1940	Animalia	Arthropoda	Pantopoda	Ammotheidae	Nymphopsis	Nymphopsis bathursti	Nymphopsis	bathursti	SPECIES	ACCEPTED	NE				ASIA		{}	1991.0	11.0	20.0	1991-11-20	324.0	324.0	['CONTINENT_DERIVED_FROM_COUNTRY', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2024-07-23T00:33:19.740+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'ZMA.PYC.3571@CRS'}]	[]	[]	[]	0e919a55-08d3-4bd2-aec1-200858fafd92	False	Moolenbeek R. et al.	Stock J.H.	WholeOrganism (wet specimen)		Pycnogonida	OM	[]	[]	ASIA	Oman	EUROPE	ZMA.PYC.3571@CRS	ZMA.PYC.3571						2434401581	Chelicerata and Myriapoda	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.PYC.3571		2019-03-08T00:00:00.000+00:00	Naturalis Biodiversity Center	ICZN	Naturalis Biodiversity Center	20 nov 1991	Animalia|Ammotheidae											
2434365448	b4aad9c3-518b-4550-82de-c70a7ead1b64	396d5f30-dea9-11db-8ab4-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	65eb93af-41b8-4917-a5fc-cfe2a45aa4bf	396d5f30-dea9-11db-8ab4-b8a03c50a862	NL	DWC_ARCHIVE	2024-07-23T00:32:26.361+00:00	2024-07-23T00:33:21.783+00:00	393	{}	PRESERVED_SPECIMEN	4.0	PRESENT		5166747	1	54	354	9477065	6313	2118215	5166747	5166747	Nymphopsis bathursti Williams, 1940	Nymphopsis bathursti Williams, 1940	Animalia	Arthropoda	Pantopoda	Ammotheidae	Nymphopsis	Nymphopsis bathursti	Nymphopsis	bathursti	SPECIES	ACCEPTED	NE				ASIA		{}	1991.0	11.0	21.0	1991-11-21	325.0	325.0	['CONTINENT_DERIVED_FROM_COUNTRY', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2024-07-23T00:33:21.783+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'ZMA.PYC.3572@CRS'}]	[]	[]	[]	0e919a55-08d3-4bd2-aec1-200858fafd92	False	Moolenbeek R. et al.	Stock J.H.	WholeOrganism (wet specimen)		Pycnogonida	OM	[]	[]	ASIA	Oman	EUROPE	ZMA.PYC.3572@CRS	ZMA.PYC.3572						2434365448	Chelicerata and Myriapoda	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.PYC.3572		2019-03-08T00:00:00.000+00:00	Naturalis Biodiversity Center	ICZN	Naturalis Biodiversity Center	21 nov 1991	Animalia|Ammotheidae											
2434365449	b4aad9c3-518b-4550-82de-c70a7ead1b64	396d5f30-dea9-11db-8ab4-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	65eb93af-41b8-4917-a5fc-cfe2a45aa4bf	396d5f30-dea9-11db-8ab4-b8a03c50a862	NL	DWC_ARCHIVE	2024-07-23T00:32:26.361+00:00	2024-07-23T00:33:25.363+00:00	393	{}	PRESERVED_SPECIMEN	4.0	PRESENT		5166747	1	54	354	9477065	6313	2118215	5166747	5166747	Nymphopsis bathursti Williams, 1940	Nymphopsis bathursti Williams, 1940	Animalia	Arthropoda	Pantopoda	Ammotheidae	Nymphopsis	Nymphopsis bathursti	Nymphopsis	bathursti	SPECIES	ACCEPTED	NE				ASIA		{}	1991.0	11.0	15.0	1991-11-15	319.0	319.0	['CONTINENT_DERIVED_FROM_COUNTRY', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2024-07-23T00:33:25.363+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'ZMA.PYC.3581@CRS'}]	[]	[]	[]	0e919a55-08d3-4bd2-aec1-200858fafd92	False	Moolenbeek R. et al.	Stock J.H.	WholeOrganism (wet specimen)		Pycnogonida	OM	[]	[]	ASIA	Oman	EUROPE	ZMA.PYC.3581@CRS	ZMA.PYC.3581						2434365449	Chelicerata and Myriapoda	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.PYC.3581		2019-03-08T00:00:00.000+00:00	Naturalis Biodiversity Center	ICZN	Naturalis Biodiversity Center	15 nov 1991	Animalia|Ammotheidae											
2434362450	b4aad9c3-518b-4550-82de-c70a7ead1b64	396d5f30-dea9-11db-8ab4-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	65eb93af-41b8-4917-a5fc-cfe2a45aa4bf	396d5f30-dea9-11db-8ab4-b8a03c50a862	NL	DWC_ARCHIVE	2024-07-23T00:32:26.361+00:00	2024-07-23T00:33:30.714+00:00	393	{}	PRESERVED_SPECIMEN	1.0	PRESENT		5166747	1	54	354	9477065	6313	2118215	5166747	5166747	Nymphopsis bathursti Williams, 1940	Nymphopsis bathursti Williams, 1940	Animalia	Arthropoda	Pantopoda	Ammotheidae	Nymphopsis	Nymphopsis bathursti	Nymphopsis	bathursti	SPECIES	ACCEPTED	NE				ASIA		{}	1991.0	11.0	14.0	1991-11-14	318.0	318.0	['CONTINENT_DERIVED_FROM_COUNTRY', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2024-07-23T00:33:30.714+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'ZMA.PYC.3585@CRS'}]	[]	[]	[]	0e919a55-08d3-4bd2-aec1-200858fafd92	False	Moolenbeek R. et al.	Stock J.H.	WholeOrganism (wet specimen)		Pycnogonida	OM	[]	[]	ASIA	Oman	EUROPE	ZMA.PYC.3585@CRS	ZMA.PYC.3585						2434362450	Chelicerata and Myriapoda	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.PYC.3585		2019-03-08T00:00:00.000+00:00	Naturalis Biodiversity Center	ICZN	Naturalis Biodiversity Center	14 nov 1991	Animalia|Ammotheidae											
2434400779	b4aad9c3-518b-4550-82de-c70a7ead1b64	396d5f30-dea9-11db-8ab4-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	65eb93af-41b8-4917-a5fc-cfe2a45aa4bf	396d5f30-dea9-11db-8ab4-b8a03c50a862	NL	DWC_ARCHIVE	2024-07-23T00:32:26.361+00:00	2024-07-23T00:33:28.286+00:00	393	{'http://rs.tdwg.org/ac/terms/Multimedia': [{'http://rs.tdwg.org/ac/terms/accessURI': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1322/format/large', 'http://ns.adobe.com/xap/1.0/rights/Owner': 'Naturalis Biodiversity Center', 'http://rs.tdwg.org/ac/terms/caption': 'ZMA.PYC.P.1322_0', 'http://purl.org/dc/terms/format': 'image/jpeg', 'http://purl.org/dc/elements/1.1/type': 'StillImage', 'http://rs.tdwg.org/ac/terms/variant': 'ac:GoodQuality', 'http://purl.org/dc/terms/identifier': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1322/format/large', 'http://purl.org/dc/terms/rights': 'CC0 1.0'}]}	PRESERVED_SPECIMEN		PRESENT	MALE	5166747	1	54	354	9477065	6313	2118215	5166747	5166747	Nymphopsis bathursti Williams, 1940	Nymphopsis bathursti Williams, 1940	Animalia	Arthropoda	Pantopoda	Ammotheidae	Nymphopsis	Nymphopsis bathursti	Nymphopsis	bathursti	SPECIES	ACCEPTED	NE				ASIA	Masirah isl.	{}	1991.0	11.0	21.0	1991-11-21	325.0	325.0	['CONTINENT_DERIVED_FROM_COUNTRY', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2024-07-23T00:33:28.286+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'ZMA.PYC.P.1322@CRS'}]	[{'type': 'StillImage', 'format': 'image/jpeg', 'description': 'ZMA.PYC.P.1322_0', 'license': 'http://creativecommons.org/publicdomain/zero/1.0/', 'rightsHolder': 'Naturalis Biodiversity Center', 'identifier': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1322/format/large'}]	[]	[]	0e919a55-08d3-4bd2-aec1-200858fafd92	False	Moolenbeek & Dekker		WholeOrganism (microscopic slide)		Pycnogonida	OM	[]	[]	ASIA	Oman	EUROPE	ZMA.PYC.P.1322@CRS	ZMA.PYC.P.1322						2434400779	Chelicerata and Myriapoda	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.PYC.P.1322		2020-04-03T00:00:00.000+00:00	Naturalis Biodiversity Center	ICZN	Naturalis Biodiversity Center	21 nov. 1991	Animalia	Umm Rasas										
1100762923	dce8feb0-6c89-11de-8225-b8a03c50a862	770c30d2-c2a8-4bb2-8056-6167297cddae	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:20:52.620+00:00	2024-07-02T07:19:14.605+00:00	384	{}	PRESERVED_SPECIMEN		PRESENT	MALE	5166747	1	54	354	9477065	6313	2118215	5166747	5166747	Nymphopsis bathursti Williams, 1940	Nymphopsis bathursti Williams, 1940	Animalia	Arthropoda	Pantopoda	Ammotheidae	Nymphopsis	Nymphopsis bathursti	Nymphopsis	bathursti	SPECIES	ACCEPTED	NE	1994-01-01T00:00:00	-38.62499	142.99166	OCEANIA	Victoria	{}	1988.0	4.0	28.0	1988-04-28	119.0	119.0	['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2024-07-02T07:19:14.605+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '49bd31cf-b6d1-4a35-8bbf-3e7b8ee32300'}]	[]	[]	[]	9cfe8cbf-35ff-4d93-b932-cb05d91b7922	False	Springthorpe, Roger Tenison|Australian Museum|Invertebrates, Marine	Krapp, F		WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA	49bd31cf-b6d1-4a35-8bbf-3e7b8ee32300	P.42930	ecatalogue.LocCollectionEventLocal: [VIC 41] Australia, Victoria, wharf at Port Campbell (38° 37' 30 S, 142° 59' 30 E) 28/04/1988 - 28/04/1988;	AM	7000	https://biodiversity.org.au/afd/taxa/2afde64b-70b9-4198-8585-ee64514dc7b6	Nymphopsis bathursti	1100762923	Invertebrates - Marine & Other	49bd31cf-b6d1-4a35-8bbf-3e7b8ee32300									1e-05	1000.0	ecatalogue.irn:1062970|urn:catalog:AM:Invertebrates - Marine & Other:P.42930	urn:australianmuseum.net.au:Events:1075544	Nymphopsis acinacispinatus bathursti Williams, 1940	{dcterms:type:PhysicalObject,dcterms:modified:2020/9/9,verbatimUncertainty:100m-1km}	wharf at Port Campbell	Williams, 1940		
1916830139	7c93d290-6c8b-11de-8226-b8a03c50a862	b36f3505-f2d9-499f-a669-fa418a127b9d	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:22:04.806+00:00	2024-07-02T17:15:16.082+00:00	380	{}	PRESERVED_SPECIMEN	1.0	PRESENT	MALE	5166747	1	54	354	9477065	6313	2118215	5166747	5166747	Nymphopsis bathursti Williams, 1940	Nymphopsis bathursti Williams, 1940	Animalia	Arthropoda	Pantopoda	Ammotheidae	Nymphopsis	Nymphopsis bathursti	Nymphopsis	bathursti	SPECIES	ACCEPTED	NE	1975-01-01T00:00:00	-34.96667	117.96667	OCEANIA	Western Australia	{}	1975.0	3.0	27.0	1975-03-27	86.0	86.0	['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-07-02T17:15:16.082+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '74921a25-fbd6-4841-bdbe-36aeabac4626'}]	[]	[]	[]	09d260e0-a509-40c7-bef5-b0f5444be84a	False	Baker, A.N.	Child, C.A.	wet (in ethanol or some other preservative)	WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA	74921a25-fbd6-4841-bdbe-36aeabac4626	10245	Oyster Harbour, Albany	WAM	7000	https://biodiversity.org.au/afd/taxa/2afde64b-70b9-4198-8585-ee64514dc7b6	Nymphopsis bathursti	1916830139	ARACH	74921a25-fbd6-4841-bdbe-36aeabac4626	PhysicalObject	1993-05-14T00:00:00.000+00:00									76/15						6-8m dredge	
500826297	7c93d290-6c8b-11de-8226-b8a03c50a862	b36f3505-f2d9-499f-a669-fa418a127b9d	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:22:04.806+00:00	2024-07-02T17:14:52.535+00:00	380	{}	PRESERVED_SPECIMEN	1.0	PRESENT	FEMALE	5166747	1	54	354	9477065	6313	2118215	5166747	5166747	Nymphopsis bathursti Williams, 1940	Nymphopsis bathursti Williams, 1940	Animalia	Arthropoda	Pantopoda	Ammotheidae	Nymphopsis	Nymphopsis bathursti	Nymphopsis	bathursti	SPECIES	ACCEPTED	NE		-31.998056	115.759444	OCEANIA	Western Australia	{'level0': {'gid': 'AUS', 'name': 'Australia'}, 'level1': {'gid': 'AUS.11_1', 'name': 'Western Australia'}, 'level2': {'gid': 'AUS.11.31_1', 'name': 'Cottesloe'}}	1961.0	3.0	16.0	1961-03-16	75.0	75.0	['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-07-02T17:14:52.535+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '1bcfa66e-41a2-463f-9147-698a2b44e66e'}]	[]	[]	[]	09d260e0-a509-40c7-bef5-b0f5444be84a	False	Butler, W.H.	Child, C.A.	wet (in ethanol or some other preservative)	WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA	1bcfa66e-41a2-463f-9147-698a2b44e66e	6970	Cottesloe, Victoria Street Cable Station	WAM	7000	https://biodiversity.org.au/afd/taxa/2afde64b-70b9-4198-8585-ee64514dc7b6	Nymphopsis bathursti	500826297	ARACH	1bcfa66e-41a2-463f-9147-698a2b44e66e	PhysicalObject	1992-09-10T00:00:00.000+00:00									70/3973							
500826308	7c93d290-6c8b-11de-8226-b8a03c50a862	b36f3505-f2d9-499f-a669-fa418a127b9d	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:22:04.806+00:00	2024-07-02T17:14:58.238+00:00	380	{}	PRESERVED_SPECIMEN	1.0	PRESENT	FEMALE	5166747	1	54	354	9477065	6313	2118215	5166747	5166747	Nymphopsis bathursti Williams, 1940	Nymphopsis bathursti Williams, 1940	Animalia	Arthropoda	Pantopoda	Ammotheidae	Nymphopsis	Nymphopsis bathursti	Nymphopsis	bathursti	SPECIES	ACCEPTED	NE		-31.998056	115.759444	OCEANIA	Western Australia	{'level0': {'gid': 'AUS', 'name': 'Australia'}, 'level1': {'gid': 'AUS.11_1', 'name': 'Western Australia'}, 'level2': {'gid': 'AUS.11.31_1', 'name': 'Cottesloe'}}	1961.0	3.0	16.0	1961-03-16	75.0	75.0	['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-07-02T17:14:58.238+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '33ab885b-923d-4a2a-9a4e-63a1df8cd142'}]	[]	[]	[]	09d260e0-a509-40c7-bef5-b0f5444be84a	False	Butler, W.H.	Child, C.A.	wet (in ethanol or some other preservative)	WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA	33ab885b-923d-4a2a-9a4e-63a1df8cd142	6974	Cottesloe, Victoria Street Cable Station	WAM	7000	https://biodiversity.org.au/afd/taxa/2afde64b-70b9-4198-8585-ee64514dc7b6	Nymphopsis bathursti	500826308	ARACH	33ab885b-923d-4a2a-9a4e-63a1df8cd142	PhysicalObject	1993-07-02T00:00:00.000+00:00									70/3977							
