key	datasetKey	publishingOrgKey	networkKeys	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	individualCount	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	depth	depthAccuracy	gadm	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	modified	lastInterpreted	license	organismQuantity	organismQuantityType	isSequenced	identifiers	media	facts	relations	isInCluster	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	eventID	identifier	scientificNameID	institutionCode	footprintWKT	locality	fieldNumber	gbifID	occurrenceRemarks	collectionCode	occurrenceID	continent	typeStatus	references	datasetID	catalogNumber	bibliographicCitation	sex	elevation	elevationAccuracy	stateProvince	higherGeography	institutionKey	recordedBy	identifiedBy	preparations	samplingProtocol	rightsHolder	institutionID	nomenclaturalCode	http://unknown.org/taxonRankID	verbatimLocality	language	type	taxonConceptID	ownerInstitutionCode	http://unknown.org/species	higherClassification	dateIdentified	datasetName	locationID	eventTime
3908338223	51c51934-43f1-467c-b1b5-2e1c48fdd51b	5fa89f68-9af0-4a0d-8998-ea39695c1db9	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	729a7375-b120-4e4f-bb81-ad9badcca81b	5fa89f68-9af0-4a0d-8998-ea39695c1db9	AU	EML	2024-07-02T09:39:48.308+00:00	2024-07-02T09:41:03.027+00:00	334	{'http://rs.iobis.org/obis/terms/ExtendedMeasurementOrFact': [{'http://rs.tdwg.org/dwc/terms/measurementID': 'CC-SS200510-15-661038-33011040-catch-count', 'http://rs.tdwg.org/dwc/terms/measurementValue': '2', 'http://rs.tdwg.org/dwc/terms/occurrenceID': 'CC-SS200510-15-661038-33011040', 'http://rs.tdwg.org/dwc/terms/measurementType': 'Count'}, {'http://rs.tdwg.org/dwc/terms/measurementUnit': 'kilogram', 'http://rs.tdwg.org/dwc/terms/measurementID': 'CC-SS200510-15-661038-33011040-weight', 'http://rs.tdwg.org/dwc/terms/measurementValue': '0.001', 'http://rs.tdwg.org/dwc/terms/occurrenceID': 'CC-SS200510-15-661038-33011040', 'http://rs.iobis.org/obis/terms/measurementUnitID': 'http://vocab.nerc.ac.uk/collection/P06/current/KGXX', 'http://rs.tdwg.org/dwc/terms/measurementType': 'Weight'}]}	HUMAN_OBSERVATION	2.0	PRESENT	2118004	1	54	354	9477065	2011	2117979	11195034	11195034	Pseudopallene watsonae Staples, 2004	Pallenella watsonae (Staples, 2005)	Animalia	Arthropoda	Pantopoda	Callipallenidae	Pallenella	Pallenella watsonae	Pseudopallene	watsonae	SPECIES	SYNONYM	NE	-33.98185	114.7345	500.0	96.5	0.5	{}	2005	11	20.0	2005-11-20T17:02:40Z	324.0	324.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'FOOTPRINT_WKT_INVALID', 'SCIENTIFIC_NAME_AND_ID_INCONSISTENT', 'TAXON_MATCH_NAME_AND_ID_AMBIGUOUS']	2022-08-24T00:40:26.000+00:00	2024-07-02T09:41:03.027+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	2.0	individuals	False	[{'identifier': 'CC-SS200510-15-661038-33011040'}]	[]	[]	[]	False	WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA	SS200510:15	CC-SS200510-15-661038-33011040	urn:lsid:marinespecies.org:taxname:239550	CSIRO, Australia	LINE (114.7340  -33.9800, 114.7350  -33.9837)	Survey area	SS200510:15	3908338223	Occurrence Type: Catch composition Catch method: Catch	CMAR_WA_2005	CC-SS200510-15-661038-33011040																															
4055769511	2f7c33b3-ea7a-40ac-a3b7-bace96f978f7	2089ce96-4fb5-4a20-999c-3ccf45a27a4d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f9df6cff-21d4-4d4b-8da4-eda454f5a086	2089ce96-4fb5-4a20-999c-3ccf45a27a4d	BE	EML	2024-07-02T17:06:09.698+00:00	2024-07-02T17:12:13.076+00:00	81	{}	PRESERVED_SPECIMEN		PRESENT	2118004	1	54	354	9477065	2011	2117979	11195034	11195034	Pseudopallene watsonae Staples, 2004	Pallenella watsonae (Staples, 2005)	Animalia	Arthropoda	Pantopoda	Callipallenidae	Pallenella	Pallenella watsonae	Pseudopallene	watsonae	SPECIES	SYNONYM	NE	-35.37	136.85		21.0	6.0	{}	2004	1	6.0	2004-01-06	6.0	6.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'CONTINENT_DERIVED_FROM_COORDINATES', 'INSTITUTION_MATCH_NONE']	2007-06-20T15:52:33.000+00:00	2024-07-02T17:12:13.076+00:00	http://creativecommons.org/licenses/by/4.0/legalcode			False	[{'identifier': 'WoRMS Editorial Board:WoRMS type localities:sm_id_2204'}]	[]	[]	[]	False	WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	EUROPE		WoRMS Editorial Board:WoRMS type localities:sm_id_2204	urn:lsid:marinespecies.org:taxname:239550	WoRMS Editorial Board		Indian Ocean		4055769511		WoRMS type localities	WoRMS Editorial Board:WoRMS type localities:sm_id_2204	OCEANIA	HOLOTYPE	http://www.marinespecies.org/aphia.php?p=specdetails&id=2204	https://marineinfo.org/id/dataset/5184	sm_id_2204	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Pseudopallene watsonae</i> Staples, 2005. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=239550																									
1272748483	39905320-6c8a-11de-8226-b8a03c50a862	4cff2aca-5ce5-4028-88e6-d79b6449173a	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:21:32.799+00:00	2024-07-02T06:37:31.428+00:00	381	{}	PRESERVED_SPECIMEN	1.0	PRESENT	11195034	1	54	354	9477065	2011	2117979	11195034	11195034	Pallenella watsonae (Staples, 2005)	Pallenella watsonae (Staples, 2005)	Animalia	Arthropoda	Pantopoda	Callipallenidae	Pallenella	Pallenella watsonae	Pallenella	watsonae	SPECIES	ACCEPTED	NE				20.0		{}	2003	2	14.0	2003-02-14	45.0	45.0	['RECORDED_DATE_INVALID', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'INSTITUTION_COLLECTION_MISMATCH']	2019-10-30T15:41:00.000+00:00	2024-07-02T06:37:31.428+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode			False	[{'identifier': '81d75d82-bcfa-4be0-b920-81bf865dec86'}]	[]	[]	[]	False		Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA		81d75d82-bcfa-4be0-b920-81bf865dec86		NMV		Wreck of the 'Eliza Ramsden'		1272748483		Invertebrates	81d75d82-bcfa-4be0-b920-81bf865dec86	OCEANIA				J53619		MALE	20.0	0.0	Victoria	Australia|Victoria	22c8fe88-400b-4e8a-92cd-f1c76683f5ba	Arango, C.	Dr C. Arango	Wet|ethanol 70%	SCUBA	Museums Victoria	urn:lsid:biocol.org:col:34978	ICZN	7000	Wreck of the 'Eliza Ramsden'	en	PhysicalObject	https://biodiversity.org.au/afd/taxa/45c21635-cff9-4d6e-ad21-64575f795218	NMV	Pallenella watsonae	Arthropoda | Cheliceriformes | Pycnogonida | Pantopoda | Callipallenidae				
1272741351	39905320-6c8a-11de-8226-b8a03c50a862	4cff2aca-5ce5-4028-88e6-d79b6449173a	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:21:32.799+00:00	2024-07-02T06:37:42.723+00:00	381	{}	PRESERVED_SPECIMEN	1.0	PRESENT	11195034	1	54	354	9477065	2011	2117979	11195034	11195034	Pallenella watsonae (Staples, 2005)	Pallenella watsonae (Staples, 2005)	Animalia	Arthropoda	Pantopoda	Callipallenidae	Pallenella	Pallenella watsonae	Pallenella	watsonae	SPECIES	ACCEPTED	NE	-38.801	141.789		200.0		{}	1994	5	12.0	1994-05-12	132.0	132.0	['RECORDED_DATE_INVALID', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'INSTITUTION_COLLECTION_MISMATCH']	2019-07-08T13:51:00.000+00:00	2024-07-02T06:37:42.723+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode			False	[{'identifier': 'e9d22b7c-1e41-47c9-93db-9799c6afc961'}]	[]	[]	[]	False	WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA	SLOPE 117	e9d22b7c-1e41-47c9-93db-9799c6afc961		NMV		Off Portland	SLOPE 117	1272741351		Invertebrates	e9d22b7c-1e41-47c9-93db-9799c6afc961					J46920					Victoria	Australia|Victoria	22c8fe88-400b-4e8a-92cd-f1c76683f5ba	Museum Victoria	D A. Staples - Museum Victoria (Sciences)	Wet|ethanol 70%	Smith-McIntyre grab	Museums Victoria	urn:lsid:biocol.org:col:34978	ICZN	7000	Off Portland	en	PhysicalObject	https://biodiversity.org.au/afd/taxa/45c21635-cff9-4d6e-ad21-64575f795218	NMV	Pallenella watsonae	Arthropoda | Cheliceriformes | Pycnogonida | Pantopoda | Callipallenidae	2001-01-01T00:00:00	SLOPE	SLOPE 117	08:48:00
1272739363	39905320-6c8a-11de-8226-b8a03c50a862	4cff2aca-5ce5-4028-88e6-d79b6449173a	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:21:32.799+00:00	2024-07-02T06:37:16.440+00:00	381	{}	PRESERVED_SPECIMEN	13.0	PRESENT	11195034	1	54	354	9477065	2011	2117979	11195034	11195034	Pallenella watsonae (Staples, 2005)	Pallenella watsonae (Staples, 2005)	Animalia	Arthropoda	Pantopoda	Callipallenidae	Pallenella	Pallenella watsonae	Pallenella	watsonae	SPECIES	ACCEPTED	NE	-29.2667	114.917		3.0		{}	1986	4	25.0	1986-04-25	115.0	115.0	['CONTINENT_DERIVED_FROM_COORDINATES', 'RECORDED_DATE_INVALID', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'INSTITUTION_COLLECTION_MISMATCH']	2019-06-24T15:25:00.000+00:00	2024-07-02T06:37:16.440+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode			False	[{'identifier': '077a96ad-ed91-4f47-bb85-bef588702bc2'}]	[]	[]	[]	False	WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA	SWA 94	077a96ad-ed91-4f47-bb85-bef588702bc2		NMV		Dongara- Port Dennison beach, 300 m offshore	SWA 94	1272739363		Invertebrates	077a96ad-ed91-4f47-bb85-bef588702bc2	OCEANIA				J45367					Western Australia	Australia|Western Australia	22c8fe88-400b-4e8a-92cd-f1c76683f5ba	Museum Victoria		Wet|ethanol 70%	Hand dredge	Museums Victoria	urn:lsid:biocol.org:col:34978	ICZN	7000	Dongara- Port Dennison beach, 300 m offshore	en	PhysicalObject	https://biodiversity.org.au/afd/taxa/45c21635-cff9-4d6e-ad21-64575f795218	NMV	Pallenella watsonae	Arthropoda | Cheliceriformes | Pycnogonida | Pantopoda | Callipallenidae		SWA	SWA 94	
1272739761	39905320-6c8a-11de-8226-b8a03c50a862	4cff2aca-5ce5-4028-88e6-d79b6449173a	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:21:32.799+00:00	2024-07-02T06:37:14.657+00:00	381	{}	PRESERVED_SPECIMEN	1.0	PRESENT	11195034	1	54	354	9477065	2011	2117979	11195034	11195034	Pallenella watsonae (Staples, 2005)	Pallenella watsonae (Staples, 2005)	Animalia	Arthropoda	Pantopoda	Callipallenidae	Pallenella	Pallenella watsonae	Pallenella	watsonae	SPECIES	ACCEPTED	NE	-29.2	114.883		1.0		{}	1986	4	24.0	1986-04-24	114.0	114.0	['CONTINENT_DERIVED_FROM_COORDINATES', 'RECORDED_DATE_INVALID', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'INSTITUTION_COLLECTION_MISMATCH']	2019-06-24T15:27:00.000+00:00	2024-07-02T06:37:14.657+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode			False	[{'identifier': '09655886-60fe-45ae-8712-e39e9426fc6e'}]	[]	[]	[]	False	WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA	SWA 91	09655886-60fe-45ae-8712-e39e9426fc6e		NMV		Seven Mile Beach, North of Dongara	SWA 91	1272739761		Invertebrates	09655886-60fe-45ae-8712-e39e9426fc6e	OCEANIA				J45350					Western Australia	Australia|Western Australia	22c8fe88-400b-4e8a-92cd-f1c76683f5ba	Museum Victoria		Wet|ethanol 70%	hand	Museums Victoria	urn:lsid:biocol.org:col:34978	ICZN	7000	Seven Mile Beach, North of Dongara	en	PhysicalObject	https://biodiversity.org.au/afd/taxa/45c21635-cff9-4d6e-ad21-64575f795218	NMV	Pallenella watsonae	Arthropoda | Cheliceriformes | Pycnogonida | Pantopoda | Callipallenidae		SWA	SWA 91	
1272739813	39905320-6c8a-11de-8226-b8a03c50a862	4cff2aca-5ce5-4028-88e6-d79b6449173a	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:21:32.799+00:00	2024-07-02T06:37:18.118+00:00	381	{}	PRESERVED_SPECIMEN	1.0	PRESENT	11195034	1	54	354	9477065	2011	2117979	11195034	11195034	Pallenella watsonae (Staples, 2005)	Pallenella watsonae (Staples, 2005)	Animalia	Arthropoda	Pantopoda	Callipallenidae	Pallenella	Pallenella watsonae	Pallenella	watsonae	SPECIES	ACCEPTED	NE	-29.2	114.883		9.0		{}	1986	4	27.0	1986-04-27	117.0	117.0	['CONTINENT_DERIVED_FROM_COORDINATES', 'RECORDED_DATE_INVALID', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'INSTITUTION_COLLECTION_MISMATCH']	2019-06-24T15:25:00.000+00:00	2024-07-02T06:37:18.118+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode			False	[{'identifier': '1433b950-2f37-44f7-8e7c-31293fcd2382'}]	[]	[]	[]	False	WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA	SWA 99	1433b950-2f37-44f7-8e7c-31293fcd2382		NMV		Seven Mile Beach, North of Dongara, 1 km offshore	SWA 99	1272739813		Invertebrates	1433b950-2f37-44f7-8e7c-31293fcd2382	OCEANIA				J45355					Western Australia	Australia|Western Australia	22c8fe88-400b-4e8a-92cd-f1c76683f5ba	Museum Victoria		Wet|ethanol 70%	SCUBA	Museums Victoria	urn:lsid:biocol.org:col:34978	ICZN	7000	Seven Mile Beach, North of Dongara, 1 km offshore	en	PhysicalObject	https://biodiversity.org.au/afd/taxa/45c21635-cff9-4d6e-ad21-64575f795218	NMV	Pallenella watsonae	Arthropoda | Cheliceriformes | Pycnogonida | Pantopoda | Callipallenidae		SWA	SWA 99	
1272739354	39905320-6c8a-11de-8226-b8a03c50a862	4cff2aca-5ce5-4028-88e6-d79b6449173a	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:21:32.799+00:00	2024-07-02T06:37:18.989+00:00	381	{}	PRESERVED_SPECIMEN	4.0	PRESENT	11195034	1	54	354	9477065	2011	2117979	11195034	11195034	Pallenella watsonae (Staples, 2005)	Pallenella watsonae (Staples, 2005)	Animalia	Arthropoda	Pantopoda	Callipallenidae	Pallenella	Pallenella watsonae	Pallenella	watsonae	SPECIES	ACCEPTED	NE	-29.2667	114.917		5.0		{}	1986	4	25.0	1986-04-25	115.0	115.0	['CONTINENT_DERIVED_FROM_COORDINATES', 'RECORDED_DATE_INVALID', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'INSTITUTION_COLLECTION_MISMATCH']	2019-06-24T15:27:00.000+00:00	2024-07-02T06:37:18.989+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode			False	[{'identifier': '1797fefa-8fa6-4319-9ccd-df5fd20ac2b7'}]	[]	[]	[]	False	WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA	SWA 93	1797fefa-8fa6-4319-9ccd-df5fd20ac2b7		NMV		Dongara- Port Dennison beach, 300 m offshore	SWA 93	1272739354		Invertebrates	1797fefa-8fa6-4319-9ccd-df5fd20ac2b7	OCEANIA				J45366					Western Australia	Australia|Western Australia	22c8fe88-400b-4e8a-92cd-f1c76683f5ba	Museum Victoria		Wet|ethanol 70%	Hand dredge	Museums Victoria	urn:lsid:biocol.org:col:34978	ICZN	7000	Dongara- Port Dennison beach, 300 m offshore	en	PhysicalObject	https://biodiversity.org.au/afd/taxa/45c21635-cff9-4d6e-ad21-64575f795218	NMV	Pallenella watsonae	Arthropoda | Cheliceriformes | Pycnogonida | Pantopoda | Callipallenidae		SWA	SWA 93	
1272739804	39905320-6c8a-11de-8226-b8a03c50a862	4cff2aca-5ce5-4028-88e6-d79b6449173a	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:21:32.799+00:00	2024-07-02T06:37:24.004+00:00	381	{}	PRESERVED_SPECIMEN	1.0	PRESENT	11195034	1	54	354	9477065	2011	2117979	11195034	11195034	Pallenella watsonae (Staples, 2005)	Pallenella watsonae (Staples, 2005)	Animalia	Arthropoda	Pantopoda	Callipallenidae	Pallenella	Pallenella watsonae	Pallenella	watsonae	SPECIES	ACCEPTED	NE	-35.0467	118.023		15.0		{}	1986	4	17.0	1986-04-17	107.0	107.0	['CONTINENT_DERIVED_FROM_COORDINATES', 'RECORDED_DATE_INVALID', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'INSTITUTION_COLLECTION_MISMATCH']	2019-06-24T15:25:00.000+00:00	2024-07-02T06:37:24.004+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode			False	[{'identifier': '312afee5-1197-4d8e-ac8f-71ae93c501d4'}]	[]	[]	[]	False	WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA	SWA 64	312afee5-1197-4d8e-ac8f-71ae93c501d4		NMV		Michaelmas Island, W end	SWA 64	1272739804		Invertebrates	312afee5-1197-4d8e-ac8f-71ae93c501d4	OCEANIA				J45354					Western Australia	Australia|Western Australia	22c8fe88-400b-4e8a-92cd-f1c76683f5ba	Museum Victoria		Wet|ethanol 70%	SCUBA	Museums Victoria	urn:lsid:biocol.org:col:34978	ICZN	7000	Michaelmas Island, W end	en	PhysicalObject	https://biodiversity.org.au/afd/taxa/45c21635-cff9-4d6e-ad21-64575f795218	NMV	Pallenella watsonae	Arthropoda | Cheliceriformes | Pycnogonida | Pantopoda | Callipallenidae		SWA	SWA 64	
1272739345	39905320-6c8a-11de-8226-b8a03c50a862	4cff2aca-5ce5-4028-88e6-d79b6449173a	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:21:32.799+00:00	2024-07-02T06:37:27.334+00:00	381	{}	PRESERVED_SPECIMEN	2.0	PRESENT	11195034	1	54	354	9477065	2011	2117979	11195034	11195034	Pallenella watsonae (Staples, 2005)	Pallenella watsonae (Staples, 2005)	Animalia	Arthropoda	Pantopoda	Callipallenidae	Pallenella	Pallenella watsonae	Pallenella	watsonae	SPECIES	ACCEPTED	NE	-29.2	114.883		1.0		{}	1986	4	24.0	1986-04-24	114.0	114.0	['CONTINENT_DERIVED_FROM_COORDINATES', 'RECORDED_DATE_INVALID', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'INSTITUTION_COLLECTION_MISMATCH']	2019-06-24T15:25:00.000+00:00	2024-07-02T06:37:27.334+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode			False	[{'identifier': '3fd862bd-7aad-4773-b5a7-8b60718d2114'}]	[]	[]	[]	False	WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA	SWA 90	3fd862bd-7aad-4773-b5a7-8b60718d2114		NMV		Seven Mile Beach, North of Dongara	SWA 90	1272739345		Invertebrates	3fd862bd-7aad-4773-b5a7-8b60718d2114	OCEANIA				J45365					Western Australia	Australia|Western Australia	22c8fe88-400b-4e8a-92cd-f1c76683f5ba	Museum Victoria		Wet|ethanol 70%	hand	Museums Victoria	urn:lsid:biocol.org:col:34978	ICZN	7000	Seven Mile Beach, North of Dongara	en	PhysicalObject	https://biodiversity.org.au/afd/taxa/45c21635-cff9-4d6e-ad21-64575f795218	NMV	Pallenella watsonae	Arthropoda | Cheliceriformes | Pycnogonida | Pantopoda | Callipallenidae		SWA	SWA 90	
