key	datasetKey	publishingOrgKey	networkKeys	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	projectId	extensions	basisOfRecord	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	depth	depthAccuracy	gadm	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	lastInterpreted	license	organismQuantity	organismQuantityType	isSequenced	identifiers	media	facts	relations	institutionKey	isInCluster	identifiedBy	preparations	samplingProtocol	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	eventID	identifier	scientificNameID	institutionID	verbatimEventDate	footprintWKT	fieldNumber	language	gbifID	occurrenceID	type	catalogNumber	institutionCode	identificationRemarks	sex	waterBody	associatedSequences	collectionKey	datasetID	datasetName	recordedBy	recordNumber	locality	eventRemarks	collectionCode	taxonID	parentNameUsageID	locationRemarks	organismID	locationID	collectionID	modified
3386516538	1e7b6980-0842-4c4a-8b14-541b95d2ed3c	104e9c96-791b-4f14-978c-f581cb214912	['8534dd20-c368-4a1f-bdaf-e6b390710f89', '2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	27c24cba-13c5-47d1-96a1-16abd8f11437	fb10a11f-4417-41c8-be6a-13a5c8535122	GB	EML	2024-01-23T14:13:17.412+00:00	2024-01-26T10:52:24.601+00:00	97	GOIPG/2019/4020	{}	PRESERVED_SPECIMEN	PRESENT	2117490	1	54	354	9477065	3254684	2117433	2117490	2117490	Pallenopsis buphtalmus Pushkin, 1993	Pallenopsis buphtalmus Pushkin, 1993	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis buphtalmus	Pallenopsis	buphtalmus	SPECIES	ACCEPTED	NE	-74.7011	-29.5006	29.0	427.86	0.6899999999999977	{}	2012.0	2.0	29.0	2012-02-29	60.0	60.0	['COLLECTION_MATCH_NONE']	2024-01-26T10:52:24.601+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	1.0	individuals	False	[{'identifier': 'JR275_1358.2'}]	[]	[]	[]	da671615-9a15-4844-9d5e-ef66382192fb	False	Jamie Maxwell	Whole animal in 96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr275.pdf	WGS84	Pycnogonida	AQ	[]	[{'type': 'ORCID', 'value': 'https://orcid.org/0000-0001-5705-2811'}]	ANTARCTICA	Antarctica	EUROPE	JR275	JR275_1358.2	urn:lsid:marinespecies.org:taxname:239570	https://ror.org/01rhff309	29/02/2012	LINESTRING (-29.50091 -74.70134, -29.50021 -74.70085)	JR275_92	en	3386516538	JR275_1358.2	PhysicalObject	JR275_1358.2	BAS	matches description, but description does not mention small spines on dorsodistal rim of lateral processes. Sequence on BOI/Genbank																		
2382899913	968dfa3e-3614-4bab-a3b5-e9209bdd6078	c3ad790a-d426-4ac1-8e32-da61f81f0117	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	a9c3f3b6-1f98-49c3-ba50-7e6aa1c9de59	c3ad790a-d426-4ac1-8e32-da61f81f0117	US	EML	2023-06-03T13:09:42.774+00:00	2024-01-24T22:36:49.572+00:00	159		{}	PRESERVED_SPECIMEN	PRESENT	2117490	1	54	354	9477065	3254684	2117433	2117490	2117490	Pallenopsis buphtalmus Pushkin, 1993	Pallenopsis buphtalmus Pushkin, 1993	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis buphtalmus	Pallenopsis	buphtalmus	SPECIES	ACCEPTED	NE	-71.317001	-13.942		848.0		{}	2003.0	12.0	21.0	2003-12-21	355.0	355.0	['COORDINATE_ROUNDED', 'GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_COORDINATE_MISMATCH', 'TAXON_MATCH_TAXON_ID_IGNORED']	2024-01-24T22:36:49.572+00:00	http://creativecommons.org/licenses/by/4.0/legalcode			True	[{'identifier': 'OGL_MSC_NortheasternUniversity_S10452'}]	[]	[]	[]	8c116cac-9394-4c4e-be14-06184bdc62bd	False	Tomas Munilla		ND	WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	NORTH_AMERICA	CE01605	OGL_MSC_NortheasternUniversity_S10452	urn:lsid:marinespecies.org:taxname:239570	8c116cac-9394-4c4e-be14-06184bdc62bd					2382899913	OGL_MSC_NortheasternUniversity_S10452		S10452	OGL		FEMALE	Weddell Sea	BOLD ID: 03-400-1	0f00dede-1a1f-49e5-ae69-2bc40db635c5	OGL_MSC_NortheasternUniversity	Ocean Genome Legacy Collection	Katrin Linse	03-400-1	PS65-233	Contact Person: Linse, Katrin	OGL	T02586	134593	Kapp Norvegia	S10452	CL02269	0f00dede-1a1f-49e5-ae69-2bc40db635c5	
240912725	7b52e794-f762-11e1-a439-00145eb45e9a	104e9c96-791b-4f14-978c-f581cb214912	['8534dd20-c368-4a1f-bdaf-e6b390710f89', '2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	27c24cba-13c5-47d1-96a1-16abd8f11437	fb10a11f-4417-41c8-be6a-13a5c8535122	GB	EML	2023-01-08T06:21:55.654+00:00	2024-01-24T20:20:50.438+00:00	242		{}	HUMAN_OBSERVATION	PRESENT	2117490	1	54	354	9477065	3254684	2117433	2117490	2117490	Pallenopsis buphtalmus Pushkin, 1993	Pallenopsis buphtalmus Pushkin, 1993	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis buphtalmus	Pallenopsis	buphtalmus	SPECIES	ACCEPTED	NE	-71.135833	-11.5375		123.0	0.0	{}	1996.0	2.0	21.0	1996-02-21	52.0	52.0	['COORDINATE_ROUNDED', 'GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES']	2024-01-24T20:20:50.438+00:00	http://creativecommons.org/licenses/by/4.0/legalcode			False	[{'identifier': 'urn:catalog:AWI:Weddell Sea macrozoobenthos EASIZ I:3191'}]	[]	[]	[]		False				WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	EUROPE		urn:catalog:AWI:Weddell Sea macrozoobenthos EASIZ I:3191	urn:lsid:marinespecies.org:taxname:239570						240912725	urn:catalog:AWI:Weddell Sea macrozoobenthos EASIZ I:3191		3191	AWI						IMIS:dasid:2432				Kapp Norvegia area		Weddell Sea macrozoobenthos EASIZ I							2010-05-11T18:09:00.000+00:00
240912726	7b52e794-f762-11e1-a439-00145eb45e9a	104e9c96-791b-4f14-978c-f581cb214912	['8534dd20-c368-4a1f-bdaf-e6b390710f89', '2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	27c24cba-13c5-47d1-96a1-16abd8f11437	fb10a11f-4417-41c8-be6a-13a5c8535122	GB	EML	2023-01-08T06:21:55.654+00:00	2024-01-24T20:20:50.438+00:00	242		{}	HUMAN_OBSERVATION	PRESENT	2117490	1	54	354	9477065	3254684	2117433	2117490	2117490	Pallenopsis buphtalmus Pushkin, 1993	Pallenopsis buphtalmus Pushkin, 1993	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis buphtalmus	Pallenopsis	buphtalmus	SPECIES	ACCEPTED	NE	-73.3	-21.165		468.0	0.0	{}	1996.0	2.0	16.0	1996-02-16	47.0	47.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES']	2024-01-24T20:20:50.438+00:00	http://creativecommons.org/licenses/by/4.0/legalcode			False	[{'identifier': 'urn:catalog:AWI:Weddell Sea macrozoobenthos EASIZ I:3192'}]	[]	[]	[]		False				WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	EUROPE		urn:catalog:AWI:Weddell Sea macrozoobenthos EASIZ I:3192	urn:lsid:marinespecies.org:taxname:239570						240912726	urn:catalog:AWI:Weddell Sea macrozoobenthos EASIZ I:3192		3192	AWI						IMIS:dasid:2432				South of Vestkapp		Weddell Sea macrozoobenthos EASIZ I							2010-05-11T18:09:00.000+00:00
240912727	7b52e794-f762-11e1-a439-00145eb45e9a	104e9c96-791b-4f14-978c-f581cb214912	['8534dd20-c368-4a1f-bdaf-e6b390710f89', '2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	27c24cba-13c5-47d1-96a1-16abd8f11437	fb10a11f-4417-41c8-be6a-13a5c8535122	GB	EML	2023-01-08T06:21:55.654+00:00	2024-01-24T20:20:50.438+00:00	242		{}	HUMAN_OBSERVATION	PRESENT	2117490	1	54	354	9477065	3254684	2117433	2117490	2117490	Pallenopsis buphtalmus Pushkin, 1993	Pallenopsis buphtalmus Pushkin, 1993	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis buphtalmus	Pallenopsis	buphtalmus	SPECIES	ACCEPTED	NE	-71.525	-12.425		504.0	0.0	{}	1996.0	2.0	28.0	1996-02-28	59.0	59.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES']	2024-01-24T20:20:50.438+00:00	http://creativecommons.org/licenses/by/4.0/legalcode			False	[{'identifier': 'urn:catalog:AWI:Weddell Sea macrozoobenthos EASIZ I:3193'}]	[]	[]	[]		False				WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	EUROPE		urn:catalog:AWI:Weddell Sea macrozoobenthos EASIZ I:3193	urn:lsid:marinespecies.org:taxname:239570						240912727	urn:catalog:AWI:Weddell Sea macrozoobenthos EASIZ I:3193		3193	AWI						IMIS:dasid:2432				Kapp Norvegia area		Weddell Sea macrozoobenthos EASIZ I							2010-05-11T18:09:00.000+00:00
318008466	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862		6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:22.967+00:00	124		{}	OCCURRENCE	PRESENT	2117490	1	54	354	9477065	3254684	2117433	2117490	2117490	Pallenopsis buphtalmus Pushkin, 1993	Pallenopsis buphtalmus Pushkin, 1993	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis buphtalmus	Pallenopsis	buphtalmus	SPECIES	ACCEPTED	NE	-71.1358	-11.5375		123.0	0.0	{}							['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:22.967+00:00	http://creativecommons.org/licenses/by/4.0/legalcode			False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:21557'}]	[]	[]	[]		False				WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	EUROPE									318008466			21557	BAS												SOMBASE Pycnogonids							
318009133	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862		6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:21.802+00:00	124		{}	OCCURRENCE	PRESENT	2117490	1	54	354	9477065	3254684	2117433	2117490	2117490	Pallenopsis buphtalmus Pushkin, 1993	Pallenopsis buphtalmus Pushkin, 1993	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis buphtalmus	Pallenopsis	buphtalmus	SPECIES	ACCEPTED	NE	-62.8133	-59.8719		659.5	12.5	{}							['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:21.802+00:00	http://creativecommons.org/licenses/by/4.0/legalcode			False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:34344'}]	[]	[]	[]		False				WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	EUROPE									318009133			34344	BAS												SOMBASE Pycnogonids							
318009290	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862		6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:23.403+00:00	124		{}	OCCURRENCE	PRESENT	2117490	1	54	354	9477065	3254684	2117433	2117490	2117490	Pallenopsis buphtalmus Pushkin, 1993	Pallenopsis buphtalmus Pushkin, 1993	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis buphtalmus	Pallenopsis	buphtalmus	SPECIES	ACCEPTED	NE	-69.35	14.1		750.0	80.0	{}							['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:23.403+00:00	http://creativecommons.org/licenses/by/4.0/legalcode			False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:37573'}]	[]	[]	[]		False				WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	EUROPE									318009290			37573	BAS												SOMBASE Pycnogonids							
318009316	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862		6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:23.182+00:00	124		{}	OCCURRENCE	PRESENT	2117490	1	54	354	9477065	3254684	2117433	2117490	2117490	Pallenopsis buphtalmus Pushkin, 1993	Pallenopsis buphtalmus Pushkin, 1993	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis buphtalmus	Pallenopsis	buphtalmus	SPECIES	ACCEPTED	NE	-54.7866	-35.3416		305.0	0.0	{}							['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:23.182+00:00	http://creativecommons.org/licenses/by/4.0/legalcode			False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:37712'}]	[]	[]	[]		False				WGS84	Pycnogonida	GS	[]	[]	ANTARCTICA	South Georgia and the South Sandwich Islands	EUROPE									318009316			37712	BAS												SOMBASE Pycnogonids							
318009317	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862		6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:23.182+00:00	124		{}	OCCURRENCE	PRESENT	2117490	1	54	354	9477065	3254684	2117433	2117490	2117490	Pallenopsis buphtalmus Pushkin, 1993	Pallenopsis buphtalmus Pushkin, 1993	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis buphtalmus	Pallenopsis	buphtalmus	SPECIES	ACCEPTED	NE	-53.9166	-36.8333		290.0	0.0	{}							['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:23.182+00:00	http://creativecommons.org/licenses/by/4.0/legalcode			False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:37717'}]	[]	[]	[]		False				WGS84	Pycnogonida	GS	[]	[]	ANTARCTICA	South Georgia and the South Sandwich Islands	EUROPE									318009317			37717	BAS												SOMBASE Pycnogonids							
