key	datasetKey	publishingOrgKey	networkKeys	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	individualCount	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	depth	depthAccuracy	gadm	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	modified	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	institutionKey	collectionKey	isInCluster	identifiedBy	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	identifier	catalogNumber	institutionCode	locality	fieldNumber	gbifID	collectionCode	occurrenceID	collectionID	continent	establishmentMeans	higherGeography	typeStatus	preparations	institutionID	nomenclaturalCode	verbatimEventDate	verbatimLocality	language	type	higherClassification	references	associatedSequences	taxonConceptID	occurrenceRemarks	taxonID
442597461	da6a07ed-9eee-460d-9448-910f542c1a7b	2cd829bb-b713-433d-99cf-64bef11e5b3e	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	86c2834b-fcd6-418d-9b32-aca45110a0fe	2cd829bb-b713-433d-99cf-64bef11e5b3e	FR	EML	2024-07-24T12:23:52.237+00:00	2024-07-24T12:24:40.571+00:00	564	{'http://rs.tdwg.org/dwc/terms/Identification': [{'http://rs.tdwg.org/dwc/terms/namePublishedInYear': '1910', 'http://rs.tdwg.org/dwc/terms/order': 'Pantopoda', 'http://rs.tdwg.org/dwc/terms/higherClassification': 'Pallenopsis;Pallenopsidae;Pantopoda;Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificNameAuthorship': 'Carpenter, 1910', 'http://rs.tdwg.org/dwc/terms/class': 'Pycnogonida', 'http://rs.tdwg.org/dwc/terms/identificationID': 'INVMAR|313733', 'http://rs.tdwg.org/dwc/terms/family': 'Pallenopsidae', 'http://rs.tdwg.org/dwc/terms/genus': 'Pallenopsis', 'http://rs.tdwg.org/dwc/terms/specificEpithet': 'crosslandi', 'http://rs.tdwg.org/dwc/terms/identificationVerificationStatus': '1', 'http://rs.tdwg.org/dwc/terms/taxonID': 'INVMAR|25853', 'http://rs.tdwg.org/dwc/terms/identifiedBy': 'Sabroux R.', 'http://rs.tdwg.org/dwc/terms/phylum': 'Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificName': 'Pallenopsis crosslandi Carpenter, 1910'}, {'http://rs.tdwg.org/dwc/terms/namePublishedInYear': '1910', 'http://rs.tdwg.org/dwc/terms/order': 'Pantopoda', 'http://rs.tdwg.org/dwc/terms/higherClassification': 'Pallenopsis;Pallenopsidae;Pantopoda;Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificNameAuthorship': 'Carpenter, 1910', 'http://rs.tdwg.org/dwc/terms/class': 'Pycnogonida', 'http://rs.tdwg.org/dwc/terms/identificationID': 'INVMAR|75710', 'http://rs.tdwg.org/dwc/terms/family': 'Pallenopsidae', 'http://rs.tdwg.org/dwc/terms/genus': 'Pallenopsis', 'http://rs.tdwg.org/dwc/terms/specificEpithet': 'crosslandi', 'http://rs.tdwg.org/dwc/terms/dateIdentified': '2011-02-01', 'http://rs.tdwg.org/dwc/terms/identificationVerificationStatus': '0', 'http://rs.tdwg.org/dwc/terms/taxonID': 'INVMAR|25853', 'http://rs.tdwg.org/dwc/terms/identifiedBy': 'Sabroux R.', 'http://rs.tdwg.org/dwc/terms/phylum': 'Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificName': 'Pallenopsis crosslandi Carpenter, 1910'}], 'http://rs.gbif.org/terms/1.0/Multimedia': [{'http://purl.org/dc/terms/creator': 'Corbari L. & Leprieur S.', 'http://purl.org/dc/terms/type': 'StillImage', 'http://purl.org/dc/terms/format': 'image/jpeg', 'http://purl.org/dc/terms/license': 'cc-by-nc-nd', 'http://purl.org/dc/terms/identifier': 'http://mediaphoto.mnhn.fr/media/1415854110569AuZMwL1XuPVxSZr9'}, {'http://purl.org/dc/terms/creator': 'Corbari L. & Leprieur S.', 'http://purl.org/dc/terms/type': 'StillImage', 'http://purl.org/dc/terms/format': 'image/jpeg', 'http://purl.org/dc/terms/license': 'cc-by-nc-nd', 'http://purl.org/dc/terms/identifier': 'http://mediaphoto.mnhn.fr/media/1415854377119ML7953nuISRhAXKZ'}]}	PRESERVED_SPECIMEN	1.0	PRESENT	2117459	1	54	354	9477065	3254684	2117433	2117459	2117459	Pallenopsis crosslandi Carpenter, 1910	Pallenopsis crosslandi Carpenter, 1910	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis crosslandi	Pallenopsis	crosslandi	SPECIES	ACCEPTED	NE	-25.908333	44.850166	56.5	0.5	{}	2010.0	5.0	13.0	2010-05-13	133.0	133.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'INSTITUTION_MATCH_FUZZY']	2015-11-24T10:40:23.000+00:00	2024-07-24T12:24:40.571+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'http://coldb.mnhn.fr/catalognumber/mnhn/iu/2011-706'}]	[{'type': 'StillImage', 'format': 'image/jpeg', 'creator': 'Corbari L. & Leprieur S.', 'license': 'http://creativecommons.org/licenses/by-nc-nd/4.0/', 'identifier': 'http://mediaphoto.mnhn.fr/media/1415854110569AuZMwL1XuPVxSZr9'}, {'type': 'StillImage', 'format': 'image/jpeg', 'creator': 'Corbari L. & Leprieur S.', 'license': 'http://creativecommons.org/licenses/by-nc-nd/4.0/', 'identifier': 'http://mediaphoto.mnhn.fr/media/1415854377119ML7953nuISRhAXKZ'}]	[]	[]	6a6ac6c5-1b8a-48db-91a2-f8661274ff80	0641bf3b-29ad-42c9-b3c7-ffb5a76f6954	False	Sabroux R.	WGS84	Pycnogonida	MG	[]	[]	AFRICA	Madagascar	EUROPE	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2011-706	2011-706	MNHN	SW Cap Sainte Marie	ATIMO VATAE/DW3605	442597461	IU	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2011-706	10.15468/qgvvhd																	
442597223	da6a07ed-9eee-460d-9448-910f542c1a7b	2cd829bb-b713-433d-99cf-64bef11e5b3e	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	86c2834b-fcd6-418d-9b32-aca45110a0fe	2cd829bb-b713-433d-99cf-64bef11e5b3e	FR	EML	2024-07-24T12:23:52.237+00:00	2024-07-24T12:24:40.656+00:00	564	{'http://rs.tdwg.org/dwc/terms/Identification': [{'http://rs.tdwg.org/dwc/terms/namePublishedInYear': '1910', 'http://rs.tdwg.org/dwc/terms/order': 'Pantopoda', 'http://rs.tdwg.org/dwc/terms/higherClassification': 'Pallenopsis;Pallenopsidae;Pantopoda;Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificNameAuthorship': 'Carpenter, 1910', 'http://rs.tdwg.org/dwc/terms/class': 'Pycnogonida', 'http://rs.tdwg.org/dwc/terms/identificationID': 'INVMAR|75641', 'http://rs.tdwg.org/dwc/terms/family': 'Pallenopsidae', 'http://rs.tdwg.org/dwc/terms/genus': 'Pallenopsis', 'http://rs.tdwg.org/dwc/terms/specificEpithet': 'crosslandi', 'http://rs.tdwg.org/dwc/terms/dateIdentified': '2011-02-01', 'http://rs.tdwg.org/dwc/terms/identificationVerificationStatus': '1', 'http://rs.tdwg.org/dwc/terms/taxonID': 'INVMAR|25853', 'http://rs.tdwg.org/dwc/terms/identifiedBy': 'Sabroux R.', 'http://rs.tdwg.org/dwc/terms/phylum': 'Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificName': 'Pallenopsis crosslandi Carpenter, 1910'}]}	PRESERVED_SPECIMEN	1.0	PRESENT	2117459	1	54	354	9477065	3254684	2117433	2117459	2117459	Pallenopsis crosslandi Carpenter, 1910	Pallenopsis crosslandi Carpenter, 1910	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis crosslandi	Pallenopsis	crosslandi	SPECIES	ACCEPTED	NE	-25.379	44.843449	19.5	0.5	{}	2010.0	6.0	8.0	2010-06-08	159.0	159.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'INSTITUTION_MATCH_FUZZY']	2016-03-14T15:10:03.000+00:00	2024-07-24T12:24:40.656+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'http://coldb.mnhn.fr/catalognumber/mnhn/iu/2011-693'}]	[]	[]	[]	6a6ac6c5-1b8a-48db-91a2-f8661274ff80	0641bf3b-29ad-42c9-b3c7-ffb5a76f6954	True	Sabroux R.	WGS84	Pycnogonida	MG	[]	[]	AFRICA	Madagascar	EUROPE	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2011-693	2011-693	MNHN	secteur du Cap Malaimpioka	ATIMO VATAE/BP37	442597223	IU	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2011-693	10.15468/qgvvhd	AFRICA																
442597246	da6a07ed-9eee-460d-9448-910f542c1a7b	2cd829bb-b713-433d-99cf-64bef11e5b3e	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	86c2834b-fcd6-418d-9b32-aca45110a0fe	2cd829bb-b713-433d-99cf-64bef11e5b3e	FR	EML	2024-07-24T12:23:52.237+00:00	2024-07-24T12:24:40.585+00:00	564	{'http://rs.tdwg.org/dwc/terms/Identification': [{'http://rs.tdwg.org/dwc/terms/namePublishedInYear': '1910', 'http://rs.tdwg.org/dwc/terms/order': 'Pantopoda', 'http://rs.tdwg.org/dwc/terms/higherClassification': 'Pallenopsis;Pallenopsidae;Pantopoda;Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificNameAuthorship': 'Carpenter, 1910', 'http://rs.tdwg.org/dwc/terms/class': 'Pycnogonida', 'http://rs.tdwg.org/dwc/terms/identificationID': 'INVMAR|75648', 'http://rs.tdwg.org/dwc/terms/family': 'Pallenopsidae', 'http://rs.tdwg.org/dwc/terms/genus': 'Pallenopsis', 'http://rs.tdwg.org/dwc/terms/specificEpithet': 'crosslandi', 'http://rs.tdwg.org/dwc/terms/dateIdentified': '2011-02-01', 'http://rs.tdwg.org/dwc/terms/identificationVerificationStatus': '1', 'http://rs.tdwg.org/dwc/terms/taxonID': 'INVMAR|25853', 'http://rs.tdwg.org/dwc/terms/identifiedBy': 'Sabroux R.', 'http://rs.tdwg.org/dwc/terms/phylum': 'Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificName': 'Pallenopsis crosslandi Carpenter, 1910'}], 'http://rs.gbif.org/terms/1.0/Multimedia': [{'http://purl.org/dc/terms/creator': 'Corbari L. & Leprieur S.', 'http://purl.org/dc/terms/type': 'StillImage', 'http://purl.org/dc/terms/format': 'image/jpeg', 'http://purl.org/dc/terms/license': 'cc-by-nc-nd', 'http://purl.org/dc/terms/identifier': 'http://mediaphoto.mnhn.fr/media/1415853820977lFJ6edr8ETt2SL8t'}, {'http://purl.org/dc/terms/creator': 'Corbari L. & Leprieur S.', 'http://purl.org/dc/terms/type': 'StillImage', 'http://purl.org/dc/terms/format': 'image/jpeg', 'http://purl.org/dc/terms/license': 'cc-by-nc-nd', 'http://purl.org/dc/terms/identifier': 'http://mediaphoto.mnhn.fr/media/1415854138898YSoHvX0zEmL8LGzO'}]}	PRESERVED_SPECIMEN	1.0	PRESENT	2117459	1	54	354	9477065	3254684	2117433	2117459	2117459	Pallenopsis crosslandi Carpenter, 1910	Pallenopsis crosslandi Carpenter, 1910	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis crosslandi	Pallenopsis	crosslandi	SPECIES	ACCEPTED	NE	-25.4793	44.946667	12.0	1.0	{}	2010.0	6.0	5.0	2010-06-05	156.0	156.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'INSTITUTION_MATCH_FUZZY']	2015-06-19T19:23:01.000+00:00	2024-07-24T12:24:40.585+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'http://coldb.mnhn.fr/catalognumber/mnhn/iu/2011-700'}]	[{'type': 'StillImage', 'format': 'image/jpeg', 'creator': 'Corbari L. & Leprieur S.', 'license': 'http://creativecommons.org/licenses/by-nc-nd/4.0/', 'identifier': 'http://mediaphoto.mnhn.fr/media/1415854138898YSoHvX0zEmL8LGzO'}, {'type': 'StillImage', 'format': 'image/jpeg', 'creator': 'Corbari L. & Leprieur S.', 'license': 'http://creativecommons.org/licenses/by-nc-nd/4.0/', 'identifier': 'http://mediaphoto.mnhn.fr/media/1415853820977lFJ6edr8ETt2SL8t'}]	[]	[]	6a6ac6c5-1b8a-48db-91a2-f8661274ff80	0641bf3b-29ad-42c9-b3c7-ffb5a76f6954	False	Sabroux R.	WGS84	Pycnogonida	MG	[]	[]	AFRICA	Madagascar	EUROPE	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2011-700	2011-700	MNHN	Rocher de l'Albatros	ATIMO VATAE/BS09	442597246	IU	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2011-700	10.15468/qgvvhd	AFRICA																
2274724281	717b3b87-0ebd-46b4-812b-4a29786798d9	d9ccac00-9bc7-11de-a329-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	a957a663-2f17-415f-b1c8-5cf6398df8ed	2053a639-84c3-4be5-b8bc-96b6d88a976c	GB	EML	2024-04-28T14:44:53.352+00:00	2024-04-29T09:15:51.462+00:00	239	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2117459	1	54	354	9477065	3254684	2117433	2117459	2117459	Pallenopsis crosslandi Carpenter, 1910	Pallenopsis crosslandi Carpenter, 1910	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis crosslandi	Pallenopsis	crosslandi	SPECIES	ACCEPTED	NE					{}	1902.0			1902			['CONTINENT_DERIVED_FROM_COUNTRY', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2014-04-12T00:00:00.000+00:00	2024-04-29T09:15:51.462+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:UMZC:Vertebrates:I.49946'}]	[]	[]	[]	09a9f7bc-f3a3-4274-a7e9-d97b5f412697		False			Pycnogonida	KE	[]	[]	AFRICA	Kenya	EUROPE	urn:catalog:UMZC:Vertebrates:I.49946	I.49946	UMZC	Wasin		2274724281	Vertebrates	urn:catalog:UMZC:Vertebrates:I.49946	urn:lsid:biocol.org:col:34903	AFRICA	native	;British East Africa [Kenya];;;;;;	HOLOTYPE	(in spirit)	urn:lsid:biocol.org:col:34902	ICZN	1902	; British East Africa [Kenya]; ; ; ; ; ; Wasin	en	PhysicalObject	ANIMALIA:ARTHROPODA:ARACHNIDA::PALLENIDAE:Pallenopsis					
1019678625	da6a07ed-9eee-460d-9448-910f542c1a7b	2cd829bb-b713-433d-99cf-64bef11e5b3e	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	86c2834b-fcd6-418d-9b32-aca45110a0fe	2cd829bb-b713-433d-99cf-64bef11e5b3e	FR	EML	2024-07-24T12:23:52.237+00:00	2024-07-24T12:24:43.007+00:00	564	{'http://rs.tdwg.org/dwc/terms/Identification': [{'http://rs.tdwg.org/dwc/terms/namePublishedInYear': '1910', 'http://rs.tdwg.org/dwc/terms/order': 'Pantopoda', 'http://rs.tdwg.org/dwc/terms/higherClassification': 'Pallenopsis;Pallenopsidae;Pantopoda;Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificNameAuthorship': 'Carpenter, 1910', 'http://rs.tdwg.org/dwc/terms/class': 'Pycnogonida', 'http://rs.tdwg.org/dwc/terms/identificationID': 'INVMAR|231508', 'http://rs.tdwg.org/dwc/terms/family': 'Pallenopsidae', 'http://rs.tdwg.org/dwc/terms/genus': 'Pallenopsis', 'http://rs.tdwg.org/dwc/terms/specificEpithet': 'crosslandi', 'http://rs.tdwg.org/dwc/terms/identificationVerificationStatus': '1', 'http://rs.tdwg.org/dwc/terms/taxonID': 'INVMAR|25853', 'http://rs.tdwg.org/dwc/terms/identifiedBy': 'Arnaud F.', 'http://rs.tdwg.org/dwc/terms/phylum': 'Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificName': 'Pallenopsis crosslandi Carpenter, 1910'}]}	PRESERVED_SPECIMEN	1.0	PRESENT	2117459	1	54	354	9477065	3254684	2117433	2117459	2117459	Pallenopsis crosslandi Carpenter, 1910	Pallenopsis crosslandi Carpenter, 1910	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis crosslandi	Pallenopsis	crosslandi	SPECIES	ACCEPTED	NE					{}							['OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'INSTITUTION_MATCH_FUZZY']	2016-06-29T17:13:18.000+00:00	2024-07-24T12:24:43.007+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'http://coldb.mnhn.fr/catalognumber/mnhn/iu/2009-5465'}]	[]	[]	[]	6a6ac6c5-1b8a-48db-91a2-f8661274ff80	0641bf3b-29ad-42c9-b3c7-ffb5a76f6954	False	Arnaud F.		Pycnogonida		[]	[]			EUROPE	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2009-5465	2009-5465	MNHN			1019678625	IU	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2009-5465	10.15468/qgvvhd																	
1019678650	da6a07ed-9eee-460d-9448-910f542c1a7b	2cd829bb-b713-433d-99cf-64bef11e5b3e	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	86c2834b-fcd6-418d-9b32-aca45110a0fe	2cd829bb-b713-433d-99cf-64bef11e5b3e	FR	EML	2024-07-24T12:23:52.237+00:00	2024-07-24T12:24:43.006+00:00	564	{'http://rs.tdwg.org/dwc/terms/Identification': [{'http://rs.tdwg.org/dwc/terms/namePublishedInYear': '1910', 'http://rs.tdwg.org/dwc/terms/order': 'Pantopoda', 'http://rs.tdwg.org/dwc/terms/higherClassification': 'Pallenopsis;Pallenopsidae;Pantopoda;Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificNameAuthorship': 'Carpenter, 1910', 'http://rs.tdwg.org/dwc/terms/class': 'Pycnogonida', 'http://rs.tdwg.org/dwc/terms/identificationID': 'INVMAR|231509', 'http://rs.tdwg.org/dwc/terms/family': 'Pallenopsidae', 'http://rs.tdwg.org/dwc/terms/genus': 'Pallenopsis', 'http://rs.tdwg.org/dwc/terms/specificEpithet': 'crosslandi', 'http://rs.tdwg.org/dwc/terms/identificationVerificationStatus': '1', 'http://rs.tdwg.org/dwc/terms/taxonID': 'INVMAR|25853', 'http://rs.tdwg.org/dwc/terms/identifiedBy': 'Arnaud F.', 'http://rs.tdwg.org/dwc/terms/phylum': 'Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificName': 'Pallenopsis crosslandi Carpenter, 1910'}]}	PRESERVED_SPECIMEN	1.0	PRESENT	2117459	1	54	354	9477065	3254684	2117433	2117459	2117459	Pallenopsis crosslandi Carpenter, 1910	Pallenopsis crosslandi Carpenter, 1910	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis crosslandi	Pallenopsis	crosslandi	SPECIES	ACCEPTED	NE					{}							['OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'INSTITUTION_MATCH_FUZZY']	2016-06-29T17:13:24.000+00:00	2024-07-24T12:24:43.006+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'http://coldb.mnhn.fr/catalognumber/mnhn/iu/2009-5466'}]	[]	[]	[]	6a6ac6c5-1b8a-48db-91a2-f8661274ff80	0641bf3b-29ad-42c9-b3c7-ffb5a76f6954	False	Arnaud F.		Pycnogonida		[]	[]			EUROPE	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2009-5466	2009-5466	MNHN			1019678650	IU	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2009-5466	10.15468/qgvvhd																	
1019678674	da6a07ed-9eee-460d-9448-910f542c1a7b	2cd829bb-b713-433d-99cf-64bef11e5b3e	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	86c2834b-fcd6-418d-9b32-aca45110a0fe	2cd829bb-b713-433d-99cf-64bef11e5b3e	FR	EML	2024-07-24T12:23:52.237+00:00	2024-07-24T12:24:42.961+00:00	564	{'http://rs.tdwg.org/dwc/terms/Identification': [{'http://rs.tdwg.org/dwc/terms/namePublishedInYear': '1910', 'http://rs.tdwg.org/dwc/terms/order': 'Pantopoda', 'http://rs.tdwg.org/dwc/terms/higherClassification': 'Pallenopsis;Pallenopsidae;Pantopoda;Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificNameAuthorship': 'Carpenter, 1910', 'http://rs.tdwg.org/dwc/terms/class': 'Pycnogonida', 'http://rs.tdwg.org/dwc/terms/identificationID': 'INVMAR|231510', 'http://rs.tdwg.org/dwc/terms/family': 'Pallenopsidae', 'http://rs.tdwg.org/dwc/terms/genus': 'Pallenopsis', 'http://rs.tdwg.org/dwc/terms/specificEpithet': 'crosslandi', 'http://rs.tdwg.org/dwc/terms/identificationVerificationStatus': '1', 'http://rs.tdwg.org/dwc/terms/taxonID': 'INVMAR|25853', 'http://rs.tdwg.org/dwc/terms/identifiedBy': 'Arnaud F.', 'http://rs.tdwg.org/dwc/terms/phylum': 'Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificName': 'Pallenopsis crosslandi Carpenter, 1910'}]}	PRESERVED_SPECIMEN	1.0	PRESENT	2117459	1	54	354	9477065	3254684	2117433	2117459	2117459	Pallenopsis crosslandi Carpenter, 1910	Pallenopsis crosslandi Carpenter, 1910	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis crosslandi	Pallenopsis	crosslandi	SPECIES	ACCEPTED	NE					{}							['OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'INSTITUTION_MATCH_FUZZY']	2022-03-28T10:58:25.000+00:00	2024-07-24T12:24:42.961+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'http://coldb.mnhn.fr/catalognumber/mnhn/iu/2009-5467'}]	[]	[]	[]	6a6ac6c5-1b8a-48db-91a2-f8661274ff80	0641bf3b-29ad-42c9-b3c7-ffb5a76f6954	False	Arnaud F.		Pycnogonida		[]	[]			EUROPE	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2009-5467	2009-5467	MNHN			1019678674	IU	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2009-5467	10.15468/qgvvhd																	
4152787333	d8cd16ba-bb74-4420-821e-083f2bac17c2	ada9d123-ddb4-467d-8891-806ea8d94230		17a83780-3060-4851-9d6f-029d5fcb81c9	fbca90e3-8aed-48b1-84e3-369afbd000ce	GB	EML	2024-07-20T12:06:08.628+00:00	2024-07-20T12:50:08.268+00:00	175	{}	PRESERVED_SPECIMEN		PRESENT	2117459	1	54	354	9477065	3254684	2117433	2117459	2117459	Pallenopsis crosslandi Carpenter, 1910	Pallenopsis crosslandi Carpenter, 1910	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis crosslandi	Pallenopsis	crosslandi	SPECIES	ACCEPTED	NE	-25.38	44.84			{}							['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_DERIVED_FROM_COORDINATES', 'PRESUMED_NEGATED_LONGITUDE', 'PRESUMED_NEGATED_LATITUDE', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'TAXON_MATCH_TAXON_ID_IGNORED']		2024-07-20T12:50:08.268+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	True	[{'identifier': 'OP985888'}]	[]	[]	[]			True		WGS84	Pycnogonida	MG	[]	[]	AFRICA	Madagascar	EUROPE	OP985888	MNHN-IU-2011-693				4152787333		OP985888		AFRICA												https://www.ebi.ac.uk/ena/browser/view/OP985888	https://www.ebi.ac.uk/ena/browser/api/embl/OP985888	https://www.ebi.ac.uk/ena/browser/view/Taxon:3039353	UNVERIFIED: Pallenopsis crosslandi voucher MNHN-IU-2011-693 mitochondrion sequence, sequence.	ASV:1320c668654e4bb46bdd675b96c006c9
318009252	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862		6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:22.172+00:00	124	{}	OCCURRENCE		PRESENT	2117459	1	54	354	9477065	3254684	2117433	2117459	2117459	Pallenopsis crosslandi Carpenter, 1910	Pallenopsis crosslandi Carpenter, 1910	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis crosslandi	Pallenopsis	crosslandi	SPECIES	ACCEPTED	NE	-35.45	23.49			{}							['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']		2024-01-24T20:26:22.172+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:37235'}]	[]	[]	[]			False		WGS84	Pycnogonida	ZA	[]	[]	AFRICA	South Africa	EUROPE		37235	BAS			318009252	SOMBASE Pycnogonids																			
2274741046	717b3b87-0ebd-46b4-812b-4a29786798d9	d9ccac00-9bc7-11de-a329-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	a957a663-2f17-415f-b1c8-5cf6398df8ed	2053a639-84c3-4be5-b8bc-96b6d88a976c	GB	EML	2024-04-28T14:44:53.352+00:00	2024-04-29T09:15:51.461+00:00	239	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2117459	1	54	354	9477065	3254684	2117433	2117459	2117459	Pallenopsis crosslandi Carpenter, 1910	Pallenopsis crosslandi Carpenter, 1910	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis crosslandi	Pallenopsis	crosslandi	SPECIES	ACCEPTED	NE					{}							['INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2014-04-12T00:00:00.000+00:00	2024-04-29T09:15:51.461+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:UMZC:Vertebrates:I.49948'}]	[]	[]	[]	09a9f7bc-f3a3-4274-a7e9-d97b5f412697		False			Pycnogonida		[]	[]			EUROPE	urn:catalog:UMZC:Vertebrates:I.49948	I.49948	UMZC			2274741046	Vertebrates	urn:catalog:UMZC:Vertebrates:I.49948	urn:lsid:biocol.org:col:34903	AFRICA	native	;East Africa;;;;;;		(mounted)	urn:lsid:biocol.org:col:34902	ICZN		; East Africa; ; ; ; ; ;	en	PhysicalObject	ANIMALIA:ARTHROPODA:ARACHNIDA::PALLENIDAE:Pallenopsis					
