key	datasetKey	publishingOrgKey	networkKeys	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	dateIdentified	decimalLatitude	decimalLongitude	stateProvince	gadm	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	institutionKey	isInCluster	identifiedBy	preparations	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	rightsHolder	identifier	http://unknown.org/taxonRankID	locality	collectionCode	gbifID	language	occurrenceID	type	catalogNumber	institutionCode	taxonConceptID	http://unknown.org/species	coordinatePrecision	coordinateUncertaintyInMeters	otherCatalogNumbers	eventID	acceptedNameUsage	dynamicProperties	verbatimLocality	locationRemarks	nameAccordingTo	modified	samplingProtocol	identificationRemarks	sex	individualCount	continent	recordedBy	waterBody	higherGeography	typeStatus	collectionKey	datasetName	institutionID	verbatimEventDate	higherClassification	collectionID	georeferencedBy	typifiedName	references	nomenclaturalCode	georeferenceProtocol	georeferenceVerificationStatus	georeferenceRemarks	verbatimCoordinateSystem	disposition	ownerInstitutionCode	occurrenceRemarks	georeferenceSources	datasetID	scientificNameID	bibliographicCitation	depth	depthAccuracy
4141821924	793c3890-6c8a-11de-8226-b8a03c50a862	8cdd9232-84eb-4bad-9d9b-a36910cd524b	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:23:22.318+00:00	2024-07-02T07:38:08.908+00:00	374	{}	PRESERVED_SPECIMEN	PRESENT	2117446	1	54	354	9477065	3254684	2117433	2117446	2117446	Pallenopsis denticulata Hedgpeth, 1944	Pallenopsis denticulata Hedgpeth, 1944	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis denticulata	Pallenopsis	denticulata	SPECIES	ACCEPTED	NE	2002-01-01T00:00:00	-13.054	130.027	Northern Territory	{}	1993.0	10.0	3.0	1993-10-03	276.0	276.0	['TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2024-07-02T07:38:08.908+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '6728cd3a-984a-4e40-aa51-43a9c927b28a'}]	[]	[]	[]	c0f3ae0e-60d2-4671-a35f-40c754780c9f	False	C. Arango	whole animal (ETOH)	WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA	Board of the Museum and Art Gallery of the Northern Territory	6728cd3a-984a-4e40-aa51-43a9c927b28a	7000	3nm NNE of North Peron Island, Beagle Gulf	Minor Invertebrate	4141821924	en	6728cd3a-984a-4e40-aa51-43a9c927b28a	PhysicalObject	N000019	MAGNT	https://biodiversity.org.au/afd/taxa/69d58098-fb45-4123-836f-110fce8ca4db	Pallenopsis denticulata																																										
1100783935	dce8feb0-6c89-11de-8225-b8a03c50a862	770c30d2-c2a8-4bb2-8056-6167297cddae	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:20:52.620+00:00	2024-07-02T07:19:08.237+00:00	384	{}	PRESERVED_SPECIMEN	PRESENT	2117446	1	54	354	9477065	3254684	2117433	2117446	2117446	Pallenopsis denticulata Hedgpeth, 1944	Pallenopsis denticulata Hedgpeth, 1944	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis denticulata	Pallenopsis	denticulata	SPECIES	ACCEPTED	NE	2006-01-01T00:00:00	-19.93166	117.92999	Western Australia	{}	1983.0	4.0	22.0	1983-04-22	112.0	112.0	['TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2024-07-02T07:19:08.237+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '27dfd9f1-b119-40e8-b97c-12b0ff52ce03'}]	[]	[]	[]	9cfe8cbf-35ff-4d93-b932-cb05d91b7922	False	Arango, C - Australian Museum - Marine Invertebrates		WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA		27dfd9f1-b119-40e8-b97c-12b0ff52ce03	7000		Invertebrates - Marine & Other	1100783935		27dfd9f1-b119-40e8-b97c-12b0ff52ce03		P.73388	AM	https://biodiversity.org.au/afd/taxa/69d58098-fb45-4123-836f-110fce8ca4db	Pallenopsis denticulata	1e-05	10000.0	ecatalogue.irn:1197690|urn:catalog:AM:Invertebrates - Marine & Other:P.73388	urn:australianmuseum.net.au:Events:1046321	Pallenopsis denticulata Hedgpeth, 1944	{dcterms:type:PhysicalObject,dcterms:modified:2018/6/27,verbatimUncertainty:1km-10km}	North West Shelf	ecatalogue.LocCollectionEventLocal: [02-B3-S] Australia, Western Australia, North West Shelf (19° 55' 54 S, 117° 55' 48 E) 22/04/1983 - 22/04/1983, CSIRO North-West Shelf project;	Hedgpeth, 1944																																	
4141818185	793c3890-6c8a-11de-8226-b8a03c50a862	8cdd9232-84eb-4bad-9d9b-a36910cd524b	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:23:22.318+00:00	2024-07-02T07:38:06.898+00:00	374	{}	PRESERVED_SPECIMEN	PRESENT	2117446	1	54	354	9477065	3254684	2117433	2117446	2117446	Pallenopsis denticulata Hedgpeth, 1944	Pallenopsis denticulata Hedgpeth, 1944	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis denticulata	Pallenopsis	denticulata	SPECIES	ACCEPTED	NE	1983-01-01T00:00:00	-19.5375	118.18667	Western Australia	{}	1983.0	4.0	17.0	1983-04-17	107.0	107.0	['TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2024-07-02T07:38:06.898+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '37dea185-879e-408f-a8ed-62ae90911efc'}]	[]	[]	[]	c0f3ae0e-60d2-4671-a35f-40c754780c9f	False	D. Staples	whole animal (ETOH)	WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA	Board of the Museum and Art Gallery of the Northern Territory	37dea185-879e-408f-a8ed-62ae90911efc	7000	North West Shelf	Minor Invertebrate	4141818185	en	37dea185-879e-408f-a8ed-62ae90911efc	PhysicalObject	N000010	MAGNT	https://biodiversity.org.au/afd/taxa/69d58098-fb45-4123-836f-110fce8ca4db	Pallenopsis denticulata																																										
4141829329	793c3890-6c8a-11de-8226-b8a03c50a862	8cdd9232-84eb-4bad-9d9b-a36910cd524b	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:23:22.318+00:00	2024-07-02T07:38:09.511+00:00	374	{}	PRESERVED_SPECIMEN	PRESENT	2117446	1	54	354	9477065	3254684	2117433	2117446	2117446	Pallenopsis denticulata Hedgpeth, 1944	Pallenopsis denticulata Hedgpeth, 1944	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis denticulata	Pallenopsis	denticulata	SPECIES	ACCEPTED	NE	1983-01-01T00:00:00	-19.49333	118.87	Western Australia	{}	1983.0	4.0	26.0	1983-04-26	116.0	116.0	['TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2024-07-02T07:38:09.511+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '832a6d4b-3df5-40e2-8c18-c0ec46f604b0'}]	[]	[]	[]	c0f3ae0e-60d2-4671-a35f-40c754780c9f	False	D. Staples	whole animal (ETOH)	WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA	Board of the Museum and Art Gallery of the Northern Territory	832a6d4b-3df5-40e2-8c18-c0ec46f604b0	7000	West of Port Hedland	Minor Invertebrate	4141829329	en	832a6d4b-3df5-40e2-8c18-c0ec46f604b0	PhysicalObject	N000001	MAGNT	https://biodiversity.org.au/afd/taxa/69d58098-fb45-4123-836f-110fce8ca4db	Pallenopsis denticulata										2022-09-29T00:00:00.000+00:00																																
1100764613	dce8feb0-6c89-11de-8225-b8a03c50a862	770c30d2-c2a8-4bb2-8056-6167297cddae	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:20:52.620+00:00	2024-07-02T07:20:46.372+00:00	384	{}	PRESERVED_SPECIMEN	PRESENT	2117446	1	54	354	9477065	3254684	2117433	2117446	2117446	Pallenopsis denticulata Hedgpeth, 1944	Pallenopsis denticulata Hedgpeth, 1944	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis denticulata	Pallenopsis	denticulata	SPECIES	ACCEPTED	NE	2005-01-01T00:00:00	-19.94499	117.89666	Western Australia	{}	1983.0	8.0	26.0	1983-08-26	238.0	238.0	['TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2024-07-02T07:20:46.372+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '781ca35f-6627-446b-9fd3-9ec460f15c07'}]	[]	[]	[]	9cfe8cbf-35ff-4d93-b932-cb05d91b7922	False	Krapp, Dr Franz - Zoologisches Forschungsinstitut und Museum Alexander Koenig		WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA		781ca35f-6627-446b-9fd3-9ec460f15c07	7000		Invertebrates - Marine & Other	1100764613		781ca35f-6627-446b-9fd3-9ec460f15c07		P.45168	AM	https://biodiversity.org.au/afd/taxa/69d58098-fb45-4123-836f-110fce8ca4db	Pallenopsis denticulata	1e-05	10000.0	ecatalogue.irn:1145740|urn:catalog:AM:Invertebrates - Marine & Other:P.45168	urn:australianmuseum.net.au:Events:1066095	Pallenopsis denticulata Hedgpeth, 1944	{dcterms:type:PhysicalObject,dcterms:modified:2019/11/19,verbatimUncertainty:1km-10km}	North West Shelf	ecatalogue.LocCollectionEventLocal: [04-B2-S] Australia, Western Australia, North West Shelf (19° 56' 42 S, 117° 53' 48 E) 26/08/1983 - 26/08/1983, epibenthic sled, Field Collected - Aquatic, CSIRO North-West Shelf project;	Hedgpeth, 1944		epibenthic sled	ecatalogue.IdeComments: vial A;																														
1100783990	dce8feb0-6c89-11de-8225-b8a03c50a862	770c30d2-c2a8-4bb2-8056-6167297cddae	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:20:52.620+00:00	2024-07-02T07:20:06.496+00:00	384	{}	PRESERVED_SPECIMEN	PRESENT	2117446	1	54	354	9477065	3254684	2117433	2117446	2117446	Pallenopsis denticulata Hedgpeth, 1944	Pallenopsis denticulata Hedgpeth, 1944	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis denticulata	Pallenopsis	denticulata	SPECIES	ACCEPTED	NE	2006-01-01T00:00:00	-20.24305	116.84569	Western Australia	{}	1983.0	10.0	27.0	1983-10-27	300.0	300.0	['TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2024-07-02T07:20:06.496+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'da13a3c8-8474-44c8-bfe7-f9471315601b'}]	[]	[]	[]	9cfe8cbf-35ff-4d93-b932-cb05d91b7922	False	Arango, C - Australian Museum - Marine Invertebrates		WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA		da13a3c8-8474-44c8-bfe7-f9471315601b	7000		Invertebrates - Marine & Other	1100783990		da13a3c8-8474-44c8-bfe7-f9471315601b		P.73408	AM	https://biodiversity.org.au/afd/taxa/69d58098-fb45-4123-836f-110fce8ca4db	Pallenopsis denticulata	1e-05	10000.0	ecatalogue.irn:1197727|urn:catalog:AM:Invertebrates - Marine & Other:P.73408	urn:australianmuseum.net.au:Events:1082290	Pallenopsis denticulata Hedgpeth, 1944	{dcterms:type:PhysicalObject,dcterms:modified:2018/6/28,verbatimUncertainty:1km-10km}	North West Shelf, north north-west of Dampier	ecatalogue.LocCollectionEventLocal: [So5/83] Australia, Western Australia, North West Shelf, north north-west of Dampier (20° 14' 35 S, 116° 50' 53 E) 27/10/1983 - 27/10/1983, beam trawl, Field Collected - Aquatic;	Hedgpeth, 1944		beam trawl		MALE																													
4141813077	793c3890-6c8a-11de-8226-b8a03c50a862	8cdd9232-84eb-4bad-9d9b-a36910cd524b	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:23:22.318+00:00	2024-07-02T07:38:06.600+00:00	374	{}	PRESERVED_SPECIMEN	PRESENT	2117446	1	54	354	9477065	3254684	2117433	2117446	2117446	Pallenopsis denticulata Hedgpeth, 1944	Pallenopsis denticulata Hedgpeth, 1944	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis denticulata	Pallenopsis	denticulata	SPECIES	ACCEPTED	NE	2002-01-01T00:00:00	-19.97667	118.05833	Western Australia	{}	1982.0	12.0	10.0	1982-12-10	344.0	344.0	['TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2024-07-02T07:38:06.600+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '2fee1fb1-268b-4bfc-95a1-9833145e4692'}]	[]	[]	[]	c0f3ae0e-60d2-4671-a35f-40c754780c9f	False	C. Arango	whole animal (ETOH)	WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA	Board of the Museum and Art Gallery of the Northern Territory	2fee1fb1-268b-4bfc-95a1-9833145e4692	7000	North of Port Hedland	Minor Invertebrate	4141813077	en	2fee1fb1-268b-4bfc-95a1-9833145e4692	PhysicalObject	N000023	MAGNT	https://biodiversity.org.au/afd/taxa/69d58098-fb45-4123-836f-110fce8ca4db	Pallenopsis denticulata																																										
500761513	7c93d290-6c8b-11de-8226-b8a03c50a862	b36f3505-f2d9-499f-a669-fa418a127b9d	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:22:04.806+00:00	2024-07-02T17:15:23.454+00:00	380	{}	PRESERVED_SPECIMEN	PRESENT	2117446	1	54	354	9477065	3254684	2117433	2117446	2117446	Pallenopsis denticulata Hedgpeth, 1944	Pallenopsis denticulata Hedgpeth, 1944	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis denticulata	Pallenopsis	denticulata	SPECIES	ACCEPTED	NE		-20.43333	115.61667	Western Australia	{}	1979.0	12.0	5.0	1979-12-05	339.0	339.0	['CONTINENT_DERIVED_FROM_COORDINATES', 'RECORDED_DATE_INVALID', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-07-02T17:15:23.454+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'a61ba971-8c8c-4500-a3bf-c4a1d9a853e6'}]	[]	[]	[]	09d260e0-a509-40c7-bef5-b0f5444be84a	False	Child, C.A.	wet (in ethanol or some other preservative)	WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA		a61ba971-8c8c-4500-a3bf-c4a1d9a853e6	7000		ARACH	500761513		a61ba971-8c8c-4500-a3bf-c4a1d9a853e6	PhysicalObject	12748	WAM	https://biodiversity.org.au/afd/taxa/69d58098-fb45-4123-836f-110fce8ca4db	Pallenopsis denticulata			80/1420					NE. of Monte Bello Islands		1993-05-06T00:00:00.000+00:00			FEMALE	1.0	OCEANIA	Marsh, L.M.|Slack-Smith, S.M.																										
500760875	7c93d290-6c8b-11de-8226-b8a03c50a862	b36f3505-f2d9-499f-a669-fa418a127b9d	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:22:04.806+00:00	2024-07-02T17:15:24.480+00:00	380	{}	PRESERVED_SPECIMEN	PRESENT	2117446	1	54	354	9477065	3254684	2117433	2117446	2117446	Pallenopsis denticulata Hedgpeth, 1944	Pallenopsis denticulata Hedgpeth, 1944	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis denticulata	Pallenopsis	denticulata	SPECIES	ACCEPTED	NE	1980-01-01T00:00:00	-20.43333	115.61667	Western Australia	{}	1979.0	12.0	5.0	1979-12-05	339.0	339.0	['CONTINENT_DERIVED_FROM_COORDINATES', 'RECORDED_DATE_INVALID', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-07-02T17:15:24.480+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'ad62e3c4-397d-4216-bbb0-88456048cbf3'}]	[]	[]	[]	09d260e0-a509-40c7-bef5-b0f5444be84a	False	Child, C.A.	wet (in ethanol or some other preservative)	WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA		ad62e3c4-397d-4216-bbb0-88456048cbf3	7000		ARACH	500760875		ad62e3c4-397d-4216-bbb0-88456048cbf3	PhysicalObject	12264	WAM	https://biodiversity.org.au/afd/taxa/69d58098-fb45-4123-836f-110fce8ca4db	Pallenopsis denticulata			80/940					NE. of Monte Bello Islands		1993-05-14T00:00:00.000+00:00			FEMALE	1.0	OCEANIA	Slack-Smith, S.M.|Marsh, L.M.																										
500761517	7c93d290-6c8b-11de-8226-b8a03c50a862	b36f3505-f2d9-499f-a669-fa418a127b9d	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:22:04.806+00:00	2024-07-02T17:15:25.448+00:00	380	{}	PRESERVED_SPECIMEN	PRESENT	2117446	1	54	354	9477065	3254684	2117433	2117446	2117446	Pallenopsis denticulata Hedgpeth, 1944	Pallenopsis denticulata Hedgpeth, 1944	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis denticulata	Pallenopsis	denticulata	SPECIES	ACCEPTED	NE		-20.95	115.88333	Western Australia	{}	1979.0	12.0	8.0	1979-12-08	342.0	342.0	['CONTINENT_DERIVED_FROM_COORDINATES', 'RECORDED_DATE_INVALID', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-07-02T17:15:25.448+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'b59c7f48-75a3-4da2-9dcc-40646123aaa2'}]	[]	[]	[]	09d260e0-a509-40c7-bef5-b0f5444be84a	False	Child, C.A.	wet (in ethanol or some other preservative)	WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA		b59c7f48-75a3-4da2-9dcc-40646123aaa2	7000		ARACH	500761517		b59c7f48-75a3-4da2-9dcc-40646123aaa2	PhysicalObject	12751	WAM	https://biodiversity.org.au/afd/taxa/69d58098-fb45-4123-836f-110fce8ca4db	Pallenopsis denticulata			80/1423					N. of Sholl Island, Passage Island		1992-09-11T00:00:00.000+00:00			MALE	1.0	OCEANIA	Marsh, L.M.|Slack-Smith, S.M.																										
