key	datasetKey	publishingOrgKey	networkKeys	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	individualCount	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	depth	depthAccuracy	gadm	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	modified	lastInterpreted	license	organismQuantity	organismQuantityType	sampleSizeUnit	isSequenced	identifiers	media	facts	relations	isInCluster	identifiedBy	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	eventID	identifier	catalogNumber	scientificNameID	institutionCode	footprintWKT	fieldNumber	gbifID	occurrenceRemarks	collectionCode	occurrenceID	continent	stateProvince	recordedBy	preparations	habitat	http://unknown.org/taxonRankID	locality	type	vernacularName	taxonConceptID	http://unknown.org/species	coordinatePrecision	institutionKey	datasetName	otherCatalogNumbers	samplingProtocol	verbatimLocality	eventTime	sex	dateIdentified	acceptedNameUsage	dynamicProperties	locationRemarks	nameAccordingTo	verbatimTaxonRank	verbatimEventDate	waterBody	typeStatus	collectionKey	institutionID	eventRemarks
4140626556	5bf5a032-d602-4217-a355-4f71117a6310	5fa89f68-9af0-4a0d-8998-ea39695c1db9	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	729a7375-b120-4e4f-bb81-ad9badcca81b	5fa89f68-9af0-4a0d-8998-ea39695c1db9	AU	EML	2024-07-02T09:35:43.745+00:00	2024-07-02T09:36:15.089+00:00	54	{'http://rs.iobis.org/obis/terms/ExtendedMeasurementOrFact': [{'http://rs.tdwg.org/dwc/terms/measurementID': 'CS-IN2015_C02-181-2549423-33020012-53-museum-registration-number', 'http://rs.tdwg.org/dwc/terms/measurementValue': 'C12975 - lodged at SAMA', 'http://rs.tdwg.org/dwc/terms/occurrenceID': 'CS-IN2015_C02-181-2549423-33020012-53', 'http://rs.tdwg.org/dwc/terms/measurementType': 'Museum registration number'}, {'http://rs.tdwg.org/dwc/terms/measurementID': 'CS-IN2015_C02-181-2549423-33020012-53-specimen-count', 'http://rs.tdwg.org/dwc/terms/measurementValue': '1', 'http://rs.tdwg.org/dwc/terms/occurrenceID': 'CS-IN2015_C02-181-2549423-33020012-53', 'http://rs.tdwg.org/dwc/terms/measurementType': 'Specimen Count'}, {'http://rs.tdwg.org/dwc/terms/measurementUnit': 'gram', 'http://rs.tdwg.org/dwc/terms/measurementID': 'CS-IN2015_C02-181-2549423-33020012-53-weight', 'http://rs.tdwg.org/dwc/terms/measurementValue': '1', 'http://rs.tdwg.org/dwc/terms/occurrenceID': 'CS-IN2015_C02-181-2549423-33020012-53', 'http://rs.iobis.org/obis/terms/measurementUnitID': 'http://vocab.nerc.ac.uk/collection/P06/current/UGRM', 'http://rs.tdwg.org/dwc/terms/measurementType': 'Weight'}]}	HUMAN_OBSERVATION	1.0	PRESENT	2117464	1	54	354	9477065	3254684	2117433	2117464	2117464	Pallenopsis gippslandiae Stock, 1954	Pallenopsis gippslandiae Stock, 1954	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis gippslandiae	Pallenopsis	gippslandiae	SPECIES	ACCEPTED	NE	-34.2879	132.6935	100.0	283.0	67.0	{}	2015.0	12.0	7.0	2015-12-07T20:19:01Z	341.0	341.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'FOOTPRINT_WKT_INVALID', 'IDENTIFIED_DATE_INVALID']	2022-08-29T02:41:32.000+00:00	2024-07-02T09:36:15.089+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	1.0	individuals	IN2015_C02	False	[{'identifier': 'CS-IN2015_C02-181-2549423-33020012-53'}]	[]	[]	[]	False	D. Staples	WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA	IN2015_C02:181	CS-IN2015_C02-181-2549423-33020012-53	IN2015_C02_181_130	urn:lsid:marinespecies.org:taxname:239738	CSIRO	LINE (132.6890  -34.2903, 132.6980  -34.2855)	IN2015_C02:181	4140626556	Occurrence Type: Catch specimen	GAB-RP	CS-IN2015_C02-181-2549423-33020012-53																															
1132273401	d0e133c0-6c8a-11de-8226-b8a03c50a862	14209842-b56e-40ae-b95d-b13224d0411c	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:25:04.729+00:00	2024-07-02T07:41:31.843+00:00	365	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2117464	1	54	354	9477065	3254684	2117433	2117464	2117464	Pallenopsis gippslandiae Stock, 1954	Pallenopsis gippslandiae Stock, 1954	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis gippslandiae	Pallenopsis	gippslandiae	SPECIES	ACCEPTED	NE	-40.447557	144.841056				{}	2013.0	1.0	11.0	2013-01-11	11.0	11.0	['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'INSTITUTION_MATCH_NONE']		2024-07-02T07:41:31.843+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode				False	[{'identifier': '2d887534-b34a-4d58-99f8-4ea87b61af4c'}]	[]	[]	[]	False	Maynard, David	WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA		2d887534-b34a-4d58-99f8-4ea87b61af4c	QVM:2013:10:0001		QVMAG			1132273401		Invertebrates	2d887534-b34a-4d58-99f8-4ea87b61af4c	OCEANIA	Tasmania	Maynard, David	wet	associate of sponge/sediment collection taken amongst boulders under macroalgae canopy	7000	Three Hummock Island	PhysicalObject	Sea-spider	https://biodiversity.org.au/afd/taxa/c78cb66d-a0e6-4e2d-ae43-f3ef4fe2b213	Pallenopsis gippslandiae																				
1632847196	fa375330-6c8a-11de-8226-b8a03c50a862	4d0539cd-a2e0-4a2c-8b7d-ec6718eef764	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:22:31.414+00:00	2024-07-02T07:13:35.592+00:00	382	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2117464	1	54	354	9477065	3254684	2117433	2117464	2117464	Pallenopsis gippslandiae Stock, 1954	Pallenopsis gippslandiae Stock, 1954	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis gippslandiae	Pallenopsis	gippslandiae	SPECIES	ACCEPTED	NE	-37.59244	139.65731				{}	2008.0	2.0	7.0	2008-02-07	38.0	38.0	['TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2021-11-19T00:00:00.000+00:00	2024-07-02T07:13:35.592+00:00	http://creativecommons.org/licenses/by/4.0/legalcode				False	[{'identifier': '938062e5-bbe8-46e7-bf35-70aa86be452f'}]	[]	[]	[]	False	Conlan, K - Canadian Museum of Nature	WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA	urn:emu.sam.sa.gov.au:Event:51955	938062e5-bbe8-46e7-bf35-70aa86be452f	E4719		SAMA			1632847196		Marine Invertebrates	938062e5-bbe8-46e7-bf35-70aa86be452f		South Australia	Currie, David|Sardi, Sardi	Wet Specimen		7000		PhysicalObject	Sea-spider	https://biodiversity.org.au/afd/taxa/c78cb66d-a0e6-4e2d-ae43-f3ef4fe2b213	Pallenopsis gippslandiae	1e-05	5d0174cc-48aa-497e-8751-df708df5ccc5	Bonney & Du Couedic Canyon Survey (Feb 2008)	ecatalogue.irn:619903	grab	BE_100, Bonney Canyon	17:20:													
1100763247	dce8feb0-6c89-11de-8225-b8a03c50a862	770c30d2-c2a8-4bb2-8056-6167297cddae	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:20:52.620+00:00	2024-07-02T07:19:08.209+00:00	384	{}	PRESERVED_SPECIMEN		PRESENT	2117464	1	54	354	9477065	3254684	2117433	2117464	2117464	Pallenopsis gippslandiae Stock, 1954	Pallenopsis gippslandiae Stock, 1954	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis gippslandiae	Pallenopsis	gippslandiae	SPECIES	ACCEPTED	NE	-38.72999	148.26166	1000.0			{}	1994.0	8.0	26.0	1994-08-26	238.0	238.0	['TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']		2024-07-02T07:19:08.209+00:00	http://creativecommons.org/licenses/by/4.0/legalcode				False	[{'identifier': '27cad26e-d6a0-43fb-98c6-15e99cf81428'}]	[]	[]	[]	False	Krapp, F	WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA	urn:australianmuseum.net.au:Events:1067326	27cad26e-d6a0-43fb-98c6-15e99cf81428	P.43299		AM			1100763247		Invertebrates - Marine & Other	27cad26e-d6a0-43fb-98c6-15e99cf81428		Victoria	Berents, Penelope Blackburne|Australian Museum|Invertebrates, Marine			7000			Sea-spider	https://biodiversity.org.au/afd/taxa/c78cb66d-a0e6-4e2d-ae43-f3ef4fe2b213	Pallenopsis gippslandiae	1e-05	9cfe8cbf-35ff-4d93-b932-cb05d91b7922		ecatalogue.irn:1063131|urn:catalog:AM:Invertebrates - Marine & Other:P.43299	benthic sled	Bass Strait, east of Seal Islands	6:5	FEMALE	1994-01-01T00:00:00	Pallenopsis gippslandiae Stock, 1954	{dcterms:type:PhysicalObject,dcterms:modified:2019/11/19,verbatimUncertainty:100m-1km}	ecatalogue.LocCollectionEventLocal: [SS05/94/43] Australia, Victoria, Bass Strait, east of Seal Islands (38° 43' 48 S, 148° 15' 42 E) 26/08/1994 - 26/08/1994, benthic sled;	Stock, 1954							
1100763262	dce8feb0-6c89-11de-8225-b8a03c50a862	770c30d2-c2a8-4bb2-8056-6167297cddae	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:20:52.620+00:00	2024-07-02T07:19:25.278+00:00	384	{}	PRESERVED_SPECIMEN		PRESENT	2117464	1	54	354	9477065	3254684	2117433	2117464	2117464	Pallenopsis gippslandiae Stock, 1954	Pallenopsis gippslandiae Stock, 1954	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis gippslandiae	Pallenopsis	gippslandiae	SPECIES	ACCEPTED	NE	-38.98499	148.52666	1000.0			{}	1994.0	8.0	27.0	1994-08-27	239.0	239.0	['TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']		2024-07-02T07:19:25.278+00:00	http://creativecommons.org/licenses/by/4.0/legalcode				False	[{'identifier': '6d28d883-3e19-4a81-8692-cd2cc7831ec5'}]	[]	[]	[]	False	Krapp, F	WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA	urn:australianmuseum.net.au:Events:1067339	6d28d883-3e19-4a81-8692-cd2cc7831ec5	P.43405		AM			1100763262		Invertebrates - Marine & Other	6d28d883-3e19-4a81-8692-cd2cc7831ec5		Victoria	Berents, Penelope Blackburne|Australian Museum|Invertebrates, Marine			7000			Sea-spider	https://biodiversity.org.au/afd/taxa/c78cb66d-a0e6-4e2d-ae43-f3ef4fe2b213	Pallenopsis gippslandiae	1e-05	9cfe8cbf-35ff-4d93-b932-cb05d91b7922		ecatalogue.irn:1063189|urn:catalog:AM:Invertebrates - Marine & Other:P.43405	benthic sled	Bass Strait, east of Seal Islands		MALE	1994-01-01T00:00:00	Pallenopsis gippslandiae Stock, 1954	{dcterms:type:PhysicalObject,dcterms:modified:2019/11/19,verbatimUncertainty:100m-1km}	ecatalogue.LocCollectionEventLocal: [SS05/94/60] Australia, Victoria, Bass Strait, east of Seal Islands (38° 59' 06 S, 148° 31' 36 E) 27/08/1994 - 27/08/1994, benthic sled;	Stock, 1954							
1100764261	dce8feb0-6c89-11de-8225-b8a03c50a862	770c30d2-c2a8-4bb2-8056-6167297cddae	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:20:52.620+00:00	2024-07-02T07:19:51.586+00:00	384	{}	PRESERVED_SPECIMEN		PRESENT	2117464	1	54	354	9477065	3254684	2117433	2117464	2117464	Pallenopsis gippslandiae Stock, 1954	Pallenopsis gippslandiae Stock, 1954	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis gippslandiae	Pallenopsis	gippslandiae	SPECIES	ACCEPTED	NE	-38.98499	148.52666	1000.0			{}	1994.0	8.0	27.0	1994-08-27	239.0	239.0	['TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']		2024-07-02T07:19:51.586+00:00	http://creativecommons.org/licenses/by/4.0/legalcode				False	[{'identifier': 'd22526c8-d14f-4edd-a152-dcaa6a0d86a5'}]	[]	[]	[]	False	Krapp, Dr Franz - Zoologisches Forschungsinstitut und Museum Alexander Koenig	WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA	urn:australianmuseum.net.au:Events:1067339	d22526c8-d14f-4edd-a152-dcaa6a0d86a5	P.44734		AM			1100764261		Invertebrates - Marine & Other	d22526c8-d14f-4edd-a152-dcaa6a0d86a5		Victoria	Berents, Penelope Blackburne|Australian Museum|Invertebrates, Marine			7000			Sea-spider	https://biodiversity.org.au/afd/taxa/c78cb66d-a0e6-4e2d-ae43-f3ef4fe2b213	Pallenopsis gippslandiae	1e-05	9cfe8cbf-35ff-4d93-b932-cb05d91b7922		ecatalogue.irn:1151049|urn:catalog:AM:Invertebrates - Marine & Other:P.44734	benthic sled	Bass Strait, east of Seal Islands			2008-01-01T00:00:00	Pallenopsis cf. gippslandiae Stock, 1954	{dcterms:type:PhysicalObject,dcterms:modified:2019/11/19,verbatimUncertainty:100m-1km}	ecatalogue.LocCollectionEventLocal: [SS05/94/60] Australia, Victoria, Bass Strait, east of Seal Islands (38° 59' 06 S, 148° 31' 36 E) 27/08/1994 - 27/08/1994, benthic sled;	Stock, 1954	species						
1100763335	dce8feb0-6c89-11de-8225-b8a03c50a862	770c30d2-c2a8-4bb2-8056-6167297cddae	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:20:52.620+00:00	2024-07-02T07:19:45.765+00:00	384	{}	PRESERVED_SPECIMEN		PRESENT	2117464	1	54	354	9477065	3254684	2117433	2117464	2117464	Pallenopsis gippslandiae Stock, 1954	Pallenopsis gippslandiae Stock, 1954	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis gippslandiae	Pallenopsis	gippslandiae	SPECIES	ACCEPTED	NE	-37.39833	150.29833	1000.0			{}	1994.0	9.0	1.0	1994-09-01	244.0	244.0	['TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']		2024-07-02T07:19:45.765+00:00	http://creativecommons.org/licenses/by/4.0/legalcode				False	[{'identifier': '9b61e0df-9fba-4c32-808b-2fa44a437912'}]	[]	[]	[]	False	Krapp, F	WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA	urn:australianmuseum.net.au:Events:1067280	9b61e0df-9fba-4c32-808b-2fa44a437912	P.43500		AM			1100763335		Invertebrates - Marine & Other	9b61e0df-9fba-4c32-808b-2fa44a437912		New South Wales	Berents, Penelope Blackburne|Australian Museum|Invertebrates, Marine			7000			Sea-spider	https://biodiversity.org.au/afd/taxa/c78cb66d-a0e6-4e2d-ae43-f3ef4fe2b213	Pallenopsis gippslandiae	1e-05	9cfe8cbf-35ff-4d93-b932-cb05d91b7922		ecatalogue.irn:1063223|urn:catalog:AM:Invertebrates - Marine & Other:P.43500	benthic sled	south-east of Disaster Bay		FEMALE	1994-01-01T00:00:00	Pallenopsis gippslandiae Stock, 1954	{dcterms:type:PhysicalObject,dcterms:modified:2019/11/19,verbatimUncertainty:100m-1km}	ecatalogue.LocCollectionEventLocal: [SS05/94/107] Australia, New South Wales, south-east of Disaster Bay (37° 23' 54 S, 150° 17' 54 E) 01/09/1994 - 01/09/1994, benthic sled;	Stock, 1954							
1100763796	dce8feb0-6c89-11de-8225-b8a03c50a862	770c30d2-c2a8-4bb2-8056-6167297cddae	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:20:52.620+00:00	2024-07-02T07:20:34.015+00:00	384	{}	PRESERVED_SPECIMEN		PRESENT	2117464	1	54	354	9477065	3254684	2117433	2117464	2117464	Pallenopsis gippslandiae Stock, 1954	Pallenopsis gippslandiae Stock, 1954	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis gippslandiae	Pallenopsis	gippslandiae	SPECIES	ACCEPTED	NE	-33.04166	151.983	10000.0			{}	1993.0	5.0	5.0	1993-05-05	125.0	125.0	['TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']		2024-07-02T07:20:34.015+00:00	http://creativecommons.org/licenses/by/4.0/legalcode				False	[{'identifier': '51fb119f-7ddc-4bd5-96a3-0e8a6e072908'}]	[]	[]	[]	False	Krapp, Dr Franz - Zoologisches Forschungsinstitut und Museum Alexander Koenig	WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA	urn:australianmuseum.net.au:Events:1058545	51fb119f-7ddc-4bd5-96a3-0e8a6e072908	P.44124		AM			1100763796		Invertebrates - Marine & Other	51fb119f-7ddc-4bd5-96a3-0e8a6e072908		New South Wales				7000			Sea-spider	https://biodiversity.org.au/afd/taxa/c78cb66d-a0e6-4e2d-ae43-f3ef4fe2b213	Pallenopsis gippslandiae	1e-05	9cfe8cbf-35ff-4d93-b932-cb05d91b7922		ecatalogue.irn:1120521|urn:catalog:AM:Invertebrates - Marine & Other:P.44124		midshelf east of Newcastle		MALE	2007-01-01T00:00:00	Pallenopsis gippslandiae Stock, 1954	{dcterms:type:PhysicalObject,dcterms:modified:2019/11/19,verbatimUncertainty:1km-10km}	ecatalogue.LocCollectionEventLocal: [K93-10-05] Australia, New South Wales, midshelf east of Newcastle (33° 01' S, 152° 00' E) 05/05/1993 - 05/05/1993;	Stock, 1954							
3749234271	fa375330-6c8a-11de-8226-b8a03c50a862	4d0539cd-a2e0-4a2c-8b7d-ec6718eef764	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:22:31.414+00:00	2024-07-02T07:13:39.359+00:00	382	{}	PRESERVED_SPECIMEN	2.0	PRESENT	2117464	1	54	354	9477065	3254684	2117433	2117464	2117464	Pallenopsis gippslandiae Stock, 1954	Pallenopsis gippslandiae Stock, 1954	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis gippslandiae	Pallenopsis	gippslandiae	SPECIES	ACCEPTED	NE	-68.45028	75.41611	5000.0	622.0		{}	1991.0	2.0	19.0	1991-02-19	50.0	50.0	['TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2021-10-19T00:00:00.000+00:00	2024-07-02T07:13:39.359+00:00	http://creativecommons.org/licenses/by/4.0/legalcode				False	[{'identifier': 'dd115c84-0adb-4897-8ac4-ad4200e5dc78'}]	[]	[]	[]	False	D.A.Staples	WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	OCEANIA	urn:emu.sam.sa.gov.au:Event:51000	dd115c84-0adb-4897-8ac4-ad4200e5dc78	E8394		SAMA			3749234271		Marine Invertebrates	dd115c84-0adb-4897-8ac4-ad4200e5dc78			Zeidler|W|K	Wet Specimen		7000		PhysicalObject	Sea-spider	https://biodiversity.org.au/afd/taxa/c78cb66d-a0e6-4e2d-ae43-f3ef4fe2b213	Pallenopsis gippslandiae	1e-05	5d0174cc-48aa-497e-8751-df708df5ccc5	ANARE Prydz Bay Survey 1991	ecatalogue.irn:802887	bottom trawl	Prydz Bay			2006-01-01T00:00:00						19 Feb 1991					
1100763590	dce8feb0-6c89-11de-8225-b8a03c50a862	770c30d2-c2a8-4bb2-8056-6167297cddae	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:20:52.620+00:00	2024-07-02T07:19:26.100+00:00	384	{}	PRESERVED_SPECIMEN		PRESENT	2117464	1	54	354	9477065	3254684	2117433	2117464	2117464	Pallenopsis gippslandiae Stock, 1954	Pallenopsis gippslandiae Stock, 1954	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis gippslandiae	Pallenopsis	gippslandiae	SPECIES	ACCEPTED	NE	-36.71849	156.21716	10000.0			{}	1989.0	5.0	1.0	1989-05-01	121.0	121.0	['TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']		2024-07-02T07:19:26.100+00:00	http://creativecommons.org/licenses/by/4.0/legalcode				False	[{'identifier': '5a98a78e-e6a2-4860-acba-a43f27a0b3bc'}]	[]	[]	[]	False	Krapp, F	WGS84	Pycnogonida		[]	[]			OCEANIA	urn:australianmuseum.net.au:Events:1055072	5a98a78e-e6a2-4860-acba-a43f27a0b3bc	P.43771		AM			1100763590		Invertebrates - Marine & Other	5a98a78e-e6a2-4860-acba-a43f27a0b3bc			Lowry, J.K.|Party			7000			Sea-spider	https://biodiversity.org.au/afd/taxa/c78cb66d-a0e6-4e2d-ae43-f3ef4fe2b213	Pallenopsis gippslandiae	1e-05	9cfe8cbf-35ff-4d93-b932-cb05d91b7922		ecatalogue.irn:1063342|urn:catalog:AM:Invertebrates - Marine & Other:P.43771	epibenthic sled	Gascoyne Seamount		MALE	1994-01-01T00:00:00	Pallenopsis gippslandiae Stock, 1954	{dcterms:type:PhysicalObject,dcterms:modified:2019/11/19,verbatimUncertainty:1km-10km}	ecatalogue.LocCollectionEventLocal: [FR0589-04] Tasman Sea, Gascoyne Seamount (36° 43' 07 S, 156° 13' 02 E) 01/05/1989 - 01/05/1989, epibenthic sled;	Stock, 1954			Tasman Sea				
