key	datasetKey	publishingOrgKey	networkKeys	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	elevation	elevationAccuracy	continent	stateProvince	gadm	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	modified	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	institutionKey	collectionKey	isInCluster	identifiedBy	preparations	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	identifier	catalogNumber	locationRemarks	verbatimEventDate	institutionCode	http://unknown.org/taxonRankID	taxonConceptID	locality	http://unknown.org/species	gbifID	collectionCode	occurrenceID	dateIdentified	rightsHolder	language	type	sex	coordinatePrecision	coordinateUncertaintyInMeters	otherCatalogNumbers	recordedBy	samplingProtocol	eventID	acceptedNameUsage	dynamicProperties	verbatimLocality	nameAccordingTo	individualCount	depth	depthAccuracy	waterBody	higherGeography	datasetName	institutionID	georeferenceProtocol	verbatimCoordinateSystem	higherClassification	collectionID	locationID
1633598769	a79c2b50-6c8a-11de-8226-b8a03c50a862	f9d3db7d-6ee9-4fbf-bd4c-e5d0f0bd26c6	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:21:43.946+00:00	2024-07-02T06:30:38.446+00:00	379	{}	PRESERVED_SPECIMEN	PRESENT	2117442	1	54	354	9477065	3254684	2117433	2117442	2117442	Pallenopsis hoeki (Miers, 1884)	Pallenopsis hoeki (Miers, 1884)	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis hoeki	Pallenopsis	hoeki	SPECIES	ACCEPTED	NE	-18.816667	146.433333	5.0	1.0	OCEANIA	Queensland	{}	2000.0	4.0	19.0	2000-04-19	110.0	110.0	['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'INSTITUTION_MATCH_FUZZY', 'COLLECTION_MATCH_FUZZY']	2021-12-24T00:00:00.000+00:00	2024-07-02T06:30:38.446+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'ba13d0ec-9ae8-45fa-b3b5-bdab378b8e33'}]	[]	[]	[]	442fa096-b2bf-4ecc-b513-ae0958eeec25	d3ab26a1-b655-42b3-ae4c-a04b651f4303	False	C P Arango	Spirit	WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA	ba13d0ec-9ae8-45fa-b3b5-bdab378b8e33	S105807	In rubble and algae. Juvenile.	19 Apr 2000	QM	7000	https://biodiversity.org.au/afd/taxa/c8a16e5f-f353-4051-9012-74a2d3d22d67	GBR, Palm Islands, Pandora Reef	Pallenopsis hoeki	1633598769	Arachnids	ba13d0ec-9ae8-45fa-b3b5-bdab378b8e33																											
4141813568	793c3890-6c8a-11de-8226-b8a03c50a862	8cdd9232-84eb-4bad-9d9b-a36910cd524b	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:23:22.318+00:00	2024-07-02T07:38:05.402+00:00	374	{}	PRESERVED_SPECIMEN	PRESENT	2117442	1	54	354	9477065	3254684	2117433	2117442	2117442	Pallenopsis hoeki (Miers, 1884)	Pallenopsis hoeki (Miers, 1884)	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis hoeki	Pallenopsis	hoeki	SPECIES	ACCEPTED	NE	-12.40283	130.78283			OCEANIA	Northern Territory	{}	1993.0	7.0	6.0	1993-07-06	187.0	187.0	['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']		2024-07-02T07:38:05.402+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '116ddcd2-af97-4c8e-af39-2fbfc15c92c9'}]	[]	[]	[]	c0f3ae0e-60d2-4671-a35f-40c754780c9f		False	C. Arango	whole animal (ETOH)	WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA	116ddcd2-af97-4c8e-af39-2fbfc15c92c9	N000180			MAGNT	7000	https://biodiversity.org.au/afd/taxa/c8a16e5f-f353-4051-9012-74a2d3d22d67	Darwin Harbour	Pallenopsis hoeki	4141813568	Minor Invertebrate	116ddcd2-af97-4c8e-af39-2fbfc15c92c9	2002-01-01T00:00:00	Board of the Museum and Art Gallery of the Northern Territory	en	PhysicalObject																							
1100763239	dce8feb0-6c89-11de-8225-b8a03c50a862	770c30d2-c2a8-4bb2-8056-6167297cddae	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:20:52.620+00:00	2024-07-02T07:19:00.160+00:00	384	{}	PRESERVED_SPECIMEN	PRESENT	2117442	1	54	354	9477065	3254684	2117433	2117442	2117442	Pallenopsis hoeki (Miers, 1884)	Pallenopsis hoeki (Miers, 1884)	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis hoeki	Pallenopsis	hoeki	SPECIES	ACCEPTED	NE	-12.49499	130.88666			OCEANIA	Northern Territory	{}	1993.0	7.0	11.0	1993-07-11	192.0	192.0	['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']		2024-07-02T07:19:00.160+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '17af0bbd-2a31-4ef0-8adf-4d00211644f6'}]	[]	[]	[]	9cfe8cbf-35ff-4d93-b932-cb05d91b7922		False	Krapp, F		WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA	17af0bbd-2a31-4ef0-8adf-4d00211644f6	P.43404	ecatalogue.LocCollectionEventLocal: [NT 336] Australia, Northern Territory, between North and South Shell Islands (12° 29' 42 S, 130° 53' 12 E) 11/07/1993 - 11/07/1993, scuba, Sixth International Marine Biological Workshop;		AM	7000	https://biodiversity.org.au/afd/taxa/c8a16e5f-f353-4051-9012-74a2d3d22d67		Pallenopsis hoeki	1100763239	Invertebrates - Marine & Other	17af0bbd-2a31-4ef0-8adf-4d00211644f6	1994-01-01T00:00:00				FEMALE	1e-05	5.0	ecatalogue.irn:1063188|urn:catalog:AM:Invertebrates - Marine & Other:P.43404	Hutchings, Patricia Ann|Australian Museum|Invertebrates, Marine	scuba	urn:australianmuseum.net.au:Events:1063482	Pallenopsis hoeki Miers, 1884	{dcterms:type:PhysicalObject,dcterms:modified:2019/11/19}	between North and South Shell Islands	Miers, 1884												
4141824585	793c3890-6c8a-11de-8226-b8a03c50a862	8cdd9232-84eb-4bad-9d9b-a36910cd524b	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:23:22.318+00:00	2024-07-02T07:38:08.198+00:00	374	{}	PRESERVED_SPECIMEN	PRESENT	2117442	1	54	354	9477065	3254684	2117433	2117442	2117442	Pallenopsis hoeki (Miers, 1884)	Pallenopsis hoeki (Miers, 1884)	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis hoeki	Pallenopsis	hoeki	SPECIES	ACCEPTED	NE	-19.47333	118.91333				Western Australia	{}	1983.0	2.0	10.0	1983-02-10	41.0	41.0	['TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']		2024-07-02T07:38:08.198+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '54dcad5a-2d48-45ce-866f-61ac35ff81f3'}]	[]	[]	[]	c0f3ae0e-60d2-4671-a35f-40c754780c9f		False	C. Arango	whole animal (ETOH)	WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA	54dcad5a-2d48-45ce-866f-61ac35ff81f3	N000024			MAGNT	7000	https://biodiversity.org.au/afd/taxa/c8a16e5f-f353-4051-9012-74a2d3d22d67	North West Shelf	Pallenopsis hoeki	4141824585	Minor Invertebrate	54dcad5a-2d48-45ce-866f-61ac35ff81f3	2002-01-01T00:00:00	Board of the Museum and Art Gallery of the Northern Territory	en	PhysicalObject																							
4141830728	793c3890-6c8a-11de-8226-b8a03c50a862	8cdd9232-84eb-4bad-9d9b-a36910cd524b	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:23:22.318+00:00	2024-07-02T07:38:10.383+00:00	374	{}	PRESERVED_SPECIMEN	PRESENT	2117442	1	54	354	9477065	3254684	2117433	2117442	2117442	Pallenopsis hoeki (Miers, 1884)	Pallenopsis hoeki (Miers, 1884)	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis hoeki	Pallenopsis	hoeki	SPECIES	ACCEPTED	NE	-19.08333	118.96333				Western Australia	{}	1983.0	4.0	28.0	1983-04-28	118.0	118.0	['TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']		2024-07-02T07:38:10.383+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '9f00ac01-06bf-49e7-b833-0599a119efb5'}]	[]	[]	[]	c0f3ae0e-60d2-4671-a35f-40c754780c9f		False	D. Staples	whole animal (ETOH)	WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA	9f00ac01-06bf-49e7-b833-0599a119efb5	N000002			MAGNT	7000	https://biodiversity.org.au/afd/taxa/c8a16e5f-f353-4051-9012-74a2d3d22d67	West of Port Hedland	Pallenopsis hoeki	4141830728	Minor Invertebrate	9f00ac01-06bf-49e7-b833-0599a119efb5	1983-01-01T00:00:00	Board of the Museum and Art Gallery of the Northern Territory	en	PhysicalObject																							
500793787	7c93d290-6c8b-11de-8226-b8a03c50a862	b36f3505-f2d9-499f-a669-fa418a127b9d	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:22:04.806+00:00	2024-07-02T17:15:28.013+00:00	380	{}	PRESERVED_SPECIMEN	PRESENT	2117442	1	54	354	9477065	3254684	2117433	2117442	2117442	Pallenopsis hoeki (Miers, 1884)	Pallenopsis hoeki (Miers, 1884)	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis hoeki	Pallenopsis	hoeki	SPECIES	ACCEPTED	NE	-20.65	115.98333				Western Australia	{}	1979.0	12.0	2.0	1979-12-02	336.0	336.0	['RECORDED_DATE_INVALID', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']		2024-07-02T17:15:28.013+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'f20abea6-d807-485a-99a2-d84624b65f86'}]	[]	[]	[]	09d260e0-a509-40c7-bef5-b0f5444be84a		False	Arango, C.P.	wet (in ethanol or some other preservative)	WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA	f20abea6-d807-485a-99a2-d84624b65f86	40494	19 nautical miles NW. of Cape Preston		WAM	7000	https://biodiversity.org.au/afd/taxa/c8a16e5f-f353-4051-9012-74a2d3d22d67		Pallenopsis hoeki	500793787	ARACH	f20abea6-d807-485a-99a2-d84624b65f86	2002-01-01T00:00:00			PhysicalObject	MALE			99/3020	Marsh, L.M.|Slack-Smith, S.M.							1.0											
1916771180	7c93d290-6c8b-11de-8226-b8a03c50a862	b36f3505-f2d9-499f-a669-fa418a127b9d	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:22:04.806+00:00	2024-07-02T17:14:58.984+00:00	380	{}	PRESERVED_SPECIMEN	PRESENT	2117442	1	54	354	9477065	3254684	2117433	2117442	2117442	Pallenopsis hoeki (Miers, 1884)	Pallenopsis hoeki (Miers, 1884)	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis hoeki	Pallenopsis	hoeki	SPECIES	ACCEPTED	NE	-5.5	134.2			OCEANIA		{}	1970.0	5.0	15.0	1970-05-15	135.0	135.0	['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	1993-07-05T00:00:00.000+00:00	2024-07-02T17:14:58.984+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '36c82932-27b2-4c45-bebc-b38ec94e6d3c'}]	[]	[]	[]	09d260e0-a509-40c7-bef5-b0f5444be84a		False	Child, C.A.	wet (in ethanol or some other preservative)	WGS84	Pycnogonida	ID	[]	[]	ASIA	Indonesia	OCEANIA	36c82932-27b2-4c45-bebc-b38ec94e6d3c	10048	Station Awi/H6 off W. of Wasif Wokan		WAM	7000	https://biodiversity.org.au/afd/taxa/c8a16e5f-f353-4051-9012-74a2d3d22d67		Pallenopsis hoeki	1916771180	ARACH	36c82932-27b2-4c45-bebc-b38ec94e6d3c	1974-01-01T00:00:00			PhysicalObject				74/370	King, M.							1.0											
1916835859	7c93d290-6c8b-11de-8226-b8a03c50a862	b36f3505-f2d9-499f-a669-fa418a127b9d	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:22:04.806+00:00	2024-07-02T17:15:10.509+00:00	380	{}	PRESERVED_SPECIMEN	PRESENT	2117442	1	54	354	9477065	3254684	2117433	2117442	2117442	Pallenopsis hoeki (Miers, 1884)	Pallenopsis hoeki (Miers, 1884)	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis hoeki	Pallenopsis	hoeki	SPECIES	ACCEPTED	NE	-5.5	134.2			OCEANIA		{}	1970.0	5.0	15.0	1970-05-15	135.0	135.0	['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	1993-07-05T00:00:00.000+00:00	2024-07-02T17:15:10.509+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '4ab63ee6-936f-401b-bb6d-9c1ebca89652'}]	[]	[]	[]	09d260e0-a509-40c7-bef5-b0f5444be84a		False	Child, C.A.	wet (in ethanol or some other preservative)	WGS84	Pycnogonida	ID	[]	[]	ASIA	Indonesia	OCEANIA	4ab63ee6-936f-401b-bb6d-9c1ebca89652	10047	Station Awi/H6 off W. of Wasif Wokan		WAM	7000	https://biodiversity.org.au/afd/taxa/c8a16e5f-f353-4051-9012-74a2d3d22d67		Pallenopsis hoeki	1916835859	ARACH	4ab63ee6-936f-401b-bb6d-9c1ebca89652	1974-01-01T00:00:00			PhysicalObject				74/369	King, M.							1.0											
1916839842	7c93d290-6c8b-11de-8226-b8a03c50a862	b36f3505-f2d9-499f-a669-fa418a127b9d	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:22:04.806+00:00	2024-07-02T17:15:13.757+00:00	380	{}	PRESERVED_SPECIMEN	PRESENT	2117442	1	54	354	9477065	3254684	2117433	2117442	2117442	Pallenopsis hoeki (Miers, 1884)	Pallenopsis hoeki (Miers, 1884)	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis hoeki	Pallenopsis	hoeki	SPECIES	ACCEPTED	NE	-5.5	134.2			OCEANIA		{}	1970.0	5.0	15.0	1970-05-15	135.0	135.0	['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	1992-09-11T00:00:00.000+00:00	2024-07-02T17:15:13.757+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '5dfd4eee-de65-4279-88bf-5709eec206a8'}]	[]	[]	[]	09d260e0-a509-40c7-bef5-b0f5444be84a		False	Child, C.A.	wet (in ethanol or some other preservative)	WGS84	Pycnogonida	ID	[]	[]	ASIA	Indonesia	OCEANIA	5dfd4eee-de65-4279-88bf-5709eec206a8	10045	Station Awi/H6 off W. of Wasif Wokan		WAM	7000	https://biodiversity.org.au/afd/taxa/c8a16e5f-f353-4051-9012-74a2d3d22d67		Pallenopsis hoeki	1916839842	ARACH	5dfd4eee-de65-4279-88bf-5709eec206a8	1974-01-01T00:00:00			PhysicalObject	FEMALE			74/367	King, M.							1.0											
1916730835	7c93d290-6c8b-11de-8226-b8a03c50a862	b36f3505-f2d9-499f-a669-fa418a127b9d	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:22:04.806+00:00	2024-07-02T17:15:16.255+00:00	380	{}	PRESERVED_SPECIMEN	PRESENT	2117442	1	54	354	9477065	3254684	2117433	2117442	2117442	Pallenopsis hoeki (Miers, 1884)	Pallenopsis hoeki (Miers, 1884)	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis hoeki	Pallenopsis	hoeki	SPECIES	ACCEPTED	NE	-5.5	134.2			OCEANIA		{}	1970.0	5.0	15.0	1970-05-15	135.0	135.0	['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	1992-09-11T00:00:00.000+00:00	2024-07-02T17:15:16.255+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'a006eb03-ba3c-4b47-a234-c6a9e181d8be'}]	[]	[]	[]	09d260e0-a509-40c7-bef5-b0f5444be84a		False	Child, C.A.	wet (in ethanol or some other preservative)	WGS84	Pycnogonida	ID	[]	[]	ASIA	Indonesia	OCEANIA	a006eb03-ba3c-4b47-a234-c6a9e181d8be	10044	Station Awi/H6 off W. of Wasif Wokan		WAM	7000	https://biodiversity.org.au/afd/taxa/c8a16e5f-f353-4051-9012-74a2d3d22d67		Pallenopsis hoeki	1916730835	ARACH	a006eb03-ba3c-4b47-a234-c6a9e181d8be	1974-01-01T00:00:00			PhysicalObject	FEMALE			74/366	King, M.							1.0											
