key	datasetKey	publishingOrgKey	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	depth	continent	gadm	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	lastInterpreted	license	organismQuantity	organismQuantityType	isSequenced	identifiers	media	facts	relations	isInCluster	datasetID	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	eventID	recordNumber	identifier	scientificNameID	verbatimEventDate	http://unknown.org/taxonRankID	taxonConceptID	identificationQualifier	http://unknown.org/species	gbifID	occurrenceID	taxonID	sex	depthAccuracy	identifiedBy	preparations	samplingProtocol	dynamicProperties	footprintWKT	catalogNumber	networkKeys	decimalLatitude	decimalLongitude	waterBody	associatedSequences	institutionKey	collectionKey	datasetName	geodeticDatum	institutionID	eventRemarks	collectionCode	parentNameUsageID	organismID	institutionCode	locationID	collectionID	coordinateUncertaintyInMeters	recordedBy	locality	language	georeferenceSources	individualCount	modified	fieldNumber	ownerInstitutionCode	occurrenceRemarks	bibliographicCitation	typeStatus	references	dateIdentified	taxonRemarks
3466772664	149e44e7-fb0b-4db0-a40a-86e64eb8baf3	3693ff90-4c16-11d8-b290-b8a03c50a862	1cbabffe-9073-4007-ba1e-40ebcda6e302	3693ff90-4c16-11d8-b290-b8a03c50a862	AU	DWC_ARCHIVE	2024-06-23T06:50:21.823+00:00	2024-06-23T06:51:19.702+00:00	273	{}	HUMAN_OBSERVATION	PRESENT	2117518	1	54	354	9477065	3254684	2117433	2117518	2117518	Pallenopsis kupei Clark, 1971	Pallenopsis kupei Clark, 1971	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis kupei	Pallenopsis	kupei	SPECIES	ACCEPTED	NE	1194.16	ANTARCTICA	{}	2008.0	1.0	11.0	2008-01-11	11.0	11.0	['TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'TAXON_MATCH_TAXON_ID_IGNORED']	2024-06-23T06:51:19.702+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	2.0	Individuals	False	[{'identifier': 'df0095b7-10bb-46a5-b428-9bfa9e94fb6e'}]	[]	[]	[]	False	ASAC_3010_0776	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	OCEANIA	SampleStation_ 32	IU-2007-9a, 9b	df0095b7-10bb-46a5-b428-9bfa9e94fb6e	urn:lsid:marinespecies.org:taxname:239880	1/11/2008	7000	https://biodiversity.org.au/afd/taxa/03731ccc-f4a0-4228-ab3f-3d45cfd9a422	Species	Pallenopsis kupei	3466772664	df0095b7-10bb-46a5-b428-9bfa9e94fb6e	239880																																								
3466772780	149e44e7-fb0b-4db0-a40a-86e64eb8baf3	3693ff90-4c16-11d8-b290-b8a03c50a862	1cbabffe-9073-4007-ba1e-40ebcda6e302	3693ff90-4c16-11d8-b290-b8a03c50a862	AU	DWC_ARCHIVE	2024-06-23T06:50:21.823+00:00	2024-06-23T06:51:20.488+00:00	273	{}	HUMAN_OBSERVATION	PRESENT	2117518	1	54	354	9477065	3254684	2117433	2117518	2117518	Pallenopsis kupei Clark, 1971	Pallenopsis kupei Clark, 1971	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis kupei	Pallenopsis	kupei	SPECIES	ACCEPTED	NE	449.0	ANTARCTICA	{}	2008.0	2.0	18.0	2008-02-18	49.0	49.0	['TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'TAXON_MATCH_TAXON_ID_IGNORED']	2024-06-23T06:51:20.488+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	1.0	Individuals	False	[{'identifier': 'fd1690c4-e9a3-4f3f-a00c-80b33394461e'}]	[]	[]	[]	False	ASAC_3010_0047	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	OCEANIA	SampleStation_ TAN0802/100	NIWA.0047	fd1690c4-e9a3-4f3f-a00c-80b33394461e	urn:lsid:marinespecies.org:taxname:239880	2/18/2008	7000	https://biodiversity.org.au/afd/taxa/03731ccc-f4a0-4228-ab3f-3d45cfd9a422	Species	Pallenopsis kupei	3466772780	fd1690c4-e9a3-4f3f-a00c-80b33394461e	239880	MALE	2.0	C. Arango	ETOH - No Formalin	TB - Trawl, beam	{materialSampleID:PL1F5}	LINESTRING (176.248 -76.202, 176.241 -76.204)	36874																																
2382899726	968dfa3e-3614-4bab-a3b5-e9209bdd6078	c3ad790a-d426-4ac1-8e32-da61f81f0117	a9c3f3b6-1f98-49c3-ba50-7e6aa1c9de59	c3ad790a-d426-4ac1-8e32-da61f81f0117	US	EML	2023-06-03T13:09:42.774+00:00	2024-01-24T22:36:17.799+00:00	159	{}	PRESERVED_SPECIMEN	PRESENT	2117518	1	54	354	9477065	3254684	2117433	2117518	2117518	Pallenopsis kupei Clark, 1971	Pallenopsis kupei Clark, 1971	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis kupei	Pallenopsis	kupei	SPECIES	ACCEPTED	NE	447.0		{}	2008.0	2.0	18.0	2008-02-18	49.0	49.0	['COORDINATE_ROUNDED', 'GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_COORDINATE_MISMATCH', 'TAXON_MATCH_TAXON_ID_IGNORED']	2024-01-24T22:36:17.799+00:00	http://creativecommons.org/licenses/by/4.0/legalcode			True	[{'identifier': 'OGL_MSC_NortheasternUniversity_S12126'}]	[]	[]	[]	False	OGL_MSC_NortheasternUniversity	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	NORTH_AMERICA	CE01725	36874; 1657	OGL_MSC_NortheasternUniversity_S12126	urn:lsid:marinespecies.org:taxname:239880						2382899726	OGL_MSC_NortheasternUniversity_S12126	T02587			Claudia Arango		ND			S12126	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	-76.202003	176.248001	Ross Sea	BOLD ID: 36874	8c116cac-9394-4c4e-be14-06184bdc62bd	0f00dede-1a1f-49e5-ae69-2bc40db635c5	Ocean Genome Legacy Collection	WGS84	8c116cac-9394-4c4e-be14-06184bdc62bd	Collection Event Notes: Collector name listed as R/VTANGAROA	OGL	134593	S12126	OGL	CL02491	0f00dede-1a1f-49e5-ae69-2bc40db635c5															
3466772920	149e44e7-fb0b-4db0-a40a-86e64eb8baf3	3693ff90-4c16-11d8-b290-b8a03c50a862	1cbabffe-9073-4007-ba1e-40ebcda6e302	3693ff90-4c16-11d8-b290-b8a03c50a862	AU	DWC_ARCHIVE	2024-06-23T06:50:21.823+00:00	2024-06-23T06:51:21.757+00:00	273	{}	HUMAN_OBSERVATION	PRESENT	2117518	1	54	354	9477065	3254684	2117433	2117518	2117518	Pallenopsis kupei Clark, 1971	Pallenopsis kupei Clark, 1971	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis kupei	Pallenopsis	kupei	SPECIES	ACCEPTED	NE	493.0	ANTARCTICA	{}	2008.0	4.0	4.0	2008-04-04	95.0	95.0	['TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'TAXON_MATCH_TAXON_ID_IGNORED', 'DEPTH_MIN_MAX_SWAPPED']	2024-06-23T06:51:21.757+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	1.0	Individuals	False	[{'identifier': '03f99e06-9295-4e61-a331-e068eca02a46'}]	[]	[]	[]	False	ASAC_3010_0068	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	OCEANIA	SampleStation_ TAN0803/48	NIWA.0068	03f99e06-9295-4e61-a331-e068eca02a46	urn:lsid:marinespecies.org:taxname:239880	4/4/2008	7000	https://biodiversity.org.au/afd/taxa/03731ccc-f4a0-4228-ab3f-3d45cfd9a422	Species	Pallenopsis kupei	3466772920	03f99e06-9295-4e61-a331-e068eca02a46	239880		31.0	C. Arango	ETOH - No Formalin	SE - Sled, epibenthic	{materialSampleID:__}	LINESTRING (161.9765 -51.0955, 161.9836667 -51.0951667)	39898																																
4081113486	4d0b1b2a-3209-49ce-bb93-7503e4868019	c58ac019-b413-4613-8772-39e57acbeb8e	f0d34585-ddcb-4915-9332-6043585e831a	c58ac019-b413-4613-8772-39e57acbeb8e	NZ	EML	2023-06-07T18:53:24.650+00:00	2024-01-25T07:20:22.542+00:00	166	{}	PRESERVED_SPECIMEN	PRESENT	2117518	1	54	354	9477065	3254684	2117433	2117518	2117518	Pallenopsis kupei Clark, 1971	Pallenopsis kupei Clark, 1971	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis kupei	Pallenopsis	kupei	SPECIES	ACCEPTED	NE	441.5		{}	2008.0	4.0	4.0	2008-04-04	95.0	95.0	['CONTINENT_COORDINATE_MISMATCH', 'MODIFIED_DATE_INVALID', 'IDENTIFIED_DATE_INVALID', 'INSTITUTION_MATCH_NONE']	2024-01-25T07:20:22.542+00:00	http://creativecommons.org/licenses/by/4.0/legalcode			False	[{'identifier': '5d3b03cc-fa36-11e2-96b3-aa6f927c92a3'}]	[]	[]	[]	False		Pycnogonida	NZ	[]	[]	OCEANIA	New Zealand	OCEANIA			5d3b03cc-fa36-11e2-96b3-aa6f927c92a3	urn:lsid:marinespecies.org:taxname:239880				cf.		4081113486	5d3b03cc-fa36-11e2-96b3-aa6f927c92a3			56.5	Arango, Claudia	Specimen(s), Ethanol - orig formalin = 1	Sled, epibenthic		LINESTRING (161.978 -51.061, 161.9716667 -51.0628333)	39952	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	-51.061	161.978					NIWA Invertebrate Collection	WGS84			NIWA			NIWA Invertebrate Collection	TAN0803/50		100.0	Seamount	Seamount 5 Eltanin, Macquarie Ridge. New Zealand EEZ	en	GPS										
4081109815	4d0b1b2a-3209-49ce-bb93-7503e4868019	c58ac019-b413-4613-8772-39e57acbeb8e	f0d34585-ddcb-4915-9332-6043585e831a	c58ac019-b413-4613-8772-39e57acbeb8e	NZ	EML	2023-06-07T18:53:24.650+00:00	2024-01-25T07:20:22.709+00:00	166	{}	PRESERVED_SPECIMEN	PRESENT	2117518	1	54	354	9477065	3254684	2117433	2117518	2117518	Pallenopsis kupei Clark, 1971	Pallenopsis kupei Clark, 1971	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis kupei	Pallenopsis	kupei	SPECIES	ACCEPTED	NE	455.0		{}	2008.0	4.0	9.0	2008-04-09	100.0	100.0	['COORDINATE_ROUNDED', 'CONTINENT_COORDINATE_MISMATCH', 'RECORDED_DATE_INVALID', 'MODIFIED_DATE_INVALID', 'IDENTIFIED_DATE_INVALID', 'INSTITUTION_MATCH_NONE']	2024-01-25T07:20:22.709+00:00	http://creativecommons.org/licenses/by/4.0/legalcode			False	[{'identifier': '5d6b1850-fa36-11e2-96b3-aa6f927c92a3'}]	[]	[]	[]	False		Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA			5d6b1850-fa36-11e2-96b3-aa6f927c92a3	urn:lsid:marinespecies.org:taxname:239880				cf.		4081109815	5d6b1850-fa36-11e2-96b3-aa6f927c92a3			105.0	Arango, Claudia	Specimen(s), Ethanol - no formalin = 2,  BB General Wet Collection	Sled, epibenthic		LINESTRING (160.415 -52.4873333, 160.4091667 -52.4838333)	40100	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	-52.487333	160.415					NIWA Invertebrate Collection	WGS84			NIWA			NIWA Invertebrate Collection	TAN0803/63		100.0	Seamount	Seamount 6 Macquarie Ridge. Australian EEZ	en	GPS										
4081143022	4d0b1b2a-3209-49ce-bb93-7503e4868019	c58ac019-b413-4613-8772-39e57acbeb8e	f0d34585-ddcb-4915-9332-6043585e831a	c58ac019-b413-4613-8772-39e57acbeb8e	NZ	EML	2023-06-07T18:53:24.650+00:00	2024-01-25T07:20:22.903+00:00	166	{}	PRESERVED_SPECIMEN	PRESENT	2117518	1	54	354	9477065	3254684	2117433	2117518	2117518	Pallenopsis kupei Clark, 1971	Pallenopsis kupei Clark, 1971	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis kupei	Pallenopsis	kupei	SPECIES	ACCEPTED	NE	122.0		{}	2008.0	4.0	9.0	2008-04-09	100.0	100.0	['COORDINATE_ROUNDED', 'CONTINENT_COORDINATE_MISMATCH', 'RECORDED_DATE_INVALID', 'MODIFIED_DATE_INVALID', 'IDENTIFIED_DATE_INVALID', 'INSTITUTION_MATCH_NONE']	2024-01-25T07:20:22.903+00:00	http://creativecommons.org/licenses/by/4.0/legalcode			False	[{'identifier': '5ee1a014-fa36-11e2-96b3-aa6f927c92a3'}]	[]	[]	[]	False		Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA			5ee1a014-fa36-11e2-96b3-aa6f927c92a3	urn:lsid:marinespecies.org:taxname:239880						4081143022	5ee1a014-fa36-11e2-96b3-aa6f927c92a3			3.0	Arango, Claudia	Specimen(s), Ethanol - no formalin = 1	Sled, epibenthic		LINESTRING (160.4891667 -52.497, 160.4918333 -52.4991667)	40185	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	-52.497	160.489167					NIWA Invertebrate Collection	WGS84			NIWA			NIWA Invertebrate Collection	TAN0803/65		100.0	Seamount	Seamount 6 Macquarie Ridge. Australian EEZ	en	GPS										
4081064034	4d0b1b2a-3209-49ce-bb93-7503e4868019	c58ac019-b413-4613-8772-39e57acbeb8e	f0d34585-ddcb-4915-9332-6043585e831a	c58ac019-b413-4613-8772-39e57acbeb8e	NZ	EML	2023-06-07T18:53:24.650+00:00	2024-01-25T07:20:25.751+00:00	166	{}	PRESERVED_SPECIMEN	PRESENT	2117518	1	54	354	9477065	3254684	2117433	2117518	2117518	Pallenopsis kupei Clark, 1971	Pallenopsis kupei Clark, 1971	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis kupei	Pallenopsis	kupei	SPECIES	ACCEPTED	NE	465.0		{}	2008.0	4.0	9.0	2008-04-09	100.0	100.0	['COORDINATE_ROUNDED', 'CONTINENT_COORDINATE_MISMATCH', 'RECORDED_DATE_INVALID', 'MODIFIED_DATE_INVALID', 'IDENTIFIED_DATE_INVALID', 'INSTITUTION_MATCH_NONE']	2024-01-25T07:20:25.751+00:00	http://creativecommons.org/licenses/by/4.0/legalcode			False	[{'identifier': '5ef782bc-fa36-11e2-96b3-aa6f927c92a3'}]	[]	[]	[]	False		Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA			5ef782bc-fa36-11e2-96b3-aa6f927c92a3	urn:lsid:marinespecies.org:taxname:239880						4081064034	5ef782bc-fa36-11e2-96b3-aa6f927c92a3			5.0	Arango, Claudia	Specimen(s), Ethanol - no formalin = 2	Sled, epibenthic		LINESTRING (160.4321667 -52.459, 160.427 -52.4611667)	50474	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	-52.459	160.432167					NIWA Invertebrate Collection	WGS84			NIWA			NIWA Invertebrate Collection	TAN0803/67		100.0	Seamount	Seamount 6 Macquarie Ridge. Australian EEZ	en	GPS										
4081175086	4d0b1b2a-3209-49ce-bb93-7503e4868019	c58ac019-b413-4613-8772-39e57acbeb8e	f0d34585-ddcb-4915-9332-6043585e831a	c58ac019-b413-4613-8772-39e57acbeb8e	NZ	EML	2023-06-07T18:53:24.650+00:00	2024-01-25T07:20:25.696+00:00	166	{}	PRESERVED_SPECIMEN	PRESENT	2117518	1	54	354	9477065	3254684	2117433	2117518	2117518	Pallenopsis kupei Clark, 1971	Pallenopsis kupei Clark, 1971	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis kupei	Pallenopsis	kupei	SPECIES	ACCEPTED	NE	493.0		{}	2008.0	4.0	4.0	2008-04-04	95.0	95.0	['CONTINENT_COORDINATE_MISMATCH', 'MODIFIED_DATE_INVALID', 'IDENTIFIED_DATE_INVALID', 'INSTITUTION_MATCH_NONE']	2024-01-25T07:20:25.696+00:00	http://creativecommons.org/licenses/by/4.0/legalcode			False	[{'identifier': '5ff0de5c-fa36-11e2-96b3-aa6f927c92a3'}]	[]	[]	[]	False		Pycnogonida	NZ	[]	[]	OCEANIA	New Zealand	OCEANIA			5ff0de5c-fa36-11e2-96b3-aa6f927c92a3	urn:lsid:marinespecies.org:taxname:239880				cf.		4081175086	5ff0de5c-fa36-11e2-96b3-aa6f927c92a3			31.0	Arango, Claudia	Specimen(s), Ethanol - no formalin = 1	Sled, epibenthic		LINESTRING (161.9765 -51.0955, 161.9836667 -51.0951667)	39898	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	-51.0955	161.9765					NIWA Invertebrate Collection	WGS84			NIWA			NIWA Invertebrate Collection	TAN0803/48		100.0	Seamount	Seamount 5 Eltanin, Macquarie Ridge. New Zealand EEZ	en	GPS										
3466772870	149e44e7-fb0b-4db0-a40a-86e64eb8baf3	3693ff90-4c16-11d8-b290-b8a03c50a862	1cbabffe-9073-4007-ba1e-40ebcda6e302	3693ff90-4c16-11d8-b290-b8a03c50a862	AU	DWC_ARCHIVE	2024-06-23T06:50:21.823+00:00	2024-06-23T06:51:21.027+00:00	273	{}	HUMAN_OBSERVATION	PRESENT	2117518	1	54	354	9477065	3254684	2117433	2117518	2117518	Pallenopsis kupei Clark, 1971	Pallenopsis kupei Clark, 1971	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis kupei	Pallenopsis	kupei	SPECIES	ACCEPTED	NE	122.0	ANTARCTICA	{}	2008.0	4.0	9.0	2008-04-09	100.0	100.0	['TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'TAXON_MATCH_TAXON_ID_IGNORED']	2024-06-23T06:51:21.027+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	1.0	Individuals	False	[{'identifier': '829aa522-c4a0-4566-a15a-ffda42b70cbf'}]	[]	[]	[]	False	ASAC_3010_0073	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	OCEANIA	SampleStation_ TAN0803/65	NIWA.0073	829aa522-c4a0-4566-a15a-ffda42b70cbf	urn:lsid:marinespecies.org:taxname:239880	4/9/2008	7000	https://biodiversity.org.au/afd/taxa/03731ccc-f4a0-4228-ab3f-3d45cfd9a422	Species	Pallenopsis kupei	3466772870	829aa522-c4a0-4566-a15a-ffda42b70cbf	239880	FEMALE	3.0	C. Arango	ETOH - No Formalin	SE - Sled, epibenthic	{materialSampleID:__}	LINESTRING (160.4891667 -52.497, 160.4918333 -52.4991667)	40185																																
