key	datasetKey	publishingOrgKey	networkKeys	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	projectId	extensions	basisOfRecord	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	depth	depthAccuracy	gadm	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	lastInterpreted	license	organismQuantity	organismQuantityType	isSequenced	identifiers	media	facts	relations	institutionKey	isInCluster	identifiedBy	preparations	samplingProtocol	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	associatedOccurrences	eventID	identifier	scientificNameID	institutionID	verbatimEventDate	footprintWKT	fieldNumber	language	gbifID	occurrenceID	type	catalogNumber	institutionCode	collectionCode
3386516725	1e7b6980-0842-4c4a-8b14-541b95d2ed3c	104e9c96-791b-4f14-978c-f581cb214912	['8534dd20-c368-4a1f-bdaf-e6b390710f89', '2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	27c24cba-13c5-47d1-96a1-16abd8f11437	fb10a11f-4417-41c8-be6a-13a5c8535122	GB	EML	2024-01-23T14:13:17.412+00:00	2024-01-26T10:52:24.627+00:00	97	GOIPG/2019/4020	{}	PRESERVED_SPECIMEN	PRESENT	2117503	1	54	354	9477065	3254684	2117433	2117503	2117503	Pallenopsis latefrontalis Pushkin, 1993	Pallenopsis latefrontalis Pushkin, 1993	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis latefrontalis	Pallenopsis	latefrontalis	SPECIES	ACCEPTED	NE	-64.914	-60.6113	461.0	207.75	25.25	{}	2011.0	2.0	23.0	2011-02-23	54.0	54.0	['COLLECTION_MATCH_NONE']	2024-01-26T10:52:24.627+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	1.0	individuals	False	[{'identifier': 'PS77_226-7.1.1'}]	[{'type': 'StillImage', 'format': 'image/jpeg', 'identifier': 'http://v3.boldsystems.org/pics/DSPYC/_DSC1642+1318275830.JPG'}, {'type': 'StillImage', 'format': 'image/jpeg', 'identifier': 'http://v3.boldsystems.org/pics/DSPYC/_DSC1641+1318275764.JPG'}]	[]	[]	da671615-9a15-4844-9d5e-ef66382192fb	False	Jana Domel	96% ethanol	Agassiz trawl|https://epic.awi.de/id/eprint/30175/1/644-2012%20ANT27-3%20RKnust.pdf	WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	EUROPE	"""same as"":""https://v3.boldsystems.org/index.php/API_Public/combined?ids=DSPYC012-11"""	PS77	PS77_226-7.1.1	urn:lsid:marinespecies.org:taxname:239889	https://ror.org/01rhff309	23/02/2011	LINESTRING (-60.621 -64.9145, -60.60166667 -64.9135)	PS77_PS77/226-7	en	3386516725	PS77_226-7.1.1	PhysicalObject	PS77_226-7.1.1	BAS	
3386516724	1e7b6980-0842-4c4a-8b14-541b95d2ed3c	104e9c96-791b-4f14-978c-f581cb214912	['8534dd20-c368-4a1f-bdaf-e6b390710f89', '2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	27c24cba-13c5-47d1-96a1-16abd8f11437	fb10a11f-4417-41c8-be6a-13a5c8535122	GB	EML	2024-01-23T14:13:17.412+00:00	2024-01-26T10:52:24.625+00:00	97	GOIPG/2019/4020	{}	PRESERVED_SPECIMEN	PRESENT	2117503	1	54	354	9477065	3254684	2117433	2117503	2117503	Pallenopsis latefrontalis Pushkin, 1993	Pallenopsis latefrontalis Pushkin, 1993	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis latefrontalis	Pallenopsis	latefrontalis	SPECIES	ACCEPTED	NE	-64.914	-60.6113	461.0	207.75	25.25	{}	2011.0	2.0	23.0	2011-02-23	54.0	54.0	['COLLECTION_MATCH_NONE']	2024-01-26T10:52:24.625+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	1.0	individuals	False	[{'identifier': 'PS77_226-7.1.2'}]	[{'type': 'StillImage', 'format': 'image/jpeg', 'identifier': 'http://v3.boldsystems.org/pics/DSPYC/_DSC1639+1318275240.JPG'}, {'type': 'StillImage', 'format': 'image/jpeg', 'identifier': 'http://v3.boldsystems.org/pics/DSPYC/_DSC1640+1318275318.JPG'}]	[]	[]	da671615-9a15-4844-9d5e-ef66382192fb	False	Jana Domel	96% ethanol	Agassiz trawl|https://epic.awi.de/id/eprint/30175/1/644-2012%20ANT27-3%20RKnust.pdf	WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	EUROPE	"""same as"":""https://v3.boldsystems.org/index.php/API_Public/combined?ids=DSPYC024-11"""	PS77	PS77_226-7.1.2	urn:lsid:marinespecies.org:taxname:239889	https://ror.org/01rhff309	23/02/2011	LINESTRING (-60.621 -64.9145, -60.60166667 -64.9135)	PS77_PS77/226-7	en	3386516724	PS77_226-7.1.2	PhysicalObject	PS77_226-7.1.2	BAS	
3386517063	1e7b6980-0842-4c4a-8b14-541b95d2ed3c	104e9c96-791b-4f14-978c-f581cb214912	['8534dd20-c368-4a1f-bdaf-e6b390710f89', '2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	27c24cba-13c5-47d1-96a1-16abd8f11437	fb10a11f-4417-41c8-be6a-13a5c8535122	GB	EML	2024-01-23T14:13:17.412+00:00	2024-01-26T10:52:24.810+00:00	97	GOIPG/2019/4020	{}	PRESERVED_SPECIMEN	PRESENT	2117503	1	54	354	9477065	3254684	2117433	2117503	2117503	Pallenopsis latefrontalis Pushkin, 1993	Pallenopsis latefrontalis Pushkin, 1993	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis latefrontalis	Pallenopsis	latefrontalis	SPECIES	ACCEPTED	NE	-65.9583	-60.469	444.0	220.85	25.349999999999994	{}	2011.0	3.0	7.0	2011-03-07	66.0	66.0	['COLLECTION_MATCH_NONE']	2024-01-26T10:52:24.810+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	1.0	individuals	False	[{'identifier': 'PS77_248-2.2'}]	[{'type': 'StillImage', 'format': 'image/jpeg', 'identifier': 'http://v3.boldsystems.org/pics/DSPYC/_DSC1966+1318529866.JPG'}, {'type': 'StillImage', 'format': 'image/jpeg', 'identifier': 'http://v3.boldsystems.org/pics/DSPYC/_DSC1963+1318529554.JPG'}]	[]	[]	da671615-9a15-4844-9d5e-ef66382192fb	False	Jana Domel	96% ethanol	Agassiz trawl|https://epic.awi.de/id/eprint/30175/1/644-2012%20ANT27-3%20RKnust.pdf	WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	EUROPE	"""same as"":""https://v3.boldsystems.org/index.php/API_Public/combined?ids=DSPYC042-11"""	PS77	PS77_248-2.2	urn:lsid:marinespecies.org:taxname:239889	https://ror.org/01rhff309	7/3/2011	LINESTRING (-60.466333 -65.9545, -60.47166667 -65.96216667)	PS77_PS77/248-2	en	3386517063	PS77_248-2.2	PhysicalObject	PS77_248-2.2	BAS	
3386516873	1e7b6980-0842-4c4a-8b14-541b95d2ed3c	104e9c96-791b-4f14-978c-f581cb214912	['8534dd20-c368-4a1f-bdaf-e6b390710f89', '2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	27c24cba-13c5-47d1-96a1-16abd8f11437	fb10a11f-4417-41c8-be6a-13a5c8535122	GB	EML	2024-01-23T14:13:17.412+00:00	2024-01-26T10:52:24.738+00:00	97	GOIPG/2019/4020	{}	PRESERVED_SPECIMEN	PRESENT	2117503	1	54	354	9477065	3254684	2117433	2117503	2117503	Pallenopsis latefrontalis Pushkin, 1993	Pallenopsis latefrontalis Pushkin, 1993	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis latefrontalis	Pallenopsis	latefrontalis	SPECIES	ACCEPTED	NE	-65.9278	-60.334	408.0	429.5	5.0	{}	2011.0	3.0	7.0	2011-03-07	66.0	66.0	['COLLECTION_MATCH_NONE']	2024-01-26T10:52:24.738+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	1.0	individuals	False	[{'identifier': 'PS77_248-3.2.1'}]	[{'type': 'StillImage', 'format': 'image/jpeg', 'identifier': 'http://v3.boldsystems.org/pics/DSPYC/_DSC1646+1318277334.JPG'}, {'type': 'StillImage', 'format': 'image/jpeg', 'identifier': 'http://v3.boldsystems.org/pics/DSPYC/_DSC1645+1318277212.JPG'}]	[]	[]	da671615-9a15-4844-9d5e-ef66382192fb	False	Jana Domel	96% ethanol	Agassiz trawl|https://epic.awi.de/id/eprint/30175/1/644-2012%20ANT27-3%20RKnust.pdf	WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	EUROPE	"""same as"":""https://v3.boldsystems.org/index.php/API_Public/combined?ids=DSPYC022-11"""	PS77	PS77_248-3.2.1	urn:lsid:marinespecies.org:taxname:239889	https://ror.org/01rhff309	7/3/2011	LINESTRING (-60.332167 -65.92417, -60.33583333 -65.93133333)	PS77_PS77/248-3	en	3386516873	PS77_248-3.2.1	PhysicalObject	PS77_248-3.2.1	BAS	
3386516871	1e7b6980-0842-4c4a-8b14-541b95d2ed3c	104e9c96-791b-4f14-978c-f581cb214912	['8534dd20-c368-4a1f-bdaf-e6b390710f89', '2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	27c24cba-13c5-47d1-96a1-16abd8f11437	fb10a11f-4417-41c8-be6a-13a5c8535122	GB	EML	2024-01-23T14:13:17.412+00:00	2024-01-26T10:52:24.736+00:00	97	GOIPG/2019/4020	{}	PRESERVED_SPECIMEN	PRESENT	2117503	1	54	354	9477065	3254684	2117433	2117503	2117503	Pallenopsis latefrontalis Pushkin, 1993	Pallenopsis latefrontalis Pushkin, 1993	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis latefrontalis	Pallenopsis	latefrontalis	SPECIES	ACCEPTED	NE	-65.9278	-60.334	408.0	429.5	5.0	{}	2011.0	3.0	7.0	2011-03-07	66.0	66.0	['COLLECTION_MATCH_NONE']	2024-01-26T10:52:24.736+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	1.0	individuals	False	[{'identifier': 'PS77_248-3.2.2'}]	[{'type': 'StillImage', 'format': 'image/jpeg', 'identifier': 'http://v3.boldsystems.org/pics/DSPYC/_DSC1648+1318277990.JPG'}, {'type': 'StillImage', 'format': 'image/jpeg', 'identifier': 'http://v3.boldsystems.org/pics/DSPYC/_DSC1647+1318277924.JPG'}]	[]	[]	da671615-9a15-4844-9d5e-ef66382192fb	False	Jana Domel	96% ethanol	Agassiz trawl|https://epic.awi.de/id/eprint/30175/1/644-2012%20ANT27-3%20RKnust.pdf	WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	EUROPE	"""same as"":""https://v3.boldsystems.org/index.php/API_Public/combined?ids=DSPYC019-11"""	PS77	PS77_248-3.2.2	urn:lsid:marinespecies.org:taxname:239889	https://ror.org/01rhff309	7/3/2011	LINESTRING (-60.332167 -65.92417, -60.33583333 -65.93133333)	PS77_PS77/248-3	en	3386516871	PS77_248-3.2.2	PhysicalObject	PS77_248-3.2.2	BAS	
3386516869	1e7b6980-0842-4c4a-8b14-541b95d2ed3c	104e9c96-791b-4f14-978c-f581cb214912	['8534dd20-c368-4a1f-bdaf-e6b390710f89', '2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	27c24cba-13c5-47d1-96a1-16abd8f11437	fb10a11f-4417-41c8-be6a-13a5c8535122	GB	EML	2024-01-23T14:13:17.412+00:00	2024-01-26T10:52:24.738+00:00	97	GOIPG/2019/4020	{}	PRESERVED_SPECIMEN	PRESENT	2117503	1	54	354	9477065	3254684	2117433	2117503	2117503	Pallenopsis latefrontalis Pushkin, 1993	Pallenopsis latefrontalis Pushkin, 1993	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis latefrontalis	Pallenopsis	latefrontalis	SPECIES	ACCEPTED	NE	-65.9278	-60.334	408.0	429.5	5.0	{}	2011.0	3.0	7.0	2011-03-07	66.0	66.0	['COLLECTION_MATCH_NONE']	2024-01-26T10:52:24.738+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	1.0	individuals	False	[{'identifier': 'PS77_248-3.2.3'}]	[{'type': 'StillImage', 'format': 'image/jpeg', 'identifier': 'http://v3.boldsystems.org/pics/DSPYC/_DSC1638+1318274708.JPG'}, {'type': 'StillImage', 'format': 'image/jpeg', 'identifier': 'http://v3.boldsystems.org/pics/DSPYC/_DSC1637+1318274604.JPG'}]	[]	[]	da671615-9a15-4844-9d5e-ef66382192fb	False	Jana Domel	96% ethanol	Agassiz trawl|https://epic.awi.de/id/eprint/30175/1/644-2012%20ANT27-3%20RKnust.pdf	WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	EUROPE	"""same as"":""https://v3.boldsystems.org/index.php/API_Public/combined?ids=DSPYC023-11"""	PS77	PS77_248-3.2.3	urn:lsid:marinespecies.org:taxname:239889	https://ror.org/01rhff309	7/3/2011	LINESTRING (-60.332167 -65.92417, -60.33583333 -65.93133333)	PS77_PS77/248-3	en	3386516869	PS77_248-3.2.3	PhysicalObject	PS77_248-3.2.3	BAS	
3386516868	1e7b6980-0842-4c4a-8b14-541b95d2ed3c	104e9c96-791b-4f14-978c-f581cb214912	['8534dd20-c368-4a1f-bdaf-e6b390710f89', '2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	27c24cba-13c5-47d1-96a1-16abd8f11437	fb10a11f-4417-41c8-be6a-13a5c8535122	GB	EML	2024-01-23T14:13:17.412+00:00	2024-01-26T10:52:24.735+00:00	97	GOIPG/2019/4020	{}	PRESERVED_SPECIMEN	PRESENT	2117503	1	54	354	9477065	3254684	2117433	2117503	2117503	Pallenopsis latefrontalis Pushkin, 1993	Pallenopsis latefrontalis Pushkin, 1993	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis latefrontalis	Pallenopsis	latefrontalis	SPECIES	ACCEPTED	NE	-65.9278	-60.334	408.0	429.5	5.0	{}	2011.0	3.0	7.0	2011-03-07	66.0	66.0	['COLLECTION_MATCH_NONE']	2024-01-26T10:52:24.735+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	1.0	individuals	False	[{'identifier': 'PS77_248-3.2.4'}]	[]	[]	[]	da671615-9a15-4844-9d5e-ef66382192fb	False	Jana Domel	96% ethanol	Agassiz trawl|https://epic.awi.de/id/eprint/30175/1/644-2012%20ANT27-3%20RKnust.pdf	WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	EUROPE	"""same as"":""https://v3.boldsystems.org/index.php/API_Public/combined?ids=DSPYC009-11"""	PS77	PS77_248-3.2.4	urn:lsid:marinespecies.org:taxname:239889	https://ror.org/01rhff309	7/3/2011	LINESTRING (-60.332167 -65.92417, -60.33583333 -65.93133333)	PS77_PS77/248-3	en	3386516868	PS77_248-3.2.4	PhysicalObject	PS77_248-3.2.4	BAS	
3386517303	1e7b6980-0842-4c4a-8b14-541b95d2ed3c	104e9c96-791b-4f14-978c-f581cb214912	['8534dd20-c368-4a1f-bdaf-e6b390710f89', '2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	27c24cba-13c5-47d1-96a1-16abd8f11437	fb10a11f-4417-41c8-be6a-13a5c8535122	GB	EML	2024-01-23T14:13:17.412+00:00	2024-01-26T10:52:24.951+00:00	97	GOIPG/2019/4020	{}	PRESERVED_SPECIMEN	PRESENT	2117503	1	54	354	9477065	3254684	2117433	2117503	2117503	Pallenopsis latefrontalis Pushkin, 1993	Pallenopsis latefrontalis Pushkin, 1993	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis latefrontalis	Pallenopsis	latefrontalis	SPECIES	ACCEPTED	NE	-64.9113	-60.6547	406.0	210.0	61.0	{}	2011.0	3.0	13.0	2011-03-13	72.0	72.0	['COLLECTION_MATCH_NONE']	2024-01-26T10:52:24.951+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	1.0	individuals	False	[{'identifier': 'PS77_257-2.2.2'}]	[{'type': 'StillImage', 'format': 'image/jpeg', 'identifier': 'http://v3.boldsystems.org/pics/DSPYC/_DSC1754+1318354456.JPG'}, {'type': 'StillImage', 'format': 'image/jpeg', 'identifier': 'http://v3.boldsystems.org/pics/DSPYC/_DSC1756+1318354572.JPG'}]	[]	[]	da671615-9a15-4844-9d5e-ef66382192fb	False	Jana Domel	96% ethanol	Agassiz trawl|https://epic.awi.de/id/eprint/30175/1/644-2012%20ANT27-3%20RKnust.pdf	WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	EUROPE	"""same as"":""https://v3.boldsystems.org/index.php/API_Public/combined?ids=DSPYC172-11"""	PS77	PS77_257-2.2.2	urn:lsid:marinespecies.org:taxname:239889	https://ror.org/01rhff309	13/03/2011	LINESTRING (-60.6475 -64.91333, -60.66183333 -64.90933333)	PS77_PS77/257-2	en	3386517303	PS77_257-2.2.2	PhysicalObject	PS77_257-2.2.2	BAS	
3386517321	1e7b6980-0842-4c4a-8b14-541b95d2ed3c	104e9c96-791b-4f14-978c-f581cb214912	['8534dd20-c368-4a1f-bdaf-e6b390710f89', '2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	27c24cba-13c5-47d1-96a1-16abd8f11437	fb10a11f-4417-41c8-be6a-13a5c8535122	GB	EML	2024-01-23T14:13:17.412+00:00	2024-01-26T10:52:24.951+00:00	97	GOIPG/2019/4020	{}	PRESERVED_SPECIMEN	PRESENT	2117503	1	54	354	9477065	3254684	2117433	2117503	2117503	Pallenopsis latefrontalis Pushkin, 1993	Pallenopsis latefrontalis Pushkin, 1993	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis latefrontalis	Pallenopsis	latefrontalis	SPECIES	ACCEPTED	NE	-64.9113	-60.6547	406.0	210.0	61.0	{}	2011.0	3.0	13.0	2011-03-13	72.0	72.0	['COLLECTION_MATCH_NONE']	2024-01-26T10:52:24.951+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	1.0	individuals	False	[{'identifier': 'PS77_257-2.2.3'}]	[{'type': 'StillImage', 'format': 'image/jpeg', 'identifier': 'http://v3.boldsystems.org/pics/DSPYC/_DSC1769+1318357242.JPG'}, {'type': 'StillImage', 'format': 'image/jpeg', 'identifier': 'http://v3.boldsystems.org/pics/DSPYC/_DSC1768+1318357178.JPG'}]	[]	[]	da671615-9a15-4844-9d5e-ef66382192fb	False	Jana Domel	96% ethanol	Agassiz trawl|https://epic.awi.de/id/eprint/30175/1/644-2012%20ANT27-3%20RKnust.pdf	WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	EUROPE	"""same as"":""https://v3.boldsystems.org/index.php/API_Public/combined?ids=DSPYC160-11"""	PS77	PS77_257-2.2.3	urn:lsid:marinespecies.org:taxname:239889	https://ror.org/01rhff309	13/03/2011	LINESTRING (-60.6475 -64.91333, -60.66183333 -64.90933333)	PS77_PS77/257-2	en	3386517321	PS77_257-2.2.3	PhysicalObject	PS77_257-2.2.3	BAS	
3386517306	1e7b6980-0842-4c4a-8b14-541b95d2ed3c	104e9c96-791b-4f14-978c-f581cb214912	['8534dd20-c368-4a1f-bdaf-e6b390710f89', '2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	27c24cba-13c5-47d1-96a1-16abd8f11437	fb10a11f-4417-41c8-be6a-13a5c8535122	GB	EML	2024-01-23T14:13:17.412+00:00	2024-01-26T10:52:24.952+00:00	97	GOIPG/2019/4020	{}	PRESERVED_SPECIMEN	PRESENT	2117503	1	54	354	9477065	3254684	2117433	2117503	2117503	Pallenopsis latefrontalis Pushkin, 1993	Pallenopsis latefrontalis Pushkin, 1993	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis latefrontalis	Pallenopsis	latefrontalis	SPECIES	ACCEPTED	NE	-64.9113	-60.6547	406.0	210.0	61.0	{}	2011.0	3.0	13.0	2011-03-13	72.0	72.0	['COLLECTION_MATCH_NONE']	2024-01-26T10:52:24.952+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	1.0	individuals	False	[{'identifier': 'PS77_257-2.2.4'}]	[{'type': 'StillImage', 'format': 'image/jpeg', 'identifier': 'http://v3.boldsystems.org/pics/DSPYC/_DSC1758+1318354974.JPG'}, {'type': 'StillImage', 'format': 'image/jpeg', 'identifier': 'http://v3.boldsystems.org/pics/DSPYC/_DSC1757+1318354830.JPG'}]	[]	[]	da671615-9a15-4844-9d5e-ef66382192fb	False	Jana Domel	96% ethanol	Agassiz trawl|https://epic.awi.de/id/eprint/30175/1/644-2012%20ANT27-3%20RKnust.pdf	WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	EUROPE	"""same as"":""https://v3.boldsystems.org/index.php/API_Public/combined?ids=DSPYC153-11"""	PS77	PS77_257-2.2.4	urn:lsid:marinespecies.org:taxname:239889	https://ror.org/01rhff309	13/03/2011	LINESTRING (-60.6475 -64.91333, -60.66183333 -64.90933333)	PS77_PS77/257-2	en	3386517306	PS77_257-2.2.4	PhysicalObject	PS77_257-2.2.4	BAS	
