key	datasetKey	publishingOrgKey	networkKeys	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	depth	depthAccuracy	continent	gadm	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	isInCluster	datasetName	recordedBy	identifiedBy	preparations	samplingProtocol	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	identifier	catalogNumber	scientificNameID	institutionCode	locationID	footprintWKT	locality	gbifID	language	collectionCode	occurrenceID	georeferenceSources	fieldNumber	eventID	habitat	identificationVerificationStatus	verbatimIdentification	identificationRemarks	occurrenceRemarks	dateIdentified	typeStatus	modified	references	datasetID	bibliographicCitation	individualCount	sex	waterBody	higherGeography	institutionKey	collectionKey	institutionID	verbatimEventDate	georeferenceProtocol	verbatimCoordinateSystem	higherClassification	collectionID
4081199835	4d0b1b2a-3209-49ce-bb93-7503e4868019	c58ac019-b413-4613-8772-39e57acbeb8e	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f0d34585-ddcb-4915-9332-6043585e831a	c58ac019-b413-4613-8772-39e57acbeb8e	NZ	EML	2023-06-07T18:53:24.650+00:00	2024-01-25T07:20:26.013+00:00	166	{}	PRESERVED_SPECIMEN	PRESENT	4338438	1	54	354	9477065	3254684	2117433	4338438	4338438	Pallenopsis latus Child, 1998	Pallenopsis latus Child, 1998	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis latus	Pallenopsis	latus	SPECIES	ACCEPTED	NE	-34.157167	172.100667	100.0	50.5	3.5	OCEANIA	{}	2011.0	3.0	26.0	2011-03-26	85.0	85.0	['COORDINATE_ROUNDED', 'MODIFIED_DATE_INVALID', 'IDENTIFIED_DATE_INVALID', 'INSTITUTION_MATCH_NONE']	2024-01-25T07:20:26.013+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '7236cb19-73e7-464b-b5a9-57b43e113147'}]	[]	[]	[]	False	NIWA Invertebrate Collection	Oceans Survey 20/20 - Biogenic Habitats	Neill, Kate	Specimen(s), Ethanol - no formalin = 1	Sled, epibenthic	WGS84	Pycnogonida	NZ	[]	[]	OCEANIA	New Zealand	OCEANIA	7236cb19-73e7-464b-b5a9-57b43e113147	92177	urn:lsid:marinespecies.org:taxname:239892	NIWA Invertebrate Collection	TAN1105/35	LINESTRING (172.1006667 -34.15716667, 172.1035 -34.15883333)	Three Kings	4081199835	en	NIWA	7236cb19-73e7-464b-b5a9-57b43e113147	GPS																									
4081209370	4d0b1b2a-3209-49ce-bb93-7503e4868019	c58ac019-b413-4613-8772-39e57acbeb8e	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f0d34585-ddcb-4915-9332-6043585e831a	c58ac019-b413-4613-8772-39e57acbeb8e	NZ	EML	2023-06-07T18:53:24.650+00:00	2024-01-25T07:20:26.604+00:00	166	{}	PRESERVED_SPECIMEN	PRESENT	4338438	1	54	354	9477065	3254684	2117433	4338438	4338438	Pallenopsis latus Child, 1998	Pallenopsis latus Child, 1998	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis latus	Pallenopsis	latus	SPECIES	ACCEPTED	NE	-42.72	-179.9605	100.0	951.0	61.0		{}	2001.0	4.0	21.0	2001-04-21	111.0	111.0	['CONTINENT_COORDINATE_MISMATCH', 'MODIFIED_DATE_INVALID', 'INSTITUTION_MATCH_NONE']	2024-01-25T07:20:26.604+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'cd8bfe81-43e2-4b5f-96c5-a9b8069a471b'}]	[]	[]	[]	True	NIWA Invertebrate Collection	NIWA; MFish		Specimen(s), Ethanol - no formalin = 2,  BB General Wet Collection	Sled, epibenthic	WGS84	Pycnogonida	NZ	[]	[]	OCEANIA	New Zealand	OCEANIA	cd8bfe81-43e2-4b5f-96c5-a9b8069a471b	157929	urn:lsid:marinespecies.org:taxname:239892	NIWA Invertebrate Collection	TAN0104/399	LINESTRING (-179.9605 -42.72, -179.961 -42.722167)	Chatham Rise	4081209370	en	NIWA	cd8bfe81-43e2-4b5f-96c5-a9b8069a471b	GPS	Z10743																								
3696572477	2931765e-0682-4a38-85eb-032964cc3792	c3ad790a-d426-4ac1-8e32-da61f81f0117	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	a9c3f3b6-1f98-49c3-ba50-7e6aa1c9de59	c3ad790a-d426-4ac1-8e32-da61f81f0117	US	EML	2024-07-02T10:01:43.848+00:00	2024-07-02T10:03:14.356+00:00	118	{}	PRESERVED_SPECIMEN	PRESENT	4338438	1	54	354	9477065	3254684	2117433	4338438	4338438	Pallenopsis latus Child, 1998	Pallenopsis latus Child, 1998	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis latus	Pallenopsis	latus	SPECIES	ACCEPTED	NE	-42.79	179.98		961.0	39.0		{}	2001.0	4.0	17.0	2001-04-17	107.0	107.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'REFERENCES_URI_INVALID', 'INSTITUTION_MATCH_NONE']	2024-07-02T10:03:14.356+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'SeamountsOnline_urn:lsid:marinespecies.org:taxname:239892_63749'}]	[]	[]	[]	False			NA			WGS84	Pycnogonida	NZ	[]	[]	OCEANIA	New Zealand	NORTH_AMERICA	SeamountsOnline_urn:lsid:marinespecies.org:taxname:239892_63749	63749	urn:lsid:marinespecies.org:taxname:239892	SCSD			Ghoul Seamount	3696572477		SeamountsOnline	SeamountsOnline_urn:lsid:marinespecies.org:taxname:239892_63749			SCSD_SeamountsOnline_Ghoul_Seamount_544649	benthic/near bottom	Validated	Pallenopsis latus	WoRMS Match Type: exact	NA | NA																		
3696572441	2931765e-0682-4a38-85eb-032964cc3792	c3ad790a-d426-4ac1-8e32-da61f81f0117	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	a9c3f3b6-1f98-49c3-ba50-7e6aa1c9de59	c3ad790a-d426-4ac1-8e32-da61f81f0117	US	EML	2024-07-02T10:01:43.848+00:00	2024-07-02T10:03:14.351+00:00	118	{}	PRESERVED_SPECIMEN	PRESENT	4338438	1	54	354	9477065	3254684	2117433	4338438	4338438	Pallenopsis latus Child, 1998	Pallenopsis latus Child, 1998	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis latus	Pallenopsis	latus	SPECIES	ACCEPTED	NE	-42.72	-179.96		951.0	61.0		{}	2001.0	4.0	21.0	2001-04-21	111.0	111.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'REFERENCES_URI_INVALID', 'INSTITUTION_MATCH_NONE']	2024-07-02T10:03:14.351+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'SeamountsOnline_urn:lsid:marinespecies.org:taxname:239892_63750'}]	[]	[]	[]	True			NA			WGS84	Pycnogonida	NZ	[]	[]	OCEANIA	New Zealand	NORTH_AMERICA	SeamountsOnline_urn:lsid:marinespecies.org:taxname:239892_63750	63750	urn:lsid:marinespecies.org:taxname:239892	SCSD			Morgue Seamount	3696572441		SeamountsOnline	SeamountsOnline_urn:lsid:marinespecies.org:taxname:239892_63750			SCSD_SeamountsOnline_Morgue_Seamount_544626	benthic/near bottom	Validated	Pallenopsis latus	WoRMS Match Type: exact	NA | NA																		
4081176945	4d0b1b2a-3209-49ce-bb93-7503e4868019	c58ac019-b413-4613-8772-39e57acbeb8e	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f0d34585-ddcb-4915-9332-6043585e831a	c58ac019-b413-4613-8772-39e57acbeb8e	NZ	EML	2023-06-07T18:53:24.650+00:00	2024-01-25T07:20:25.769+00:00	166	{}	PRESERVED_SPECIMEN	PRESENT	4338438	1	54	354	9477065	3254684	2117433	4338438	4338438	Pallenopsis latus Child, 1998	Pallenopsis latus Child, 1998	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis latus	Pallenopsis	latus	SPECIES	ACCEPTED	NE	-39.47067	178.4128	500.0	865.0	0.0		{}	1999.0	6.0	3.0	1999-06-03	154.0	154.0	['CONTINENT_COORDINATE_MISMATCH', 'RECORDED_DATE_INVALID', 'MODIFIED_DATE_INVALID', 'INSTITUTION_MATCH_NONE']	2024-01-25T07:20:25.769+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '60583048-fa36-11e2-96b3-aa6f927c92a3'}]	[]	[]	[]	False	NIWA Invertebrate Collection	MFish; NIWA		Specimen(s), Ethanol - no formalin = 4		WGS84	Pycnogonida	NZ	[]	[]	OCEANIA	New Zealand	OCEANIA	60583048-fa36-11e2-96b3-aa6f927c92a3	70262	urn:lsid:marinespecies.org:taxname:239892	NIWA Invertebrate Collection	Z10170	POINT (178.4128 -39.47067)		4081176945	en	NIWA	60583048-fa36-11e2-96b3-aa6f927c92a3		KAH9907/40																								
4081173195	4d0b1b2a-3209-49ce-bb93-7503e4868019	c58ac019-b413-4613-8772-39e57acbeb8e	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f0d34585-ddcb-4915-9332-6043585e831a	c58ac019-b413-4613-8772-39e57acbeb8e	NZ	EML	2023-06-07T18:53:24.650+00:00	2024-01-25T07:20:22.220+00:00	166	{}	PRESERVED_SPECIMEN	PRESENT	4338438	1	54	354	9477065	3254684	2117433	4338438	4338438	Pallenopsis latus Child, 1998	Pallenopsis latus Child, 1998	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis latus	Pallenopsis	latus	SPECIES	ACCEPTED	NE	-25.2283	-179.0683	500.0	596.5	49.5		{}	1980.0	6.0	1.0	1980-06-01	153.0	153.0	['CONTINENT_INVALID', 'RECORDED_DATE_INVALID', 'MODIFIED_DATE_INVALID', 'INSTITUTION_MATCH_NONE']	2024-01-25T07:20:22.220+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '5c8abab2-fa36-11e2-96b3-aa6f927c92a3'}]	[]	[]	[]	True	NIWA Invertebrate Collection	NZOI	Child, C, A	Specimen(s), Unknown = 1,  Missing	Dredge, rock	WGS84	Pycnogonida		[]	[]			OCEANIA	5c8abab2-fa36-11e2-96b3-aa6f927c92a3	4766	urn:lsid:marinespecies.org:taxname:239892	NIWA Invertebrate Collection	P947	POINT (-179.0683 -25.2283)		4081173195	en	NIWA	5c8abab2-fa36-11e2-96b3-aa6f927c92a3									1998-01-01T00:00:00	PARATYPE																
4081080673	4d0b1b2a-3209-49ce-bb93-7503e4868019	c58ac019-b413-4613-8772-39e57acbeb8e	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f0d34585-ddcb-4915-9332-6043585e831a	c58ac019-b413-4613-8772-39e57acbeb8e	NZ	EML	2023-06-07T18:53:24.650+00:00	2024-01-25T07:20:23.238+00:00	166	{}	PRESERVED_SPECIMEN	PRESENT	4338438	1	54	354	9477065	3254684	2117433	4338438	4338438	Pallenopsis latus Child, 1998	Pallenopsis latus Child, 1998	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis latus	Pallenopsis	latus	SPECIES	ACCEPTED	NE	-25.2283	-179.0683	500.0	596.5	49.5		{}	1980.0	6.0	1.0	1980-06-01	153.0	153.0	['CONTINENT_INVALID', 'RECORDED_DATE_INVALID', 'MODIFIED_DATE_INVALID', 'INSTITUTION_MATCH_NONE']	2024-01-25T07:20:23.238+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '5fb47eb2-fa36-11e2-96b3-aa6f927c92a3'}]	[]	[]	[]	True	NIWA Invertebrate Collection	NZOI	Child, C, A	Specimen(s), Isopropanol - orig unknown = 1,  BB NIC Type Room	Dredge, rock	WGS84	Pycnogonida		[]	[]			OCEANIA	5fb47eb2-fa36-11e2-96b3-aa6f927c92a3	7595	urn:lsid:marinespecies.org:taxname:239892	NIWA Invertebrate Collection	P947	POINT (-179.0683 -25.2283)		4081080673	en	NIWA	5fb47eb2-fa36-11e2-96b3-aa6f927c92a3									1998-01-01T00:00:00	HOLOTYPE																
4055736839	2f7c33b3-ea7a-40ac-a3b7-bace96f978f7	2089ce96-4fb5-4a20-999c-3ccf45a27a4d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f9df6cff-21d4-4d4b-8da4-eda454f5a086	2089ce96-4fb5-4a20-999c-3ccf45a27a4d	BE	EML	2024-07-02T17:06:09.698+00:00	2024-07-02T17:06:45.767+00:00	81	{}	PRESERVED_SPECIMEN	PRESENT	4338438	1	54	354	9477065	3254684	2117433	4338438	4338438	Pallenopsis latus Child, 1998	Pallenopsis latus Child, 1998	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis latus	Pallenopsis	latus	SPECIES	ACCEPTED	NE	-25.23	-179.07		596.5	49.5		{}	1980.0	6.0	1.0	1980-06-01	153.0	153.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'INSTITUTION_MATCH_NONE']	2024-07-02T17:06:45.767+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'WoRMS Editorial Board:WoRMS type localities:sm_id_1215'}]	[]	[]	[]	True						WGS84	Pycnogonida		[]	[]			EUROPE	WoRMS Editorial Board:WoRMS type localities:sm_id_1215	sm_id_1215	urn:lsid:marinespecies.org:taxname:239892	WoRMS Editorial Board			Pacific Ocean	4055736839		WoRMS type localities	WoRMS Editorial Board:WoRMS type localities:sm_id_1215										HOLOTYPE	2007-06-20T15:52:33.000+00:00	http://www.marinespecies.org/aphia.php?p=specdetails&id=1215	https://marineinfo.org/id/dataset/5184	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Pallenopsis latus</i> Child, 1998. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=239892												
4055753592	2f7c33b3-ea7a-40ac-a3b7-bace96f978f7	2089ce96-4fb5-4a20-999c-3ccf45a27a4d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f9df6cff-21d4-4d4b-8da4-eda454f5a086	2089ce96-4fb5-4a20-999c-3ccf45a27a4d	BE	EML	2024-07-02T17:06:09.698+00:00	2024-07-02T17:09:42.771+00:00	81	{}	PRESERVED_SPECIMEN	PRESENT	4338438	1	54	354	9477065	3254684	2117433	4338438	4338438	Pallenopsis latus Child, 1998	Pallenopsis latus Child, 1998	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis latus	Pallenopsis	latus	SPECIES	ACCEPTED	NE	-25.2283	-179.068298		646.0			{}	1980.0	6.0	1.0	1980-06-01	153.0	153.0	['COORDINATE_ROUNDED', 'GEODETIC_DATUM_ASSUMED_WGS84', 'INDIVIDUAL_COUNT_INVALID', 'INSTITUTION_MATCH_NONE']	2024-07-02T17:09:42.771+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'WoRMS Editorial Board:WoRMS type localities:sm_id_90225'}]	[]	[]	[]	True						WGS84	Pycnogonida		[]	[]			EUROPE	WoRMS Editorial Board:WoRMS type localities:sm_id_90225	sm_id_90225	urn:lsid:marinespecies.org:taxname:239892	WoRMS Editorial Board				4055753592		WoRMS type localities	WoRMS Editorial Board:WoRMS type localities:sm_id_90225										HOLOTYPE	2020-11-16T11:12:20.000+00:00	http://www.marinespecies.org/aphia.php?p=specdetails&id=90225	https://marineinfo.org/id/dataset/5184	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Pallenopsis latus</i> Child, 1998. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=239892												
4081110952	4d0b1b2a-3209-49ce-bb93-7503e4868019	c58ac019-b413-4613-8772-39e57acbeb8e	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f0d34585-ddcb-4915-9332-6043585e831a	c58ac019-b413-4613-8772-39e57acbeb8e	NZ	EML	2023-06-07T18:53:24.650+00:00	2024-01-25T07:20:25.632+00:00	166	{}	PRESERVED_SPECIMEN	PRESENT	4338438	1	54	354	9477065	3254684	2117433	4338438	4338438	Pallenopsis latus Child, 1998	Pallenopsis latus Child, 1998	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis latus	Pallenopsis	latus	SPECIES	ACCEPTED	NE	-48.0067	-179.175	500.0	750.0			{}	1979.0	3.0	14.0	1979-03-14	73.0	73.0	['CONTINENT_COORDINATE_MISMATCH', 'MODIFIED_DATE_INVALID', 'INSTITUTION_MATCH_NONE']	2024-01-25T07:20:25.632+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '5fdcd920-fa36-11e2-96b3-aa6f927c92a3'}]	[]	[]	[]	True	NIWA Invertebrate Collection	NZOI	Child, C, A	Specimen(s), Isopropanol - orig unknown = 1,  BB NIC Type Room	Trawl, Agassiz medium	WGS84	Pycnogonida	NZ	[]	[]	OCEANIA	New Zealand	OCEANIA	5fdcd920-fa36-11e2-96b3-aa6f927c92a3	4765	urn:lsid:marinespecies.org:taxname:239892	NIWA Invertebrate Collection	I674	POINT (-179.175 -48.0067)		4081110952	en	NIWA	5fdcd920-fa36-11e2-96b3-aa6f927c92a3									1998-01-01T00:00:00	PARATYPE																
